"formerCallsign"
"KFTI (2001–2010)"
"WRID (1983-1985)"
"WGVY (2001–2012)"
"Chaîne Haute-Fidélité (1954–1958)"
"WXEL (1985-2011)"
"KXMG (2011-2015)"
"WMAX-FM (1962–1965)"
"WTHR (1957-1962)"
"WNKR (?-1981)"
"WWTJ (2007–2011)"
"WWWM-FM:"
"WCFY (1984-1998)"
"KGKO (1952–1958)"
"WPJC (?-1981)"
"WZJO (1991-1994)"
"WJTZ (1987-1993)"
"WPJL (1978–current)"
"KOTT (1998-2001)"
"KGCQ (2008-2009)"
"KWCR (1949-1952)"
"WAMF (2002-2012)"
"WSGC (2015–2017)"
"KDFO (2001–2006)"
"KAGV(1993-1994)"
"WLKK (1978-1987)"
"KDDZ (1999–2015)"
"WJZS (2004–2013)"
"WAXK (1998)"
"WUVR (1994–1996)"
"KAAP (1983–1987)"
"WBZM (1986&ndash;1991)"
"KYAK (1947-1957)"
"WNYN (1967–85)"
"WLJN-FM:"
"KAHK (never aired, 1994-1997)"
"WCHB (1990-2017)"
"WLEO(1997-2002)"
"WTOT (1958-2020)"
"WLOW-FM (1966–1980)"
"WQBX (1974–1984)"
"KRPM (1986-1991, 1995)"
"WKXW-FM (1980&ndash;1981)"
"KOOC (1991-2004)"
"CFQC (1923–1995)"
"WAZM (1998)"
"KUST (1998-2005)"
"WSCV (1970–1981)"
"WHRS (1985–1994)"
"WEXL (1931-2017)"
"KMIA (2003-2010)"
"KYES"
"KTWK (1993-2000)"
"KMCL (1989–2007)"
"WTOO-FM (1978-1988)"
"WBPS (February–April 1995)"
"08)"
"KOCL (1998-1999)"
"WOKI-FM (1974-2005)"
"KYXI (1984–1994)"
"KCIB-FM (1962–1968)"
"XEPNA (19??-1936)"
"KCBN (1990-2001)"
"KNTS (2004–2008)"
"WALE (September 30, 2014-December 22, 2014)"
"KTFA (1983-2001)"
"WNCL (2004-2019)"
"WIBS(1947-1951)"
"2013)"
"KYNJ (2010–2017)"
"WAMB (1968&ndash;2006)"
"KJRW (2016)"
"WMGE (1999–2003)"
"KDBX (1956-1958)"
"WKSJ (1973-1981)"
"Q95 (1990s-2016)"
"KZPL (2003–2005)"
"KRIV (1956-1958)"
"WHUE (1979&ndash;81)"
"KBZZ (2001&ndash;18)"
"WJYT (April 17, 1998–December 6, 2000)"
"XERMX-OC"
"WKFN (2003-2005)"
"WKZO-FM (2010-2013)"
"1994)"
"KVAN (March–October 2005)"
"KCWR (1972–1982)"
"04)"
"XEMON-AM"
"KHIH (November 4, 2008—January 28, 2012)"
"KBHV (1984-1987)"
"KPXE (1968–1997)"
"KTMY (2006-2007)"
"KORA (1947-1973)"
"KLTK (1984–1986)"
"WAJF (1953-2006)"
"KKZR (1992–95)"
"WHOV (1964–Present)"
"KFTW (2008-2012)"
"WPFM (1955–1965)"
"WHLY (1994-1999)"
"WLRD (1948–1956)"
"WJMM-FM (1986-1998)"
"WGUL (1963-1985)"
"KHEN (1994-2007)"
"KREL (2004–05)"
"KBJH (1973-1976)"
"2000)"
"KSWW (1968–1981)"
"WNSR (1992-1997)"
"KVXX (2010-2012)"
"KKER (1998-2002)"
"KEDR (1990-2005)"
"WCCF-FM (1978-1979)"
"WJOI (1981–94)"
"WFMP (1967–1984)"
"WNCC-FM (1999-2004)"
"WELQ (1986-1988, CP)"
"WZKG (1989-1990)"
"WFIL (1935-1989)"
"WVNS-FM (2005&ndash;2008)"
"KDOK (1993-2009)"
"KBBC-FM (1999–2003)"
"WAYL (1988-1990)"
"WMKR-FM (1985–86)"
"KRKY-FM (July 31—August 19, 2015)"
"WPLO (1959–87)"
"WGZB (1989-1991)"
"WJIK (1986-1989)"
"WKJK"
"KMBC-FM (1962–67)"
"CFUN-FM (2009–2015)"
"WWWQ (1991-1996)"
"WRVM (1957-1965)"
"KJEM (1995–2002)"
"WMCU (2007–2010)"
"KCAF (1988–89)"
"WGAD (2007-2011)"
"WIMO (1952-2014)"
"KLDS (1923–2?)"
"KTSX (2004–2005)"
"KYXI (1967-1984)"
"KBNB, KHYM, KTLG, KOFY"
"WRMF (1965-1979)"
"WWKY (2017)"
"WEZZ-FM (2013–2016)"
"WZTX (1988–1989, CP)"
"WLIN (1962–1964)"
"KEVE-FM (1962-1963)"
"05)"
"WMXQ (1994-1996)"
"KTNL (2006-2007)"
"WFXP (1986-1990)"
"WJZO (2008-2009)"
"WARW (1993–2007)"
"Montmartre FM (1995–1998)"
"WYOU (1961-1986)"
"WTCV (1968-?)"
"WIAO (1981-1981)"
"00)"
"WEKZ-FM (1959–2016)"
"KHNY (1976-1978)"
"WWJK (2004-2012)"
"WNCC (2004-2005)"
"WITD (1981-1982)"
"WBJY (1988–90)"
"WJBZ (1990&ndash;1998)"
"KFTG (1981-1994)"
"KIST (2005–2008)"
"KUUL (1989-1998)"
"KCMC (2014-2017)"
"WCDQ (1967–1978)"
"KAKS-FM (1986–1995)"
"WJBT (1980-1984)"
"WNWW (2011-2014)"
"KQHN (1991-2005)"
"KLTW-FM (1998-2001)"
"WIST (2004-2005)"
"DWEI (1973–1983)"
"WURN (2008-2016)"
"WKRK-FM (1997–2007)"
"KPEL-FM (1992-1998)"
"WMSF (2012)"
"KDYC (1989–1991)"
"WJLT (1985–1988)"
"KABK-FM (1979-2003)"
"XHTG-FM"
"89)"
"KTMT (1992-1999)"
"KJEL-FM (1972–1983)"
"WYSL-FM (1947-1970)"
"3YYR (1988–2001)"
"KLCA (1986)"
"WZBQ (1987–1992)"
"WTBZ-FM (1986-2002)"
"KEGS (November 6, 1984-August 30, 1994)"
"WGRG (1992–1998)"
"KARM-FM (1948–1975)"
"00)"
"WITM (1988–1995)"
"WMKE (1960-1964)"
"KLEP (2008-2010)"
"WGRX (2001-Present"
"WLCL (1989–93)"
"KBMO (1956-1990)"
"KKHQ-FM (2003-2020)"
"KPIG (1952-1962)"
"WPOR (1951-1999)"
"WLOL-FM (1957–1991)"
"KULL (1998-2012)"
"DZST (1995-2016)"
"1992)"
"WAUQ (1997–2015)"
"WDWQ (2012-2017)"
"WTNE-FM (2000-2009)"
"KWFS (1990-1995)"
"KRNH (1994-2000)"
"WAUX (1947-1965)"
"KRAK (1994–98)"
"WETT (2010-2017)"
"WLLB (1989–1993)"
"WXTA (1982-1987)"
"KCKK (1999–2006)"
"KJYE-FM (1989-1997)"
"WLPH (1965–2006)"
"WSKP (1956-1966)"
"WRCW (2008–2013)"
"KRGQ (1992-1997)"
"KPHR (1991–1998)"
"KZAC (1995-1998)"
"KXSS (1989-1996)"
"WRQQ (1991&ndash;96)"
"KHKK:"
"WJHB (1956–1962)"
"WCHQ-LP (2014)"
"KVRA (1967-1990)"
"KJFA-FM (2015-2017)"
"DZUN (October 2010-September 2020)"
"WVCM"
"KMBC (1928–67)"
"970723MR (1997-2003)"
"WSNI (1977-1990)"
"1989)"
"KBQF (1999–2000)"
"WXCO-FM (1983-1984, CP)"
"WIYC (1987-1997)"
"KTHY (2002)"
"KWGN-FM (1964-1966)"
"WMXV (1997-1999)"
"WPMR (1992–1996)"
"WCCS (1972-1981)"
"WLTT (2003–2013)"
"KJFM (1977-1984)"
"KBUL (1996–1998)"
"WWVA-FM (2004–2005)"
"WCCN-FM (1979-1991)"
"WXAH (1991-1996)"
"KAFE (1966-1987)"
"RADIO STARI GRAD"
"2012)"
"WJOI-FM (2002-2004)"
"WMUR (1941–1956)"
"KBFU (1998-1998)"
"WLCX (1986-2002)"
"KTTA (2009-2010)"
"03)"
"89)"
"WYXC (1981-2017)"
"WGOR (1986–1989)"
"DWRK (1980-2008)"
"WSZE"
"WGZR (1997-2003)"
"WVHT (1999-2004)"
"WKOO (2007-09)"
"KDKS-FM (1992-1993)"
"89)"
"WHLY (1999–2001)"
"WJRV (1992-1996)"
"WFWR (1968-1980)"
"DWBC-FM (1972-1980)"
"WZIP (1964-1971)"
"WJET (1951–1986)"
"KHLC (1984-1993)"
"WTHM-FM (1997-1998)"
"WSJW (2004–2011)"
"WOKZ-FM (1961-1978)"
"KUAB (1997–1998)"
"KAVT (1998-2008)"
"W1XAL (1929–1939)"
"KRZZ-FM (1985–2004)"
"WBOW-FM (2003-2012)"
"WWWK (1999-2003)"
"WFCL (1982-2008)"
"KNSX (1983-2007)"
"2018)"
"WXLT (1986-1993)"
"WRRB (1979–1988)"
"WKAU (1965–1984)"
"WAPL (1952-1978)"
"yir-1997.html"
"KGAR (1963-1981)"
"KAJZ (2002)"
"KIXI-FM (1978–1986)"
"KKHQ (1988–1996)"
"WFMR (1956-1983)"
"WWWD (1992–1995)"
"WQGL (1982–1997)"
"WKYO-FM (Nov. 29, 1982 – Aug. 24, 1985)"
"WBGB (1998–2006)"
"WAME (1990-1994)"
"KMVE (1992)"
"KPAK (1966-1969)"
"WRJS (2000–2003)"
"WQKB (1993–98)"
"KZAB (2003–2004)"
"WADX (1981-1995)"
"WGAA-FM (1960)"
"KERI (1965-1979)"
"WKUS (2004–2010)"
"KOAI (1987–1992)"
"XETEB-AM (1986-2016)"
"WKOA (February 8, 1991-November 6, 1992)"
"KXBR (1997–1998)"
"KBYB (1993-2001)"
"KMVV (2008-2013)"
"WCFL (1987-1990)"
"KGIR, KXLF, KCEZ"
"WUSX (2002-2003)"
"WNRJ (1990–91)"
"WYLL-FM (2000-2001)"
"KAHS (2002–2014)"
"KDEO (1955-1977)"
"WMSK (1960-1999)"
"WVSB (2000-2018)"
"WKXJ (1981-1988)"
"WNML (1998–1999)"
"WXTW (2001-2006)"
"KAQQ (2002–2005)"
"KMUR (1949–1965)"
"WEAG (February 29, 1988-December 17, 2012)"
"KLAC-FM (1961–1965)"
"WWZK (2001–2005)"
"WPFR (1961-1983)"
"WXLE (1988&ndash;91)"
"KVWO (1978–1979)"
"WABK-FM (1978–2013)"
"WQSA (2006-2008)"
"WLRZ (1984-2000)"
"WGMW (2014–2022)"
"KGHL-FM (1999–2011)"
"WKKW (1985–1987)"
"2006)"
"WJAM (1922–1928)"
"KAUI (1989–1999)"
"WIBU (1925–2001)"
"KVRQ (1991–1999)"
"KLBG (1995–2000)"
"WJBT (1991-2008)"
"WERC (1941-1960)"
"WBFL (1983–1996)"
"KJOL (2000-2001)"
"KMAP (2008-2012)"
"KHER-FM (1969-1974)"
"KSSD (1984–1999)"
"WTTN-FM (1961-1982)"
"WMJK (1999)"
"WLZX (2000-2017)"
"Radio Luxembourg (1933–1966)"
"WZPK (1990-1996)"
"WLRC-FM (1972–74)"
"KMLW, KKIK"
"WSJW (1967-1989)"
"WYPC-FM (1998)"
"KCFM (March 29, 1996 - December 29, 2000)"
"WAME (1969-1990)"
"WPTW-FM (1960–89)"
"WRMR (1982&ndash;83)"
"KMXQ (1987–1995)"
"WENU (1983–2000)"
"WB9XXE (2005)"
"WCEH-FM (1968–1993)"
"WYND (1960-?)"
"WOKU (1996-2009)"
"WKAZ (1957-1983)"
"KERS (1964–1978)"
"WBIP-FM (1976–2005)"
"WNEU (1992–1994)"
"KCWB (1977-1980)"
"WKGM (1980-Present)"
"WJAS (1922-1957)"
"KOKX-FM (1984-2019)"
"WDEE (1960–1967)"
"KAXX (1997-2008)"
"WHTY (2010–2015)"
"WPME-FM (1973-1981)"
"WQDQ (?&ndash;1984)"
"KOFE (1953–1967)"
"WMMV: WLRQ (1987-1991)"
"KADZ (1998–1999)"
"WAQA (1979-1981)"
"WVTY (1984-1986)"
"WLTF (2001–2017)"
"WAZU (1998-2007)"
"WIMV (1989-2000)"
"WTOO (1969–1981)"
"WBGR-FM (1972–1981)"
"WPLC-FM (2000&ndash;01)"
"WRKR (1983–1987)"
"KORQ (1984–1993)"
"KWBR (1945-1959)"
"WSST (1972-1985)"
"WDAF (1922–2003)"
"WZBN (2002-2006)"
"KKGT (1998-2003)"
"WJOX (1992-2006)"
"WVOT (1948–1999)"
"WINZ (1947-2002)"
"KLGO (2012-2014)"
"KZKL (2000-2002)"
"WXED (1992-1992)"
"1982)"
"KWHP (1962-1978)"
"WNAO-FM (1949–1955)"
"KZON (1967–1986)"
"KJFF (1969-1981)"
"WDLE-FM (1989-1991)"
"KTWN (1989-1996)"
"СРТ (SRT)"
"KDLM-FM (1980-1996)"
"WBCI (1974-1980)"
"KPHD (1988-1989)"
"KCIW-FM (1987-1989)"
"WNOS-FM (1953–1975)"
"WLKY (1997-2000)"
"WGGM (1978–2014)"
"KHKR (1988–1991)"
"WJZX (1991)"
"WSDK (1981–1982)"
"WJSE (1977-1982)"
"WPEZ (1981–2001)"
"WMCZ (July–August 1984)"
"DXEY (1975-2004)"
"05)"
"KLCX (1993-1996)"
"KVOV (1956-1984)"
"KIOU (1967-1987)"
"KSAC (1924&ndash;84)"
"KWEI (2014–2018)"
"KSAT (1929-1930)"
"KDZA (1948-1993)"
"WIKI (1963–1978)"
"1995)"
"KHUQ (1983-1989)"
"WATI (1984-1987)"
"KQXI (1965-1998)"
"WMAX-FM (July 30–August 2, 1999)"
"KANS (1995&ndash;2003)"
"KZRX (1989–1990,CP)"
"WZIO (1991-2002)"
"KWOE (1949-1980)"
"WLIF (1990–1991)"
"WWHF (2007-2010)"
"KNTL (1990–2000)"
"WIZD (1980-1984)"
"WXKE (2002-2006)"
"KRCD:"
"WCPK (1967-1987)"
"KBZZ (2000-2007)"
"WOCB-FM (1991)"
"KHUM (1995-Present)"
"KBAC (2002-2003)"
"KAKA (1995–1996)"
"CHXL-FM (1988-2003)"
"WBHT (1992)"
"WBZZ (2004-2006)"
"KEUT (January 7-April 4, 2020)"
"XEMTS-AM"
"WGH-FM (1948–1983)"
"KPLY (1975–1979)"
"KKGO (1994–1996)"
"KZIQ (1974-2001)"
"WTID (1981-1987)"
"KKPE (1986-1987)"
"2001)"
"KQCS (1990-1995)"
"WODZ (1997–1999)"
"XEAS-AM"
"WNDN-FM (1977-1996)"
"WZYB (1992–1993)"
"WLTI (1996-2010)"
"WTRB-FM (2001-2008)"
"WQSI (2003–2010)"
"00)"
"WDIS (1979-1981)"
"KZXR (1990-1991)"
"WWFH (1998–2001)"
"WJBW (1994-1997)"
"KDSI (1982-1985)"
"WLRX (1981-1986)"
"WISL-FM (1980–1982, 1992–2001)"
"1994)"
"WXLK (1977-1981)"
"WEGF (2001)"
"WCNW (1941&ndash;42)"
"WWFN (2004–2005)"
"WALI (1982-1994)"
"WNSS (1991-1993)"
"KUKN (1991-2003)"
"WBKY (1940-1989)"
"KLSC (1973-1976)"
"WAKE (1954–1955)"
"WAZE (1960-1982)"
"KPQP (2004-2005)"
"XHUDM-FM (May 9, 1996—August 23, 2000)"
"WRIK-FM (1987-2012)"
"WVBE (2001-2002)"
"KPXG (1992-1994)"
"WMTT (1995-1996)"
"WCWY (2002-2004)"
"KKLF (1977-1980)"
"KRTX-FM (1997; 1998-2002)"
"DXJW (1959-1972)"
"WWEG (1992-2004)"
"WWBA-FM (1970–88)"
"WALC"
"WIVK (1984-1988)"
"XERASA-AM (January 17, 1997-2015)"
"WRDU (1984–2013)"
"KTW-FM (1964–1974)"
"WDTF (1999–2003)"
"KRSR (1992-1997)"
"KTRB-FM (1949-1974)"
"WHFV (2014-Present)"
"WROC (1961–1979)"
"KZZA (2003)"
"WKSH (1998–2014)"
"WBUZ (1948–1956)"
"KSGR (1976–1978)"
"WJOI (1999-2021)"
"1992)"
"WALH (1985-2013)"
"KZDF (1997-1993)"
"KANG (1995-1996)"
"KMXA (1990-1992)"
"WGGO-FM (1992–1993)"
"WMRV (1991–1994)"
"XEHV-AM"
"2005)WHLK (2005-2008)"
"WEZB (1959-1960)"
"KHQG (2008-2010)"
"KFDG-LP (September 21, 2015 to October 22, 2015)"
"WPHD (2003-2017)"
"WBXY (1999–2014)"
"07)"
"KOAT (1947–1955)"
"KBES-FM (1972–1974)"
"KWFC (1969-1985)"
"WTCR (1955–1983)"
"WGES (1995-2006), WGES-FM (2006-2010)"
"WDDY (2002–2014)"
"WWCD (1990–2010)"
"KNWZ (1985–98)"
"WRNI-FM (2007–2018)"
"WYTT (2003-2005)"
"WLKA (19893-3–1996)"
"WAEM (1993–1994, CP)"
"WREV-FM (1994–1997)"
"WJKM (1966-2003)"
"WGIX-FM (1988&ndash;2010)"
"WBZY (1968-1999)"
"WQSE (1992&ndash;2019)"
"WYNQ (1988-1990, CP)"
"KILM (1999-2005)"
"WKQS-FM (1979–86)"
"KCRI (1953-1954)"
"WNDR-FM (2013–2016)"
"KTYV (2012-2018)"
"KNPA (1984-1986)"
"WAVH (1987–1994)"
"KSAQ (1974–76)"
"KVVD (2021-2022)"
"WSIM (1962-1966)"
"99)"
"WTNR (1978-?)"
"WDJD"
"KCGL (1998–1999)"
"KLGA (1956-2014)"
"1991-1994: WMOM"
"KVVQ (1985–2001)"
"KJST (1994)"
"WHJK (2006-2009)"
"WBVA (1960&ndash;61)"
"KBBX (1977–1993)"
"WKJG (1947–71)"
"TOP FM 95.8 (1994-1997)"
"KXOB (1947–1956)"
"KZPC (1990-1991, CP)"
"WLKW (2002–2017)"
"KCTD (1997&ndash;2000)"
"KQXL (1979-1981)"
"KVAD (1984-1985) Station never operated under this call."
"WKQS (1990-1991)"
"WBZ-FM (1957–81)"
"WMET (1958–1962)"
"WSCF (1986-1989)"
"KXOK-FM (1992&ndash;2000)"
"WGBT (2003–2009)"
"01)"
"WRUN-FM (1948–1976)"
"WRJK (2005-2012)"
"WCFR (1978-1987)"
"WYNF (1978–81)"
"WRIB (1947–2006)"
"KSIK (2012-2014)"
"KSRV (1946-2016)"
"WLYT (1995–2012)"
"KKVU(1990-1991)"
"KOSJ (1995-1998)"
"KUPI (1957-2007)"
"KSXX-FM (1996-1997)"
"WKXF-FM (1988-1991)"
"KWIZ (1954–1998)"
"WSPY (2002-2021)"
"KBBA (1993-1997)"
"WBGA (1987–2002)"
"KRIZ (1978–1984)"
"KSIL (1996-2004)"
"WTRS (1969-2016)"
"KTMN (1993-1997)"
"WTMN (1995–1998)"
"KMPS (1999)"
"WZAM (1976–1995)"
"CJOB-FM (1948-1976)"
"KAMG (1985-2001)"
"WJYW (1978-1982)"
"WTZR (2003-2015)"
"WIWA (2006-2019)"
"KJWR (1984-1988)"
"WQSI (1988–1996)"
"WSKT (2005–2005)"
"KPFA (1937–1945)"
"WWKC (1982–83)"
"WQOK (1955–1982)"
"2002)"
"WMAS (1932&ndash;2009)"
"WRHA (2010–2019)"
"KVLO (1996–2004)"
"KJTV-FM (2002–2002)"
"WQHJ (1990)"
"1986, CP)"
"WNTK (1988–2007)"
"1985)"
"KGCS (1980–1983)"
"KLZX (1988-1989)"
"WCBX (1970-1987)"
"WEXP-FM (1994–1995)"
"WKSO (1999&ndash;2000)"
"KYFO (1994-2006)"
"WDIX-FM (1967–1976)"
"KCCQ (1968–2014)"
"KODE (1956-1984)"
"KFMR (1964–79)"
"KRQU (2011-2012)"
"KZRC (1999-2008)"
"DYCB-AM (1957–1963)"
"WAFC-FM (2010-2019)"
"WYSR (?-1988)"
"WKRD (1994)"
"KAGH (1948–1950)"
"WKIE (1977–1990)"
"WORR-LP (2014)"
"WHUT (1960-1998)"
"WJVB (1947-1957)"
"WMRH (1990–2002)"
"WKLD (1981-2009)"
"KKDD (1985–1991)"
"KBAE (2011-2018)"
"KYAP (2012-2016)"
"KNOS (1996–1999)"
"WXUC (1987-1988)"
"KDXX (1998–2002)"
"KCLE (1989-1998)"
"WCKZ (1999-2001)"
"WPVQ (1993–2001)"
"KXJO (1999-2002)"
"WMAL-FM (1948&ndash;77)"
"KNOU (2015–20)"
"WALL-FM (1966–1981)"
"WBDJ (1979-1985)"
"KBSQ (1978-1981)"
"WDAL (1953–1954)"
"WKQB (2011-Present)"
"WODE (1988-1989)"
"KMVN (2006–2009)"
"KIVA (1999–2002)"
"KVDG (2007-2008)"
"WKSY (1998-2006)"
"WNIU (1968-1997)"
"KBMI (1982–2011)"
"WXKL (1967–1972)"
"KUJJ (1994-1995)"
"WPPZ (2004–2005)"
"KISK (1990-1994)"
"KLIF-FM (1963–66)"
"WNHW (2000-2003)"
"CJFT (1986–1991)"
"WXKS (1979–2010)"
"KADV (1987-2016)"
"WTNR-FM (July 25, 1990-May 9, 1994)"
"WEXP (1936, CP)"
"WPGF-FM (1964-?)"
"KKOA (1986-1990)"
"WEAW (1981-1987)"
"KLVO (1995-2007)"
"KGER (1998-2001)"
"KAWX (1997-2001)"
"WPDQ (1975–1987)"
"WRFM (1996–2003)"
"1992)"
"WTCA-FM (1966-1981)"
"WTCS (1950?–1957)"
"WDTL (2015-2016)"
"KSEL-FM (1963−1987)"
"WSHV (1973-2001)"
"KCMS (1953–1956)"
"KPHD (2006–2013)"
"KLSN (1988-1994)"
"WJAD (1971–1994)"
"WFOB-FM (1946-1987)"
"KLVJ (1989–1997)"
"KHRN (2000-2006)"
"WWJR (1997–2001)"
"1983"
"WEMM (1971-2004)"
"KQZR (2000-2007)"
"WXLN (1990–1991)"
"KXMG (1996&ndash;1997)"
"KVGS (2000–2022)"
"KLIO (2010–2014)"
"2012)"
"WWMD (2000–2005)"
"KJHY (1988–2005)"
"WVOZ-FM (1967-1969)"
"WFJZ (1994–1996, CP)"
"WFXF (1994–1995)"
"KLFD (1968-1989)"
"WJYR (1981–2000)"
"KROP (1946-1998)"
"WRYT (1961–66)"
"KJQY (2002-2005)"
"KHUC (March 16, 2015–July 30, 2018)"
"WCUZ (1973–1997)"
"WSJM (1956-2020)"
"WYFZ (1991-1994)"
"KQIE (2009–2010)"
"WMAP (1947-1989)"
"WYPE (1991-1992)"
"KBAY(1967-1997)"
"WRMO-FM (2019-2020)"
"KEZB (1986-1992)"
"KWIE (2007–2009)"
"KRXX (1990–1994)"
"KOGO-FM (2011–2013)"
"WXJY (1984–1988)"
"WLCL (2003)"
"KTLK (2002-2003)"
"WSUV (1991–1994)"
"WAUR (1969-1988)"
"KBRE (1971-2001)"
"WSSM (2005-2008)"
"KKHJ (1986-1988)"
"KAWV (1997-2007)"
"WBBE (2001–2005)"
"WCTU (1993-2005)"
"KHOG (1958-1986)"
"KBIL (1998-2001, CP)"
"KFIA-FM (1991–1993)"
"WWLG (2008–2013)"
"KRKD (1932&ndash;70)"
"WBAV (1987)"
"5KA (1927–1989)"
"KQDI-FM (1984-1985)"
"WQXR-FM (1939-2009)"
"KAVS (1990–2000)"
"KNAC, KNAB"
"KVOR (1931-2000)"
"WLBI (1959–1985)"
"WKDB (1993-1999)"
"2015)"
"WHAG-FM(1970–1974)"
"WSGA (1956-1999)"
"KNRQ (1995-2001)"
"KDDR-FM (1984–1992)"
"WVAA (2002-2006)"
"WVWA (2008)"
"WPPI (2005-2008)"
"WGRK (1978-1979)"
"WNMR (2009–2016)"
"KXTQ (1987-2000)"
"WHAB (1947–1948)"
"KNNN (1982–1984)"
"KRHS (1981–1991)"
"1997)"
"WRTO-FM (2003-2010)"
"KHIG (1972-1983)"
"WRIC (?-1995)"
"WKXY (1949-1999)"
"KGHI (1928–1959)"
"KFDJ (1922–1925)"
"KTGS (1998-2008)"
"WQIC (1987-1990)"
"WCGR (1961–1997)"
"KPSI (1997–2017)"
"KKRN (1997-2004)"
"KWHO (2006)"
"KGZC (1990-1996)"
"KJII (1984-1986, CP)"
"KOUZ"
"WKQL (1990-2005)"
"CFUL-FM (2007-2009)"
"WEJM (1994-1997)"
"KXRT, KVNM"
"WRQN (1976-1978)"
"WWIL (1955-1967)"
"KICI (1994–1996)"
"WAYB (1989-1992)"
"WWHI (1950–2022)"
"KMED-FM (1970-1972)"
"WVOT-FM (1961–1976)"
"KHME (1991-2015)"
"WKNN (1988–1989)"
"KNOB (1995–97)"
"KLDZ-FM (1998)"
"KSYY (2003–2004)"
"00)"
"WXKE (2006-2014)"
"WGBS (1924&ndash;1934)"
"WDUB (1962-2020)"
"WBWI-FM (1988-2015)"
"KKSN-FM (1988–2005)"
"KKOL-FM (1997-2003)"
"KLZY (1984-2006)"
"WWWR (1949-1987)"
"KXWT (1985-1989)"
"KMJK (1991-2001)"
"KKRR (1999-2001)"
"WSME (1957–1999)"
"KXTN (2014–2015)KCOR (2015–2019)"
"WADZ (1981-1988)"
"KRKD-FM (1949-1970)"
"WDBO-FM (1952-1983)"
"WSTV-FM (2008–2019)"
"KRXS-FM (1990-2005)"
"WMTW (1946-1951)"
"WBQE (July 24–31, 2017)"
"WSPT (1951–1977)"
"WMJC (1989–1990)"
"KSEE (1961–1980)"
"KIST-FM (2000–2009)"
"KWBG-FM (1975–1991)"
"WHDH (1929–1994)"
"WZZF (1986-1994)"
"WBMS (1952–1957)"
"WGMZ (1961–1984)"
"DKAOE (1996-1996)"
"WUTS-FM (1979)"
"WITH (1941-2006)"
"KKLT (1982–2005)"
"WLIP-FM (1961–1978)"
"WLOB-FM (2009-2011)"
"WSYR-FM (2003-2011)"
"WSYA (2008-2011)"
"WRAU (1990-1993)"
"KACP (2009-2011)"
"WSAI-FM (1985–1986)"
"KDKB-FM (1971–October 4, 1978)"
"WVOV (2013-2017)"
"KPCR-FM (1975–2004)"
"KWEV (2008–2009)"
"WFNC-FM (1998-2009)"
"KDEZ (1985-2007)"
"KVEE (2005-2007)"
"KJCD (2008-2013)"
"00)"
"WFRM-FM (1985–2009)"
"KRCV (1987–1991)"
"KSSY(1988-1994)"
"WEKL (2007–2013)"
"WINH-FM (1971–1975)"
"WMWR (2003–2006)"
"KBBC (1997–1999)"
"KMAY (1993-1997)"
"WHNE (1977–1979)"
"84, CP)"
"WVOR (1963-1979)"
"KRYT (1964–1977)"
"WGGY (1991–1992)"
"WFOX (1972&ndash;2006)"
"KTNT (1983-1987)"
"CBW (1937-1938)"
"WRUM (1952–1997)"
"GL.DRINE"
"8RA (1930-1931)"
"KCCF (1997–1998)"
"KAAM(1995-1998)"
"KRJH (1979–1995)"
"WELW (1965&ndash;2014)"
"KAST-FM (1984-2006)"
"WPBF (1965–1971)"
"WEUC-FM (1982-2000)"
"KNKK (1986–1988)"
"KRQY (1981–1983)"
"WMIR (2017-2021)"
"WCLR (1989–2000)"
"WFAV (1994-2002)"
"WBFB(1997–2011)"
"WKBG (1992–1996)"
"KJJZ (1982-1984)"
"WMYS (1994–2001)"
"WERU (1981–1995)"
"WKCJ (2016-Present)"
"KVVC-FM (1978-1989)"
"XHVIP-FM (early 1990s)"
"KWUN (1997–2001)"
"WBNE (2007-2015)"
"KGDN (1954–1985)"
"KRQX (1987-2010)"
"KPAY (1957)"
"WWOK (1989-1995)"
"KKEE (1972-1973)"
"WTCJ-FM (2000-2013)"
"WATB (1995–2018)"
"WYCM-LP"
"WOWW (1996)"
"KZCL (2005-2011)"
"KBUC (2000–2005)"
"KBAL (November 20&ndash;December 14, 2009)"
"WRVX (2001-2011)"
"KFXM (1929–1991)"
"WOOR (to July 1, 1985)"
"KKKX (1978–1986)"
"KANF (1995-1995)"
"WNAF (1947–1949)"
"KGC (1921–1922)"
"WVYJ (1991)"
"WDCW (1987-1990)"
"WWEZ (1993-2000)"
"WXJM (1989–present)"
"WBLT (1950-2003)"
"WZAL (1979-1992)"
"KSGU (2005–2020)"
"WRKA (1980-2008)"
"KLZX (1992-1995)"
"KGMG (1986-1994)"
"WRAN (1997–2014)"
"WXXM (1997-1999)"
"KYWL (2001-2004)"
"KADX (1984-1988)"
"WWEC-AM 640 (1963) WQHE (1990) DWWEC (2011-2012)"
"WXRG (2007–2008)"
"KHGN (1996-2010)"
"DWLQ (1977–1998)"
"WDKL (2015-18)"
"WZLI (1985-1992)"
"WKKX (1985–94)"
"KCIN (1999–2001)"
"WAMQ (1979-1992)"
"KFXF (1923-1934)"
"WWIQ (1992–1997)"
"WGUD-FM (1985-1994)"
"KOVC-FM, KLPR"
"KSCR (1990-2000)"
"Joe FM (2009-2016)"
"KYAK(1998-1998)"
"WRAV-FM (1991-93)"
"WKLS-FM (1977–1989)"
"WPLK (1959-1980s)"
