"synonym"
"Dāūdpur"
"* Dorcadion graecum (Waltl, 1838)"
"*Ozola leptogonia (Hampson, 1902)"
"*Ithomia (Oleria) xanthina (Bates, 1866)"
"*Dioptis fenestra (Walker, 1854)"
"* Nerax (Hull, 1962), TS: Asilus aestuans (Linnaeus) (orig. des.)"
"* Uraechopsis albomaculata (Breuning, 1935)"
"*Methone chrysomela eusebes (Stichel, 1919)"
"*Metendothenia mesarothra (Diakonoff, 1973)"
"* Ludius (Eschscholtz in Thon, 1829)"
"* ""Alterierythrobacter""[sic]"
"*Sipalus Schoenherr, 1825"
"Battyán"
"* Ecyrus annulatus (Chevrolat, 1862)"
"*Dolichosticha bilinealis (Hampson, 1891)"
"Chirayinkeezhu"
"*Cremastobombycia heleanthivorella (Walsingham, 1889)"
"* Schizopyge esocinus (Heckel, 1838)"
"* Patelloida profunda profunda (Deshayes, 1863)"
"Dhangāīn"
"Thabetiya"
"* Monotygma (G.B. Sowerby II, 1839)"
"Bonellitia bayeri (Petit, 1976)"
"*Megacephalom rivulosum (Saalmüller, 1881)"
"* Sigaretus tumescens (Reeve, 1864)"
"*Dudua aprobol kusaiensis (Clarke, 1976)"
"*Noctua stuposa (Fabricius, 1794)"
"Sveta Lucija (until 1961), Lucia"
"*Prabhasa fuscistriga (Hampson, 1894)"
"(Kilisköy)"
"* Callechelys guiniensis (Osório, 1893)"
"*Nacoleia ochrimarginalis (Marion, 1954)"
"* Callimation lepidum (Fiedler, 1939)"
"Khajurgāon"
"*Tortrix hypoleucana (Frolich, 1828)"
"Mir'ian"
"Trisipa"
"* Purpura quoyi (Reeve, 1846)"
"*Apphadana evulsalis (Walker,[1866])"
"Sørbygdafeltet"
"* Eudicella euthalia natalensis Allard, 1985"
"* Rhytiphora nigropunctata (Breuning) McKeown, 1947)"
"Hoshui"
"*Glaucolychna trichacera (C.S. Wu & Y.Q. Liu, 1993)"
"*Blastotrichum floccosum (Harz) Berl. & Voglino)"
"* Pterolophia albomaculipennis (Breuning, 1963)"
"*Xanthophaea concinna (Blackburn, 1901)"
"Husha, Khirbat Husha, Khǔrbet Hǔsheh"
"Apilocera Waltli (Chevrolat, 1862)"
"*Lecanicillium fungicola var. aleophilum (W.Gams & Zaayen) W.Gams & Zare (2008)"
"*Mesosemia generis (Doubleday, 1847)"
"Gemmamyces (Casagr.(1969)"
"Neptuniavis minor (Harrison&C.A.Walker, 1977)"
"Wudil kana"
"Our Lady of Fátima"
"*Cleis miokensis (Pagenstecher, 1894)"
"*Thecla aufidena (Hewitson, 1869)"
"Cerithium tomlini (Hedley, 1914)"
"*Pachyzancla cryptolepis (E. L. Martin, 1956)"
"* Vaginulus floridanus Binney, 1851"
"*Dirades obscuraria (Moore, 1887)"
"*Chilo hyrax (Bleszynski, 1965)"
"* Placobranchus guttatus Stimpson, 1855"
"Rübenkr""usel-Virus"
"Shāhbandar"
"Boreotrophon dalli (Kobelt, 1878)"
"Aspergillus circinatus (L. Mangin, (1899)"
"*Phragmataecia furiosa (Sheljuzhko, 1943)"
"Cupriavidus yeoncheonense"
"* Hybolasius vittiger (Broun, 1914)"
"* Pisodonophis oculatus (Kaup, 1856)"
"*Geometra flavicata (Thunberg, 1784)"
"*Cleis hypoleuca"
"*Coptobasoides leucothyralis"
"Brzeg Dolny Commune"
"* Oncis granifera (C. Semper, 1880) (superseded combination)"
"Ussuria napolovi (Danilevsky, 1995)"
"* Strombina phuketensis (Kosuge, Roussy & Muangman, 1998) (basionym)"
"* Xylotrupes meridionalis taprobanes (Prell, 1914)"
"*Stagmatophora enchrysa"
"* Oncideres congener (Thomson, 1868)"
"1898 Hypolyssus lycoperdoides (Bull.) Kuntze)"
"Spring Hill–City View"
"*Mimopolyoha (Matsumura, 1925)"
"*Agrotis grandirena (Herrich-Schäffer, 1868)"
"*Tineola uterella (Walsingham, 1897)"
"* Ligniperda terebrans Pallas, 1772"
"* Theticus lunulatus m. alboreducta (Breuning & Teocchi, 1982)"
"Alcobaça"
"*Desmia pehlkei (E. Hering, 1906)"
"Gorica (until 1953)"
"Kaakhka District"
"Edava"
"* Cacia aspersa m. albostictica (Breuning, 1974)"
"* Attelabus coryli  (Linnaeus,1758)"
"*Botys teutalis (Walker, 1859)"
"*Palimpsestis lineofracta (Houlbert, 1921)"
""
"Loktanella variabilis"
"(Wagner, 1852)"
"Vitularia candida (H.& A. Adams, 1864)"
"*Haemylis lugubrella (Duponchel, 1838)"
"* Ordobrevia fletcheri flavolineata (Delève, 1973)"
"Home of the panthers"
"*Botis pilalis (Hulst, 1886)"
"Benthovoluta okinavensis (MacNeil, 1961)"
"Hundar Dog"
"*Laverna corvina (Butler, 1881)"
"*Aethria lepida (Draudt, 1915)"
"* Congresox telabon (Cuvier, 1829)"
"*Glyphipteryx plenella (Busck, 1914)"
"*Phereoeca dubitatrix"
"*Pectis febrifuga (H.C. Hall)"
"*Thelephora confluens (Fr. (1815)"
"Hweiyüan"
"*Plutella semitessella (Mann, 1861)"
"*Sameodes subcostalis (Hampson, 1913)"
"*Muensterella tonii"
"* Podocarpium (Benth.) Y. C. Yang & P. H. Huang)"
"* Dorcadion weyersi m. subbrunneicolor (Breuning, 1946)"
"* Muricopsis (Murexsul) profunda (Marshall & Burch, 2000)"
"Sabarin"
"*Steganoptycha tetraquetrana kurilensis (Kuznetzov, 1969)"
"*Phibalapteryx brisciacensis (Dannehl, 1933)"
"* Lopus gothicus elegans Reuter 1896"
"*Salmacina aedificatrix (Claparède, 1870)"
"*Pleuroptya iopasalis"
"* Grouvelleus bicolor (Pic, 1923)"
"*Plusia consona"
"*Mordellistena humerosa (Ray, 1946)"
"*Aurantiporellus (Murrill (1905)"
"* Lampadion chiriquensis (Pilsbry, 1899)"
"Šent Janž (until 1955)"
"*Agrotis trifasciata (Smith, 1888)"
"* Polyclinum sabulosum( Giard, 1872)"
"*Boletus abietinus (Dicks. (1793)"
"*Libellus (Lloyd(1913)"
"* Eumecocera impustulata (Motschulsky) Solsky, 1871)"
"*Curculio prasinus (Olivier, 1791)"
"*Trametes serpens (Fr.) Fr. (1874)"
"*Culcitaria djiroftella (Amsel, 1959)"
"* Favartia (Pygmaepterys) germainae (Vokes & D'Attilio, 1980)"
"*Metarctia haematosphages (Holland, 1893)"
"* Stromatium hirtum (Fairmaire, 1850)"
"* Hyalina (Conulus) praticola (Reinhardt, 1883)"
"*Eurycreon familiaris (Meyrick, 1884)"
"*Rudolfia (Roháček, 1982)"
"Jeżowe Commune"
"Phalaena trabealis (Scopoli, 1763)"
"*Euxoa opipara (Morrison, 1875)"
"* Lychrosis zebrinus (Pascoe, 1858)"
"*Homophysa dolatalis (Möschler, 1890)"
"papanasam"
"*Eucosma brunnichana ab. albodorsana (Sheldon, 1935)"
"Pilodius etisoides (Takeda & Miyake, 1968)"
"*Geritola (Geritola) liana"
"*Retinia retiferana (Wocke, 1879)"
"*Odontia verrukawa (H.Furuk. (1974)"
"ᑭᙵᐃᑦ"
"*Gelechia pyrenemontana (Dufrane, 1955)"
"* Theodoxus fluviatilis euxinus (Clessin, 1886)"
"* Phalops divisus (Arrow, 1931)"
"*Paragus majoranae (Rondani, 1857)"
"* Macronota variegata Wallace, 1867"
"*Anarta melanopa"
"* Poirieria tenuis (Houart, 2001)"
"*Tinea metaxella (Hübner, 1813)"
"* Cassis bezoar (Gray, 1839)"
"* Glycyphana horsfieldi chinensis (Miksic, 1967)"
"Chandranigahapur, (abv.Cha.pur)"
"*Rhododispa masoni (Smith, 1896)"
"*Paranthrene myrmosiformis (Staudinger 1856)"
"*Cyclopides trisignatus (Neave, 1904)"
""
"*Macalla formisibia (Strand, 1919)"
"Jednorożec Commune"
"* Pedestredorcadion cinerarium (Fabricius, 1787)"
"*Allosphaerocera (Hendel, 1920)"
"Isabela"
"*Trametes cognatus (Berk. (1878)"
"Perrinia cecileae (Poppe, Tagaro & Dekker, 2006) (original combination)"
"*Dolichoderus imbecillus heterogaster (Santschi, 1923)"
"Mbampa"
"* Chondrorrhina latefasciata Kraatz, 1880"
"Vellore North"
"*Erebangela melanauges (Meyrick, 1886)"
"Polycystis parallela (Berk.)Fr.(1849)"
"Ampasimanolotra"
"Nowa Słupia Commune"
"*Ausaris splendens (Warren, 1897)"
"* Mutalena modica Iredale, 1944"
"*Dochephora pilosa (Warren, 1897)"
"*Talara obscura (Schaus, 1896)"
"*Pentila multiplagata ( Bethune-Baker, 1908)"
"Polyporus officinalis (Vill.)Fr.(1821)"
"*Megistias miaba (Schaus, 1902)"
"* Buccinum canetae (Clench & Aguayo, 1944) (original combination)"
"* ""Sporovibrio"" (Starkey 1938)"
"*Ptocheuusa campicolella"
"*Nothris salicicolella (Kuznetsov, 1960)"
"* Clytuselegans Haldeman, 1847"
"* Cerambyx setifer (Müller, 1776)"
"* Collonaemella Höhn., 1915"
"* Notoacmea fuscoviridis (Teramachi, 1949)"
"Broad Cove, Vaughan's Cove"
"*Capnodes cascalis (Swinhoe, 1891)"
"Bharkunia, Bharquiya"
"*Platyja rufiscripta (Swinhoe, 1904)"
"* Purpura botanica (Hedley, 1918) (original combination)"
"Saravia"
"*Tinea tostella (Hübner,[1824])"
"*Agropyron sanctum (Janka) Hackel e Formánek)"
"けいはんな学研都市"
"Pikinni Atoll, Eschscholtz Atoll"
"*Pagellus mormyrus( (Linnaeus, 1758)"
"*Pyralis ochrealis (Denis & Schiffermüller, 1775)"
"Gaszowice Commune"
"Csekefa"
"*Graphigona roseifer (Felder & Rogenhofer, 1874)"
"*Porcellana spinifrons (H. Milne-Edwards, 1837)"
"*Tinosoma (Hampson, 1894)"
"*Hadena subcurva (Walker, 1857)"
"* Coralliophila abbreviata (Lamarck, 1816)"
"* Patella caerulea var. tenuistriata (Weinkauff, 1880)"
"*Tisiphone acanthe (Hübner, 1823)"
"Taxeobacter gelupurpurascens"
"Wizna Commune"
"* Ophichthys orientalis (McClelland, 1844)"
"*Phthorimaea (Lita) terroris (Hartig, 1938)"
"Ochsenheimeria talhouki (Amsel, 1947)"
"*Vaselia (Tiegh.)"
"* Methylobacterium salsuginis (Wang et al. 2007)"
"*Neotibicen resonans"
"*Apamea formosensis"
"*Garudinia bifasciata (Rothschild, 1912)"
"*Macalla ferruginea"
"* Phytoecia (Hoplotoma) bolivari (Perez, 1874)"
"* Codophila varia longicornis ( Fuente, 1971)"
"*Gelechia scissella (Chretien, 1915)"
"*Manulea calamaria (Moore, 1878)"
"Tunghai"
"*Ternatea schiedeana (Schltdl.) Kuntze)"
"* Favartia alfredensis (Bartsch, 1915)"
"*Hymenosoma lacustris (Chilton, 1882)"
"*Nebria ferruginipes (Pic 1903)"
"* Spiniferomonas (Nicholls 1984 non Takahashi 1973)"
"Czarnocin Commune"
"Cerithium hanleyi (G.B. Sowerby II, 1855)"
"*Glaucopsis sphingidea (Perty, 1833)"
"Trophon mucrone (Houart, 1991)"
"* Rhomborrhina flammea var. cariana Gestro, 1891"
"Kasimanagar"
"Agaricus jonquilla (Lév.(1855)"
"Cerithium (Bittium) lusciniae (Watson, 1880)"
"*Semalea atimus (Holland, 1896) (nomen nudum)"
"Moszczenica Commune"
"* Homalopoma arsinoense (Issel, 1869)"
"* Strombina turrita (G.B. Sowerby I, 1832)"
"*Parthenodes bifurcalis (Wileman, 1911)"
"*Socora tenuicostella (Ragonot, 1888)"
"*Amarynthis meneria f. conflata (Stichel, 1910)"
"*Duomitus combustus (Kenrick, 1914)"
"* Turritella (Eglisia) symetrica (Hutton, 1873) (Original combination)"
"Klucze Commune"
"*Aulacodes trichoceralis (Hampson, 1897)"
"*Cryptolechia fenestella (Zeller, 1874)"
"*Hypopta mussolinii (Turati, 1927)"
"Musaffah"
"* Cerambyx quadrimaculatus (Voet, 1778 (Unav.)"
"* Nemophas zonatoides (Breuning, 1980)"
"*Cybister biungulatus Babington, 1841"
"*Xanthophaea nigricincta (Sloane, 1910)"
"*Pomasia moniliata (Warren, 1893)"
"* Echites albiflorus (Miq.) Miers)"
"*Parornix solitariella"
"* Eunidia vagevittipennis (Breuning, 1981)"
"* Blaberus biolleyi (Rehn, JAG 1905)"
"*Carama minuta Druce, 1886"
"Сутуруоха"
"*Echinus (Psammechinus) microtuberculatus (Blainville, 1825)"
"* Rosenbergia franzi (Gilmour, 1960)"
"*Hesperia subornata ( Plötz, 1883)"
"Bacillus psychrodurans"
"*Euchromia bellula (Mabille, 1890)"
"*Inotica (Meyrick, 1913)"
"Å i Lofoten"
"Schlechtendalia intermedia"
"Chowderguda"
"Antepartum haemorrhage (APH), prepartum haemorrhage"
"Turtle Island"
"*Ochroporus croceus (Pers.)J.Schröt.(1888)"
"* Voluta (Fulgoraria) delicata Fulton, 1940 (basionym)"
"Stary Zamość Commune"
"Marinobacter vinulentus"
"*Macrocilix sericea"
"* Phos gemmulatus (misspelling)"
"*Xanthophaea cylindricollis (Blackburn, 1901)"
"*Hesperia dido (Plötz, 1882)"
"Roach No. 339 (1913–1914)"
"* Leptacinus circumcaspicus (Gusarov, 1993)"
"*Noeza zachroa (Meyrick, 1914)"
"* Voluta papilio (Link, 1807) (original combination)"
"* Vexillum (Costellaria) macfadyeni Cox, L.R., 1930"
"*Batrachedra ledereriella (Meyrick, 1918)"
"Menoldin"
"Bacillus halophilus"
"* Cryptomonas (Diplotricha) (Ehrenberg 1838) Diesing 1850)"
"* ""Actinomyces roseodiastaticus"" (Duché 1934)"
"*Didothion clavatum Raf."
"Łubowo Commune"
"*Leptalis amelina (Hopffer, 1874)"
"*Polyploca bilineata (Warren, 1915)"
"*Margaronia punctilinealis (Hampson, 1918)"
"Rhopalurus ravidus Franganillo"
"*Botys onophasalis (Walker, 1859)"
"*Nepticula myricafoliella (Busck, 1900)"
"*Tenthredo morio Fabricius, 1781"
"Moorefield Station"
"Carpocapsa strigana (Curtis, 1831)"
"Ładzice Commune"
"* Saperda cinerea (Olivier, 1795)"
"*Suillus luridiformis (Rostk.)Kuntze(1898)"
"* Hammaticherus obesus (Dejean, 1837)"
"* Hirayamaia fuscorufa (Matsushita, 1937)"
"Akhlashpur"
"* Cantharidus picturatum (A. Adams, 1851)"
"*Biselachista fulgens"
"*Arbelarosa rufotessellata"
"Seimatosporium lichenicola"
"* Payraudeautia esterias (P. Bernard, 1983)"
"*Melioliphilagraminicola"
"*Bertula nyctiphanta (Turner, 1936)"
"*Lepidarbela phaga (C. Swinhoe, 1894)"
"Sphaeraspis (Giard, 1894)"
"* Tritoniopsilla elegans( (Audouin, 1826)"
"*Heliothela praegalliensis (Frey, 1880)"
"* Campsotrichum elegans Penz. & Sacc., 1902"
"* Rehnia cerberus Rehn & Hebard, 1920"
"*Epanastasis arenbergerorum"
"* Turbonilla punicea (Okutani, 1964)"
"*Zeuzera speyeri (Austaut, 1897)"
"Urophlyctis trifolii"
"*Paranotocoris echinus (Ahmad & Shadab, 1973)"
"Delayed post-hypoxic Encephalopathy, Delayed post-hypoxic Leukoencephalopathy (DPHL), Delayed post-anoxic leukoencephalopathy, Delayed post-anoxic encephalopathy, Delayed post-hypoxic encephalopathy, Delayed neurologic sequelae"
"Methylobacterium dankookensis"
"*Phycis formosa (Haworth, 1811)"
"* Acteon trifidus Totten, 1834"
"*Mycalesis golo var. obliterata (Grünberg, 1911)"
"*Ephemerophila taiwana"
"Dhanora Motya"
"* Latirus brazieri (Angas, 1877)"
"*Xylomyia gigas (Enderlein, 1921)"
"*Orthonevra splendens"
"*Botys pertentalis (Möschler, 1890)"
"*Platypeplus charadraea"
"Discula umbrinella"
"Thecloxurina (K.Johnson, 1992)"
"*Wernya solena baenzigeri (Yoshimoto, 1996)"
"Elanthancherry"
"*Chirotes (Razowski & Becker, 1999) (preocc.)"
""
"*Botys macaralis (Walker, 1859)"
"*Echinometra picta(A. Agassiz& H.L. Clark, 1907)"
"* ""Porphyrobacter tepidarius"" (Hanada et al. 1997)"
"* Turboella inconspicua (Alder, 1844)"
"*Timandra molybdias (Meyrick, 1899)"
"* Megaloharpya (Allard, 1993)"
"* Buccinulus huttoni (Kirk, 1882)"
"Rajasooriyanallur,Suranthai"
"* Burkholderia zhejiangensis (Lu et al. 2012)"
"πάνω Πλάτρες"
"* Murex brevifrons (Lamarck, 1822)"
"*Rollandina (Pat.(1905)"
"Coryneum carpophilum"
"* Onchidella capensis var. paucidenta Watson, 1925"
"* Chamaecrista (sensu Greene 1897)"
"*Botis dissectalis (Grote, 1880)"
"* Eulima dautzenbergi (Pallary, 1900)"
"Cerithium talahabense (Martin, 1899)"
"Suthri"
"Marinobacterium rhizophila"
"* Clypeomorus humilis Dunker, R.W., 1861"
"* Sphagebranchus teres (Goode & Bean, 1882)"
"Lasowice Wielkie Commune"
"Sultanpur Patti"
"* Dorcadion caucasicum (Küster) (partim.)"
"* Bursa (Bursa) monitata (Röding, P.F., 1798)"
"*Alaena rollei (Suffert, 1904)"
"*Ectogoniella (Strand, 1920)"
"*Helomyza hilaris (Zetterstedt, 1847)"
"*Chlosyne eumeda (Godman & Salvin, 1894)"
"* Hypolycaena faunus var. feminina (Sharpe, 1904)"
"Gryfino Commune"
"* Rutidosis browniiBenth."
"Ellobium chinensis"
"*Diakonoffia nigrita (Kiriakoff, 1961)"
"*Exorgana iranica (Gozmány, 1957)"
"*Prigenia viridiaurata Bates, 1889"
"*Lygridopsis (Warren, 1895)"
"* Macronota smaragdina Gory & Percheron, 1833"
"Befandriana-Avaratra"
"Kalinowo Commune"
"*Nepticula centifoliella (Zeller, 1848)"
"* Rissoa scotiana (Melvill & Standen, 1907)"
"*Limacodes pallida flavula (Herrich-Schäffer, 1854)"
"* Cantharus blochii (Valenciennes, 1830)"
"*Acidalia hydrata (Treitschke, 1829)"
"*Pouteria aurata"
"*Erilusa radialis (C. Felder, R. Felder & Rogenhofer, 1875)"
"Osiek Jasielski Commune"
"*Laspeyresia periculosa (Meyrick, 1913)"
"* Pterolophia (Pilosipraonetha) parapilosipes (Breuning, 1980)"
"*Centronia rhamses (Dognin, 1923)"
"* Aspidobraconina (Van Achterberg, 1984)"
"* Hypsioma lignicolor (Bates, 1865)"
"* Microcyclus (Ørskov 1928 (Approved Lists 1980)"
"*Tapinoma simrothi azerbeidzhanica (Karavaiev, 1932)"
"*Birtha Walker, 1865"
"CTTRC"
"Rudka Commune"
"Kovuru"
"* Buccinum trileatum (Reeve, 1846)"
"*Phialophora compacta (Carrion) Redaelli & Cif. (1942)"
"*Albunea scabra (Weber, 1795) (nomen nudum)"
"* Murex lingua (Dillwyn, 1817)"
"*Helomyza setitarsis (Czerny, 1904)"
"*Zeuxaltis (Butler, 1897)"
"*Odozana endoxantha (E. D. Jones, 1908)"
"Czarnożyły Commune"
"* Chiviniini (Shestakov, 1932)"
"* Phryneta suturalis (Pascoe, 1864)"
"*Cacoecia astrologana (Meyrick, 1889)"
"Зајаруга"
"Nocardiopsis corallicola"
"*Prillieuxia (Sacc.&Syd.(1899)"
"* Euclea bizonata (Thomson, 1865)"
"*Phyllachora roystoneae (J.R. Johnst. & Bruner, (1918)"
"Cratichneumon versicolor (Gmelin, 1790)"
"*Chalciope cumamita (Bethune-Baker, 1911)"
"Mełgiew Commune"
"*Pseudohadena (Jaxartia) gorbunovi"
"*Trachyops (Rondani, 1880)"
"*Leptura dispar (Preyssler, 1793)"
"*Cossula morgani (Clench, 1957)"
"Forcipophasia (Townsend, 1935)"
"Glaciecola agarolytica"
")"
"*Pachydia capitata (Walker, 1861)"
"* Sternodonta regalis (Browning) Laporte de Castelnau, 1840)"
"* Bulimulus serperastrus (Say)"
"Aquamicrobium aerolata"
"Melandsjø"
"*Sympycnodes trigonocosma (Turner, 1932)"
"Vrh (until 1953)"
""
"Narasimharajapura"
"*Lauron chariata (H. Druce, 1893)"
"*Anacampsoides affinitella (Bruand d’Uzelle, 1859)"
"Naukundi"
"*Timora irrorata"
"Bembicium pictum (Philippi, 1846)"
"ઝુલાસણ"
"Yizhuang Development Area (亦庄开发区)"
"*Rhaesena (Walker, 1866)"
"* Calliostoma kiheiziebisu (Otuka, 1939)"
"*Tubulifera (Spuler, 1910 (non Zopf, 1885: Tubulifera (slime mold) preoccupied)"
"*Chrysostola nivaca"
"* Tethyum fibrosum (Stimpson, 1852)"
"Kudpi"
"*Orenaia helveticalis ab. albescens (Galvagni, 1926)"
"*Ascidia hirsuta( Agassiz, 1850)"
"*Trochilina candescens (Felder, 1874)"
"*Hylotrupes juniperi (Fisher, 1915)"
"*Pyrrhia angulata (Grote, 1874)"
"*Pheidoloegeton diversus"
"*Microdochium nivale var. nivale"
"*Cryptolechia niveosella (Walker, 1864)"
"*Tinea atrella (Denis & Schiffermüller, 1775)"
"* Fusinus carvalhoriosi (Macsotay & Campos, 2001) (original combination)"
"*Sarangesa subalbida (Holland, 1893)"
"Cashel"
"Echinocactus zacatecasensis (A.Berger)"
"*Purpura haemastoma (Linnaeus, 1767)"
"Murex monoceros (d'Orbigny, 1841)"
"Жанатас"
"*Mamestra parvula (Herrich-Schäffer, 1868)"
"* Pyrrhopoda flavipennis (Kraatz, 1893)"
"* Natica ampla (Iwakawa, 1900)"
"*Tinea ferrugella (Denis & Schiffermüller, 1775)"
"Curculio pollinis ( Laicharting, 1781 )"
"Hwaiyuan"
"* Orgyia mabilli"
"*Metasis (Inoue, 1996)"
"Teliagarih"
"Kienyang"
"*Catabenoides vitrinus"
"*Podoclavella cylindrica( (Quoy & Gaimard, 1834)"
"Myxosporina platani"
"Tiruchirappalli District"
"*Cyclomycetella (Murrill(1904)"
"*Thaumatographa ceramopa"
"*Botys trinalis var. andalusica (Staudinger, 1879)"
"*Crambus textellus (Christoph, 1881)"
"*Automolis crocina (Kiriakoff, 1973)"
"*Carteia nebulilinea"
" Буор-Үрэх"
"*Lennisia (Nieuwl.(1916)"
"* Patinella polaris var. concinna (Strebel, 1908) (original combination)"
"Босанско-подрињски кантон Горажде (bs&sr)"
"Pyrenaearia oberthueri (Ancey, 1884)"
"Charkhola"
"*Castnia juturna paraguayensis"
"*Bitrimonospora indica (Sivan., Talde & Tilak (1974)"
"Chenyuan"
"* Pedestredorcadion borisi (Heyrovský, 1931)"
"*Asterias epichlora( Brandt, 1835)"
"Bara"
"*Agrotis wockei (Möschler, 1862)"
"*Hemipectrona (Schaus, 1921)"
"Kisih, Kihsi"
"Medicago polymorpha var. arabica (L.)"
"*Gelechia sinaica (Frauenfeld, 1859)"
"*Copaxa plenkeri (C. & R. Felder, 1860)"
"Melania housei I. Lea, 1856"
"Turbonilla (Strioturbonilla) attrita Dall & Bartsch, 1909"
"* Nitocris hintzi (Aurivillius, 1923)"
"Medicago hirsuta subsp. brevispina (Benth.) Ponert)"
"Psathyrella multipedata f. annulata (Hagara(2014)"
"*Longiductus ibericus (Zagulajev, 1968)"
"Himantura schmardae (Werner, 1904)"
"*Enyo iphis (Walker, 1856)"
"* Pyramidella similis (Thiele, 1925)"
"*Agrotis costalis (Walker, 1869)"
"*Ornix guttea var. solitariella (Dietz, 1907)"
"*Boarmia lineataria (Walker, 1866)"
"*Tinea bubalella (Hubner, 1813)"
"*Noctua renago (Haworth, 1809)"
"Muricopsis espinosus mariae(Finlay, 1930)"
"*Cautinia (Maas Geest.(1967)"
"* Odostomia (Auristomia) (Monterosato, 1884)"
"*Oligostigma vittatalis (Dyar, 1906)"
"* Physa duplicata G. B. Sowerby, 1874"
"*Callopistria strena (Grote, 1895)"
"Gigangarh"
"City of Yaw"
"*Perna exposita"
"*Nepticula ruficapitella ( (Haworth, 1828)"
"Pyrgula scalariformis Wolf, 1869"
"Murex tatei (Verco, 1895)"
"Kavinia subgen. Hydnocristella (R.H.Petersen) Boidin & Gilles (2000)"
"*Gelechia nigromaculella (Millière, 1872)"
"* Zizyphinus monile (Reeve, 1863)"
"* Cuspeulima iredalei ( Laseron, 1955 )"
"* Pagurus splendescens (Owen, 1839)"
"*Nebria dubia (R.F. Sahlberg, 1844)"
"Lophocochlias escondidus (Poppe, Tagaro & Goto, 2018) (original combination)"
"*Ephestia neuricella (Zeller, 1848)"
"Triton constricta (Broderip, 1833)"
"*Precis pelarga albofasciata (Suffert, 1904)"
"* Solidula nitidula (Lamarck, 1816)"
"*Cryptotermes campbelli (Light,1924)"
"*Mordella villosa"
"*Stigmella lanceifoliella (Vari, 1955)"
"*Hemeroplanes acuta (Rothschild & Jordan, 1910)"
"*Rhizogramma detersa argentea (Caradja, 1932)"
"* Eolis angulata (Alder & Hancock, 1844) (dubious synonym)"
"Itele Amoyegeso"
"*Terias gundlachia (Poey, 1851)"
"Hawar-Digathai"
"*Pyrausta perfervidalis (Hampson, 1913)"
"*Melolontha inanis (Brahm, 1793)"
"* Helladia pretiosa (Faldermann, 1837)"
"* Fasciolaria aurantiaca f. brunnea (Strebel, 1911)"
"*Equetus acuminatus (BlochandSchneider, 1801)"
"*Chiromanthes guttatum (A. Milne Edwards, 1869)"
"*Azteca lacrymosa silvae (Forel, 1899)"
"Região do Alentejo"
"*Angolasaums (sic)"
"* Voluta tornatilis (Linnaeus,1758)"
"Siphonochelus (Laevityphis) tillierae (Houart, 1985)"
"*Neosimnia quaylei (Lowe, H.N., 1935)"
"Скуцани"
"Szydłowo Commune"
"* Eulima intermedia (Cantraine, 1835)"
"*Stempfferia (Cercenia) liberti"
"*Phaloesia olympia (Butler, 1871)"
"Lomatia salicina (Fr.) P. Karst. 1889)"
"Pocillaria lamyana (Mont.) Kuntze (1898)"
"* Xystochroma equestriforme (Schmidt, 1924)"
"Cerithium fusiforme (G.B. Sowerby II, 1855)"
"* Sumeloides forchhammeri (Breuning, 1986)"
"*Auradisa tresaina (Schaus, 1922)"
"*Panaethia iridicolor (Butler, 1880)"
"* Ophichthys buettikoferi (Steindachner, 1894)"
"Ḩāfa"
"Исјек"
"*Australinocreagis texana"
"* Nyctimene ochraceovittata var. extrema (Aurivillius, 1923)"
"* Chrysocraspeda (Hampson, 1895)"
"*Depressariodes nechlys"
"Glass Factory"
"Aeromarinobacter lutaoensis,"
"*Papilio anthe (Ochsenheimer, 1807)"
"* Diboma posticata (Gahan, 1894)"
"*Carposina persicana"
"Actinomyces wedmorensis"
"* Nerita crassa (Gould, 1852)"
"Hymenagaricus subgen. Xanthagaricus (Heinem. (1984)"
"*Naxia multilineata (Holland, 1894)"
"*Clanis bicolor (Rothschild, 1894)"
