<page title>,brand name,compatibility,drive interface,drive interface standard,drive type,drive width,hot swappable,manufacturer,manufacturer part number,manufacturer website address,maximum external data transfer rate,network rj45,package type,product name,product type,rotational speed,storage capacity,wireless lan,64bit processing,audio line in,audio line out,cache,chipset manufacturer,chipset model,color,controller type,depth,displayport,esata,ethernet technology,features,firewireilink,form factor,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,green compliance certificateauthority,green compliant,hdmi,height,hybrid hard drive capacity,hybrid hard drive interface,hyperthreading,keyboard,limited warranty,maximum memory,maximum power supply wattage,memory standard,memory technology,modem,modem rj11,number of mini pci express slots,number of processors installed,number of processors supported,number of total expansion slots,number of total memory slots,number of usb 30 ports,operating system,operating system architecture,optical drive type,optical media supported,package contents,pointing device type,processor core,processor manufacturer,processor model,processor speed,processor type,product line,product model,product series,software included,ssd cache capacity,standard memory,total number of usb ports,vga,vpro technology,weight approximate,width,wireless lan standard,aspect ratio,backlight technology,battery chemistry,battery energy,bluetooth,bluetooth standard,digitizer,direct media interface,display screen technology,display screen type,expansion slot type,finger print reader,focus modes,front camerawebcam,headphonemicrophone combo port,keyboard backlight,keyboard localization,keyboard type,maximum battery run time,maximum turbo speed,memory card reader,memory card supported,microphone,multitouch screen,number of cells,operating system platform,screen mode,screen resolution,screen size,security features,sensor type,solid state drive capacity,solid state drive interface,speakers,touchpad features,touchscreen,wimax,wireless lan manufacturer,wireless lan model,wwan supported,applicationusage,maximum screen size supported,minimum screen size supported,style,error checking,length,memory size,memory speed,number of pins,plating,signal processing,thickness,adjustable display angle,adjustable display height,brightness,certifications standards,contrast ratio,dvi,hdcp supported,horizontal viewing angle,maximum resolution,mount type,number of screens,operating power consumption,platform supported,response time,screen surface,standby power consumption,vertical viewing angle,vesa mount compatible,vesa mount standard,near field communication,webcam,battery capacity,battery rechargeable,battery size,output voltage,packaged quantity,carrying options,case features,durability,hard drive configuration,hard drive interface,hard drive rpm,number of external 525 bays,number of hard drives,number of pci express x16 slots,number of pci express x8 slots,number of pci slots,quickpath interconnect,raid levels,raid supported,remote management,total hard drive capacity,buffer,bus powered,host interface,system requirements,hard drive capacity,number of usb 20 ports,duallayer media supported,memory form factor,number of 35 bays,number of pci express x1 slots,number of total expansion bays,license pricing,license quantity,license type,operating system supported,software name,average seek time,accessibility,additional information,exterior material,clock speed,input voltage,l1 cache,l2 cache,l3 cache,overclocking speed,process technology,processor socket,processor technology,thermal design power,thermal specification,sim size supported,license details,licensing program,graphics controller interface,graphics memory capacity,number of pci express x4 slots,device supported,number of modules,number of msata interfaces,expansion bay type,switchable graphics,flash memory capacity,front camera resolutionwebcam resolution,maximum standby battery time,maximum web surfing battery time,rear camera,rear camera resolution,rear camera video resolution,total number of micro usb ports,cable length,cable type,conductor,connector on first end,connector on second end,analog signal,api supported,bus width,chipset line,digital signal,dual link dvi supported,number of monitors supported,number of stream processors,number of power supplies installed,rack height,keyboardkeypad connectivity technology,keyboardkeypad depth,keyboardkeypad features,keyboardkeypad height,keyboardkeypad host interface,keyboardkeypad width,localization,number of keys,battery size supported,ergonomic fit,movement detection,movement resolution,number of batteries supported,pointing device connectivity technology,pointing device host interface,pointing device wireless technology,scroller type,number of hard drives installed,number of hard drives supported,protocols,frequency,input voltage range,maximum output power,buttons keys,charging capability,connectivity technology,powered usb,card height,ethernet aui,media type supported,network technology,number of network rj45 ports,poe rj45 port,serial port,total number of ports,usb,xjack,headphone,sata pin,output power,number of 25 bays,printed designpatterntexture,gobi supported,number of 2535 bays,number of 525 bays,number of solid state drive installed,number of solid state drive supported,power source,burst frequency,micro hdmi,horizontal frequency,panel technology,standard refresh rate,tilt angle,number of optical drives,adjustable display pivot,builtin devices,color supported,height with stand,offmode power consumption,usb standard,width with stand,depth with stand,number of speakers,number of graphic controllers,number of internal 25 bays,display size supported,display type supported,widescreen,gps,maximum video battery time,media layer supported,sas connector details,total number of sas ports,number of solid state drives,solid state drive configuration,total solid state drive capacity,language supported,keyboardkeypad cable length,flash memory,drive height,mini displayport
"Lenovo Thinkcentre M93z 10af0003us All-in-one Computer - Intel Core I5 I5-4570s 2.90 Ghz - Desktop - Business Black - 4 Gb Ram - 500 Gb Hdd - Dvd-writer - Intel Hd Graphics 4600 - Windows 7 Professional 64-bit - 23"" Display - Wireless Lan - Bluetooth - (10AF0003US) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,10AF0003US,http : //www.lenovo.com/ca/en,,Yes,,ThinkCentre M93z 10AF0003US All-in-One Computer,All-in-One Computer,,,Yes,Yes,Yes,Yes,6 MB,Intel,Q87 Express,Business Black,Serial ATA/600,9.7 '' ( 246.4 mm ),Yes,,Gigabit Ethernet,"Security Slot , Tool-less Back Cover",,Desktop,Intel,HD Graphics 4600,Shared,DDR3 SDRAM,"ENERGY STAR 5.2 , EPEAT Gold , ULE Gold , RoHS , GREENGUARD , TCO Certified Edge , EuP",Yes,,21.7 '' ( 551.2 mm ),,,,Yes,3 Year,16 GB,150 W,DDR3-1600/PC3-12800,DDR3 SDRAM,,,1.0,1.0,1.0,1.0,2.0,6.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,DVD-Writer,DVDÂ±R/Â±RW,ThinkCentre M93z 10AF0003US All-in-One Computer Keyboard Mouse Monitor Stand Windows 8 Pro License Media,Mouse,Quad-core ( 4 Core ),Intel,i5-4570S,2.90 GHz,Core i5,ThinkCentre,10AF0003US,M93z,"Rescue and Recover Password Manager ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility ThinkVantage Device Experience ThinkVantage AutoLock Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office preloaded ; purchase a product key to activate Cyberlink PowerDVD ( DVDÂ±RW , DVD ) Cyberlink Power2Go ( DVDÂ±RW ) Cyberlink PowerProducer ( DVDÂ±RW ) Evernote Intel AppUp Lenovo Solutions for Small Business Nitro Pro",,4 GB,6.0,Yes,Yes,11.57 kg,22.4 '' ( 569 mm ),IEEE 802.11b/g/n,16 : 9,LED,,,Yes,Bluetooth 4.0,,,,Active Matrix TFT Color LCD,,,,,,,,,,,No,,Yes,No,,,Full HD,1920 x 1080,23 '',,,,,,,No,,,,,,,,,,,,,,,,,,,,TUV Green Mark,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Serial ATA/600,7200.0,,,,,,,,,,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Lithium Ion 6-cell Notebook Battery Pack - Lithium Ion (li-ion) - 10.8v Dc - (PA3588U-1BRS) - SoftwareCity.ca - Canada,Toshiba,Toshiba Tecra Notebook Series : A9M9,,,,,,Toshiba,PA3588U-1BRS,http : //www.toshiba.ca,,,,Lithium Ion 6-cell Notebook Battery Pack,Notebook Battery,,,,,,,,,,,,0.8 '' ( 20.3 mm ),,,,,,,,,,,,,,8.1 '' ( 205.7 mm ),,,,,1 Year,,,,,,,,,,,,,,,,,Lithium Ion 6-cell Notebook Battery PackEU DeclarationSafety Instruction Manual,,,,,,,,,,,,,,,,313 g,1.8 '' ( 44.5 mm ),,,,Lithium Ion ( Li-Ion ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100 mAh,Yes,,10.8 V DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RoHS Compliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo 57y4393 Vga Cable - Displayport Video - Hd-15 Vga - 7.8"" - (57Y4393) - SoftwareCity.ca - Canada",Lenovo,Lenovo ThinkPad Laptop : R500T500W500X200X200 TabletX200sX301,,,,,,Lenovo Group Limited,57Y4393,http : //www.lenovo.com/ca/en,,,,57Y4393 VGA Cable,Video Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Year,,,,,,,,,,,,,,,,,,,,,,,,,57Y4393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DisplayPort 1.1aCEVCCIC-TickMICFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8 '',,Copper,1 x 20-pin DisplayPort Video,1 x 15-pin HD-15 VGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Pa3832u-1brs Notebook Battery - Lithium Ion (li-ion) - 10.8 V Dc - (PA3832U-1BRS) - SoftwareCity.ca - Canada,Toshiba,Toshiba Portege Notebook Series : R700R705,,,,,,Toshiba,PA3832U-1BRS,http : //www.toshiba.ca,,,,PA3832U-1BRS Notebook Battery,Notebook Battery,,,,,,,,,,,,0.8 '' ( 20.3 mm ),,,,,,,,,,,RoHS,Yes,,8.2 '' ( 208.3 mm ),,,,,1 Year,,,,,,,,,,,,,,,,,PA3832U-1BRS Notebook BatteryDocumentations,,,,,,,,PA3832U-1BRS,,,,,,,,317.5 g,1.7 '' ( 43.2 mm ),,,,Lithium Ion ( Li-Ion ),66 Wh,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Proprietary Battery Size,10.8 V DC,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkpad S1 Yoga 20cd00byus Ultrabook/tablet - 12.5"" - In-plane Switching (ips) Technology - Wireless Lan - Intel Core I7 I7-4600u 2.10 Ghz - Black - 8 Gb Ram - 500 Gb Hdd - 16 Gb Ssd - Windows 8.1 Pro 64-bit - Convertible - 1366 X 768 Multi-touch Screen Display (led Backlight) - Bluetooth - (20CD00BYUS) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,20CD00BYUS,http : //www.lenovo.com/ca/en,,No,,ThinkPad S1 Yoga 20CD00BYUS Ultrabook/Tablet,Ultrabook/Tablet,,,Yes,Yes,,,4 MB,,,Black,,8.7 '' ( 221 mm ),,,,,,Convertible,Intel,HD 4400,Shared,DDR3L SDRAM,"ENERGY STAR , RoHS",Yes,Yes,0.7 '' ( 18.8 mm ),,,Yes,Yes,1 Year,,45 W,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,,,,,2.0,Windows 8.1 Pro,64-bit,No,,ThinkPad S1 Yoga 20CD00BYUS Ultrabook/Tablet AC Adapter,"TouchPad , Trackpoint",Dual-core ( 2 Core ),Intel,i7-4600U,2.10 GHz,Core i7,ThinkPad,20CD00BYUS,S1 Yoga,Skype Lenovo Support Lenovo Companion Password Manager Lenovo Cloud Storage ThinkVantage System Update Norton Internet Security ( 30 days of virus definitions ) Microsoft Office Preloaded ( purchase a product key to activate ),,8 GB,2.0,,Yes,1.57 kg,12.4 '' ( 316 mm ),IEEE 802.11a/b/g/n/ac,16 : 9,LED,Lithium Polymer ( Li-Polymer ),47 Wh,Yes,Bluetooth 4.0,,5 GT/s,In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,Mini PCI Express,No,Fixed Focus,Yes,Yes,Yes,,Physical Keyboard,7 Hour,3.30 GHz,Yes,"Secure Digital ( SD ) , Secure Digital Extended Capacity ( SDXC ) , Secure Digital High Capacity ( SDHC ) , MultiMediaCard ( MMC )",Yes,Yes,8-cell,Windows,HD,1366 x 768,12.5 '',"Power-on Password Hard Disk Password Supervisor Password Security Keyhole Trusted Platform Module , TCG 1.2-compliant",Ambient Light Sensor,16 GB,M.2,Yes,Multi-touch Gesture,Yes,No,Intel,Dual Band Wireless-AC 7260,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serial ATA/300,7200.0,,,,,,,,,,,,,,,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkpad T540p 20be0085us 15.6"" Led Notebook - Intel Core I7 I7-4600m 2.90 Ghz - Black - 8 Gb Ram - 240 Gb Ssd - Dvd-writer - Nvidia, Intel Geforce Gt 730m, Hd 4600 - Windows 7 Professional 64-bit - 1920 X 1080 Display - Bluetooth - (20BE0085US) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,20BE0085US,http : //www.lenovo.com/ca/en,,Yes,,ThinkPad T540p 20BE0085US Notebook,Notebook,,,Yes,Yes,,,4 MB,Intel,QM87 Express,Black,,9.8 '' ( 248.2 mm ),Yes,,Gigabit Ethernet,,,,"NVIDIA , Intel","GeForce GT 730M , HD 4600","Dedicated , Shared",DDR3L SDRAM,"ENERGY STAR 5.0 , EPEAT Gold , GREENGUARD , RoHS",Yes,,1.2 '' ( 29.5 mm ),,,Yes,Yes,3 Year,16 GB,90 W,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,,,,2.0,2.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,DVD-Writer,DVDÂ±R/Â±RW,ThinkPad T540p 20BE0085US Notebook Lithium Ion Battery AC Adapter Windows 8 Pro ( 64-bit ) License Media,"Trackpoint , TouchPad",Dual-core ( 2 Core ),Intel,i7-4600M,2.90 GHz,Core i7,ThinkPad,20BE0085US,T540p,Lenovo Solution Center ThinkVantage Product Recovery Rescue and Recovery ThinkVantage System Update Lenovo Cloud Storage By SugarSync Intel AppUp PC Device Stage Adobe Reader Nitro Pro Evernote Skype Microsoft Office Preloaded ( purchase a product key to activate ) Norton Internet Security ( 30 days of virus definitions ) Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer,,8 GB,4.0,Yes,Yes,2.63 kg,14.8 '' ( 376.7 mm ),IEEE 802.11a/b/g/n/ac,16 : 9,LED,Lithium Ion ( Li-Ion ),99.90 Wh,Yes,Bluetooth 4.0,,5 GT/s,,Active Matrix TFT Color LCD,ExpressCard/34,Yes,,,Yes,Yes,,,11 Hour,3.60 GHz,Yes,"Secure Digital ( SD ) , Secure Digital High Capacity ( SDHC ) , Secure Digital Extended Capacity ( SDXC ) , MultiMediaCard ( MMC )",Yes,,9-cell,,Full HD,1920 x 1080,15.6 '',Security Keyhole Power-on Password Hard Disk Password Supervisor Password Trusted Platform Module TCG 1.2-Compliant,,240 GB,Serial ATA/600,Yes,Multi-touch Gesture,,,Intel,Dual Band Wireless-AC 7260,Yes,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 1 GB,,,,,Ultrabay Slim,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkvision Lt2423 24"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Nit - 1,000:1 - Full Hd - Speakers - Hdmi - Vga - 21 W - Black - Tco Certified Edge, Energy Star 6.0, Tco Certified Displays 6.0, Ule Gold, Rohs, Epeat Gold, China Energy Label (cel), Mpr Ii, Weee - (60A8KAR2US) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,60A8KAR2US,http : //www.lenovo.com/ca/en,,,,ThinkVision LT2423 24-Inch FHD LED Backlit LCD Monitor,LCD Monitor,,,,,,,,,,Black,,2 '' ( 50.8 mm ),,,,Security Lock,,,,,,,"TCO Certified Edge , ENERGY STAR 6.0 , WEEE , TCO Certified Displays 6.0 , ULE Gold , RoHS , EPEAT Gold , China Energy Label ( CEL ) , MPR II",Yes,Yes,13.5 '' ( 342.9 mm ),,,,,3 Year,,,,,,,,,,,,,,,,,ThinkVision LT2423 24-Inch FHD LED Backlit LCD Monitor Stand And Base VGA Cable Audio Cable Power Cord CD-ROM Quick Start And Safety Poster,,,,,,,ThinkVision,LT2423,,,,,,Yes,,3.76 kg,22.3 '' ( 566.4 mm ),,16 : 9,LED,,,,,,,,,,,,,,,,,,,,,,,,,Full HD,,24 '',,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,250 cd/mÂ²,TUV Green Mark TUV FCC Class B certified ISO 9241-307,"1,000 : 1",,Yes,170Â°,1920 x 1080,,1.0,31 W,PC,5 ms,,500 mW,160Â°,Yes,100 x 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110 V AC , 220 V AC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81 kHz,Twisted Nematic Film ( TN Film ),60 Hz,,,,Speaker,16.7 Million Colors,16.3 '' ( 414 mm ),,,22.3 '' ( 567.2 mm ),8.5 '' ( 215.9 mm ),2.0,,,,,,,,,,,,,,,,,,
Lenovo Thinkcentre M83 10al0009us Desktop Computer - Intel Core I5 I5-4570 3.20 Ghz - Mini-tower - Business Black - 4 Gb Ram - 500 Gb Hdd - Dvd-writer - Intel Hd 4600 - Windows 7 Professional 64-bit - (10AL0009US) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,10AL0009US,http : //www.lenovo.com/ca/en,,Yes,,ThinkCentre M83 10AL0009US Desktop Computer,Desktop Computer,,,No,Yes,Yes,Yes,6 MB,Intel,Q85 Express,Business Black,Serial ATA/600,17.4 '' ( 442.2 mm ),Yes,No,Gigabit Ethernet,Security Slot,No,Mini-tower,Intel,HD 4600,Shared,DDR3 SDRAM,"EPEAT Gold , ULE Gold , GREENGUARD , RoHS",Yes,,16.3 '' ( 414.5 mm ),,,,Yes,3 Year,32 GB,280 W,DDR3-1600/PC3-12800,DDR3 SDRAM,No,No,,1.0,1.0,3.0,4.0,4.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,DVD-Writer,DVD-RAM/Â±R/Â±RW,ThinkCentre M83 10AL0009US Desktop Computer Keyboard Mouse Windows 8 Professional License Media,Mouse,Quad-core ( 4 Core ),Intel,i5-4570,3.20 GHz,Core i5,ThinkCentre,10AL0009US,M83,Rescue and Recovery Password Manager ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office preloaded ( purchase a product key to activate ) Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,,4 GB,8.0,Yes,,11.20 kg,6.9 '' ( 175 mm ),,,,,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serial ATA/600,7200.0,2.0,,2.0,,,,,,,500 GB,,,,,,4.0,Yes,,3.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkvision E2323 23"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Nit - 3,000,000:1 - Full Hd - Dvi - Vga - Raven Black - Epeat Silver, Tco Certified Displays 6.0, Energy Star 6.0, Eu Rohs, China Rohs, Turkey Rohs, Ukraine Rohs - (60B0HAR1US) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,60B0HAR1US,http : //www.lenovo.com/ca/en,,,,ThinkVision E2323 Wide 23-Inch FHD WLED Backlit LCD Monitor,LCD Monitor,,,,,,,,,,Raven Black,,6.6 '' ( 167.2 mm ),,,,Security Lock,,,,,,,"EPEAT Silver , TCO Certified Displays 6.0 , ENERGY STAR 6.0 , EU RoHS , China RoHS , Turkey RoHS , Ukraine RoHS",Yes,,15.7 '' ( 399 mm ),,,,,3 Year,,,,,,,,,,,,,,,,,,,,,,,,ThinkVision,E2323,,,,,,Yes,,3.57 kg,21.6 '' ( 548.5 mm ),,16 : 9,LED,,,,,,,,,,,,,,,,,,,,,,,,,Full HD,,23 '',,,,,,,,,,,,,,,,,,,,,,,,Yes,,250 cd/mÂ²,China Energy Standard Tier1 VOC test,"3,000,000 : 1",Yes,,170Â°,1920 x 1080,Wall Mountable,1.0,26 W,PC,5 ms,,,160Â°,Yes,100 x 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83 kHz,Twisted Nematic Film ( TN Film ),60 Hz,-5Â°to22Â°,,,,16.7 Million Colors,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo 57y4488 Earset - Stereo - Black - Mini-phone - Wired - Earbud - Binaural - Open - (57Y4488) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,57Y4488,http : //www.lenovo.com/ca/en,,,,57Y4488 Earset,Earset,,,,,,,,,,Black,,,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57Y4488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini-phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkserver 1gbps Ethernet I350-t2 Server Adapter By Intel - Pci Expressnetwork (rj-45) - Twisted Pair - (0C19506) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,0C19506,http : //www.lenovo.com/ca/en,,Yes,,ThinkServer 1Gbps Ethernet I350-T2 Server Adapter By Intel,Gigabit Ethernet Card,,,,,,,,,,,,,,,,,,Plug-in Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.4 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Twisted Pair,10/100/1000Base-T,,No,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Essential G50 15.6"" Led Notebook - Intel Core I7 I7-4510u 2 Ghz - Black - 8 Gb Ram - 1 Tb Hdd - Dvd-writer - Intel Hd Graphics 4400 - Windows 8.1 - 1366 X 768 Display - Bluetooth - (59421808) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,59421808,http : //www.lenovo.com/ca/en,,Yes,,Essential G50 Notebook,Notebook,,,Yes,Yes,,,4 MB,,,Black,,10.4 '' ( 264.2 mm ),,,Fast Ethernet,,,,Intel,HD Graphics 4400,Shared,DDR3L SDRAM,EPEAT Silver,Yes,Yes,1 '' ( 24.9 mm ),,,Yes,Yes,,16 GB,,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,,,,,1.0,Windows 8.1,,DVD-Writer,,Essential G50 Notebook Standard Battery AC Adapter,TouchPad,Dual-core ( 2 Core ),Intel,i7-4510U,2 GHz,Core i7,Essential,,G50,,,8 GB,3.0,Yes,No,2.50 kg,15.1 '' ( 383.8 mm ),IEEE 802.11b/g/n,16 : 9,LED,,,Yes,Bluetooth 4.0,,5 GT/s,,Active Matrix TFT Color LCD,,,,,Yes,,,,5 Hour,3.10 GHz,Yes,"Secure Digital ( SD ) , MultiMediaCard ( MMC )",Yes,,4-cell,,HD,1366 x 768,15.6 '',Kensington Lock Slot OneKey Recovery,,,,Yes,Multi-touch Gesture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2200 mAh,,,,,,,,,,5400.0,,,,,,,,,,,,,,,1 TB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
