<page title>,accessories included,battery life,battery type,card reader type,connector type,graphics card,hard drive size,laptop screen size,model no,multi media drive,network connection,operating system,platform,primary color,processor brand,processor speed,processor type,product in inches l x w x h,resolution,screen type,shipping weight in pounds,store information not available,system ram,walmart no,bus speed,maximum memory expansion,here,condition,monitor size,multi pack indicator,multimedia drive
"Dell Refurbished Black 14"" E6400 Laptop PC - Walmart.com","Power Cord , Battery",,Lithium Primary,,"1 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x FireWire , 1 x Microphone , 4 x USB 2.0 , 1 x VGA",Integrated Intel GMA 4500M HD Graphics,80 GB,14 '',E6400,DVD-CDRW Combo,10/100/1000 Gigabit Ethernet & 802.11a/g Wireless LAN,Windows 7 Home Premium 64-bit,PC,Black,Intel,2.40 GHz,Intel Core 2 Duo Processor,13.1 x 9.4 x 1.3,,,10.0,Please visit your local store to see if this item is in stock .,2 GB,550938576,,8GB RAM,,Refurbished,,,
"Dell E6500 Laptop, Black 15.4"" - Walmart.com","Power Cord , Battery",,Lithium Primary,,"1 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x FireWire , 1 x Microphone , 4 x USB 2.0 , 1 x VGA",Integrated Intel GMA 4500M HD Graphics,160 GB,15.4 '',E6500,DVD-RW Drive,10/100/1000 Gigabit Ethernet & 802.11a/g Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,2.53 GHz,Intel Core 2 Duo Processor,10.1 x 10.4 x 1.3,,,10.0,Please visit your local store to see if this item is in stock .,4 GB,550938585,,8GB RAM,,Refurbished,,,
Lenovo ThinkPad T540P Window 7 laptop - Walmart.com,"Power Cord , Battery",11 hours,Lithium Ion,"4-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( MultiMediaCard ) , 1 x ( SDHC ) , 1 x ( SDXC )","1 x Dock Connector , 1 x Ethernet , 1 x Headphone/Microphone , 1 x Mini-DisplayPort , 2 x USB 2.0 , 2 x USB 3.0 , 1 x VGA",Intel HD Graphics 4600,240 GB,15.6 inch,20BE0085US,DVD Burner,10/100 Fast Ethernet & 802.11a/c Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,"2.90 GHz , with a Max Turbo Speed of 3.60 GHz",Intel Core i7-4600M Processor,20.6 x 13.1 x 3.2,1920 x 1080,"LED Backlight , AntiGlare Full HD Display",8.0,Please visit your local store to see if this item is in stock .,8 GB,552241730,,"16 GB , SO DIMM 204-pin , 1600 MHz / PC3-12800",),,,,
"Acer Aspire Laptop, V5-131-2497 - Walmart.com","Power Cord , Battery",6 hours 30 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 3 x USB 2.0 , 1 x VGA",Intel GMA HD,500 GB,11.6 inch,NX.M8AAA.004,,10/100 Fast Ethernet & 802.11a/b/g/n Wireless LAN,Windows 8 64-bit,PC,Silver,Intel,1.60 GHz,Intel Celeron 1017U Dual-Core Processor,15.1 x 9.4 x 3.5,1366 x 768,"LED Backlight , HD Display",6.0,Please visit your local store to see if this item is in stock .,4 GB,552210561,,8 GB,,,,,
"Toshiba Jet Black 15.6"" Satellite C55T-B5230 Laptop PC with Intel Celeron N2830 Processor, 4GB Memory, Touchscreen, 500GB Hard Drive and Windows 8.1: Computers : Walmart.com","Power Cord , Battery",,Lithium Ion,"6-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( MultiMediaCard ) , 1 x ( miniSD ) , 1 x ( microSD )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0 , 1 x VGA",Mobile Intel HD Graphics,500 GB,15.6 inch,C55T-B5230,SuperMulti DVD Drive,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Black,Intel,2.41 GHz,Intel Celeron N2830 Processor,14.9 x 10.2 x 1.05,1366 x 768,"LED Backlight , HD TruBrite Touchscreen Display",6.4,Please visit your local store to see if this item is in stock .,4 GB,552587338,,,,,,,
Acer Refurbished Laptop E1-510P-2671 - Walmart.com,"Power Cord , Battery",4 hours,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 2 x USB 2.0 , 1 x USB 3.0 , 1 x VGA",Intel HD Graphics,500 GB,15.6 inch,NX.MH1AA.003,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1 64-bit,PC,Black,Intel,1.86 GHz,Intel Celeron N2920 Quad-Core Processor,10.1 x 15.0 x 1.0,1366 x 768,"LED Backlight , HD Touchscreen Display",5.0,Please visit your local store to see if this item is in stock .,8 GB,552791810,,8 GB,,,,,
Dell inspiron 11 laptop with Intel Pentium Quad-Core N3530 processor - Walmart.com,"Power Cord , Battery",7 hours 30 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0",Integrated Graphics,500 GB,11.6 inch,i3147-3750sLV,,802.11b/g/n Wireless LAN,Windows 8.1 64-bit,PC,Silver,Intel,"2.16 GHz , with a Max Turbo Speed of 2.58 GHz",Intel Pentium Quad-Core N3530 Processor,11.81 x 7.9 x 0.76,1366 x 768,"LED Backlight , HD Truelife Touchscreen Display",5.95,Please visit your local store to see if this item is in stock .,4 GB,552753218,,4 GB,,,,,
"Acer Aspire Switch SW5-011 with WiFi 10.1"" Touchscreen Tablet PC - Walmart.com","AC Adapter , Keyboard Dock",,Lithium Ion,,"1 x HDMI , 1 x Headphone/Microphone , 1 x MicroUSB 2.0",,64 GB,N/A,NT.L47AA.003,,802.11a/b/g/n Wireless LAN,Windows,PC,White,Intel,1.33 GHz,Intel Atom Z3745 Quad-Core Processor,15.8 x 9.2 x 4.9,,Capacitive Touch Display,7.15,Please visit your local store to see if this item is in stock .,2 GB,552755835,,,,,,,
"Acer 14"" TravelMate TMP645-MG-54208G25tkk Laptop with Intel Core i5-4200U Dual-Core Processor - Walmart.com","Power Cord , Battery",8 hours,Lithium Ion,,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 3 x USB 2.0","AMD Radeon HD 8750M , 2 GB",256 GB,14.0 inch,NX.V8SAA.001,,10/100/1000 Gigabit Ethernet & 802.11a/b/g/n Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,1.60 GHz,Intel Core i5-4200U Processor,17.0 x 12.0 x 3.5,1920 x 1080,"LED Backlight , Full HD Display",8.2,Please visit your local store to see if this item is in stock .,8 GB,551956451,,12 GB,,,,,
"Samsung mineral ash black 13.3"" ativ book 9 lite laptop, NP915S3G - Walmart.com","Power Cord , Battery , Ethernet Dongle",5 hours 30 minutes,Lithium Ion,"3-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC )","1 x DC-in , 1 x Ethernet , 1 x Headphone/Microphone , 1 x MicroHDMI , 1 x Mini-VGA , 1 x USB 2.0 , 1 x USB 3.0",AMD Radeon HD 8250,128 GB,13.3 inch,NP915S3G-K01JM,,10/100/1000 Gigabit Ethernet & 802.11a/b/g/n Wireless LAN,Windows 8 64-bit,PC,Black,,1.40 GHz,Quad-Core Processor,12.76 x 8.82 x 0.69,1366 x 768,"LED Backlight , HD Capacitive Touchscreen Display",5.0,Please visit your local store to see if this item is in stock .,4 GB,552667524,,,,,,,
Toshiba Satellite Laptop C55-B5299 in Jet Black - Walmart.com,"Power Cord , Battery",,Lithium Ion,"6-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( MultiMediaCard ) , 1 x ( miniSD ) , 1 x ( microSD )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0 , 1 x VGA",Mobile Intel HD Graphics,500 GB,15.6 inch,Toshiba PSCMLU-02801M,,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Black,Intel,2.41 GHz,Intel Celeron N2830 Processor,14.96 x 10.2 x 1.05,1366 x 768,"LED Backlight , HD TruBrite Display",6.4,Please visit your local store to see if this item is in stock .,2 GB,552740125,,,,,,,
"Acer Aspire Laptop PC, E1-771-33116G50Mnii - Walmart.com","Power Cord , Battery",3 hours,Lithium Ion,,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 3 x USB 2.0",Intel HD Graphics 4000,500 GB,17.3 inch,NX.MG7AA.006,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 7 Home Premium 64-bit,PC,Gray,Intel,2.40 GHz,Intel Dual-Core i3-3110M Processor,16.3 x 10.8 x 1.2,1600 x 900,"LED Backlight , CineCrystal Widescreen HD+ Display",7.1,Please visit your local store to see if this item is in stock .,6 GB,552307985,,8 GB,),,,,
"HP Twinkle Black/Vibrant Red 15.6"" Pavilion Beats Special Edition 15-p030nr Laptop PC with AMD A8-5545M Quad-Core Processor, 8GB Memory, 1TB Hard Drive, Touchscreen and Windows 8.1: Computers : Walmart.com","Power Cord , Battery",4 hours 45 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 2 x USB 3.0",AMD Radeon HD 8510G,1 TB,15.6 inch,HP Beats Special Edition 15-P030Nr,SuperMulti DVD Burner,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Multi-Color,AMD,"1.70 GHz , with a Max Turbo Speed of 2.70 GHz",AMD Quad-Core A8-5545M APU Processor,10.24 x 15.14 x 0.99,1366 x 768,"LED Backlight , HD Touchscreen Display",7.5,Please visit your local store to see if this item is in stock .,8 GB,552832924,,,,,,,
"Lenovo ThinkPad Laptop, T440P - Walmart.com","Power Cord , Battery",12 hours 42 minutes,Lithium Ion,"4-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( MultiMediaCard ) , 1 x ( SDHC ) , 1 x ( SDXC )","1 x Dock Connector , 1 x Ethernet , 1 x Headphone/Microphone , 1 x Mini-DisplayPort , 2 x USB 2.0 , 2 x USB 3.0 , 1 x VGA",Intel HD Graphics 4600,240 GB,14.0 inch,20AN009CUS,DVD Burner,10/100 Fast Ethernet & 802.11a/c Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,"2.90 GHz , with a Max Turbo Speed of 3.60 GHz",Intel Core i7-4600M Processor,15.1 x 11.4 x 5.0,1600 x 900,"LED Backlight , AntiGlare HD+ Display",8.0,Please visit your local store to see if this item is in stock .,8 GB,552241735,,"16 GB , SO DIMM 204-pin , 1600 MHz / PC3-12800",),,,,
HP Black 23 g017c Refurbished All-in-One Desktop - Walmart.com,,,Does Not Contain a Battery,,,,1TB,,23-g017Refurb,,,Windows 8.1,,Black,,,AMD Quad-Core A6-5200 Accelerated Processor,21.96 x 3.2 x 15.9,1920 x 1080,,24.6,Please visit your local store to see if this item is in stock .,4 GB,552890240,,,,,23 '',No,Slim Tray SuperMulti DVD Burner
"Acer 17.3"" Laptop PC, Satellite, V3-772G - Walmart.com",,,,,,,1 TB,17.3 inch,,,,Windows,,,Intel,,Intel Core i7-4702MQ Processor,,,,10.0,Please visit your local store to see if this item is in stock .,,551660382,,,,,,,
Acer C720 2420 Chromebook - Walmart.com,"Power Cord , Battery",8 hours 30 minutes,Lithium Ion,1 x SD Card Reader,"1 x Converter Port , 1 x DC-in , 1 x HDMI , 1 x USB 2.0 , 1 x USB 3.0",Intel GMA HD,32 GB,11.6 inch,NX.SHEAA.007,,802.11a/b/g/n Wireless LAN,Chrome,,Gray,Intel,1.40 GHz,Intel Celeron 2955U Dual-Core Processor,8.0 x 11.3 x 0.8,1366 x 768,"LED Backlight , ComfyView HD Display",2.76,Please visit your local store to see if this item is in stock .,2 GB,552261101,,,,,,,
"Toshiba 17.3"" Satellite Laptop PC L75-B7240 - Walmart.com","Power Cord , Battery",,Lithium Ion,"6-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( MultiMediaCard ) , 1 x ( miniSD ) , 1 x ( microSD )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone , 1 x Microphone , 2 x USB 2.0 , 2 x USB 3.0 , 1 x VGA",Mobile Intel HD Graphics,1 TB,17.3 inch,Toshiba PSKRLU-01200M,SuperMulti DVD Drive,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Gold,Intel,2.70 GHz,Intel Core i5-4210U Processor,16.3 x 10.6 x 1.3,1600 x 900,"LED Backlight , HD+ TruBrite Display",7.9,Please visit your local store to see if this item is in stock .,8 GB,552740145,,16 GB,,,,,
"HP Graphite Pavilion 13-p120nr X2 13.3"" Laptop PC - Walmart.com","Power Cord , Battery",,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 1 x USB 3.0",AMD Radeon HD 8250,64 GB,13.3 inch,HP 13-p120nr,,802.11b/g/n Wireless LAN,Windows 8.1,PC,Black,AMD,"1.00 GHz , with a Max Turbo Speed of 1.40 GHz",AMD Elite Mobility Quad-Core A6-1450 Accelerated Processor,0.44 x 13.38 x 8.5,1366 x 768,"LED Backlight , HD Touchscreen Display",6.75,Please visit your local store to see if this item is in stock .,4 GB,552178632,,8 GB,,,,,
"HP 17.3""A Pavilion Laptop, 17-f019wm, Ash Silver - Walmart.com","Power Cord , Battery",,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 2 x USB 3.0",AMD Radeon HD 8610G with 4224MB of dedicated system memory,1 TB,17.3 inch,17-F019WM,SuperMulti DVD Burner,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Silver,AMD,"2.10 GHz , with a Max Turbo Speed of 2.90 GHz",AMD Quad-Core A10-5745M APU Processor,10.98 x 16.51 x 1.09,1600 x 900,"LED Backlight , HD+ BrightView Display",8.0,Please visit your local store to see if this item is in stock .,8 GB,552879772,,,,,,,
"Toshiba 15.6"" Satellite Laptop S55-B5268 - Walmart.com","Power Cord , Battery",,Lithium Ion,"6-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( MultiMediaCard ) , 1 x ( miniSD ) , 1 x ( microSD )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone , 1 x Microphone , 1 x USB 2.0 , 2 x USB 3.0",AMD Radeon R7 M260 with 2GB of dedicated system memory,1 TB,15.6 inch,Toshiba PSPQ6U-01600T,,10/100/1000 Gigabit Ethernet & 802.11ac Wireless LAN,Windows 8.1,PC,Gold,Intel,3.10 GHz,Intel Core i7-4510U Processor,14.96 x 10.2 x 0.93,1366 x 768,"LED Backlight , HD TruBrite Display",6.5,Please visit your local store to see if this item is in stock .,12 GB,552751656,,,,,,,
"Dell 17.3"" Inspiron Laptop PC, 17 5748 - Walmart.com","Power Cord , Battery",5 hours 26 minutes,Lithium Ion,"3-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0",Integrated Graphics,1 TB,17.3 inch,i5748-7143sLV,Tray Load DVD Drive,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1 64-bit,PC,Silver,Intel,2.70 GHz,Intel Core i5-4210U Processor,16.3 x 11.2 x 1.1,1920 x 1080,"LED Backlight , Full HD Touchscreen Display",9.13,Please visit your local store to see if this item is in stock .,8 GB,552701147,,8 GB,,,,,
"HP Graphite 13.3"" Pavilion 13-p117cl convertible laptop PC - Walmart.com","AC Adapter , Battery",8 hours,Lithium Ion,"1 x SD Card Reader,1 x Micro-SD Card Reader","1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 1 x USB 3.0",Intel HD Graphics 4200 with 1792MB of dedicated system memory,320 GB,13.3 inch,13-p117cl,,802.11b/g/n Wireless LAN,Windows 8.1,PC,Black,Intel,"1.50 GHz , with a Max Turbo Speed of 1.90 GHz",4th gen Intel Core i5-4210Y Processor,9.05 x 13.38 x 1.0,1366 x 768,"LED Backlight , HD IPS Touchscreen Display",7.0,Please visit your local store to see if this item is in stock .,4 GB,552178513,,4 GB,,,,,
"Acer 15.6"" Laptop, E1-572-6497 - Walmart.com","Power Cord , Battery",4 hours,Lithium Ion,1 x SD Card Reader,"1 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x HDMI , 2 x USB 2.0 , 1 x USB 3.0",Intel HD Graphics 4400 with 128MB of dedicated system memory,1 TB,15.6 inch,E1-572-6497,8x DVD-SuperMulti Double-Layer Drive,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Red,Intel,"1.60 GHz , with a Max Turbo Speed of 2.60 GHz",Intel Core i5-4200U Processor,15.02 x 10.08 x 1.05,1366 x 768,"LED Backlight , CineCrystal Widescreen HD Display",7.0,Please visit your local store to see if this item is in stock .,6 GB,552221333,,8 GB,,,,,
"Toshiba Satellite 15.6 Laptop 6GB Memory 750GB Hard Drive, C55-B5265 - Walmart.com","Power Cord , Battery",,Lithium Ion,"6-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( MultiMediaCard ) , 1 x ( miniSD ) , 1 x ( microSD )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0 , 1 x VGA",Mobile Intel HD Graphics,750 GB,15.6 inch,Toshiba Satellite C55-B5265,SuperMulti DVD Drive,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Black,Intel,2.70 GHz,Intel Core i5-4210U Processor,10.2 x 14.96 x 1.05,1366 x 768,"LED Backlight , HD TruBrite Display",6.4,Please visit your local store to see if this item is in stock .,6 GB,552828775,,,,,,,
"Acer Black 14"" TravelMate P6 TMP645-MG-7653 Laptop PC with Intel Core i7-4500U Dual-Core Processor, 8GB Memory, 256GB SSD and Windows 7 Professional: Computers : Walmart.com","Power Cord , Battery",8 hours,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 3 x USB 3.0 , 1 x VGA",AMD Radeon HD 8750M with 2GB of dedicated system memory,256 GB,14.0 inch,NX.V93AA.006,,10/100/1000 Gigabit Ethernet & 802.11a/b/g/n Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,"1.80 GHz , with a Max Turbo Speed of 3.00 GHz",Intel Core i7-4500U Dual-Core Processor,15.0 x 12.2 x 3.7,1920 x 1080,"LED Backlight , Full HD Display",7.75,Please visit your local store to see if this item is in stock .,8 GB,552858545,,12 GB,,,,,
"HP All-In-One Desktop PC, black 19-2113w - Walmart.com",,,Does Not Contain a Battery,,,,500GB,,19-2113w,,,Windows 8.1,,Black,,,Intel Celeron J1800 Processor,19.49 x 2.43 x 13.35,1600 x 900,,8.0,Please visit your local store to see if this item is in stock .,4 GB,552587340,,,,,19.45 '',No,Slim Tray SuperMulti DVD Burner
Lenovo Ultrabook ThinkPad X1 Carbon 20A7002FUS Laptop - Walmart.com,"Power Cord , Battery",8 hours 42 minutes,Lithium Ion,,"1 x DC-in , 1 x DisplayPort , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 3.0",Intel HD Graphics 4400,128 GB,14.0 inch,20A7002FUS,,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,"1.60 GHz , with a Max Turbo Speed of 2.60 GHz",Intel Core i5-4200U Dual-Core Processor,15.0 x 12.5 x 5.4,1600 x 900,"LED Backlight , HD+ Display",5.75,Please visit your local store to see if this item is in stock .,4 GB,552543676,2500MHz,,),,,,
"Acer Aspire V3 Laptop PC,17.3"",Sophisticated Black - Walmart.com",,,,,,,1 TB,17.3 inch,,,,Windows 8.1,,,Intel,,Intel Core i7-4702MQ Processor,,,,10.05,Please visit your local store to see if this item is in stock .,,552238480,,,,,,,
