<page title>,depth,display size,display type,green compliance,height,included devices,included network card,input devices,installed memory,interface connection,laptop type,memory technology,number of cells,processor class,processor speed,solid state drive capacity,url,warranty information,width,battery life,operating system,slots,video chipset,weight,color,hard drive capacity,included drives,maximum memory,aspect ratio,cache size,installed video memory,max resolution,number of hard drives included,number of processor cores,64bit processing,battery energy,brand name,bus speed,dimensions,drive controllers,duallayer media support,graphics memory technology,hard drive rpm,network rj45,normalizedcache size,normalizeddisplay size,normalizedhard drive capacity,normalizedheight,normalizedinstalled memory,normalizedinstalled video memory,normalizedprocessor speed,normalizedweight,number of total memory slots,number of usb 20 ports,product line,screen mode,software included,total number of usb ports,video bus,video integration,video memory,wifi manufacturer,wifi model,number of solid state drives included,parent retsku,direct media interface,headphonemicrophone combo port,hyperthreading,memory card reader,multitouch screen,number of usb 30 ports,processor model,product series,touchpad features,audio line out,frequency band,keyboard backlight,maximum power supply wattage,operating system architecture,product model,tv card,category,class,modem,modem rj11,front camera,keyboard type,operating system platform,solid state drive interface,audio codec,audio line in,near field communication,vpro technology,cd rewrite speed,cd write speed,cdrom read speed,dvdrom read speed,normalizedcd rewrite speed,normalizedcd write speed,normalizeddvdrom read speed,wwan support
"Acer Aspire S7-392-74508G25tws 13.3"" Touchscreen LED In-plane Switching IPS Technology Ultrabook - Intel Core I7 I7-4500U 1.80 GHz - Crystal White (8 GB RAM - 256 GB SSD - Intel HD 4400 - Windows 8 Pro 64-bit - 1920 X 1080 Display - Bluetooth) Price Comparison at Buy.net",8.8 in,13.3 in,In-plane Switching ( IPS ) Technology LED Backlight,,0.5 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n,TouchPad|Touch Screen Yes,8 GB,2 x USB 3.0|HDMI Yes|Audio Line Out Yes,Ultrabook,DDR3L SDRAM,4-cell,Intel Core i7,1.80 GHz,256 GB,http : //us.acer.com,,12.7 in,8 Hour,Windows 8 Pro,Secure Digital ( SD ) Card,Intel HD 4400,2.87 lbs,,,,,,,,,,,Yes,,Acer,,,,,DDR3 SDRAM,,,,,,,,,,,,,Aspire,Full HD,,2.0,,,,Intel,Wireless-N 7260,,B00E4XT26M,,,Yes,Yes,Yes,2.0,i7-4500U,S7-392,,Yes,Wireless LAN : Acer Nplify 802.11a/b/g/n,Yes,45 W,64-bit,S7-392-74508G25tws,No,,,,,,,,,,,,,,,,,,,,
"Toshiba CB30-A3120 Sunray Silver 13.3"" Ultrabook (1.4 GHz Intel Celeron 2955U, 2 GB DDR3, 100 GB HDD + 16 GB SSD, Intel HD Graphics, Chrome OS, LED Backlight) Price Comparison at Buy.net",8.9 in,13.3 in,LCD Display w/ Glossy Screen & LED Backlight,RoHS|EPEAT Gold|Energy Star,0.8 in,Built-In Webcam,Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11a|Bluetooth,Touchpad|Keyboard,2 GB,USB - Universal Serial Bus 3.0|HDMI|Audio - Line In ( 1/8 '' Mini ) |Audio - Line Out ( 1/8 '' Mini ),Ultra Portable,DDR3,4-cell,Intel Celeron Dual Core,1.4 GHz,16 GB,http : //www.toshiba.com/us/computers/laptops/chromebook/cb30/CB30-A3120,1 year ( s ),12.9 in,9 hour ( s ),Chrome OS,SDXC Card|SDHC Card|SD Card|miniSD Card,Intel HD Graphics,3.3 lbs,Silver,100 GB,,2 GB,16 : 9,2 MB,,1366 x 768 ( WXGA ),1,Dual-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) ZBook 17 17.3"" LED Notebook - Intel - Core I7 I7-4700MQ 2.4GHz - Brushed Aluminum (16 GB RAM - 750 GB HDD - 32 GB SSD - Blu-ray Reader/DVD-Writer - NVIDIA, Intel Quadro K3100M, HD 4600 - Windows 7 Professional 64-bit - 1920 X 1080 Display - Bluetooth) Price Comparison at Buy.net",10.7 in,17.3 in,LED Backlight,ENERGY STAR|RoHS|EPEAT Gold|WEEE|EU WEEE|IT Eco Declaration,1.3 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Pointstick,16 GB,1 x USB 2.0|3 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes|Thunderbolt Yes,Notebook,DDR3 SDRAM,8-cell,Intel Core i7,2.40 GHz,32 GB,http : //www.hp.com,3 Year,16.4 in,,Windows 7 Professional Upgradable to Windows 8 Pro,ExpressCard/54|Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ),NVIDIA|Intel Quadro K3100M|HD 4600,,Brushed Aluminum,750 GB,BD-ROM/DVD-RAM/R/RW,32 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 17 I17RV-8273BLK Black 17.3"" Notebook (1.9 GHz Intel Pentium 2127U, 4 GB DDR3, 500 GB HDD, DVD±RW, Intel HD Graphics 4000, Windows 8, LED Backlight) Price Comparison at Buy.net",10.6 in,17.3 in,LCD Display w/ Glossy Screen & LED Backlight,Energy Star,1.17 in,Built-In Webcam,Fast Ethernet|Wireless Ethernet - IEEE802.11b|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11n|Bluetooth,Touchpad|Keyboard,4 GB,USB - Universal Serial Bus 3.0|USB - Universal Serial Bus 2.0|HDMI|Ethernet - RJ45|Audio - Line In ( 1/8 '' Mini ) |Audio - Line Out ( 1/8 '' Mini ),,DDR3,4-cell,Intel Pentium Dual-Core,1.9 GHz,,http : //www.dell.com/us/p/inspiron-17-3721/pd,1 year ( s ),16.2 in,,Windows 8,SDHC Card|SDXC Card|SD Card|MultiMedia Card Plus ( MMC+ ) |MultiMedia Card ( MMC ) |Memory Stick XC|Memory Stick|Memory Stick PRO,Intel HD Graphics 4000,5.82 lbs,Black,500 GB,DVD+-RW,6 GB,16 : 9,2 MB,,1600 x 900,1,Dual-Core,,,,5 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) ZBook 15 15.6"" LED Notebook - Intel - Core I7 I7-4800MQ 2.7GHz - Graphite (16 GB RAM - 750 GB HDD - DVD-Writer - NVIDIA, Intel Quadro K2100M, HD 4600 - Windows 7 Professional 64-bit English - 1920 X 1080 Display - Bluetooth - English Keyboard) Price Comparison at Buy.net",10.1 in,15.6 in,LED Backlight,ENERGY STAR|EPEAT Gold|IT Eco Declaration,1.2 in,Built-In Microphone Yes|Built-In Fingerprint Reader Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0 + LE,TouchPad|Pointstick,16 GB,1 x USB 2.0|3 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes|Thunderbolt Yes,Notebook,DDR3L SDRAM,8-cell,Intel Core i7,2.70 GHz,,http : //www.hp.com,3 Year,15 in,14.25 Hour,Windows 7 Professional Upgradable to Windows 8 Pro ( English ),ExpressCard/54|Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),NVIDIA|Intel Quadro K2100M|HD 4600,6.46 lbs,Graphite,750 GB,DVD-RAM/R/RW,32 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung ATIV Book 9 Plus NP940X3G 13.3"" Touchscreen LED SuperBright Ultrabook - Intel Core I5 I5-4200U 1.60 GHz - Ash Black (8 GB RAM - 128 GB SSD - Intel HD 4400 - Windows 8.1 Pro 64-bit - 3200 X 1800 Display - Bluetooth) Price Comparison at Buy.net",8.8 in,13.3 in,SuperBright LED Backlight,ENERGY STAR,0.5 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,ClickPad|Touch Screen Yes,8 GB,2 x USB 3.0|HDMI Yes|VGA Yes,Ultrabook,DDR3 SDRAM,4-cell,Intel Core i5,1.60 GHz,128 GB,http : //www.samsungusa.com,3 Year,12.6 in,11 Hour,Windows 8.1 Pro,Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),Intel HD 4400,3.06 lbs,Ash Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire E1-731-20204G50Mnii 17.3"" LED Notebook - Intel Pentium 2020M 2.40 GHz (4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD Graphics - Windows 7 Home Premium 64-bit - 1600 X 900 Display - Bluetooth) Price Comparison at Buy.net",10.8 in,17.3 in,LED Backlight,,1.4 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes,IEEE 802.11b/g/n|Gigabit Ethernet,TouchPad,4 GB,1 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes,Notebook,DDR3 SDRAM,6-cell,Intel Pentium,2.40 GHz,,http : //us.acer.com,,16.3 in,3 Hour,Windows 7 Home Premium,Secure Digital ( SD ) Card,Intel HD Graphics,7.05 lbs,,500 GB,DVD-RAM/R/RW,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) Pavilion Dm1-4300 Dm1-4310nr 11.6"" LED BrightView Notebook - AMD - E-Series E2-1800 1.7GHz - Ash Black (4 GB RAM - 500 GB HDD - AMD Radeon HD 7340 - Windows 8 - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",,11.6 in,BrightView LED Backlight,,,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11b/g/n|Gigabit Ethernet,,4 GB,Ethernet RJ-45 Yes,Notebook,DDR3 SDRAM,,AMD E-Series,1.70 GHz,,http : //www.hp.com,,,,Windows 8,Secure Digital ( SD ) Card|MultiMediaCard ( MMC ),AMD Radeon HD 7340,,Ash Black,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo T540p 20BE004EUS 15.6"" LED Notebook - Intel - Core I5 I5-4300M 2.6GHz - Black (4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4600 - Windows 7 Professional 64-bit - 1920 X 1080 Display - Bluetooth) Price Comparison at Buy.net",9.8 in,15.6 in,LED Backlight,EPEAT Gold|ENERGY STAR 5.0|GREENGUARD|RoHS,1.2 in,Built-In Microphone Yes|Built-In Fingerprint Reader Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,Trackpoint|TouchPad,4 GB,2 x USB 2.0|2 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes,Notebook,DDR3L SDRAM,6-cell,Intel Core i5,2.60 GHz,,http : //www.lenovo.com/us/en/,3 Year,14.8 in,7 Hour,Windows 7 Professional,ExpressCard/34|MultiMediaCard ( MMC ) |Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),Intel HD 4600,5.31 lbs,Black,500 GB,DVDR/RW,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo S1 Yoga 20CD00AVUS Ultrabook/Tablet - 12.5"" - In-plane Switching IPS Technology - Intel - Core I5 I5-4300U 1.9GHz - Black (4 GB RAM - 180 GB SSD - Windows 8.1 Pro 64-bit - Convertible - 1920 X 1080 Multi-touch Screen Display LED Backlight)) Price Comparison at Buy.net",8.7 in,12.5 in,In-plane Switching ( IPS ) Technology LED Backlight,ENERGY STAR|RoHS,0.8 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Keyboard Backlight Yes,IEEE 802.11ac|Bluetooth 4.0,TouchPad|Trackpoint|Stylus|Touch Screen Yes,4 GB,2 x USB 3.0|HDMI Yes|Ethernet RJ-45 No,Ultrabook/Tablet,DDR3L SDRAM,8-cell,Intel Core i5,1.90 GHz,180 GB,http : //www.lenovo.com/us/en/,1 Year,12.4 in,7 Hour,Windows 8.1 Pro,Mini PCI Express|Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ) |MultiMediaCard ( MMC ),Intel HD 4400,3.59 lbs,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus ZENBOOK UX301LA-XH72T 13.3"" Touchscreen Notebook - Intel Core I7 I7-4558U 2.80 GHz - Blue (8 GB RAM - 512 GB SSD - Intel HD 5100 - Windows 8 Pro 64-bit - 2560 X 1440 Display - Bluetooth) Price Comparison at Buy.net",8.8 in,13.3 in,,RoHS|ENERGY STAR 4.0|EPEAT,0.6 in,Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11ac|Bluetooth 4.0,Touch Screen Yes,8 GB,2 x USB 3.0|HDMI Yes|Audio Line Out Yes|DisplayPort Yes,Notebook,DDR3L SDRAM,6-cell,Intel Core i7,2.80 GHz,512 GB,http : //usa.asus.com,1 Year,12.8 in,8 Hour,Windows 8 Pro,Secure Digital ( SD ) Card|MultiMediaCard ( MMC ),Intel HD 5100,2.60 lbs,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer C720P-2600 Moonstone White 11.6"" Chromebook (1.4 GHz Intel Celeron 2955U, 2 GB DDR3, 32 GB SSD, Intel HD Graphics, Chrome OS, LED Backlight) Price Comparison at Buy.net",8 in,11.6 in,LCD Display w/ LED Backlight,,0.8 in,Built-In Webcam,Bluetooth,Touchpad|Touch Screen|Keyboard,2 GB,USB - Universal Serial Bus 3.0|USB - Universal Serial Bus 2.0|HDMI|Audio - Line In ( 1/8 '' Mini ) |Audio - Line Out ( 1/8 '' Mini ),Ultra Portable,DDR3,3-cell,Intel Celeron,1.4 GHz,32 GB,http : //us.acer.com/ac/en/US/content/model/NX.MEKAA.001,1 year ( s ),11.3 in,7.5 hour ( s ),Chrome OS,SD Card,Intel HD Graphics,2.98 lbs,White,,,16 GB,16 : 9,2 MB,,1366 x 768 ( WXGA ),,Dual-Core,,,,5 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer NE52213u-12504G50Mnsk 15.6"" LED UltraBright Notebook - AMD E-Series E1-2500 1.40 GHz - Silver (4 GB RAM - 500 GB HDD - DVD-Writer - Windows 8 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",10.1 in,15.6 in,UltraBright LED Backlight,,1 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes,IEEE 802.11b/g/n|Gigabit Ethernet,TouchPad,4 GB,2 x USB 2.0|1 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line Out Yes,Notebook,DDR3L SDRAM,4-cell,AMD E-Series,1.40 GHz,,http : //us.acer.com,,15 in,4.50 Hour,Windows 8,Secure Digital ( SD ) Card,,5.29 lbs,Silver,500 GB,DVD-RAM/R/RW,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI GT70 DominatorPro-890 Black 17.3"" Notebook (2.7 GHz Intel Core I7-4800MQ, 12 GB DDR3, 1 TB HDD, BD-ROM, NVIDIA Geforce GTX 880M, Windows 8.1, LED Backlight) Price Comparison at Buy.net",11.34 in,17.3 in,LCD Display w/ Matte Screen & LED Backlight,,2.17 in,Built-In Webcam|Keyboard Backlight,Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11b|Wireless Ethernet - IEEE802.11a|Bluetooth,Touchpad|Keyboard,12 GB,USB - Universal Serial Bus 2.0|USB - Universal Serial Bus 3.0|VGA|HDMI|DisplayPort|Audio - Line In ( 1/8 '' Mini ) |Audio - Line Out ( 1/8 '' Mini ),,DDR3,9-cell,Intel Core i7,2.7 GHz,,http : //www.msimobile.com/level3_productpage.aspx ? cid=6 & id=449,2 year ( s ),16.85 in,,Windows 8.1,SDXC Card|SDHC Card|SD Card,,8.6 lbs,Black,1 TB,BD-ROM,32 GB,16 : 9,6 MB,8 GB,1920 x 1080,1,Quad-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo T440s 20AQ004GUS 14"" Touchscreen LED In-plane Switching IPS Technology Ultrabook - Intel - Core I5 I5-4300U 1.9GHz - Graphite Black (4 GB RAM - 256 GB SSD - Intel HD 4400 - Windows 8 Pro 64-bit - 1920 X 1080 Display - Bluetooth) Price Comparison at Buy.net",8.9 in,14 in,In-plane Switching ( IPS ) Technology LED Backlight,EPEAT Gold|ENERGY STAR 5.0|GREENGUARD|RoHS,0.9 in,Built-In Microphone Yes|Built-In Fingerprint Reader Yes|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n/ac|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Trackpoint|Touch Screen Yes,4 GB,3 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes,Ultrabook,DDR3L SDRAM,3-cell,Intel Core i5,1.90 GHz,256 GB,http : //www.lenovo.com/us/en/,3 Year,13 in,8.40 Hour,Windows 8 Pro,MultiMediaCard ( MMC ) |Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),Intel HD 4400,3.90 lbs,Graphite Black,,,12 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo T540p Black 15.6"" Notebook (2.5 GHz Intel Core I5-4200M, 4 GB DDR3, 500 GB HDD, DVD±RW, Intel HD Graphics 4600, Windows 8 Pro, LED Backlight) Price Comparison at Buy.net",9.76 in,15.6 in,LCD Display w/ Matte Screen & LED Backlight,RoHS|GREENGUARD|EPEAT Gold|Energy Star,1.09 in,Built-In Webcam,Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11b|Gigabit Ethernet|Bluetooth,TrackPoint|Touchpad|Keyboard,4 GB,Audio - Line Out ( 1/8 '' Mini ) |VGA|USB - Universal Serial Bus 3.0|USB - Universal Serial Bus 2.0|Ethernet - RJ45|Audio - Line In ( 1/8 '' Mini ) |DisplayPort,,DDR3,6-cell,Intel Core i5,2.5 GHz,,http : //shop.lenovo.com/us/en/laptops/thinkpad/t-series/t540p/index.html,1 year ( s ),14.82 in,7 hour ( s ),Windows 8 Pro,SD Card,Intel HD Graphics 4600,5.5 lbs,Black,500 GB,DVD+-RW,16 GB,16 : 9,3 MB,,1366 x 768 ( WXGA ),1,Dual-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) EliteBook 820 G1 12.5"" LED Notebook - Intel - Core I7 I7-4600U 2.1GHz (8 GB RAM - 256 GB SSD - Intel HD 4400 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",8.5 in,12.5 in,LED Backlight,ENERGY STAR|EPEAT Gold|IT Eco Declaration|RoHS|WEEE|EU WEEE,0.8 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Pointstick,8 GB,3 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes,Notebook,DDR3 SDRAM,3-cell,Intel Core i7,2.10 GHz,256 GB,http : //www.hp.com,3 Year,12.2 in,,Windows 7 Professional Upgradable to Windows 8 Pro,Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ),Intel HD 4400,2.94 lbs,,,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) ProBook 4540s 15.6"" LED Notebook - Intel - Core I5 I5-3230M 2.6GHz - Silver (4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4000 - Windows 7 Professional 64-bit - 1366 X 768 Display) Price Comparison at Buy.net",10.1 in,15.6 in,LED Backlight,WEEE|RoHS|IT Eco Declaration|EPEAT Gold|ENERGY STAR,1.1 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11b/g/n|Gigabit Ethernet,TouchPad,4 GB,2 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes,Notebook,DDR3 SDRAM,6-cell,Intel Core i5,2.60 GHz,,http : //www.hp.com,1 Year,14.8 in,7 Hour,Windows 7 Professional Upgradable to Windows 8 Pro,Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ) |MultiMediaCard ( MMC ) |MMCplus|Memory Stick,Intel HD 4000,5.45 lbs,Silver,500 GB,DVD-RAM/R/RW,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) 340 G1 14"" LED Notebook - Intel - Core I5 I5-4200U 1.6GHz (4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4400 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.7 in,14 in,LED Backlight,,0.9 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad,4 GB,1 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes,Notebook,DDR3L SDRAM,4-cell,Intel Core i5,1.60 GHz,,http : //www.hp.com,1 Year,13.7 in,,Windows 7 Professional Upgradable to Windows 8.1 Pro,Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ),Intel HD 4400,4.41 lbs,,500 GB,DVD-RAM/R/RW,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) ZBook 14 14"" Touchscreen LED Notebook - Intel - Core I5 I5-4300U 1.9GHz - Graphite (8 GB RAM - 750 GB HDD - AMD, Intel FirePro M4100, HD 4400 - Windows 7 Professional 64-bit - 1600 X 900 Display - Bluetooth) Price Comparison at Buy.net",9.3 in,14 in,LED Backlight,ENERGY STAR|EPEAT Gold|IT Eco Declaration|RoHS|WEEE|EU WEEE,0.8 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Pointstick|Touch Screen Yes,8 GB,4 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes,Notebook,DDR3L SDRAM,3-cell,Intel Core i5,1.90 GHz,,http : //www.hp.com,,13.4 in,,Windows 7 Professional Upgradable to Windows 8 Pro,Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ),AMD|Intel FirePro M4100|HD 4400,3.94 lbs,Graphite,750 GB,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) ProBook 6470b 14"" LED Notebook - Intel - Core I5 I5-3230M 2.6GHz - Tungsten (4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4000 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.1 in,14 in,LED Backlight,WEEE|IT Eco Declaration|RoHS|EPEAT Gold|ENERGY STAR,1.3 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0 + EDR,TouchPad,4 GB,2 x USB 2.0|2 x USB 3.0|Firewire Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes|eSATA/USB Combo Yes|DisplayPort Yes,Notebook,DDR3 SDRAM,6-cell,Intel Core i5,2.60 GHz,,http : //www.hp.com,1 Year,13.3 in,8.25 Hour,Windows 7 Professional Upgradable to Windows 8 Pro,ExpressCard/54|Secure Digital ( SD ) Card|MultiMediaCard ( MMC ) |Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ) |MMCplus,Intel HD 4000,4.48 lbs,Tungsten,500 GB,DVD-RAM/R/RW,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo T420 Black 14"" Notebook (2.5 GHz Intel Core I5, 4 GB DDR3, 320 GB HDD, DVD±RW, Windows 7 Pro, LED Backlight) Price Comparison at Buy.net",,14 in,LCD Display w/ LED Backlight,,1.18 in,Built-In Webcam,Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11b|Gigabit Ethernet,Touchpad|Keyboard,4 GB,Audio - Line Out ( 1/8 '' Mini ) |USB - Universal Serial Bus 2.0|Ethernet - RJ45|Audio - Line In ( 1/8 '' Mini ),,DDR3,6-cell,Intel Core i5,2.5 GHz,,http : //shop.lenovo.com/us/en/laptops/thinkpad/t-series/,90 day ( s ),13.4 in,3 hour ( s ),Windows 7 Professional,,,4.31 lbs,Black,320 GB,DVD+-RW,8 GB,16 : 9,3 MB,,1366 x 768 ( WXGA ),1,Dual-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
