<page title>,bluetooth,cameras included,condition,cpu,dimensions l x w x h,display,displayports,front camera,headphones jack,memory type,micro sd card reader,operating system,platform,screen size,storage capacity,stylus included,usb 30 ports,weight,audio chipset,battery type,capacity,color,communications description,depth,display type,drive types,gpuvpu,hddssd drives included,hdmi ports,height,integrated webcam,interface type,keyboard type,lan ports,maximum memory supported,maximum resolution,media types,memory slots total free,mouse type,operating systems,optical drive,optional operating systems,processor brand,processor class,processor number,processor speed,processor type,protocols,specification notes,supplemental drive capacity,total memory size,touch screen,usb ports powered included in total,vga ports,width,â,audio description,data transfer rate,dell,firewire ports,lifestyle,limited warranty,memory slots total,port replicatorconnector,usb ports total,audio out jacks,graphics,integrated microphone,lenovo,colors,connection type,dvi video,form factor,hard drive types,hard drives included,interface,lan chipset,lan data transfer rate,lan description,lan interface type,memory configuration,motherboard slots total free,optical drive class,orientations allowed,power,processor interface,ram speed,serial communication ports,speed,startup operating system,hard drive speed,supplemental drive type,video memory,line in jacks,optical drive type,processors onboard,processors supported,wifi description,aspect ratio,back camera,battery run time,display size,memory capacity,micro usb connector,touch screen type,usb 20 ports,microphone jacks,builtin microphone,builtin speaker,power supply type,supplemental media type,webcam features,webcam resolution,wifi chipset,wifi standards supported,memory speed,memory speed mhz,backlit keyboard,hp,channels,audio channels,external bays total free,internal bays total free,compatible raid levels,external 35 drive bays,external 525 drive bays,hard drive interface,internal 35 drive bays,memory slots available,pci express x4 slots total,pci express x8 slots total,processor cache,total storage included,type,battery life,ps2 connectors,modem ports,cpu type,software included,cpu quantity,pci express x16 slots total,pci slots total,storage controller,pci express x1 slots total,memory size
MSI GS70 Stealth Pro-086 Intel Quad-Core i7 4710HQ 2.25GHz 16GB Memory 1TB HDD + 128GB SSD NVIDIA 3GB Geforce GTX 970M 17.3 Full HD 1920 X 1080 Gaming Laptop Windows 8.1 64-bit - 9S7-177316-086 at TigerDirect.com,,,New,,,,2 - Mini DisplayPort,,,DDR3L,,,Laptop,17.3 '',,,,5.7 lbs,Dynaudio Tech,6-Cell,1128GB,Red,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",11.29 '',Full HD Display,"Hard Drive , Solid State Drive",NVIDIA Geforce GTX970M,"1x 1TB HDD , 1x 128GB SSD",1,0.85 '',Yes,"Killer Gaming Network , Killer N1525 Combo 2x2 ac , Bluetooth 4.0",Steel Series Full-color backlight with Anti-Ghost key,,,1920 x 1080,SD ( XC/HC ),,Integrated Touchpad,Windows 8.1 64-Bit,None,,Intel,Core i7,4710HQ,2.5GHz,Quad-Core,"IEEE 802.11ac , Bluetooth v4.0","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,16GB,,,,16.47 '',,,,,,Gaming,,,,4 - USB 3.0,,,Yes,,,,,,,,,,,,,8GB + 8GB,,,,,,,,,,7200 RPM,,3G GDDR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Built-in Stereo Speakers,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Transformer Book Tablet - Keyboard Dock included, Atom Z3740 / 1.33 GHz, Windows 8.1, 2GB RAM, 64GB SSD, 10.1 Touchscreen 1366 x 768 (Intel HD Graphics, Gray,(Refurbished) - 90NB0451-M00030 at TigerDirect.com",Yes,1 - Front,Refurbished,Intel Atom Z3740,10.4 '' x 6.7 '' x 0.9 '',,,1.2MP,Yes,SDRAM,Yes,Windows 8.1,Windows,10.1 '',64GB,,1.0,2.4 lbs,,2-Cell Lithium Polymer,,Gray,,,,,,,Micro HDMI,,,,,,,,,,,,,,,,,1.86GHz,,,,,,,,,,Micro SDXC LPDDR3 Micro SDHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 11 hours,10.1 '' to 11 '',2 GB,Yes,Multi-touch,1 Micro,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion TouchSmart 15-b129wm AMD A6 4GB Memory 500GB HDD 15.6 Sleekbook Windows 8 64-bit (Refurbished) - RB-887758992982 at TigerDirect.com,,,Refurbished,,,,,,,DDR3,,,Laptop,15.6 '',,,,5.60 lbs,Dolby Advanced Audio,4-Cell Lithium-ion,500GB,,"Integrated LAN , Integrated Wireless LAN",10.2 '',HD BrightView LED-backlit touchscreen display,HDD,AMD Radeon HD 7500G,1x 500GB,1,0.95 '',Yes,"RJ-45 Ethernet Connector , IEEE 802.11b/g/n",Full-size island-style keyboard with numeric keypad,1 - RJ-45,8GB,1366 x 768,,,Integrated Touchpad,Windows 8 64-Bit,,,AMD,A6,4455M,2.1GHz,Dual-Core,IEEE 802.11b/g/n,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,4GB,Yes,,,15.19 '',,,,,,,,,,"2 - USB 3.0 , 1 - USB 2.0",1 - Combo Headphone/Microphone Jack,,,,,,,,,,,,,,,,,,,,,,,,,5400 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS ROG Notebook Intel Core i7 16GB Memory 750GB HDD + 8GB SSD Blu-Ray DVDRW NVIDIA GTX 870M 3GB Full HD 17.3 Display Windows 8.1 64-bit 1YR Accidental Damage Protection Included - G750JS-TS71 at TigerDirect.com,,,New,,,,,,,DDR3L,,,Laptop,17.3 '',,,,9.9 lbs,ROG AudioWizard,8-Cell Lithium-ion,758GB,Black,,12.5 '',FHD,Hybrid,NVIDIA GTX 870M,"1x 750GB HDD , 1x 8GB SSD",1,2.0 '',Yes,"RJ-45 Ethernet Connector , IEEE 802.11 ac",Illuminated Backlit,1 - RJ-45,32GB,1920 x 1080,SD/MMC,,Integrated Touchpad,Windows 8.1 64-Bit,Blu-ray-enabled DVDÂ±RW/CD-RW,,Intel,Core i7,4700HQ,2.4GHz,Quad-Core,"802.11 ac , Bluetooth","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,16GB,No,,1,16.1 '',,,,,,,,,,4 - USB 3.0,1 - Combo Headphone/Microphone Jack,,,,,,,,,,,,,,,,,,,,,,,,,5400 RPM,,3GB GDDR5,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Up to 3.5 hours,,,,,,,,,,
ASUS X550JK Intel Core i7 8GB Memory 1TB HDD NVIDIA GeForce GTX 850M 15.6 Notebook Windows 8.1 64-bit - X550JK-DH71 at TigerDirect.com,,,New,,,,,,,DDR3,,,Laptop,15.6 '',,,,,SonicMaster,4-Cell,1TB,,,,HD Display,HDD,NVIDIA GeForce GTX 850M,1x 1TB,1,,Yes,"Gigabit Ethernet , 802.11 ac",Standard Size,1 - RJ-45,,1366 x 768,SD/SDHC/SDXC,,Integrated Touchpad,Windows 8.1 64-Bit,DVDRW,,Intel,Core i7,4710HQ,2.5GHz,Quad-Core,IEEE 802.11ac,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",3-in-1,8GB,,,1,,,,,,,,,,,"2x USB 3.0 , 1x USB 2.0",1 - Combo Headphone/Microphone Jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP ProLiant MicroServer Gen8 Tower Server - Intel Celeron G1610T 2.30GHz, 2GB DDR3 Memory, No HDD, RAID 0/1/10, Gigabit Ethernet, Matrox G200, No OS - 712317-001 at TigerDirect.com",,,New,,,,,,,DDR3 DDR3,,,,,,,,,,,,,,9.6 '',,,Matrox G200,,,9.1 '',,,,2,16GB,,,,,No OS,,,Intel,Celeron,G1610T,2.30GHz,Dual Core,,"[ 9 ] To provide the most accurate specifications , the specifications listed are based upon the exact model specification as published by CNET .",,2GB,,,1,9 '',,,,,,,,2.0,,"5 - USB 2.0 , 2 - USB 3.0",,Integrated,,,,,,,,,,HP NC332i,10/100/1000Mbps,Gigabit Ethernet,RJ-45,1 x 2GB,,,,150 Watt,FCLGA1155,,,,,,Card Reader,,,,1.0,1.0,,,,,,,,,,,,,AC 120/230 V ( 50/60 Hz ),microSD,,,,,PC3-12800,1333MHz,,,,,,,"0,1,10",,1.0,SATA 6Gb/s,4.0,1.0,,,2MB,No HDD,Tower,,,,Intel,,Single,1.0,,HP Dynamic Smart Array B120i,,
"Microsoft Surface Pro 3 - Intel Core i7, 8GB Memory, 512GB Storage, 12 Full HD Display, WiFi, Tablet Windows 8.1 Pro 64-bit - PU2-00001 at TigerDirect.com",Yes,2 - Front & Rear,New,Intel Core i7,7.93 in x 11.5 in x 0.36 in,2160 x 1440,Yes,5MP,1,LPDDR3,Yes,Windows 8.1 Pro,Windows,12 '',512GB,Yes,1.0,1.76 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 3000 Desktop PC - Intel Core i3-4150 3.50GHz, 4GB DDR3 Memory, 1TB HDD, DVDRW, Windows 8.1 64-bit - I3647-2309BK at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,,,,,,High Definition Audio,,1TB,,,14.8 '',Monitor Not Included,,Intel HD Graphics,,1,10.43 '',,,Entry Keyboard,1,16GB,,,2 Slots Total / 1 Free,Optical,Windows 8.1 64-Bit,,,Intel,Core i3,i3-4150,3.50GHz,,,"[ 6 ] To provide the most accurate specifications , the specifications listed are based upon information provided by the vendor .",8-in-1,4GB,,,1,3.94 '',,Integrated Audio,,,,Home & Student,,,,"5 - USB 2.0 , 2 - USB 3.0",Yes,Integrated Graphics,,,Black,USB USB,,Small Form Factor ( SFF ),HDD,1,SATA 6.0Gb/s,Integrated,10/100/1000Mbps,Gigabit Ethernet,RJ-45,1 x 4GB,,DVD±RW,Vertical / Horizontal,,,PC3-12800 1600MHz,,"7,200RPM",,,,,,,,,,,,,,,,,,Yes,,,,Media Reader,,,Dell Wireless-N 1705,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Latitude D630 Notebook PC - Intel Core 2 Duo 1.8GHz, 2GB DDR2, 160GB HDD, CD-RW/DVD-ROM Combo, 14.1 Display, Windows 7 Professional 32-bit  (Off-Lease)  - RB-810576020896 at TigerDirect.com",,,Off-Lease,,,,,,,DDR2,,,Laptop,14.1 '',,,,4.37 lbs,High Definition Audio,,160GB,,Integrated LAN,9.37 '',WXGA TFT LCD,HDD,Intel Graphics Media Accelerator X3100,,,1.26 '',No,RJ-45,Full-Size Keyboard,1,,1280 x 800,,,Touch Pad,Windows 7 Professional 32-Bit,CDROM Burner/DVD Player,,Intel,Core 2 Duo,,1.8GHz,Dual-Core,802.11g,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,,No,,1,13.27 '',802.11g Wireless Networking Integrated Wireless LAN,Integrated Audio,10/100/1000Mbps Network,,1,Business,,,1 - Docking Connector,4,1,Integrated Graphics,Yes,,,,,,,,,,,,,,,,,,,,1.0,,,5400 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2GB
Lenovo ThinkPad X1 Carbon 20A7 Intel Core i7 8GB Memory 256GB SSD 14.0 Ultrabook Windows 7 Professional/Windows 8.1 Pro 64-bit - 20A7002QUS at TigerDirect.com,,,New,,,,1 - Mini-DisplayPort,,,DDR3L,,,Ultrabook,14.0Â,,,,3 lbs,High Definition Audio,8-Cell Lithium Polymer,256GB,,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",8.9 '',HD+,SSD,Intel HD Graphics 4400,1x 256GB,1,0.7 '',Yes,"RJ-45 Ethernet Connector , IEEE 802.11ac , Bluetooth 4.0",Adaptive Keyboard,1 - RJ-45,,1600 x 900,,,Integrated Touchpad,Windows 8.1 Pro 64-Bit,,Windows 7 Professional 64-Bit ( Downgrade ),Intel,Core i7,4600U,2.1GHz,Dual-Core,"IEEE 802.11ac , Bluetooth v4.0","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,8GB,,,,13 '',,,,,,,,,,2 - USB 3.0,1 - Headphone/Microphone Combo Jack,,Yes,,,,,,,,,,,,,,,,,,,PC3-12800 1600MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 8.7 hours,,,,,,,,,,
"Lenovo H535 Desktop PC - AMD A4-6300 Dual-Core 3.70GHz, 4GB DDR3 Memory, 1TB HDD, DVDRW, Windows 7 Home Premium 64-bit - 57327395 at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,,,,,,High Definition Audio,,1TB,,,14.76 '',Monitor Not Included,,AMD Radeon HD 8370D,,1,14.17 '',,,,1,,,,,,Windows 7 Home Premium 64-Bit,,,AMD,A4,A4-6300,3.70GHz,,,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",6-in-1,4GB,,,,6.89 '',,Integrated Audio,,,,Home & Student,"LCU-102580605 TigerDirect.com Warranty Information 7795 W. Flagler St. Suite 35 Miami , FL . 33144",,,"2 - USB 2.0 ( Front ) , 4 - USB 2.0 ( Rear )",Yes,Integrated Graphics,,Lenovo 12 months parts ; 12 months labor 57327395 88863191457200 21.5000 pound ( s ) 23pounds What is Dimensional weight ? Click here for full warranty and support information logos are registered trademarks of Lenovo . All others trademarks and copyrights mentioned herein are the property of their respective owners .,Black,,,Tower,HDD,1,,Integrated,10/100/1000Mbps,Gigabit Ethernet,RJ-45,,,DVD±RW,Vertical,,Socket FM2,PC3-12800 1600MHz,,"7,200RPM",,,,,,,,,Wireless LAN 802.11 b/g/n,,,,,,,,,Yes,,,,Media Reader,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire AZC-606-UR24 19.5 All-In-One PC - Intel Quad Core Celeron J1900, 2.00GHz, 4GB DDR3 Memory, 500GB HDD, DVDRW, Windows 8.1 64-bit - DQ.SUJAA.006 at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,19.5 '',,,,,High Definition Audio,,500GB,,,2.13 '',Widescreen HD LED Backlit Display,,Intel HD Graphics,,,12.32 '',,,,1,8GB,1600 x 900,Secure Digital ( SD ),1 Slot Total / 0 Free,,Windows 8.1 64-Bit,,,Intel,Celeron,J1900,2.00GHz,,,"[ 6 ] To provide the most accurate specifications , the specifications listed are based upon information provided by the vendor .",,4GB,,,,18.9 '',,Integrated Audio,,,,All-In-One,,,,"3 - USB 2.0 , 1 - USB 3.0",1 - Headphone/Microphone Jack Combo,Integrated Graphics,,,Black,USB Keyboard USB Mouse,,All-In-One,HDD,1,SATA,Integrated,10/100/1000Mbps,Gigabit Ethernet,RJ-45,1 x 4GB,,DVD±RW DL,Vertical,65 Watt,,,,"5,400RPM",,,,,,,,,"Wireless LAN 802.11 b/g/n , Bluetooth 4.0",,,,,,,,,,Yes,Yes,,Media Reader,Built-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS T100TAM Transformer Book Intel Atom 2GB Memory 64GB SSD 10.1 2-in-1 Brushed Aluminum  Notebook Windows 8.1 + Microsoft Office 365 - T100TAM-C1-GM at TigerDirect.com,,,New,,,,,,,DDR3,,,2-in-One,10.1 '',,,,2.4 lbs,SonicMaster Audio,2-Cell Lithium-Polymer,64GB,Gray,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",6.8 '',IPS HD,SSD,IntelÂ® HD Graphics,1x 64GB SSD,1 - Micro-HDMI,0.93 '',Yes,"RJ-45 Ethernet Connector , IEEE 802.11a/g/n",Keyboard Dock,,2GB,1368 x 768,SDXC,,Integrated Touchpad,Windows 8.1,,,Intel,Atom,Z3775,1.46GHz,Quad-Core,"802.11 a/g/n , Bluetooth","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,2GB,Yes,,,10.4 '',,,,,,Home & Student,,,,"1 - USB 3.0 , Micro-USB Port",1 - Combo Headphone/Microphone Jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ProBook 6450b Intel Core i5 4GB Memory 160GB HDD 14.0 Notebook Windows 7 Professional 64-bit (Off-Lease) - RB-700443661478 at TigerDirect.com,,,Off-Lease,,,,1,,,DDR3,,,Laptop,14.0Â,,,,5.0 lbs,High Definition Audio,,160GB,,"Integrated LAN , Integrated Wireless LAN",9.3 '',LED-backlit HD anti-glare,HDD,IntelÂ® HD Graphics,1x 160GB,,1.33 '',,"RJ-45 Ethernet Connector , IEEE 802.11b/g/n",Standard Size,1 - RJ-45,,1366 x 768,,,Integrated Touchpad,Windows 7 Professional 64-Bit,DVDRW,,Intel,Core i5,,2.4GHz,,IEEE 802.11b/g/n,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,4GB,No,,1,13.35 '',,,,,1 - 1394a,,,,,3 - USB 2.0,1 - Headphone,,,,,,,,,,,,,,,,,,,,,,,,,7200 RPM,,,,,,,,,,,,,,,,1 - Microphone input port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 - RJ-11,,,,,,,,
"HP ProBook 4540s Notebook - Intel Core i3-3110M 2.40GHz, 4GB Memory, 500GB HDD, 15.6 Display, Windows 7 Home Premium 64-bit - G4T99UT#ABA at TigerDirect.com",,,New,,,,,,,DDR3,,,Laptop,15.6 '',,,,5.4 lbs,High Definition Audio,6-Cell Lithium-ion,500GB,Gray,Integrated LAN,10.1 '',Widescreen HD LED Backlit Anti-glare Display,HDD,Intel HD Graphics 4000,,1,1.1 '',Yes,,"Built-in Numeric Keyboard , Spill-Resistant",1,8GB,1366 x 768,Secure Digital ( SD ),2 Slots Total / 1 Free,Integrated Touchpad,Windows 7 Home Premium 64-Bit,DVDRW,,Intel,Core i3,i3-3110M,2.40GHz,Dual-Core,802.11b,"[ 6 ] To provide the most accurate specifications , the specifications listed are based upon information provided by the vendor .",,4GB,No,,1,14.8 '',Integrated Wireless LAN 2 - USB 3.0 MultiMediaCard Plus ( MMC+ ) Secure Digital Extended Capacity ( SDXC ) Memory Stick ( MS ) Secure Digital High Capacity ( SDHC ) MultiMediaCard ( MMC ) 802.11n 802.11g Wi-Fi 802.11 b/g/n,Integrated Audio,Gigabit Ethernet,,,Home & Student,,,,2 - USB 2.0,1,Integrated Graphics,Yes,,,,,,,,,,,,,1 x 4GB,,,,,,PC3-10600 1333MHz,,,,5400 RPM,Media Reader,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,Built-in Stereo Speakers,,,,,,,,,,,,,,Up to 7 hours,,,,,,,,,,
"Dell XPS 8700 Performance Desktop PC - Intel Core i7-4790 3.60GHz, 12GB DDR3 Memory, 1TB HDD, DVDRW, Windows 8.1 64-bit - X8700-1880BLK at TigerDirect.com",,,New,,,,1,,,DDR3,,,PC,,,,,,High Definition Audio,,1TB,,,17.5 '',Monitor Not Included,,Intel HD Graphics,,1,16 '',,,HP Keyboard,1,32GB,,,,Laser,Windows 8.1 64-Bit,,,Intel,Core i7,i7-4790,3.60GHz,,,"[ 9 ] To provide the most accurate specifications , the specifications listed are based upon the exact model specification as published by CNET .",19-in-1,12GB,,,,7.3 '',,Integrated Audio,,DELL 12 months parts ; 12 months labor X8700-1880BLK 884116146292 27.0000 pound ( s ) 30pounds What is Dimensional weight ? Click here for full warranty and support information logos are registered trademarks of DELL . All others trademarks and copyrights mentioned herein are the property of their respective owners .,,Home & Student,"DEI-102410402 TigerDirect.com Warranty Information 7795 W. Flagler St. Suite 35 Miami , FL . 33144",,,"4 - USB 2.0 , 6 - USB 3.0",5,Integrated Graphics,,,Black,USB USB,,Minitower,HDD,1,SATA 6.0Gb/s,Integrated,10/100/1000Mbps,Gigabit Ethernet,RJ-45,,,DVD±RW,Vertical,460 Watt,,PC3-12800 1600MHz,,"7,200RPM",,,,,1,,,,"Wireless LAN 802.11 a/b/g/n , Bluetooth 4.0",,,,,,,,,2,,,AC 120/230 V ( 50/60 Hz ),Media Reader,,,Dell Wireless 1703,,,,,,7.1,,2 - 5.25 '' Bays,2 - 3.5 '' Bays,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkServer TS140 - Intel Xeon E3-1225 v3, 4GB Memory, DVD-ROM, 1TB HDD, RAID, Windows Server 2012 Essentials - 70A4001RUS at TigerDirect.com",,,New,,,,1,,,DDR3,,,,,,,,,,,,,,17.0 '',,,Intel HD Graphics P4600,,,14.8 '',,,,1,32GB,,,,,Windows Server,,,Intel,Xeon,E3-1225 v3,3.20GHz,,,"[ 9 ] To provide the most accurate specifications , the specifications listed are based upon the exact model specification as published by CNET .",,4GB,,,1,6.9 '',6 - USB 3.0 1 0 + 1 8,,,,,,"LQW-102028974 TigerDirect.com Warranty Information 7795 W. Flagler St. Suite 35 Miami , FL . 33144",4.0,,2 - USB 2.0,1,Integrated,,logos are registered trademarks of Lenovo . All others trademarks and copyrights mentioned herein are the property of their respective owners . Lenovo 12 months parts ; 12 months labor 70A4001RUS 888228342405 24.0000 pound ( s ) 25pounds What is Dimensional weight ? Click here for full warranty and support information,,,,,,2,,Integrated,10/100/1000Mbps,Gigabit Ethernet,RJ-45,,,,,280 Watt,FCLGA1155,,,,,7200RPM,,,,DVDÂ±RW,1.0,1.0,,,,,,,,,,1,,,,,,,,,1600MHz PC3-12800,1600MHz,,,,,,,0,,1.0,Serial ATA/600,3.0,,,,8MB,1TB,Tower,,,,Intel,,Single,2.0,1.0,,1.0,
Dell D630 Intel Core 2 Duo 2GB Memory 80GB HDD 14.1 Off-Lease Notebook Windows 7 Home Premium at TigerDirect.com,,,Off-Lease,,,,,,,DDR2,,,Laptop,14.1 '',,,,4.47 Lbs .,High Definition Audio,4-Cell Lithium-ion,80GB,,Integrated LAN,9.37Â,WXGA,HDD,,1x 80GB,,1.27Â,No,RJ-11 Phone Connector,Standard Size,1 - RJ-45,4GB,1280 x 800,,,Integrated Touchpad,Windows 7 Home Premium 64-Bit,DVD,,Intel,Core 2 Duo,T7100,1.80GHz,Dual-Core,802.11a,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,2GB,No,,,13.3Â,Integrated Wireless LAN Integrated Modem 802.11g RJ-45 Ethernet Connector,,,,1 - IEEE 1394 Port,,,,1 - Docking Connector,4,1 - Headphone/line-out,Integrated Graphics,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 - RJ-11,,,,,,,,
MSI GS70 StealthPro-024 Intel Core i7 16GB Memory 1TB HDD + 128GB SSD NVIDIA GeForce GTX 870M 17.3 Notebook Windows 8.1 64-bit - GS70 StealthPro-024 at TigerDirect.com,,,New,,,,1 - Mini-DisplayPort,,,DDR3L,,,Laptop,17.3 '',,,,5.73 lbs,,6-Cell Lithium-ion,1.128TB,Gray,Integrated LAN,11.29 '',Full HD Display,HDD + SSD,NVIDIA GeForce GTX 870M,"1x 1TB HDD , 1x 128GB SSD",1,0.85 '',Yes,Killer Gaming Network,Steel Series Gaming Backlit 102 keys,,,1920 x 1080,Secure Digital ( SD ),,Integrated Touchpad,Windows 8.1 64-Bit,None,,Intel,Core i7,4700HQ,2.4GHz,Quad-Core,Bluetooth 4.0,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,16GB,,,1,16.47 '',Integrated Bluetooth Intel 7260 Wilkins Peak 2 ( 2x2 802.11 ac ) Integrated Wireless LAN Secure Digital ( SDXC ) Secure Digital ( SDHC ) 802.11ac,Integrated Audio,,,,Gaming,,,,4 - USB 3.0,1 - Headphone/Microphone Combo Jack,,,,,,,,,,,,,,,,,,,,,,,,,7200 RPM,,3G GDDR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ProBook 6470b Intel Core i5 4GB Memory 128GB SSD 14.0 Notebook Windows 7 Professional 64-bit - D0U96US#ABA at TigerDirect.com,,,New,,,,1,,,DDR3,,,Laptop,14.0 '',,,,4.78 lbs,High Definition Audio,6-Cell Lithium-ion,128GB,,"Integrated LAN , Integrated Wireless LAN",9.11 '',LED-backlit HD anti-glare,SSD,Intel HD Graphics 4000,1x 128GB,,1.34 '',Yes,"RJ-45 Ethernet Connector , 802.11 a/b/g/n",Full-sized spill-resistant keyboard with drains,1 - RJ-45,16GB,1366 x 768,SD/MMC,,Integrated Touchpad,Windows 7 Professional 64-Bit,None,,Intel,Core i5,3320M,2.6GHz,Dual-Core,IEEE 802.11a/b/g/n,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,4GB,,1 - eSATA/USB,1,13.31 '',,,,,,,,,,"2 - USB 3.0 , 2 - USB 2.0",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Media Reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 - RJ-11,,,,,,,,
"CybertronPC Caliber Tower Server - Intel Xeon E3-1220V2 3.10GHz, 8GB DDR3, 2x 1TB HDD, RAID 1, DVDRW, Dual Gigabit LAN, Windows Server 2012 Foundation - TSVCIA442 at TigerDirect.com",,,New,,,,,,,DDR3,,,,,,,,,,,,,,18.3 '',,,,,,16.9 '',,,,2,32GB,,,,,Windows Server,,,Intel,Quad-Core Xeon,E3-1220V2,3.10GHz,,,"[ 6 ] To provide the most accurate specifications , the specifications listed are based upon information provided by the vendor .",,8GB,,,1,7.9 '',,,,,,,"C122-12551 TigerDirect.com Warranty Information 7795 W. Flagler St. Suite 35 Miami , FL . 33144",4.0,,4,,Integrated,,,,,,,,2,,,10/100/1000Mbps,Dual Gigabit LAN,RJ-45,2 x 4GB,,,,400 Watt,FCLGA1155,,1.0,,,7200 RPM,,,,DVDÂ±RW,,,,,,,,,,,,,,,,,,,,,1600MHz PC3-12800,1600MHz,,,,,,,,1,4.0,,8.0,2.0,1,2.0,8MB Intel Smart Cache,2TB,Tower,,,,Intel,,,,,,,
