<page title>,battery,dimensions wxhxd,keyboard,operating system,pointing device,weight,ac adapter,brand,cpu speed,cpu type,dimensions,gpuvpu,graphics card,hard disk,hdmi,lan,memory,memory size,model,resolution,screen,screen size,series,ssd,tech description,usb,video memory,webcam,wlan,aspect ratio,audio,backlight,bluetooth,cache,display,finish,flash media slot,hard drive,native resolution,network,optical drive,ports,power requirements,processor,size,type,wifi,64bit processing,backlight technology,battery chemistry,battery energy,battery information,bluetooth standard,builtin devices,chipset manufacturer,communication,direct media interface,display graphics,display screen type,displayport,duallayer media supported,ethernet technology,graphics,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,hard drive interface,hard drive rpm,headphonemicrophone combo port,hyperthreading,input devices,interfacesports,maximum battery run time,maximum memory,maximum turbo speed,memory card reader,memory standard,memory technology,modem,network communication,network rj45,number of total memory slots,number of usb 30 ports,operating system architecture,optical drive type,optical media supported,pointing device type,processor chipset,processor core,processor model,processor speed,processor type,screen mode,screen resolution,software,speakers,storage,touchpad features,vga,vpro technology,wireless lan manufacturer,wireless lan model,wireless lan standard,audio line out,battery capacity,certifications standards,color,depth,hard drive capacity,hdcp supported,height,height front,height rear,maximum power supply wattage,memory card supported,microphone,number of cells,number of usb 20 ports,processor manufacturer,product family,product line,product model,product name,product series,product type,standard memory,width,wireless lan,part,graphic type,hdd,hdd interface,lcd features,memory speed,number of cores,wide screen support,ethernet,navigation,chipset model,manufacturer,manufacturer part number,multitouch screen,storage size,touchscreen,weight approximate,max memory supported,display type,video port,finger print reader,solid state drive capacity,solid state drive interface,total number of usb ports,brightness,security,color gamut,expansion slots,mobile broadband,viewing angle,docking connector,speaker,battery type,green compliance certificateauthority,green compliant,audio ports,battery life,cpu support,construction,expansion slot type,mini displayport,security features,display screen technology,audio line in,external resolution,gps,nfc,supported resolutions,system bus,brand name,usb ports,keyboard backlight,keyboard localization,software included,communications,general,inputoutput connectors,performance,hdd rpm,wwan supported,backlit keyboard,hhd,tv card,touchpad,upc code
"Best Asus G750JS-DS71 ROG-i7-4700MQ-16GB RAM-1TB+256GB-Win 8.1-17.3""Notebook-Black | TopEndElectronics UK",8-Cell Lithium-Ion Providing up to 3.5 Hours per Charge ( 88Wh ),16.1 x 2.0 x 12.5 '' / 40.9 x 5.1 x 31.8 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,9.9 lb / 4.49 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Lenovo Essential G50-Intel Core i3-4030U 1.90GHz-6GB-500GB HDD-Win8.1-15.6"" LED Notebook-Black | TopEndElectronics UK",,,Yes,Windows 8.1,,,,,,,,,,,Yes,,,,,,,15.6 '',,,Product Name G50 15.6 '' I3 6GB 500GB Product Type Notebook Green Compliant Yes Hard Drive Capacity 500 GB Processor Manufacturer Intel Graphics Controller Manufacturer Intel Graphics Controller Model HD Graphics 4400 Bluetooth Yes Wireless LAN Yes Optical Drive Type DVD-Writer Graphics Memory Accessibility Shared Maximum Battery Run Time 5 Hour HDMI Yes Webcam Yes Backlight Technology LED Product Family Essential G50 Processor Model i3-4030U Color Black Operating System Windows 8.1 Processor Speed 1.90 GHz Processor Type Core i3 Screen Size 15.6 '' Number of Cells 4-cell Screen Resolution 1366 x 768 Standard Memory 6 GB Cache 3 MB Processor Core Dual-core ( 2 Core ) Green Compliance Certificate/Authority EPEAT Silver 64-bit Processing Yes Display Screen Type Active Matrix TFT Color LCD Wireless LAN Standard IEEE 802.11b/g/n Bluetooth Standard Bluetooth 4.0 Ethernet Technology Fast Ethernet Total Number of USB Ports 3 Memory Standard DDR3L-1600/PC3-12800 Height 1 '' Width 15.1 '' Depth 10.4 '' Screen Mode HD Memory Technology DDR3L SDRAM Product Series G50 Pointing Device Type TouchPad Product Line Essential Aspect Ratio 16 : 9 Maximum Memory 16 GB Battery Chemistry Lithium Ion ( Li-Ion ) Memory Card Reader Yes Battery Capacity 2200 mAh Graphics Memory Technology DDR3L SDRAM Hard Drive RPM 5400 Hyper-Threading Yes VGA Yes Network ( RJ-45 ) Yes Direct Media Interface 5 GT/s Number of USB 2.0 Ports 2 Number of USB 3.0 Ports 1 TouchPad Features Multi-touch Gesture Headphone/Microphone Combo Port Yes Memory Card Supported Secure Digital ( SD ) MultiMediaCard ( MMC ) Keyboard Yes Microphone Yes Security Features Kensington Lock Slot OneKey Recovery Speakers Yes,,,Yes,,16 : 9,,,Yes,3 MB,,,,,,,,,,,,,,Yes,LED,Lithium Ion ( Li-Ion ),,,Bluetooth 4.0,,,,5 GT/s,,Active Matrix TFT Color LCD,,,Fast Ethernet,,Intel,HD Graphics 4400,Shared,DDR3L SDRAM,,5400.0,Yes,Yes,,,5 Hour,16 GB,,Yes,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,Yes,,1.0,,DVD-Writer,,TouchPad,,Dual-core ( 2 Core ),i3-4030U,1.90 GHz,Core i3,HD,1366 x 768,,Yes,,Multi-touch Gesture,Yes,,,,IEEE 802.11b/g/n,,2200 mAh,,Black,10.4 '',500 GB,,1 '',,,,Secure Digital ( SD ) MultiMediaCard ( MMC ),Yes,4-cell,2.0,Intel,Essential G50,Essential,,G50 15.6 '' I3 6GB 500GB,G50,Notebook,6 GB,15.1 '',Yes,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,EPEAT Silver,Yes,,,,,,,Kensington Lock Slot OneKey Recovery,,,,,,,,,,,,,,,,,,,,,,,
"Best HP Pavilion 17-f020us-AMD A-Series A8-6410 2GHz-6GB RAM-750GB HDD-Win 8.1 17.3""Touchscreen LED Notebook | TopEndElectronics UK",4-Cell Lithium-Ion Providing up to 4.75 Hours per Charge ( 41Wh ),16.5 x 1.1 x 10.9 '' / 41.9 x 2.8 x 27.7 cm,Type : Standard Notebook Keyboard,Windows 8.1,TouchPad with Multi-Touch Control,7.27 lb / 3.30 kg,,,,,,,Type : Integrated,,,,Slots : 2x DIMM,,,,,,,,Performance Processor 2.0GHz AMD A8-6410 Quad-Core Cache L2 : 2MB Memory Slots : 2x DIMM,,,Yes,,16 : 09,Integrated Stereo Speakers with Beats Audio,LED,,L2 : 2MB,1x HDMI,Glossy,1x SD,Installed : 750GB 5400rpm,1600 x 900,10/100Mbps Ethernet ( RJ-45 ),SuperMulti DVD Burner,2x USB 3.0 ( A ),,2.0GHz AMD A8-6410 Quad-Core,17.3 '',Touchscreen,802.11b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Power-On Password , Accepts 3rd Party Security Lock Devices , Kensington Lock Slot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Lenovo ThinkPad X140e 20BL000CUS-AMD E1-2500 1.40 GHz-2GB RAM-500GB HDD-Win 7 pro-LED Notebook-Black | TopEndElectronics UK,,,,Windows 7 Professional,,,,,,,,,,,Yes,,,,,,,11.60 ``,,,"Battery Information Battery Chemistry Lithium Ion ( Li-Ion ) Maximum Battery Run Time 8.50 Hour Interfaces/Ports HDMI Yes Total Number of USB Ports 3 Number of USB 2.0 Ports 1 Number of USB 3.0 Ports 2 VGA Yes Headphone/Microphone Combo Port Yes Display & Graphics Screen Size 11.60 `` Display Screen Type Active Matrix TFT Color LCD Aspect Ratio 16 : 9 Screen Mode HD Screen Resolution 1366 x 768 Backlight Technology LED Graphics Controller Manufacturer AMD Graphics Controller Model Radeon HD 8240 Graphics Memory Technology DDR3L SDRAM Graphics Memory Accessibility Shared Storage Storage Size 500 GB Hard Drive Interface Serial ATA/600 Hard Drive RPM 7200 Optical Drive Type No Memory Memory Card Supported MultiMediaCard ( MMC ) , Secure Digital ( SD ) Card , Secure Digital High Capacity ( SDHC ) , Secure Digital Extended Capacity ( SDXC ) Standard Memory 2 GB Maximum Memory 8 GB Memory Technology DDR3L SDRAM Memory Standard DDR3L-1600/PC3-12800 Number of Total Memory Slots 2 Memory Card Reader Yes Network & Communication Wireless LAN Yes Wireless LAN Manufacturer Lenovo Wireless LAN Standard IEEE 802.11b/g/n Wimax No Ethernet Technology Gigabit Ethernet Bluetooth Yes Bluetooth Standard Bluetooth 4.0 Physical Characteristics Height 1.4 '' Width 11.6 '' Depth 8.5 '' Weight ( Approximate ) 62.72 oz Color Midnight Black Built-in Devices Webcam Yes Microphone Yes Finger Print Reader No Speakers Yes Processor & Chipset Processor Manufacturer AMD Processor Type E-Series Processor Model E1-2500 Processor Speed 1.40 GHz Processor Core Dual-core ( 2 Core ) Cache 1 MB Chipset Manufacturer AMD Software Operating System Windows 7 Professional Operating System Architecture 64-bit",,,Yes,,16 : 9,,,Yes,1 MB,,,,,,,,,,,,,,,LED,Lithium Ion ( Li-Ion ),,,Bluetooth 4.0,,AMD,,,,Active Matrix TFT Color LCD,,,Gigabit Ethernet,,AMD,Radeon HD 8240,Shared,DDR3L SDRAM,Serial ATA/600,7200.0,Yes,,,,8.50 Hour,8 GB,,Yes,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,2.0,2.0,64-bit,No,,,,Dual-core ( 2 Core ),E1-2500,1.40 GHz,E-Series,HD,1366 x 768,,Yes,,,Yes,,Lenovo,,IEEE 802.11b/g/n,,,,Midnight Black,8.5 '',,,1.4 '',,,,"MultiMediaCard ( MMC ) , Secure Digital ( SD ) Card , Secure Digital High Capacity ( SDHC ) , Secure Digital Extended Capacity ( SDXC )",Yes,,1.0,AMD,,,,,,,2 GB,11.6 '',Yes,,,,,,,,,,,,,,,500 GB,,62.72 oz,,,,No,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best HP ProBook 440 G2-i3-4030U-4GB-500GB HDD-14""Win 8.1 | TopEndElectronics UK",,,,,,,,,,,,,,,Yes,,Standard Memory 4 GB,,,,,,,,Processor & Chipset : Processor Manufacturer Intel Processor Type Core i3 Processor Model i3-4030U Processor Speed 1.90 GHz Processor Core Dual-core ( 2 Core ) Cache 3 MB Direct Media Interface 5 GT/s 64-bit Processing Yes Hyper-Threading Yes Chipset Manufacturer Intel,,,,,0.672916667,,,Yes,3 MB,,,,,,,,,,,,,,Yes,LED,Lithium Ion ( Li-Ion ),44 Wh,Number of Cells 4-cell Battery Chemistry Lithium Ion ( Li-Ion ) Battery Energy 44 Wh,Bluetooth 4.0,Microphone Yes,Intel,Wireless LAN Yes Wireless LAN Manufacturer Intel Wireless LAN Model Dual Band Wireless-AC 3160 Wireless LAN Standard IEEE 802.11a/b/g/n/ac Ethernet Technology Gigabit Ethernet Bluetooth Yes Bluetooth Standard Bluetooth 4.0 Built-in Devices : Microphone Yes Speakers Yes Interfaces/Ports : HDMI Yes Total Number of USB Ports 4 Number of USB 2.0 Ports 2 Number of USB 3.0 Ports 2 VGA Yes Network ( RJ-45 ) Yes Headphone/Microphone Combo Port Yes,5 GT/s,Screen Size 14 '',Active Matrix TFT Color LCD,,Yes,Gigabit Ethernet,Screen Size 14 '' Display Screen Type Active Matrix TFT Color LCD Aspect Ratio 0.672916667 Screen Mode HD Screen Resolution 1366 x 768 Backlight Technology LED Graphics Controller Manufacturer Intel Graphics Controller Model HD 4400 Graphics Memory Technology DDR3 SDRAM Graphics Memory Accessibility Shared Network &,Intel,HD 4400,Shared,DDR3 SDRAM,Serial ATA,5400.0,Yes,Yes,Keyboard Yes Pointing Device Type TouchPad TouchPad Features Multi-touch Gesture,,,,,Yes,DDR3-1600/PC3-12800,DDR3 SDRAM,,Wireless LAN Yes,Yes,2.0,2.0,64-bit,DVD-Writer,DVD-RAM/±R/±RW,TouchPad,Processor Manufacturer Intel,Dual-core ( 2 Core ),i3-4030U,1.90 GHz,Core i3,HD,1366 x 768,Operating System Windows 8.1,Yes,Hard Drive Capacity 500 GB,Multi-touch Gesture,Yes,,Intel,Dual Band Wireless-AC 3160,IEEE 802.11a/b/g/n/ac,,,,,,,,,,,,Secure Digital ( SD ) Card,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best ASUS VivoBook S550CA-DS51T-i5-3317U-6GB-500GB HDD + 24GB SSD-Win8-15.6"" LED Notebook | TopEndElectronics UK",4-Cell Lithium-Polymer ( 44Wh ),15.0 x 0.9 x 10.5 '' / 38.0 x 2.2 x 26.6 cm,Type : Standard Notebook Keyboard,Windows 8 ( 64-bit ),TouchPad,5.73 lb / 2.6 kg,,,,,,,Type : Integrated Installed : Intel HD Graphics 4000 Shared,,,,Type : 1600MHz DDR3 SDRAM Installed : 6GB Capacity : 8GB,,,,,,,,Performance Processor 1.7GHz Intel Core i5-3317U Dual-Core Ivy Bridge Cache L3 : 4MB System Bus 5GT/s Memory,,,Yes,,16 : 9,Integrated Stereo Speakers Integrated Microphone 1x 1/8 '' ( 3.5mm ) Headphone Output 1x 1/8 '' ( 3.5mm ) Microphone Input,LED,Bluetooth 4.0,L3 : 4MB,1x HDMI 1x Mini-VGA,,1x SD,Installed : 524GB ( 1x 500GB 5400rpm ; 1x 24GB SSD ),1366 x 768,10/100/1000Mbps Gigabit Ethernet ( RJ-45 ),SuperMulti DVD Burner,1x USB 3.0 ( A ) 2x USB 2.0 ( A ),"AC : 100-240 V AC , 50/60Hz Consumption : 65W",1.7GHz Intel Core i5-3317U Dual-Core Ivy Bridge,15.6 '',Touchscreen,802.11b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,5GT/s,,,,,,,,,,,,,,,,
"Best HP ProBook 640 G1-Core i5-4200M-2.50GHz-4GB-180GB SSD-Win 7 Pro-14""LED Notebook-Black | TopEndElectronics UK",,,,,,,,,,,,,,,,,Standard Memory 4 GB,,,,,,,,Processor & Chipset : Processor Manufacturer Intel Processor Type Core i5 Processor Model i5-4200M Processor Speed 2.50 GHz Maximum Turbo Speed 3.10 GHz Processor Core Dual-core ( 2 Core ) Cache 3 MB Direct Media Interface 5 GT/s 64-bit Processing Yes Hyper-Threading Yes Chipset Manufacturer Intel Chipset Model HM87 Express,,,,,0.672916667,,,Yes,3 MB,,,,,,,,,,,,,,Yes,LED,Lithium Ion ( Li-Ion ),55 Wh,Number of Cells 6-cell Battery Chemistry Lithium Ion ( Li-Ion ) Battery Energy 55 Wh,Bluetooth 4.0,Webcam Yes,Intel,Wireless LAN Yes Wireless LAN Manufacturer Intel Wireless LAN Model Centrino Advanced-N 6235 Wireless LAN Standard IEEE 802.11a/b/g/n Ethernet Technology Gigabit Ethernet Bluetooth Yes Bluetooth Standard Bluetooth 4.0 Built-in Devices : Webcam Yes Microphone Yes Speakers Yes Interfaces/Ports : Total Number of USB Ports 4 Number of USB 3.0 Ports 4 VGA Yes Network ( RJ-45 ) Yes DisplayPort Yes Headphone/Microphone Combo Port Yes,5 GT/s,Screen Size 14 '',Active Matrix TFT Color LCD,Yes,Yes,Gigabit Ethernet,Screen Size 14 '' Display Screen Type Active Matrix TFT Color LCD Aspect Ratio 0.672916667 Screen Mode HD Screen Resolution 1366 x 768 Backlight Technology LED Graphics Controller Manufacturer Intel Graphics Controller Model HD 4600 Graphics Memory Technology DDR3 SDRAM Graphics Memory Accessibility Shared Network &,Intel,HD 4600,Shared,DDR3 SDRAM,,,Yes,Yes,Keyboard Yes Pointing Device Type TouchPad Pointstick TouchPad Features Multi-touch Gesture,Total Number of USB Ports 4,,16 GB,3.10 GHz,Yes,DDR3-1600/PC3-12800,DDR3 SDRAM,,Wireless LAN Yes,Yes,2.0,4.0,64-bit,DVD-Writer,DVD-RAM/±R/±RW,TouchPad,Processor Manufacturer Intel,Dual-core ( 2 Core ),i5-4200M,2.50 GHz,Core i5,HD,1366 x 768,Operating System Windows 7 Professional 64-bit Operating System Architecture 64-bit,Yes,Solid State Drive Capacity 180 GB,Multi-touch Gesture,Yes,,Intel,Centrino Advanced-N 6235,IEEE 802.11a/b/g/n,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,HM87 Express,,,,,,,,,,,,Serial ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Apple MacBook Pro MGXA2ZP/A Core i7-2.2GHz-16GB RAM-256GB Flash Storage-15.4""MacBook Pro Notebook | TopEndElectronics UK",Built-In Lithium-Polymer,14.1 x 0.7 x 9.7 '' / 35.8 x 1.8 x 24.6 cm,Keys : 78,Mac OS X 10.9 Mavericks ( 64-bit ),TouchPad with Double-Tap,4.46 lb / 2.02 kg,,,,,,,Type : Integrated,,,,OnboardType : 1600MHz DDR3L SDRAM,,,,,,,,,,,Yes,,16 : 09,Integrated Stereo Speakers,LED,Bluetooth 4.0,L3 : 6MB,2x Mini DisplayPort via Thunderbolt port,Glossy,1x SDXC,Installed : 256GB,2880 x 1800,10/100/1000Mbps Gigabit Ethernet ( RJ-45 ),None,2x Thunderbolt 2,"AC : 100-240 V AC , 50-60Hz",2.2GHz Intel Core i7 Quad-Core 4th-Gen Crystalwell,15.4 '',Widescreen,802.11a/b/g/n/ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 2560 x 1600,,,2880 x 1800 at 16 : 10 Aspect Ratio,,,,,,,,,,,,,,,,,
"Best Lenovo ThinkPad T440p 20AN0069US-i5-4200M 2.5GHz-4GB-500GB HDD-Win 7-14"" LED Notebook-Black | TopEndElectronics UK",6-Cell Lithium-Ion Providing up to 7.4 Hours per Charge ( 56Wh ),13.2 x 1.1 x 9.0 '' / 33.5 x 2.8 x 22.9 cm,Type : Standard Notebook Keyboard,Windows 7 Professional ( 64-bit ),TouchPad & TrackPoint with Multi-Touch Control,4.70 lb / 2.13 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HDD User Password Protection , Power-On Password , Infineon TPM Software Professional Package , Kensington Lock Slot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best HP EliteBook 8470w-C6Z03UT-i7-3630QM-8GB-128GB SSD-Win 7-14"" LED Notebook | TopEndElectronics UK",9-Cell Lithium-Ion ( 100Wh ),1.2 x 9.1 x 13.3 '' / 31.8 x 231.1 x 337.8 mm,Type : Standard Notebook Keyboard,Windows 7 Professional ( 64-bit ),"TouchPad with On/Off Button , Two-Finger Scrolling",4.96 lb / 2.25 kg,,,,,,,Type : Integrated Installed : AMD FirePro M2000 with up to 1GB GDDR5 SDRAM,,,,Type : 1600MHz DDR3 SDRAM Installed : 8GB,,,,,,,,Performance Processor 2.40GHz Intel Core i7-3630QM Cache L3 : 6MB Memory,,,Yes,,16 : 9,1x 1/8 '' ( 3.5mm ) Headphone Output 1x 1/8 '' ( 3.5mm ) Microphone Input,LED,Bluetooth 4.0,L3 : 6MB,1x DisplayPort 1x VGA,Antiglare,1x Smart Card 1x SD,Installed : 128GB,1600 x 900,1x 10/100/1000Mbps Gigabit Ethernet ( RJ-45 ),,2x USB 3.0 ( A ) 2x USB 2.0 ( A ) 1x FireWire-400 ( 4-Pin ) 1x Docking Connector 1x eSATA,Not Specified By Manufacturer,2.40GHz Intel Core i7-3630QM,14 '',Widescreen,802.11a/b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56k ( RJ-11 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200cd/m2,"BIOS Booting , Power-On Password , Infineon TPM Software Professional Package , Kensington Lock Slot , Fingerprint Reader",Not Specified By Manufacturer,1x ExpressCard/54 Slot,3G,"65° Horizontal , 50° Vertical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Lenovo ThinkPad Edge E431-i5-3230M-4GB-500GB-Win7Pro-14"" LED Notebook | TopEndElectronics UK",,,,,,,,,,,,,,,,,,,,,,,,,Performance Processor Intel Core i5-3230M-2.6GHz Cache L3 : 3MB Memory,,,,,,,,,,Type Widescreen,,,,,,,,,,,Standard Notebook Keyboard Pointing Device TouchPad & TrackPoint with Multi-Touch Control Dimensions ( WxHxD ) 13.5 x 1.1 x 9.4 '' / 34.3 x 2.8 x 23.9 cm Weight 4.7 lb / 2.13 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hard Drive Installed : 500GB 7200rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Network Ethernet ( RJ-45 ),Operating System Windows 7 Professional ( 64-bit ),Ports 2x USB 3.0 ( A ),Processor Intel Core i5-3230M-2.6GHz,,,,,,,
"Best Lenovo ThinkPad Edge E440 20C50052US-i3-4000M-4GB-500GB HDD-Win 7-14"" LED Notebook-Matte Black | TopEndElectronics UK",,,,Windows 7 Professional,,,,,,,,,,,Yes,,,,,,,14.00 ``,,,"Battery Information Battery Chemistry Lithium Ion ( Li-Ion ) Maximum Battery Run Time 6.30 Hour Interfaces/Ports HDMI Yes Total Number of USB Ports 3 Number of USB 2.0 Ports 1 Number of USB 3.0 Ports 2 Headphone/Microphone Combo Port Yes Display & Graphics Screen Size 14.00 `` Display Screen Type Active Matrix TFT Color LCD Aspect Ratio 16 : 9 Screen Mode HD Screen Resolution 1366 x 768 Backlight Technology LED Graphics Controller Manufacturer Intel Graphics Controller Model HD 4600 Graphics Memory Technology DDR3L SDRAM Graphics Memory Accessibility Shared Storage Storage Size 500 GB Hard Drive RPM 7200 Optical Drive Type DVD-Writer General Information Manufacturer Part Number 20C50052US Brand Name Lenovo Product Type Notebook Product Line ThinkPad Edge Product Series E440 Memory Standard Memory 4 GB Maximum Memory 16 GB Number of Total Memory Slots 2 Memory Card Reader Yes Network & Communication Wireless LAN Model Wireless-N 7260 Wireless LAN Standard IEEE 802.11b/g/n Ethernet Technology Gigabit Ethernet Bluetooth Yes Bluetooth Standard Bluetooth 4.0 Physical Characteristics Height 1.2 '' Width 13.5 '' Depth 9.4 '' Weight ( Approximate ) 75.2 oz Built-in Devices Webcam Yes Microphone Yes Finger Print Reader Yes Speakers Yes Processor Processor Manufacturer Intel Processor Type Core i3 Processor Model i3-4000M Processor Speed 2.40 GHz Processor Core Dual-core ( 2 Core ) Software Operating System Windows 7 Professional Operating System Architecture 64-bit Input Devices Pointing Device Type Trackpoint , TouchPad TouchPad Features Multi-touch Gesture",,,Yes,,16 : 9,,,Yes,,,,,,,,,,,,,,,,LED,Lithium Ion ( Li-Ion ),,,Bluetooth 4.0,,,,,,Active Matrix TFT Color LCD,,,Gigabit Ethernet,,Intel,HD 4600,Shared,DDR3L SDRAM,,7200.0,Yes,,,,6.30 Hour,16 GB,,Yes,,,,,,2.0,2.0,64-bit,DVD-Writer,,"Trackpoint , TouchPad",,Dual-core ( 2 Core ),i3-4000M,2.40 GHz,Core i3,HD,1366 x 768,,Yes,,Multi-touch Gesture,,,,Wireless-N 7260,IEEE 802.11b/g/n,,,,,9.4 '',,,1.2 '',,,,,Yes,,1.0,Intel,,ThinkPad Edge,,,E440,Notebook,4 GB,13.5 '',,,,,,,,,,,,,,20C50052US,,500 GB,,75.2 oz,,,,Yes,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,Lenovo,,,,,,,,,,,,,,,
"Best ASUS X550LA-XH51-i5-4200U-8GB-500GB-Win 8-15.6""LED Notebook- Silver Grey | TopEndElectronics UK",4-Cell External Lithium-Ion ( 2600mAh ),15.0 x 1.3 x 9.9 '' / 38.1 x 3.3 x 25.1 cm,Features : Chiclet Style,Windows 8 Pro ( 64-bit ),"TouchPad with Double-Tap , Multi-Touch Control , Pinch , Tap , Two-Finger Scrolling",5.1 lb / 2.31 kg,,,,,,,Type : Integrated Installed : Intel HD Graphics UMA,,,,Type : PC3- 1600MHz DDR3 SDRAM Installed : 8GB,,,,,,,,Performance Processor 1.6GHz Intel Core i5 4200U Cache Not Specified By Manufacturer Memory,,,Yes 720p Video,,16 : 9,1x 1/8 '' ( 3.5mm ) Headphone/Microphone Combo Jack,LED,Bluetooth 4.0,Not Specified By Manufacturer,1x HDMI 1x VGA,Glossy,1x SD,Installed : 500GB 7200rpm,1366 x 768,1x 10/100/1000Mbps Gigabit Ethernet ( RJ-45 ),Tray-Load SuperMulti DVD Burner with Dual Layer Support,1x USB 3.0 ( A ) 2x USB 2.0 ( A ),"AC : 100-240 V AC , 50/60Hz",1.6GHz Intel Core i5 4200U,15.6 '',"SATA Optical Drive Tray-Load SuperMulti DVD Burner with Dual Layer Support Input/Output Connectors Ports 1x USB 3.0 ( A ) 2x USB 2.0 ( A ) Display 1x HDMI 1x VGA Audio 1x 1/8 '' ( 3.5mm ) Headphone/Microphone Combo Jack Expansion Slots None Flash Media Slot 1x SD Communications Network 1x 10/100/1000Mbps Gigabit Ethernet ( RJ-45 ) Modem None Wi-Fi 802.11b/g/n Bluetooth Bluetooth 4.0 Mobile Broadband None GPS None NFC None Webcam Yes 720p Video General Operating System Windows 8 Pro ( 64-bit ) Security BIOS Booting , HDD User Password Protection , Power-On Password , Kensington Lock Slot Keyboard Features : Chiclet Style Pointing Device TouchPad with Double-Tap , Multi-Touch Control , Pinch , Tap , Two-Finger Scrolling Battery 4-Cell External Lithium-Ion ( 2600mAh ) Power Requirements AC : 100-240 V AC , 50/60Hz Dimensions ( WxHxD ) 15.0 x 1.3 x 9.9 '' / 38.1 x 3.3 x 25.1 cm Weight 5.1 lb / 2.31 kg",802.11b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Specified By Manufacturer,"BIOS Booting , HDD User Password Protection , Power-On Password , Kensington Lock Slot",,None,None,Not Specified By Manufacturer,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,
