<page title>,capacity,depth,dockable,height,ram,run time,speed,system type,technology,type,weight,widescreen,width,cache memory,device type,flash memory,form factor,interface,memory speed,monitor type,power provided,installed size,interface type,spindle speed,battery,dimensions wxdxh,display,dockable,environmental standards,graphics,localization,manufacturer selling program,manufacturer warranty,memory,networking,operating system,optical drive,processor,product description,security,storage,system type,weight,empty slots,features,slots qty,automatic duplexing,interface,max resolution bw,microsoft certification,monthly duty cycle max,print speed,printer type,ram installed max,total media capacity,aspect ratio,backlight life,brightness,color,diagonal size,interfaces,panel type,pixel pitch,power supply,response time,screen coating,viewable size,product type,resolution,storage,touchscreen,channel qty,localization,raid level,video memory,card reader,image enhancement technology,language simulation,max media size,max resolution color,media handling,media size class,media type,power,system requirements,main storage,optical drive,color,case material,battery life,battery type,best buy pc app,bluetoothenabled,bluray player,builtin webcam,cache memory,computer hard drive size,digital media reader or slots,directdisc labeling,display type,drive capacity,energy star certified,epeat qualified,game ports,graphics card,graphics chip,hard drive type,hdmi output,ieee 1394 firewire ports,laptop weight,modem,mpeg,operating system bit version,operating system platform,parallel ports,pcmcia slots,pointing device,processor brand,processor speed,screen size measured diagonally,speakers,svideo outputs,system memory ram,system memory ram expandable to,tv tuner,type of memory ram,usb 20 ports,video memory,wireless networking,bypass feeder capacity,copier type,device type,document feeder capacity,fax resolutions,fax type,max copying resolution,max copying speed,max fax transmission speed,max media capacity,max printing resolution,max printing speed,media size,office machine features,original size,original type,output trays capacity,pc connection,pc connection availability,printing technology,scanning,standard media capacity,hard drive size,keyboard description,network card,other control devices mouse etc,recordable dvd drive,recordable dvd drive speeds,software included,tilt,touchscreen,audio output,cache per processor,camera,card reader,form factor,graphics controller,hard drive,monitor,optical storage,os provided,platform technology,processor main features,processor socket,ram,storage controller,type,2in1,audio,customized convenience,more expansion less expense,solid security,receiver,backlit keyboard,gaming series,included software,optical drive speeds,wireless display,adobe flash compatible,data plan required,digital camera,digital camera pixels,front facing webcam,front facing webcam pixels,gps enabled,gps enabled with,headphone jack,internal storage type,pricematch,sd card slot,storage capacity,wifi built in,installed qty,beautifully slim,everlasting memories,sensational fun,superior productivity,wireless,power,microsoft office preloaded,contrast ratio,pixel per inch,speakers,automatic document feeder,automatic document reduction,automatic redial,available print modes,bit depth,black printer resolution,color printer resolution,copier resolution dpi,copier speed bw,copier speed color,document feed type and capacity,duty cycle,fax transmission speed,fontstypefaces,input paper capacity,media sizes,media types,minimum system requirements,multiple copies,networking capabilities,number of speed dials,output paper capacity,pcfree printing,print quality,print speed bw,print speed color,reduction enlargement,scan method,scanner resolution dpi,scanner type,total ink tankscartridge,twosided printer,type of interface,os provided,additional audiovideo connectors,connectivity,mechanical design,batteries needed,battery included,battery quantity,color category,connection type,cordlesswireless,ergonomic,leftrighthanded design,mac compatible,optical technology,port connection,type of pointing device,sharing files and documents is a snap,get connected in more ways than one,store it all,carrier,processor,aspect ratio,brightness,builtin devices,color support,compliant standards,contrast ratio,display position adjustments,input connectors,native resolution,panel type,pixel pitch,response time,all media,connect,do more,easy fun,memory,vesa support,ink palette supported colors,inkjet technology,printer features,product type,max media size custom,ssd cache,sound emission,hard drive capacity,number of ports,power consumption,bundled with,screen coating,fun shareable services,hd video recording,inspiring mobile freedom in your life,location,processor clock speed,rich multimedia experience,sleek portable design,supported flash memory cards,wireless connectivity,amazing angles with ips,beauty and brains,hp and the environment on your side,jawdropping details,software that simplifies,compatibility,dvid input,dvid with hdcp input,hdmi input,inputs,maximum resolution,product depth with stand,speakers included,vga input,airprint enabled,bundled services,min media size custom,pricing type,designed for,features,hot keys function,antiglare coating,horizontal frequency,monitor type,screen refresh rate,vertical frequency,fax memory,product depth without stand,additional features,5 customizable buttons,bluetrack technology,comfort and durability,tilt wheel,backlight technology,battery capacity,battery chemistry,dimensions w x d x h,display screen type,finger print reader,graphics controller manufacturer,graphics memory accessibility,graphics memory technology,hdmi,height,keyboard,maximum battery run time,maximum power supply wattage,memory card reader,memory card supported,memory technology,microphone,multitouch screen,number of cells,number of usb 30 ports,operating system architecture,optical drive type,pointing device type,processor manufacturer,processor model,processor turbo speed,processor type,screen mode,screen resolution,screen size,solid state drive capacity,standard memory,total number of usb ports,webcam,wireless lan standard,battery indicator,scrolling wheel,drop size,paper feeder,green compliance,number of buttons,total print heads,bays,available expansion slots,gorgeous gaming power,included service,instinctfast response,optimum game control,spectacle of sound,input device,heavy security exceptionally managed,reliability for the long haul,the solution for diverse business demands,preview screen size,ips,portrait andor landscape viewable,at home in your environment,barcodes,featurerich and up to any task,print from a usb flash drive,recommended monthly volume,print on cddvd,wireless broadband wwan,dimensions,display format,hdmi ports qty,lan protocol,pc interface,power device,remote control,targeting,tv tuner,viewing angle,7 capacitive multitouch screen,battery run time,fast processor,frontfacing camera,movies and tv shows,responsive touch screen,slim lightweight portable,supported still image formats,supported text formats,flash memory installed max,speaker system,stand,stand design,read speed,series,incredible beauty vibrant portability,incredible cloud store share and sync,incredible sound incredible sound with sonicmaster,pricing type,killer gaming lan priority online gaming lead the way,outstanding management of power usage,carry less,durable and dependable,productive powerhouse,security you can depend on,the power of touch,display screen technology,ethernet technology,network rj45,number of usb 20 ports,processor core,vga,wireless capability,essential security,were right behind you,environmentally friendly,auto sensing,interface slot type,lan connection,number of lan ports,speed,ips panel provides vivid images on the go,supernote super great app for more than note taking,data compression system,onscreen image controls,zooming capabilities,document management also made easy,everything the small workgroup requires,keyboard design,mouse included,multimedia keys,palm rest,available expansion bays,10point multitouch display,four awesome modes one incredible device,instant resume,multimode keyboard,robust harddrive protection,rocksolid durability,print speed photo,antenna qty,frequency band,usb 30 and network connectivity,print documents and web pages fast,cables included,connectivity technology,movement detection technology,movement resolution,os required,performance,a powerful tablet doesnt have to be complicated,make the most of the real estate,make the most of your downtime,hp support,impressive audio and visual experience,power to perform,put it together,integrated options,sensors,detailoriented display,familyfriendly,low battery,magazines come to life,more productive than ever,security at your fingertips,security devices,ultrathin and lighter,dolby advanced audio v2,intel processor,precision keyboard,ultradurable and milspec tested,vga port,discrete graphics,ambibright,digital uniformity compensation,rapid response,add style and priority by customizing your home screen,meetings made easy no paper or servers necessary,powering entertainment and empowering productivity,seamless multi tasking four different ways,take web meetings to the next level,maximum memory,number of total memory slots,mounting kit,a classic timeless design,precise input,providing a smooth computing experience
Samsung Galaxy Tab 4 - tablet - Android 4.4 (KitKat) - 16 GB - 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Android 4.4 KitKat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-ion,,Yes,,,,,,,HD touchscreen,16GB,No,,,,,,No,,,,,,Android,,,,Samsung,1.2GHz,8 '',Internal,,1.5GB,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,3.0MP,Yes,1.3MP,Yes,Google Maps,Yes,Flash memory,,Yes,16GB,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Compaq Elite 8300 - Core i5 3470S 2.9 GHz - 4 GB - 500 GB,1 x 500 GB,10 in,,2.6 in,,,,,,Integrated DVD-ROM - SATA HDD,6.8 lbs,,9.9 in,,Power supply,,,,1600 MHz,None .,135 Watt,6 MB,SATA 3Gb/s,7200 rpm,,,,,,,,,,,,,,,,,,,,,Unbuffered,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP EliteBook Folio 9470m - 14 - Core i5 3437U - Windows 7 Pro - 4 GB RAM - 128 GB SSD,,9.1 in,Yes,0.7 in,4 GB,,,Ultrabook,DDR3 SDRAM Lithium ion,14,3.6 lbs,Yes,13.3 in,,,,,Serial ATA-600,,,,,,,,,,,,,,,,,,,,,,,,,,,HD+ anti-glare,2.0,,,,,,,,,,,,,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,128 GB SSD,,,Aluminum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802.11n ``,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell - Inspiron 17.3Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive - Longitude Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Built-in 10/100 Ethernet LAN,Windows 8.1,,Intel® 4th Generation Core™ i5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not available,,No,Yes,No,Yes,3MB,1TB,"Yes , digital media card reader",No,HD LED,1TB,No,No,None,,,SATA ( 5400 rpm ),Yes,None,Standard ( more than 5.5 lbs . ),None,Yes,64-bit,Windows,None,None,,Intel®,,17.3 '',,None,8GB,Nonexpandable,No,DDR3,1 USB 3.0 ; 2 USB 2.0,Integrated,Wireless-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-definition ; Waves MaxxAudio,,,,,,,,Drive speeds not specified,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic Toughbook 53 - 14 - Core i5 3340M - Windows 7 Pro - 4 GB RAM - 500 GB HDD,6750 mAh,11.1 in,Yes,2.2 in,4 GB,Up to 11 hours,1333 MHz,Notebook,DDR3L SDRAM Lithium ion,14,6.5 lbs,Yes,13.4 in ``,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ProBook 6470b - 14 - Core i5 3340M - Windows 7 Pro 32-bit - 4 GB RAM - 320 GB HDD,55 Wh,9.1 in,Yes,1.3 in,4 GB,,,Notebook,DDR3 SDRAM,14,4.5 lbs,Yes,13.3 in,,,,,Serial ATA-600,,,,,,,,,,,,,,,,,,,,,,,,,,,HD anti-glare,2.0,,,,,,,,,,,,,Tungsten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,802.11n ``,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zagg keys Backlit Keyboard and Folio for Apple iPad Mini, Black/Black",,,,,,,,,,,,,,,,,,,,,,,,,,8 in x 5.4 in x 0.3 in,,,,,,,,,,,,,ZAGG ZAGGkeys Folio - keyboard and folio case,,,,11.3 oz,,,,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyboard and folio case - wireless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple iPad mini ; iPad mini with Retina display,"Backlit , adjustable brightness , battery LED indicator","Power , volume , mute , Show Desktop , screen lock , copy , paste , play/pause , previous track , next track , home screen , backlight control",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic Toughbook C2 - 12.5 - Core i5 4300U - Windows 8.1 Pro 64-bit - 4 GB RAM - 500 GB HDD,6800 mAh,8.4 in,Yes,1.7 in,4 GB,Up to 14 hours,,Notebook,Lithium ion DDR3L SDRAM,12.5 - IPS,4 lbs,Yes,11.8 in ``,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViewSonic CDE6500-L - 65 Class ( 64.5 viewable ) LED-backlit LCD flat panel display,,2.9 in,,33.7 in,,,,,,Remote control,82 lbs,,57.6 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 000 hour ( s ),350 cd/m2,,,,,,,6.5 ms,,,,1920 x 1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Without stand,1080p ( FullHD ),3 port ( s ),,,Power supply,Remote control,Commercial use,No tuner,176 degrees,,,,,,,,,,,2 speakers,Included,Tabletop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E5530 - 15.6 - Core i3 3110M - Windows 7 Pro 32-bit - 2 GB RAM - 320 GB HDD,60 Wh,9.9 in,Yes,1.3 in,,,1600 MHz,Notebook,DDR3 SDRAM,15.6,5.2 lbs,Yes,15.3 in,,,,,Serial ATA-300,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Anti-glare,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DVDﾱRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802.11n ``,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus VivoTab TF810C-C1-GR 11.6"" Windows Tablet, Intel Atom Z2760 1.8GHz, 2 RAM, 64GB HDD, Wi-Fi, Windows 8",,,,,,,,,,,,,,,,,,,,,,,,,Up to 10.5 hours,11.6 in x 7.4 in x 0.3 in,11.6 '' touchscreen 1366 x 768 / HD,Yes,,PowerVR SGX545,,,1 year warranty,2 GB LPDDR2,"802.11n , Bluetooth 4.0 , NFC",Windows 8,,Intel Atom Z2760 / 1.8 GHz / 1 MB Cache,ASUS VivoTab TF810C - 11.6 '' - Atom Z2760 - Windows 8 - 2 GB RAM - 64 GB SSD,,64 GB SSD,Tablet,23.8 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Includes a pre-loaded image of select Microsoft Office 2010 suites . Purchase an Office 2010 Product Key Card or disc to activate preloaded software on this PC .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No keyboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 GB ASUS WebStorage ( 3 years ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E5440 - 14 - Core i7 4600U - Windows 7 Pro 64-bit - 8 GB RAM - 500 GB Hybrid Drive,97 Wh,9.3 in,Yes,1.3 in,,,,Notebook,DDR3L SDRAM,14,4.4 lbs,Yes,13.3 in ``,,,,,Serial ATA-300,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Anti-glare,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DVDﾱRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon ImageCLASS MF3010 - multifunction ( printer / copier / scanner ) ( B/W ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,24,Up to 600 x 400 dpi,,Up to 600 x 600 dpi,Up to 19 cpm ( Copier speeds vary with use . See manufacturer for info on copier speeds . ),,,"Up to 8,000 pages/mo .",,,Up to 150 sheets,"Letter , legal , A4 , A5 , B5 , statement , executive","Plain paper , heavy paper , bond paper , labels , small documents , index cards","PC : Windows 2000 , XP , Vista , 7 or 8 ; Mac : OS X 10.4.9 and later ; USB 2.0 port",,,,,No,For documents,Up to 19 ISO ppm ( Print speeds vary with use . See manufacturer for info on print speeds . ),Black-and-white only,,Flatbed,Up to 600 x 600 dpi optical ( 9600 x 9600 dpi interpolated ),Flatbed,1 black cartridge ( included ),,USB 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkCentre M93p 10AB - Core i5 4570T 2.9 GHz - 4 GB - 500 GB - with External Optical Box,,7.2 in,,2.6 in,,,,,Optical DDR3 SDRAM,SSHD Integrated,5.1 lbs,,7.2 in,,Power adapter,,,USB,1600 MHz,None .,65 Watt,4 MB,SATA 6Gb/s,5400 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business black,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEC E424 - 42 LED-backlit LCD flat panel display,,2.5 in,,24.7 in,,,,,,Remote control,26.7 lbs,,37.7 in ``,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360 cd/m2,,42 '' 42,,,,,9 ms,,,,1920 x 1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Without stand,1080p ( FullHD ),3 port ( s ),,VGA ( HD-15 ),Power supply,Remote control,Commercial use,,178 degrees,,,,,,,,,,,2 speakers,Included,Tabletop,,E Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
