<page title>,adjustable display angle,adjustable display height,adjustable display pivot,aspect ratio,backlight technology,brand name,brightness,builtin devices,certifications standards,colour,colour support,contrast ratio,depth,display orientation,displayport,dvi,features,green compliance certificateauthority,green compliant,hdcp supported,hdmi,headphone,height,horizontal viewing angle,limited warranty,manufacturer,manufacturer part number,maximum resolution,number of screens,number of speakers,operating power consumption,package contents,panel technology,platform supported,product line,product model,product name,product type,response time,screen mode,screen size,speakers,standard refresh rate,standby power consumption,usb,usb standard,vertical viewing angle,vesa mount compatible,vesa mount standard,vga,weight approximate,width,depth with stand,height with stand,input voltage,screen surface,width with stand,environmentconscious and reliable,flexible viewing and connectivity options,impressive screen clarity,horizontal frequency,maximum adjustable height,offmode power consumption,product series,webcam,swivel angle,tilt angle,weight with stand approximate,energy consumption per year,energy efficiency class,mount type,full product specifications,postconsumerwaste,3d type,recycled,recycled content,network rj45,packaged quantity,thunderbolt,component video,composite video,superb performance,versatile connections,full datasheet accessories features,mfr code,product,product code,stock,additional information,svideo
"VG2435SM, B921672, ViewSonic, LCD Monitor, Itenergy Ltd",,,,16:10,LED,Viewsonic,250 cd/mÂ²,Speaker,,,16.7 Million Colours,"50,000,000:1",51.6 mm,,,Yes,,TCO Certified Displays REACH ENERGY STAR,Yes,,,,363 mm,,,Viewsonic Corporation,VG2435SM,1920 x 1200,1.0,,31 W,,,,Graphic,VG2435Sm,"VG2435Sm 24"" 16:10 Ergonomic Multimedia Display",LCD Monitor,5 ms,WUXGA,"61 cm (24"")",Yes,,,,,,Yes,,Yes,4.10 kg,531.4 mm,204.22 mm,393.70 mm,,,556.77 mm,,,,,,,,,,,5.70 kg,,,,Click to view,,,,,,,,,,,,,,,,,,
"E2280HS-B1, IIYNOT019, Iiyama, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,iiyama,250 cd/mÂ²,Speaker,CETUV-GSCUVESA DPMS,Black,16.7 Million Colours,"5,000,000:1",189.5 mm,,,Yes,Security Lock,ENERGY STAR,Yes,Yes,Yes,,365.5 mm,160Â°,,"iiyama North America, Inc",E2280HS-B1,1920 x 1080,1.0,2.0,21 W,ProLite E2280HS Widescreen LCD MonitorPower CableD-Sub CableDVI-D CableAudio CableStandQuick Start GuideSafety Guide,,Mac,ProLite,E2280HS,ProLite E2280HS Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"55.9 cm (22"")",Yes,,1 W,,,160Â°,Yes,100 x 100,Yes,3.30 kg,509.5 mm,,,220 V AC 110 V AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"860-10202, DELU2413, Dell, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:10,LED,Dell,350 cd/mÂ²,Card Reader USB Hub,,Black,1.07 Billion Colors,"1,000:1",67.1 mm,,Yes,Yes,PremierColor Technology Security Lock Cable Management,ENERGY STAR 5.1 EPEAT Gold TCO Certified Displays,Yes,Yes,Yes,,361.6 mm,178Â°,3 Year,"Dell, Inc",860-10202,1920 x 1200,1.0,,130 W,UltraSharp U2413 Widescreen LCD Monitor Stand Power Cable DVI-D Cable DisplayPort Cable USB 3.0 upstream Cable Cable Tie Drivers and Documentation media Colour Calibrated Factory Report Quick Setup Guide Safety Information,Advanced High Performance In-plane Switching (AH-IPS) Technology,PC,UltraSharp,U2413,UltraSharp U2413 Widescreen LCD Monitor,LCD Monitor,6 ms,WUXGA,"61 cm (24"")",,60 Hz,500 mW,Yes,USB 3.0,178Â°,Yes,,,5.01 kg,556 mm,200.50 mm,530.90 mm,220 V AC 110 V AC,Anti-glare,556 mm,,,,,,,,,,,7.32 kg,,,,,,,,,,,,,,,,,,,,,,
"UM.FS1EE.001, 8653X34, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Acer,250 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",42 mm,,,Yes,,ENERGY STAR MPR II,Yes,Yes,Yes,,343 mm,170Â°,3 Year,"Acer, Inc",UM.FS1EE.001,1920 x 1080,1.0,,19.80 W,S241HL Widescreen LCD Monitor1 x VGA Cable1 x DVI CablePower Cord,Twisted Nematic Film (TN Film),,,S241HL,S241HL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"61 cm (24"")",No,60 Hz,460 mW,,,160Â°,Yes,100 x 100,Yes,3.50 kg,565 mm,166 mm,401 mm,110 V AC 220 V AC,Anti-glare,565 mm,,,,,No,450 mW,S,,No,-5Â°to15Â°,3.80 kg,,,,,,,,,,,,,,,,,,,,,,
"D7Z72AT#ABU, 2846672, HP, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,HP,250 cd/mÂ²,USB Hub,CE CB KC KCC NOM PSB ICE TUV-S CCC SEPA ISC VCCI FCC BSMI,Black,16.77 Million Colors,"1,000:1",52.2 mm,,Yes,Yes,Security Lock,EPEAT Gold ENERGY STAR China Energy Label (CEL) TCO Certified Edge WEEE CECP REACH EPA,Yes,Yes,,,387.3 mm,178Â°,3 Year,Hewlett-Packard,D7Z72AT#ABU,1920 x 1080,1.0,,40 W,"EliteDisplay E271i 68,6 cm (27'') LED Backlit Monitor VGA Cable DisplayPort Cable USB Cable AC power Cable Printed Documentation And CD HP DisplayAssistant Software",In-plane Switching (IPS) Technology,PC,Business,E271i,"EliteDisplay E271i 68,6 cm (27'') LED Backlit Monitor",LCD Monitor,7 ms,Full HD,"68.6 cm (27"")",No,60 Hz,500 mW,Yes,USB 2.0,178Â°,Yes,,Yes,4.90 kg,642 mm,278.50 mm,532.10 mm,220 V AC 110 V AC,Anti-glare,642 mm,,,,,,,Advantage,No,,,7.70 kg,,,Wall Mountable Arm-mountable,,,,,,No,,,,,,,,,,,,,
"860-10148, 0912950, Dell, LCD Monitor, Itenergy Ltd",,,,16:10,LED,Dell,300 cd/mÂ²,USB Hub,,Silver,16.78 Million Colors,"2,000,000:1",65 mm,,Yes,Yes,,China Energy Label (CEL) TCO Certified Displays 5.2 CECP EPEAT Gold ENERGY STAR 5.1,Yes,,,,361.7 mm,,3 Year,"Dell, Inc",860-10148,1920 x 1200,1.0,,72 W,"UltraSharp U2412M 24"" (61cm) Monitor VGA,DVI-DP (1920x1200) Black Stand Power cable Power adapter DVI cable USB cable VGA Cable Drivers and Documentation media Quick Setup Guide Safety Information",,,UltraSharp,U2412M,"UltraSharp U2412M 24"" (61cm) Monitor VGA,DVI-DP (1920x1200) Black",LCD Monitor,8 ms,WUXGA,"61 cm (24"")",,,,Yes,,,Yes,,Yes,3.97 kg,556 mm,180.34 mm,513.59 mm,,,556.01 mm,,,,,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"UM.WV6EE.B04, 8655C12, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Acer,200 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",206.8 mm,,,Yes,,ENERGY STAR MPR II,Yes,Yes,,,390.4 mm,90Â°,3 Year,"Acer, Inc",UM.WV6EE.B04,1920 x 1080,1.0,,18.10 W,V226HQL Widescreen LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),,,V226HQL,V226HQL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,60 Hz,450 mW,,,65Â°,Yes,100 x 100,Yes,3.24 kg,508 mm,,,110 V AC 220 V AC,Anti-glare,,,,,,No,350 mW,V,,No,-5Â°to25Â°,3.66 kg,,,,,,,,,,,,,,,,,,,,,,
"ET.VG6HE.B01, 8652S94, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Acer,200 cd/mÂ²,,,Black,,"100,000,000:1",,,,Yes,,,,,,,,,,"Acer, Inc",ET.VG6HE.B01,1920 x 1080,1.0,,26 W,,Twisted Nematic Film (TN Film),PC,,G236HLBbd,G236HLBbd Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,60 Hz,450 mW,,,,No,,Yes,,,,,,,,,,,,No,400 mW,G,,No,-5Â°to15Â°,,,,,,,,,,,,,,,,,,,,,,,
"22MB65PM-B, 2975559, LG Electronics, LCD Monitor, Itenergy Ltd",,Yes,,16:10,LED,LG,250 cd/mÂ²,,,Black,,"50,000,000:1",,,,Yes,,,,,,,,,,LG Electronics,22MB65PM-B,1680 x 1050,1.0,,,,In-plane Switching (IPS) Technology,,,22MB65PM-B,22MB65PM-B Widescreen LCD Monitor,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",Yes,,,,,,Yes,,Yes,4.80 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B2481HS-B1, 2541179, Iiyama, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,iiyama,250 cd/mÂ²,Speaker,CECUTUV-GS,Black,16.7 Million Colours,"1,000:1",244.5 mm,Landscape/Portrait,,Yes,Security Lock,TCO Displays 5.0 ENERGY STAR,Yes,Yes,Yes,,535 mm,178Â°,3 Year,"iiyama North America, Inc",B2481HS-B1,1920 x 1080,1.0,2.0,22 W,ProLite B2481HSPower CableD-Sub CableDVI CableAudio CableStand FootFootQuick Start GuideSafety Guide,,Mac PC,ProLite,B2481HS,ProLite B2481HS,LCD Monitor,2 ms,Full HD,"61 cm (24"")",Yes,75 Hz,1 W,,,170Â°,Yes,100 x 100,Yes,5.50 kg,543.5 mm,,,220 V AC 110 V AC,,,,,,,,,,,,,,,,Desk Mountable Wall Mountable,,,,,,,,,,,,,,,,,,,
"UM.FG6EE.A01, ACEG246HLABD, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Acer,250 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",42 mm,,,Yes,,MPR II,Yes,Yes,,,343 mm,170Â°,2 Year,"Acer, Inc",UM.FG6EE.A01,1920 x 1080,1.0,,19.80 W,G246HL Widescreen LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),,,G246HL,G246HL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"61 cm (24"")",No,60 Hz,460 mW,,,160Â°,Yes,100 x 100,Yes,3.50 kg,565 mm,179 mm,401 mm,220 V AC 110 V AC,Anti-glare,565 mm,,,,,No,450 mW,G,,No,-5Â°to15Â°,3.80 kg,,,,,,,,,,,,,,,,,,,,,,
"UM.VV6EE.001, 8654L71, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Acer,250 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",52 mm,,,Yes,,TCO Certified Displays 6.0 EPEAT Gold,Yes,Yes,,,325 mm,178Â°,3 Year,"Acer, Inc",UM.VV6EE.001,1920 x 1080,1.0,,21.90 W,V236HL Widescreen LCD MonitorPower Cord1 x VGA Cable,In-plane Switching (IPS) Technology,,,V236HL,V236HL Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"58.4 cm (23"")",,60 Hz,450 mW,,,178Â°,Yes,100 x 100,Yes,3.50 kg,544 mm,207 mm,409 mm,220 V AC 110 V AC,Anti-glare,544 mm,,,,,No,350 mW,V,,No,-5Â°to25Â°,4 kg,,,,,,,,,,,,,,,,,,,,,,
"857-BBCD, 0912946, Dell, LCD Monitor, Itenergy Ltd",,,,5:4,LED,Dell,250 cd/mÂ²,USB Hub,,Silver,16.7 Million Colours,"2,000,000:1",46.5 mm,,Yes,Yes,,TCO Certified Displays EPEAT Gold RoHS China Energy Label (CEL) ENERGY STAR 6.0,Yes,,,,336.3 mm,,3 Year,"Dell, Inc",857-BBCD,1280 x 1024,1.0,,37 W,,,,,P1914S,19 Monitor - P1914S,LCD Monitor,8 ms,SXGA,"48.3 cm (19"")",No,,,Yes,,,Yes,,Yes,2.76 kg,411.5 mm,,336.30 mm,,,411.48 mm,"Built to comply with
the latest environmental and regulatory standards, and protected by a
Premium Panel Guarantee and 3 years Advanced Exchange Service.","Fully adjustable stand and a comprehensive set of analog and
digital ports and cables.",,,,,,,,,,,,,Click to view,25%,,,,,,,,,,,,,,,,,
"60003324, 3967788, NEC Display Solutions, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,NEC Display,250 cd/mÂ²,USB Hub,,Black,1.07 Billion Colors,"1,000:1",73.7 mm,,Yes,Yes,Carbon Footprint Meter CableComp+ Ambient Light Sensor TileMatrix Support TileComp,RoHS TCO Certified Displays 5.2 ENERGY STAR 5.0,Yes,Yes,Yes,,322.6 mm,178Â°,,NEC Display Solutions,60003324,1920 x 1080,1.0,,29 W,,In-plane Switching (IPS) Technology,PC,MultiSync,P232W,"23"" Widescreen Professional Graphics Desktop Monitor",LCD Monitor,8 ms,Full HD,"58.4 cm (23"")",,85 Hz,300 mW,Yes,,178Â°,Yes,100 x 100,Yes,,543.6 mm,228.60 mm,528.32 mm,,,543.56 mm,,,,,,,P,,,,9.21 kg,,,,,,,,,,,,,,,,,,,,,,
"D7Q14AT#ABU, 2835521, HP, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,HP,250 cd/mÂ²,USB Hub,VCCI NOM TUV S WHQL CB CCC PSB FCC KCC KC,Black,16.77 Million Colors,"1,000:1",51 mm,,Yes,Yes,Anti-reflective Security Lock,CECP EPA China Energy Label (CEL) EPEAT Gold ENERGY STAR TCO Certified Edge,Yes,Yes,,,309 mm,178Â°,3 Year,Hewlett-Packard,D7Q14AT#ABU,1920 x 1080,1.0,,31 W,,In-plane Switching (IPS) Technology,PC,,Z22i,"Z Display Z22i 54,6 cm (21.5'') IPS LED Backlit Monitor",LCD Monitor,8 ms,Full HD,"54.6 cm (21.5"")",No,60 Hz,500 mW,Yes,USB 2.0,178Â°,,,Yes,3.70 kg,509 mm,237 mm,460 mm,220 V AC 110 V AC,Anti-glare,509 mm,,,,,,,,No,,,5.82 kg,,,,,,,,,No,1.0,,,,,,,,,,,,
"VG2039M-LED, B921488, ViewSonic, LCD Monitor, Itenergy Ltd",Yes,Yes,,16:9,LED,Viewsonic,250 cd/mÂ²,USB Hub Speaker,,,,"1,000:1",2.3 mm,,Yes,Yes,MultiScreen Eco Mode Security Lock,,,Yes,,Yes,10.9 mm,170Â°,,Viewsonic Corporation,VG2039m-LED,1600 x 900,1.0,2.0,17 W,,,Mac PC,,VG2039m-LED,"20"" (19.5"" Viewable) Ergonomic LED Monitor",LCD Monitor,5 ms,HD+,"50.8 cm (20"")",Yes,,,Yes,,160Â°,Yes,100 x 100,Yes,2.63 kg,18.4 mm,9.80 mm,15 mm,,Anti-glare,18.40 mm,,,,,,,,,,,3.67 kg,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"9H.LCHLB.QBE, 3197520, BenQ, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,BenQ,350 cd/mÂ²,USB Hub,,Red Black,16.7 Million Colours,"12,000,000:1",199 mm,,Yes,Yes,Senseye 3 Security Lock Flicker-free Smart Scaling Game Mode Black eQualizer FPS Mode Motion Blur Reduction Technology Eye-Care Advanced Motion Accelerator (AMA) Low Blue Light,ENERGY STAR 6.0,Yes,Yes,Yes,Yes,520 mm,170Â°,,BenQ Corporation,9H.LCHLB.QBE,1920 x 1080,1.0,,50 W,"XL2430T Widescreen LCD Monitor Signal Cable (DVI-DL, USB 3.0) S Switch Arc Dust cover",Twisted Nematic Film (TN Film),PC,,XL2430T,XL2430T Widescreen LCD Monitor,LCD Monitor,1 ms,Full HD,"61 cm (24"")",,144 Hz,500 mW,Yes,USB 3.0,160Â°,Yes,100 x 100,Yes,7 kg,568 mm,,,230 V AC 120 V AC,,,,,,,140 mm,500 mW,XL,,45Â°,-5Â°to20Â°,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"9H.LC9LA.DBE, 3004575, BenQ, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,BenQ,250 cd/mÂ²,,,Glossy Black,16.7 Million Colours,"12,000,000:1",179 mm,,,,Advanced Motion Accelerator (AMA) Security Lock Flicker-free Senseye 3,TCO Certified Displays 6.0,Yes,Yes,Yes,Yes,436 mm,170Â°,2 Year,BenQ Corporation,9H.LC9LA.DBE,1920 x 1080,1.0,,42 W,GL2450H Widescreen LCD Monitor VGA Cable,Twisted Nematic Film (TN Film),PC,,GL2450H,GL2450H Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"61 cm (24"")",,,,,,160Â°,Yes,100 x 100,Yes,4.70 kg,579 mm,,,230 V AC 120 V AC,,,,,,,,,,,,-5Â°to15Â°,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"859-BBCI, 0912962, Dell, LCD Monitor, Itenergy Ltd",,,,16:9,LED,Dell,250 cd/mÂ²,,,Black,16.7 Million Colours,"1,000:1",46.5 mm,,,Yes,,ENERGY STAR TCO Certified Displays China Energy Label (CEL) CECP RoHS EPEAT Gold,Yes,,,,323.4 mm,,3 Year,"Dell, Inc",859-BBCI,1920 x 1080,1.0,,30 W,23 Monitor - E2314H Stand Riser Stand Base VESA Screw Cover Power Cable VGA Cable DVI Cable Drivers and documentation media Quick setup guide Product and safety information guide,,,,E2314H,23 Monitor - E2314H,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,,,,,,Yes,,Yes,3.13 kg,546.2 mm,165.50 mm,405.40 mm,,,546.20 mm,,,,,,,,,,,4.22 kg,,,,Click to view,,,,,,,,,,,,,,,,,,
"272G5DJEB/00, 3111197, Philips, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,Philips,300 cd/mÂ²,USB Hub,BSMI CE Mark FCC Class B GOST PSB SASO SEMKO TUV Ergo TUV/GS cETLus,Textured Black,16.7 Million Colours,"80,000,000:1",64 mm,,Yes,Yes,SmartSize Security Lock SmartFrame SmartResponse Mobile High-Definition Link (MHL) SmartImage,WEEE TCO Certified Displays RoHS ENERGY STAR 6.0 EPEAT Silver,Yes,Yes,Yes,,405 mm,170Â°,2 Year,Philips Electronics,272G5DJEB/00,1920 x 1080,1.0,,24.60 W,,Twisted Nematic Film (TN Film),Mac PC,Brilliance,272G5DJEB,Brilliance LCD Monitor with SmartImage Game,LCD Monitor,1 ms,Full HD,"68.6 cm (27"")",,144 Hz,500 mW,Yes,USB 3.0,160Â°,Yes,100 x 100,Yes,5.10 kg,639 mm,242 mm,580 mm,120 V AC 230 V AC,,639 mm,,,,,150 mm,300 mW,,,65Â°,-5Â°to20Â°,7.50 kg,,,,,,,,,,,,,,,,,,,,,,
"9H.L5FLA.SBE, M351871, BenQ, LCD Monitor, Itenergy Ltd",Yes,,,5:4,LED,BenQ,250 cd/mÂ²,Speaker,,Black,16.7 Million Colours,"1,000:1",222.6 mm,,,Yes,,TCO Displays 5.0 ENERGY STAR,Yes,Yes,,Yes,432.4 mm,170Â°,,BenQ Corporation,9H.L5FLA.SBE,1280 x 1024,1.0,2.0,25.80 W,,,PC,,BL902TM,BL902TM LCD Monitor,LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",Yes,,300 mW,,,160Â°,Yes,100 x 100,Yes,5.10 kg,419.2 mm,,,220 V AC 110 V AC,,,,,,,,,,,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"UM.XV6EE.A03, 8654G57, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Acer,200 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",191 mm,,,,,ENERGY STAR MPR II,Yes,,,,353.1 mm,90Â°,3 Year,"Acer, Inc",UM.XV6EE.A03,1366 x 768,1.0,,11.90 W,V196HQL Widescreen LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),,,V196HQL,V196HQL Widescreen LCD Monitor,LCD Monitor,5 ms,SXGA,"47 cm (18.5"")",,60 Hz,450 mW,,,65Â°,Yes,100 x 100,Yes,2.32 kg,447 mm,,,110 V AC 220 V AC,Anti-glare,,,,,,No,350 mW,V,,No,-5Â°to25Â°,2.72 kg,,,,,,,,,,,,,,,,,,,,,,
"VX2409, B921662, ViewSonic, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Viewsonic,250 cd/mÂ²,,CE CU EAC,,16.7 Million Colours,"20,000,000:1",32.8 mm,,,Yes,Eco Mode,RoHS WEEE,Yes,,,,326.1 mm,170Â°,2 Year,Viewsonic Corporation,VX2409,1920 x 1080,1.0,,24 W,"VX2409 24"" Full HD LED Display Power Adaptor VGA Cable User Manual",,Mac PC,,VX2409,"VX2409 24"" Full HD LED Display",LCD Monitor,5 ms,Full HD,"61 cm (24"")",,75 Hz,,,,160Â°,Yes,75 x 75,Yes,2.90 kg,550.3 mm,384.10 mm,215 mm,120 V AC 230 V AC,Anti-glare,550.30 mm,,,,,,,VX,,,-3Â°to20Â°,3.60 kg,,,,,,,,,,,,,,,,,,,,,,
"855-BBBC, DELE1715S, Dell, LCD Monitor, Itenergy Ltd",Yes,,,5:4,LED,Dell,250 cd/mÂ²,,,,16.7 Million Colours,"1,000:1",46.5 mm,,Yes,,Security Lock PowerNap,ENERGY STAR EPEAT Gold China Energy Label (CEL) TCO Certified Displays,Yes,,,,306.9 mm,178Â°,3 Year,"Dell, Inc",855-BBBC,1280 x 1024,1.0,,15 W,17 Monitor - E175S Stand Power Cables VESA Screw Cover VGA Cable Drivers and Documentation Media Quick Setup Guide Product Information Guide,Twisted Nematic Film (TN Film),,,P1914S,17 Monitor - E175S,LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",,60 Hz,500 mW,,,178Â°,Yes,100 x 100,Yes,2.08 kg,374.5 mm,165.50 mm,389.50 mm,220 V AC 110 V AC,Anti-glare,374.50 mm,,,,,,,,,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"60A4RAT1UK, 2746621, Lenovo, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:10,LED,Lenovo,300 cd/mÂ²,Speaker USB Hub,SAFETY: cTUVus CSA CB Report NEMKO NOM SASO TUV-GS CCC GOST PSB BSMI KC JEIDA TUV-S ISC KVALITET KUCAS INSM SABS STZ BELLIS OTAN KONCAR CSM SONCAP EMI: FCC B IC CE VCCI KC C-Tick SABS BSMI CCC ERGONOMIC: VOC EPA 6.0 Green Mark (TUV) e-Standby EU REACH,Business Black,1.07 Billion Colors,"1,000:1",62 mm,,Yes,Yes,Security Lock Digital Daisy Chain Mobile High-Definition Link (MHL) Dual Link-up Picture by Picture Picture in Picture,TCO Certified Displays 6.0 China Energy Label (CEL) EPEAT Gold CECP ENERGY STAR 6.0 RoHS TCO Certified Edge ULE Gold,Yes,,Yes,Yes,,178Â°,3 Year,Lenovo Group Limited,60A4RAT1UK,2560 x 1600,1.0,,130 W,,Advanced High Performance In-plane Switching (AH-IPS) Technology,PC,ThinkVision,LT3053p,ThinkVision LT3053p Widescreen LCD Monitor,LCD Monitor,6 ms,WQXGA,"76.2 cm (30"")",Yes,60 Hz,1.20 W,Yes,,178Â°,Yes,100 x 100,Yes,,690.1 mm,241.81 mm,471.17 mm,220 V AC 110 V AC,,690.12 mm,,,,,,500 mW,,Yes,,,11.50 kg,,,,,,,,,,,,,,,,,,,,,,
"UM.BV6EE.001, ACEV176LB, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,5:4,LED,Acer,250 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",55 mm,,,,,TCO Certified Displays 6.0 EPEAT Gold,Yes,,,,308.7 mm,170Â°,3 Year,"Acer, Inc",UM.BV6EE.001,1280 x 1024,1.0,,13 W,V176L LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),,,V176L,V176L LCD Monitor,LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",,75 Hz,450 mW,,,160Â°,Yes,100 x 100,Yes,2.20 kg,369 mm,191 mm,394.50 mm,220 V AC 110 V AC,Anti-glare,369 mm,,,,,No,350 mW,V,,No,-5Â°to25Â°,2.60 kg,,,,,,,,,,,,,,,,,,,,,,
"27EA33V, 4065227, LG Electronics, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,LG,200 cd/mÂ²,,UV-GSFCC-BCE,Black,16.7 Million Colours,"5,000,000:1",,,,Yes,,,,,Yes,,,178Â°,,LG Electronics,27EA33V,1920 x 1080,1.0,,30 W,,In-plane Switching (IPS) Technology,PC,Flatron,27EA33V,Flatron 27EA33V Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",,75 Hz,300 mW,,,178Â°,Yes,,Yes,4.10 kg,,459 mm,203 mm,220 V AC 110 V AC,,642 mm,,,,,,200 mW,,No,,,4.70 kg,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"LS24D300HL/XU, 886N194, Samsung, LCD Monitor, Itenergy Ltd",,,,16:9,LED,Samsung,200 cd/mÂ²,,,High Glossy Black,16.7 Million Colours,700:1,53.8 mm,,,,Eco Saving Magic Upscale Display Power Management Signaling (DPMS) MagicBright3 Game Mode Off Timer MagicAngle,EPEAT Gold ENERGY STAR,Yes,,Yes,,341.9 mm,90Â°,,Samsung,LS24D300HL/XU,1920 x 1080,1.0,,20 W,,Twisted Nematic Film (TN Film),Mac PC,,S24D300HL,"Simple LED 23.6"" Monitor with High Glossy Finish",LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",,60 Hz,300 mW,,,65Â°,,,Yes,3.19 kg,569 mm,196.85 mm,417.07 mm,110 V AC 220 V AC,,568.96 mm,,,,,,,300,,,,3.54 kg,,,,,,,,,,,,,,,,,,,,,,
"60002820, 3967436, NEC Display Solutions, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,NEC Display,250 cd/mÂ²,,CEErPTUV ErgonomicsTUV GSGEEA/Energy LabelFCC Class BPCT/GostUL/C-UL or CSACCCISO 9241-307 (pixel failure class I),Black,16.7 Million Colours,"1,000:1",71 mm,,Yes,Yes,,MPR III MPR II,Yes,,,,329 mm,178Â°,3 Year,NEC Display Solutions,60002820,1600 x 900,1.0,,25 W,MultiSync E201W Widescreen LCD MonitorPower CableUser ManualVGA CableDVI-D Cable,,,MultiSync,E201W,MultiSync E201W Widescreen LCD Monitor,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",,60 Hz,340 mW,,,178Â°,Yes,100 x 100,Yes,5.40 kg,550.1 mm,213.90 mm,380.10 mm,,,550.10 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XB2776QS-B2, 3110006, Iiyama, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,iiyama,350 cd/mÂ²,Speaker,CE TUV-GS VCCI-B PSE CU ISO-9241-307:2008,Black,16.77 Million Colors,"5,000,000:1",56 mm,,Yes,Yes,Display Power Management Signaling (DPMS) Eco Mode Security Lock,TCO Certified Displays 6.0 EPEAT Silver ENERGY STAR,Yes,Yes,Yes,Yes,394 mm,178Â°,3 Year,"iiyama North America, Inc",XB2776QS-B2,2560 x 1440,1.0,2.0,49 W,ProLite XB2776QS Widescreen LCD Monitor Power Cable DVI (Dual-Link) Cable Audio Cable Stand 2 x Screws Quick Start Guide Safety Guide,Advanced High Performance In-plane Switching (AH-IPS) Technology,PC Mac,ProLite,XB2776QS,ProLite XB2776QS Widescreen LCD Monitor,LCD Monitor,5 ms,WQHD,"68.6 cm (27"")",Yes,75 Hz,500 mW,,,178Â°,Yes,100 x 100,Yes,7.40 kg,644 mm,230 mm,418 mm,230 V AC 120 V AC,,644 mm,,,,,130 mm,,,,90Â°,-5Â°to23Â°,,,,,,,,,,,,,,,,,,,,,,,
