<page title>,adjustable display angle,aspect ratio,backlight technology,brand name,brightness,builtin devices,color,contrast ratio,depth,depth with stand,dvi,features,green compliance certificateauthority,green compliant,hdcp supported,height,height with stand,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,manufacturer website address,maximum resolution,number of screens,operating power consumption,package contents,pccanadacom,product line,product model,product name,product type,response time,screen mode,screen size,screen surface,speakers,standby power consumption,vertical viewing angle,vga,weight approximate,width,width with stand,color supported,country of origin,displayport,hdmi,mount type,number of speakers,panel technology,platform supported,product series,tilt angle,vesa mount compatible,vesa mount standard,adjustable display height,adjustable display pivot,offmode power consumption,standard refresh rate,weight with stand approximate,certifications standards,display orientation,maximum adjustable height,swivel angle,usb,usb standard,webcam,headphone,full product specifications,recycled,recycled content,svideo
25UM65-P - Lg 25um65-p Widescreen Lcd Monitor - PC-Canada.com,,21:9,LED,LG,,Speaker,Black,,,,Yes,Mobile High-Definition Link (MHL),,,,,,,,,LG Electronics,25UM65-P,http://www.lg.com/ca,2560 x 1080,1.0,,,does not accept phone orders.,,25UM65-P,25UM65-P Widescreen LCD Monitor,LCD Monitor,5 ms,UW-UXGA,"25""",,Yes,,,,,,,,,Yes,Yes,,2.0,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,Yes,USB 3.0,,,,,,
D2W67AA#ABA - Hp Prodisplay P19a 19-inch Led Backlit Monitor (energy Star) - PC-Canada.com,Yes,5:4,LED,HP,250 cd/mÂ²,,Black,"1,000:1","2.3"" (57.5 mm)","8.1"" (206.4 mm)",,Security Lock,"EPEAT Gold, ENERGY STAR, TCO Certified Displays",Yes,,"13.7"" (347 mm)","16.5"" (418.2 mm)",170Â°,"110 V AC, 220 V AC",3 Year,Hewlett-Packard,D2W67AA#ABA,http://www.hp.com/ca,1280 x 1024,1.0,25 W,ProDisplay P19A 19-Inch LED Backlit Monitor (ENERGY STAR) VGA Cable AC Power Cable Printed Documentation And CD DisplayAssistant And Adobe Acrobat Reader software,does not accept phone orders.,Essential,P19A,ProDisplay P19A 19-Inch LED Backlit Monitor (ENERGY STAR),LCD Monitor,5 ms,SXGA,"19""",Anti-glare,No,500 mW,160Â°,Yes,3.50 kg,"16.3"" (414 mm)","16.3"" (414 mm)",,,,,"Wall Mountable, Arm-mountable",,,,Business,,Yes,100 x 100,No,No,,,,,,,,,,,,,,,
VN279QL - Asus Vn279ql Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Asus,300 cd/mÂ²,Speaker,Black,"100,000,000:1",,"8.9"" (225.5 mm)",,"Mobile High-Definition Link (MHL), MultiScreen, Splendid Video Intelligence Technology, Security Lock","ENERGY STAR, China Energy Label (CEL), J-Moss (Japanese RoHS), RoHS, TCO Certified Displays 6.0, WEEE",Yes,Yes,,"20.7"" (526 mm)",178Â°,,3 Year,ASUS Computer International,VN279QL,http://www.asus.com,1920 x 1080,1.0,35 W,VN279QL Widescreen LCD Monitor VGA cable Audio cable Power cord Quick start guide Warranty Card,does not accept phone orders.,,VN279QL,VN279QL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"27""",,Yes,500 mW,178Â°,Yes,6.10 kg,,"24.4"" (619.2 mm)",16.7 Million Colors,,Yes,Yes,Wall Mountable,2.0,Advanced-Multi-domain Vertical Alignment Plus (A-MVA+),PC,VN,,Yes,100 x 100,Yes,Yes,300 mW,75 Hz,,EAC logo BSMI CB CCC CE C-Tick CU FCC ISO-9241-307 PSE TUV-GS UkrSEPRO UL/cUL VCCI WHQL,,,,,,,Yes,,,,
23MP75HM-P - Lg 23mp75hm-p Widescreen Lcd Monitor - PC-Canada.com,,16:9,LED,LG,250 cd/mÂ²,Speaker,,"1,000:1","2.9"" (73 mm)","7.2"" (182 mm)",,"Smart Resolution Technology, Sleep Timer, Intelligent Auto, Reading Mode, Dual Web, Dual-screen Display",,,Yes,"12.6"" (320 mm)","16.7"" (423 mm)",178Â°,,,LG Electronics,23MP75HM-P,http://www.lg.com/ca,1920 x 1080,1.0,21 W,,does not accept phone orders.,,23MP75HM-P,23MP75HM-P Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"23""",,Yes,300 mW,178Â°,Yes,3.05 kg,"21"" (533 mm)","21"" (533 mm)",16.7 Million Colors,,,Yes,,2.0,Advanced High Performance In-plane Switching (AH-IPS) Technology,,,,Yes,75 x 75,,Yes,,,3.95 kg,,,,,,,,Yes,,,,
60A0MAR1US - Lenovo Thinkvision Lt2013p 19.5-inch Led Backlit Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Lenovo,250 cd/mÂ²,USB Hub,Black,"1,000:1",,,,Security Lock,"ENERGY STAR 6.0, EPEAT Gold, TCO Certified Displays 6.0, TCO Certified Edge Displays 1.1, ULE Gold, RoHS, China RoHS, Turkey RoHS, MPR II, China Energy Label (CEL)",Yes,,,"13.3"" (336.6 mm)",170Â°,"110 V AC, 220 V AC",3 Year,Lenovo Group Limited,60A0MAR1US,http://www.lenovo.com/ca/en,1600 x 900,1.0,36 W,"ThinkVision LT2013p 19.5-inch LED Backlit LCD MonitorStandVGA CableUSB CablePower CordCD-ROM (Containing Multilingual User's Guide, Setup Test Pattern, and Windows Installation File)Quick Start and Safety Poster",does not accept phone orders.,ThinkVision,LT2013p,ThinkVision LT2013p 19.5-inch LED Backlit LCD Monitor,LCD Monitor,5 ms,HD+,"19.5""",,,1 W,160Â°,Yes,4.40 kg,"18.4"" (467.1 mm)","18.4"" (467.1 mm)",16.7 Million Colors,,Yes,Yes,,,,PC,,,Yes,100 x 100,Yes,Yes,500 mW,75 Hz,,SAFETY:cTUVusIEC950 CB ReportNEMKOKVALITETUkraineCCCNOMSASOCEGOSTPSBBSMIJEITATUV-SSABSKCINSMGreenmark by TUV/Carbon footprinte-standbyGSEMI:FCC BCEVCCIKCICBSMICCCSABSERGONOMIC:EPA 6.0TUV-GSISO 9241-307e-standbyCSCChina National Monitor Energy Efficiency standard Tier 1TUV-Green MarkGHG(B2B)ECO declaration,,,,Yes,USB 2.0,,,,,,
"NC1901 - Nanov 19"" Lcd Cctv Monitor - PC-Canada.com",,,,Nanov,400 cd/mÂ²,,,600:1,"2.3"" (58.9 mm)",,,,,,,"20"" (508 mm)",,140Â°,"110 V AC, 220 V AC",1 Year,"Nanov Display, Inc",NC1901,http://www.nanovdisplay.com,1280 x 1024,1.0,45 W,,does not accept phone orders.,,NC1901,"19"" LCD CCTV Monitor",LCD Monitor,8 ms,SXGA,"19""",Anti-glare,Yes,5 W,140Â°,Yes,,"19.5"" (495 mm)",,16.7 Million Colors,,,,"Wall Mountable, Ceiling Mountable",2.0,,,,,Yes,100 x 100,,,,75 Hz,,ULcULFCCCE,,,,,,,,,,,Yes
GL2460HM - Benq Gl2460hm Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,BenQ,250 cd/mÂ²,,Glossy Black,"1,000:1","7.6"" (194 mm)",,Yes,"Senseye 3, Eco Mode",,,Yes,"17.1"" (434 mm)",,170Â°,,,BenQ Corporation,GL2460HM,http://www.benq.ca,1920 x 1080,1.0,23 W,,does not accept phone orders.,,GL2460,GL2460HM Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"24""",,Yes,300 mW,160Â°,Yes,4.30 kg,"22.2"" (565 mm)",,16.7 Million Colors,,,Yes,Wall Mountable,2.0,,,GL,,Yes,100 x 100,,,,,,,,,,,,,Yes,,,,
UM.WG6AA.B01 - Acer G226hql Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Acer,200 cd/mÂ²,,Black,"100,000,000:1","6.6"" (167.6 mm)",,Yes,,"MPR II, ENERGY STAR",Yes,Yes,"14.4"" (365.8 mm)",,90Â°,"110 V AC, 220 V AC",,"Acer, Inc",UM.WG6AA.B01,http://www.acer.ca,1920 x 1080,1.0,22 W,G226HQL Widescreen LCD Monitor1 x VGA Cable1 x DVI CablePower Cord,does not accept phone orders.,,G226HQL,G226HQL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"21.5""",Anti-glare,,450 mW,50Â°,Yes,1.90 kg,"20.1"" (510.5 mm)",,16.7 Million Colors,,,,,,Twisted Nematic Film (TN Film),,G,,,,No,No,400 mW,60 Hz,2 kg,,,,,,,,,,,,
C4D33AA#ABA - Hp Pavilion 20xi Ips Led Backlit Monitor - PC-Canada.com,,16:9,LED,HP,250 cd/mÂ²,,,"1,000:1",,,Yes,Security Lock,,,Yes,,,178Â°,,,Hewlett-Packard,C4D33AA#ABA,http://www.hp.com/ca,1600 x 900,1.0,,,does not accept phone orders.,Pavilion,20xi,Pavilion 20xi IPS LED Backlit Monitor,LCD Monitor,7 ms,HD+,"20""",,,,178Â°,Yes,2.80 kg,,,,,,,,,In-plane Switching (IPS) Technology,,,,,,,,,60 Hz,,,,,,,,,,,,,
E9Q82A8#ABA - Hp Dreamcolor Z24x Professional Display(e9q82a8) - PC-Canada.com,Yes,16:10,LED,HP,350 cd/mÂ²,USB Hub,Black,"5,000,000:1","6.7"" (168.9 mm)","23.8"" (604.5 mm)",Yes,Security Lock,"ENERGY STAR, EPEAT Gold, TCO Certified Displays 6.0, China Energy Label (CEL), TÃV, WEEE, RoHS, CECP, TCO Certified Displays",Yes,Yes,"36.5"" (927.1 mm)","52.5"" (1333.5 mm)",178Â°,"110 V AC, 220 V AC",3 Year,Hewlett-Packard,E9Q82A8#ABA,http://www.hp.com/ca,1920 x 1200,1.0,84 W,DreamColor Z24x Professional Display(E9Q82A8) DVD Documentation Kit DisplayPort 1.2 Cable DVI-D Cable USB 3.0 Cable Power Cord Factory Calibration Report,does not accept phone orders.,Business,Z24x,DreamColor Z24x Professional Display(E9Q82A8),LCD Monitor,12 ms,WUXGA,"24""",Anti-glare,,500 mW,178Â°,,,"55.9"" (1420.9 mm)","55.9"" (1420.9 mm)",1.07 Billion Colors,,Yes,Yes,,,In-plane Switching (IPS) Technology,PC,Z,-5Â°to20Â°,,,,Yes,,,6.98 kg,Microsoft WHQL Certification FCC CE UL TUV-GS KC-Ergonomics C-Tick S-Mark for Argentina VCCI CCC PSB for Singapore EAC(Russia) NOM (Mexico),,,45Â°,Yes,USB 3.0,,,,,,
E1659FWU - Aoc E1659fwu 16-inch Class Usb-powered Monitor - PC-Canada.com,Yes,16:9,LED,AOC,200 cd/mÂ²,,Glossy Piano Black,500:1,,"0.9"" (23 mm)",,Ultra Slim,"ENERGY STAR, RoHS",Yes,,,"9.2"" (234 mm)",90Â°,,1 Year,AOC,E1659FWU,http://us.aoc.com,1366 x 768,1.0,8 W,"E1659FWU 16-Inch Class USB-Powered Monitor Base Carry case USB 3.0 Cable CD-ROM (Drivers, Software, User's Manual, Warranty)",does not accept phone orders.,,E1659FWU,E1659FWU 16-Inch Class USB-Powered Monitor,LCD Monitor,8 ms,HD,"16""",,No,1 W,50Â°,,1.09 kg,,"14.8"" (375 mm)",16.7 Million Colors,,,,"Wall Mountable, Arm-mountable",,,"PC, Mac",,15Â°to30Â°,Yes,75 x 75,,Yes,,60 Hz,,cCSAus cTUVus CE FCC,Landscape/Portrait,,,Yes,USB 3.0,,,,,,
SX-17P - Ag Neovo Sx-17p Lcd Monitor - PC-Canada.com,,,,AG Neovo,250 cd/mÂ²,Speaker,,"1,000:1","6.9"" (175 mm)",,Yes,,,,,"15.7"" (398 mm)",,170Â°,,,AG Neovo Technology Corporation,SX-17P,http://www.agneovo.com,1280 x 1024,1.0,31.99 W,,does not accept phone orders.,,SX-17P,SX-17P LCD Monitor,LCD Monitor,3 ms,SXGA,"17""",,Yes,990 mW,160Â°,Yes,6.70 kg,"16.1"" (409 mm)",,16.7 Million Colors,,,,Wall Mountable,2.0,,,,,Yes,100 x 100,,,,,,,,,,,,,,,,,Yes
