<page title>,adjustable display angle,aspect ratio,backlight technology,brand name,brightness,builtin devices,colour support,contrast ratio,depth with stand,features,firewireilink,green compliance certificateauthority,green compliant,height,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,maximum resolution,network rj45,number of screens,operating power consumption,package contents,panel technology,platform supported,product name,product type,response time,screen mode,screen size,speakers,standby power consumption,system requirements,thunderbolt,usb,usb standard,vertical viewing angle,vesa mount compatible,webcam,weight approximate,width,adjustable display height,adjustable display pivot,depth,dvi,height with stand,mount type,product model,screen surface,standard refresh rate,vesa mount standard,vga,weight with stand approximate,certifications standards,colour,displayport,hdcp supported,hdmi,headphone,product line,maximum adjustable height,offmode power consumption,product series,swivel angle,tilt angle,number of speakers,recycled,recycled content,width with stand,sdi,sdi standard,svideo,postconsumerwaste,energy consumption per year,energy efficiency class,composite video,display orientation,country of origin,component video,horizontal frequency,packaged quantity,additional information,3d type,package type
"T47HDUK, S602QX1, Lenovo, LCD Monitor, Kingsfield Computer Products Ltd",Yes,5:4,CCFL,Lenovo,250 cd/m²,,16.7 Million Colours,"1,000:1",,Security Lock,,TCO Certified Edge Displays 1.1 ULE Gold China Energy Label (CEL) TCO Certified Displays 6.0 EPEAT Gold EuP REACH China RoHS MPR II TCO Displays 5.0 WEEE ENERGY STAR 6.0 RoHS,Yes,406.4 mm,170°,110 V AC 220 V AC,3 Year,Lenovo Group Limited,T47HDUK,1280 x 1024,,1.0,18 W,"ThinkVision LT1712p MonitorVGA CableDVI CablePower CordTooless Detachable StandCD Containing Multilingual User's Guide, Setup Test Pattern, and Windows Installation FileQuick Start and Safety Poster",,PC,ThinkVision LT1712p Monitor,LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",,500 mW,,,,,160°,Yes,,4.24 kg,370.8 mm,Yes,,155.2 mm,Yes,,,LT1712p,,75 Hz,100 x 100,Yes,,TUV-ErgoCSCISO 9241-307ANSI S12.10ISO/DIS 7779China National Monitor Energy Efficiency Standard Tier 1Safety:NEMKOULIEC950 CB ReportTUV-GSCCCBSMINOMICCPGostSISIRTUV-S/UL-Ar/IRAM-SISCAAA-SDAMANJEITASABS-LoAE-StandbyKCCEMI:ICFCC BCEVCCIBSMICCCSABS-CoCAAA-RSO,Business Black,,,,,ThinkVision,,500 mW,,,,,,,,,,,,,,,,,,,,,,
"SMT-1934, SAMSMT1934, Samsung, LCD Monitor, Kingsfield Computer Products Ltd",,4:3,LED,Samsung,250 cd/m²,Speaker,16.7 Million Colours,"1,000:1",217.42 mm,DNIe,,,,347 mm,170°,,,Samsung,SMT-1934,1280 x 1024,,1.0,35 W,,,,"19"" LED Monitor SMT-1934",LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",Yes,,,,,,160°,Yes,,5 kg,412 mm,,,59.4 mm,Yes,406.40 mm,,SMT-1934,,,100 x 100,Yes,,,Black,,,Yes,,,,,,,,2.0,,,411.99 mm,,,,,,,,,,,,,,,
"I2757FM, 2516278, AOC, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,LED,AOC,250 cd/m²,Speaker,16.7 Million Colours,"1,000:1",,,,ENERGY STAR,Yes,,178°,110 V AC 220 V AC,,AOC,I2757FM,1920 x 1080,,1.0,,"i2757Fm 68.6cm (27"") LED MonitorPower CableD-Sub CableHDMI CableAudio CableDriver CDWarranty Card",,PC,"i2757Fm 68.6cm (27"") LED Monitor",LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",Yes,,,,Yes,USB 2.0,178°,,,,,No,No,,,,,i2757Fm,,60 Hz,,Yes,,TUV-BauartISO 9241-307cCSAusCEFCC,,No,No,Yes,,Style,,,,,,,,,,,,No,,,,No,,,No,,,,,
"DSMH32LED-WGF, VIGDSMH32LEDWGF, Vigilant Vision, Ltd, Kingsfield Computer Products Ltd",,16:9,LED,Vigilant,450 cd/m²,Speaker,16.7 Million Colours,"6,000:1",,Picture in Picture Sleep Timer Picture on Picture,,ENERGY STAR RoHS WEEE,Yes,,176°,220 V AC 110 V AC,,"Vigilant Vision, Ltd",DSMH32LED-WGF,1920 x 1080,,1.0,75 W,"32"" LED Metal Case/ Glass Fronted with Built in QUAD Kettle Lead VGA Cable Desktop Stand Screws Audio Cable Remote Control User Manual",,PC,"32"" LED Metal Case/ Glass Fronted with Built in QUAD",LCD Monitor,6.50 ms,Full HD,"81.3 cm (32"")",Yes,,,,,,176°,Yes,,19.10 kg,,,,,,,Desk Mountable,DSMH32LED-WGF,,75 Hz,200 x 200,Yes,,CE FCC,Black,,,Yes,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
"231P4UPES/00, 2711228, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Philips,250 cd/m²,Port Replicator Speaker USB Hub,16.7 Million Colours,"1,000:1",220 mm,SmartErgoBase SmartImage PowerSensor Eco Mode Security Lock,,RoHS TCO Certified Displays 6.0 TCO Certified Edge WEEE ENERGY STAR 6.0 EPEAT Gold,Yes,343 mm,170°,220 V AC 110 V AC,,Philips Electronics,231P4UPES/00,1920 x 1080,,1.0,24.20 W,,,PC Mac,"LCD Monitor Notebook Docking Display 23"" / 58.4cm",LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",Yes,100 mW,,,Yes,USB 3.0,160°,Yes,,3.10 kg,547 mm,Yes,Yes,60 mm,,515 mm,,231P4UPES,,60 Hz,100 x 100,Yes,5.30 kg,BSMICE MarkFCC Class BGOSTPSBSASOSEMKOTUV ErgoTUV/GSUL/cUL,Black Silver,,,,,Brilliance,,,,,,2.0,Yes,Plastic,547 mm,,,,65%,,,,,,,,,,,
"241B4LPCB/00, 2547741, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Philips,250 cd/m²,Speaker,16.7 Million Colours,"1,000:1",227 mm,Security Lock SmartErgoBase PowerSensor SmartImage,,TCO Certified Displays 5.2 TCO Certified Edge ENERGY STAR 5.0 WEEE RoHS EPEAT Gold,Yes,352 mm,170°,110 V AC 220 V AC,1 Year,Philips Electronics,241B4LPCB/00,1920 x 1080,,1.0,20.75 W,,,PC Mac,"Brilliance LCD Monitor, LED Backlight with PowerSensor",LCD Monitor,5 ms,Full HD,"61 cm (24"")",Yes,100 mW,,,Yes,USB 2.0,160°,Yes,,4.30 kg,565 mm,Yes,Yes,55 mm,Yes,403 mm,,241B4LPCB,,60 Hz,100 x 100,Yes,6.30 kg,BSMICE MarkFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,Black,,Yes,,Yes,Brilliance,,,B,,,2.0,Yes,Plastic,565 mm,,,,65%,,,,,,,,,,,
"E2283HS-B1, II-E2283HS-B1, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,iiyama,250 cd/m²,Speaker,16.7 Million Colours,"5,000,000:1",,Display Power Management Signaling (DPMS) Security Lock Flicker-free OverDrive,,EPEAT Silver TCO Certified Displays ENERGY STAR,Yes,382.5 mm,170°,230 V AC 120 V AC,3 Year,"iiyama North America, Inc",E2283HS-B1,1920 x 1080,,1.0,21 W,ProLite E2283HS Widescreen LCD Monitor Power Cable VGA Cable DVI-D Cable Audio Cable Stand Quick Start Guide Safety Guide,Twisted Nematic Film (TN Film),Mac PC,ProLite E2283HS Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"55.9 cm (22"")",Yes,500 mW,,,,,160°,Yes,,3 kg,505.5 mm,,,193 mm,Yes,,,E2283HS,,75 Hz,100 x 100,Yes,,CE TUV-GS VCCI-B CU ISO-9241-307:2008,Black,,Yes,Yes,Yes,ProLite,,,,160°,5°to22°,2.0,,,,,,,,,,,,,,,,,,
"60003003, NECLCDV461PC, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,,NEC Display,450 cd/m²,,16.7 Million Colours,"3,000:1",,,,RoHS ENERGY STAR,Yes,664.7 mm,178°,220 V AC 110 V AC,3 Year,NEC Display Solutions,60003003,1920 x 1080,,1.0,185 W,MultiSync V461 Widescreen LCD MonitorVGA Signal CableCD-ROM (User Guides/Manuals)Power CableRemote Control,,,MultiSync V461 Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"116.8 cm (46"")",,,,,,,178°,Yes,,23.80 kg,1121.5 mm,,,129.8 mm,Yes,,Wall Mountable,V461,,50 Hz,400 x 200,Yes,,,Black,,,Yes,Yes,MultiSync,,,,,,,,,,,,Yes,,,,Yes,,,Yes,,,,,
"E1659FWU, 2861372, AOC, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,AOC,200 cd/m²,,16.7 Million Colours,500:1,23 mm,Ultra Slim,,,,,90°,,,AOC,E1659FWU,1366 x 768,,1.0,8 W,,,Mac PC,E1659FWU 16-Inch Class USB-Powered Monitor,LCD Monitor,8 ms,HD,"40.6 cm (16"")",No,1 W,,,Yes,USB 3.0,50°,Yes,,1.09 kg,,,Yes,,,234 mm,Arm-mountable Wall Mountable,E1659FWU,,,75 x 75,,,,Glossy Piano Black,,,,,,,,,,15°to30°,,,,375 mm,,,,,,,,Landscape/Portrait,,,,,,,
"C171, AM-C171-LCD-CCTV, Edge10, LCD Monitor, Kingsfield Computer Products Ltd",Yes,,,Edge10,300 cd/m²,Speaker,16.2 Million Colours,450:1,,,,ENERGY STAR WEEE,Yes,397 mm,140°,220 V AC 110 V AC,3 Year,Edge10 Corporation Limited,C171,1280 x 1024,,1.0,49.99 W,,,PC Mac,C171 CCTV LCD Monitor,LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",Yes,2.99 W,,,,,130°,Yes,,4.80 kg,374 mm,,,198 mm,,,Wall Mountable,C171,,75 Hz,100 x 100,Yes,,CEFCCTUVUL,Piano Black,,,,,,,2.99 W,,,,2.0,,,,,,Yes,,,,Yes,,,,,,,,
"UM.VQ6EE.001, 8654U01, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Packard Bell,250 cd/m²,,16.7 Million Colours,"100,000,000:1",173 mm,,,EPEAT Gold MPR II,Yes,316 mm,178°,220 V AC 110 V AC,,"Acer, Inc",UM.VQ6EE.001,1920 x 1080,,1.0,26 W,Maestro236D Widescreen LCD MonitorPower Cord1 x VGA Cable,In-plane Switching (IPS) Technology,,Maestro236D Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,450 mW,,,,,178°,No,,2.90 kg,531 mm,No,No,37 mm,Yes,404 mm,,Maestro236D,,60 Hz,,Yes,3.60 kg,,Black,,Yes,,,Maestro,No,400 mW,,No,-5°to15°,,,,531 mm,,,,,,,,,,,,,,,
"UM.VG6EE.H01, 8654R89, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Acer,250 cd/m²,,16.7 Million Colours,"100,000,000:1",168 mm,,,MPR II,Yes,333.6 mm,178°,220 V AC 110 V AC,2 Year,"Acer, Inc",UM.VG6EE.H01,1920 x 1080,,1.0,23 W,G236HL Widescreen LCD Monitor1 x VGA CablePower Cord,In-plane Switching (IPS) Technology,,G236HL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,450 mW,,,,,178°,No,,,548.5 mm,No,No,33.6 mm,Yes,384 mm,,G236HL,Anti-glare,60 Hz,,Yes,,,Black,,,Yes,,,No,400 mW,G,No,-5°to15°,,,,548 mm,,,,,30 kWh,A,,,,,,,,,
"VE198S, 2394644, ASUSTeK COMPUTER, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,Asus,250 cd/m²,Speaker,16.7 Million Colours,"10,000,000:1",182 mm,Security Lock Splendid Video Intelligence Technology,,RoHS ENERGY STAR,Yes,,170°,,,ASUS Computer International,VE198S,1440 x 900,,1.0,25 W,VE198S Widescreen LCD MonitorVGA CableAudio CablePower CordQuick Start GuideWarranty Card,,PC,VE198S Widescreen LCD Monitor,LCD Monitor,5 ms,WXGA+,"48.3 cm (19"")",Yes,1 W,,,,,160°,Yes,,3.20 kg,,,,,,366 mm,Wall Mountable,VE198S,,75 Hz,100 x 100,Yes,,UL/cULCBCEFCCCCCBSMIGost-RC-TickVCCI,Black,,,,,,,1 W,VE,,,2.0,,,445 mm,,,,,,,,,,,,,,,
"231P4QPYEB/00, PHI231P4QPYEB, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Philips,250 cd/m²,USB Hub Speaker,16.7 Million Colours,"1,000:1",220 mm,SmartImage Security Lock PowerSensor SmartErgoBase,,TCO Certified Displays 5.2 TCO Certified Edge WEEE ENERGY STAR 5.0 EPEAT Gold RoHS,Yes,343 mm,178°,220 V AC 110 V AC,,Philips Electronics,231P4QPYEB/00,1920 x 1080,,1.0,29.10 W,,In-plane Switching (IPS) Technology,PC Mac,"LCD Monitor, LED Backlight with PowerSensor",LCD Monitor,7 ms,Full HD,"58.4 cm (23"")",Yes,300 mW,,,Yes,USB 2.0,178°,Yes,,3.09 kg,547 mm,Yes,Yes,60 mm,Yes,515 mm,,231P4QPYEB,,60 Hz,100 x 100,Yes,5.23 kg,GOSTSASOSEMKOTUV ErgoTUV/GSUL/cULBSMICEFCC Class B,Black,Yes,Yes,,Yes,Brilliance,,,P,,,2.0,Yes,Plastic,547 mm,,,,65%,,,,,,,,,,,
"220P4LPYEB/00, 2674289, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,Philips,250 cd/m²,Speaker USB Hub,16.7 Million Colours,"1,000:1",220 mm,SmartErgoBase Security Lock SmartImage PowerSensor,,RoHS EPEAT Gold TCO Certified Edge TCO Certified Displays 5.2 WEEE ENERGY STAR 5.0,Yes,349 mm,170°,220 V AC 110 V AC,,Philips Electronics,220P4LPYEB/00,1680 x 1050,,1.0,16.80 W,,,PC Mac,"Brilliance LCD Monitor, LED Backlight with PowerSensor",LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",Yes,300 mW,,,Yes,USB 2.0,160°,Yes,,3.38 kg,504 mm,Yes,Yes,59 mm,Yes,517 mm,,220P4LPYEB,,60 Hz,100 x 100,Yes,5.50 kg,BSMICE MarkFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,Black,Yes,Yes,,Yes,Brilliance,,,P,,,2.0,Yes,Plastic,504 mm,,,,65%,,,,,,,,,,,
"DSM19LED-WGF, VIGDSM19LEDWGF, Vigilant Vision, Ltd, Kingsfield Computer Products Ltd",,4:3,LED,Vigilant,250 cd/m²,Speaker,16.7 Million Colours,"1,000:1",,Sleep Timer,,ENERGY STAR WEEE RoHS,Yes,,178°,220 V AC 110 V AC,,"Vigilant Vision, Ltd",DSM19LED-WGF,1280 x 1024,,1.0,30 W,"19"" Active Matrix with Glass Front, Metal Case Power Supply Kettle Lead VGA Cable Audio Cable User Manual Remote Control",,PC,"19"" Active Matrix with Glass Front, Metal Case",LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",Yes,,,,,,170°,Yes,,3.80 kg,,,,,,,Desk Mountable,DSM19LED-WGF,,75 Hz,100 x 100,Yes,,CE FCC,Black,,,Yes,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
"9H.LATLA.HPE, M352415, BenQ, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,BenQ,250 cd/m²,Speaker,16.7 Million Colours,"1,000:1",213.93 mm,Security Lock Senseye 3,,TCO Certified Displays 6.0,Yes,,170°,110 V AC 220 V AC,,BenQ Corporation,9H.LATLA.HPE,1680 x 1050,,1.0,26 W,,Twisted Nematic Film (TN Film),PC,BL2211TM Widescreen LCD Monitor,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",Yes,300 mW,,,,,160°,Yes,,5.50 kg,,Yes,Yes,,Yes,502.50 mm,Wall Mountable,BL2211TM,,,100 x 100,Yes,,,Black,,Yes,,Yes,,,,BL,,,2.0,,,522.15 mm,,,,,,,,,,,,,,,
"60002993, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,,NEC Display,360 cd/m²,USB Hub,16.7 Million Colours,"1,000:1",228.60 mm,,,TCO Displays 5.0 ENERGY STAR RoHS,Yes,363.2 mm,178°,110 V AC 220 V AC,3 Year,NEC Display Solutions,60002993,1920 x 1200,,1.0,95 W,MultiSync PA241W Widescreen LCD MonitorManualPower CableAnalogue CableDigital Signal CableInstallation and Drivers CD,,PC,MultiSync PA241W Widescreen LCD Monitor,LCD Monitor,8 ms,WUXGA,"61.2 cm (24.1"")",,1 W,,,Yes,,178°,Yes,,7.40 kg,556.3 mm,,,83.8 mm,Yes,528.32 mm,Wall Mountable,PA241W,,,200 x 100,Yes,10.60 kg,,,Yes,,,,MultiSync,,,,,,,,,556.26 mm,,,,,,,,,,,,,,,
"226V4LAB/00, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Philips,250 cd/m²,Speaker,16.7 Million Colours,"1,000:1",213 mm,Security Lock,,ENERGY STAR 5.0 WEEE EPEAT Silver TCO Certified Displays RoHS,Yes,320 mm,170°,220 V AC 110 V AC,,Philips Electronics,226V4LAB/00,1920 x 1080,,1.0,19.15 W,,,Mac PC,"LCD Monitor with LED Backlight V-line 21.5""/54.6 cm",LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",Yes,500 mW,,,,,160°,Yes,,3 kg,514 mm,,,48 mm,Yes,388 mm,,226V4LAB,,60 Hz,100 x 100,Yes,3.34 kg,CEBSMIFCC Class BGOSTPSBSASOSEMKOTUV/ISO9241-307UL/cUL,Glossy Black,,Yes,,,,,500 mW,V,,,2.0,,,514 mm,,,,,,,,,,,,,,,
"UM.VV6EE.001, 8654L71, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Acer,250 cd/m²,,16.7 Million Colours,"100,000,000:1",207 mm,,,EPEAT Gold TCO Certified Displays 6.0,Yes,325 mm,178°,220 V AC 110 V AC,3 Year,"Acer, Inc",UM.VV6EE.001,1920 x 1080,,1.0,21.90 W,V236HL Widescreen LCD MonitorPower Cord1 x VGA Cable,In-plane Switching (IPS) Technology,,V236HL Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"58.4 cm (23"")",,450 mW,,,,,178°,Yes,,3.50 kg,544 mm,No,No,52 mm,Yes,409 mm,,V236HL,Anti-glare,60 Hz,100 x 100,Yes,4 kg,,Black,,Yes,,,,No,350 mW,V,No,-5°to25°,,,,544 mm,,,,,,,,,,,,,,,
"PN-R703, SHALCDPNR703, Sharp, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,Edge LED,Sharp,700 cd/m²,Speaker,1.06 Billion Colors,"4,000:1",,Ultra Slim Digital Signage Ready Picture in Picture Picture by Picture Sync on Green,,,,916 mm,176°,,,Sharp Electronics,PN-R703,1920 x 1080,Yes,1.0,270 W,,,PC,PN-R703 Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"177.8 cm (70"")",Yes,,,,,,176°,Yes,,43 kg,1578 mm,,,39.6 mm,Yes,,,PN-R703,,,200 x 200,Yes,,,,Yes,Yes,Yes,,,,,,,,2.0,,,,,,,,,,,Landscape/Portrait,,,,,,,
"C271P4QPJEW/00, 2769226, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Philips,300 cd/m²,Speaker USB Hub,16.7 Million Colours,"5,000:1",191 mm,Security Lock PowerSensor Sync on Green SmartImage,,EPEAT Gold WEEE ENERGY STAR 6.0 TCO Certified Displays 6.0 RoHS,Yes,405 mm,178°,220 V AC 110 V AC,1 Year,Philips Electronics,C271P4QPJEW/00,1920 x 1080,Yes,1.0,26 W,,,Mac PC,Brilliance LCD Monitor With Clinical D-image,LCD Monitor,12 ms,Full HD,"68.6 cm (27"")",Yes,400 mW,,,Yes,USB 2.0,178°,Yes,No,5.10 kg,639 mm,Yes,Yes,64 mm,Yes,577 mm,Wall Mountable,C271P4QPJEW,,60 Hz,100 x 100,Yes,7.90 kg,"EMC: IEC/EN60601-1-2, CE Mark Safety: IEC/EN60601-1, CE Mark, GOST Ergonomic/Others: JIS Z2801, TUV Ergo, TUV/GS",White,Yes,Yes,Yes,Yes,Brilliance,,0 mW,,,,2.0,,,639 mm,,,,,,,,,,,,,,,
"K9601560, 2882962, Barco, LCD Monitor, Kingsfield Computer Products Ltd",Yes,4:3,,Barco,1650 cd/m²,USB Hub,1024 Gray Levels (10-bit),850:1,249 mm,Ambient Light Compensation (ALC) Picture Archiving and Communication System (PACS) Backlight Output Stabilization (BLOS) Uniform Luminance Technology (ULT),,,,382 mm,170°,,,Barco,K9601560,1600 x 1200,,1.0,65 W,,In-plane Switching (IPS) Technology,,Nio 2MP (MDNG-2121) 2 MegaPixel Diagnostic Grayscale Display System,LCD Monitor,23 ms,UXGA,"54.1 cm (21.3"")",,,,,Yes,USB 2.0,170°,Yes,,8.12 kg,488 mm,Yes,Yes,114 mm,Yes,532 mm,,MDNG-2121,Anti-reflective,,100 x 100,,12.10 kg,,Grey,,,,,Nio,,,,,,,,,488 mm,,,,,,,,Landscape/Portrait,,,,,,,
"EV2736WFS-BK, EIZOEV2736WFSBK, Eizo Nanao, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Eizo,300 cd/m²,USB Hub,16.7 Million Colours,"1,000:1",245.50 mm,Off Timer EcoView,,TCO Certified Displays 6.0 EPEAT Gold ENERGY STAR WEEE RoHS,Yes,379 mm,178°,220 V AC 110 V AC,5 Year,Eizo Nanao Tech,EV2736WFS-BK,2560 x 1440,,1.0,67 W,"FlexScan EV2336W 23 ""(58 cm) LCD MonitorStandWarranty CardAC Power CordSignal Cables (DVI-D - DVI-D, DisplayPort - DisplayPort)LCD Utility Disk (PDF User's Manual, ScreenManager Pro for LCD [DDC/CI] ScreenSlicer Software)Setup Guide",In-plane Switching (IPS) Technology,PC,"27"" FlexScan EV2736W WideScreen LED",LCD Monitor,6 ms,WQHD,"68.6 cm (27"")",Yes,500 mW,,,Yes,USB 2.0,178°,Yes,,7.30 kg,640 mm,Yes,Yes,65 mm,Yes,544.50 mm,,EV2736W,,,100 x 100,,9.98 kg,CECBCCCGOST-RTUV/GSc-TickcTUVusFCC-BICES-003-BTUV/SVCCI-BTUV/Ergonomics (ISO9241-307),Black,Yes,Yes,,,FlexScan,,,EV,,,2.0,,,640 mm,,,,,,,,Landscape/Portrait,,,89 kHz,,,,
"E1980SD-B1, 2639935, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd",Yes,5:4,LED,iiyama,250 cd/m²,Speaker,16.7 Million Colours,"1,000:1",,Security Lock,,ENERGY STAR TCO Displays 5.0,Yes,402 mm,170°,220 V AC 110 V AC,3 Year,"iiyama North America, Inc",E1980SD-B1,1280 x 1024,,1.0,16 W,ProLite E1980SDPower CableVGA (D-Sub) CableDVI-D CableAudio CableStandStand-BaseQuick Start GuideSafety Guide,,Mac PC,ProLite E1980SD,LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",Yes,1 W,,No,No,,160°,Yes,,3.20 kg,411 mm,,,189.5 mm,Yes,,Wall Mountable,E1980SD,,75 Hz,100 x 100,Yes,,C-ULCETÜV-GSVCCI-BCU,Black,No,Yes,No,,ProLite,,,,,,2.0,,,,,,,,,,No,,,No,,,,,
"I2267FWH, 2593494, AOC, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,AOC,250 cd/m²,,16.7 Million Colours,"1,000:1",,Security Lock,,ENERGY STAR 5.0 RoHS TCO Displays 5.0,Yes,,178°,220 V AC 110 V AC,3 Year,AOC,I2267FWH,1920 x 1080,,1.0,23 W,"54,6cm (21,5"") LED MonitorPower CableD-Sub CableHDMI CableAudio CableDriver CDWarranty Card",In-plane Switching (IPS) Technology,,"54,6cm (21,5"") LED Monitor",LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,500 mW,,,,,178°,,,,,No,No,,No,,,i2267Fwh,,60 Hz,,Yes,,cCSAusCEFCCGOSTTUV-BauartISO 9241-307EuP,,No,Yes,Yes,Yes,Style,,500 mW,,,,,,,,,,,,,,,,,,,,,,
"240S4LPMS/00, 2711229, Philips, LCD Monitor, Kingsfield Computer Products Ltd",,16:10,,Philips,250 cd/m²,,,"20,000,000:1",,PowerSensor,,,,,160°,,,Philips Electronics,240S4LPMS/00,1920 x 1200,,1.0,,,,,240S4LPMS Widescreen LCD Monitor,LCD Monitor,5 ms,WUXGA,"61 cm (24"")",,,,,,,160°,,,,,Yes,Yes,,Yes,,,240S4LPMS,,,,Yes,,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E807955, N300913, Elo Touch Solutions, Inc, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,,Elo,200 cd/m²,,16.7 Million Colours,500:1,,,,WEEE RoHS,Yes,124.5 mm,140°,,3 Year,"Elo Touch Solutions, Inc",E807955,800 x 480,,1.0,4.50 W,,,,0700L Widescreen LCD Monitor,LCD Monitor,25 ms,,"17.8 cm (7"")",,2.59 W,,,Yes,,100°,Yes,,589.7 g,188 mm,,,30.5 mm,,,,0700L,Anti-glare,60 Hz,75 x 75,,,C-TickcULICCEVCCINOM CoCULFCCCB,Black,,,,,,,2.59 W,,,,,,,,,,,,,,,,,,,,,,
"TH-47LF5E, PPDTH47LF5E, Panasonic, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,,Panasonic,500 cd/m²,,,"1,200:1",,Eco Mode Screen Saver Video Wall Digital Zoom,,,,624 mm,178°,220 V AC 110 V AC,,Panasonic,TH-47LF5E,1920 x 1080,,1.0,290 W,,In-plane Switching (IPS) Technology,,47-Inch Full HD LCD Display,LCD Monitor,9 ms,,"119.4 cm (47"")",,500 mW,,,,,178°,Yes,,24.50 kg,1079 mm,,,117 mm,Yes,,,TH-47LF5E,,60 Hz,400 x 400,Yes,,Safety:EN60065EC60065GOSTRadiation:EN55022 Class BEN55024EN61000-3-2EN61000-3-3,Black,,Yes,Yes,Yes,,,300 mW,,,,,,,,,,,,,,,Landscape/Portrait,,,,,,,
"UM.FG6EE.B01, 8653G19, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Acer,250 cd/m²,,16.7 Million Colours,100000000:1,177.80 mm,,,ENERGY STAR MPR II,Yes,,170°,110 V AC 220 V AC,2 Year,"Acer, Inc",UM.FG6EE.B01,1920 x 1080,,1.0,19.80 W,G246HL Widescreen LCD MonitorPower CordVGA CableFoot Stand,Twisted Nematic Film (TN Film),,G246HL Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"61 cm (24"")",,460 mW,,,,,160°,Yes,,,,No,No,,Yes,401.32 mm,,G246HL,Anti-glare,60 Hz,100 x 100,Yes,3.80 kg,,Black,,,Yes,,,No,450 mW,G,No,-5°to15°,,,,563.88 mm,,,,,34 kWh,A,,,,,,,,,
"VK207S, 2682931, ASUSTeK COMPUTER, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Asus,250 cd/m²,Speaker,16.7 Million Colours,"80,000,000:1",185 mm,Smart View QuickFit Smart EV (Exposure Value) Control Technology Security Lock Splendid Video Intelligence Technology,,WEEE EPEAT Gold TCO Displays 5.0 RoHS ENERGY STAR 6.0 TCO Certified Displays 6.0 ErP,Yes,,170°,220 V AC 110 V AC,3 Year,ASUS Computer International,VK207S,1600 x 900,,1.0,16.40 W,VK207S Widescreen LCD MonitorVGA CableAudio CablePower CordUSB CableQuick Start GuideSupport CDWarranty Card,,PC,VK207S Widescreen LCD Monitor,LCD Monitor,5 ms,HD+,"49.5 cm (19.5"")",Yes,500 mW,,,Yes,,160°,Yes,Yes,2.64 kg,,,,,,355.50 mm,Wall Mountable,VK207S,,75 Hz,75 x 75,Yes,,,Glossy Piano Black,,,,,,,500 mW,,,-5°to20°,2.0,,,468 mm,,,,,,,,,,,,,,,
