<page title>,compliant standards,display position adjustments,display size,dot pitch,energy star qualified,image brightness,returns policy,warranty labor,warranty parts,color,compatibility notes,contents,product type,target use,actual weight,physical dimensions,warranty details,diagonal size,speakers included,weight,brightness nitscdm2,color support,connector,connector type,contrast ratio,display technology,display type,internal resolution max,portsconnectors,power notes,response timerate,viewing angle hv degrees,attributes,form factor,image aspect ratio,image size max,image size min,native resolution,projector type,resolution modes,screen distance min,energy star version,brightness lumens,lamp type,digital video standard,refurbished type,system requirements,horizontal frequency khz,vertical frequency hz,os notes
Buy Epson Duet Portable or Wall Mountable Projector Screen (opens to Projector Screens ELPSC80 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,Black White,"Get brilliant images with bright white screen.
Use with any home theater or business projector.
Enjoy fast, easy setup with the innovative, patent-pending design.
Expand screen to the size that best meets your need — standard (4:3) or widescreen (16:9).
Set it up in any setting — it's the perfect fit (65"" for standard format, 80"" for widescreen format).
Use for business presentations or home theater applications.
Mount on the floor stand or wall bracket — both included.
When closed, Duet forms its own carrying case (just 43"" long).","Projector screen, floor stand, wall bracket, documentation",Projection screen,Projector screen,0.00 lb(s),"43""h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Tripp Lite Full-Motion Wall Mount for 17"" to 42"" Flat Panel Stands & Mounts - AV DWM1742S today at PC Connection",RoHS,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black Gray,"Can be used to increase available desk/table space in office applications.
Fits most flat-panel displays from 17” to 42”.
Convenient one-touch display adjustment for easy view optimization.
Wide range of motion with -15° to +15° tilt, 180° swivel and -3° to +3° screen level adjustment capability.
Supports up to 44 pounds.
VESA Pattern (mm): 100x100; 200x100; 200x200","mount, documentation",Wall mount,Flat panel display,10.50 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Axis Mount Kit 23xD Pole Wide Direc Stands & Mounts - AV 21764 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,N/A,N/A,White,For use with Axis 231D and 232D security cameras,"Mount, documentation",,Security camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requires use of mounting tool,,,
Buy Ergotron LX Wall Mount Arm for Flat Panel Stands & Mounts - AV 45-243-026 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,,"Max. load capacity: 7-20lbs.
Mounting Standards: VESA FDMI MIS-D, 100/75, C (hole pattern: 100 x 100mm and 75 x 75mm)","LX arm, extension, wall mount, documentation",Wall mount arm Wall mount,Flat panel display,0.00 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy NDS (2) 21.3"" Dome S3c LED-LCD Display, Black with NVIDIA Quadro Monitors - Medical 997-6803-00-2GN today at PC Connection",RoHS VCCI KCC WEEE REACH,Swivel Height Tilt Pivot (rotation),21.3 in,0.2115 mm,,800 cd/m2,"Due to manufacturer restrictions, all sales on this item are final.",5 Years,5 Years,Black,,"(2) monitors, graphics card, documentation",,,14.10 lb(s),"18.7""h x 14.3""w x 3.9""d",,,,14.100 lb(s),800 cd/m2,,USB Type B DisplayPort Power DVI-D,DisplayPort USB DVI-D Power,1400:1,LCD LED-backlit,Widescreen,2048 x 1536,"(1) DVI-D
(1) DisplayPort
(1) USB Type B
(1) Power in","Supply: 100-240VAC, 50/60Hz
Consumption: 96W (typ.); 108W (max)",20 ms,176/176,,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
"Buy Tripp Lite Full-Motion Wall Mount for 13"" to 27"" Flat Panel Stands & Mounts - AV DWM1327SE today at PC Connection",RoHS,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,"Can be used to increase available desk/table space in office applications.
Fits most flat-panel displays from 13” to 27”.
Convenient one-touch swivel display adjustment for easy view optimization (tilt is adjustable with included Allen wrench).
Wide range of motion with -15° to +15° tilt and 180° swivel capability.
Supports up to 33 pounds.
VESA Pattern (mm): 75x75; 100x100","mount, documentation",Wall mount,Flat panel display,2.70 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Tripp Lite Full-Motion Desk Mount for 13"" to 27"" Flat-Screen Stands & Mounts - AV DDR1327S today at PC Connection",RoHS,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,White Black,"Tripp Lite’s sleekly designed, VESA-compliant DDR1327S Full-Motion Flat-Screen Desk Mount frees up valuable space in your workstation and allows you to re-position your display for increased viewing comfort and improved ergonomics.
Convenient one-touch display adjustment with tilt, swivel and rotation capabilities and fits most 13- to 27-inch flat-panel displays.
Durable, all-metal frame with soft, rubber feel finish withstands the stress of repeated use and blends easily into any décor.
Includes all necessary mounting hardware and supports weights of up to 20 pounds.
VESA Pattern: 75x75mm; 100x100mm.","mount, documentation",Desk mount,Flat panel display,11.60 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy AOC 18.5"" E970SWN LED-LCD Monitor, Black Monitors - LED-LCD E970SWN today at PC Connection",CTUVus CCC RoHS FCC ISO 9241-307 EPEAT Silver BSMI EPA DDC-2B/CI CECP C-Tick,Tilt,18.5 in,0.3 mm,Yes,200 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy NDS E3cHB Dual Head Surgical Display Monitors - Medical 997-5703-00-2AN today at PC Connection,REACH CCC CSA FCC KCC FDA 510k WEEE EN 60601-1 RoHS TUV GM VCCI EN 60601-1-2,Height Swivel Pivot (rotation) Tilt,21.3 in,0.212 mm,,800 cd/m2,"Due to manufacturer restrictions, all sales on this item are final.",Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite Manual Pull-Down Projection Screen with SRM, MaxWhite FG, Projector Screens M120VSR-PRO today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,,,,,,,,"Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy GVision 17"" P17BH-AB-459G LCD Touchscreen Monitor, Black Monitors - LCD P17BH-AB-459G today at PC Connection",FCC DDC-2B DDC-1 Plug and Play,Tilt,17 in,0.264 mm,,260 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Targus 14.1"" Notebook Privacy Filter, 16:9 Aspect Ratio Glare Filters & Privacy Screens ASF141W9USZ today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,,"14.1"" widescreen laptops with a 16:9 aspect ratio screen","Privacy filter, documentation",Display privacy filter,,7.20 oz,"6.9""h x 12.2""w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Targus 20” Widescreen LCD Monitor Privacy Screen (16:9) Glare Filters & Privacy Screens ASF20W9USZ today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Tinted,"Designed to fit 20"" widescreen monitors and notebooks.
Protects valuable information by narrowing the viewing angle; onlookers see only a dark screen instead of sensitive information.
Use included adhesive strips to stick the screen to your LCD or use the included tabs that stick to the outsize frame of the LCD screen.","Privacy filter, documentation",Display privacy filter,,0.80 lb(s),,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy HP 14"" Privacy Filter Glare Filters & Privacy Screens AU100AA#ABA today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,,"Product features:
Narrows the screen viewing angle without causing image distortion or blurring for the user.
Custom integrated fit - no sticky tabs or Velcro to worry about.","Privacy screen, documentation",Display privacy filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy HP 20"" P201 LED-LCD Monitor, Black Monitors - LED-LCD C9F26AA#ABA today at PC Connection",KC EN 55022 Class B EuP Lot 6 CUL BSMI CNS 13438 Class B CCIB CEL GEEA KCC CISPR GS IEC 60950-1 EN 60950-1 FCC Part 15 EN 55024 Class B Plug and Play CCEE AS/NZS 3548 Class B ISO 9241-307 CSA C22.2 No. 60950-1 UL 60950-1 TCO Displays VCCI TUV,Tilt,20 in,0.2768 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,,"Monitor, VGA cable, DVI cable, CD, documentation",,,7.70 lb(s),"11.6""h x 19""w x 1.9""d",,,,,250 cd/m2,,HDDB15 DVI Power,Power DVI VGA,"3,000,000:1 1000:1",LED-backlit LCD,Widescreen,1600 x 900,"(1) HDDB15 VGA
(1) DVI
(1) Power in","Supply: 100-240VAC
Consumption: 22W (max); 20W (typ.);",5 ms,170/160,,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
"Buy AOC 19.5"" E2060SWDA-TAA LED-LCD Monitor, Black Monitors - LED-LCD E2060SWDA-TAA today at PC Connection",RoHS cCSAus FCC,Tilt,19.5 in,0.27 mm,Yes,220 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Draper Piper Portable Projection Screen, Matte White, 16:9, 77"" Projector Screens 230166 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,White,HDTV format (16:9 aspect ratio),"Screen, case, documentation",Projection screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy LG 27"" 27MB65PY-B Full HD LED-LCD Monitor, Black, TAA Monitors - LED-LCD 27MB65PY-B today at PC Connection",TCO Displays 6.0 CUL ISO 13406-2 TUV GS DDC/CI Plug and Play TUV Ergo,Height Tilt Swivel Pivot (rotation),27 in,0.311 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy 3M 19"" LCD Privacy Filter, Black Glare Filters & Privacy Screens PF319 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Black,"For use with 19"" LCD Desktop Displays.","Privacy filter, documentation",Display privacy filter,,0.00 lb(s),"13.7'h x 16.7""w x 0.4""d",Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy LG 19"" MB35P-B LED-LCD Monitor Monitors - LED-LCD 19MB35P-B today at PC Connection",ISO 13406-2 Plug and Play TUV GS CUL TUV Ergo TCO Displays 6.0 ISO 9241-307 DDC/CI,Tilt Swivel Pivot (rotation) Height,19 in,0.294 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy HP Smart Buy 22"" Pavilion 22XI LED-LCD Monitor, Silver Monitors - LED-LCD C4D30AA#ABA today at PC Connection",GOST-R 50377-1992 CB C-ETL KC C-Tick IEC 60950-1 CECP CSA GOST-R NOM-019-SCFI-1998 FCC Plug and Play ISO 9241-307 SABS PSB GOST 25861-83 ICES CUL BFR CCC SASO EPEAT Silver ETL KCC,Tilt,21.5 in,0.248 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Black,"Supports High-bandwidth Digital Content Protection (HDCP) to prevent transmission of non-encrypted high definition content.
Plug and Play capability, if supported by your computer system.
On-screen display (OSD) adjustments for ease of setup and screen optimization.
Security lock.","Monitor, documentation",,,6.60 lb(s),"15.1""h x 19.6""w x 6.7""d",,,,,250 cd/m2,,HDDB15 DVI-D HDMI Power,VGA HDMI DVI-D Power,,LCD LED-backlit,Widescreen,1920 x 1080,"(1) HDDB15 VGA
(1) DVI-D
(1) HMDI
(1) Power in",Consumption: 28W (max); 26W (typ.); 0.5W (energy saving mode),7 ms,178/178,,,,,,,,,,,,,,,,24-94,50-76,
"Buy Open Box NEC Table Top Stand for X401S, X401S-AVT Stands & Mounts - AV ST-322 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,90 Days,90 Days,Black,"Compatible with X401S, X401S-AVT.","Stand, documentation",Stand,Flat panel display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Box,,,,
"Buy NDS 20.8"" Dome E3 Grayscale Display, No Video Card Monitors - Medical 997-5713-00-1NN today at PC Connection",CE EN 55011 MIC VCCI CCC FCC Class B certified CSA DICOM Part 14,Swivel Pivot (rotation) Tilt Height,20.8 in,.206 mm,,600 nit(s) 1000 nit(s),"Due to manufacturer restrictions, all sales on this item are final.",5 Years,5 Years,Gray,,"Display, documentation",,,14.00 lb(s),"18.7""h x 14.5""w x 4""d",,,,14.100 lb(s),,3061 grayscales,USB Type B USB Type A DVI Power,USB 1.1 DVI Power,900:1,TFT,Standard,1536 x 2048 2048 x 1536,"(1) Dual-Link DVI
(1) USB Type B
(2) USB Type A
(1) Power in","Voltage: 100-240VAC, 50-60Hz single phase
Consumption: 60W (typ.) 72W (max.)",35 ms,170/170,,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
"Buy Lenovo 18.5"" E1922 LED-LCD Monitor, Black Monitors - LED-LCD 60B8AAR6US today at PC Connection",EPEAT Gold RoHS TCO Displays 6.0,Tilt,18.5 in,0.3 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,100 x 100mm VESA mounting pattern.,"monitor, documentation",,,6.00 lb(s),"13.4""h x 17.7""w x 6.6""d",,,,,250 cd/m2,16.7 million colors,HDDB15 Power,VGA Power,1000:1,LED-backlit LCD,Widescreen,1366 x 768,"(1) HDDB15 VGA
(1) Power in","Supply: 90-264VAC
Consumption: 17W (max); 13.7W (typ.);",5 ms,170/160,,,,,,,,,,6.0,,,,,,,,
"Buy Open Box ELO Touch Solutions 46"" 4600L Full HD Optical Touch Monitors - Large-Format LCD E536712 today at PC Connection",,,46 in,,,,This product is subject to our return policy. Please see our complete return policy for details.,90 Days,90 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Box,,,,
"Buy Open Box HP 21.5"" V221 Full HD LED-LCD Monitor, Black Monitors - LED-LCD E2T08A6#ABA today at PC Connection",Plug and Play CEL Grade 1 VCCI BSMI KC TUV S PSB NOM CCC FCC CB KCC CECP,Swivel Tilt,21.5 in,0.248 mm,Yes,200 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,90 Days,90 Days,Black,"Dimensions with stand: 14.8""h x 20.4""w x 7.3""d","monitor, VGA cable, power cable, CD, documentation",,,,,,,,,200 cd/m2,,DVI-D HDDB15 Power,DVI-D VGA Power,"600:1 1,000,000:1",LCD LED-backlit,Widescreen,1920 x 1080,"(1) HDDB15 VGA
(1) DVI-D
(1) Power in",Supply: 100-240VAC,5 ms,90/50,,,,,,,,,,,,,Digital Visual Interface (DVI),Open Box,,,,
"Buy Open Box Acer 24"" Full HD LED-LCD Monitor with Speakers Monitors - LED-LCD UM.FB6AA.001 today at PC Connection",TCO Displays 6.0,,24 in,,Yes,250 cd/m2,,90 Days,90 Days,Black,"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Prepared:
Collaborating with others is faster and more productive when you have plenty of ports available. Professional Series monitors allow you to connect to a wide variety of useful devices including notebooks, tablets and giant screen TVs, thanks to helpful VGA, DVI, HDMI, USB and even DisplayPort connectivity options.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact.","Monitor, DVI cable, power cord, VGA cable, documentation",,,7.60 lb(s),"15.1""h x 22.3""w x 8.7""d",,,,,250 nit(s),16.7 million colors,HDDB15 Power DVI,Power DVI VGA,"100,000,000:1",LED-backlit LCD,Widescreen,1920 x 1080,"(1) DVI
(1) HDDB15 VGA
(1) Power in",Supply: 110-220VAC,5 ms,170/160,Speakers Included Dual speakers,,,,,,,,,,,,Digital Visual Interface (DVI),Open Box,,,,
