3d compatibility,<page title>,aspect ratio,builtin camera,builtin speakers,cable lock slot,cables included,certification,colour of product,contrast ratio dynamic,contrast ratio typical,depth,depth with stand,display,display brightness,display diagonal,display number of colours,display resolution,display technology,dvi port,dvid ports quantity,energy efficiency class,energy star certified,ethernet lan connection,hd type,hdcp,height,height adjustment,height with stand,input frequency,input voltage,led indicators,linux operating systems supported,manual,on screen display osd,onoff switch,operating relative humidity range,operating temperature range tt,pivot,pivot angle,plug and play,power consumption max,power consumption standby,power consumption typical,power led,quick start guide,response time,standby led,storage relative humidity range,storage temperature range tt,supported graphics resolutions,supported video modes,swivel angle range,swivelling,thin client installed,tilt adjustment,tilt angle,tv tuner integrated,usb 20 ports quantity,vga dsub ports quantity,viewing angle horizontal,viewing angle vertical,weight,weight with stand,width,width with stand,windows operating systems supported,wireless lan connection,colour,dimensions w x d x h with stand,display srgb,display viewable area hxv,mean time between failures mtbf,package dimensions wxdxh,pixel pitch,power consumption active,power consumption off,relative humidity,backlight type,digital horizontal frequency,digital vertical frequency,displayports quantity,hdmi ports quantity,vesa mounting interfaces compatibility,wall mountable,audio output,bluetooth,builtin subwoofer,card reader integrated,epeat compliance,full hd,hdmi,headphone out,placement supported,video dot rate,viewable size horizontal,viewable size vertical,dcin jack,display diagonal metric,feet colour,handheld remote control,ac power in,number of loudspeakers,package weight,viewable size diagonal,power consumption powersave,swivel angle,ethernet lan,headphone outputs,wifi,anschlüsse,auflösung empfohlen,bildformat,blickwinkel horizontal,blickwinkel vertikal,displaygröße,eigenschaften,farbe herstellerspezifisch,gewicht netto,helligkeitleuchtstärke,kontrastverhältnis,lcd paneltechnologie bzw tm,netzteil,prüfzeichenzertifikatezulassungen,reaktionszeit,signalart,vesa bohrung,camera included,connection to pc,dvii ports quantity,horizontal scan range,power consumption,rms rated power,safety,vertical scan range,display type,number of colours,builtin microphone,compatible memory cards,microphone in,farbe allgemein,mac operating systems supported,ac adapter included,headphone connectivity,number of osd languages,on screen display osd languages,operating temperature tt,annual energy consumption,audio input,electromagnetic compatibility,packaging depth,packaging height,packaging width,mobile highdefinition link mhl,nonoperating altitude,operating altitude,operating relative humidity hh,storage temperature tt,strahlungsnorm,display surface,pc audio in,separate hv sync,syncongreen sog,maximum resolution,number of products included,screen saving functions,volume control,composite sync,power consumption average,usb 30 ports quantity,common interface ci,common interface plus ci,usb powered,glossy display,rotating,led backlight,pictureinpicture,quantity,user guide on cdrom,compatible with vesawall mounting system,effective viewing area,picture enhancement,compliance industry standards,hdready,power cord included,storage relative humidity hh,dimensions w x d x h,composite video in,svideo in,swivel,megapixel,product type,io ports,power requirements,bezel width side,bezel width top,swivel webcam,power consumption economy mode,bezel width bottom,svideo inputs quantity
N,"60003336 - NEC MultiSync EA224WMi,  LED monitor - Xpcpro.com",16:9,N,Y,Kensington,"AC, Audio 3.5mm, DVI, USB, VGA",TCO 5.2; TÜV; TÜV GS; GEEA; FCC B; PCT/Gost; UL/C-UL; CSA; ISO 9241-307; MPR III,Black,25000:1,1000:1,,218 mm,LED,250 cd/m²,"21.5 "" 54.61 cm",16.77 M,1920 x 1080 pixels,IPS,,1,,Y,,,Y,,Y,370 mm,,,,,Y,Y,Y,20 - 80 %,5 - 35 °C,,,Y,26 W,,15 W,Y,,14 ms,Y,,,"1280 x 960, 1440 x 1050, 1024 x 768 XGA, 1280 x 1024 SXGA, 1280 x 720 HD 720, 1280 x 768 WXGA, 1360 x 768 WXGA, 1366 768, 1440 x 900 WXGA, 1600 x 1200 UXGA, 1680 x 1050 WSXGA, 1920 x 1080 HD 1080, 640 x 480 VGA, 800 x 600 SVGA",,,,,,-5 - 30 °,,5,1,178 °,178 °,,5600 g,,507 mm,Y,,,,Y,,,,0.247 x 0.247 mm,,,,W-LED,31.5 - 83 kHz,56 - 75 Hz,1.0,1,100 x 100 mm,Y,,,,,Gold,Y,Y,1,Horizontal/Vertical,,,,,,,,Y,2 pcs,,,0.43 W,-170 - 170 °,,,,,,,,,,,,,,,,,,,,,,Y,,,,2 W,,,,,,,,,Y,,3.5 mm,,,,,,,,,,,,,,,,,,,,1920 x 1080 pixels,1 pcs,Y,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"VP2770-LED - ViewSonic VP2770-LED LED monitor 27"" - Xpcpro.com",16:9,N,N,,,"CB, TCO6.0, WEEE, RoHS, UL, cUL, FCC-B, TUV-S ULAR, NOM, GS, CE, ErP, REACH, GOST-RHygienic, Ukraine, CCC,CEL, CECP",Black,20000000:1,1000:1,56 mm,347.8 mm,LED,300 cd/m²,"68.5 cm 27 """,,2560 x 1440 pixels,IPS,,1,,Y,,N,Y,381.7 mm,Y,469.7 mm,50/60 Hz,100 - 240 V,,,,Y,Y,20 - 90 %,0 - 40 °C,Y,0 - 90 °,,,22 W,40 W,Y,,12 ms,Y,,,"2048 x 1152, 2560 x 1440, 1920 x 1080 HD 1080",,-60 - 60 °,,N,,-5 - 23 °,N,2,1,178 °,178 °,5800 g,8450 g,642.7 mm,642.7 mm,Y,,,,,,30000 h,,0.233 x 0.233 mm,,,,W-LED,24 - 92 kHz,50 - 75 Hz,1.0,1,100 x 100 mm,Y,,,,,Gold,,Y,,Horizontal/Vertical,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,Y,2560 x 1440 pixels,1 pcs,Y,,Y,30 W,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"VA2214S - ViewSonic VA2214S LED monitor 22"" 1920 x - Xpcpro.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DVI-D,1.920 x 1.080,Wide 15:9/16:9/16:10,178 °,178 °,"54.6 cm 21.5""",,,"2,610 kg",250 cd/qm,3000 :1,MVA,,"CB, CE, Energy Star, NEMKO, RoHS, WEEE",5 ms,digital/analog,100 x 100 mm,,,,,,,,,,,,,,schwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GB2488HSU-B1 - Iiyama GB2488HSU-B1 61CM 24IN LED - Xpcpro.com,16:9,N,Y,Kensington,"AC, AUX, DisplayPort, DVI, USB","CE, TÜV, GOST-R, VCCI-B, PSE",Black,5000:1,1000:1,,230 mm,LED,350 cd/m²,"24 """,16.77 M,1920 x 1080 pixels,,,2,Unspecified,,,Full HD,Y,,Y,518 mm,50/60 Hz,100 - 240 V,,,Y,Y,,,,Y,0 - 90 °,Y,,0.5 W,38 W,,Y,1 ms,,,,"1280 x 1024 SXGA, 1920 x 1080 HD 1080",,,,,Y,-5 - 22 °,,2,,170 °,160 °,,5500 g,568 mm,568 mm,Y,,,,,,,,0.277 x 0.277 mm,,,,,30 - 160 kHz,55 - 145 Hz,2.0,3,100 x 100 mm,Y,,N,N,N,,,,,,,531.36 mm,298.89 mm,,61 cm,,,,2,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,6 W,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,E2480HS-B1 - Iiyama ProLite E2480HS  LED monitor  - Xpcpro.com,16:9,N,Y,Kensington,"AC, Audio 3.5mm, DVI, VGA","CE, TUV-GS, TCO, CU",Black,5000000:1,1000:1,213.5 mm,,LED,300 cd/m²,"23.6 """,16.77 M,1920 x 1080 pixels,TNFilm,,1,Unspecified,Y,N,,Y,401 mm,N,,50/60 Hz,100 - 240 V,,,,Y,Y,10 - 80 %,5 - 35 °C,,,Y,,1 W,22 W,Y,Y,2 ms,,5 - 85 %,-20 - 60 °C,1920 x 1080 HD 1080,,,,N,,-4 - 21 °,N,,1,170 °,160 °,4300 g,,571.5 mm,,Y,,,,,,,,0.2715 x 0.2715 mm,,,,Edge-lit LED,,,,1,100 x 100 mm,Y,,N,N,N,-,Y,,,,,521.28 mm,293.22 mm,,,,N,Y,2 pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 - 80 kHz,,4 W,,56 - 75 Hz,,,N,,,,Y,,,9.0,"CHI SIMPL, DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS",,- kWh,Y,,,,,,,,,,,,,Y,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"C9V75AA#ABB - HP EliteDisplay E231, LED monitor - Xpcpro.com",16:9,N,N,,AC,"CE, CB, KC, KCC, NOM, PSB, ICE, TUV-S, CCC, CEL 1, CECP, SEPA, TCO Edge, EPA, ISC, VCCI ,FCC, BSMI",Black,50000000:1,1000:1,51 mm,242.4 mm,LED,250 cd/m²,"23 "" 58.42 cm",16.77 M,1920 x 1080 pixels,TNFilm,Y,1,Unspecified,Y,N,Full HD,Y,329 mm,Y,469.9 mm,50/60 Hz,95 - 265 V,Y,Y,Y,Y,,,5 - 35 °C,Y,0 - 90 °,Y,36 W,0.5 W,33 W,Y,Y,5 ms,Y,,-20 - 60 °C,1920 x 1080 HD 1080,1080p,0 - 360 °,Y,N,Y,-5 - 30 °,N,3,1,170 °,160 °,3900 g,6100 g,544 mm,544 mm,Y,N,,,,,,,,,,,W-LED,,,1.0,,Y mm,Y,,,,,Gold,,,,,,,,,,,,Y,,8340 g,,,,,,,,,,,,,,,,,,,,,,,,,,,24 - 94 kHz,,,,50 - 76 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
N,VG2039M-LED - ViewSonic VG2039M-LED LED monitor - Xpcpro.com,16:9,N,Y,Kensington,"AC, Audio 3.5mm, DVI, USB, VGA","UL/cUL, FCC-B, REACH, RoHS",Black,20000000:1,1000:1,59 mm,250 mm,LED,250 cd/m²,"20 """,,1600 x 900 pixels,,,1,Unspecified,Y,,,N,274 mm,Y,382 mm,,100 - 240 V,,,,Y,Y,,,,,,17 W,,15 W,,Y,5 ms,,,,"1600 x 900, 1280 x 1024 SXGA",,0 - 360 °,Y,N,Y,-5 - 20 °,N,3,1,170 °,160 °,2600 g,3700 g,466 mm,466 mm,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64",,,,,,,,,,,,W-LED,24 - 82 kHz,50 - 75 Hz,1.0,,100 x 100 mm,Y,,N,Y,N,Silver,,,,,,432 mm,239 mm,,50.8 cm,,,Y,2,4800 g,49.53 mm,,,N,1.0,N,,,,,,,,,,,,,,,,,,,,,,,4 W,,,,,N,N,N,,Y,,,,,0 - 40 °C,,Y,,130 mm,445 mm,521 mm,,,,10 - 90 %,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LS24B42XBWG/EN - Samsung SB420 Series S24B420BW - Xpcpro.com,16:9,,,,"AC, DVI, VGA",,Grey,Mega Contrast,1000:1,60.9 mm,220 mm,LED,250 cd/m²,"24 """,16.77 M,1920 x 1200 pixels,PLS,Y,1,Unspecified,Y,,,Y,360 mm,Y,329.9 mm,,,Y,,Y,Y,Y,,,Y,-1 - 115 °,Y,,0.1 W,30 W,Y,Y,5 ms,Y,,,1920 x 1200 WUXGA,,-45 - 45 °,Y,N,Y,-5 - 22 °,,,1,170 °,160 °,5100 g,,556.2 mm,556.2 mm,,,,,,,,,0.27 x 0.27 mm,,,,,,,,,100 x 100 mm,Y,,N,,,Gold,,,,,,,,,60.96 cm,,,,,6300 g,,24 W,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,192 mm,441 mm,633 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LS24C65UDW/EN - Samsung S24C650DW  LED monitor  - Xpcpro.com,16:10,,,,"DVI, USB, VGA",,Black,Mega Contrast,1000:1,54.2 mm,224 mm,LED,250 cd/m²,"24 """,16.77 M,1920 x 1200 pixels,AD-PLS,Y,,Unspecified,,,,,359.35 mm,Y,387.25 mm,50/60 Hz,100 - 240 V,Y,,Y,,Y,,,Y,-1 - 95 °,Y,,25 W,35 W,Y,Y,5 ms,Y,,,1920 x 1200 WUXGA,,,,,Y,-3 - 25 °,,3,1,178 °,178 °,4100 g,5700 g,554.8 mm,554.8 mm,,,,,,,,,,,,,,,,1.0,,100 x 100 mm,Y,,N,,,,,,,,,,,,,,,,,7350 g,,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433 mm,188 mm,628 mm,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
,"UM.EB6EE.009 - Acer B226WLwmdr LED monitor 22"" - Xpcpro.com",16:10,N,Y,,,,White,100000000:1,,52 mm,221.2 mm,LCD,250 cd/m²,"55.9 cm 22 """,16.77 M,1680 x 1050 pixels,,Y,,Unspecified,,,,Y,333.1 mm,Y,534.1 mm,,110 - 220 V,,,,,,,,Y,,,,0.45 W,17.2 W,,,5 ms,,,,,,,,N,,,N,,1,170 °,160 °,3090 g,5750 g,505.8 mm,505.8 mm,,,,,,,,,,,0.35 W,,,,,,,100 x 100 mm,Y,,,,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"274E5QDAB/00 - Philips 274E5QDAB LED monitor 27"" - Xpcpro.com",16:9,N,Y,Kensington,AC,,Black,20000000:1,1000:1,46 mm,237 mm,LCD,250 cd/m²,"27 """,16.77 M,1920 x 1080 pixels,,Y,1,Unspecified,Y,,Full HD,Y,375 mm,,470 mm,50/60 Hz,100 - 240 V,"Operation, Stand-by",,,Y,,,,Y,,Y,,0.5 W,22.15 W,,,5 ms,,,,1920 x 1080 HD 1080,1080p,,,N,Y,-5 - 20 °,N,,1,178 °,178 °,4880 g,5100 g,622 mm,622 mm,,,,,,,30000 h,,0.311 x 0.311 mm,,0.5 W,20 - 80 %,W-LED,,,,1,100 x 100 mm,Y,Y,,,,Silver,,,,,,,,,68.6 cm,,,,2,7140 g,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,30 - 83 kHz,,12 W,,56 - 75 Hz,,,,,,,,,,22.0,"CHI SIMPL, CHI TR, CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",0 - 40 °C,,Y,,106 mm,546 mm,667 mm,Y,0 - 12192 m,0 - 3658 m,,-20 - 60 °C,,Gloss,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,TD2420 - ViewSonic TD2420-LED 24IN 1920X1080 - Xpcpro.com,16:9,,Y,,"AC, Audio 3.5mm, DVI, USB, VGA",EPEAT Silver,Black,20000000:1,1000:1,346.8 mm,,,200 cd/m²,"24 """,,1920 x 1080 pixels,,,1,,Y,,,Y,56.1 mm,,,50/60 Hz,100 - 240 V,,,,Y,,20 - 90 %,0 - 40 °C,,,,,,25 W,,,5 ms,,,,,,,,,,-5 - 20 °,,,1,170 °,160 °,2400 g,3000 g,555.9 mm,,,,,555.9 x 174.8 x 421.9 mm,,520.69 x 292.09 mm,,506 x 151 x 498 mm,,,,,W-LED,24 - 83 kHz,50 - 75 Hz,,1,100 x 100 mm,Y,,,,,,,,1,,,,,,,,,,2 pcs,3700 g,599.44 mm,20 W,,,,,,,,,,,,,,,,,,,,,,,,,,,4 W,,,LED,,,,,,,,,,,,,1,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
N,"LS24C750PS/EN - Samsung S24C750P, LED monitor 24"", - Xpcpro.com",16:9,N,,,HDMI,,"Black, Metallic, Silver",Mega Contrast,3000:1,32.1 mm,200 mm,LED,250 cd/m²,"24 """,16.77 M,1920 x 1080 pixels,,,,Unspecified,Y,,Full HD,,332 mm,,463.5 mm,50/60 Hz,100 - 240 V,,,,Y,Y,,,Y,,,,0.3 W,23 W,Y,Y,5 ms,Y,,,,,,,N,Y,,N,,1,178 °,178 °,3150 g,4950 g,555.8 mm,555.8 mm,"Windows 8, Y",,,,,,,,,,0.3 W,,,,,,2,N mm,N,Y,,N,,,,Y,,Horizontal/Vertical,,,,Y,,,,,,6800 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,160 mm,409 mm,653 mm,,,,,,,,,,,1920 x 1080 pixels,,Y,,,,,,,,,,,N,1.0,Y,,,,,,,,,,,,,,,,,,,,,
,LS22B42XBWV/EN - Samsung SB420 Series S22B420BW - Xpcpro.com,16:9,,,,,,Grey,Mega Contrast,1000:1,60.25 mm,220 mm,LED,250 cd/m²,"22 """,16.77 M,1680 x 1050 pixels,TN,Y,1,Unspecified,Y,,,Y,331.5 mm,Y,359.25 mm,,,Y,,,Y,Y,,,Y,-1 - 115 °,Y,,0.3 W,25 W,Y,,5 ms,Y,,,1680 x 1050 WSXGA,,-45 - 45 °,Y,N,Y,-5 - 22 °,,,1,170 °,160 °,,4100 g,505.5 mm,505.5 mm,,,,,,,,,0.282 x 0.282 mm,,,,,,,,,100 x 100 mm,Y,,N,,,Gold,,,,,,,,,55.88 cm,,,,,5500 g,,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,192 mm,406 mm,582 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"60002932 - NEC MultiSync E231W - LED monitor 23"" - - Xpcpro.com",Not specified,,No,Not specified,,"ENERGY STAR 5.0, TCO 5.0, EPEAT Gold, Windows 7",Black,25000:1,1000:1,329.1 mm,381.8/491.8 mm,TN+Film,250 cd/m²,"58.4 cm (23 "")",,1920 x 1080 pixels,,,1,,Yes,,,No,71 mm,,213.9 mm,,,,,,,,20 - 80 %,5 - 35 °C,,,Yes,,,,,,5 ms,,10 - 85 %,-10 - 60 °C,,,,,,,,No,,1,Not specified,Not specified,4200 g,6200 g,550.1 mm,550.1 mm,,,,,Yes,,,,0.265 x 0.265 mm,,,,,,,1.0,Not specified,,,,,,,,Yes,,,,,,,,,,,,,,,0.34 W,,,,,,,,,,,,,,,,,,,,,,No,,,31.5 - 83.0 kHz,28 W,,,56 - 75 Hz,,Not specified,,,,,,,,,,,,,,,,,,,0 - 2000 m,,,,,,,,,,,,,,,,,,,,,,,,100 x 100 mm,,,,,,,,,,,,,,,,,,,,
,"242G5DJEB/00 - Philips Brilliance 242G5DJEB, LED - Xpcpro.com",16:9,,,,,,,,1000:1,,,,350 cd/m²,,,,,,,,,,,,,130 mm,565 mm,,,,,,,,20 - 80 %,0 - 40 °C,,,,,0.5 W,,,,5 ms,,,-20 - 60 °C,,,,,,,,,,,,,,,,,,,N,,Y,,30.000 h,631 x 422 x 287 mm,0.277 x 0.277 mm,18.58 W,0.3 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.36 x 298.89 mm,,,,,,,,,,,,,,,,,,,
,E2460PQ - AOC Professional E2460PQ Professional - Xpcpro.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.920 x 1.080,Wide 15:9/16:9/16:10,170 °,160 °,"61 cm 24""","höhenverstellbar, neigbar, Pivot drehbar 90°, schwenkbar, Speaker",,"6,38 kg",250 cd/qm,1000 :1,,intern,"CE, Energy Star, EPEAT Gold, ISO 9241-307, TÜV-GS",2 ms,digital/analog,100 x 100 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCO 6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,221P3LPYES/00 - Philips Brilliance P-line - Xpcpro.com,16:9,,,,,,,,1000:1,,,,250 cd/m²,,,,,,,,,,,,,130 mm,,,,,,,,,,,,,,,,,,,5 ms,,,,,,,,,,-5/20 °,,,,,,,5.64 kg,,,,,,507 x 487 x 220 mm,Y,,30.000 h,,0.248 x 0.248 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LS24C65KMWG/EN - Samsung 6 Series S24C650MW LED - Xpcpro.com,,,Y,,"AC, DVI, VGA",,Black,Mega Contrast,,54.2 mm,224 mm,LED,300 cd/m²,"24 """,16.77 M,1920 x 1080 pixels,AD-PLS,Y,1,Unspecified,,,Full HD,Y,359.4 mm,Y,382.3 mm,,,,,Y,Y,Y,,,Y,-1 - 95 °,Y,,,,Y,,5 ms,Y,,,1920 x 1080 HD 1080,,-45 - 45 °,Y,N,Y,-3 - 25 °,,,1,178 °,178 °,5700 g,,554.8 mm,554.8 mm,,,,,,,,,0.27 x 0.27 mm,,,,,,,,,,Y,,N,,,,,,,,,,,,60.96 cm,,,,2,,,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,2 W,,,,,,,,,,,,,,,,,,433 mm,188 mm,628 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,S26361-K1482-V160 - Fujitsu E19-7 LED LED monitor - Xpcpro.com,5:4,N,N,Kensington,"AC, Audio 3.5mm, DVI, VGA",RoHS,Black,2000000:1,1000:1,64 mm,209 mm,LED,250 cd/m²,"19 """,16.77 M,1280 x 1024 pixels,IPS,Y,1,Unspecified,Y,,,Y,349 mm,,391 mm,50/60 Hz,100 - 240 V,,,,Y,,,,,,,,,17 W,,Y,8 ms,,,,"720 x 400, 1024 x 768 XGA, 1280 x 720 HD 720, 640 x 480 VGA, 800 x 600 SVGA",,,Y,N,Y,-5 - 20 °,N,,1,178 °,178 °,3090 g,3520 g,414 mm,414 mm,,,,,,,,,0.293 x 0.293 mm,,,,,,,,,100 x 100 mm,Y,Y,N,,,,,,1,,,375 mm,300 mm,,48.3 cm,,,Y,,4900 g,,0.26 W,,N,,N,,,,,,,,,,,,,,,,,,,,,30 - 82 kHz,,,,56 - 76 Hz,,,N,,,,,,3.5 mm,,,5 - 35 °C,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LU28D590DS/EN - Samsung U28D590DS  LED monitor  - Xpcpro.com,,,,,"DisplayPort, HDMI",,Black,Mega Contrast,1000:1,64.7 mm,169.4 mm,LED,370 cd/m²,"28 """,,3840 x 2160 pixels,TN,N,,Unspecified,,,4K Ultra HD,,410 mm,N,486.3 mm,50/60 Hz,100 - 240 V,Y,,Y,,Y,,,,,Y,,0.3 W,32 W,Y,,1 ms,Y,,,3840 x 2160,,,,N,,,,,,170 °,160 °,5050 g,5650 g,660.9 mm,660.9 mm,,,,,,,,,,,,,,,,1.0,2,,,,N,,,,,,Y,,,,,,70.8 cm,,,,,7400 g,,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109 mm,452 mm,794 mm,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,241B4LPYCB/00 - Philips Brilliance B-line - Xpcpro.com,16:9,N,Y,Kensington,,"BSMI, CE Mark, FCC B, GOST, SASO, SEMKO, TCO 5.2, TUV Ergo, TUV/GS, UL/cUL, WEEE",Black,20000000:1,1000:1,55 mm,227 mm,LED,250 cd/m²,"24 "" 61 cm",16.77 M,1920 x 1080 pixels,,,1,,Y,,,Y,352 mm,100 mm Y,403 mm,50/60 Hz,100 - 240 V,,,,Y,Y,20 - 80 %,0 - 40 °C,Y,0 - 90 °,Y,,0.1 W,21.44 W,Y,,5 ms,Y,,-20 - 60 °C,1920 x 1080 HD 1080,,,,N,,-5 - 20 °,N,2,1,170 °,160 °,4300 g,6300 g,565 mm,565 mm,Y,,,,Y,,,,0.276 x 0.276 mm,,,,W-LED,30 - 83 kHz,56 - 75 Hz,1.0,,100 x 100 mm,Y,,,,,Gold,Y,,1,Horizontal/Vertical,,531.4 mm,298.9 mm,,,,,Y,2 pcs,8300 g,,12 W,-65 - 65 °,,,,,,,,,,,,,,,,,,,,,,Y,,,,3 W,"TCO edge, RoHS, PVC / BFR free, Mercury free, Lead free",,,,,,,,Y,,3.5 mm,8.0,"CHI SIMPL, DEU, ENG, ESP, FRE, ITA, POR, RUS",,,,,172 mm,405 mm,624 mm,,,,,,,,Y,Y,Y,1920 x 1080 pixels,1 pcs,Y,,,,,,,,,,,,,,,,SmartImage,,,,,,,,,,,,,,,,,,
N,"E2770SHE - AOC e2770She  LED monitor  27"" 1920 x - Xpcpro.com",16:9,N,Y,,,"CE, FCC, TUV-GS, GOST, RoHS",Black,20000000:1,1000:1,,,LED,250 cd/m²,"27 """,16.77 M,1920 x 1080 pixels,TNFilm,N,,Unspecified,Y,,Full HD,Y,,N,,50/60 Hz,90 - 240 V,,,,,,,,N,,,,,,,,5 ms,,,,1920 x 1080 HD 1080,,,N,N,Y,-5 - 15 °,N,,1,170 °,160 °,,,,,,,,,,,,,,,,,,,,,2,100 x 100 mm,Y,,,,,Silver,,,,,,597.89 mm,336.31 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 83 kHz,,2 W,,55 - 75 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,B2483HS-B1 - Iiyama ProLite B2483HS-1  LED monitor - Xpcpro.com,16:9,N,Y,Kensington,"AC, DVI, VGA",,Black,5000000:1,1000:1,516.5 mm,,LED,300 cd/m²,"24 """,16.77 M,1920 x 1080 pixels,,Y,1,Unspecified,Y,,Full HD,Y,230 mm,Y,,50/60 Hz,100 - 240 V,,,,,,,,,,,,0.5 W,24 W,,Y,2 ms,,,,1920 x 1080 HD 1080,,45 - 90 °,,N,,5 - 22 °,N,,1,170 °,170 °,5100 g,,565.5 mm,,Y,,,,,,,,0.277 x 0.277 mm,,,,,,,,1,100 x 100 mm,Y,,,,,,,,,,,,,,61 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 80 kHz,,4 W,,55 - 75 Hz,,,,,,,Y,,,,"CHI TR, DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
