3d compatibility,<page title>,ac power in,aspect ratio,audio input,backlight type,bluetooth,builtin camera,builtin speakers,builtin subwoofer,cable lock slot,cables included,card reader integrated,certification,colour of product,contrast ratio dynamic,contrast ratio typical,depth,display,display brightness,display diagonal,display number of colours,display resolution,display technology,dvid ports quantity,energy efficiency class,energy star certified,ethernet lan,hd type,hdcp,hdmi ports quantity,height,height adjustment,horizontal scan range,input frequency,input voltage,manual,number of loudspeakers,number of osd languages,on screen display osd,on screen display osd languages,operating relative humidity hh,operating temperature tt,pivot,pivot angle,pixel pitch,plug and play,power consumption standby,power consumption typical,power led,quick start guide,response time,separate hv sync,storage relative humidity hh,storage temperature tt,supported graphics resolutions,supported video modes,swivel angle range,swivelling,thin client installed,tilt adjustment,tilt angle,tv tuner integrated,vertical scan range,vesa mounting interfaces compatibility,vga dsub ports quantity,viewable size horizontal,viewable size vertical,viewing angle horizontal,viewing angle vertical,wall mountable,weight,width,compatible memory cards,ethernet lan rj45 ports,full hd,headphone outputs,led backlight,microphone in,package weight,packaging depth,packaging height,packaging width,product type,rms rated power,touch sensitive screen,usb 20 ports quantity,wifi,depth with stand,dimensions w x d x h with stand,display diagonal metric,display srgb,dvi port,effective viewing area,epeat compliance,headphone out,height with stand,mac operating systems supported,mean time between failures mtbf,mobile highdefinition link mhl,nonoperating altitude,onoff switch,operating altitude,package dimensions wxdxh,pc audio in,power consumption active,power consumption max,power consumption off,syncongreen sog,weight with stand,width with stand,windows operating systems supported,digital horizontal frequency,digital vertical frequency,displayports quantity,feet colour,user guide on cdrom,viewable size diagonal,power consumption powersave,standby led,display type,display viewable area hxv,power supply type,touch screen type,touchscreen technology,compliance industry standards,led indicators,quantity,relative humidity,ac adapter included,dcin jack,usb 30 ports quantity,active display area w x h,component video ypbprycbcr in,composite video in,rohs compliance,vga dsub input ports,power consumption average,display surface,compatibility,maximum screen size compatibility,minimum screen size compatibility,number of displays supported,audio output,rotating,usb version,power cord included,dimensions wxdxh,hdmi,headphone connectivity,number of products included,color gamut,omnitapps multitouch compatibility,pictureinpicture,bezel width bottom,bezel width side,bezel width top,power requirements,camera included,linux operating systems supported,ethernet lan data rates,electromagnetic compatibility,megapixel,safety,screen format adjustments,maximum resolution,placement supported,screen saving functions,height adjustment range,maximum weight capacity,pan range,rotation,glass thickness,number of colours,rs232 ports,voltage tolerance,child lock,swivel angle,mini displayport quantity,audio system,usb required,depth max,height max,mounting interface,screen size compatibility,handheld remote control,speakers,swivel webcam,input current,volume control,builtin microphone,current rating,picture enhancement,recyclable material,hdready,connection to pc,video dot rate,native resolution,composite sync,compatible operating systems,security features,viewing angle,glossy display,common interface ci,common interface plus ci,number of simultaneous touchpoints windows 7,usb powered,maximum analog resolution,cable length,interface type,annual energy consumption
No,Philips Brilliance LCD monitor with PowerSensor 240P4QPYEB - MBE,Yes,16:10,,W-LED,No,No No No,Yes Yes Yes,No No No,Kensington Kensington,,,"RoHS, BSMI, CE, FCC B, GOST, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, UL/cUL, WEEE",Black Black,20000000:1,1000:1,6.5 cm,LED,300 cd/mÂ²,"60.96 cm (24"")",16.77M,1920 x 1200 pixels,IPS,1.0,Unspecified,Yes,No,Full HD,Yes,,38.8 cm,Yes 13 cm,,50/60 Hz,100 - 240V,,2 2 2,8 8,Yes Yes,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",20 - 80%,0 - 40 Â°C,Yes,0 - 90Â°,0.270 x 0.270 mm,Yes Yes,0.2W,7.1W,Yes Yes,,14 ms,Yes,,-20 - 60 Â°C,1920 x 1200 (WUXGA),,-65 - 65Â°,Yes,No,Yes,-5 - 20Â°,No No,,100 x 100 mm,1.0,51.84 cm,32.4 cm,178Â°,178Â°,Yes,4.64 kg,55.5 cm,,,,1.0,,,9.8 kg 9.8 kg,28.6 cm 28.6 cm,45.7 cm 45.7 cm,63.2 cm 63.2 cm,,3W 3W 3W,,4.0,No,24.4 cm,555 x 244 x 550 mm,61 cm,Yes,Yes,518.4 x 324 mm 518.4 x 324 mm,Gold,,55 cm,,30000h 30000h,,0 - 12192m,Yes Yes,0 - 3658m,632 x 286 x 457 mm,Yes,,,,Yes,6.97 kg,55.5 cm,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64 Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64",24 - 94 kHz,48 - 85 Hz,1.0,Black Black,,61 cm,14W,Yes Yes,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,No No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digital Digital,,,SmartImage SmartImage,25% 25%,,,,,,,,,,,,,,,,,
,ASUS PB248Q PROFESSIONAL RANGE  24.1 INCH IPS  LED  1920 X 1200  6MS  MULTIMEDIA  VGA  DVI  HDMI  DISPLAY - MBE,,16:10,,,,No No No,,,Kensington Kensington,,,"Energy StarÂ®, BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, ISO-9241-307, J-MOSS, PSB, RoHS, TCO6.0, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7), NOM",Black Black,80000000:1,,6.2 cm,,300 cd/mÂ²,"61.21 cm (24.1"")",16.77M,1920 x 1200 pixels,IPS,1.0,,Yes,,Full HD,Yes,1.0,36.28 cm,Yes,,50/60 Hz,100 - 240V,,,,,,,,,,,,0.5W,65W,,,6 ms,,,,,,,,,,,No No,,100 x 100 mm,1.0,,,178Â°,178Â°,Yes,6.6 kg,55.72 cm,,,,1.0,,,,29.2 cm 29.2 cm,43.9 cm 43.9 cm,68.1 cm 68.1 cm,,,,,,23.5 cm,,,,Yes,,,,41.63 cm,,,,,,,,,,,,,,55.72 cm,,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEC MultiSync V463 - MBE,,16:9,,,,,Yes,,,"AC, DVI",,"CE, TUV, C-tick, FCC, VCCI",Black,,4000:1,6.51 cm,,350 cd/mÂ²,"116.84 cm (46"")",,1920 x 1080 pixels,,2.0,,Yes,Yes,Full HD,Yes,1.0,61.28 cm,,31.5 - 91.1 kHz,,,Yes,,,,,20 - 80%,0 - 40 Â°C,,,,Yes,0.5W,76W,,Yes,6.5 ms,,10 - 90%,-20 - 60 Â°C,"720 x 400, 720 x 576, 1280 x 960, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1280 x 768 (WXGA), 1280 x 800 (WXGA), 1400 x 1050 (SXGA+), 1600 x 1200 (UXGA), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)","1080i, 1080p, 480p, 576p, 720p",,,No,,,No,25.2 - 85 Hz,300 x 300 mm,,,,178Â°,178Â°,Yes,18900g,105.82 cm,,1.0,,,,,,,,,,20W,No,,,,,117 cm,,Yes,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,No,LED,,,,,,,,,,,,1018 x 573 mm,,,Yes,1.0,,,,,,,,,,,,,,,,,,,,,,,,"10, 100 Mbit/s",,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
,Samsung S32D850T - MBE,,16:9,Yes,,No,,No No No,,,"AC, DisplayPort, HDMI, USB AC, DisplayPort, HDMI, USB",,"FCC (USA): FCC Part 15, Subpart B class A, CE (Europe): EN55022, EN55024, VCCI (Japan): V-3 (CISPR22), KCC (Korea): KN22, KN24, C-Tick (Australia): AS/NZS3548 (CISPR22), CCC (China): GB 9254-2008, GB 17625.1-2003","Black, Titanic Black, Titanic",Mega Contrast,3000:1,6.85 cm,LED,300 cd/mÂ²,"81.28 cm (32"")",1073.7M,2560 x 1440 pixels,VA,,Unspecified,,No,Wide Quad HD,,1.0,44.1 cm,Yes 13 cm,,50/60 Hz,100 - 240V,Yes Yes,,,,,5 - 90%,0 - 50 Â°C,Yes,,0.27675 x 0.27675 mm,Yes Yes,0.5W,60W,Yes Yes,Yes Yes,5 ms,,,,2560 x 1440,,-30 - 30Â°,Yes,No,Yes,-5 - 20Â°,,,"100 x 100, 200 x 200 mm",,70.85 cm,39.85 cm,178Â°,178Â°,Yes,9.4 kg,74.13 cm,,,,1.0,,,17500g 17500g,35.6 cm 35.6 cm,53.7 cm 53.7 cm,86 cm 86 cm,,,,,No,28 cm,,,,,,,Yes,50 cm,,,,,Yes Yes,,,,,100W,,,12000g,74.13 cm,,,,1.0,,,,46W,Yes Yes,,,,,,,Yes Yes,,,,Yes,5.0,,,,,,,,,,,,,,,,,,3.5 mm,,,,,,,,,,,,,,"CB (EN): IEC 60950-1, UL (USA): UL 60950-1, KC (Korea): K60950-1, PSB (Singapore): IEC60950-1, TUV (Germany): EN60950-1, CCC (China): GB 4943-2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Viewsonic LED LCD VA2246-LED - MBE,Yes,,,,,No No No,No No No,,Kensington Kensington,,,,Black Black,1000:1,,4.83 cm,LED,250 cd/mÂ²,"54.61 cm (21.5"")",,1920 x 1080 pixels,LCD,1.0,,Yes,,No,No,,31.66 cm,No,,50/60 Hz,100 - 240V,,,,,,,,,,,,,,Yes Yes,,5 ms,,,,1920 x 1080 (HD 1080),,,,No,,,No No,,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,3.13 kg,50.96 cm,,,,,,,4.67 kg 4.67 kg,11.4 cm 11.4 cm,39.1 cm 39.1 cm,56.5 cm 56.5 cm,,,,,,19.76 cm,,,,Yes,,,,36.61 cm,,,,,,,,,,,,,3.48 kg,50.96 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elo TouchSystems 1940L - MBE,,16:9,,,,,,,,,,,Black Black,,1000:1,"3.81 cm (1.5"") 3.81 cm (1.5"") 3.9 cm",,225 cd/mÂ²,"48.26 cm (19"")",,1366 x 768 pixels,,1.0,,,,,,,"26.92 cm (10.6"") 26.88 cm 26.92 cm (10.6"")",,,50 Hz,110 - 240V,,,,Yes Yes,,20 - 80%,0 - 40 Â°C,,,,,2W,19W,,,5 ms,,10 - 90%,-20 - 60 Â°C,"720 x 400, 832 x 624, 1280 x 960, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 800 (WXGA), 1366 Ñ… 768, 640 x 480 (VGA), 800 x 600 (SVGA) 720 x 400, 832 x 624, 1280 x 960, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 800 (WXGA), 1366 Ñ… 768, 640 x 480 (VGA), 800 x 600 (SVGA)",,,,,,,,,75 x 75 mm,1.0,,,170Â°,160Â°,Yes,3.4 kg,"44.7 cm (17.6"") 44.7 cm 44.7 cm (17.6"")",,,,,Yes,,4.8 kg 4.8 kg,,,,,,,,,,,,,,,,,,,50000h 50000h,,,,,365 x 545 x 140 mm 365 x 545 x 140 mm,,,,,,,,,31.5 - 80 kHz,50 - 75 Hz,,,,,,,LCD,410 x 230 mm,AC AC,,,,,,,,,,,,,,,,,,,,,,,,,447 x 39 x 268.8 mm 447 x 39 x 268.8 mm,,,1 pc(s) 1 pc(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,LG 24MB35PY-B Monitor - MBE,Yes,16:9,,,,No No No,Yes Yes Yes,,Yes Yes,"AC, DVI, USB, VGA AC, DVI, USB, VGA",,,Black Black,5000000:1,1000:1,6.35 cm,LED,250 cd/mÂ²,"60.45 cm (23.8"")",16.77M,1920 x 1080 pixels,IPS,1.0,Unspecified,,,Full HD,Yes,1.0,34.3 cm,Yes 12 cm,30 - 83 kHz,50/60 Hz,100 - 240V,,2 2 2,,Yes Yes,,,,Yes,0 - 90Â°,0.275 x 0.275 mm,Yes Yes,0.3W,24W,Yes Yes,,5 ms,,,,1920 x 1080 (HD 1080),1080p,,,No,Yes,-5 - 20Â°,No No,56 - 75 Hz,100 x 100 mm,1.0,,,178Â°,178Â°,Yes,4.72 kg,56.9 cm,,,,,,,,,,,,2W 2W 2W,,2.0,,27.17 cm,,,,No,,Gold,,43.2 cm,,,,,Yes Yes,,,Yes,,,0.3W,,5.08 kg,56.9 cm,,,,1.0,,,,19W,Yes Yes,,,,,,,,,,,,,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Acer Essential V226HQLAbmd - MBE,Yes,16:9,,,,No No No,No No No,,,"AC, VGA AC, VGA",,TCO,Black Black,100000000:1,,20.68 cm,LCD,250 cd/mÂ²,"54.61 cm (21.5"")",16.77M,1920 x 1080 pixels,,,Unspecified,Yes,,Full HD,,,39.04 cm,,,,110 - 220V,,,,,,,,,,,,0.35W,19.5W,Yes Yes,,8 ms,,,,1920 x 1080 (HD 1080),,,,No,,,No No,,,1.0,,,178Â°,178Â°,,3.24 kg,50.8 cm,,,,,,,,,,,,,,,,,,54.6 cm,,No,,Gold,,,,,,,Yes Yes,,,,,,0.25W,,3.66 kg,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acer CB280HK - MBE,,16:9,,,No,,Yes Yes Yes,,,"AC, DVI AC, DVI",,,Black Black,100000000:1,,6.45 cm,LED,300 cd/mÂ²,"71.12 cm (28"")",16.77M,3840 x 2160 pixels,TN+Film,,Unspecified,Yes,No,4K Ultra HD,,1.0,38.18 cm,Yes,,,120 - 230V,,2 2 2,,,,,,,,,Yes Yes,,,Yes Yes,,1 ms,,,,3840 x 2160,,,,No,Yes,-5 - 35Â°,,,,,,,170Â°,160Â°,,,65.87 cm,,,,,,,,,,,,,,,No,24.47 cm,,71.1 cm,,No,,Gold,,55.85 cm,,,,,Yes Yes,,,,,,,,,65.87 cm,,,,,,,,,Yes Yes,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,DELL E Series E2414H - MBE,Yes,16:9,No,,No,No No No,No No No,,Yes Yes,"DVI, VGA DVI, VGA",,,Black Black,,1000:1,4.65 cm,LED,250 cd/mÂ²,"60.96 cm (24"")",16.77M,1920 x 1080 pixels,TN+Film,1.0,Unspecified,Yes,No,Full HD,Yes,,33.75 cm,No,,50/60 Hz,100 - 240V,,,,Yes Yes,,10 - 80%,0 - 40 Â°C,No,,0.27 x 0.27 mm,Yes Yes,0.5W,20W,Yes Yes,Yes Yes,5 ms,,5 - 90%,-20 - 60 Â°C,1920 x 1080 (HD 1080),1080p,,No,No,Yes,,No No,,100 x 100 mm,1.0,29.889 cm,53.136 cm,170Â°,160Â°,Yes,3 kg,57 cm,,,,,,,5.87 kg 5.87 kg,,,,,,,,No,16.42 cm,,60.97 cm,,Yes,,Gold,,41.83 cm,,,,0 - 10668m,Yes Yes,0 - 5000m,,,,30W,,,,57 cm,,,,,,,,,Yes Yes,,,,,,,Yes Yes,1 1,,,,,,,,,,,,,,,,No,,,Yes Yes,,,,,,,No No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5A,,,,,,,,,,,,,,,,,,,
No,Iiyama ProLite B2483HS-B1 - MBE,,16:9,,,,No No No,Yes Yes Yes,,Kensington Kensington,"AC, DVI, VGA AC, DVI, VGA",,,Black Black,5000000:1,1000:1,51.65 cm,LED,300 cd/mÂ²,"60.96 cm (24"")",16.77M,1920 x 1080 pixels,,1.0,Unspecified,Yes,,Full HD,Yes,1.0,23 cm,Yes 13 cm,30 - 80 kHz,50/60 Hz,100 - 240V,,,,,"CHI (TR), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS CHI (TR), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS",,,,,0.277 x 0.277 mm,,0.5W,24W,,Yes Yes,2 ms,,,,1920 x 1080 (HD 1080),,45 - 90Â°,,No,,5 - 22Â°,No No,55 - 75 Hz,100 x 100 mm,1.0,,,170Â°,170Â°,Yes,5.1 kg,56.55 cm,,,,,,,,,,,,4W 4W 4W,,,,,,61 cm,,Yes,,,,,Yes Yes,,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,NEC EA244WMi - MBE,Yes,16:10,,W-LED,No,No No No,No No No,,No No,,,TCO 5.2,Black Black,,1000:1,,LED,350 cd/mÂ²,"61.21 cm (24.1"")",16.77M,1920 x 1200 pixels,IPS,1.0,Unspecified,No,No,No,,1.0,,13 cm Yes,,,,,,,,,,,Yes,,,Yes Yes,,16W,,,14 ms,,,,1920 x 1200 (WUXGA),,,Yes,No,Yes,,Yes Yes,,No,1.0,,,178Â°,178Â°,No,,,,,,,,,,,,,,,,1.0,No,23 cm,,61.13 cm,,,,Gold,,40.89 cm,,,,,Yes Yes,,,,,29W,,,7.6 kg,55.62 cm,,,,1.0,,,,0.43W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 pc(s) 1 pc(s),,,No No,1.68 cm,1.79 cm,1.68 cm,,,,,,,,,,Horizontal Horizontal,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Acer Professional B196WLymdh - MBE,Yes,16:10,,,,No No No,Yes Yes Yes,,,,,TCO,Grey Grey,100000000:1,,,LCD,250 cd/mÂ²,"48.26 cm (19"")",,1440 x 900 pixels,,,Unspecified,Yes,,HD-ready,Yes,,,Yes,,,,,2 2 2,,,,,,,,,,,,Yes Yes,,5 ms,,,,1440 x 900,,,,No,,,No No,,,1.0,,,,,,,,,,,,,,,,,,,2W 2W 2W,,,,,,48.3 cm,,Yes,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo ThinkVision LT1423P - MBE,,16:9,,,,,,,,,,,Black Black,,500:1,1.27 cm,IPS,200 cd/mÂ²,"33.78 cm (13.3"")",,1600 x 900 pixels,,,,,,,,,22.544 cm,,,,,,,,,,10 - 80%,0 - 40 Â°C,,,,,,,,,35 ms,,,,,,,,,,,,,,,,,,150Â°,,850g,34.796 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LG 22MB65PM - MBE,,16:10,,,,No No No,Yes Yes Yes,,,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",,,Black Black,5000000:1,1000:1,,LED,250 cd/mÂ²,"55.88 cm (22"")",16.77M,1680 x 1050 pixels,TN,1.0,Unspecified,Yes,,Full HD,Yes,,,Yes,,47-63 Hz,90 - 264V,Yes Yes,2 2 2,14 14,Yes Yes,,,,Yes,,0.282 x 0.282 mm,,0.4W,21W,,,5 ms,,,,,,,,No,,,No No,,,1.0,47.386 cm,29.616 cm,170Â°,160Â°,Yes,,,,,,,,,,,,,,2W 2W 2W,,,,23.9 cm,,55.88 cm,,Yes,,,,37.9 cm,,,,,,,,Yes,,,0.3W,,4.7 kg,50.6 cm,,30 - 83 kHz,56 - 75 Hz,,Black Black,Yes Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Iiyama ProLite X2483HSU-1 - MBE,,16:9,Yes,,No,No No No,Yes Yes Yes,,Kensington Kensington,"AC, Audio (3.5mm), DVI, USB, VGA AC, Audio (3.5mm), DVI, USB, VGA",,"TCO, CE, TÃœV-GS, VCCI-B, PSE, CU",Black Black,5000000:1,3000:1,20.3 cm,LED,250 cd/mÂ²,"60.96 cm (24"")",16.77M,1920 x 1080 pixels,A-MVA,1.0,Unspecified,Yes,No,Full HD,Yes,1.0,41.2 cm,No,30 - 80 kHz,,,,2 2 2,10 10,Yes Yes,"CHI (SIMPL), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS CHI (SIMPL), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS",,,,,0.277 x 0.277 mm,,0.5W,27W,,Yes Yes,4 ms,Yes,,,1920 x 1080 (HD 1080),,,,No,Yes,-5 - 22Â°,No No,55 - 75 Hz,100 x 100 mm,1.0,53.14 cm,29.89 cm,178Â°,178Â°,Yes,3.3 kg,56.55 cm,,,,,,,,,,,,4W 4W 4W,,2.0,No,,,,,Yes,,,,,Yes Yes,,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,3.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEC MultiSync E171M - MBE,,5:4,,W-LED,,No No No,No No No,,,VGA VGA,,,White White,,1000:1,6.1 cm,LED,250 cd/mÂ²,"43.18 cm (17"")",16.77M,1280 x 1024 pixels,TN,1.0,Unspecified,Yes,,No,Yes,,32.05 cm,Yes,,,100 - 240V,Yes Yes,,,,,20 - 80%,5 - 35 Â°C,,,0.26 x 0.26 mm,,0.4W,12W,,Yes Yes,5 ms,,10 - 85%,-10 - 60 Â°C,1280 x 1024 (SXGA),,,,No,,,No No,,100 x 100 mm,1.0,,,170Â°,170Â°,Yes,3 kg,36.8 cm,,,,,,,,,,,,,,,,23 cm,,,,Yes,,Silver,,40.85 cm,,,,,,,,,,19W,,,4.2 kg,36.8 cm,,31.5 - 81.1 kHz,56 - 76 Hz,,,,,9W,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Benq GL2450 - MBE,,16:9,,,,No No No,No No No,,,,,TCO 5.0,Black Black,12000000:1,1000:1,17.912 cm,LED,250 cd/mÂ²,"60.96 cm (24"")",16.77M,1920 x 1080 pixels,TN+Film,1.0,Unspecified,Yes,,Full HD,Yes,,43.649 cm,,,,,,,,,,,,,,0.276 x 0.276 mm,,0.3W,34W,,,5 ms,,,,1920 x 1080 (HD 1080),,,,No,,-5 - 15Â°,No No,,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,4.1 kg,57.939 cm,,,,,,,5.6 kg 5.6 kg,42 cm 42 cm,65 cm 65 cm,13.4 cm 13.4 cm,,,,,,,579 x 63 x 350.98 mm,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP Z24i - MBE,,16:10,,,,No No No,No No No,,,,,,,5000000:1,1000:1,6.45 cm,LCD,300 cd/mÂ²,"60.96 cm (24"")",,1920 x 1200 pixels,IPS,1.0,Unspecified,Yes,,,Yes,,36.5 cm,12 cm Yes,24 - 94 kHz,,,,,,,,,,Yes,0 - 90Â°,0.27 x 0.27 mm,,0.5W,36W,,,8 ms,,,,,,-45 - 45Â°,Yes,No,Yes,-5 - 30Â°,No No,50 - 76 Hz,,1.0,,,178Â°,178Â°,Yes,4.73 kg,55.94 cm,,,,,,,,,,,,,,5.0,,23.79 cm,,60.96 cm,,Yes,,Gold,,52.5 cm,,,,,,,,,,,,,6.96 kg,55.94 cm,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,ASUS VB198TL PROFESSIONAL RANGE  19 INCH SQUARE  LED  TN  1280 X 1024  5MS  MULTIMEDIA  VGA  DVI   TILT - MBE,Yes,5:4,,,,No No No,Yes Yes Yes,No No No,Kensington Kensington,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",,,Black Black,50000000:1,,,LCD,250 cd/mÂ²,"48.26 cm (19"")",16.77M,1280 x 1024 pixels,,1.0,Unspecified,Yes,,,Yes,,,Yes,,,,,2 2 2,,,,,,,,0.294 x 0.294 mm,,,27W,,Yes Yes,5 ms,,,,1280 x 1024 (SXGA),,,Yes,,Yes,-5 - 15Â°,No No,,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,,,,,,,,,6.4 kg 6.4 kg,21 cm 21 cm,41 cm 41 cm,56.5 cm 56.5 cm,,2W 2W 2W,,,,21.4 cm,,48.3 cm,,,,,,46.6 cm,,,,,,,,Yes,,,0.2W,,4.7 kg,41.3 cm,,,,,,,,0.3W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
