<page title>,ac power in,altezza,altezza con supporto,altezza imballo,altoparlanti incorporati,angolo di visualizzazione orizzontale,angolo di visualizzazione verticale,blocco cavo,cavi inclusi,certificazione,classe efficienza energetica,colore del prodotto,colori del display,compatibile con montaggio vesa,compatibilità 3d,consumi,consumi modalità spento,consumi modalità standby,dimensioni schermo,dot pitch,formato,fotocamera integrata,guida rapida,hdcp,inclinazione,inclinazione regolabile,indicatore led alimentazione,interruttore integrato,intervallo di scansione verticale,larghezza,larghezza con supporto,larghezza imballo,led standby,luminosità schermo,manuale dellutente,modalità video supportate,montabile a parete,peso,peso incluso imballo,peso prodotto con supporto,plug play,porta dvi,profondità,profondità con supporto,profondità imballo,quantità porte vga dsub,range di scansione orizzontale,rapporto di contrasto,rapporto di contrasto dinamico,risoluzione,risoluzioni grafiche supportate,sintonizzatore tv integrato,sistema operativo windows supportato,tecnologia display,tempo di risposta,thin client installato,thin client thin client installato no,tipologia display,tipologia hd,voltaggio di ingresso,angolo di rotazione,certificazione energy star,conformità epeat,girevole,pivot angle,quantità displayports,quantità porte dvid,quantità porte usb 20,regolazione altezza,rotazione,source datasheet,thin client thin client installato n,altoparlante cuffia spinotto di uscita,area di visualizzazione effettiva,consumi modalità risparmio energetico,frequenza di ingresso,frequenza scansione orizzontale,frequenza scansione verticale,ingresso audio per pc,intervallo di temperatura,intervallo temperatura di funzionamento,lingue osd,mtbf,numero di altoparlanti,on screen display osd,potenza in uscita rms,schermo srgb,sync hv separato,syncongreen sog,umidità relativa,dimensioni schermo cm,mobile highdefinition link mhl,altre caratteristiche source datasheet,bluetooth,collegamento ethernet lan,colore del piede,dimensione visibile orizzontale,dimensione visibile verticale,guida utente su cdrom,indicatori led,lettore di schede integrato,quantità porte hdmi,range di umidità di funzionamento,wifi,cavo alimentazione incluso,dimensione visibile diagonale,thin client,tipologia di retroilluminazione,connessione wlan,dot rate video,microfono spinotto dingresso,tipi schede di memoria,alimentazione,angolo visuale,dimensioni imballo lxpxa,dimensioni lxpxa,conforme agli standard,consumi modalità attivo,consumo energetico max,ingresso audio,materiale riciclabile,connessione cuffia,quantità porte usb 30,subwoofer incorporato,uscita audio,performance,design colore del prodotto nero,altitudine di funzionamento,altitudine di nonfunzionamento,lunghezza cavo,numero di lingue osd,umidità,microfono incorporato,display surface,sistema operativo linux supportato,compatibilità sistema operativo mac,condizioni ambientali,dimensioni lxpxa con base,compatibilità elettromagnetica,sicurezza,certificati di sicurezza certificazione energy star si,numero di prodotti inclusi,quantità,hdmi,contenuto dellimballo cavi inclusi ac vga,adattatore acdc,pictureinpicture,funzione risparmio,miglioramento dellimmagine,posizionamento supportato,risoluzione massima,certificati di sicurezza,dcin jack,altre caratteristiche quantità 1 source datasheet,megapixel,interfaccia comune,cable lock slot type,capacità totale hard disk,famiglia processore,full hd,intel antitheft technology,intel hyperthreading technology,intel identity protection technology,intel my wifi technology,intel rapid start technology,intel small business advantage sba,intel smart connect technology,intel smart response technology,intel turbo boost technology,intel visual technologies,intel vpro technology,intel wireless display technology,megapixel totali,mouse incluso,numero di core del processore,processore,quantità porte ethernet lan rj45,ram installata,retroilluminazione a led,sistema operativo incluso,supporto di memoria,tecnologia touch,tipo di ram,touch screen,velocità processore,controllo del volume,consumo energia modalità economica,convenienza,dimensioni altoparlante centrale l x a x p,ingresso segnale,materiali della confezione riciclabili,peso contenzione inclusa,peso schermo con supporto,prodotto senza piedistallo kg,regulatory approvals,risoluzione consigliata,segnale ingresso sincronizz video,smartcontrast,specificazioni ambientali,supporto lingue,networking connessione wlan n collegamento ethernet lan n,tipo di prodotto,common interface plus ci,webcam girevole,altre caratteristiche,colore,connessioni audio,mhl specification,smartresponse
Philips Philips C221S3UCW C221S3UCW 00 Planet Computer.it,,323 mm,402 mm,461 mm,,160 °,150 °,Kensington,,RoHS,Non specificato,Bianco,16.77 M,100 x 100 mm,,10.3 W,,0.3 W,54.6 cm,0.248 x 0.248 mm,16:9,,,N,,Si,,Si,,507 mm,507 mm,565 mm,,150 cd/m²,,,Si,3.44 kg,5.13 kg,3.85 kg,Si,,59 mm,201 mm,131 mm,,,1000:1,,1920 x 1080 Pixels,,,,LCD/TFT,5 ms,,,LED,Full HD,100 - 120 V,,,Argento,Si,,,,1.0,70 mm Si,,.,,,,,50/60 Hz,,,,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), ENG, ESP, FRE, ITA, POR, RUS",30.000 h,,Si,,Si,,,,,,,,,Bianco,476.6 mm,268.1 mm,,Operation,,,20 - 80 %,,,,,W-LED,,,,,,,,,"EMC: CE Mark, IEC/EN60601-1-2 Safety: CE Mark, IEC/EN60601-1 Ergonomic/Others: JIS Z2801, WEEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lg Electronics LG 19MB15T 19MB15T-B.AEU Planet Computer.it,,"34,5 cm","34,5 cm","41,6 cm",,,,,,,,,,,,,,,,,,,,,,,,,,"40,6 cm","40,6 cm","47,3 cm",,,,,,"3,4 kg","5,1 kg","3,8 kg",,,"6,2 cm","9,4 cm","15,9 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 193V5LSB2 193V5LSB2 10 Planet Computer.it,,273 mm,338 mm,350 mm,N,90 °,65 °,Kensington,,"BSMI, CE Mark, cETLus, FCC B, GOST, PSB, SASO, SEMKO, TUV/ISO9241-307",Non specificato,Nero,16.77 M,100 x 100 mm,N,8.76 W,0.5 W,0.5 W,47 cm,0.30 x 0.30 mm,16:9,N,Si,N,-3 - 10 °,Si,Si,,56 - 75 Hz,437 mm,437 mm,481 mm,Si,200 cd/m²,Si,,Si,1.94 kg,3 kg,2.15 kg,Si,N,48 mm,170 mm,103 mm,1.0,30 - 83 kHz,700:1,10000000:1,1366 x 768 Pixels,1366 х 768,N,Si,,5 ms,N,,LED,HD-ready,100 - 240 V,,Si,Argento,,,,,,,,.,,,,,50/60 Hz,,,,-20 - 60 °C,0 - 40 °C,,30000 h,,Si,,Si,Si,Si,,,,"Thin Client
Thin client installato N",N,N,,409.8 mm,230.4 mm,,Si,,,20 - 80 %,,,,,W-LED,N,,,,,,,,,,,,,,,,,,,0 - 3658 m,0 - 12192 m,,,,,,Si,,,,,"RoHS, WEEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 272P4QPJKEB 272P4QPJKEB 00 Planet Computer.it,Si,405 mm,58 mm,234 mm,Si,178 °,178 °,Kensington,AC,"SMI, CE Mark, FCC B, GOST, SASO, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, UL/cUL",Non specificato,Nero,16.77 M,100 x 100 mm,N,39.2 W,,0.3 W,68.6 cm,0.233 x 0.233 mm,16:9,Si,Si,Si,-5 - 20 °,Si,Si,Si,56 - 75 Hz,639 mm,639 mm,750 mm,Si,300 cd/m²,Si,,Si,5.7 kg,11.35 kg,8.5 kg,Si,Si,64 mm,242 mm,490 mm,,30 - 90 kHz,1000:1,20000000:1,2560 x 1440 Pixels,2560 x 1440,N,Si,PLS,12 ms,N,,LED,,100 - 240 V,-65 - 65 °,Si,Oro,Si,0 - 90 °,1.0,,,Si 150 mm,Si,.,,1,,23 W,50/60 Hz,,,,-20 - 60 °C,0 - 40 °C,,,2.0,Si,4 W,Si,Si,Si,,,,,,N,,,,,Si,,2.0,20 - 80 %,,,,,W-LED,N,,,,,,,,,,,Si,,3.5 mm,3.0,,,,"Condizioni ambientali
Altitudine di non-funzionamento 0 - 12192 m
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %
Altitudine di funzionamento 0 - 3658 m",0 - 3658 m,0 - 12192 m,,,,,,Si,,,,,"RoHS, WEEE",,,,,,Si,,,,,,,,,2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gestione energetica
Frequenza di ingresso 50/60 Hz
Classe efficienza energetica Non specificato
Consumi (modalità stand-by) 0.3 W
Consumi (modalità risparmio energetico) 23 W
Voltaggio di ingresso 100 - 240 V
Consumi 39.2 W",PC monitor,,,,,,,
Philips Philips 241P4QPYES Display AMVA Full HD P-line 61 cm  24   Monitor LCD,Si,352 mm,518 mm,442 mm,Si,178 °,178 °,Kensington,,"BSMI, CE Mark, FCC B, GOST, SASO, SEMKO, TUV Ergo, TUV/GS, TCO 5.2, UL/cUL, WEEE",,Nero,16.77 M,100 x 100 mm,N,23.4 W,,0.1 W,61 cm,0.276 x 0.276 mm,16:9,,,Si,-5 - 20 °,,Si,Si,,565 mm,565 mm,605 mm,Si,250 cd/m²,,,Si,4.2 kg,8.8 kg,6.35 kg,Si,,55 mm,220 mm,252 mm,1.0,,5000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,Si,MVA,6 ms,,,LED,Full HD,100 - 240 V,-65 - 65 °,Si,Oro,,0 - 90 °,1.0,1.0,4.0,130 mm,Si,.,,1,,15 W,50/60 Hz,30 - 83 kHz,56 - 75 Hz,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",30000 h,2.0,Si,3 W,Si,Si,Si,,,,,,,,531.4 mm,298.9 mm,,,,,20 - 80 %,,,,,W-LED,,,,,,,,,,,,,,3.5 mm,,,,,,,,,8.0,,,,,Si,"Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %",,,RoHS,,1 pezzi,,,,,,Si,,Orizzontale/Verticale,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digitale,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC I2267FWH I2267FWH Planet Computer.it,,,,,,178°,178°,,,,,,"16,77M",,,,,,"54,62 cm","0,24795 x 0,24795 mm",16:9,,,Si,,,,,55 - 75 Hz,,,,,250 cd/m²,,1080p,,,,,,,,,,,30 - 83 kHz,,50000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,IPS,5 ms,,,LED,Full HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC E2460SD LED display E2460SD Planet Computer.it,Si,"40,305 cm",,"47,6 cm",No,170°,160°,No,,"FCC, cTUVus, CE, EPA5.1, CCC, China ROHS, CEL1, CQC",Non specificato,Nero,"16,77M",100 x 100 mm,No,18W,,"0,5W","60,97 cm","0,277 x 0,277 mm",16:9,No,,Si,-5 - 20°,Si,,Si,,"56,54 cm",,"62,1 cm",,250 cd/m²,,,Si,"4,44 kg","5,68 kg",,Si,,"21,93 cm",,"13,1 cm",1.0,,,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),No,,,5 ms,No,,LED,Full HD,110 - 240V,,,,No,,,1.0,,No,No,,,,,,50/60 Hz,30 - 83 kHz,55 - 76 Hz,,,,,,,Si,,,,,,,,,No,No,,"53,136 cm","29,889 cm",,,No,,,No,,,,,,170 MHz,,No,,,,,,,,No,,,,,No,,"Connettività
Ingresso audio No
Uscita audio No
Quantità porte VGA (D-Sub) 1
Quantità porte DVI-D 1
AC (power) in Si",,,,16.0,,No,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 273V5LHSB 273V5LHSB 00 Planet Computer.it,Si,398 mm,471 mm,482 mm,,170 °,160 °,Kensington,,"RoHS, Lead-free, Mercury Free",Non specificato,Nero,16.77 M,100 x 100 mm,,23.14 W,0.3 W,0.5 W,68.6 cm,0.311 x 0.311 mm,16:9,,,,,Si,,Si,56 - 75 Hz,646 mm,646 mm,698 mm,,300 cd/m²,,,Si,4 kg,6.17 kg,4.53 kg,Si,,57 mm,240 mm,139 mm,1.0,30 - 83 kHz,1000:1,10000000:1,1920 x 1080 Pixels,,,,LCD/TFT,5 ms,,,LED,Full HD,100 - 240 V,,Si,Argento,,,,,,,,.,,,,,50/60 Hz,,,,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), CZE, DEU, DUT, ENG, ESP, FIN, FRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",30.000 h,,Si,,Si,Si,Si,,,,,,,,597.88 mm,336.31 mm,,"Operation, Stand-by",,1.0,20 - 80 %,,,,,W-LED,,,,,,,,,"BSMI, CE Mark, FCC Class B, GOST, PSB, SASO, SEMKO, TCO certified, TUV/ISO9241-307, cETLus, WEEE",,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,"Condizioni ambientali
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lg Electronics LG 24M45HQ-B 24M45HQ-B.AEU Planet Computer.it,,"34,4 cm","44,5 cm","41,1 cm",No,170°,160°,Si,,,Non specificato,Nero,"16,77M",100 x 100 mm,No,21W,"0,3W","0,3W","59,94 cm (23.6"")","0,2715 x 0,2715 mm",16:9,No,,No,3 - 20°,Si,Si,Si,,"55,6 cm","55,6 cm","63,5 cm",Si,250 cd/m²,,1080p,Si,"2,7 kg",,3 kg,Si,No,"5,9 cm","18,8 cm","12,4 cm",1.0,,1000:1,5000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),No,,TN,5 ms,No,,LED,Full HD,,,,,,,,1.0,,No,,,,1,,,,,,,,,,,,Si,,,,,,,,"Thin Client
Thin client installato No",,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.5 mm,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 243V5LHAB 243V5LHAB 00 Planet Computer.it,Si,344 mm,420 mm,415 mm,Si,170 °,160 °,Kensington,,"RoHS, Lead-free, Mercury Free",Non specificato,Nero,16.77 M,100 x 100 mm,,19.18 W,0.3 W,0.5 W,60 cm,0.272 x 0.272 mm,16:9,,,,,Si,,Si,56 - 75 Hz,551 mm,551 mm,600 mm,,250 cd/m²,,,Si,3.22 kg,5 kg,3.66 kg,Si,Si,52 mm,220 mm,118 mm,1.0,30 - 83 kHz,1000:1,10000000:1,1920 x 1080 Pixels,,,,LCD/TFT,5 ms,,,LED,Full HD,100 - 240 V,,Si,Argento,,,,1.0,,,,.,,1,,,50/60 Hz,,,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",30.000 h,2.0,Si,4 W,Si,Si,Si,,,,,,,,521.28 mm,293.22 mm,,"Operation, Stand-by",,1.0,20 - 80 %,,,,,W-LED,,,,,,,,,"BSMI, CE Mark, cETLus, FCC Class B, GOST, PSB, SASO, SEMKO, TCO certified, TUV/ISO9241-307, WEEE",,,,,3.5 mm,,,,MTBF 30.000 h,"Altre caratteristiche
Quantità 1
Source data-sheet .",,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 19B4LCS5 19B4LCS5 00 Planet Computer.it,,61 mm,227 mm,159 mm,Si,170 °,160 °,Kensington,,,Non specificato,"Argento, Bianco",16.77 M,100 x 100 mm,,14 W,0.1 W,0.1 W,48.3 cm,0.294 x 0.294 mm,5:4,,,,5 - 20 °,Si,Si,,56 - 75 Hz,404 mm,404 mm,460 mm,Si,250 cd/m²,,,Si,2.71 kg,6.48 kg,4.61 kg,Si,Si,346 mm,506 mm,448 mm,1.0,30 - 83 kHz,1000:1,20000000:1,1280 x 1024 Pixels,,,,TFT,5 ms,,,LCD,,100 - 240 V,65 - 65 °,,Oro,Si,90 - 90 °,,1.0,,Si 110 mm,Si,.,,1,376.32 x 301.06 mm,,50/60 Hz,,,Si,-20 - 60 °C,0 - 40 °C,,30.000 h,2.0,,1.5 W,Si,,,,,,,,,Nero,,,,,,,20 - 80 %,,,,,,,,,,,,460 x 448 x 159 mm,,,14 W,,,25 %,,,,,MTBF 30.000 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC E2370SN E2370SN Planet Computer.it,,,,,,,,,,,,,"16,77M",,No,,,,"58,4 cm","0,265 x 0,265 mm",16:9,,,No,,,,,50 - 76 Hz,,,,,200 cd/m²,,1080p,,,,,,,,,,,30 - 83 kHz,600:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,TN,5 ms,,,LCD,Full HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,918 cm","28,642 cm",,,,,,,,,,W-LED,,,,,,,,,,,,,,,,,,,,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips S231C4AFD 00 S231C4AFD 00 Planet Computer.it,,"7,7 cm",,,Si,,,Si,,,,"Nero, Ciliega",,,,,,,"58,42 cm (23"")",,16:9,Si,,,,,,,,"56,3 cm",,,,250 cd/m²,,,Si,5 kg,"6,74 kg",,,,"39,3 cm",,,1.0,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,2.0,,,,,1,,,,,,,-20 - 60 °C,0 - 40 °C,,,,,4W,,,,,,,,N,Si,,,,,,Si,1.0,20 - 80%,,,,,,Si,,Si,"SD, SDHC, SDXC",,,623 x 463 x 125 mm,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,Kensington,8 GB,NVIDIA Tegra,Si,N,N,N,N,N,N,N,N,N,N,N,N,1 MP,N,4.0,T33,1.0,2 GB,Si,Android 4.2,Flash,Dual-touch,DDR3-SDRAM,Si,"1,6 GHz",,,,,,,,,,,,,,,,,Stazione di lavoro,,,,,,,
Samsung Samsung S27D390H LS27D390HS EN Planet Computer.it,,"37,63 cm","45,3 cm","43,7 cm",,178°,178°,,,,,,"16,77M",,No,,,,"68,58 cm (27"")",,,,,,,,,,,"62,52 cm","62,52 cm","69,4 cm",,300 cd/m²,,,,"4,3 kg",6 kg,"4,7 kg",,,"7,96 cm","20,98 cm","13,2 cm",,,1000:1,Contrasto Mega,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,PLS,5 ms,,,LED,Full HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC I2473PWM I2473PWM Planet Computer.it,,,,,,178°,178°,,,,,,"16,77M",,No,,,,"60,45 cm (23.8"")","0,2745 x 0,2745 mm",16:9,,,Si,,,,,50 - 76 Hz,,,,,250 cd/m²,,,,,,,,,,,,,30 - 83 kHz,1000:1,50000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,,5 ms,,,LED,Full HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,5 cm",Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Philips Philips 221P3LPYES P-line 54,6 cm  21,5   Monitor LED 221P3LPYES 00 Planet Computer.it",Si,323 mm,220 mm,,Si,176 °,170 °,Kensington,,RoHS,,Argento,16.77 M,100 x 100 mm,N,17.8 W,,0.5 W,"546.1 mm (21.5 "")",0.248 x 0.248 mm,16:9,N,,Si,-5 - 20 °,,Si,,56 - 75 Hz,507 mm,507 mm,,Si,250 cd/m²,,,Si,3.51 kg,7.43 kg,5.64 kg,Si,,59 mm,487 mm,,1.0,30 - 83 kHz,1000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,,,5 ms,N,,LCD,Full HD,100 - 240 V,-65 - 65 °,Si,Oro,,0 - 90 °,1.0,1.0,4.0,Si 130 mm,Si,.,,1,,13.5 W,50/60 Hz,,,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",30000 h,2.0,Si,3 W,Si,Si,Si,20 - 80 %,,,,,,,,,,,,,,,,,,,,,,,,,565 x 377 x 262 mm,,,,,,,3.5 mm,,,,,,,,,9.0,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000:1,,,,,,,,,,,
Benq Benq BL2211M 9H.LATLA.TPE Planet Computer.it,,414 mm,,,Si,170 °,160 °,,,Windows 8,Non specificato,Nero,,100 x 100 mm,N,26 W,,,"558.8 mm (22 "")",0.28 x 0.28 mm,16:10,N,,Si,-5 - 20 °,Si,,,,522.15 mm,,,,250 cd/m²,,,Si,4.2 kg,5.3 kg,,,Si,183.94 mm,,,1.0,,1000:1,12000000:1,1680 x 1050 Pixels,1680 x 1050 (WSXGA+),N,Si,TN+Film,5 ms,N,,LED,HD-ready,90 - 264 V,,,,N,,,,,N,N,,"Altre caratteristiche
Cavo alimentazione incluso Si
Quantità 1",1,,0.3 W,,,,,,,,,1.0,Si,2 W,,,,,,N,,N,N,,,,,Si,N,,,,Si,,,,N,,,,,,,,TCO 6.0,,,Si,,,,N,,,,,,,17.0,,N,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 241P4QRYES 241P4QRYES 00 Planet Computer.it,,353 mm,521 mm,422 mm,,178 °,178 °,,,,,,16.77 M,,,,,,61 cm,0.276 x 0.276 mm,16:9,,,Si,,,,,56 - 75 Hz,565 mm,565 mm,626 mm,,250 cd/m²,,,,3.1 kg,7.93 kg,5.3 kg,,,61 mm,220 mm,273 mm,,30 - 83 kHz,3000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,A-MVA,12 ms,,,LCD,Full HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W-LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hp Hewlett Packard HP Z30i D7P94A4 ABB Planet Computer.it,,"44,98 cm","60,1 cm",,No,178°,178°,Kensington,"DisplayPort, DVI, USB","CE, CB, CEL, KC, KCC, NOM, PSB, Ghiaccio, TUV-S, CCC, CECP, SEPA, TCO 6.0, EPA, ISC, VCCI, FCC, HSMI",Non specificato,Nero,"16,77M",,No,85W,,"0,5W","75,78 cm","0,250 x 0,250 mm",16:10,No,Si,Si,-5 - 20°,Si,Si,Si,60 - 70 Hz,"69,03 cm","69,03 cm",,Si,350 cd/m²,Si,,Si,"7,56 kg","13,73 kg","9,96 kg",Si,Si,"6,63 cm","26,64 cm",,1.0,31 - 80 kHz,1000:1,5000000:1,2560 x 1600 Pixels,,No,Si,IPS,8 ms,No,"Performance
Sistema operativo Windows supportato Si
Sistema operativo Linux supportato Si",LED,,100 - 240V,-45 - 45°,Si,Oro,Si,0 - 90°,1.0,1.0,,Si 12 cm,Si,,,,,,50/60 Hz,24 - 98 kHz,50 - 70 Hz,,-20 - 60 °C,5 - 40 °C,,,,Si,,,,,,,,,,No,,,,,Si,,1.0,20 - 80%,,,,,W-LED,No,,,,,,,,,,125W,,,,5.0,,,,"Multimedia
Sintonizzatore TV integrato No
Altoparlanti incorporati No
Fotocamera integrata No",,,,,10 - 85%,,,Si,,,,,,,,,,,Si,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 221S3LCB 221S3LCB 00 Planet Computer.it,,323 mm,400 mm,466 mm,N,176 °,170 °,Kensington,,RoHS,,Nero,16.77 M,100 x 100 mm,N,16.81 W,0.1 W,0.1 W,54.6 cm,0.248 x 0.248 mm,16:9,N,,Si,-5 - 20 °,Si,Si,,56 - 75 Hz,507 mm,507 mm,565 mm,Si,250 cd/m²,,,Si,3.46 kg,6.67 kg,4.83 kg,Si,,59 mm,220 mm,175 mm,1.0,30 - 83 kHz,1000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,,,5 ms,N,,LCD,Full HD,100 - 240 V,-65 - 65 °,Si,Argento,Si,,,1.0,,Si 70 mm,N,.,"Altre caratteristiche
Source data-sheet .
Miglioramento dell'immagine SmartImage",,,15.43 W,50/60 Hz,,,,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",30000 h,,Si,,Si,Si,Si,20 - 80 %,,,,,,,476.6 mm,268.1 mm,,,,,,,,,,W-LED,,,,,,,,,"BSMI, CE Mark, FCC Class B, GOST, SEMKO, TCO 5.1, TUV Ergo, TUV/GS, UL/cUL",,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,SmartImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benq Benq VW2245Z 9H.LAHLA.RPE Planet Computer.it,,,,,,178°,178°,,,,,,"16,77M",,No,,,,"54,61 cm (21.5"")","0,248 x 0,248 mm",16:9,,,Si,,,,,,,,,,250 cd/m²,,,,,,,,,,,,,,3000:1,2000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,LCD,25 ms,,,LED,Full HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
