<page title>,adjustable display angle,adjustable display height,adjustable display pivot,aspect ratio,backlight technology,brand name,brightness,colour,colour support,contrast ratio,dvi,green compliance certificateauthority,green compliant,hdcp supported,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,maximum adjustable height,maximum resolution,number of screens,offmode power consumption,operating power consumption,package contents,panel technology,product model,product name,product series,product type,response time,screen mode,screen size,standard refresh rate,standby power consumption,swivel angle,tilt angle,vertical viewing angle,vesa mount compatible,vga,certifications standards,depth,depth with stand,features,height,height with stand,mount type,platform supported,recycled,recycled content,vesa mount standard,weight approximate,weight with stand approximate,width,width with stand,builtin devices,displayport,product line,screen surface,usb,usb standard,speakers,webcam,hdmi,component video,composite video,svideo,display orientation,energy consumption per year,energy efficiency class,full product specifications,number of speakers,postconsumerwaste,headphone,3d type,packaged quantity,network rj45,horizontal frequency,sdi,sdi standard,environmentconscious and reliable,flexible viewing and connectivity options,impressive screen clarity,country of origin,additional information,superb performance,versatile connections,system requirements,thunderbolt
"274E5QHSB/00, 2711318, Philips, LCD Monitor, IML Direct Italy",,,,16:9,LED,Philips,250 cd/m²,Glossy Black,,"20,000,000:1",No,,,,178°,,,Philips Electronics,274E5QHSB/00,,1920 x 1080,1.0,,,,In-plane Switching (IPS) Technology,274E5QHSB,274E5QHSB Widescreen LCD Monitor,,LCD Monitor,7 ms,Full HD,"68.6 cm (27"")",,,,,178°,,,,,,Mobile High-Definition Link (MHL),,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.VG7EE.005, ACEG237HLBI, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,Acer,250 cd/m²,Black,16.7 Million Colours,"100,000,000:1",,MPR II,Yes,,178°,220 V AC 110 V AC,2 Year,"Acer, Inc",UM.VG7EE.005,,1920 x 1080,1.0,450 mW,25 W,G237HL Widescreen LCD Monitor1 x VGA CablePower Cord,In-plane Switching (IPS) Technology,G237HL,G237HL Widescreen LCD Monitor,G,LCD Monitor,6 ms,Full HD,"58.4 cm (23"")",,490 mW,No,-5°to15°,178°,,Yes,,,185 mm,CrystalBrite,,402 mm,,,,,,,,,532 mm,,,,,,,,,Yes,,,,,31 kWh,A,,,,,,,,,,,,,,,,,,,
"C9F26AA#ABB, HP, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,HP,250 cd/m²,Black,,"1,000:1",Yes,EPEAT Gold TCO Certified Displays ENERGY STAR,Yes,Yes,170°,220 V AC 110 V AC,3 Year,Hewlett-Packard,C9F26AA#ABB,,1600 x 900,1.0,,22 W,"ProDisplay P201 50,8 cm (20'') LED Backlit Monitor (C9F26AA)VGA CableDVI CableAC PowerPrinted Documentation and CD",,P201,"ProDisplay P201 50,8 cm (20'') LED Backlit Monitor",,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",,500 mW,,,160°,Yes,Yes,,47.5 mm,151.10 mm,Security Lock,294.1 mm,359.20 mm,,,,,100 x 100,3.50 kg,,482 mm,482 mm,,,Essential,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"F0W81AA#ABU, 943AFNZ, HP, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:10,LED,HP,250 cd/m²,Silver,,"5,000,000:1",Yes,WEEE TCO Certified Edge TCO Certified Displays REACH ENERGY STAR EPEAT Gold,Yes,Yes,178°,220 V AC 110 V AC,3 Year,Hewlett-Packard,F0W81AA#ABU,,1920 x 1200,1.0,,40 W,"EliteDisplay E241i 61 cm (24'') IPS LED Backlit Monitor (ENERGY STAR) VGA Cable USB Cable DisplayPort Cable AC Power Cable Printed Documentation and CD (User Guide, Warranty and Drivers) HP Display Assistant Software",In-plane Switching (IPS) Technology,E241i,EliteDisplay E241i 61 cm (24'') IPS LED Backlit Monitor (ENERGY STAR),,LCD Monitor,8 ms,WUXGA,"61 cm (24"")",,500 mW,180°,-5°to30°,178°,,Yes,,55 mm,276.20 mm,Security Lock,362.6 mm,516.56 mm,,,,,,,6.58 kg,556 mm,556 mm,USB Hub,Yes,Business,Anti-glare,Yes,USB 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VE248H, ASUCAS048, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,Asus,250 cd/m²,Black,16.7 Million Colours,"10,000,000:1",Yes,ENERGY STAR,,Yes,170°,,,ASUS Computer International,VE248H,,1920 x 1080,1.0,,34 W,,,VE248H,VE248H Widescreen LCD Monitor,VE,LCD Monitor,2 ms,Full HD,"61 cm (24"")",76 Hz,990 mW,,,160°,Yes,Yes,,201 mm,,,409.7 mm,,Wall Mountable,PC,,,100 x 100,4.40 kg,,569.4 mm,,,,,,,,Yes,,Yes,,,,,,,,2.0,,,,,,,,,,,,,,,,,
"233V5LSB/00, 2788642, Philips, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,Philips,250 cd/m²,Black,16.7 Million Colours,"1,000:1",Yes,WEEE RoHS TCO Certified Displays ENERGY STAR 6.0 EPEAT Silver,Yes,Yes,170°,110 V AC 220 V AC,,Philips Electronics,233V5LSB/00,,1920 x 1080,1.0,500 mW,20.11 W,,,233V5LSB,LCD Monitor with SmartControl Lite,,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",60 Hz,500 mW,,,160°,Yes,Yes,BSMI CE Mark cETLus FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307,53 mm,219 mm,SmartContrast Security Lock Sync on Green,340 mm,416 mm,,PC Mac,,,100 x 100,3.13 kg,3.50 kg,547 mm,547 mm,,,V-line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C9V75AA#ABU, HP, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,HP,250 cd/m²,Black,,"1,000:1",Yes,TCO Certified Edge ENERGY STAR EPEAT Gold REACH,Yes,Yes,170°,220 V AC 110 V AC,3 Year,Hewlett-Packard,C9V75AA#ABU,,1920 x 1080,1.0,,36 W,"EliteDisplay E231 58,4 cm (23'') LED Backlit Monitor (C9V75AA) VGA cable DisplayPort cable USB cable AC power cable Printed documentation and CD HP DisplayAssistant software",,E231,"EliteDisplay E231 58,4 cm (23'') LED Backlit Monitor",Advantage,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,500 mW,,,160°,,Yes,,51 mm,242.40 mm,Security Lock,329 mm,469.90 mm,Desk Mountable,PC,,,,6.10 kg,,544 mm,544 mm,USB Hub,Yes,Business,Anti-glare,Yes,USB 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"190SL1SB/00, 2568288, Philips, LCD Monitor, IML Direct Italy",,,,16:10,LED,Philips,250 cd/m²,Black,,"20,000,000:1",Yes,,,,,,3 Year,Philips Electronics,190SL1SB/00,,1440 x 900,1.0,,,,,190SL1SB,190SL1SB Widescreen LCD Monitor,S,LCD Monitor,5 ms,WXGA+,"48.3 cm (19"")",,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"231P4QPYEB/00, PHI231P4QPYEB, Philips, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Philips,250 cd/m²,Black,16.7 Million Colours,"1,000:1",Yes,ENERGY STAR 5.0 TCO Certified Displays 5.2 WEEE TCO Certified Edge RoHS EPEAT Gold,Yes,Yes,178°,220 V AC 110 V AC,,Philips Electronics,231P4QPYEB/00,,1920 x 1080,1.0,,29.10 W,,In-plane Switching (IPS) Technology,231P4QPYEB,"LCD Monitor, LED Backlight with PowerSensor",P,LCD Monitor,7 ms,Full HD,"58.4 cm (23"")",60 Hz,300 mW,,,178°,Yes,Yes,GOSTSASOSEMKOTUV ErgoTUV/GSUL/cULBSMICEFCC Class B,60 mm,220 mm,Security Lock SmartImage PowerSensor SmartErgoBase,343 mm,515 mm,,Mac PC,Yes,Plastic,100 x 100,3.09 kg,5.23 kg,547 mm,547 mm,USB Hub Speaker,Yes,Brilliance,,Yes,USB 2.0,Yes,,,,,,,,,,2.0,65%,Yes,,,,,,,,,,,,,,,
"UM.HB0EE.A01, 3168195, Acer, LCD Monitor, IML Direct Italy",,,,16:9,LED,Acer,300 cd/m²,Black,16.7 Million Colours,"1,000:1",,EPEAT Gold TCO Certified Displays 6.0,Yes,,,,2 Year,"Acer, Inc",UM.HB0EE.A01,,1920 x 1080,1.0,350 mW,29 W,XB270H Widescreen LCD Monitor1 x DisplayPort CablePower Cord1 x USB 3.0 Cable,Twisted Nematic Film (TN Film),XB270H,XB270H Widescreen LCD Monitor,X,LCD Monitor,1 ms,Full HD,"68.6 cm (27"")",,450 mW,,-5°to35°,,,,,61.8 mm,244.70 mm,,380.9 mm,558.10 mm,,,,,,,,639.7 mm,639.70 mm,,Yes,,,,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"C9F26AT#ABU, HP, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,HP,250 cd/m²,,,"1,000:1",Yes,REACH WEEE TCO ENERGY STAR EPEAT Gold,Yes,Yes,170°,220 V AC 110 V AC,3 Year,Hewlett-Packard,C9F26AT#ABU,,1600 x 900,1.0,,22 W,"ProDisplay P201 50,8 cm (20'') LED Backlit MonitorVGA CabeDVI CableAC Power CablePrinted Documentation and CD",,P201,ProDisplay P201 20-inch LED Backlit Monitor,,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",,500 mW,,,160°,Yes,Yes,,47.5 mm,151.10 mm,Security Lock,294.1 mm,359.20 mm,Desk Mountable Arm-mountable,,,,100 x 100,3.50 kg,,482 mm,482 mm,,,Business,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"278C4QHSN/00, Philips, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,Philips,250 cd/m²,,16.7 Million Colours,"1,000:1",,ENERGY STAR 5.0 EPEAT Silver TCO Certified Displays 5.2 WEEE RoHS,Yes,,178°,220 V AC 110 V AC,,Philips Electronics,278C4QHSN/00,,1920 x 1080,1.0,300 mW,28.20 W,,In-plane Switching (IPS) Technology,278C4QHSN,Brilliance LCD Monitor with Ambiglow,,LCD Monitor,7 ms,Full HD,"68.6 cm (27"")",60 Hz,400 mW,,,178°,,Yes,BSMICEFCC Class BGOSTSASOSEMKOTUV/ISO9241-307UL/cUL,44 mm,197 mm,Ambiglow SmartTxt SmartKolor SmartImage Security Lock,376 mm,471 mm,,PC Mac,,,,5 kg,5.44 kg,623 mm,623 mm,,,Brilliance,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"9H.LC8LA.RBE, 3095515, BenQ, LCD Monitor, IML Direct Italy",Yes,No,,16:9,LED,BenQ,300 cd/m²,Glossy Black,16.7 Million Colours,"12,000,000:1",Yes,,,Yes,170°,220 V AC 110 V AC,3 Year,BenQ Corporation,9H.LC8LA.RBE,,1920 x 1080,1.0,,29 W,GL2760H Widescreen LCD Monitor VGA Cable,Twisted Nematic Film (TN Film),GL2760H,GL2760H Widescreen LCD Monitor,GL,LCD Monitor,2 ms,Full HD,"68.6 cm (27"")",,,,-5°to20°,160°,Yes,Yes,,215 mm,,Flicker-free Senseye 3,488 mm,,Wall Mountable,PC,,,100 x 100,5.40 kg,,641 mm,,,,,,No,,No,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,
"E2283HS-B1, II-E2283HS-B1, Iiyama, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,iiyama,250 cd/m²,Black,16.7 Million Colours,"5,000,000:1",Yes,TCO Certified Displays ENERGY STAR EPEAT Silver,Yes,Yes,170°,230 V AC 120 V AC,3 Year,"iiyama North America, Inc",E2283HS-B1,,1920 x 1080,1.0,,21 W,ProLite E2283HS Widescreen LCD Monitor Power Cable VGA Cable DVI-D Cable Audio Cable Stand Quick Start Guide Safety Guide,Twisted Nematic Film (TN Film),E2283HS,ProLite E2283HS Widescreen LCD Monitor,,LCD Monitor,2 ms,Full HD,"55.9 cm (22"")",75 Hz,500 mW,160°,5°to22°,160°,Yes,Yes,CE TUV-GS VCCI-B CU ISO-9241-307:2008,193 mm,,Flicker-free Display Power Management Signaling (DPMS) Security Lock OverDrive,382.5 mm,,,Mac PC,,,100 x 100,3 kg,,505.5 mm,,Speaker,,ProLite,,,,Yes,,Yes,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"UM.BV6EE.001, ACEV176LB, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,5:4,LED,Acer,250 cd/m²,Black,16.7 Million Colours,"100,000,000:1",,TCO Certified Displays 6.0 EPEAT Gold,Yes,,170°,220 V AC 110 V AC,3 Year,"Acer, Inc",UM.BV6EE.001,No,1280 x 1024,1.0,350 mW,13 W,V176L LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),V176L,V176L LCD Monitor,V,LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",75 Hz,450 mW,No,-5°to25°,160°,Yes,Yes,,55 mm,191 mm,,308.7 mm,394.50 mm,,,,,100 x 100,2.20 kg,2.60 kg,369 mm,369 mm,,,,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C1911S-B3, 2378689, Iiyama, LCD Monitor, IML Direct Italy",Yes,,,5:4,LED,iiyama,250 cd/m²,Black,16.7 Million Colours,"1,000:1",,,,,170°,220 V AC 110 V AC,2 Year,"iiyama North America, Inc",C1911S-B3,,1280 x 1024,1.0,,19 W,CCTV ProLite C1911S-3 LCD MonitorPower CableD-Sub CableBNC-RCA AdapterStandQuick Start Guide,,C1911S-3,CCTV ProLite C1911S-3 LCD Monitor,,LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",75 Hz,1 W,,,160°,Yes,Yes,CETUV/BauartCU,200.5 mm,,Security Lock,431.5 mm,,,Mac PC,,,100 x 100,3.90 kg,,407 mm,,Speaker,,ProLite,,,,Yes,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
"D9E49AA#ABB, HP, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,HP,250 cd/m²,Black,,"1,000:1",Yes,ENERGY STAR WEEE TCO Certified Edge EPEAT Gold REACH,Yes,Yes,178°,220 V AC 110 V AC,3 Year,Hewlett-Packard,D9E49AA#ABB,,1920 x 1080,1.0,,42 W,"EliteDisplay E221c 54,6 cm (21.5'') Webcam LED Backlit Monitor VGA Cable DisplayPort Cable USB Cable AC Power Cord Printed Documents and CD HP Software DisplayAssistant",In-plane Switching (IPS) Technology,E221c,"EliteDisplay E221c 54,6 cm (21.5'') Webcam LED Backlit Monitor",Advantage,LCD Monitor,7 ms,Full HD,"54.6 cm (21.5"")",,400 mW,,,178°,,Yes,,51 mm,237 mm,Security Lock,309 mm,460 mm,,PC,,,,,5.40 kg,509 mm,509 mm,Microphone Speaker Webcam USB Hub,Yes,Business,Anti-glare,Yes,USB 2.0,Yes,Yes,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
"CDX4650-L, B921374, ViewSonic, LCD Monitor, IML Direct Italy",,,,16:9,LED,Viewsonic,700 cd/m²,,,"4,000:1",Yes,,,,178°,,,Viewsonic Corporation,CDX4650-L,,1920 x 1080,1.0,,220 W,,,CDX4650-L,"46"" Full HD LED Commercial Display",,LCD Monitor,6.50 ms,Full HD,"116.8 cm (46"")",,,,,178°,Yes,Yes,,127 mm,330.20 mm,Picture in Picture Video Wall Digital Signage Ready,579.1 mm,622.30 mm,,,,,200 x 400,24.31 kg,25.99 kg,1023.6 mm,1023.62 mm,Speaker,,,Anti-glare,,,Yes,,Yes,Yes,Yes,Yes,,,,,2.0,,,,,Yes,,,,,,,,,,,,
"UM.HB6EE.A01, 2927473, Acer, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Acer,350 cd/m²,Dark Grey,16.7 Million Colours,"100,000,000:1",Yes,EPEAT Gold TCO Certified Displays 6.0,Yes,,178°,110 V AC 220 V AC,3 Year,"Acer, Inc",UM.HB6EE.A01,150 mm,2560 x 1440,1.0,350 mW,32.80 W,B276HUL Widescreen LCD Monitor1 x DVI Cable1 x DisplayPort Cable1 x USB 3.0 CablePower Cord,Advanced Hyper Viewing Angle (AHVA),B276HUL,B276HUL Widescreen LCD Monitor,B,LCD Monitor,6 ms,WQHD,"68.6 cm (27"")",60 Hz,490 mW,60°,-5°to35°,178°,,,,62 mm,247 mm,,381 mm,558 mm,,,,,,6 kg,8.51 kg,640 mm,640 mm,USB Hub,Yes,,Anti-glare,Yes,USB 3.0,Yes,,Yes,,,,,66 kWh,C,,,,,,,,,,,,,,,,,,,
"9H.LAHLA.RPE, 3139268, BenQ, LCD Monitor, IML Direct Italy",,,,16:9,LED,BenQ,250 cd/m²,Black,16.7 Million Colours,"20,000,000:1",Yes,,,Yes,178°,230 V AC 120 V AC,,BenQ Corporation,9H.LAHLA.RPE,,1920 x 1080,1.0,,,,Vertical Alignment (VA),VW2245Z,VW2245Z Widescreen LCD Monitor,V40,LCD Monitor,6 ms,Full HD,"54.6 cm (21.5"")",,,,,178°,,Yes,,40.3 mm,178.50 mm,Eye-Care Flicker-free Senseye 3 Reading Mode M-book Mode Eco Mode Advanced Motion Accelerator (AMA) Security Lock,302.8 mm,382.20 mm,Wall Mountable,PC,,,,2.70 kg,,506 mm,506 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9H.L5FLA.RBE, 3185181, BenQ, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,5:4,LED,BenQ,250 cd/m²,Black,16.7 Billion Colors,"12,000,000:1",Yes,TCO Displays 5.0,Yes,Yes,170°,,,BenQ Corporation,9H.L5FLA.RBE,130 mm,1280 x 1024,1.0,,25.80 W,,Twisted Nematic Film (TN Film),BL902TM,BL902TM LCD Monitor,BL,LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",,,45°,-5°to20°,160°,Yes,Yes,,222.6 mm,,Security Lock Senseye 3 Eye-Care Flicker-free Ultra Flexible,419.2 mm,,Wall Mountable,PC,Yes,Plastic,100 x 100,5.10 kg,,432.4 mm,,Speaker,,,Matte Anti-glare,,,Yes,,,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"UM.VB6EE.009, 3009345, Acer, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Acer,250 cd/m²,Dark Grey,16.7 Million Colours,"100,000,000:1",Yes,EPEAT Gold TCO Certified Displays 6.0,Yes,,178°,110 V AC 220 V AC,3 Year,"Acer, Inc",UM.VB6EE.009,,1920 x 1080,1.0,350 mW,21.90 W,B236HL Widescreen LCD Monitor1 x DVI Cable1 x VGA CablePower Cord,In-plane Switching (IPS) Technology,B236HL,B236HL Widescreen LCD Monitor,B,LCD Monitor,6 ms,Full HD,"58.4 cm (23"")",60 Hz,450 mW,60°,-5°to35°,178°,,Yes,,52 mm,221 mm,,325 mm,530 mm,,,,,,3.50 kg,6.20 kg,544 mm,544 mm,,,,Anti-glare,,,Yes,,Yes,,,,,36 kWh,B,,,,,,,,,,,,,,,,,,,
"272G5DYEB/00, 3222486, Philips, LCD Monitor, IML Direct Italy",,,,16:9,LED,Philips,300 cd/m²,Textured Black,16.7 Million Colours,"1,000:1",,TÜV RoHS EPEAT Silver ENERGY STAR 6.0 WEEE,Yes,,,,2 Year,Philips Electronics,272G5DYEB/00,,1920 x 1080,1.0,,27.50 W,,,272G5DYEB,"Brilliance LCD Monitor with NVIDIA G-SYNC 272G5DYEB G-line 144Hz 27"" / 68.6cm",,LCD Monitor,1 ms,Full HD,"68.6 cm (27"")",,,,,,Yes,,,64 mm,242 mm,,405 mm,580 mm,,,,,,5 kg,7.80 kg,639 mm,639 mm,,Yes,Brilliance,,Yes,,,,,,,,,,,Click to view,,,,3D Ready,,,,,,,,,,,,,,
"273E3LHSB/00, Philips, LCD Monitor, IML Direct Italy",,,,16:9,LED,Philips,390 cd/m²,Black,,"20,000,000:1",Yes,,,,176°,,,Philips Electronics,273E3LHSB/00,,1920 x 1080,1.0,,,,,273E3LHSB,273E3LHSB Widescreen LCD Monitor,,LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",,,,,170°,,Yes,,,,,,,,,,,,,,,,Speaker,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"B7M13AA#UUZ, HP, LCD Monitor, IML Direct Italy",Yes,No,,16:9,LED,HP,200 cd/m²,Black,16.77 Million Colors,600:1,Yes,WEEE REACH EPEAT Silver ENERGY STAR,Yes,Yes,90°,220 V AC 110 V AC,1 Year,Hewlett-Packard,B7M13AA#UUZ,,1366 x 768,1.0,,24 W,"W1972a 47 cm (18.5"") LED Backlit LCD Monitor VGA Cable Audio Cable Power Cord",,W1972a,"W1972a 47 cm (18.5"") LED Backlit LCD Monitor",Value,LCD Monitor,5 ms,HD,"47 cm (18.5"")",76 Hz,500 mW,,,50°,,Yes,,47.5 mm,170.20 mm,Security Lock,281.5 mm,339.50 mm,,,,,,,2.70 kg,446.1 mm,446.10 mm,Speaker,,Business,Anti-glare,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
"HL205DPB, V320093, Hannspree, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,Hanns.G,250 cd/m²,Textured Black,16.7 Million Colours,"1,000:1",Yes,ENERGY STAR 6.0 TCO Certified Displays 6.0,Yes,Yes,170°,220 V AC 110 V AC,3 Year,"Hannspree, Inc",HL205DPB,,1600 x 900,1.0,500 mW,20 W,HL205DPB Widescreen LCD Monitor Power Cable(1.5m) VGA Cable(1.5m) User Manual(CD) Quick Start Guide(Paper),,HL205DPB,HL205DPB Widescreen LCD Monitor,HL,LCD Monitor,5 ms,HD+,"49.5 cm (19.5"")",60 Hz,500 mW,,,160°,Yes,Yes,CE CB GS,169.3 mm,,Security Lock,340.7 mm,,Wall Mountable,,,,100 x 100,,,457.3 mm,,Speaker,,,Anti-glare,,,Yes,,,,,,,,,,2.0,,No,,,,,,,,,,,,,,,
"9H.L9NLB.QBE, M352334, BenQ, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,BenQ,300 cd/m²,Glossy Black,16.7 Million Colours,"3,000:1",Yes,ENERGY STAR TCO Certified Displays 6.0,Yes,Yes,178°,220 V AC 110 V AC,,BenQ Corporation,9H.L9NLB.QBE,,1920 x 1080,1.0,,27 W,,,GW2760HS,GW2760HS Widescreen LCD Monitor,GW,LCD Monitor,4 ms,Full HD,"68.6 cm (27"")",,300 mW,,,178°,Yes,Yes,,191 mm,,Senseye 3 Security Lock Eco Mode,472 mm,,Wall Mountable,PC,,,100 x 100,4.50 kg,,623 mm,,Speaker,,,,,,Yes,,Yes,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"9H.LC1LB.QPE, M352450, BenQ, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,BenQ,200 cd/m²,Glossy Black,16.7 Million Colours,"12,000,000:1",Yes,ENERGY STAR 6.0,Yes,Yes,90°,110 V AC 220 V AC,2 Year,BenQ Corporation,9H.LC1LB.QPE,,1920 x 1080,1.0,500 mW,20.70 W,DL2215 Widescreen LCD Monitor Power Cable VGA Cable Short Guide Manual CD,Twisted Nematic Film (TN Film),DL2215,DL2215 Widescreen LCD Monitor,,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",76 Hz,500 mW,,-5°to20°,65°,Yes,Yes,CE,55 mm,178 mm,Security Lock Senseye 3 Eco Mode,369 mm,369 mm,Wall Mountable,PC,,,100 x 100,2.80 kg,,515 mm,515 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.HW3EE.001, 2975742, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,Acer,300 cd/m²,Black,16.7 Million Colours,"100,000,000:1",Yes,MPR II,Yes,Yes,178°,110 V AC 220 V AC,2 Year,"Acer, Inc",UM.HW3EE.001,,1920 x 1080,1.0,350 mW,28.50 W,K272HL Widescreen LCD Monitor1 x VGA CablePower Cord,Vertical Alignment (VA),K272HL,K272HL Widescreen LCD Monitor,K,LCD Monitor,6 ms,Full HD,"68.6 cm (27"")",60 Hz,450 mW,No,-5°to25°,178°,,Yes,,62 mm,249 mm,,381 mm,462 mm,,,,,,4.77 kg,5 kg,640 mm,640 mm,,,,Anti-glare,,,,,No,,,,,43 kWh,A,,,,,,,,,,,,,,,,,,,
"241B6QPYEB/00, 3197126, Philips, LCD Monitor, IML Direct Italy",,,,16:9,LED,Philips,250 cd/m²,Textured Black,16.7 Million Colours,"1,000:1",Yes,TÜV TCO Certified Displays 6.0 WEEE RoHS EPEAT Gold ENERGY STAR 6.0 TCO Certified Edge,Yes,,,,,Philips Electronics,241B6QPYEB/00,,1920 x 1080,1.0,,16.73 W,,,241B6QPYEB,Brilliance LED Backlit LCD Monitor with PowerSensor,B,LCD Monitor,5 ms,Full HD,"60.5 cm (23.8"")",,,,,,Yes,Yes,,52 mm,256 mm,,363 mm,422 mm,,,,,,3.98 kg,6.47 kg,531 mm,531 mm,Speaker USB Hub,Yes,Brilliance,,Yes,,Yes,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"K9602018, 2913255, Barco, LCD Monitor, IML Direct Italy",,,,16:10,,Barco,950 cd/m²,,,"1,100:1",Yes,RoHS,Yes,,170°,,5 Year,Barco,K9602018,,2560 x 1600,1.0,,135 W,4 MegaPixel Wide-Screen Diagnostic Color Display SystemGetting Started GuideQuick-Installation SheetVideo Cables (2 x DVI Dual Link)Main CablesUSB 2.0 CableExternal Power SupplyMediCal QAWeb Software,In-plane Switching (IPS-Pro) Technology,MDCC-4130,4 MegaPixel Wide-Screen Diagnostic Color Display System,,LCD Monitor,20 ms,WQXGA,"76.2 cm (30"")",,,,,170°,Yes,,UL 60601-1CAN/CSA-C22.2 NO. 601.1- M90IEC 60601-1 2ND ED:1988 + A1:1991 + A2:1995IEC 60950-1:2001CE - 89/336/EECCE - 93/42/EECDEMKO - EN 60601-1BSMI - CNS13438(95) + CNS14336(94)VCCIFCC Class BICES-001 Level BMDD Class IIbFDA 510kKCCCC-GB9254-2008 + GB4943-2001 + GB17625.1-2003,141 mm,265 mm,Picture Archiving and Communication System (PACS) I-Guard Backlight Output Stabilization (BLOS) Ambient Light Compensation (ALC) Uniform Luminance Technology (ULT),485 mm,676 mm,,,,,100 x 100,,28.10 kg,731 mm,731 mm,USB Hub,,Coronis Fusion,Anti-reflective,Yes,USB 2.0,,,,,,,Landscape,,,,,,,,,,,,,,,,,,,,,
"UM.HV6EE.009, 2700624, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,Acer,300 cd/m²,Black,16.7 Million Colours,"100,000,000:1",Yes,TCO Certified Displays 6.0 EPEAT Gold,Yes,,178°,220 V AC 110 V AC,3 Year,"Acer, Inc",UM.HV6EE.009,No,1920 x 1080,1.0,350 mW,28.50 W,V276HL Widescreen LCD MonitorPower Cord1 x VGA Cable1 x DisplayPort Cable,Vertical Alignment (VA),V276HL,V276HL Widescreen LCD Monitor,V,LCD Monitor,6 ms,Full HD,"68.6 cm (27"")",60 Hz,450 mW,No,-5°to25°,178°,Yes,Yes,,62 mm,242 mm,,381 mm,463 mm,,,,,100 x 100,4.80 kg,5.90 kg,640 mm,640 mm,,Yes,,Anti-glare,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
