3d compatibility,<page title>,aspect ratio,backlight type,bluetooth,builtin camera,builtin speakers,cable lock slot,certification,colour of product,compliance industry standards,contrast ratio dynamic,contrast ratio typical,depth,depth with stand,display,display brightness,display diagonal,display diagonal metric,display number of colours,display resolution,display srgb,display technology,energy efficiency class,energy star certified,epeat compliance,hd type,height,height adjustment,height with stand,horizontal scan range,input frequency,input voltage,led indicators,mac operating systems supported,mean time between failures mtbf,nonoperating altitude,number of loudspeakers,on screen display osd,on screen display osd languages,onoff switch,operating altitude,operating relative humidity hh,operating temperature tt,package weight,packaging depth,packaging height,packaging width,pivot,pivot angle,pixel pitch,plug and play,power consumption powersave,power consumption standby,power consumption typical,response time,rms rated power,separate hv sync,source datasheet,storage temperature tt,supported graphics resolutions,swivel angle range,swivelling,syncongreen sog,thin client installed,tilt adjustment,tilt angle,tv tuner integrated,usb 20 ports quantity,usb 30 ports quantity,vertical scan range,vesa mounting interfaces compatibility,vga dsub ports quantity,viewable size horizontal,viewable size vertical,viewing angle horizontal,viewing angle vertical,wall mountable,weight,weight with stand,width,width with stand,wifi,windows operating systems supported,dvid ports quantity,hdcp,relative humidity,ac power in,dvii ports quantity,headphone out,manual,standby led,storage relative humidity hh,audio input,hdmi,hdmi ports quantity,supported video modes,builtin subwoofer,cables included,card reader integrated,digital horizontal frequency,digital vertical frequency,displayports quantity,placement supported,power consumption max,power led,video dot rate,viewable size diagonal,pc audio in,power consumption off,quick start guide,number of osd languages,component video ypbprycbcr in,svideo inputs quantity,headphone connectivity,microphone in,package dimensions wxdxh,rs232 ports,dvi port,ethernet lan,pictureinpicture,dimensions w x d x h with stand,dimensions wxdxh,handheld remote control,composite sync,composite video in,power requirements,common interface ci,safety,display surface,screen format adjustments,power cord included,quantity,audio output,linux operating systems supported,dcin jack,display viewable area hxv,number of products included,screen saving functions,bezel width side,builtin microphone,feet colour,mobile highdefinition link mhl,maximum resolution,volume control,effective viewing area,compatible memory cards,analog signal format system,common interface plus ci,product type,picture enhancement,ac adapter included
No,iiyama ProLite B2780HSU - MrHighTech Shop,16:9,Edge-lit LED,No,No No No,Yes Yes Yes,Kensington Kensington,"CE, TCO, TUV",Black Black,,5000000:1,1000:1,250 mm,,LED,300 cd/m²,"685.8 mm (27 "")",,16.77 M,1920 x 1080 pixels,,TN+Film,,Yes,,Full HD,548 mm,Yes,,24 - 80 kHz,50/60 Hz,100 - 240 V,,Yes Yes,,,2 2 2,Yes Yes,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS",Yes Yes,,10 - 80 %,41 - 95 °F,,,,,Yes,0 - 90 °,0.3113 x 0.3113 mm,Yes Yes,,1 W,37 W,2 ms,4 W 4 W 4 W,Yes,. .,-20 - 60 °C,1920 x 1080 (HD 1080),-170 - 170 °,,,No,,-4 - 22 °,No No,4.0,,56 - 75 Hz,100 x 100 mm,1.0,597.6 mm,336.2 mm,170 °,160 °,Yes,8 kg,,642 mm,,,Yes Yes,1.0,Yes,,Yes,,1,,,5 - 85 %,Yes,,1.0,,No No No,"AC, Audio (3.5mm), DVI, USB, VGA AC, Audio (3.5mm), DVI, USB, VGA",No No,,,,,,Yes Yes,,,,,Yes Yes,9 9,,,3.5 mm,,,,Yes,No,,,,No No,,,,No,,,,,,,,,,,,,No No No,,,,Digital Digital,,,,No,,,
No,Edge10 ET185a - MrHighTech Shop,16:9,,,No No,Yes Yes,Kensington Kensington,,Black Black,,10000:1,1000:1,53 mm,180 mm,LED,250 cd/m²,"469.9 mm (18.5 "")",47 cm,16.77 M,1366 x 768 pixels,,,Unspecified,,,HD-ready,302 mm,No,370 mm,30 - 80 kHz,50/60 Hz,100 - 240 V,,,,,2 2,Yes Yes,,,,,,,,,,,,0.3 x 0.3 mm,,,1 W,19 W,5 ms,4 W 4 W,,,,1366 x 768,,,,No,Yes,-5 - 15 °,No,,,60 - 75 Hz,100 x 100 mm,1.0,409.8 mm,230.4 mm,160 °,160 °,Yes,4.08 kg,5.1 kg,438 mm,438 mm,,,1.0,,,,,,,,,,,,,,VGA VGA,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,
No,ASUS VB178TL - MrHighTech Shop,4:3,,,No No,Yes Yes,Kensington Kensington,"BSMI, CB, CCC, CE, CEL, C-Tick, ErP, FCC, Gost-R, J-MOSS, PSB, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL, NOM",Black Black,,50000000:1,1000:1,,214 mm,LCD,250 cd/m²,"431.8 mm (17 "")",43.2 cm,16.77 M,1280 x 1024 pixels,,,Unspecified,Yes,,,,Yes,377 mm,30 - 83 kHz,,,Yes Yes,,,,2 2,,,,,,,7 kg,210 mm,382 mm,559 mm,Yes,,0.264 x 0.264 mm,,1 W,,25 W,5 ms,2 W 2 W,,. .,,1280 x 1024 (SXGA),,Yes,,No,Yes,-5 - 20 °,No,,,55 - 75 Hz,100 x 100 mm,1.0,,,170 °,160 °,Yes,,5.4 kg,462 mm,462 mm,,,1.0,Yes,,,,,Yes Yes,Yes Yes,,,,,,,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",,30 - 83 kHz,55 - 75 Hz,,,,Yes Yes,,,Yes,1 W,Yes Yes,,,,3.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes Yes
No,iiyama ProLite B2780HSU-2 - MrHighTech Shop,16:9,,No,No No No,Yes Yes Yes,Kensington Kensington,,Black Black,,5000000:1,1000:1,250 mm,,LCD,300 cd/m²,"685.8 mm (27 "")",,16.77 M,1920 x 1080 pixels,,TN+Film,Unspecified,,Silver,Full HD,438 mm,Yes,,,50/60 Hz,100 - 240 V,,,,,2 2 2,Yes Yes,,,,,,,,,,Yes,0 - 90 °,0.3113 x 0.3113 mm,,,1 W,37 W,1 ms,4 W 4 W 4 W,Yes,. .,,"1280 x 1024 (SXGA), 1920 x 1080 (HD 1080)",-170 - 170 °,Yes,,,Yes,-4 - 22 °,,4.0,,,100 x 100 mm,1.0,336.2 mm,597.6 mm,170 °,160 °,Yes,8 kg,,642 mm,,No,,1.0,Yes,,,,1,Yes Yes,,,,,1.0,,No No No,"AC, Audio (3.5mm), DVI, USB, VGA AC, Audio (3.5mm), DVI, USB, VGA",,24 - 80 kHz,56 - 75 Hz,,,,,,,,,Yes Yes,9 9,,,3.5 mm,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,HP EliteDisplay E231 - MrHighTech Shop,16:9,W-LED,,No No No,No No No,,"CE, CB, KC, KCC, NOM, PSB, ICE, TUV-S, CCC, CEL 1, CECP, SEPA, TCO Edge, EPA, ISC, VCCI ,FCC, BSMI",Black Black,,50000000:1,1000:1,51 mm,242.4 mm,LED,250 cd/m²,"584.2 mm (23 "")",58.42 cm,16.77 M,1920 x 1080 pixels,,TN+Film,Unspecified,Yes,Gold,Full HD,329 mm,Yes,469.9 mm,24 - 94 kHz,50/60 Hz,95 - 265 V,Yes Yes,,,,,Yes Yes,,,,,5 - 35 °C,8.34 kg 8.34 kg,,,,Yes,0 - 90 °,,Yes Yes,,0.5 W,33 W,5 ms,,,. .,-20 - 60 °C,1920 x 1080 (HD 1080),0 - 360 °,Yes,,No,Yes,-5 - 30 °,No No,3.0,,50 - 76 Hz,Yes,1.0,,,170 °,160 °,Yes,3.9 kg,6.1 kg,544 mm,544 mm,No,Yes Yes,1.0,Yes,,Yes,,,Yes Yes,Yes Yes,,,,,1080p,,AC AC,,,,1.0,,36 W,Yes Yes,,,,,Yes Yes,,,,,,,,Yes,No,,,,,,,,,,Matt,,,,,Yes Yes,,,,,,,,,,,,,,,,,
No,Wortmann AG TERRA LED 2445W - MrHighTech Shop,16:9,,,No No,Yes Yes,,"CE, EN 60950",Black Black,,20000000:1,,48 mm,218 mm,LCD,250 cd/m²,"599.4 mm (23.6 "")",59.9 cm,16.77 M,1920 x 1080 pixels,,IPS,Unspecified,,,Full HD,347 mm,No,418 mm,,50/60 Hz,100 - 240 V,,,,,,,,,,,,,,,,No,,0.2715 x 0.2715 mm,Yes Yes,,0.5 W,25 W,7 ms,,,,,1920 x 1080 (HD 1080),,,,No,Yes,-5 - 20 °,No,,,,100 x 100 mm,1.0,,,178 °,178 °,Yes,3.7 kg,4.1 kg,556 mm,556 mm,,,1.0,Yes,,,,,Yes Yes,,,,,,"1080i, 1080p, 480i, 480p, 576i, 576p, 720p",,"AC, Audio (3.5mm), DVI AC, Audio (3.5mm), DVI",,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Philips 220P4LPYEB - MrHighTech Shop,16:10,W-LED,,No No,Yes Yes,Kensington Kensington,"BSMI, CE, FCC, GOST, SASO, SEMKO, TUV Ergo, TUV/GS, TCO 5.2, UL/cUL, WEEE",Black Black,RoHS,20000000:1,1000:1,59 mm,220 mm,LED,250 cd/m²,"558.8 mm (22 "")",55.9 cm,16.77 M,1680 x 1050 pixels,Yes,,Unspecified,Yes,Gold,HD-Ready,349 mm,No,517 mm,30 - 83 kHz,50/60 Hz,100 - 240 V,Yes Yes,,30000 h 30000 h,0 - 12192 m,2 2,Yes Yes,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",Yes Yes,0 - 3658 m,,0 - 40 °C,7.5 kg,263 mm,395 mm,565 mm,Yes,0 - 90 °,0.282 x 0.282 mm,Yes Yes,,0.3 W,16.8 W,5 ms,3 W 3 W,Yes,. .,-20 - 60 °C,1680 x 1050 (WSXGA+),-65 - 65 °,Yes,Yes,No,Yes,-5 - 20 °,No,4.0,,56 - 75 Hz,100 x 100 mm,1.0,473.76 mm,296.1 mm,170 °,160 °,Yes,3.38 kg,5.5 kg,504 mm,504 mm,,,1.0,Yes,20 - 80 %,,,1,,,,,No No,,,No No,,No No,,,1.0,Horizontal/Vertical Horizontal/Vertical,,Yes Yes,,,Yes,,,8 8,,,,,,,,,,,,,,,,,,,,,,,,,,1 pcs 1 pcs,,,No No,,,,,,No No,,,,,
No,Wortmann AG 3031191 LED display - MrHighTech Shop,16:9,,,No No,No No,No No,,Black Black,,15000000:1,,53 mm,213 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,Yes,TN+Film,Unspecified,Yes,,Full HD,313 mm,No,369 mm,30 - 83 kHz,50/60 Hz,100 - 240 V,,,,,,,,Yes Yes,,,,,,,,,,0.248 x 0.248 mm,,,0.5 W,18 W,5 ms,,,,,1920 x 1080 (HD 1080),,,,No,,,No,,,55 - 76 Hz,No,1.0,,,170 °,160 °,No,4 kg,,513 mm,513 mm,,,1.0,Yes,,Yes,,,,,,,Yes Yes,1.0,"1080i, 1080p, 480i, 480p, 576i, 576p, 720p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Philips 239C4QHSW - MrHighTech Shop,16:9,W-LED,,No No No,No No No,Kensington Kensington,RoHS,White White,,20000000:1,1000:1,34 mm,180 mm,LCD,250 cd/m²,"584.2 mm (23 "")",58.4 cm,16.77 M,1920 x 1080 pixels,,IPS,,Yes,Silver,Full HD,337 mm,,550 mm,30 - 83 kHz,,100 - 240 V,Yes Yes,,30000 h 30000 h,,,Yes Yes,"DUT, ENG, ESP, FRE, ITA, POR, RUS DUT, ENG, ESP, FRE, ITA, POR, RUS",Yes Yes,,,0 - 40 °C,4.89 kg 4.89 kg,139 mm 139 mm,557 mm 557 mm,594 mm 594 mm,,,0.265 x 0.265 mm,Yes Yes,,0.3 W,28.5 W,7 ms,,Yes,. .,-20 - 60 °C,1920 x 1080 (HD 1080),,,Yes,No,,-3 - 15 °,No No,,,56 - 75 Hz,,1.0,,,178 °,178 °,,2.07 kg,3.05 kg,550 mm,550 mm,,"Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64 Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64",,No,20 - 80 %,,,,,,,,,2.0,,,,,,,,,,,,,,0.3 W,,9 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Wortmann AG 1940HA - MrHighTech Shop,5:4,,,No No,Yes Yes,Yes Yes,"ISO 9241-307, TCO Displays 6.0","Black, Silver Black, Silver",,30000000:1,,52 mm,214 mm,LED,250 cd/m²,"482.6 mm (19 "")",48.2 cm,16.77 M,1280 x 1024 pixels,,TN+Film,Unspecified,Yes,,,345 mm,Yes,,,50/60 Hz,100 - 240 V,,,,,,Yes Yes,,,,,,,,,,,,0.294 x 0.294 mm,Yes Yes,,0.5 W,17 W,5 ms,,,,,1280 x 1024 (SXGA),,,,No,Yes,-5 - 15 °,No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,,4.5 kg,415 mm,415 mm,,,1.0,Yes,,,,,Yes Yes,,,,,,,,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",,24 - 80 kHz,50 - 75 Hz,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Benq XL2720T - MrHighTech Shop,16:9,,,No No No,No No No,Yes Yes,,"Black, Red Black, Red",,12000000:1,1000:1,273 mm,,LCD,300 cd/m²,"685.8 mm (27 "")",,16.77 M,1920 x 1080 pixels,,TN+Film,,,,Full HD,548 mm,Yes,,,,95 - 265 V,,,,,,Yes Yes,,,,,,,,,,,,0.311 x 0.311 mm,,0.5 W,,27 W,1 ms,,,,,1920 x 1080 (HD 1080),45 - 45 °,Yes,,,Yes,-5 - 20 °,No No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,7.5 kg,,642 mm,,,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64 Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64",1.0,Yes,,,,,,,,,,1.0,,,,,,,,,,,,,,,,17 17,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Wortmann AG 3031194 LED display - MrHighTech Shop,16:9,,,No No,No No,No No,,Black Black,,15000000:1,,58 mm,,LED,250 cd/m²,"599.4 mm (23.6 "")",59.9 cm,16.77 M,1920 x 1080 pixels,Yes,TN+Film,Unspecified,Yes,,Full HD,340 mm,No,,30 - 82 kHz,50/60 Hz,100 - 240 V,,,,,,,,,,,,,,,,,,0.272 x 0.272 mm,Yes Yes,,0.5 W,20 W,5 ms,,,,,1920 x 1080 (HD 1080),,,,No,,,No,,,55 - 76 Hz,No,1.0,,,170 °,160 °,No,6 kg,,557 mm,,,,1.0,Yes,,Yes,,,,,,,,1.0,"1080i, 1080p, 480i, 480p, 576i, 576p, 720p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Philips 233V5LSB - MrHighTech Shop,16:9,W-LED,,,,Kensington Kensington,"RoHS, Lead-free, Mercury Free",Black Black,,10000000:1,1000:1,53 mm,219 mm,LED,250 cd/m²,"584.2 mm (23 "")",58.4 cm,16.77 M,1920 x 1080 pixels,Yes,LCD/TFT,Unspecified,Yes,Silver,Full HD,340 mm,,416 mm,30 - 83 kHz,50/60 Hz,100 - 240 V,"Operation, Stand-by Operation, Stand-by",,30.000 h 30.000 h,,,Yes Yes,"CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",Yes Yes,,20 - 80 %,0 - 40 °C,4.93 kg 4.93 kg,118 mm 118 mm,415 mm 415 mm,600 mm 600 mm,,,0.265 x 0.265 mm,Yes Yes,,0.5 W,20.11 W,5 ms,,Yes,. .,-20 - 60 °C,,,,Yes,,,,,,,56 - 75 Hz,100 x 100 mm,1.0,509.18 mm,286.42 mm,170 °,160 °,Yes,3.13 kg,3.5 kg,547 mm,547 mm,,,1.0,,,Yes,,,,,,,,,,,,,,,,,,,,,,0.5 W,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,iiyama ProLite E2083HD-1 - MrHighTech Shop,16:9,,No,,No No,Kensington Kensington,,Black Black,,5000000:1,1000:1,203 mm,,LED,250 cd/m²,"495.3 mm (19.5 "")",,16.77 M,1600 x 900 pixels,,TN+Film,Unspecified,Yes,,,360 mm,,,,50/60 Hz,100 - 240 V,,,,,,Yes Yes,,,,,,,,,,,,0.271 x 0.271 mm,,,1 W,15 W,5 ms,,Yes,. .,,1600 x 900,,,,,Yes,-5 - 22 °,,,,,100 x 100 mm,1.0,433.9 mm,236.3 mm,170 °,160 °,Yes,2.6 kg,,469.5 mm,,No,,1.0,Yes,,,,,Yes Yes,,,,,,,,"AC, VGA AC, VGA",,30 - 80 kHz,55 - 75 Hz,,,,,,,,,Yes Yes,10 10,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,iiyama ProLite B1706S - MrHighTech Shop,5:4,,,No No,,Kensington Kensington,"CE, TÜV-GS, VCCI-B, TCO '03",Black Black,,,8000:1,,249.5 mm,LCD,250 cd/m²,"431.8 mm (17 "")",,,1280 x 1024 pixels,,,,Yes,,,,110 mm,495.5 mm,24 - 80 kHz,,,,Yes Yes,,,,,,,,,,,,,,,,0.264 x 0.264 mm,Yes Yes,,,20 W,5 ms,2 W 2 W,Yes,. .,,,-170 - 170 °,,,,,0 - 20 °,No,,,55 - 75 Hz,100 x 100 mm,1.0,,,170 °,155 °,,,5.7 kg,,371.5 mm,,Windows 95 Windows 95,1.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AC 100 - 240 V, 50 - 60 Hz",,,,,,,,,,270.3 x 337.9 mm 270.3 x 337.9 mm,,,,,,,,,,,,,,,
No,Edge10 EF190a - MrHighTech Shop,16:10,,,No No,Yes Yes,Kensington Kensington,,Black Black,,10000:1,1000:1,55 mm,180 mm,LED,300 cd/m²,"482.6 mm (19 "")",48.4 cm,16.77 M,1440 x 900 pixels,,,Unspecified,,,,302 mm,No,358 mm,31.5 - 80 kHz,50/60 Hz,100 - 240 V,,,,,2 2,Yes Yes,,,,,,,,,,,,0.285 x 0.285 mm,,,1 W,21 W,5 ms,4 W 4 W,,,,1440 x 900,,,,No,Yes,-5 - 15 °,No,,,60 - 75 Hz,100 x 100 mm,1.0,410.4 mm,256.45 mm,170 °,160 °,Yes,3.35 kg,4.32 kg,440 mm,440 mm,,,1.0,,,Yes,,,,,,,,,,,VGA VGA,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,
,Benq EW2740L - MrHighTech Shop,16:9,,,No No No,No No No,Yes Yes,,Black Black,,20000000:1,,191.32 mm,,LED,300 cd/m²,"685.8 mm (27 "")",,16.77 M,1920 x 1080 pixels,,LCD,,,,,622.58 mm,No,,,,90 - 264 V,,,,,,Yes Yes,,,,,,,,,,,,,,,,,12 ms,,,,,,,,,No,Yes,-5 - 20 °,No No,,,,,1.0,,,178 °,178 °,No,4.2 kg,,450.57 mm,,,Windows 8 Windows 8,,Yes,,,,,Yes Yes,,,,,2.0,,,,,,,,,,,,,,,,17 17,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes Yes
No,DELL P Series 2714H - MrHighTech Shop,,,,No No,No No,Yes Yes,"CECP, RoHS, TCO","Black, Silver Black, Silver",,2000000:1,1000:1,46.1 mm,204 mm,LED,300 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,,IPS,Unspecified,Yes,Gold,Full HD,379.9 mm,Yes,539 mm,,50/60 Hz,100 - 240 V,,,,0 - 12192 m,,,,,0 - 5000 m,10 - 80 %,0 - 40 °C,9.85 kg,,,,Yes,,0.3114 x 0.3114 mm,,,0.3 W,43 W,8 ms,,,. .,-20 - 60 °C,1920 x 1080 (HD 1080),,Yes,,No,Yes,,No,4.0,,,100 x 100 mm,1.0,597.9 mm,336.3 mm,178 °,178 °,Yes,4.56 kg,,641.4 mm,641.4 mm,,,1.0,Yes,,,,,,,5 - 90 %,,,,,,"AC, DisplayPort, USB, VGA AC, DisplayPort, USB, VGA",,,,1.0,,22 W,,,,,,Yes Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Acer V 226WLbmd - MrHighTech Shop,16:10,,,No No No,Yes Yes Yes,,TCO,Black Black,,100000000:1,,207 mm,,LED,250 cd/m²,"558.8 mm (22 "")",,16.77 M,1680 x 1050 pixels,,TN+Film,Unspecified,,Gold,No,419.1 mm,,,,,110 - 220 V,,,,,2 2 2,,,,,,,,,,,,,,,,4.5 W,24.2 W,5 ms,4 W 4 W 4 W,,. .,,1680 x 1050 (WSXGA+),,,,No,,,No No,,,,,1.0,,,170 °,160 °,,3.09 kg,3.52 kg,505.7 mm,,,,,Yes,,,,,,,,,,,,,"AC, VGA AC, VGA",,,,,,,Yes Yes,,,,3.5 W,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Philips 221P3LPEB - MrHighTech Shop,16:9,W-LED,,No No,Yes Yes,Kensington Kensington,"RoHS, BSMI, CE, FCC B,GOST, SEMKO, TCO 5.1, TUV Ergo, TUV/GS, UL/cUL",Black Black,,20000000:1,1000:1,59 mm,220 mm,LCD,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,Yes,,,Yes,Gold,Full HD,323 mm,Yes,487 mm,,50/60 Hz,100 - 240 V,Yes Yes,Yes Yes,30000 h 30000 h,,2 2,Yes Yes,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",,,,0 - 40 °C,7.43 kg,262 mm,377 mm,565 mm,Yes,,0.248 x 0.248 mm,Yes Yes,13.5 W,0.1 W,17.8 W,5 ms,3 W 3 W,Yes,. .,-20 - 60 °C,1920 x 1080 (HD 1080),-65 - 65 °,,Yes,No,,-5 - 20 °,No,4.0,,,100 x 100 mm,1.0,,,176 °,170 °,Yes,3.51 kg,5.64 kg,507 mm,507 mm,,Yes Yes,1.0,Yes,20 - 80 %,,,1,,Yes Yes,,,,,1080p,,,,30 - 83 kHz,56 - 75 Hz,,,,Yes Yes,,,Yes,,,,,,3.5 mm,,,,,,,,,,,,,,,,,,,,,,476.6 x 268.1 mm 476.6 x 268.1 mm,,,,,,,,,,,,,,,
No,Wortmann AG TERRA LED 2211W - MrHighTech Shop,16:9,,,No No,,,"CE, CB (EN 60950)",Black Black,,10000000:1,,60 mm,220 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",,16.77 M,1920 x 1080 pixels,,TN+Film,Unspecified,Yes,,Full HD,321 mm,,381 mm,,50/60 Hz,100 - 240 V,,,,,,,,,,,,4.5 kg,,,,,,0.248 x 0.248 mm,,,0.5 W,20 W,5 ms,,,,,1920 x 1080 (HD 1080),,,,No,,,No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,3.4 kg,,507 mm,507 mm,,,1.0,Yes,,,,,,,,,,,,,"AC, DVI, VGA AC, DVI, VGA",,31 - 83 kHz,55 - 76 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,iiyama ProLite X2783HSU - MrHighTech Shop,16:9,,,No No No,Yes Yes Yes,Kensington Kensington,"TCO, CE, TÜV-GS, VCCI-B, PSE, CU",Black Black,,5000000:1,3000:1,218 mm,,LED,300 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,,A-MVA,Unspecified,Yes,,Full HD,446 mm,No,,,50/60 Hz,100 - 240 V,,Yes Yes,,,2 2 2,Yes Yes,"CHI (SIMPL), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS CHI (SIMPL), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS",,,,,,,,,,,0.311 x 0.311 mm,Yes Yes,,0.5 W,34 W,4 ms,4 W 4 W 4 W,Yes,. .,,1920 x 1080 (HD 1080),,,,No,,-5 - 22 °,No No,2.0,,,100 x 100 mm,1.0,597.6 mm,336.2 mm,178 °,178 °,Yes,4.4 kg,,622.5 mm,,,Yes Yes,1.0,Yes,,Yes,,1,,,,Yes,,1.0,,,"AC, Audio (3.5mm), DVI, USB, VGA AC, Audio (3.5mm), DVI, USB, VGA",,30 - 80 kHz,55 - 75 Hz,,,,,,,,,Yes Yes,10 10,,,3.5 mm,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
