<page title>,aspect ratio,backlight technology,brand name,brightness,builtin devices,colour,contrast ratio,depth,depth with stand,displayport,dvi,full product specifications,green compliance certificateauthority,green compliant,height,height with stand,limited warranty,manufacturer,manufacturer part number,maximum resolution,number of screens,operating power consumption,package contents,product line,product model,product name,product type,response time,screen mode,screen size,usb,vga,weight approximate,width,width with stand,adjustable display angle,features,hdmi,horizontal viewing angle,mount type,number of speakers,platform supported,product series,speakers,vertical viewing angle,vesa mount compatible,weight with stand approximate,adjustable display height,adjustable display pivot,colour support,hdcp supported,headphone,input voltage,maximum adjustable height,offmode power consumption,panel technology,standard refresh rate,standby power consumption,swivel angle,tilt angle,vesa mount standard,screen surface,certifications standards,component video,composite video,webcam,firewireilink,network rj45,thunderbolt,svideo,energy consumption per year,energy efficiency class,usb standard,recycled,recycled content,horizontal frequency,system requirements,sdi,sdi standard,display orientation,3d type,additional information,postconsumerwaste,packaged quantity,product code,3d technology,country of origin,package type
"i2367Fm, AOCI2367FM, AOC, LCD Monitor, JR Linton",16:9,LED,AOC,250 cd/m²,Speaker,Black Silver,"50,000,000:1",120 mm,,,No,,China Energy Label (CEL) China RoHS ENERGY STAR EPA TCO Certified Displays 6.0,Yes,394 mm,,,AOC,I2367FM,1920 x 1080,1,26 W,I2367FM Widescreen LCD Monitor Audio (3.5mm) Cable HDMI Cable,,I2367FM,I2367FM Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,Yes,3.75 kg,531.4 mm,,Yes,Security Lock,Yes,178°,,2.0,PC,,Yes,178°,No,,No,No,16.7 Million Colours,Yes,,220 V AC 110 V AC,,,In-plane Switching (IPS) Technology,60 Hz,500 mW,,,,,CCC FCC CB / CE cTUVus TUV-BAUART,,,No,,,,,,,,,,,,,,,,,,,,,,
"T28LNWL, S602WH2, Lenovo, LCD Monitor, JR Linton",16:9,LED,Lenovo,250 cd/m²,USB Hub Microphone Speaker,Raven Black,"1,000:1",56.4 mm,,Yes,Yes,,WEEE EPEAT RoHS CECP REACH TCO Certified Edge Displays 1.1 EuP ENERGY STAR 6.0,Yes,387.2 mm,,3 Year,Lenovo Group Limited,T28LNWL,1920 x 1080,1,,,ThinkVision,LT2323z,LT2323z Wide 23inch e-IPS Flat Panel Monitor,LCD Monitor,7 ms,Full HD,"58.4 cm (23"")",Yes,Yes,6.16 kg,545.3 mm,,Yes,Security Lock Ambient Light Sensor,,,,2.0,PC,Wide,Yes,,,,Yes,Yes,16.7 Million Colours,,,,,,Enhanced In-plane Switching (E-IPS) Technology,75 Hz,,,,,Anti-glare,Microsoft Lync CertifiedTUV Green Mark UL Environment GoldFCC Class B certifiedTUVBSMIGOSTIEC950NEMKOISO 9241-307NOMSABSSASOTUV SCCCICPSBJEITAICEScULusTUV BauartE-StandbyKCKvalitetSONCAPKEBSEMI,,,Yes,,,,,,,USB 3.0,,,,,,,,,,,,,,,
"249C4QHSB/00, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,,Glossy Black,"5,000:1",34 mm,180 mm,,,,EPEAT Silver TCO Certified Displays 5.2 RoHS WEEE ENERGY STAR 5.0,Yes,350 mm,434 mm,2 Year,Philips Electronics,249C4QHSB/00,1920 x 1080,1,24.20 W,,Brilliance,249C4QHSB,"AMVA LCD Monitor, LED Backlight Blade 2 24"" / 61 cm Full HD Display",LCD Monitor,6 ms,Full HD,"61 cm (24"")",,Yes,2.33 kg,569 mm,569 mm,Yes,SmartImage Security Lock Turbo Mode Touch Controls SmartKolor SmartTxt Ultra Slim,Yes,178°,,,Mac PC,Blade 2,,178°,,3.33 kg,,,16.7 Million Colours,,,220 V AC 110 V AC,,300 mW,,60 Hz,300 mW,,,,,UL/cULBSMICE MarkFCC Class BGOSTSASOSEMKOTUV/ISO9241-307,,,,,,,,,,,,,,,,,,,,,,,,,
"DSMH15LED-WGF, VIGDSMH15LEDWGF, Vigilant Vision, Ltd, JR Linton",4:3,LED,Vigilant,350 cd/m²,Speaker,Black,700:1,,,,,,RoHS ENERGY STAR,Yes,,,,"Vigilant Vision, Ltd",DSMH15LED-WGF,1024 x 768,1,30 W,"15""(4:3) LED Monitor Glass Fronted/Metal Case Power Supply Kettle Lead VGA Cable Audio Cable Remote Control User Manual",,DSMH15LED-WGF,"15""(4:3) LED Monitor Glass Fronted/Metal Case",LCD Monitor,8 ms,XGA,"38.1 cm (15"")",,Yes,3.90 kg,,,,Sleep Timer,Yes,140°,,2.0,PC,,Yes,125°,Yes,,,,16.7 Million Colours,,,220 V AC 110 V AC,,,,75 Hz,,,,100 x 100,,CE FCC E13,,,,,,,,,,,,,,,,,,,,,,,,,
"K9307906, 2655423, Barco, LCD Monitor, JR Linton",16:9,LED,Barco,450 cd/m²,,White,"1,400:1",90 mm,,Yes,Yes,,RoHS 2 WEEE REACH,Yes,411 mm,,3 Year,Barco,K9307906,1920 x 1080,1,120 W,26-inch Full HD Surgical Display User Manual Mains Cable External Power Supply,,MDSC-2226,26-inch Full HD Surgical Display,LCD Monitor,,Full HD,"66 cm (26"")",,Yes,9.50 kg,633 mm,,,Cable Management Picture and Picture (PAP) Picture in Picture,Yes,178°,Desk Mountable Arm-mountable,,,,,178°,Yes,,,,1 Billion Colors,,,220 V AC 110 V AC,,,In-plane Switching (IPS-Pro) Technology,,,,,100 x 100,Anti-reflective,IP21 IPX5 IEC60601 3rd Edition CE C-UL-US DEMKO IEC60601-1 UL60601-1 CAN/CSA C22.2 No. 60601-1-08 IEC60601-1-2 EN55011 /CISPR 11 FCC CFR47 Part 15 & 18/Class B,,Yes,,,,,Yes,,,,,,,,Yes,3G-SDI,,,,,,,,,
"K9602377, 2913284, Barco, LCD Monitor, JR Linton",4:3,LED,Barco,1700 cd/m²,USB Hub,,"1,400:1",84 mm,235 mm,Yes,Yes,,,,378 mm,,,Barco,K9602377,2048 x 1536,1,40 W,,Coronis,MDCG-3221,3MP Premium Diagnostic Grayscale Display System,LCD Monitor,40 ms,,"54.1 cm (21.3"")",Yes,,,491 mm,491 mm,Yes,Backlight Output Stabilization (BLOS) I-Guard Ambient Light Compensation (ALC),,178°,,,,,,178°,Yes,12.80 kg,Yes,Yes,,,,,,,In-plane Switching (IPS) Technology,,,,,100 x 100,Anti-reflective,,,,,,,,,,,USB 2.0,,,,,,,,,,,,,,,
"60003543, NECTFT242REF, NEC Display Solutions, LCD Monitor, JR Linton",16:10,GB-R LED,NEC Display,340 cd/m²,USB Hub,Black,"1,000:1",,227.60 mm,Yes,Yes,,RoHS MPR III MPR II,Yes,,528 mm,5 Year,NEC Display Solutions,60003543,1920 x 1200,1,56 W,SpectraView Reference 242 Widescreen LCD Monitor DisplayPort Cable DisplayPort to Mini DisplayPort Cable Electric Cable NEC Office List Operator's Manual CD-ROM with SpectraView® Profiler Software and Manual Black Light Protection Hood with Removable accessories Signal Cable: DVI-D - DVI- D,SpectraView,Reference 242,SpectraView Reference 242 Widescreen LCD Monitor,LCD Monitor,8 ms,WUXGA,"61.2 cm (24.1"")",Yes,Yes,10.60 kg,,556.80 mm,Yes,AmbiBright Auto Brightness Control (ABC) CableComp ColorComp Eco Mode OverDrive TileComp Cable Management Tiled Matrix Picture in Picture Security Lock OmniColor,Yes,178°,,,Mac PC,,,178°,Yes,,Yes,,1.07 Billion Colors,,,220 V AC 110 V AC,,,Advanced High Performance In-plane Switching (AH-IPS) Technology,60 Hz,500 mW,,,100 x 100,,EAC CE TÜV Ergonomics TUV GS C-tick FCC Class B UL / C-UL or CSA CCC ISO 9241-307 PCBC / B Mark PSB,,,,,,,,,,,,,,,,,Landscape/Portrait,,,,,,,,
"G2460PG, 3123979, AOC, LCD Monitor, JR Linton",16:9,,AOC,350 cd/m²,USB Hub,Black,"80,000,000:1",,244.60 mm,Yes,,Click to view,TCO Certified Displays 6.0 RoHS EPEAT Gold ENERGY STAR 6.0,Yes,,523.60 mm,3 Year,AOC,G2460PG,1920 x 1080,1,27.70 W,"LED Monitor - G2460PG - NVIDIA G-SYNC Style 61cm (24"") Power cable Product CD-ROM Warranty Card on CD-ROM DisplayPort cable",Style,G2460PG,"LED Monitor - G2460PG - NVIDIA G-SYNC Style 61cm (24"")",LCD Monitor,,Full HD,"61 cm (24"")",Yes,,6.54 kg,,5.65 m,,,,,,,,,No,,Yes,,,,16.7 Million Colours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K9603023, 2315303, Barco, LCD Monitor, JR Linton",4:3,,Barco,800 cd/m²,USB Hub,Grey,750:1,115 mm,250 mm,,Yes,,,,382 mm,540 mm,,Barco,K9603023,2048 x 1536,1,72 W,,Nio,MDNC-3121,Nio MDNC-3121 Medical LCD Monitor,LCD Monitor,24 ms,,"53.3 cm (21"")",Yes,,7.90 kg,488 mm,488 mm,Yes,Landscape/Portrait Viewable,,176°,,,,,,176°,Yes,12 kg,Yes,Yes,,,,,,,,,,,,100 x 100,,,,,,,,,,,,USB 2.0,,,,,,,,,,,,,,,
"AS17LED-B, VIGAS17LEDBLACK, Vigilant Vision, Ltd, LCD Monitor, JR Linton",4:3,LED,Vigilant,300 cd/m²,Speaker,Black,"10,000:1",162 mm,,,,,RoHS,Yes,378 mm,,2 Year,"Vigilant Vision, Ltd",AS17LED-B,1280 x 1024,1,15 W,"17"" LED Monitor Plastic Black CasePower SupplyKettle LeadVGA CableUser Manual",,AS 17 LED-(B),"17"" LED Monitor Plastic Black Case",LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",,Yes,3.17 kg,379 mm,,,Picture on Picture Picture in Picture 3D Video Interlace 3D Comb Filter,Yes,170°,Wall Mountable Rack-mountable Desk Mountable,2.0,PC,,Yes,160°,Yes,,,,16.7 Million Colours,,,220 V AC 110 V AC,,,,75 Hz,,,,75 x 75,,CEFCC,,,,,,,,,,,,,,,,,,,,,,,,,
"D4T56AT#ABU, 9439E9Y, HP, LCD Monitor, JR Linton",16:9,LED,HP,180 cd/m²,,Black,500:1,14.5 mm,26 mm,,,,Nordic Ecolabel RoHS WEEE CECP ENERGY STAR REACH China Energy Label (CEL),Yes,271.3 mm,278.50 mm,3 Year,Hewlett-Packard,D4T56AT#ABU,1366 x 768,1,5 W,"U160 39,6 cm (15.6'') LED Backlit Monitor USB Y Cable Printed Documentation and CD",Business,U160,"U160 39,6 cm (15.6'') LED Backlit Monitor",LCD Monitor,12 ms,HD,"39.6 cm (15.6"")",Yes,,,375 mm,377 mm,Yes,,,90°,,,PC,,,65°,,1.54 kg,,,"262,144 Colors",,,,,,Twisted Nematic Film (TN Film),60 Hz,500 mW,,,,Anti-glare,VCCI C-Tick BSMI GOST cUL SABS SASO CB CCC PSB FCC C-ETL IEC 60950-1 KCC Green Mark ICES S Mark TUV Bauart KC GOST-R 50377-1992 NOM-019-SCFI-1998,,,,,,,,,,USB 2.0,,,,,,,,,,,,,,,
"XB2776QS-B2, 3110006, Iiyama, LCD Monitor, JR Linton",16:9,LED,iiyama,350 cd/m²,Speaker,Black,"5,000,000:1",56 mm,230 mm,Yes,Yes,,TCO Certified Displays 6.0 EPEAT Silver ENERGY STAR,Yes,394 mm,418 mm,3 Year,"iiyama North America, Inc",XB2776QS-B2,2560 x 1440,1,49 W,ProLite XB2776QS Widescreen LCD Monitor Power Cable DVI (Dual-Link) Cable Audio Cable Stand 2 x Screws Quick Start Guide Safety Guide,ProLite,XB2776QS,ProLite XB2776QS Widescreen LCD Monitor,LCD Monitor,5 ms,WQHD,"68.6 cm (27"")",,Yes,7.40 kg,644 mm,644 mm,Yes,Eco Mode Security Lock Display Power Management Signaling (DPMS),Yes,178°,,2.0,PC Mac,,Yes,178°,Yes,,Yes,Yes,16.77 Million Colors,Yes,Yes,120 V AC 230 V AC,130 mm,,Advanced High Performance In-plane Switching (AH-IPS) Technology,75 Hz,500 mW,90°,-5°to23°,100 x 100,,CE TUV-GS VCCI-B PSE CU ISO-9241-307:2008,,,,,,,,,,,,,,,,,,,,,,,,,
"9H.LA7LB.RBE, 2944932, BenQ, LCD Monitor, JR Linton",16:9,LED,BenQ,250 cd/m²,Speaker,Glossy Black,"1,000:1",194 mm,,,Yes,,ENERGY STAR 5.1 TCO Certified Displays 6.0,Yes,434 mm,,,BenQ Corporation,9H.LA7LB.RBE,1920 x 1080,1,23 W,,,GL2460HM,GL2460HM Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"61 cm (24"")",,Yes,4.30 kg,565 mm,,Yes,Eco Mode Security Lock Senseye 3,Yes,170°,Wall Mountable,2.0,PC,GL60,Yes,160°,Yes,,,,16.7 Million Colours,Yes,Yes,110 V AC 220 V AC,,,Twisted Nematic Film (TN Film),,300 mW,,,100 x 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D7Z72AA#ABU, 2875478, HP, LCD Monitor, JR Linton",16:9,LED,HP,250 cd/m²,USB Hub,Black,"1,000:1",52.2 mm,278.50 mm,Yes,Yes,,REACH WEEE EPEAT Gold TCO Certified Edge ENERGY STAR,Yes,387.3 mm,532.10 mm,3 Year,Hewlett-Packard,D7Z72AA#ABU,1920 x 1080,1,40 W,"EliteDisplay E271i 68,6 cm (27"") LED Backlit Monitor VGA cable DisplayPort cable USB cable AC power cable Printed documentation and CD Display Assistant software",Business,E271i,"EliteDisplay E271i 68,6 cm (27"") LED Backlit Monitor",LCD Monitor,7 ms,Full HD,"68.6 cm (27"")",Yes,Yes,7.70 kg,642 mm,642 mm,Yes,Security Lock,,178°,,,PC,Advantage,,178°,,,,,,Yes,,220 V AC 110 V AC,,,In-plane Switching (IPS) Technology,,500 mW,,,,Anti-glare,,,,,,,,,,,USB 3.0,,,,,,,,,,,,,,,
"P2370SD, 3228308, AOC, LCD Monitor, JR Linton",16:9,LED,AOC,250 cd/m²,,Black,"20,000,000:1",221 mm,,,Yes,Click to view,ENERGY STAR RoHS,Yes,334.7 mm,,,AOC,P2370SD,1920 x 1080,1,30 W,"P2370SD Widescreen LCD Monitor eSaver Software i-Menu Software Foot stand Power Cord VGA Cable Media (includes drivers, AOC Software, User's Manual, Warranty)",,P2370SD,P2370SD Widescreen LCD Monitor,LCD Monitor,7 ms,Full HD,"58.4 cm (23"")",,Yes,3.27 kg,546 mm,,,,,,,,,,,,Yes,,,,16.7 Million Colours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.XK3EE.001, 2774204, Acer, LCD Monitor, JR Linton",16:9,LED,Packard Bell,200 cd/m²,,Black,"100,000,000:1",50 mm,,,,,MPR II EPEAT Gold,Yes,267 mm,,,"Acer, Inc",UM.XK3EE.001,1366 x 768,1,11.50 W,Viseo193DX Widescreen LCD MonitorPower Cord1 x VGA Cable,Viseo,Viseo193DX,Viseo193DX Widescreen LCD Monitor,LCD Monitor,5 ms,WXGA,"47 cm (18.5"")",,Yes,2.32 kg,441 mm,,Yes,,,90°,,,,,,65°,Yes,,No,No,16.7 Million Colours,,,110 V AC 220 V AC,No,350 mW,Twisted Nematic Film (TN Film),60 Hz,450 mW,No,-5°to25°,100 x 100,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,
"9H.L7ALB.QPU, BENNOT044, BenQ, LCD Monitor, JR Linton",16:9,LED,BenQ,250 cd/m²,,Glossy Black,"1,000:1",179.1 mm,,,Yes,,ENERGY STAR 5.0 TCO Displays 5.0,Yes,436 mm,,,BenQ Corporation,9H.L7ALB.QPU,1920 x 1080,1,34 W,,,GL2450,GL2450 Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"61 cm (24"")",,Yes,4.10 kg,579.4 mm,,Yes,Eco Mode Security Lock Senseye 3,,170°,Wall Mountable,,PC,GL,No,160°,Yes,,No,,16.7 Million Colours,Yes,,110 V AC 220 V AC,,,,,300 mW,,,100 x 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B1980SD-B1, 2639936, Iiyama, LCD Monitor, JR Linton",5:4,,iiyama,250 cd/m²,Speaker,,"1,000:1",,,,Yes,,,,,,,"iiyama North America, Inc",B1980SD-B1,1280 x 1024,1,,"power cable, (VGA) D-Sub cable, DVI-D cable, audio cable, stand, screw, cable holder, quick start guide, safety guide",ProLite,B1980SD,ProLite B1980SD,LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",,Yes,,,,,,,170°,,,PC,,Yes,160°,Yes,,,,16.7 Million Colours,Yes,,,,,,75 Hz,,,,100 x 100,,"CE, TÜV-GS, VCCI-B, TCO, CU",,,,,,,,,,,,,,,,,,,,,,,,,
"PN-K321H, SHALCDPNK321H, Sharp, LCD Monitor, JR Linton",,Edge LED,Sharp,350,Speaker,,800:1,35 mm,,Yes,No,,,,441 mm,,,Sharp Electronics,PNK321H,3840 x 2160,1,,PN-K321H LCD Monitor PC Cable,,PN-K321H,PN-K321H LCD Monitor,LCD Monitor,8 ms,QFHD,"81.3 cm (32"")",,No,7.50 kg,750 mm,,,IGZO Technology,No,176°,,2.0,PC Mac,,Yes,176°,Yes,,,,1.07 Billion Colors,Yes,Yes,110 V AC 220 V AC,,,,,,,,200 x 200,,EMC Class A IEC,No,No,,,No,,No,,,,,,,,,,Landscape/Portrait,,,,,,,,
"27EA83-D, 4065270, LG Electronics, LCD Monitor, JR Linton",16:9,LED,LG,350 cd/m²,,,"1,000:1",,225.40 mm,Yes,Yes,,TCO Certified Displays 6.1 RoHS J-Moss (Japanese RoHS) TCO Certified Displays 5.1,Yes,,459.40 mm,,LG Electronics,27EA83-D,2560 x 1440,1,70 W,,,27EA83-D,27EA83-D Widescreen LCD Monitor,LCD Monitor,5 ms,WQHD,"68.6 cm (27"")",Yes,,5.50 kg,,643 mm,Yes,,Yes,178°,,,PC,,,178°,Yes,7.30 kg,Yes,Yes,1.07 Billion Colors,,Yes,220 V AC 110 V AC,,500 mW,Advanced High Performance In-plane Switching (AH-IPS) Technology,75 Hz,500 mW,,,100 x 100,,UL (cUL)TUVFCC-BCE,,,,,,,,,,USB 3.0,,,,,,,,,,,,,,,
"60002993, NEC Display Solutions, LCD Monitor, JR Linton",16:10,,NEC Display,360 cd/m²,USB Hub,,"1,000:1",83.8 mm,228.60 mm,Yes,Yes,,TCO Displays 5.0 RoHS ENERGY STAR,Yes,363.2 mm,528.32 mm,3 Year,NEC Display Solutions,60002993,1920 x 1200,1,95 W,MultiSync PA241W Widescreen LCD MonitorManualPower CableAnalogue CableDigital Signal CableInstallation and Drivers CD,MultiSync,PA241W,MultiSync PA241W Widescreen LCD Monitor,LCD Monitor,8 ms,WUXGA,"61.2 cm (24.1"")",Yes,Yes,7.40 kg,556.3 mm,556.26 mm,Yes,,,178°,Wall Mountable,,PC,,,178°,Yes,10.60 kg,,,16.7 Million Colours,,,110 V AC 220 V AC,,,,,1 W,,,200 x 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E2470SWHE, 2926715, AOC, LCD Monitor, JR Linton",16:9,LED,AOC,250 cd/m²,,Black,"20,000,000:1",,78.20 mm,No,No,,EuP TCO Certified Displays 6.0 ENERGY STAR 6.0 RoHS EPEAT Gold,Yes,,396.90 mm,3 Year,AOC,E2470SWHE,1920 x 1080,1,26 W,"e2470Swhe 59.9cm (23.6"") LCD Monitor Power Cable D-Sub Cable HDMI Cable Product CD-ROM Warranty Card on CD-ROM",Value,e2470Swhe,"e2470Swhe 59.9cm (23.6"") LCD Monitor",LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",No,Yes,3.58 kg,,551.40 mm,Yes,i-Menu e-Saver Eco Mode Security Lock Screen+,Yes,170°,Wall Mountable,,,,No,160°,Yes,,No,No,16.7 Million Colours,Yes,,220 V AC 110 V AC,,500 mW,Twisted Nematic Film (TN Film),60 Hz,500 mW,,-5°to15°,100 x 100,,CE GOST NRTL TUV-GS TUV-Bauert,,,,,,,,,,,,,,,,,,,,,,,,,
"240P4QPYEB/00, 2788557, Philips, LCD Monitor, JR Linton",16:10,LED,Philips,300 cd/m²,Speaker USB Hub,Textured Black,"1,000:1",65 mm,244 mm,Yes,Yes,,WEEE RoHS ENERGY STAR 6.0 EPEAT Gold TCO Certified Displays 6.0,Yes,388 mm,550 mm,3 Year,Philips Electronics,240P4QPYEB/00,1920 x 1200,1,17.10 W,,Brilliance,240P4QPYEB,"Brilliance LCD Monitor with PowerSensor 240P4QPYEB P-line 24"" / 61 cm 1920x1200",LCD Monitor,5 ms,WUXGA,"61 cm (24"")",Yes,Yes,4.64 kg,555 mm,555 mm,Yes,Sync on Green SmartResponse SmartErgoBase Eco Mode Security Lock PowerSensor SmartImage,,178°,,2.0,PC Mac,P,Yes,178°,Yes,6.97 kg,Yes,Yes,16.7 Million Colours,Yes,Yes,220 V AC 110 V AC,,0 mW,In-plane Switching (IPS) Technology,60 Hz,200 mW,,,100 x 100,,BSMI CE Mark FCC Class B GOST SEMKO TUV Ergo TUV/GS UL/cUL,,,,,,,,,,USB 2.0,Yes,25%,,,,,,,,,,,,,
"9H.LCHLB.QBE, 3197520, BenQ, LCD Monitor, JR Linton",16:9,LED,BenQ,350 cd/m²,USB Hub,Red Black,"12,000,000:1",199 mm,,Yes,Yes,,ENERGY STAR 6.0,Yes,520 mm,,,BenQ Corporation,9H.LCHLB.QBE,1920 x 1080,1,50 W,"XL2430T Widescreen LCD Monitor Signal Cable (DVI-DL, USB 3.0) S Switch Arc Dust cover",,XL2430T,XL2430T Widescreen LCD Monitor,LCD Monitor,1 ms,Full HD,"61 cm (24"")",Yes,Yes,7 kg,568 mm,,Yes,Eye-Care Game Mode FPS Mode Black eQualizer Security Lock Low Blue Light Advanced Motion Accelerator (AMA) Flicker-free Senseye 3 Smart Scaling Motion Blur Reduction Technology,Yes,170°,Wall Mountable,,PC,XL,,160°,Yes,,Yes,Yes,16.7 Million Colours,Yes,Yes,230 V AC 120 V AC,140 mm,500 mW,Twisted Nematic Film (TN Film),144 Hz,500 mW,45°,-5°to20°,100 x 100,,,,,,,,,,,,USB 3.0,,,,,,,,,,,,,,,
"U-19, AGNMON041, AG Neovo, LCD Monitor, JR Linton",,,AG Neovo,250 cd/m²,Speaker,,"1,000:1",174 mm,,,Yes,,REACH WEEE RoHS ENERGY STAR TCO Displays 5.0,Yes,417 mm,,,AG Neovo Technology Corporation,U-19,1280 x 1024,1,20.50 W,U-19 LCD MonitorQuick GuideCD ROM (user manual and drivers)Audio CablePower Cord15-Pin D-Sub Cable,,U-19,U-19 LCD Monitor,LCD Monitor,3 ms,SXGA,"48.3 cm (19"")",,Yes,6.50 kg,440 mm,,,,,160°,Wall Mountable,2.0,Mac PC,U,Yes,160°,Yes,,,,16.7 Million Colours,,Yes,220 V AC 110 V AC,,900 mW,,75 Hz,900 mW,,,100 x 100,,ULFCCCBCEBSMIEUP,,,,,,,,,,,,,,,,,,,,,,,,,
"60003327, NECCMW85, NEC Display Solutions, LCD Monitor, JR Linton",16:9,Edge LED,NEC Display,700 cd/m²,Speaker,Black,"3,500:1",43.3 mm,,Yes,Yes,,RoHS ENERGY STAR 5.1,Yes,537.1 mm,,3 Year,NEC Display Solutions,60003327,1920 x 1080,1,235 W,MultiSync X401SPower CableSlot Cover For STv2VGA CableFree LAN Control SoftwareRemote Control (IR),MultiSync,X401S,MultiSync X401S,LCD Monitor,8 ms,Full HD,"101.6 cm (40"")",,Yes,14.90 kg,925.1 mm,,,Video Wall HeatControl Sensor Picture in Picture TileMatrix (10x10) Ambient Light Sensor Eco Mode Screen Saver,Yes,178°,Wall Mountable,2.0,PC,,Yes,178°,Yes,,,,,Yes,,,,,Super Patterned Vertical Alignment (S-PVA) Technology,60 Hz,1 W,,,300 x 300,,CETUV GSC-tickFCC Class AUL/C-ULCSAPSBVCCI,Yes,Yes,,,Yes,,Yes,,,,,,,,,,Portrait,,,,,,,,
"E2260SWDA, 2518432, AOC, LCD Monitor, JR Linton",16:9,LED,AOC,250 cd/m²,Speaker,Black,"1,000:1",185 mm,,No,Yes,,RoHS ENERGY STAR 5.0 TCO Displays 5.0 EPEAT Gold,Yes,373 mm,,,AOC,E2260SWDA,1920 x 1080,1,,"LED Monitor - e2260Swda Professional 54.7cm (21.5"")Power CableD-Sub CableDVI-D CableAudio CableWarranty Card",Professional,e2260Swda,"LED Monitor - e2260Swda Professional 54.7cm (21.5"")",LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,Yes,,511 mm,,Yes,Security Lock,No,170°,Wall Mountable,,PC,,Yes,160°,Yes,,No,No,16.7 Million Colours,Yes,,110 V AC 220 V AC,,,,60 Hz,,,,100 x 100,,CEFCCISO 9241-307TUV-GS,,,,,,,,,,,,,,,,,,,,,,,,,
"VS207NE, 3054723, ASUSTeK COMPUTER, LCD Monitor, JR Linton",16:9,LED,Asus,200 cd/m²,,Black,"80,000,000:1",,185 mm,,Yes,Click to view,China Energy Label (CEL) ENERGY STAR 6.0 RoHS ErP WEEE,Yes,,355.50 mm,3 Year,ASUS Computer International,VS207NE,1600 x 900,1,,VS207NE Widescreen LCD Monitor DVI Cable VGA Cable Power Cord Quick Start Guide Warranty Card,,VS207NE,VS207NE Widescreen LCD Monitor,LCD Monitor,5 ms,HD+,"49.5 cm (19.5"")",,Yes,,,468 mm,,QuickFit SmartContrast Security Lock Splendid Video Intelligence Technology,,,,,,,,,Yes,,,,16.7 Million Colours,Yes,,,,,,,,,-5°20°,75 x 75,,"CB CCC CE C-Tick FCC Gost-R UL/cUL VCCI WHQL (Windows 8, Windows 7)",,,,,,,,,,,,,,,,,,,,,,,,,
"PQ321QE, 2834658, ASUSTeK COMPUTER, LCD Monitor, JR Linton",16:9,LED,Asus,350 cd/m²,Speaker,Black,800:1,,256 mm,Yes,,,WEEE RoHS,Yes,,489 mm,3 Year,ASUS Computer International,PQ321QE,3840 x 2160,1,93 W,PQ321QE Widescreen LCD Monitor Cable Clamp Power cord Power adapter DisplayPort cable Warranty Card RS-232C Conversion cable Setup Manual,,PQ321QE,PQ321QE Widescreen LCD Monitor,LCD Monitor,8 ms,Ultra HD,"80 cm (31.5"")",,,13 kg,,750 mm,Yes,IGZO Security Lock,,176°,Wall Mountable,2.0,PC,,Yes,176°,Yes,,Yes,,1073.7 Million Colors (10-bit),Yes,Yes,220 V AC 110 V AC,150 mm,1 W,,,1 W,45°,-5°to25°,200 x 200,Anti-glare,CB CE CU WHQL,,,,,,,,,,,,,,,,,,,,,,,,,
"B7M13AA#UUZ, HP, LCD Monitor, JR Linton",16:9,LED,HP,200 cd/m²,Speaker,Black,600:1,47.5 mm,170.20 mm,,Yes,,WEEE REACH ENERGY STAR EPEAT Silver,Yes,281.5 mm,339.50 mm,1 Year,Hewlett-Packard,B7M13AA#UUZ,1366 x 768,1,24 W,"W1972a 47 cm (18.5"") LED Backlit LCD Monitor VGA Cable Audio Cable Power Cord",Business,W1972a,"W1972a 47 cm (18.5"") LED Backlit LCD Monitor",LCD Monitor,5 ms,HD,"47 cm (18.5"")",,Yes,,446.1 mm,446.10 mm,Yes,Security Lock,,90°,,,,Value,Yes,50°,,2.70 kg,No,,16.77 Million Colors,Yes,,110 V AC 220 V AC,,,,76 Hz,500 mW,,,,Anti-glare,,,,No,,,,,,,,,,,,,,,,,,,,,,
