1920 x 1200 graphic mode,<page title>,aspect ratio,backlight,barcode,brightness,case colour,certifications,contrast ratio,digital in,dimensions,displayport in,environmental,hd support,hdmi ports,headphone ports,height adjustable,in the box,pixel pitch,plug and play,power consumption,power supply,resolution native,response time,scan frequency,screen dimensions,screen type,security locking mechanics,speakers,swivel,tilt forwardbackward,usb ports,user controls,vga in,view angle,voltagefrequency,wall mount,warranty,antiglare antistatic,audio features,audio line in ports,audio line out ports,digital out,language selection,model name,pixel clock speed,product type,resolution maximum,rj45 ports,scan frequency horizontal,scan frequency vertical,serial ports,synch input,display type,1920 x 1080 graphic mode,monitor,power adaptor type,remote control,svideo in,video component in,video composite in,power management features,product family,video component out,video composite out,description,audio capabilities,network interface,pivot,scart ports,backlight technology,brand name,builtin devices,colour,dvi,hdmi,horizontal viewing angle,manufacturer,manufacturer part number,manufacturer website address,maximum resolution,maximum response time,number of screens,product model,product name,screen mode,screen size,vertical viewing angle,vga,audiovisual port,lifetime,system requirements,webcam,ac power,bnc port,1024 x 768 graphic mode,1280 x 768 graphic mode,640 x 350 graphic mode,640 x 480 graphic mode,720 x 400 text graphic mode,800 x 600 graphic mode,factory presets,user programmable modes,video bandwidth,operating systems supported,power adaptor output voltage,1680 x 1050 graphic mode,dc power,microphone in port,adjustable display angle,colour support,depth,green compliance,green compliance certificateauthority,hdcp support,height,input voltage,marketing information,operating power consumption,package contents,platform support,standby power consumption,vesa mount compatible,vesa mount standard,weight approximate,width,mount type,offmode power consumption,product series,svideo,1440 x 900 graphic mode,1280 x 1024 graphic mode,1400 x 900 graphic mode,1152 x 864 mac graphic mode
,Cleverboxes - 210-ABRO | Dell Professional P2714H (27 inch) Full HD LED Backlit Monitor 1000:1 300cd/m2 1920x1080 8ms DisplayPort/DVI-D,,LED,,300cd/m2,,"ENERGY STAR 6, EPEAT Gold, CECP, RoHS Compliant, TCO Certified Displays","1,000:1 (Static) , 2,000,000:1 (Dynamic)",1 x DVI-D (with HDCP),64.14cm (W) x 20.40cm (D) x 53.90cm (H) - Weight 4.56kg,1 x DisplayPort 1.2a,Operating Temperature 0 to 40°C - Humidity 10 to 80%,Yes,,,Yes,Monitor with stand • Cable cover • Power cable • DisplayPort cable • USB cable • VGA cable • Drivers and documentation media • Quick setup guide • Safety information,0.311mm,,22W (Max) / 0.3W (Standby),,1920 x 1080 Pixels 1080p,8ms,,27in,In Plane Switching (IPS) 16.7 Million Colour,,,,,"4 x USB 2.0 (4 x Downstream, 1 x Upstream)",,1 x 15-pin D-Sub,178° (Horizontal - Max) x 178° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",3 Year Advanced Exchange Service and Premium Panel Guarantee,Anti-Glare • Hard Coating 3H,,,,,,P2714H,,Monitor,,,,,,,,60Hz,,AC,,,,,,Professional,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 19B4LCB5/00 | Philips (19 inch) LCD Monitor with SmartImage LED Backlight 1280x1024 (Black),5:4,LED,,250cd/m2,Black,,"1,000:1 (Static) , 20,000,000:1 (Dynamic)",1 x DVI-D,40.4cm (W) x 22.7cm (D) x 50.6cm (H) - Weight 4.61kg,,,,,1 x Headphone Port,Yes,,0.294 x 0.294mm,,14W (Max) / 0.1W (Standby),,1280 x 1024 Pixels,5ms,,19in (Diagonal),TFT LCD 16.7 Million Colour,,2 x 1.5W,±65°,-5 to +20°,,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",,,,1 x 3.5mm PC audio input,,,,,,Monitor,,,30KHz to 83KHz,56Hz to 75Hz,,"Separate sync, Sync on green",,,,,,,,,,,,,"A pair of high quality stereo speakers built into a display device. It can be visible front firing, or invisible down firing, top firing, rear firing, etc depending on model and design. SmartImage is an exclusive leading edge Philips technology that analyzes the content displayed on your screen and gives you optimized display performance. This user friendly interface allows you to select various modes like Office, Photo, Movie, Game, Economy etc., to fit the application in use. Based on the selection, SmartImage dynamically optimizes the contrast, colour saturation and sharpness of images and videos for ultimate display performance. The Economy mode option offers you major power savings. All in real time with the press of a single button! PC software for fine tuning display performance and settings. Philips offers users two choices for display setting adjustment. Either navigate the multilevel On Screen Display menu through buttons on the display itself or use the Philips SmartControl software to easily adjust the various display settings in a familiar way.",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 29EB93-P | LG Electronics LG 29EB93 (29 inch) Ultrawide IPS Monitor 1000:1 300cd/m2 2560x1080 5ms HDMI/DisplayPort/DVI-D,21:9,,8806084236678,300cd/m2,,,"1,000:1 (Static)",1 x DVI-D,69.97cm (W) x 22.50cm (D) x 39.44cm (H) - Weight 6.84kg,1 x DisplayPort,,,2 x HDMI,1 x Headphone Port,Yes,Monitor • Power Cord • DVI-D Cable • MHL Cable • PC Audio Cable • Software Install CD (PC OS),,DDC/CI,48W (Max) / 1.2W (Standby),,2560 x 1080 Pixels,5ms,,29in (Diagonal),IPS 16.7 Million Colour,,,,-5 to +20°,,,,178° (Horizontal - Max) x 178° (Vertical - Max),100 to 240VAC,,,Anti-Glare • Hard Coating 3H,,1 x PC audio input,,,,29EB93,,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - E970SWN | AOC Professional e970Swn (18.5 inch) LED Monitor 700:1 200cd/m2 1366x768 5ms,16:9,,4038986193788,200cd/m2,,CE • EPEAT Silver • FCC • GOST • RoHS • TÜV-GS • ISO 9241-307 • EuP • Energy Star 6 • NRTL,"700:1 (Static) , 20,000,000:1 (Dynamic)",,43.74cm (W) x 15.6cm (D) x 33.68cm (H) - Weight 2.8kg,,,,,,,,0.3 x 0.3mm,,15W (Max) / 0.5W (Standby) / 0.3W (Saving),,,5ms,,18.5in Display Area - 41.0 x 23.0cm,LED 16.7 Million Colour,Kensington Security Port,No,,-5 to +15°,,,1 x 15-pin D-sub,,90 to 240VAC / 50 to 60Hz,"Yes , VESA 100 x 100mm",3 Years,,,,,,,e970Swn,,Display,1366 x 768 Pixels WXGA,,,,,,,,,,,,,,,Professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - VK228H | Asus VK228H (21.5 inch) LED Monitor 80000000:1 250 cd/m2 5ms HDMI VGA DVI-D (Black),16:9,,4716659096566,250cd/m2,Black,Energy Star • TCO5.2 • UL/cUL • CB • CE • ErP • FCC • CCC • BSMI • Gost-R • C-Tick • VCCI • J-MOSS • RoHS • WEEE • Windows Vista and Windows 7 WHQL • EPEAT GOLD.,,1 x DVI-D,51.471cm (W) x 20.06cm (D) x 38.72cm (H) - Weight 5.2kg,,,Yes,1 x HDMI,,,Asus VK228H (21.5 inch) LED Monitor • DVI cable • VGA cable • Audio cable • Power cord • USB cable • Quick start guide • Support CD • Warranty Card,0.248mm,,,,1920 x 1080 Pixels,5ms,,21.5in,Widescreen 16.7 Million Colour,Kensington Lock,2 x 1.0W,,+20° to -5°,,SPLENDID Video Preset Mode Selection • Auto. Adjustment • Brightness Adjustment • Input Selection • QuickFit,1 x 15-pin D-sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , Supported - 100mm x 100mm",,,,,,,,VK228H,,Display,,,30KHz to 82KHz (Digital) 30KHz to 82KHz (Analogue),50Hz to 76Hz (Digital) 50Hz to 76Hz (Analogue),,,LED Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - HP196AGB | HannsG HP196AGB (18.5 inch) LED Backlight Monitor 1000:1 200cd/m2 1366 x 768 5ms VGA (Black),16:9,LED,4716329059969,200cd/m2,Black,,"1,000:1 (Static)",,44.43cm (W) x 17.18cm (D) x 33.84cm (H) - Weight 3.35kg,,,,,,,HannsG HP196AGB (18.5 inch) LED Backlight Monitor,0.3 x 0.3mm,,,,1366 x 768 Pixels,5ms,,18.5in,LED Backlight LCD 16.7 Million Colour,,,,,,,1 x 15-pin D-sub,160° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,,,,,1 x PC audio input,,,,HP196AGB,,Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60Hz,Cleverboxes - BDL6531E/00 | Philips BDL6531V 65 inch Slim Bezel LCD Monitor 500cd/m2 1920x1080p 8ms 2500:1 HDMI,16:9,,,500cd/m2,Black,"Regulatory Approvals: CE, FCC, Class B, CCC, RoHS, UL/cUL","2,500:1 (Static)",1 x DVI-D,152.36cm (W) x 12.48cm (D) x 89.16cm (H) - Weight 54kg,,Operating Temperature 0 to 40°C - Humidity 5 to 90%,Yes,1 x HDMI,,,Philips 65 inch LCD Monitor • VGA cable • Remote Control • Batteries for remote control • User manual on CD-ROM • AC Power Cord • Quick start guide,0.63 x 0.63mm,,358W (Max) /,,,8ms,,,LCD 16.7 million Colours,,2 x 12W,,,,,1 x 15-pin D-sub,178° (Horizontal - Max) x 178° (Vertical - Max),90 to 264VAC / 50 to 60Hz,"Yes ,",,,,2 x audio input,1 x Audio Out,,"English, French, German, Italian, Spanish, Polish, Turkish, Russian, Simplified Chinese",,,,,,,,1 x In • 1 x Out,,LCD Display,60Hz,65in,,,1 x S-Video,1 x YPbPr,,,,1 x BNC,,"Professional PCs are part of most public signage installations. Quite often they add additional depth to the public display and a lot of cable clutter. This public display contains a Smart insert in the back cover that will fit many professional small form factor PCs. In addition, it offers provisions for efficient cable management. The internal zoom function enables easy implementation of a video wall matrix, without the need for expensive external equipment. Capable of a vidiwall of 25 displays by dividing up to 5 displays each horizontally and vertically. Static images left on-screen for extended periods of time may leave a ghost image or image sticking effect on LCD displays. Although image sticking on LCD displays is not permanent, you want to prevent this happening, especially in locations where content is shown 24/7. The adjustment of display settings to correspond with ambient light without user intervention. The backlight intensity can be controlled and pre-set by the system to reduce the power consumption by up to 50%, which saves substantially on energy costs.",Built-in speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,1 x AC Adaptor,1 x BNC,60Hz,60Hz,,"60, 67, 72, 75Hz",,"56, 60, 72, 75Hz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60Hz,,,
,Cleverboxes - CDP5537-L | Viewsonic CDP5537-L (55 inch) Full HD Commercial Display with 120Hz Featuring LED Technology 1300:1 450cd/m2 1920 x 1080 12ms 16:9 (Black),16:9,,,450cd/m2,,,"1,300:1 (Static) , 50,000:1 (Dynamic)",1 x DVI,128.1cm (W) x 3.7cm (D) x 75.2cm (H) - Weight 21.8kg,,Operating Temperature 0 to 40°C - Humidity 10 to 80%,,1 x HDMI,,,CDP5537-L display • Power cable • Remote control with batteries • User Guide CD,,,140W (Max),,,12ms,,55in,TFT Active Matrix Wide Colour,,2 x 10W,,,1 x USB,,1,178° (Horizontal - Max) x 178° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA 400 x 400",3-year limited warranty,Anti-Glare • Hard Coating 3H,,1 x Audio Line In,,1 x DVI,,CDP5537-L,,Display,1920 x 1080 Pixels,1 x RJ-45,,,2 x RS-232-C,,,,,,,,1 x Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 x AV input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - VS248H | Asus VS248H (24 inch) LED Monitor 50000000:1 250 cd/m2 1920 x 1080 2ms VGA DVI-D HDMI (Black),16:9,,4719543390153,250cd/m2,Black,Energy Star 5.0 • CEL • UL/cUL • CB • CE • ErP • FCC • CCC • BSMI • Gost-R • C-Tick • VCCI • PSB • J-MOSS • RoHS • WEEE • Windows 7 WHQL,"5,000,000:1 (Dynamic)",1 x DVI-D,57.32cm (W) x 20.55cm (D) x 41.23cm (H) - Weight 6.4kg,,,Yes,1 x HDMI,,,Asus VS248H (24 inch) LED Monitor • DVI cable • VGA cable • Power cord • Quick start guide • Warranty Card,0.2768mm,,,,1920 x 1080 Pixels,2ms,,24in,LED 16.7 Million Colour,Kensington Lock,,,+20° to -5°,,SPLENDID Video Preset Mode Selection • Auto. Adjustment • Brightness Adjustment • Contrast Adjustment • Input Selection,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),,"Yes , VESA Compliant - 100mm x 100mm",,,,1 x 3.5mm Mini-jack (for HDMI only),,,,,,,,,30KHz to 83KHz (Digital) 30KHz to 83KHz (Analogue),50Hz to 76Hz (Digital) 50Hz to 76Hz (Analogue),,,,,,,,,,,,,,,"When you would like to watch movies upward lying down, Smart View Technology can adjust colour parameters to deliver the same image quality and colours with straight viewing. The exclusive Splendid Video Intelligence Technology optimizes video performance and image fidelity by enhancing colour, brightness, contrast, and sharpness. 6 preset video modes (Scenery, Theater, Game, Night View, sRGB and Standard) can be selected via a hotkey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 857-BBBV | Dell Professional P1914S (19 inch) LED Backlit LCD Monitor 1000:1 250cd/m2 1280x1024 8ms DisplayPort/DVI-D Black (UK),5:4,LED,5397063347896,250cd/m2,Black,,"1,000:1 (Static)",1 x DVI-D (with HDCP),41.14cm (W) x 18.0cm (D) x 37.02cm (H) - Weight 2.76kg,1 x DisplayPort 1.2a,Operating Temperature 0 to 40°C - Humidity 10 to 80%,Yes,,,Yes,Monitor with stand • Cable cover • Power cable • DisplayPort cable • VGA cable • USB upstream cable Drivers and documentation media • Quick setup guide • Safety information,0.29mm,,16W (Max) / 0.5W (Standby),,1280 x 1024 Pixels,8ms,,"19in (Diagonal) , 29.98cm (W) x 37.48cm (H)",In Plane Switching (IPS) 16.7 Million Colour,,,,,"4 x USB 2.0 (1 x Upstream, 3 x Downstream)",,1 x 15-pin D-sub,178° (Horizontal - Max) x 178° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",3-Year Advanced Exchange Service and Premium Panel Guarantee,Anti-Glare • Hard Coating 3H,,,,,,P1914S,,Monitor,,,,,,,,,,AC,,,,,,Professional,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60Hz,,
,Cleverboxes - VA926-LED | Viewsonic VA926-LED (19 inch) LED Monitor 1000:1 250 cd/m2 1280 x 1024 5ms (Black),,,,250cd/m2,Black,"CE,CB, UL, cUL, FCC-B / ICES-003B, WEEE, RoHS, ENERGY STAR,REACH SVHC List, TCO 5.0","1,000:1 (Static) , 10,000,000:1 (Dynamic)",1 x DVI-D,41.2cm (W) x 19.5cm (D) x 43.4cm (H) - Weight 3.5kg,,Operating Temperature 0 to 40°C - Humidity 10 to 90%,,,,,VA926-LED display • Power cable • VGA cable • Quick Start Guide • ViewSonic Wizard CD (available in some countries only),,,18W (Max) / 12W (Standby),,,5ms,,19in,TFT Active Matrix,,,,5/20°,,,,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA 100 x 100mm","Three-year limited warranty on parts, labor and backlight",Anti-Glare • Hard Coating 3H,,,,,,VA926,,Monitor,1280 x 1024 Pixels,,24KHz to 82KHz,50Hz to 75Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 9H.LAFLB.QBE | BenQ EW2740L (27 inch) LCD Display 3000:1 300cd/m2 1920x1080 12ms (Black),16:9,,4718755046872,300cd/m2,Black,,"3,000:1 (Static) , 20,000,000:1 (Dynamic)",,62.2cm (W) x 19.1cm (D) x 45.0cm (H) - Weight 4.2kg,,,,2 x HDMI,,,,0.311mm,,,,,12ms,,27in (Diagonal),16.7 Million Colour,Kensington Lock,,,-5 to +20°,,,,178° (Horizontal - Max) x 178° (Vertical - Max),,,,,,,,,OSD Language: 17 languages,EW2740L,,Monitor,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,"The Flicker-free technology eliminates flickering at all brightness levels and effectively reducing eye fatigue. Conventional LCD screens flicks 200 times per second. Your eyes may not see flickers, but can certainly feel them. Free your eyes from flickers by switching to Flicker-free Monitors and let your eyes do less work. Every Monitor produces a strain of blue spectrum light that is one of the critical causes of eye damage, eye strain, headaches and sleeping disorders. BenQ's unique Low Blue Light technology is designed to deal with the everyday problem of blue light exposure and allows a healthier time spent in front of your computer. Switch to one of the four preset Low Blue Light Modes from OSD hot key (Multimedia - 30% reduction, Web-surfing - 50% reduction, Office - 60% reduction, Reading - 70% reduction), and reward your eyes without having to lose the visual enjoyment. The EW Series have passed Windows 8 certification and is fully compatible with Windows 8 colour systems. Plug in the EW Series Monitor to your computer, and Windows 8 will recognize it instantly, making setup and connection effortless. ecoFACTS can tell you how eco-friendly BenQ products are! Development of eco-friendly products, BenQ doesn't just want to comply with green regulations passively, but also to actively develop eco-friendly products! ecoFACTS declares BenQ's greatest efforts on the replacement of hazardous substances, material selection, packaging design, energy-saving design and other aspects of the products.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - E2060PWDA | AOC Professional e2060Pwda (19.5 inch) Wide LED Monitor 1000:1 250cd/m2 1600x900 5ms (Black),16:9,,4038986101882,250cd/m2,Black,,"1,000:1 (Static) , 20,000,000:1 (Dynamic)",1 x DVI-D,47.76cm (W) x 24.45cm (D) x 37.79cm (H) - Weight 4.7kg,,,,,1 x Headphone Port,Yes,,0.27 x 0.27mm,,,,,5ms,,,LED 16.7 Million Colour,Kensington Security Slot,Yes,,-5 to +15°,,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),90 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",3 Years,,,,,,,e2060Pwda,,Display,1600 x 900 Pixels,,30KHz to 83KHz,55Hz to 75Hz,,,,,,,,,,,,Professional,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 9H.L4WLA.SBE | BenQ BL2201PT 22 inch TFT LED Widescreen Monitor 1000:1 250cd/m2 1680x1050 5ms DVI (Black),,,4718755024641,250cd/m2,Black,,"1,000:1 (Static) , 12,000,000:1 (Dynamic)",,51.67cm (W) x 22.26cm (D) x 42.99cm (H) - Weight 6.1kg,,,,,,Yes,BenQ BL2201PT 22 inch TFT LED Widescreen Monitor • VGA cable / Power cable / Audio cable,0.282mm,,34.5W (Max) / 25.9W (Saving),Built-in,,5ms,30 to 83KHz (Horizontal) x 55 to 76Hz (Vertical),,LED 16.7 million Colours,Kensington Lock Slot,2 x 1.0W,±45°,-5 to +20°,,,,170° (Horizontal - Max) x 160° (Vertical - Max),,"Yes , VESA Compliant - 100mm x 100mm",,,,,,,17 languages,,,,1680 x 1050 Pixels WSXGA+,,,,,,LED Monitor,,22in Display Area - 47.37 x 29.61cm,,,,,,,,,,"On average, office workers spend about 20% of their working time away from their computers - often without turning them off. This feature automatically switches the monitor to Eco Mode when users step away from their desks and switches back to normal mode when users return - effectively saving considerable energy and money, which would otherwise reflect on to their monthly electricity bills. BenQ has added built-in speakers to the BL2201PT to boost the appeal of your business solutions! Not having to buy separate sound systems means your customers get to save up more money! The BL2201PT are built to give you seamless DP connectivity that fits perfectly with just about any input device - without rendering your customers' existing equipment obsolete. Green Technologies Certified to Keep the Earth and Your Business Solutions Lookin' Great! Help your customers build their business, as well as their reputation, with the BenQ BL2201PT! Globally recognized in the green community, these monitors are built to keep your customers and the Earth lookin' great! With global warming worsening, it's even more important to help businesses save energy and avoid pollution. The BenQ BL2201PT adopts mercury-free, power-saving LED backlight panel to reduce harmful CO2 emissions while increasing brightness and display lifespan - keeping precious water sources free of pollution during the manufacturing and recycling process For most businesses, keeping track of electricity usage can be quite a task - especially when it comes to reminding office workers to turn off their computers after a long day at work. Thanks to the eco sensor, your customers get to reduce energy waste and CO2 emission effortlessly - saving the planet bit by bit! Built to successfully minimize waste and environmentally harmful pollution, the BenQ BL2201PT monitors are coating-free and 100% recyclable - with 65% of the monitor frame made of recycled plastics. The BenQ BL2201PT comes with an extra green packaging for easier recycling. All materials used for packaging are EPS-free - with all PVC or foamed plastics replaced with recyclable paper cushion. Moreover, recycled paper is used for 80% packing to save forests. The Secret to Business Success: Enjoyable Work Environment Makes Happy Workers! Enjoyment matters! Only a highly enjoyable work environment can breed happy productive office workers! Built to offer glorious Full HD visual performance on large, vibrant LED displays, the BL2201PT offers you the kind of enjoyable edge that only BenQ can provide! LED-backlit panels are always ready for show! No more waiting for screens to warm up to reach full brightness and deliver outstanding colour presentation! It's the latest high definition video and image formats! With Full HD 1080p resolution and 16:10 aspect ratio, office workers get to enjoy a new clarity with richer, more realistic colours in even the subtlest details. Working with a tiny monitor screen can be quite uncomfortable! The B",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165MHz,Microsoft Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - ES195C | Edge10 ES195c LED Monitor 1000:1 250cd/m2 1600x900 5ms (Black Bezel),,,4712302921414,250cd/m2,Black Bezel,,"1,000:1 (Static)",,47.48cm (W) x 16cm (D) x 35.71cm (H) - Weight 3.12kg,,Operating Temperature 0 to 40°C - Humidity 20 to 85%,,,,,,0.27mm,,,,1600 x 900 Pixels,5ms,,19.5in Display Area - 43.2 x 23.98cm,Active Matrix TFT 16.7 Million Colour,Kensington Lock,No,,5/15°,,,1 x 15-pin D-sub,,50Hz,,3 years,,,,,,,ES195c,,Display,,,30KHz to 80KHz,60Hz to 75Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Microsoft Windows 95/98/98SE/Me/NT4/2000/XP/7 & 8, Mac OS Linux",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - G2460PQU | AOC Style g2460Pqu (24 inch) Wide LED Monitor 1000:1 350cd/m2 1920x1080 1ms DVI,16:9,,4038986142212,350cd/m2,,CE • Energy Star 5.0 • EPEAT Gold • EuP • FCC • GOST • ISO 9241-307 • RoHS • TCO 5.0 • TÜV-GS • NRTL,"1,000:1 (Static) , 2,000,000:1 (Dynamic)",1 x DVI-D (with HDCP),56.54cm (W) x 24.45cm (D) x 39.36cm (H) - Weight 6.54kg,,,,1 x HDMI,1 x Headphone Port,,,0.276 x 0.276mm,USB PNP,25W (Max) /,,,1ms,,24in Display Area - 53.1 x 29.8cm,LED 16.7 Million Colour,Kensington Security Port,Yes,,-5 to +15°,4 x USB,,1 x 15-pin D-sub,170° (Horizontal - Max) x 160° (Vertical - Max),90 to 240VAC / 50 to 60Hz,"Yes , VESA 100 x 100mm",3 Years,,,,1 x Audio Out,,,g2460Pqu,,Display,1920 x 1080 Pixels 1080p,,30KHz to 140KHz,55Hz to 122Hz,,,,,,,,,,,,Style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 857-10586 | Dell E-Series E1913 (19 inch) LED Monitor 1000:1 250cd/m2 1440x900 5ms DVI-D,16:10,LED,,250cd/m2,,,"1,000:1 (Static)",1 x DVI-D (with HDCP),44.38cm (W) x 16.35cm (D) x 37.28cm (H) - Weight 2.54kg,,Operating Temperature 0 to 40°C - Humidity 10 to 80%,,,,,Monitor with stand • Power Cable • DVI Cable • VGA Cable • Drivers and Documentation media • Quick setup guide • Safety Information,0.284mm,,,,1440 x 900 Pixels,5ms,,19in,TN (Twisted nematic) Widescreen 16.7 Million Colour,,,,,,,1 x 15-pin D-Sub,160° (Horizontal - Max) x 170° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",,Anti-Glare • Hard Coating 3H,,,,,,E1913,,Display,,,,,,,,,,,,,,,,E Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60Hz,
,Cleverboxes - 220P4LPYES/00 | Philips Asus 220P4LPYES/00 (22 inch) LED Backlight LCD Monitor 1000:1 250 cd/m2 1680 x 1050 5ms DisplayPort DVI VGA (Silver),16:10,W-LED System,,250cd/m2,Silver,BSMI • CE Mark • FCC Class B • GOST • SASO • SEMKO • TUV Ergo • TUV/GS • TCO 5.2 • UL/cUL • WEEE,"1,000:1 (Static) , 20,000,000:1 (Dynamic)",1 x DVI-D,50.4cm (W) x 22cm (D) x 51.7cm (H) - Weight 5.5kg,1 x DisplayPort,Operating Temperature 0 to 40°C - Humidity 20 to 80%,,,,Yes,Asus 220P4LPYES/00 (22 inch) LED Backlight LCD Monitor,0.282 x 0.282mm,DDC/CI • Mac OS X • sRGB • Windows 7/Vista/XP,0.3W (Standby) / 0W (Saving),,1680 x 1050 Pixels,5ms,,22in,TFT LCD 16.7 Million Colour,Kensington Lock,2 x 1.5W Integrated,±65°,-5 to +20°,4 x USB 2.0,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",,,,,,,,220P4LPYES/00,,Display,,,30KHz to 83KHz (Digital),56Hz to 75Hz (Digital),,"Separate sync, Sync on green",LED Backlight,,,,,,,,,,,,"USB Hub allows user to conveniently connect their plug and play multimedia devices such as USB memory devices, camera, portable HDD, Web camera, PDA, Printer and many other devices which have USB connection available. The conveniently located USB 2.0 Hub on the monitor allows USB 2.0 signals to pass through to the computer. Note that many devices like cameras and HDD may need to be powered On independently, as they have higher power requirements than the monitor USB Hub can provide. Thanks to its advanced SmartErgoBase, the Philips monitor can be lowered down almost to desk level for a comfortable viewing angle. Low bezel-to-table height is the perfect solution if you use bifocals, trifocals or progressive lens glasses for your computing work. Additionally, it allows users of different heights to use the monitor at their preferred angle and height settings, helping them to reduce fatigue and strain. SmartImage is an exclusive leading edge Philips technology that analyses the content displayed on your screen and optimises your display performance. This user-friendly interface allows you to select various modes, like Office, Photo, Movie, Game, Economy etc., to fit the application in use. Based on the selection, SmartImage dynamically optimises the contrast, colour saturation and sharpness of images and videos for ultimate display performance.",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
