<page title>,brand name,contrast ratio,diagonal screen size,dimensions,ecolabel,hd compatible,horizontal viewable angle,integrated speakers,item,manufacturer,manufacturer,maximum resolution,model name,monitor brightness,monitor color,native resolution,pixel pitch,signal input type,tv tuner,typical response time,viewable image size,wall mountable,warranty length,aspect ratio,backlight technology,brightness,depth,display orientation,height,input voltage,number of screens,platform supported,product line,product name,product type,screen size,vesa mount compatible,vesa mount standard,vga,weight,width,postconsumer recycled content,screen type,total recycled content,touchscreen type,builtin devices,color,color supported,depth with stand,dvi,height with stand,mount type,response time,screen mode,speakers,standard refresh rate,vertical viewing angle,viewing angle,weight with stand approximate,width with stand,features,offmode power consumption,operating power consumption,standby power consumption,touchscreen,usb,adjustable display angle,adjustable display height,adjustable display pivot,assembly required,country of origin,displayport,product series,quantity,recycled,certifications standards,hdcp supported,hdmi,multitouch screen,number of speakers,headphone jack,screen surface,panel technology,usb standard,webcam,antiglare,network rj45,compatibility,be comfortable,customizable color,full hd resolution,stay versatile,superb performance,ultrawide viewing angle,versatile connections,work with ease stay entertained for hours,component video,composite video,svideo,tilt angle
Viewsonic Value VA2342 LED 23 LED LCD Monitor 169 5 ms by Office Depot,Viewsonic,"1,000:1",,,China Energy Label (CEL); RoHS; WEEE; ENERGY STAR 5.0; EPEAT Silver,,,,695729,Viewsonic Corporation,PU9481,1920 x 1080,VA2342-LED,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"1.5""",,"13.1""",110 V AC; 220 V AC,1.0,PC; Mac,Value,"VA2342-LED 23"" Full HD 1080p LED Monitor",LCD Monitor,"23""",Yes,100 x 100,Yes,5 lb,"21.6""",,,,,,Black,,"7.90""",Yes,"16.90""",Wall Mountable,5 ms,Full HD,,60 Hz,160°,170°,5.60 lb,"21.60""",Security Lock,,22 W,,,,Yes,,,,,,,,,UL; cUL; FCC-B (ICES); CB; CCC; NOM; CE; TUV,Yes,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
AOC Value i2769Vm 27 LCD Monitor 169 5 ms by Office Depot,AOC,"1,000:1",,,,,,,446203,AOC,RG1050,1920 x 1080,i2769Vm,,,,,,,,,,,16:9,,250 Nit,"5.1""",,"17.7""",,1.0,PC,Value,"i2769Vm 68.6cm (27"") IPS Monitor",LCD Monitor,"27""",,,Yes,11 lb,"24.5""",,,,,Speaker,Black,16.7 Million Colors,,No,,,5 ms,,Yes,,178°,178°,,,Eco Mode; Security Lock; Mobile High-Definition Link (MHL),500 mW,35 W,500 mW,,,Yes,No,No,,,Yes,,,,,Yes,Yes,,,Yes,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,No,No,No,
Dell S2440L 24 Widescreen LED Backlit Monitor Black by Office Depot,Dell,"5,000:1 (static), 8 Million to 1 (dynamic contrast ratio)",24 inches,"16.45""H x 22.34""W x 7.51""D",EPEAT Silver,yes,178 degrees,no,897878,"Dell, Inc.",C9VNT,1920 x 1080,S2440L,250 cd/m2,Black,1920 x 1080,0.277 mm,"VGA, HDMI",No,6 ms,24 inches,no,1-yr limited,16:9,,,,,,,,,,,,,,,,,,0%,"VA, Glossy",0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,Set your preferred viewing angle with extensive tilt adjustability. Tilt the S2440L panel up to 4° forward or 21° backward.,"Dell Display Manager helps keep you productive with fast access to software such as Auto Mode, which enables you to select your preferred color mode for each application.",Watch images come alive in cinematic quality with Full HD resolution (1920 x 1080 max.) in a 16:9 widescreen format.,Connect to your laptop or desktop with VGA connectivity. The HDMI port enables you to explore thrilling HD entertainment options.,"Images come alive with color-boosting Image Enhance, ultra-wide viewing and Full HD resolution (1920 x 1080 max.) in a 16:9 widescreen format.",The stellar view pulls you in from nearly any perspective with an ultra-wide 178°/178° viewing angle.,Connect to a laptop or desktop with VGA connectivity. Explore a world of HD entertainment options with an HDMI port.,"Be comfortable: Set your preferred viewing angle with extensive tilt adjustability. Tilt the S2440L panel up to 4° forward or 21° backward.
Stay versatile: Connect to your laptop or desktop with VGA connectivity. The HDMI port enables you to explore thrilling HD entertainment options.
Organize your screen: Tile your applications with Easy Arrange software so you can see them all clearly at a single glance. Even select your preferred desktop design layout.",,,,
HP W2072a 20 LED Backlit LCD Monitor Black by Office Depot,HP,"600:1 typical; 3,000,000:1 dynamic",20 inches,"14.04"" x 18.79"" x 6.7""",EPEAT Silver,yes,,Yes,303379,Hewlett-Packard,A3M50AA#ABA,1600 x 900 at 60Hz,W2072a,200 cd/m2,black,1600 x 900,0.277 mm,DVI-D (digital) with HDCP; VGA 15-pin D-sub; audio,No,5 ms,20 inches,yes,1-yr limited,16:9,,,,,,,,,,,,,,,,,,0%,flat panel LCD,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,
Acer B226WL 22 LED LCD Monitor 1610 5 ms by Office Depot,Acer,"100,000,000:1",,,TCO '06,,,,179614,"Acer, Inc",QX5327,1680 x 1050,B226WL,,,,,,,,,,,16:10,LED,250 Nit,"8.7""",,"21""",110 V AC; 220 V AC,1.0,,,B226WL Widescreen LCD Monitor,LCD Monitor,"22""",,,Yes,6.81 lb,"19.9""",,,,,Speaker,Black,16.7 Million Colors,,Yes,,,5 ms,WSXGA+,Yes,60 Hz,160°,170°,12.68 lb,,,350 mW,24.20 W,450 mW,,,Yes,Yes,Yes,,,,B,,,,Yes,,,2.0,,Anti-glare,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,
NEC Display MultiSync EX231W BK 23 LED LCD Monitor with VUKUNET free CMS by Office Depot,NEC Display,"25,000:1; 1,000:1",,,ENERGY STAR; TCO Displays 5.0; MPR III; EPEAT Gold; RoHS,,,,225994,NEC Display Solutions,S7936425,1920 x 1080,EX231W-BK,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"1.9""",,"12.5""",110 V AC; 220 V AC,1.0,PC,MultiSync,MultiSync EX231W-BK Widescreen LCD Monitor,LCD Monitor,"23""",Yes,100 x 100,,6.17 lb,"21.3""",,,,,,Black,16.7 Million Colors,"8.46""",Yes,"20.13""",,5 ms,Full HD,,75 Hz,170°,176°,9.26 lb,"21.27""",,,32 W,370 mW,,Yes,Yes,,,,,Yes,,,,,Yes,,,,,,,USB 2.0,,,,,,,,,,,,,,,,
Asus VN279QL 27 LED LCD Monitor 169 5 ms by Office Depot,Asus,"100,000,000:1",,,WEEE; RoHS; TCO Certified Displays 6.0; ENERGY STAR,,,,390511,ASUS Computer International,11217349,1920 x 1080,VN279QL,,,,,,,,,,3-year limited,16:9,LED,300 Nit,,Landscape/Portrait,,,1.0,PC,,VN279QL Widescreen LCD Monitor,LCD Monitor,"27""",Yes,100 x 100,Yes,13.45 lb,,,,,,Speaker,Black,16.7 Million Colors,"8.88""",Yes,"20.71""",Wall Mountable,5 ms,Full HD,Yes,,178°,178°,,"24.38""",Ultra Slim; MultiScreen; Splendid Video Intelligence Technology; Security Lock; CrystalBrite; Mobile High-Definition Link (MHL); SmartContrast; Trace Free Technology; Game Mode; SmartErgoBase; QuickFit; VividPixel Technology,,35 W,500 mW,,,Yes,Yes,Yes,,,Yes,VN,,,EAC logo; BSMI; CB; CCC; CE; CEL Level 1; C-Tick; CU; FCC; ISO-9241-307; J-MOSS; PSE; TUV-GS; UkrSepro; UL/cUL; VCCI; WHQL,Yes,Yes,,2.0,Yes,,AMVA+,,,,,,,,,,,,,,,,,
Dell E2214H 215 Widescreen HD LED Monitor Black by Office Depot,Dell,1000:1,21.5 inches,"15.62""H x 20.20""W x 6.52""D",ENERGY STAR; EPEAT Gold,yes,170 degrees,no,614908,"Dell, Inc.",GP54V,1920 x 1080,E2214H,250 cd/m2,Black,1920 x 1080,0.248 mm,DVI-D (digital) with HDCP; VGA 15-pin D-sub,No,5 ms,21.5 inches,no,3-yr limited,16:9,,,,,,,,,,,,,,,,,,0%,TN (TFT active matrix LCD),0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,
Asus VW199T P 19 LED LCD Monitor 169 5 ms by Office Depot,Asus,"10,000,000:1",,,ENERGY STAR; TCO '03; RoHS,,,,855157,ASUS Computer International,DY3369,1440 x 900,VW199T-P,,,,,,,,,,3-year limited,16:9,LED,,,,,,1.0,PC,,VW199T-P Widescreen LCD Monitor,LCD Monitor,"19""",Yes,100 x 100,,9.26 lb,,,,,,Speaker,Black,16.7 Million Colors,"8.27""",Yes,"10.39""",Wall Mountable,5 ms,WSXGA,Yes,75 Hz,160°,170°,,"17.48""",,100 mW,26.90 W,100 mW,,,Yes,,,,,,VW,,,UL/cUL; CB; CE; FCC; CCC; TUV-GS; TUV-ERGO; ISO9241-307; BSMI; GOST-R; C-Tick; VCCI; PSB; NOM; J-MOSS,Yes,,,2.0,,,,,,,,,,,,,,,,,,,,
Planar Professional PS4650 46 Edge LED LCD Monitor 169 650 ms by Office Depot,Planar,"4,000:1",,,,,,,588559,"Planar Systems, Inc",KE4557,1920 x 1080,PS4650,,,,,,,,,,3-year limited,16:9,Edge LED,500 Nit,"2.6""",,"24.4""",110 V AC; 220 V AC,1.0,PC,Professional,Professional PS4650 Widescreen LCD Monitor,LCD Monitor,"46""",Yes,400 x 200,Yes,57.32 lb,"41.7""",,,,,,,16.7 Million Colors,,Yes,,,6.50 ms,Full HD,,120 Hz,178°,178°,,,Video Wall; Landscape/Portrait Viewable; Picture in Picture,,160 W,,,,,,,,,,PS,,,FCC Class A; UL; CE,,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,
Elo 1541L 15 LED Open frame LCD Touchscreen Monitor 169 16 ms by Office Depot,Elo,500:1,,,RoHS; China RoHS; WEEE,,,,641782,"Elo Touch Solutions, Inc",PD2051,1366 x 768,1541L,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"1.8""",,"8.7""",110 V AC; 220 V AC,,,,1541L 15-inch LCD Open-frame Touchmonitor,Open-frame LCD Touchscreen Monitor,"15""",Yes,75 x 75,Yes,6.48 lb,"14.8""",,,,Surface Acoustic Wave,,,16.7 Million Colors,,Yes,,,16 ms,WXGA,,60 Hz,130°,170°,,,,1 W,15 W,2 W,Yes,Yes,,,,,,,,,,C-Tick; cUL; IC; CCC; CE; VCCI; KCC; CoC; BSMI; UL; FCC; CB; IMERC,,,,,,,,,,,,,,,,,,,,,,,,
Planar PXL2240MW 22 Edge LED LCD Touchscreen Monitor 169 5 ms by Office Depot,Planar,"1,000:1",,,RoHS,,,,604108,"Planar Systems, Inc",TB8246,1920 x 1080,PXL2240MW,,,,,,,,,,3-year limited,16:9,Edge LED,250 Nit,"2.2""",,"15.5""",110 V AC; 220 V AC,,PC,,"PXL2240MW 22"" Touch Screen Monitor",LCD Touchscreen Monitor,"22""",Yes,100 x 100,Yes,10.50 lb,"21.9""",,,,Optical,Speaker,Black,16.7 Million Colors,"4.30""",Yes,"15.50""",,5 ms,Full HD,Yes,,160°,170°,11.70 lb,"21.90""",,5 W,35 W,5 W,Yes,Yes,Yes,,,,,,,,,UL/c-UL; FCC-Class B; CE,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,
Samsung S19C450BR 19 LED LCD Monitor 54 5 ms by Office Depot,Samsung,"1,000:1",19 inches,,TCO Certified Displays; ENERGY STAR; EPEAT Gold; Eco-label,,,,894764,Samsung,QV9015,1280 x 1024,S19C450BR,250 Nit,,,,,,,,,3-year limited,5:4,LED,,"2.2""",,"13.2""",110 V AC; 220 V AC,1.0,PC,,S19C450BR LCD Monitor,LCD Monitor,,Yes,100 x 100,Yes,6.50 lb,"16""",,,Plastic,,,Matte Black,16.7 Million Colors,"8.27""",Yes,"18.46""",Wall Mountable,5 ms,SXGA,,,160°,170°,9.81 lb,"16.02""",MagicAngle; Eco Saving; Off Timer; MagicBright 3; MagicRotation; MultiScreen; MagicTune,,19 W,100 mW,,,Yes,Yes,Yes,,Mexico,,450,,Yes,"UL: UL 60950-1; CSA: CSA C22.2 No. 60950-1; TUV: EN60950-1; NEMKO: EN60950-1; KC: K60950-1; CCC: GB 4943-2001; PSB: IEC60950-1; GOST: IEC60950-1, EN55022; SIQ: IEC60950-1, EN55022; PCBC: IEC60590-1, EN55022; NOM: NOM-019-SCFI-1993; IRAM:IEC60950-1; SASO: IEC60950-1EMC:; FCC: FCC Part 15, Subpart B class A; CE: EN55022, EN55024; VCCI: V-3 (CISPR22); KCC:KN22, KN24; C-Tick: AS/NZS3548 (CISPR22); CCC:GB 9254-2008, GB 17625.1-2003",,,,,,,,,,,,,,,,,,,,,,,,
Acer V226WL 22 LED LCD Monitor 1610 5 ms by Office Depot,Acer,"100,000,000:1",,,TCO '06,,,,630694,"Acer, Inc",RA7831,1680 x 1050,V226WL,,,,,,,,,,,16:10,LED,250 Nit,"8.1""",,"16.5""",110 V AC; 220 V AC,1.0,,,V226WL Widescreen LCD Monitor,LCD Monitor,"22""",,,Yes,6.81 lb,"19.9""",,,,,,Black,16.7 Million Colors,,Yes,,,5 ms,WXGA+,,60 Hz,160°,170°,7.76 lb,,,350 mW,24.20 W,450 mW,,,,,,,,,V,,,,Yes,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
Elo 1515L 15 LCD Touchscreen Monitor 43 1420 ms by Office Depot,Elo,500:1,,,,,,,678547,"Elo Touch Solutions, Inc",V21392,1024 x 768,1515L,,,,,,,,,,,4:3,,250 Nit,,,,,,,,1515L Touchscreen LCD Monitor,LCD Touchscreen Monitor,"15""",Yes,75 x 75,Yes,7.30 lb,,,,,5-wire Resistive,,Dark Gray,16.7 Million Colors,,,,,14.20 ms,XGA,,,115°,140°,10.60 lb,,,,30 W,,Yes,Yes,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell UltraSharp U2713HM 27 LED Monitor by Office Depot,Dell,"1000:1 (static, typical); 2 million:1 (dynamic)",27 inches,"16.7""-21.22""H x 25.17""W x 7.89""D",EPEAT Gold,yes,178 degrees,no,897977,"Dell, Inc.",CVN85,2560 x 1440,UltraSharp U2713HM,350 cd/m2,,2560 x 1440,0.234 mm,DVI-D (digital) with HDCP; HDMI; VGA 15-pin D-sub; DisplayPort; 4 USB 3.0,No,8 ms (gray-to-gray),27 inches,yes,3-yr limited,16:9,,,,,,,,,,,,,,,,,,25%,in-plane switching (IPS),25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,
Asus VE248Q 24 LED LCD Monitor 169 2 ms by Office Depot,Asus,"50,000,000:1",,,ENERGY STAR; RoHS; WEEE,,,,865012,ASUS Computer International,KE8251,1920 x 1080,VE248Q,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"7.9""",,"16.1""",,1.0,PC,,VE248Q Widescreen LCD Monitor,LCD Monitor,"24""",Yes,100 x 100,Yes,9.70 lb,"22.4""",,,,,Speaker,Black,16.7 Million Colors,,,,Wall Mountable,2 ms,Full HD,Yes,76 Hz,160°,170°,,,,500 mW,35 W,500 mW,,,Yes,,,,,Yes,VE,,,CEL; UL/cUL; CB; CE; ErP; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSB; J-MOSS; WHQL,Yes,Yes,,2.0,Yes,,,,,,,,,,,,,,,,,,,
Acer S220HQLAbd 215 LED LCD Monitor 169 5 ms by Office Depot,Acer,"100,000,000:1",,,MPR II,,,,782638,"Acer, Inc",NA7654,1920 x 1080,S220HQLAbd,,,,,,,,,,3-year limited,16:9,LED,250 Nit,,,,110 V AC; 220 V AC,1.0,,,S220HQLAbd Widescreen LCD Monitor,LCD Monitor,"21.5""",,,Yes,,,,,,,,Black,16.7 Million Colors,,Yes,,,5 ms,Full HD,,60 Hz,160°,170°,,,,530 mW,22 W,600 mW,,,Yes,,,,,,S,,,,Yes,,,,,,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,
Acer V226HQL 215 LED LCD Monitor 169 8 ms by Office Depot,Acer,"100,000,000:1",,,TCO '06; ENERGY STAR,,,,380458,"Acer, Inc",RA7829,1920 x 1080,V226HQL,,,,,,,,,,,16:9,LED,250 Nit,"8.1""",,"15.4""",110 V AC; 220 V AC,1.0,,,V226HQL Widescreen LCD Monitor,LCD Monitor,"21.5""",,,Yes,7.14 lb,"20""",,,,,,Black,16.7 Million Colors,,Yes,,,8 ms,Full HD,Yes,60 Hz,178°,178°,8.07 lb,,,250 mW,19.50 W,350 mW,,,Yes,No,No,,,,V,,,,Yes,,,,,Anti-glare,Vertical Alignment (VA),,,,,,,,,,,,,,,,,
NEC Display MultiSync EA244WMI BK 24 LED LCD Monitor 1610 5 ms by Office Depot,NEC Display,"1,000:1",,,ENERGY STAR 6.0; TCO Certified Displays 6.0; EPEAT Gold; RoHS,,,,158671,NEC Display Solutions,QR9891,1920 x 1200,EA244WMI-BK,,,,,,,,,,3-year limited,16:10,LED,350 Nit,"2.6""",,"14.2""",,1.0,,MultiSync,"24"" Widescreen LED-Backlit Desktop Monitor w/ IPS Panel",LCD Monitor,"24""",Yes,100 x 100,Yes,10.60 lb,"21.9""",,,,,USB Hub; Speaker,,16.7 Million Colors,"9.10""",Yes,"21.20""",,5 ms,WUXGA,Yes,60 Hz,178°,178°,16.80 lb,"21.90""",Smart Sensing Technology; Ambient Light Sensor; Eco Mode; Touch Controls; AccuColor,,29 W,470 mW,,Yes,Yes,Yes,Yes,,,Yes,,,,ISO 9241-307 Class I,Yes,Yes,,,,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
Viewsonic VG2239m LED 22 LED LCD Monitor by Office Depot,Viewsonic,,,,,,,,695927,Viewsonic Corporation,3318241,1920 x 1080,VG2239m-LED,,,,,,,,,,,,LED,,,,,,1.0,,,VG2239m-LED Widescreen LCD Monitor,LCD Monitor,"22""",Yes,,Yes,,,,,,,Speaker,,,,Yes,,,,Full HD,Yes,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEC Display P242W BK 241 LED LCD Monitor 1610 8 ms by Office Depot,NEC Display,"1,000:1",,,RoHS,,,,579574,NEC Display Solutions,RA0343,1920 x 1200,P242W-BK,,,,,,,,,,4-year limited,16:10,LED,,"3.3""",,"14.3""",,1.0,PC,,"24"" LED Backlit IPS Entry Level Professional Desktop Monitor",LCD Monitor,"24.1""",Yes,100 x 100,Yes,14.99 lb,"21.9""",,,,,USB Hub,,16.7 Million Colors,"9""",Yes,"20.80""",,8 ms,WUXGA,,85 Hz,178°,178°,22.49 lb,"21.90""",Eco Mode; Carbon Footprint Meter; Cable Management; AmbiBright; CableComp; Ambient Light Sensor; Digital Uniformity Compensation; Picture in Picture,,30 W,200 mW,,Yes,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,,,,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
Asus VE228H 215 LED LCD Monitor 169 5 ms by Office Depot,Asus,"10,000,000:1",,,ENERGY STAR; WEEE,,,,864213,ASUS Computer International,DL6548,1920 x 1080,VE228H,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"7.9""",,"15.2""",,1.0,PC,,VE228H Widescreen LCD Monitor,LCD Monitor,"21.5""",Yes,100 x 100,Yes,9.04 lb,"20.2""",,,,,Speaker,Black,16.7 Million Colors,,Yes,,Wall Mountable,5 ms,Full HD,Yes,76 Hz,160°,170°,,,,,29 W,900 mW,,,Yes,,,,,,,,,CEL; UL/cUL; CB; CE; EuP; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSB; J-MOSS; WHQL,Yes,Yes,,2.0,,,,,,,,,,,,,,,,,,,,
Dell 22 Widescreen HD LED Monitor Black E2215HV by Office Depot,Dell,600:1,21.53 inches,15.59 x 20.21 x 6.52,,yes,90 degrees,no,476440,"Dell, Inc.",MH7HK,1920 x 1080,E2215HV,200 cd/m2,Black,1920 x 1080,.2483 x .2483 mm,VGA 15-pin D-sub,No,5 ms,21.53 inches,yes,1-yr limited,16:9,,,,,,,,,,,,,,,,,,0%,flat panel LED,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,
Newline Interactive TruTouch 650 65 Full HD LCD Multi Touch Monitor Black by Office Depot,Newline Interactive,,65 inches,"36.31""H x 61.13""W x 4.25""D",UL Environment,yes,,Yes,844697,Newline Interactive,EPR8A00065,1920 x 1080,TruTouch 650,,Black,,1 mm,,No,,65 inches,yes,3-yr limited,,,,,,,,,,,,,,,,,,,0%,flat panel LCD,0%,infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC I2367FH 23 LED LCD Monitor 5 ms by Office Depot,AOC,"50,000,000:1",,,ENERGY STAR; EPEAT Silver; TCO Displays 5.0,,,,609688,AOC,QQ0710,1920 x 1080,I2367FH,,,,,,,,,,1-year limited,,LED,250 Nit,,,,,1.0,PC,,I2367FH 23 Inch IPS Monitor,LCD Monitor,"23""",,,Yes,8.27 lb,,,,,,Speaker,Black; Silver,16.7 Million Colors,"4.75""",,"15.51""",,5 ms,Full HD,Yes,,178°,178°,,"20.92""",Off Timer,,40 W,500 mW,,,Yes,,,,,,67,,,,Yes,Yes,,,,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
HP Promo Z24i 24 LED LCD Monitor 8 ms by Office Depot,HP,"1,000:1",,,,,,,779078,Hewlett-Packard,RY4456,1920 x 1200,Z24i,,,,,,,,,,3-year limited,,LED,300 Nit,,,,,1.0,,Promo,Promo Z24i 24-Inch IPS Display,LCD Monitor,"24""",,,Yes,,,,,,,,,,,Yes,,Arm-mountable,8 ms,WUXGA,No,,178°,178°,,,,,55 W,,,,Yes,Yes,Yes,,,Yes,,,,,Yes,,,,,Anti-glare,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
Acer V276HL 27 LED LCD Monitor 169 6 ms by Office Depot,Acer,"100,000,000:1",,,EPEAT Gold; TCO Certified Displays 6.0,,,,479386,"Acer, Inc",RG5337,1920 x 1080,V276HL,,,,,,,,,,,16:9,LED,300 Nit,,,,110 V AC; 220 V AC,1.0,,,V276HL Widescreen LCD Monitor,LCD Monitor,"27""",,,Yes,,,,,,,,Black,16.7 Million Colors,,Yes,,,6 ms,Full HD,Yes,60 Hz,178°,178°,,,,,,,,,Yes,No,No,,,,V,,,,Yes,,,,,Anti-glare,Vertical Alignment (VA),,,,,,,,,,,,,,,,,
Samsung S24C450D 24 LED LCD Monitor 169 5 ms by Office Depot,Samsung,"1,000:1",,,,,,,895007,Samsung,QV9024,1920 x 1080,S24C450D,,,,,,,,,,3-year limited,16:9,LED,250 Nit,,,,,1.0,,,S24C450D Widescreen LCD Monitor,LCD Monitor,"24""",Yes,100 x 100,Yes,,,,,,,,Matte Black,,,Yes,,Wall Mountable,5 ms,Full HD,,,160°,170°,,,MultiScreen; MagicRotation; MagicTune; Eco Saving; MagicBright3; MagicAngle,,,,,,Yes,Yes,Yes,,Mexico,Yes,450,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkVision LT1712p 17 CCFL LCD Monitor 54 5 ms by Office Depot,Lenovo,"1,000:1",,,ENERGY STAR 6.0; TCO Displays 5.0; MPR II; WEEE; RoHS; China RoHS; REACH; EuP; EPEAT Gold; TCO Certified Displays 6.0; China Energy Label (CEL); ULE Gold; TCO Certified Edge Displays 1.1,,,,479189,Lenovo Group Limited,QW4463,1280 x 1024,LT1712p,,,,,,,,,,3-year limited,5:4,CCFL,250 Nit,"6.1""",,"16""",110 V AC; 220 V AC,1.0,PC,ThinkVision,ThinkVision LT1712p Monitor,LCD Monitor,"17""",Yes,100 x 100,Yes,9.35 lb,"14.6""",,,,,,Business Black,16.7 Million Colors,,Yes,,,5 ms,SXGA,,75 Hz,160°,170°,,,Security Lock,500 mW,18 W,500 mW,,,Yes,Yes,,,,,,1.0,,CSC; TUV-ERGO; ISO 9241-307; ANSI S12.10; ISO/DIS 7779; China National Monitor Energy Efficiency Standard Tier 1Safety:; UL; IEC950 CB Report; NEMKO; TUV-GS; BSMI; NOM; ICCP; Gost; SISIR; TUV-S/UL-Ar/IRAM-S; ISC; AAA-S; DAMAN; JEITA; SABS-LoA; e-Standby; KCCEMI:; FCC B; IC; CE; VCCI; CCC; SABS-CoC; AAA-RSO,,,,,,,,,,,,,,,,,,,,,,,,
HP EliteDisplay E231 23 inch LED Backlit Monitor Head Only by Office Depot,HP,"1,000:1",,,EPEAT Gold; ENERGY STAR; TCO Certified Displays; REACH,,,,720308,Hewlett-Packard,RM4582,1920 x 1080,E231,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"2""",,"13""",110 V AC; 220 V AC,1.0,PC,Business,EliteDisplay E231 23-inch LED Backlit Monitor--Head Only (ENERGY STAR),LCD Monitor,"23""",,,Yes,8.36 lb,"21.4""",,,,,USB Hub,Black,,,Yes,,Desk Mountable,5 ms,Full HD,,,160°,170°,,,Security Lock,,36 W,500 mW,,Yes,,,,,,Yes,Advantage,,,,Yes,,,,,Anti-glare,,USB 2.0,,,,,,,,,,,,,,,,
Viewsonic VA2251m LED 22 LED LCD Monitor 169 5 ms by Office Depot,Viewsonic,"1,000:1",,,REACH; WEEE; EPEAT Silver; ENERGY STAR; ErP,,,,695666,Viewsonic Corporation,PF9826,1920 x 1080,VA2251m-LED,,,,,,,,,,,16:9,LED,250 Nit,"2.4""",,"12.2""",110 V AC; 220 V AC,1.0,PC; Mac,,"22"" Full HD 1080p LED Monitor",LCD Monitor,"22""",Yes,100 x 100,Yes,7.12 lb,"20.1""",,,,,,,,"6.45""",Yes,"14.61""",Wall Mountable,5 ms,Full HD,Yes,75 Hz,160°,170°,7.80 lb,"20.13""",Security Lock,,30 W,,,,,,,,,,,,,CB; CE; UL/c UL; FCC-B; ULAR; Gost-R/Hygienic; UkrSEPRO + DoC; CCC; CEL Level 1; BSMI; PSB; C-Tick; SASO; e-Standby; KC,,,,2.0,,Anti-glare,,,,,,,,,,,,,,,,,,
Lenovo ThinkVision LT1952p 19 LED LCD Monitor 1610 5 ms by Office Depot,Lenovo,"1,000:1",,,ENERGY STAR; WEEE; RoHS; TCO Certified Edge Displays 1.1; TCO Certified Displays 5.2; EPEAT Gold; MPR II,,,,771028,Lenovo Group Limited,LE4284,1440 x 900,LT1952p,,,,,,,,,,3-year limited,16:10,LED,250 Nit,"6.7""",,"15.7""",,1.0,PC,ThinkVision,ThinkVision LT1952p Widescreen LCD Monitor,LCD Monitor,"19""",Yes,100 x 100,Yes,9.49 lb,"17.4""",,,,,,Black,,,Yes,,Wall Mountable; Desk Mountable,5 ms,WXGA+,,,160°,170°,,,,,26 W,500 mW,,,Yes,Yes,,,,Yes,,,,ULE Gold; ISO 9241-307; FCC Class B,Yes,,,,,Anti-reflective; Anti-glare,,,,,,,,,,,,,,,,,,
Viewsonic VA2349s 23 LED LCD Monitor 169 5 ms by Office Depot,Viewsonic,"2,000:1",,,,,,,560656,Viewsonic Corporation,TQ8461,1920 x 1080,VA2349s,,,,,,,,,,,16:9,LED,250 Nit,"2""",,"13.3""",,1.0,PC,,VA2349s Widescreen LCD Monitor,LCD Monitor,"23""",Yes,100 x 100,Yes,7.72 lb,"21.6""",,,,,,,,"8.41""",Yes,"15.56""",Wall Mountable,5 ms,Full HD,,,178°,178°,8.60 lb,"21.59""",Eco Mode; Security Lock,,22 W,,,,Yes,,,,,,,,,,,,,,,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
