<page title>,ac power in,altezza,altezza con supporto,altoparlante cuffia spinotto di uscita,altoparlanti incorporati,angolo di visualizzazione orizzontale,angolo di visualizzazione verticale,blocco cavo,cavi inclusi,certificazione,certificazione energy star,classe efficienza energetica,colore del prodotto,colori del display,compatibile con montaggio vesa,compatibilità 3d,connessione cuffia,consumi,consumi modalità spento,consumi modalità standby,dimensione visibile diagonale,dimensione visibile orizzontale,dimensione visibile verticale,dimensioni schermo,dot pitch,dot rate video,formato,fotocamera integrata,frequenza di ingresso,frequenza scansione orizzontale,frequenza scansione verticale,girevole,hdcp,inclinazione,inclinazione regolabile,interruttore integrato,larghezza,larghezza con supporto,lettore di schede integrato,luminosità schermo,mobile highdefinition link mhl,modalità video supportate,montabile a parete,numero di altoparlanti,peso,peso incluso imballo,plug play,porta dvi,potenza in uscita rms,profondità,profondità con supporto,quantità porte hdmi,quantità porte usb 20,quantità porte usb 30,quantità porte vga dsub,rapporto di contrasto,rapporto di contrasto dinamico,regolazione altezza,risoluzione,risoluzioni grafiche supportate,rotazione,sintonizzatore tv integrato,source datasheet,subwoofer incorporato,tecnologia display,tempo di risposta,thin client installato,tipologia di retroilluminazione,tipologia display,tipologia hd,uscita audio,voltaggio di ingresso,bluetooth,collegamento ethernet lan,connessione wlan,dcin jack,full hd,microfono incorporato,microfono spinotto dingresso,retroilluminazione a led,tipi schede di memoria,conformità epeat,on screen display osd,quantità porte dvid,altezza imballo,angolo di rotazione,area di visualizzazione effettiva,compatibilità elettromagnetica,guida rapida,indicatore led alimentazione,ingresso audio,intervallo temperatura di funzionamento,larghezza imballo,led standby,manuale dellutente,peso prodotto con supporto,pivot angle,profondità imballo,range di umidità di funzionamento,intervallo di scansione verticale,numero di lingue osd,range di scansione orizzontale,display surface,quantità displayports,colore piedi,guida utente su cdrom,sicurezza,colori display,dimensioni lxpxa con base,tipo di display,tipologia touch screen,alimentazione,altoparlanti,angolo di inclinazione,angolo di visione orizzontale,angolo di visione verticale,caratteristiche,certificato energy star,colore,connettori di ingresso,consumo energetico in standby,descrizione prodotto,dettagli dimensioni e peso,dimensioni lxpxh,interfacce,interfaccia di montaggio schermo piatto,luminosità,lunghezza diagonale,pixel pitch,potenza assorbita in esercizio,potenza di uscita canale,rapporto daspetto,regolazione posizione display,risoluzione nativa,standard ambientali,standard di conformità,supporto colore,tecnologia retroilluminazione,tipo,tipo di dispositivo,tipo di schermo,tipo schermo,indicatori led,mtbf,compatibilità sistema operativo mac,ingresso audio per pc,schermo srgb,sistema operativo windows supportato,lingue osd,controllo del volume,funzione risparmio,lunghezza cavo,numero di prodotti inclusi,pictureinpicture,posizionamento supportato,intervallo di temperatura,consumo energetico annuo,protezione per i bambini,consumo energetico max,quantità porte thunderbolt,composite sync,sync hv separato,syncongreen sog,dimensioni lxpxa,number of simultaneous touchpoints windows 7,tipo alimentazione,cavo alimentazione incluso,quantità,consumi modalità risparmio energetico,hdmi,risoluzione massima,regolazioni formato schermo,tecnologia touchscreen,comandi regolazioni,copertura schermo,tensione richiesta,velocità refresh orizzontale,velocità refresh verticale,adattatore acdc,caratteristiche sicurezza,porta rs232,tipo di prodotto,umidità,sistema operativo linux supportato,telecomando,interfaccia comune,conforme agli standard,megapixel,dimensioni imballo lxpxa,webcam girevole,common interface plus ci,porta usb
Samsung 24 S24A850DW MONITOR LED,Si,"37,45 cm","44,7 cm",,No,178°,178°,,"AC, USB, VGA","CE, TCO 5.0",Si,,Nero,"16,77M","100 x 100, 200 x 100 mm",No,,64W,,"0,4W",,,,"61 cm 60,96 cm (24"")","0,270 x 0,270 mm",,16:10,No,,30 - 75 kHz,56 - 61 Hz,,Si,-2 - 25°,,Si,"55,85 cm","55,85 cm",,300 cd/m²,,,Si,,"5,8 kg","7,8 kg",Si,,,"4,15 cm","22,45 cm",,,4.0,1.0,1000:1,Contrasto Mega,15 cm,1920 x 1200 Pixels,1920 x 1200 (WUXGA),Si,No,,,,5 ms,No,,LED,No,,,,,,,,,,,,,Si,1.0,"44,3 cm",,,,,,,,63 cm,,Si,,,"17,9 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64",,,Si,,1 pezzi,No,Orizzontale,,,,,,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG 24 24M35H-B MONITOR LED,,"31,4 cm","43,8 cm",,No,170°,160°,Kensington,"AC, VGA","UL (cUL), TUV, FCC-B, CE",Si,A+,Nero,"16,77M",100 x 100 mm,No,,18W,"0,3W","0,3W",,,,"59,94 cm (23.6"") 59 cm","0,2715 x 0,2715 mm",,16:9,No,,30 - 83 kHz,56 - 61 Hz,,Si,-3 - 20°,Si,,"55,6 cm","55,6 cm",,200 cd/m²,,,Si,,"2,7 kg","4,24 kg",Si,No,,"9,8 cm","21,5 cm",1.0,,,1.0,1000:1,5000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,No,,,TN,5 ms,No,,LCD,Full HD,,,,,,,,,,,,,,,"14,3 cm",,,,Si,,,,"62,5 cm",,Si,3 kg,,"41,4 cm",,56 - 75 Hz,17.0,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIyama 21.5 PL T2252MTS-B3 TOUCH,,377.5 mm,,1,Si,170 °,160 °,,"AC, Audio (3.5mm), DVI, USB, VGA","CE, TÜV-Bauart, GOST-R",Si,,Nero,,100 x 100 mm,N,,19 W,,0.5 W,,,,"54.7 cm 558.8 mm (22 "")",0.248 x 0.248 mm,,16:9,,50/60 Hz,24 - 80 kHz,55 - 75 Hz,,Si,-9 - 22 °,,,516.5 mm,,,220 cd/m²,,1080p,Si,2.0,5.1 kg,,Si,,2 W,240 mm,,1.0,1.0,,1.0,1000:1,5000000:1,,1920 x 1080 Pixels,,,N,.,,,2 ms,,,TN+Film,,,100 - 240 V,,,,,Si,,,Si,,,Si,1.0,,,268.11 x 476.64 mm,,,,,,,,,,,,,55 - 75 Hz,,24 - 80 kHz,,,,,,16.7 M,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64",,,,,1 pezzi,,Orizzontale,,,,,,,Si,,16.5 x 240 x 377.5 mm,2.0,AC,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus LED 27 VN279QLB MONITOR LED,,526 mm,,,Si,178 °,178 °,Kensington,"DisplayPort, USB, VGA",,Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,35 W,0.3 W,0.5 W,,,,"68.6 cm 685.8 mm (27 "")",0.311 x 0.311 mm,,16:9,N,,31.5 - 67.5 kHz,56 - 75 Hz,Si,Si,-5 - 22 °,Si,Si,619.2 mm,,,300 cd/m²,Si,1080p,Si,2.0,6.1 kg,8.3 kg,,N,4 W,225.5 mm,,1.0,3.0,,1.0,,100000000:1,Si,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,N,.,,IPS,5 ms,N,,LED,Full HD,,,,,,,,,,,,,Si,,449 mm,,,,Si,,,,715 mm,,Si,,,200 mm,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIyama 27 PL XB2783HSU-B1,Si,400.5 mm,,1,Si,178 °,178 °,Kensington,"Audio (3.5mm), DVI, USB, VGA","TCO, CE, TÜV-GS, VCCI-B, PSE, CU",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,3.5 mm,34 W,,0.5 W,686 mm,335.66 mm,596.74 mm,"68.6 cm 685.8 mm (27 "")",0.277 x 0.277 mm,,"5:4, 16:9",N,50/60 Hz,30 - 80 kHz,55 - 75 Hz,Si,Si,-5 - 20 °,Si,Si,622.5 mm,,,300 cd/m²,,1080p,Si,2.0,6 kg,,Si,Si,4 W,230 mm,,1.0,3.0,,1.0,3000:1,5000000:1,130 mm,1920 x 1080 Pixels,"1280 x 1024 (SXGA), 1920 x 1080 (HD 1080)",Si,N,.,Si,A-MVA,4 ms,Si,,LED,Full HD,,100 - 240 V,N,N,N,,,,,,,,Si,1.0,,-45 - 45 °,,,Si,Si,,,,Si,,,0 - 90 °,,,55 - 75 Hz,10.0,30 - 80 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,Si,,,"Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate","CHI (SIMPL), CHI (TR), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS",,,,,N,,,,,,,,Si,,,,,Si,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ASUS LED 24.1 PA249Q IPS MONITOR LED,Si,362 mm,416.3 mm,1,N,178 °,178 °,Kensington,"AC, DisplayPort, DVI, USB, VGA","BSMI, CB, CCC, CE, CEL level 1, C-Tick, ErP, FCC, Gost-R, ISO-9241-307, J-MOSS, Mac, PSE, RoHS, TCO6.0, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7), NOM",Si,Non specificato,Nero,1073.7 M,100 x 100 mm,N,3.5 mm,72 W,,,,,,"61.13 cm 612.1 mm (24.1 "")",0.270 x 0.270 mm,,16:10,N,50/60 Hz,30 - 83 kHz,50 - 76 Hz,Si,Si,-5 - 20 °,Si,,557.2 mm,557.2 mm,,350 cd/m²,,,Si,,6.6 kg,10.4 kg,,Si,,62 mm,235 mm,1.0,,5.0,1.0,,80000000:1,Si,1920 x 1200 Pixels,,Si,N,.,,IPS,6 ms,N,,LED,Full HD,Si,100 - 240 V,,,,,,,,,,Oro,Si,1.0,439 mm,,,,Si,Si,,,681 mm,Si,,,,292 mm,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,Si,,,Si,,,Si,Orizzontale/Verticale,,,,,,,,,,,,,1.0,1 W,Si,1920 x 1200 Pixels,,,,,,,,,,,,,,,,,,,,,
LG LED 24 24EB23TM-W IPS MONITOR LED,Si,370.5 mm,395 mm,1,Si,178 °,178 °,Kensington,"AC, Audio (3.5mm), VGA","RoHS, TCO6.0, DIN-ISO9241-307, TÜV-GS, TÜV-Ergo, UL, CSA, SEMKO, NEMKO, CE",Si,Non specificato,Bianco,16.77 M,100 x 100 mm,N,3.5 mm,25 W,0.3 W,0.3 W,,516.94 mm,323.09 mm,"60.96 cm 609.6 mm (24 "")",0.269 x 0.269 mm,135 MHz,16:10,N,47-63 Hz,30 - 83 kHz,56 - 75 Hz,N,Si,-5 - 23 °,Si,Si,558.4 mm,558.4 mm,N,300 cd/m²,,1080p,Si,2.0,4.5 kg,6.5 kg,,,2 W,58 mm,239 mm,,,,1.0,1000:1,5000000:1,N,1920 x 1200 Pixels,"1920 x 1080 (HD 1080), 1920 x 1200 (WUXGA)",Si,N,.,N,IPS,5 ms,N,W-LED,LED,Full HD,,,N,N,N,,,N,,,N,Oro,Si,1.0,44 mm,,,,,,,,633 mm,,Si,5.1 kg,,191 mm,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000 h,,Si,Si,,"CHI (SIMPL), DEU, ENG, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SWE, UKR",,,1.8 m,,,,,,,,,Si,Si,Si,,,,,,,,,"4:3, 16:10",,,,,,,,,,,,,,,,,,,,
LG 19 19MB15T-B Touch MONITOR LED,,"34,5 cm",,,,178°,178°,,"AC, USB, VGA",,,,Nero,,75 x 75 mm,,,"17,5W",,"0,5W",,,,"48,26 cm (19"")","0,294 x 0,294 mm",,"4:3, 5:4",,,,,,No,-15 - 15°,,,"40,6 cm",,,250 cd/m²,,,Si,,"3,4 kg","5,1 kg",Si,,,"6,2 cm",,,1.0,,1.0,1000:1,,,1280 x 1024 Pixels,,,,,,,14 ms,,,IPS,,,,,,,,,,,,,,,,"41,6 cm",-66 - 66°,,,,,,,"47,3 cm",,,"3,8 kg",,"15,9 cm",,56 - 75 Hz,,30 - 83 kHz,,,,,,"16,7M",406 x 94 x 645 mm,TFT,Da tavolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,,,,,,,Capacitivo,,,,,,,,,,,,,,,,,,,
Asus LED 21.5 VX229H IPS MONITOR LED,Si,371.3 mm,,1,Si,178 °,178 °,Kensington,,,Si,Non specificato,Nero,16.77 M,,,,26 W,,0.5 W,,,,"54.6 cm 546.1 mm (21.5 "")",0.248 x 0.248 mm,,16:9,,50/60 Hz,30 - 80 kHz,56 - 76 Hz,,Si,-5 - 20 °,Si,,499.8 mm,,,250 cd/m²,,,,2.0,3.05 kg,4.9 kg,,N,2 W,210.1 mm,,2.0,,,1.0,,80000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,.,,IPS,5 ms,,,LED,Full HD,,100 - 240 V,,,,,,,,,,,Si,,475 mm,,,,,Si,Si,,562 mm,,,,,123 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 W,,,,,,,,,,,,,,,,,,,,,,,
LG 23 23MB35PY-B IPS MONITOR LED,,,,,,,,,"1 x cavo DVI - 1,8 m ¦ 1 x cavo VGA - 1,8 m ¦ 1 x Cavo audio - 1,8 m ¦ 1 x cavo USB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,5 kg 4,5 kg",,,,,,,,,,,1000:1 / 5000000:1 (dinamico) 1000:1 / 5000000:1 (dinamico),,110 mm,,,,,,,,5 ms (da grigio a grigio) 5 ms (da grigio a grigio),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interna,Integrato,-5/+20,178.0,178.0,"Timer di spegnimento, HDCP, 4:3 in Wide, SUPER Energy Saving Technology, Lifelike Colour, Flicker Safe, Reader Mode",Sì,Antracite scuro Antracite scuro,"DVI-D, VGA, DisplayPort","0,3 Watt","LG 23MB35PY-B - monitor a LED - 23""","Con supporto - larghezza: 54,8 cm - profondità: 24,6 cm - altezza: 36,7 cm - peso: 4,5 kg ¦ Senza supporto - larghezza: 54,8 cm - profondità: 6,1 cm - altezza: 33, 5 cm - peso: 4,2 kg","54,8 cm x 24,6 cm x 36,7 cm - con supporto 54,8 cm x 24,6 cm x 36,7 cm - con supporto",VGA ¦ DVI-D ( HDCP ) ¦ Ingresso audio ¦ Uscita audio ¦ 2 x USB 2.0 ¦ DisplayPort,75 x 75 mm,250 cd/m2 250 cd/m2,"23""","0,265 mm 0,265 mm",27 Watt,1 Watt,Widescreen - 16:9 Widescreen - 16:9,"Altezza, piano girevole, inclinazione Altezza, piano girevole, inclinazione",1920 x 1080 A 60 Hz 1920 x 1080 A 60 Hz,Certificato ENERGY STAR,"Plug and Play, con certificazione FCC Classe B, CSA, UL, TUV GS, EN 61000-3-3, EN55024, TUV Ergo, DDC/CI, ISO 9241-307, EN 61000-3-2:2006, TCO Displays 6,0, EN 60950-1:2006, EN55022:2006 Class B Plug and Play, con certificazione FCC Classe B, CSA, UL, TUV GS, EN 61000-3-3, EN55024, TUV Ergo, DDC/CI, ISO 9241-307, EN 61000-3-2:2006, TCO Displays 6,0, EN 60950-1:2006, EN55022:2006 Class B","16,7 milioni di colori 16,7 milioni di colori",WLED,Altoparlanti - stereo - integrato,"Monitor LCD con retroilluminazione a LED - 23""",AH-IPS AH-IPS,Monitor LCD con retroilluminazione a LED / matrice attiva TFT,,"50,000 ora/e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Luminosità, Contrasto, posizione H/V, correzione gamma, fase, orologio","Anti riverbero, 3H Hard Coating Anti riverbero, 3H Hard Coating","120/230 V c.
a.
( 50/60 Hz )",30 - 83 kHz,56 - 75 Hz,,,,,,,,,,,,,,
Samsung 24 S24C650DW MONITOR LED,,"35,935 cm","38,725 cm",,,178°,178°,,"DVI, USB, VGA",,,Non specificato,Nero,"16,77M",100 x 100 mm,,,35W,,25W,,,,"60,96 cm (24"")",,,16:10,,50/60 Hz,,,,,-3 - 25°,Si,Si,"55,48 cm","55,48 cm",,250 cd/m²,,,Si,,"4,1 kg","7,35 kg",Si,Si,,"5,42 cm","22,4 cm",,3.0,,1.0,1000:1,Contrasto Mega,Si,1920 x 1200 Pixels,1920 x 1200 (WUXGA),Si,,,,AD-PLS,5 ms,,,LED,,,100 - 240V,No,No,No,,,,,,,,,,"18,8 cm",,,,Si,Si,,,"62,8 cm",Si,Si,"5,7 kg",-1 - 95°,"43,3 cm",,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC MONITOR LED 19.5 AOC e2050Swda,Si,361 mm,,,Si,170 °,160 °,Kensington,,"CE, FCC, GOST, RoHS, ISO 9241-307, cCSAus, EuP, TCO 5.0",Si,Non specificato,Nero,16.77 M,75 x 75 mm,N,,18.5 W,0.2 W,0.3 W,,432 mm,239.8 mm,"495.3 mm (19.5 "") 49.5 cm",0.27 x 0.27 mm,148.5 MHz,16:9,N,50/60 Hz,30 - 80 kHz,55 - 75 Hz,N,Si,-5 - 15 °,Si,Si,477.75 mm,,N,250 cd/m²,,,Si,1.0,3.02 kg,,Si,,,175 mm,,,,,1.0,1000:1,20000000:1,N,1600 x 900 Pixels,1600 x 900,Si,N,.,,,5 ms,N,,LED,,,90 - 240 V,N,N,N,,,N,N,,N,,Si,1.0,,,,,,,,,,,,3.92 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung 24 S24D391HL MONITOR LED,,"33,25 cm","40,92 cm",,No,178°,178°,,,,Si,A,Bianco,"16,77M",,No,,21W,,,,,,"59,94 cm 60,96 cm (24"")","0,272 x 0,272 mm",,,No,,30 - 81 kHz,56 - 75 Hz,,Si,,Si,,"54,78 cm","54,78 cm",,250 cd/m²,,,,,,5 kg,Si,No,,"8,01 cm","20,98 cm",1.0,,,1.0,,Contrasto Mega,No,1920 x 1080 Pixels,,,No,,,PLS,5 ms,,,LED,,No,,,,,Si,,,,,,,Si,,"39,3 cm",,,,,,,,"61,5 cm",,,"3,7 kg",,"13,2 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,Si,,,,,,,,,31 kWh,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,
HannsG 21.5 HL226HPB MONITOR LED,,39 cm,,,Si,160°,160°,Kensington,VGA,,,Non specificato,Nero,"16,77M",100 x 100 mm,No,,30W,"0,5W","0,5W",,,,"54,61 cm (21.5"")",,,16:9,No,50/60 Hz,31 - 83 kHz,56 - 75 Hz,,Si,-5 - 15°,Si,,"51,2 cm",,,250 cd/m²,,,Si,,"4,7 kg","5,4 kg",,Si,,"20,3 cm",,1.0,,,1.0,,80000000:1,,1920 x 1080 Pixels,,,No,,,,5 ms,No,,LED,Full HD,,100 - 240V,,,,,,,,,,,,1.0,"45,2 cm",,,,Si,,,5 - 35 °C,"57,2 cm",,Si,,,"15,2 cm",20 - 85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,
ASUS MONITOR LED 23 ASUS VX239H IPS,Si,,389.8 mm,1,Si,178 °,178 °,Kensington,"AC, Audio (3.5mm), HDMI, HDMI-DVI, VGA","BSMI, CB, CCC, CE, CEL level 1, C-Tick, CU, ErP, FCC, RoHS, UL/cUL, VCCI, WEEE, WHQL",Si,Non specificato,Nero,16.77 M,,N,3.5 mm,40 W,0.5 W,,,,,"58.4 cm 584.2 mm (23 "")",0.2652 x 0.2652 mm,,16:9,N,50/60 Hz,30 - 80 kHz,56 - 76 Hz,N,Si,-5 - 20 °,,Si,,532.9 mm,N,250 cd/m²,,1080p,,2.0,,5.7 kg,Si,N,2 W,,210.1 mm,2.0,,,1.0,,80000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,Si,.,,IPS,5 ms,N,,LED,Full HD,,100 - 240 V,N,N,N,,,,,,,,,,493 mm,,,,Si,,,,600 mm,,,3.8 kg,,125 mm,,56 - 76 Hz,,30 - 80 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Si,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8",,,,,,,,,,,,,,,,,,,,,0.5 W,,,,,,,,,,Si,,,,,,,,,,,,,
IIyama 15 PL T1531SR-B1 TOUCH,,,,,,140°,125°,,"AC, Audio (3.5mm), DVI, RS-232, USB","CE, TÜV-Bauart, Gost-R, VCCI",,,Nero,,100 x 100 mm,,,20W,,,38 cm,,,"38,1 cm (15"")","0,297 x 0,297 mm",,4:3,,,,,,,-5 - 90°,,,,,,200 cd/m²,,,Si,,"4,1 kg",,,,,,,,1.0,,1.0,500:1,,,1024 x 768 Pixels,,,,,,,8 ms,,,TN+Film,,,,,,,,,,,,,,Si,1.0,,,228 x 304 mm,,,,,,,,,,,,,56 - 75 Hz,,31.5 - 60.2 kHz,,,,,,"16,7M",,LCD,Da tavolo,AC 100-240V@50/60 Hz,2x 1 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,351 x 202 x 306 mm,,,,,2W,,,,Resistivo,,,,,,,Kensington-lock,1.0,,,,,,,,,,,
ASUS MONITOR LED 21.5 ASUS VS228HR,Si,,386.3 mm,,,170 °,160 °,Kensington,"AC, DVI, VGA",,Si,Non specificato,Nero,16.77 M,100 x 100 mm,,,21.1 W,0.5 W,,,,,"546.1 mm (21.5 "") 54.6 cm",0.248 x 0.248 mm,,16:9,N,,,,,Si,,,,,514.1 mm,,250 cd/m²,,,Si,,3.8 kg,,,Si,,,200 mm,1.0,,,1.0,,5000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,,5 ms,,,LED,Full HD,,,,,,,,,,,,Oro,,1.0,,,,,Si,,Si,,,,,5.9 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 W,,,,,,,,,,,,,,,,,,,,,,,
LG 24 24EB23PM-B MONITOR LED,Si,,"39,5 cm",,Si,,,Kensington,"AC, Audio (3.5mm), VGA",RoHS,,Non specificato,Nero,"16,77M",100 x 100 mm,No,,25W,"0,3W","0,3W",,"51,694 cm","32,309 cm","60,96 cm (24"") 60,96 cm","0,269 x 0,269 mm",135 MHz,16:10,No,,30 - 83 kHz,56 - 75 Hz,Si,Si,-5 - 23°,Si,Si,,"55,84 cm",No,300 cd/m²,,1080p,Si,2.0,,,Si,Si,2W,,"23,9 cm",,,,1.0,1000:1,5000000:1,12 cm,1920 x 1200 Pixels,"1920 x 1080 (HD 1080), 1920 x 1200 (WUXGA)",Si,No,,No,IPS,5 ms,No,,LED,Full HD,,,No,No,No,,,No,,,No,Oro,Si,1.0,,0 - 356°,,,,,,,,,Si,"5,4 kg",0 - 90°,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Si,,"CHI (SIMPL), DEU, ENG, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, SWE, UKR",,,"1,8m",,,Orizzontale/Verticale,,,,,,Si,Si,Si,,,,,,,,,,,,,,,,,,,PC monitor,,,,,,,,,,
Acer LED 22 B226WLymdpr Wide MONITOR LED,Si,534.2 mm,,,Si,170 °,160 °,N,"AC, DisplayPort, DVI, VGA",TCO6.0,,Non specificato,Grigio,16.77 M,,N,,24.2 W,0.35 W,0.45 W,,,,"55.9 cm 558.8 mm (22 "")",,,16:10,N,,,,N,,,Si,Si,505.7 mm,,N,250 cd/m²,,,,2.0,3.09 kg,,Si,,2 W,221.2 mm,,,,,1.0,,100000000:1,N,1680 x 1050 Pixels,1680 x 1050 (WSXGA+),N,N,.,N,IPS,5 ms,N,,LED,N,,110 - 220 V,N,N,N,,,,,,,Oro,,1.0,,,,,,,,,,,,5.75 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus LED 15.6 MB168B MONITOR LED,,236 mm,,,,90 °,65 °,,,"BSMI, CB, CCC, CE, C-Tick, CU, FCC, PSE, RoHS, UL/cUL, VCCI, WEEE, WHQL (Windows 7)",,Non specificato,"Nero, Argento",,,,,5 W,,,,,,"396.2 mm (15.6 "") 39.6 cm",,,,,,,,,,,,,379 mm,,,200 cd/m²,,,,,800 g,2 kg,,N,,8 mm,,,,1.0,,500:1,,,1366 x 768 Pixels,,,,.,,,11 ms,,,LCD,HD-ready,,,,,,,,,,,,,,,297 mm,,,,,,,,435 mm,,,,,57 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACER 27 S271HLbid MONITOR LED,Si,"43,2 cm",,,No,170°,160°,,,,Si,Non specificato,Nero,"16,77M",100 x 100 mm,No,,"24,12W",,"0,35W",,,,"68,58 cm (27"") 68,6 cm","0,311 x 0,311 mm",,16:9,No,50/60 Hz,30 - 80 kHz,55 - 75 Hz,,Si,,,,"62,3 cm",,,250 cd/m²,,,Si,,"4,6 kg",,,Si,,"17,9 cm",,1.0,,,1.0,1000:1,100000000:1,No,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,No,,,TN+Film,5 ms,No,,LED,HD-ready,,100 - 240V,,,,,,,,,,,,,,,,,,,,0 - 40 °C,,,,"7,4 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20 - 65 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
