<page title>,brightness,colour,compliant standards,device type,dimensions wxdxh,product description,weight,aspect ratio,colour support,contrast ratio,display position adjustments,environmental standards,input connectors,manufacturer warranty,native resolution,panel type,pixel pitch,response time,builtin devices,localisation,screen coating,speakers,microsoft certification,height rack units,kvm switch,designed for,manufacturer selling program,bundled with,3d capable,energy class,energy consumption per year,diagonal size,diagonal size cm,display format,features,hdcp compatible,hdmi ports qty,image aspect ratio,lcd backlight technology,pc interface,power,power consumption operational,product type,remote control,resolution,speaker system,targeting,technology,tv tuner,video interface,video wall components qty,character resolution,digital tv tuner,usb port
"OHC24 Shop : Monitor > Monitor search help > Philips 24"" LED IPS Monitor >  1920x1080 >  5ms > 2 x 244E5QHSD/00",250 cd/m2,Glossy cherry black,"Plug and Play, FCC Class B certified, TUV, BSMI, GOST, SASO, SEMKO, DDC/CI, RoHS, Lead-Free, ISO 9241-307, WEEE, TCO Displays 6.0, cETLus","LED-backlit LCD monitor - 23.8""",55.7 cm x 21.3 cm x 42.8 cm - with stand,"Philips E-line 244E5QHSD - LED monitor - 23.8""",3.8 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, VGA",,FullHD 1920 x 1080 at 60 Hz,AH-IPS,0.2745 mm,5 ms (grey-to-grey),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > LG - 22M45D,250 cd/m2,"High glossy black, textured black, black hairline","Plug and Play, FCC Class B certified, UL, TUV, cUL, DDC/CI, TCO Displays 6.0","LED-backlit LCD monitor - 21.5""",50.9 cm x 18.8 cm x 41.8 cm - with stand,"LG 22M45D - LED monitor - 21.5""",2.6 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 5000000:1 (dynamic),Tilt,,"DVI-D, VGA",,1920 x 1080,TN,0.248 mm,5 ms,,,"Anti-glare, 3H Hard Coating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Lenovo ThinkVision L2323z 3028LN2 23"" Wide LED VGA DVI T28LNCH",250 cd/m2,Raven black,"FCC Class B certified, MPR II, TUV, BSMI, GOST, IEC950, NEMKO, NOM, SABS, SASO, TUV S, CCC, IC, PSB, RoHS, ISO 9241-307, WEEE, JEITA, ICES, cULus, REACH, TUV Bauart, TCO Certified Edge, E-Standby, KC, Kvalitet, SONCAP, KEBS, CECP, EuP, EMI","LED-backlit LCD monitor - 23""",54.53 cm x 5.64 cm x 38.72 cm,"Lenovo ThinkVision LT2323z - LED monitor - 23"" - TopSeller",6.22 kg,Widescreen - 16:9,16.7 million colours,1000:1,"Height, pivot (rotation), swivel, tilt","ENERGY STAR Qualified , EPEAT Gold","DVI-D, VGA, DisplayPort",3 years warranty,1920 x 1080 at 75 Hz,IPS,0.265 mm,7 ms,"Stereo speakers, camera, USB Hub","Liechtenstein, Switzerland",Anti-glare,,,,,,TopSeller,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions 1723L 17IN WS-LCD >  ANTI-GLARE E785229,225 cd/m2,Black,"FCC Class A certified, UL, VCCI, C-Tick, cUL, SEMKO, VESA DPMS, DDC","LED-backlit LCD monitor - 17"" - Multi-Touch",39.1 cm x 20.9 cm x 36 cm - with stand,"Elo Desktop Touchmonitors 1723L iTouch Plus - LED monitor - 17""",5.21 kg,5:4,16.7 million colours,800:1,Tilt,,"DVI, VGA",3 years warranty,1280 x 1024 at 75 Hz,,,30 ms,,,Anti-glare,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > EIZO 21046,280 cd/m2,Black,"TCO '03, FCC Class B certified, TUV, TUV GS, C-Tick, TUV S, CB, ICES-003 Class B, CCC, TUV Ergo, RoHS, ISO 9241-307, WEEE, GOST-R, cTUVus, VCCI Class B","LCD monitor - 22""",51.1 cm x 24.05 cm x 34.75 cm - with stand,"EIZO FlexScan SX2262W - LCD monitor - 22""",9.6 kg,Widescreen - 16:10,1.07 billion colours,1000:1,"Height, pivot (rotation), swivel, tilt",,"2xDVI-I, DisplayPort",5 years warranty,1920 x 1200,S-PVA,0.247 mm,12 ms (On/Off); 6 ms (grey-to-grey),USB Hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > LG Electronics Monitor 24"" 24EB23TM-W IPS 24EB23TM-W.AEU",300 cd/m2,White,"Plug and Play, CSA, UL, TUV GS, NEMKO, SEMKO, EN 61000-3-3, EN55024, EN55022 Class B, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, EN 61000-3-2:2006, TCO Displays 6.0, EN 60950-1:2006","LED-backlit LCD monitor - 24""",55.84 cm x 23.9 cm x 44.5 cm - with stand,"LG 24EB23TM-W - LED monitor - 24""",6.5 kg,Widescreen - 16:10,16.7 million colours,1000:1 / 5000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1920 x 1200,AH-IPS,0.269 mm,5 ms (grey-to-grey),,,"Anti-glare, 3H Hard Coating",Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > EIZO EV2316WFS3 >  23"" Wide >  Lautsprecher >  TN >  5ms >  21489",250 cd/m2,Black,"FCC Class B certified, TUV GS, C-Tick, DVI DMPM, VESA DPMS, CB, ICES-003 Class B, CCC, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, WEEE, GOST-R, EPA 5.1, TCO Displays 6.0, VCCI Class B","LED-backlit LCD monitor - 23""",55.25 cm x 23.3 cm x 36.8 cm - with stand,"EIZO FlexScan EV2316WFS3 - LED monitor - 23""",6.4 kg,Widescreen - 16:9,16.8 million colours,1000:1,"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA, DisplayPort",5 years warranty,1920 x 1080,TN,0.2655 mm,5 ms (black-to-white),"USB Hub, presence sensor",,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama PL T1931SR-W1,200 cd/m2,White,"Plug and Play, FCC Class B certified, UL, TUV, VCCI Class B ITE, cUL","LCD monitor - 19""",43.1 cm x 39.1 cm x 21.8 cm,"Iiyama ProLite T1931SR-W1 - LCD monitor - 19""",6.5 kg,5:4,16.7 million colours,900:1,Tilt,,"DVI-D, VGA",,1280 x 1024,TN,0.294 mm,5 ms,"Touch-screen , stereo speakers",,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > BenQ VW2430H LED >  24"" Wide >  4ms >  250cd >  9H.L9PLB.QWE",250 cd/m2,White,"TUV GS, TCO Displays 6.0","LED-backlit LCD monitor - 24""",56.8 cm x 19.3 cm x 42.9 cm,"BenQ VW2430H - LED monitor - 24""",4.5 kg,Widescreen - 16:9,16.7 million colours,5000:1 / 20000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, DVI, VGA",3 years warranty,FullHD 1920 x 1080,VA,0.276 mm,4 ms (grey-to-grey),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Samsung Monitor 24"" S.master S24C450B LS24C45KBSV/EN",250 cd/m2,Matte black,,"LED-backlit LCD monitor - 24""",56.54 cm x 22.4 cm x 48.67 cm - with stand,"Samsung S24C450B - LED monitor - 24""",5.2 kg,Widescreen - 16:9,16.7 million colours,1000:1,"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,FullHD 1920 x 1080,TN,0.27675 mm,5 ms,,,,,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > LG Electronics FLATRON 23MB35PM-B LED 58CM23I 58.4,250 cd/m2,Anthracite dark,"Plug and Play, FCC Class B certified, CSA, UL, TUV GS, EN 61000-3-3, EN55024, EN55022 Class B, TUV Ergo, DDC/CI, ISO 9241-307, EN 61000-3-2:2006, TCO Displays 6.0, EN 60950-1:2006","LED-backlit LCD monitor - 23""",54.8 cm x 24.6 cm x 36.7 cm - with stand,"LG 23MB35PM-B - LED monitor - 23""",4.5 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 5000000:1 (dynamic),"Height, swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1920 x 1080 at 60 Hz,AH-IPS,0.265 mm,5 ms (grey-to-grey),,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Philips C271P4QPJEW/00,300 cd/m2,Textured white,"Plug and Play, TUV GS, GOST, IEC 60601-1-2, TUV Ergo, DDC/CI, RoHS, Lead-Free, WEEE, DICOM Part 14, IEC 60601-1, TCO Displays 6.0","LED-backlit LCD monitor - 27""",63.9 cm x 19.1 cm x 57.7 cm - with stand,"Philips Brilliance C271P4QPJEW - LED monitor - 27""",7.9 kg,Widescreen - 16:9,16.7 million colours,5000:1,"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI-D, VGA, DisplayPort",,1920 x 1080 at 60 Hz,,0.311 mm,12 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - E2083HD-B1,250 cd/m2,Black,"TUV GS, GOST-R, TCO Displays, VCCI Class B","LED-backlit LCD monitor - 20""",46.95 cm x 20.3 cm x 36 cm,"Iiyama ProLite E2083HD-B1 - LED monitor - 20""",2.6 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 5000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"DVI-D, VGA",,1600 x 900,TN,0.271 mm,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > EIZO CG243W-PHOTO 24.1IN BLACK HOOD 55.9 cm (22 "")/ 1.920 21363",270 cd/m2,Black,"TCO '03, FCC Class B certified, TUV, TUV GS, C-Tick, DDC-2B, TUV S, VESA DPMS, CB, ICES-003 Class B, CCC, RoHS, WEEE, cTUVus, VCCI Class B, FOGRA","LCD monitor - 24.1""",56.6 cm x 38.15 cm x 24.2 cm - with stand,"EIZO ColorEdge CG243W-Photo - LCD monitor - 24.1"" - with X-Rite i1 Display Pro",10.1 kg,Widescreen - 16:10,,850:1,"Height, pivot (rotation), tilt",,"2xDVI-I, DisplayPort",5 years warranty,FullHD 1920 x 1200,H-IPS,0.27 mm,13 ms (On/Off); 5 ms (grey-to-grey),,,,,,,,,,X-Rite i1 Display Pro,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > ASUS - VG248QE 90LMGG001Q022B1C-,350 cd/m2,Black,"UL, VCCI, C-Tick, BSMI, cUL, WHQL, CB, CCC, FCC, RoHS, WEEE, PSE Mark, GOST-R, J-MOSS, ERP","LCD monitor - 24""",56.94 cm x 5.73 cm x 34.04 cm - without stand,"ASUS VG248QE - 3D LCD monitor - 24""",,Widescreen - 16:9,16.7 million colours,1000:1 / 80000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI-D, DisplayPort",,FullHD 1920 x 1080,TN,0.2768 mm,1 ms (grey-to-grey),Stereo speakers,,,Integrated,,,,,,,Yes ( 3D glasses sold separately ),,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Philips Monitor 23"" 231C5TJKFU Touch 1920x1080 >  231C5TJKFU/00",250 cd/m2,"Cool grey, high glossy cool grey, textured cool grey","Plug and Play, FCC Class B certified, BSMI, GOST, SASO, SEMKO, RoHS, Lead-Free, ISO 9241-307, WEEE","LED-backlit LCD monitor - 23"" - Multi-Touch",56.3 cm x 7.2 cm x 40.6 cm - with stand,"Philips Brilliance 231C5TJKFU - LED monitor - 23""",5.16 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),Tilt,,"2xHDMI, VGA, DisplayPort",3 years warranty,FullHD 1920 x 1080 at 60 Hz,IPS,0.265 mm,14 ms (typical); 5 ms (grey-to-grey),1.0 megapixel camera,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Samsung 6 Series - S24C650MW LS24C65KMWG/EN,250 cd/m2,Matte black,"TUV GS, TCO Displays 5.0, ISO 9241-307","LED-backlit LCD monitor - 24""",55.48 cm x 22.4 cm x 38.2 cm - with stand,"Samsung 6 Series S24C650MW - LED monitor - 24""",5.7 kg,Widescreen,16.7 million colours,1000:1,"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1920 x 1200,AD-PLS,0.27 mm,5 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > AOC i2470Swq/24"" IPS LED Monitor >  1920 x 1080 (16:9)  >  I2470SWQ",250 cd/m2,,"TUV GS, GOST, RoHS, ISO 9241-307, TCO '06, EuP","LED-backlit LCD monitor - 23.8""",55.73 cm x 22.1 cm x 40.186 cm,"AOC Professional i2470Swq - LED monitor - 23.8""",3.9 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI-D, VGA, DisplayPort",3 years warranty,FullHD 1920 x 1080 at 60 Hz,AH-IPS,0.2745 mm,6 ms (grey-to-grey),,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Philips 220B4LPCB/22"" LED 1680x1050 5ms DVI VGA 2 220B4LPCB/00",250 cd/m2,Textured black with black stand,"Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, WEEE, TCO Displays 5.2","LED-backlit LCD monitor - 22""",50.4 cm x 22.7 cm x 50.9 cm - with stand,"Philips Brilliance B-line 220B4LPCB - LED monitor - 22""",5.2 kg,Widescreen - 16:10,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt","ENERGY STAR Qualified , EPEAT Gold","DVI-D, VGA",3 years warranty,1680 x 1050 at 60 Hz,TN,0.282 mm,5 ms,USB Hub,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Desktop Touchmonitors - 1919L Projected Capacitive E309750,225 cd/m2,Black,"UL, VCCI, BSMI, cUL, NOM, CB, CCC, RoHS, WEEE, S Mark, KC","LCD monitor - 18.5"" - Multi-Touch",45.4 cm x 23.6 cm x 32.1 cm - with stand,"Elo Desktop Touchmonitors 1919L Projected Capacitive - LCD monitor - 18.5""",6.8 kg,Widescreen - 16:9,16.7 million colours,1000:1,"Pivot (rotation), tilt",,VGA,3 years warranty,1366 x 768 at 60 Hz,,,5 ms,Touch-screen,"North America, South America",,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - E2473HS-1 E2473HS-GB1,300 cd/m2,Black,"Plug and Play, VCCI Class B ITE, DDC-2B, VESA DPMS, PSE Mark, TUV Bauart","LED-backlit LCD monitor - 24""",55.6 cm x 21.85 cm x 41.8 cm,"Iiyama ProLite E2473HS-1 - LED monitor - 24""",4.3 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 5000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, DVI-D, VGA",,FullHD 1920 x 1080,TN,0.2715 mm,2 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Philips 221B3LPCS LED >  21.5"" Wide >  221B3LPCS/02",250 cd/m2,Textured silver,"Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SEMKO, TUV Ergo, DDC/CI, RoHS, TCO Displays 5.1","LED-backlit LCD monitor - 21.5""",50.7 cm x 22.7 cm x 48 cm - with stand,"Philips Brilliance B-line 221B3LPCS - LED monitor - 21.5""",5.3 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,FullHD 1920 x 1080 at 60 Hz,,0.248 mm,5 ms,USB Hub,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Samsung SC650 Series - S27C650X LS27C65UXS/EN,300 cd/m2,Matte black,"UL, TUV, C-Tick, GOST, EN55022, NEMKO, NOM, PCBC, SASO, SIQ, CCC, AS/NZS 3548, IEC 60950-1, EN 60950-1, CSA C22.2 No. 60950-1, FCC Part 15 B Class A, VCCI V-3, KC, GB 9254-2008, GB 4943-2001 PSB, NOM-019-SCFI-1993 IRAM, KN22, KN24, K60950-1","LED-backlit LCD monitor - 27""",63.9 cm x 22.4 cm x 40.28 cm - with stand,"Samsung SC650 Series S27C650X - LED monitor - 27""",6.95 kg,Widescreen - 16:9,16.7 million colours,1000:1,"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA, DisplayPort",3 years warranty,1920 x 1080,AD-PLS,0.31125 mm,5 ms,USB Hub,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Desktop Touchmonitors - 1517L IntelliTouch E344758,250 cd/m2,Black,"UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, S Mark, China RoHS","LED-backlit LCD monitor - 15""",35.8 cm x 19.7 cm x 31.9 cm - with stand,"Elo Desktop Touchmonitors 1517L IntelliTouch - LED monitor - 15""",4.3 kg,4:3,16.2 million colours,700:1,,,VGA,3 years warranty,1024 x 768 at 75 Hz,,,16 ms,Touch-screen,Worldwide,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > NEC E223W WHITE 55 > 9CM 22IN 55.88 cm (22 "") W-LED 60003335",250 cd/m2,White,"FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-2B, DDC-2Bi, MPR III, PCT, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, GEEA, ERP, TCO Displays 6.0","LED-backlit LCD monitor - 22""",50.35 cm x 21.8 cm x 38.4 cm,"NEC MultiSync E223W - LED monitor - 22""",5.6 kg,Widescreen - 16:10,16.7 million colours,1000:1 / 25000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA, DisplayPort",3 years warranty,HD 1680 x 1050 at 60 Hz,TN,0.282 mm,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo - 2440L E000413,300 cd/m2,Black,"UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, E-Standby, China RoHS","LED-backlit LCD monitor - 24""",56.16 cm x 4.22 cm x 32.58 cm,"Elo Open-Frame Touchmonitors 2440L IntelliTouch - LED monitor - 24""",5.7 kg,Widescreen - 16:9,16.7 million colours,1000:1,,,"DVI-D, VGA",3 years warranty,FullHD 1920 x 1080 at 75 Hz,,,5 ms,Touch-screen,Worldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > AOC M2870VQ 71.1CM 28IN LED 71.1 cm (28"")/ 1.920 x",300 cd/m2,,"TUV GS, GOST, RoHS, ISO 9241-307, EuP, TCO Displays 6.0","LED-backlit LCD monitor - 28""",66.51 cm x 24.19 cm x 15.18 cm,"AOC M2870VQ - LED monitor - 28""",5.3 kg,Widescreen,16.7 million colours,1000:1 / 50000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, DVI-D, VGA, DisplayPort",3 years warranty,1920 x 1080 at 60 Hz,MVA,0.311 mm,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Acer V196WLbmd mit Speaker >  19"" 16:10 LED TFT >  UM.CV6EE.007",250 cd/m2,Black,TCO '06,"LED-backlit LCD monitor - 19""",44 cm x 19.1 cm x 37.8 cm - with stand,"Acer V196WL - LED monitor - 19""",3.1 kg,Widescreen - 16:10,16.7 million colours,100000000:1 (dynamic),,,"DVI, VGA",3 years warranty,1440 x 900,,,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > V7 Videoseven LED 47CM 18 > 5IN 1366X768 5MS 47 cm LED185W2S-9E,200 cd/m2,Glossy black,"FCC, RoHS, WEEE","LED-backlit LCD monitor - 18.5""",44.4 cm x 5.1 cm x 35.1 cm,"V7 LED185W2S-9E - LED monitor - 18.5""",2.41 kg,Widescreen - 16:9,,800:1,,,"DVI, VGA",3 years warranty,1366 x 768,,,5 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > AOC Professional - E2460PQ,250 cd/m2,,"Plug and Play, TUV GS, RoHS, ISO 9241-307, EuP, TCO Displays 6.0","LED-backlit LCD monitor - 24""",56.54 cm x 24.35 cm x 39.36 cm - with stand,"AOC Professional E2460PQ - Professional Line - LED monitor - 24""",6.38 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 50000000:1 (dynamic),"Height, tilt",ENERGY STAR Qualified,"DVI, VGA, DisplayPort",3 years warranty,1920 x 1080 at 60 Hz,TN,0.276 mm,2 ms (gray-to-gray),Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Philips 298P4QJEB/00 29"" LED IPS  >  2560x1080 >",300 cd/m2,Black,"FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, RoHS, Lead-Free, WEEE, TCO Displays 6.0","LED-backlit LCD monitor - 29""",70 cm x 27.3 cm x 53.8 cm - with stand,"Philips Brilliance 298P4QJEB - LED monitor - 29""",8.46 kg,Widescreen - 21:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"2xHDMI, DVI-D, DisplayPort",3 years warranty,2560 x 1080 at 60 Hz,AH-IPS,0.272 mm,14 ms (typical); 5 ms (grey-to-grey),,,,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Philips S-line - 241S4LSB,250 cd/m2,Black,"Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, WEEE, TCO Displays 5.2","LED-backlit LCD monitor - 24""",56.5 cm x 20.7 cm x 43.7 cm - with stand,"Philips S-line 241S4LSB - LED monitor - 24""",4.9 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1920 x 1080 at 60 Hz,,0.276 mm,5 ms,,,,,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Lenovo Monitor 19.5"" LT2013p wide TFT-LCD >  LED 60A0MAT1CH",250 cd/m2,Business black,"MPR II, TUV GS, VCCI, BSMI, GOST, GS, IEC950, NEMKO, NOM, SABS, SASO, TUV S, VESA DPMS, CCC, IC, PSB, RoHS, ISO 9241-307, Green Mark, JEITA, cTUVus, TCO Certified Edge, E-Standby, KC, Kvalitet, CEL, EPA, DDC-2B/CI, TCO Displays 6.0, INSM","LED-backlit LCD monitor - 19.5""",46.7 cm x 20 cm x 33.65 cm - with stand,"Lenovo ThinkVision LT2013p - LED monitor - 19.5""",,Widescreen - 16:9,16.7 million colours,1000:1 / 10000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt","ENERGY STAR Qualified , EPEAT Gold","HDMI, VGA, DisplayPort",3 years warranty,1600 x 900 at 75 Hz,TN,0.27 mm,5 ms,USB Hub,"Liechtenstein, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > LG Electronics Monitor 17"" 17MB15T-B Touch",250 cd/m2,,"FCC Class B certified, TUV","LED-backlit LCD monitor - 17""",37 cm x 9.5 cm x 31.5 cm - with stand,"LG 17MB15T - LED monitor - 17""",3.3 kg,5:4,16.7 million colours,5000000:1 (dynamic),Tilt,,VGA,,1280 x 1024,TN,0.264 mm,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Acer - B226HQLAymidr UM.WB6EE.A09,250 cd/m2,Dark grey,TCO Displays 6.0,"LED-backlit LCD monitor - 21.5""",50.58 cm x 5.2 cm x 30.45 cm - without stand,"Acer B226HQLAymidr - LED monitor - 21.5""",,Widescreen - 16:9,16.7 million colours,100000000:1 (dynamic),"Height, pivot (rotation)",ENERGY STAR Qualified,"HDMI, DVI, VGA",3 years warranty,FullHD 1920 x 1080 at 60 Hz,VA,,8 ms,,Swiss / EMEA,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Fujitsu Technology Solutions Monitor 19"" S26361-K1471-V140",250 cd/m2,Marble grey,"FCC Class B certified, TUV GS, VCCI, BSMI, cUL, EN 60950, SASO, TUV S, VESA FPMPMI, CCC, DDC/CI, RoHS, ISO 9241-307, WEEE, KC, TCO Displays 6.0, EAC","LED-backlit LCD monitor - 19""",41.4 cm x 20.9 cm x 37 cm,"Fujitsu B19-7 LED - LED monitor - 19""",5.48 kg,5:4,16.7 million colours,1000:1 / 2000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1280 x 1024,IPS,0.293 mm,8 ms (grey-to-grey),,,3H Hard Coating,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Lenovo ThinkVision - LT1421 R52DSEU,200 cd/m2,Raven black,"RoHS, WEEE, REACH, EuP Ready","LED-backlit LCD monitor - 14""",33.5 cm x 0.9 cm x 21.8 cm,"Lenovo ThinkVision LT1421 - LED monitor - 14""",1.02 kg,Widescreen - 16:9,,400:1,Tilt,"ENERGY STAR Qualified , EPEAT Gold",USB,3 years warranty,1366 x 768,TN,0.227 mm,8 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - B2480HS-W1,300 cd/m2,White,"Plug and Play, TUV GS, DDC-2B, TCO Displays","LED-backlit LCD monitor - 24""",57.15 cm x 24.45 cm x 42.7 cm,"Iiyama ProLite B2480HS-W1 - LED monitor - 24""",6.1 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 5000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI-D, VGA",,FullHD 1920 x 1080,TN,0.2715 mm,2 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
