<page title>,ac power in,aspect ratio,audio input,builtin camera,builtin speakers,cables included,certification,colour of product,contrast ratio dynamic,depth,depth with stand,display,display brightness,display diagonal,display diagonal metric,display number of colours,display resolution,display technology,dvi port,energy efficiency class,energy star certified,hd type,hdcp,height,height adjustment,height with stand,input frequency,input voltage,manual,pivot,pixel pitch,plug and play,power consumption standby,power consumption typical,power cord included,power led,response time,standby led,supported graphics resolutions,supported video modes,thin client installed,tilt angle,tv tuner integrated,vesa mounting interfaces compatibility,vga dsub ports quantity,viewing angle horizontal,viewing angle vertical,wall mountable,weight,weight with stand,width,width with stand,3d compatibility,cable lock slot,contrast ratio typical,headphone out,microphone in,package weight,rs232 ports,source datasheet,displayports quantity,dvid ports quantity,hdmi ports quantity,tilt adjustment,ac adapter included,audio output,dcin jack,mac operating systems supported,on screen display osd,packaging depth,packaging height,packaging width,quick start guide,windows operating systems supported,power consumption max,power consumption off,power consumption powersave,digital horizontal frequency,digital vertical frequency,bluetooth,epeat compliance,ethernet lan,horizontal scan range,onoff switch,quantity,screen format adjustments,swivelling,vertical scan range,wifi,hdmi,led indicators,linux operating systems supported,mean time between failures mtbf,number of products included,operating relative humidity hh,operating temperature tt,placement supported,storage relative humidity hh,storage temperature tt,viewable size horizontal,viewable size vertical,svideo inputs quantity,video dot rate,on screen display osd languages,power requirements,builtin subwoofer,headphone connectivity,number of loudspeakers,number of osd languages,pivot angle,rms rated power,separate hv sync,swivel angle range,usb 20 ports quantity,dvii ports quantity,viewable size diagonal,safety,backlight type,compliance industry standards,display srgb,feet colour,nonoperating altitude,operating altitude,pictureinpicture,usb 30 ports quantity,display viewable area hxv,pc audio in,syncongreen sog,dimensions w x d x h with stand,effective viewing area,package dimensions wxdxh,picture enhancement,volume control,maximum resolution,screen saving functions,display surface,composite video in,product type,bezel width side,analog signal format system,dimensions wxdxh,builtin microphone,card reader integrated,compatible memory cards,composite sync,mobile highdefinition link mhl,relative humidity,common interface ci,component video ypbprycbcr in,handheld remote control,common interface plus ci
iiyama ProLite B2480HS - MediaShopUK,Yes,16:9,Yes,No No No,Yes Yes Yes,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA","CE, CU, TUV-GS, TCO",White White,5000000:1,244.5 mm,,LED,300 cd/m²,"599.4 mm (23.6 "")",,16.77 M,1920 x 1080 pixels,TN+Film,,Unspecified,Yes,Full HD,Yes,557 mm,Yes,,50/60 Hz,100 - 240 V,Yes Yes,Yes,0.2715 x 0.2715 mm,Yes Yes,1 W,22 W,,Yes Yes,2 ms,,1920 x 1080 (HD 1080),1080p,No,-5 - 22 °,No No,100 x 100 mm,1.0,170 °,160 °,Yes,6.1 kg,,571.5 mm,,No,Kensington Kensington,1000:1,,,,,. .,,1.0,1.0,Yes,,,,,Yes Yes,,,,Yes Yes,,,,,,,No,,No,24 - 80 kHz,,,,Yes,56 - 75 Hz,,,,,,,10 - 80 %,41 - 95 °F,,5 - 85 %,-20 - 60 °C,521.28 mm,293.22 mm,,,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS",,No No No,,2 2 2,9 9,0 - 90 °,,Yes,-160 - 160 °,,,,,Edge-lit LED,,,,,,,,,,,,,,,,,,,,,,,,,No No,,,,,,,,
Edge10 C192 LED display - MediaShopUK,Yes,16:9,,No No,No No,VGA VGA,,Black Black,,55 mm,180 mm,LED,300 cd/m²,"469.9 mm (18.5 "")",47 cm,16.2 M,1366 x 768 pixels,LCD,No,Unspecified,,HD-ready,No,354 mm,No,426 mm,50/60 Hz,100 - 240 V,,,0.264 x 0.264 mm,,1 W,21 W,Yes Yes,,5 ms,,1366 ? 768,,No,,No,100 x 100 mm,1.0,140 °,130 °,Yes,3.635 kg,4.665 kg,440 mm,440 mm,No,Kensington Kensington,,,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,31.5 - 80 kHz,,,,,50 - 75 Hz,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
iiyama ProLite XB2483HSU - MediaShopUK,,16:9,,,Yes Yes Yes,"AC, Audio (3.5mm), USB, VGA AC, Audio (3.5mm), USB, VGA",,Black Black,5000000:1,,230 mm,LED,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,A-MVA,Yes,Unspecified,Yes,Full HD,Yes,,Yes,516.5 mm,,,Yes Yes,Yes,0.277 x 0.277 mm,,0.5 W,27 W,,,4 ms,,"1280 x 1024 (SXGA), 1920 x 1080 (HD 1080)",1080p,,-5 - 22 °,,100 x 100 mm,1.0,178 °,178 °,Yes,,5 kg,,565.5 mm,No,Kensington Kensington,3000:1,1,,,,. .,,1.0,1.0,Yes,,,,,Yes Yes,,,,Yes Yes,,,,,30 - 80 kHz,55 - 75 Hz,No,,No,,,,,Yes,,No,,,,,,,,,,,531.4 mm,298.9 mm,,,,,No No No,,2 2 2,10 10,0 - 90 °,4 W 4 W 4 W,Yes,-45 - 45 °,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No No,,,,,,,,
iiyama ProLite B1706S - MediaShopUK,,5:4,,No No,,,"CE, TÜV-GS, VCCI-B, TCO '03",Black Black,,,249.5 mm,LCD,250 cd/m²,"431.8 mm (17 "")",,,1280 x 1024 pixels,,,,Yes,,Yes,,110 mm,495.5 mm,,,,,0.264 x 0.264 mm,Yes Yes,,20 W,,,5 ms,,,,,0 - 20 °,No,100 x 100 mm,1.0,170 °,155 °,,,5.7 kg,,371.5 mm,,Kensington Kensington,8000:1,,,,,. .,,1.0,,,,,,Yes Yes,,,,,,Windows 95 Windows 95,,,,,,,,,24 - 80 kHz,,,,,55 - 75 Hz,,,,,,,,,,,,,,,,,"AC 100 - 240 V, 50 - 60 Hz",,,,,,2 W 2 W,Yes,-170 - 170 °,,,,,,,,,,,,,270.3 x 337.9 mm 270.3 x 337.9 mm,,,,,,,,,,,,,,,,,,,,,,,,,
Fujitsu E line E20T-6 LED - MediaShopUK,,16:9,Yes,No No,Yes Yes,"Audio (3.5mm), VGA Audio (3.5mm), VGA","CE, TÜV GS, GOST, FCC, cUL, C-Tick, VCCI, KC, BSMI, CCC",Black Black,2000000:1,61 mm,156 mm,LED,250 cd/m²,"508 mm (20 "")",50.8 cm,16.77 M,1600 x 900 pixels,,Yes,Unspecified,Yes,No,Yes,294 mm,,316 mm,50/60 Hz,100 - 240 V,,,0.277 x 0.277 mm,,0.3 W,13.4 W,,,5 ms,,"1600 x 900, 1280 x 1024 (SXGA), 1280 x 768 (WXGA), 1440 x 900 (WXGA+), 640 x 480 (VGA), 800 x 600 (SVGA)",,No,-5 - 15 °,No,Yes,1.0,170 °,170 °,Yes,2.7 kg,,475 mm,475 mm,No,Kensington Kensington,1000:1,,,,,. .,,,,Yes,,,,,,,,,,,16 W,,0.3 W,,,,Gold,,30 - 82 kHz,,,,,56 - 76 Hz,,,,,70000 h 70000 h,,,5 - 35 °C,,,,,,,,,,,,,,,3 W 3 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips 221P3LPEB - MediaShopUK,,16:9,,No No,Yes Yes,,"RoHS, BSMI, CE, FCC B,GOST, SEMKO, TCO 5.1, TUV Ergo, TUV/GS, UL/cUL",Black Black,20000000:1,59 mm,220 mm,LCD,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,,,,Yes,Full HD,Yes,323 mm,Yes,487 mm,50/60 Hz,100 - 240 V,,Yes,0.248 x 0.248 mm,Yes Yes,0.1 W,17.8 W,,Yes Yes,5 ms,Yes Yes,1920 x 1080 (HD 1080),1080p,No,-5 - 20 °,No,100 x 100 mm,1.0,176 °,170 °,Yes,3.51 kg,5.64 kg,507 mm,507 mm,No,Kensington Kensington,1000:1,1,,7.43 kg,,. .,,1.0,,,,,,Yes Yes,Yes Yes,262 mm,377 mm,565 mm,,Yes Yes,,,13.5 W,30 - 83 kHz,56 - 75 Hz,,Gold,,,,,,,,,,Yes Yes,,30000 h 30000 h,,,0 - 40 °C,,,-20 - 60 °C,,,,,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",,,3.5 mm,2 2,,,3 W 3 W,Yes,-65 - 65 °,4.0,,,,W-LED,,Yes,,,,,,476.6 x 268.1 mm 476.6 x 268.1 mm,Yes,Yes,,,,,,,,,,,,,,,,,,,20 - 80 %,,,,
"Wortmann AG Terra 2455W, Greenline Plus - MediaShopUK",Yes,16:9,Yes,No No,Yes Yes,"AC, Audio (3.5mm), DVI AC, Audio (3.5mm), DVI","TUV-GS, CE, ISO 9241-307, TCO Displays 6.0",Black Black,15000000:1,58 mm,213 mm,LED,250 cd/m²,"599.4 mm (23.6 "")",59.9 cm,16.77 M,1920 x 1080 pixels,TN+Film,Yes,Unspecified,Yes,Full HD,Yes,340 mm,,396 mm,50/60 Hz,100 - 240 V,Yes Yes,,0.272 x 0.272 mm,Yes Yes,0.5 W,20 W,,,5 ms,,1920 x 1080 (HD 1080),"1080i, 1080p, 480i, 480p, 576i, 576p, 720p",No,0 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,4.4 kg,,557 mm,557 mm,No,Yes Yes,,1,,,,,,,1.0,Yes,,,,,Yes Yes,,,,,,,,,30 - 82 kHz,55 - 76 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iiyama ProLite E2280HS-1 - MediaShopUK,,16:9,,No No,Yes Yes,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",,Black Black,5000000:1,189.5 mm,,LCD,250 cd/m²,"546.1 mm (21.5 "")",,16.77 M,1920 x 1080 pixels,TN+Film,Yes,Unspecified,Yes,Full HD,Yes,365.5 mm,No,,50/60 Hz,100 - 240 V,,,0.248 x 0.248 mm,Yes Yes,0.5 W,21 W,,,5 ms,,,,No,-5 - 21 °,No,100 x 100 mm,1.0,160 °,160 °,Yes,3.3 kg,,509.5 mm,,,Kensington Kensington,1000:1,,,,,. .,,1.0,1.0,,,,,,Yes Yes,,,,Yes Yes,,,,,,,,Silver,,24 - 80 kHz,,,,,56 - 75 Hz,,,,,,,,,,,,476.64 mm,268.11 mm,,,,,,,2 2,9 9,,2 W 2 W,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benq XL2720T - MediaShopUK,,16:9,,No No No,No No No,,,"Black, Red Black, Red",12000000:1,273 mm,,LCD,300 cd/m²,"685.8 mm (27 "")",,16.77 M,1920 x 1080 pixels,TN+Film,Yes,,,Full HD,Yes,548 mm,Yes,,,95 - 265 V,,,0.311 x 0.311 mm,,,27 W,,,1 ms,,1920 x 1080 (HD 1080),,,-5 - 20 °,No No,100 x 100 mm,1.0,170 °,160 °,Yes,7.5 kg,,642 mm,,,Yes Yes,1000:1,,,,,,,1.0,1.0,Yes,,,,,Yes Yes,,,,,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64 Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64",,,0.5 W,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,17 17,,,,45 - 45 °,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer V 226WLbmd - MediaShopUK,,16:10,,No No No,Yes Yes Yes,"AC, VGA AC, VGA",TCO,Black Black,100000000:1,207 mm,,LED,250 cd/m²,"558.8 mm (22 "")",,16.77 M,1680 x 1050 pixels,TN+Film,Yes,Unspecified,,No,Yes,419.1 mm,,,,110 - 220 V,,,,,4.5 W,24.2 W,,Yes Yes,5 ms,,1680 x 1050 (WSXGA+),,No,,No No,,1.0,170 °,160 °,,3.09 kg,3.52 kg,505.7 mm,,No,,,,,,,. .,,,,,,,,,,,,,,,,3.5 W,,,,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,2 2 2,,,4 W 4 W 4 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung 230MXN - MediaShopUK,Yes,16:9,,No No No,Yes Yes Yes,VGA VGA,"FCC (USA) FCC Part 15, Subpart B class BCE (Europe) EN55022, EN55024VCCI (Japan) V-3 (CISPR22)KCC (Korea):KN22, KN24BSMI (Taiwan): CNS13438 (CISPR22)C-Tick (Australia): AS/NZS3548 (CISPR22) CCC(China):GB 9254-2008, GB 17625.1-2003",Black Black,5000:1,,73.9 mm,,300 cd/m²,"584.2 mm (23 "")",,16.77 M,1920 x 1080 pixels,,,,,Full HD,,,,339 mm,50/60 Hz,100 - 240 V,Yes Yes,Yes,0.2566 x 0.2566 mm,Yes Yes,5 W,120 W,,,8 ms,,1920 x 1080 (HD 1080),1080p,Yes,,No No,100 x 100 mm,1.0,178 °,178 °,Yes,,7 kg,,557.5 mm,No,,3000:1,1,,8.6 kg 8.6 kg,1.0,. .,,,1.0,,,,,,,192 mm 192 mm,418 mm 418 mm,640 mm 640 mm,Yes Yes,Yes Yes,,1 W,70 W,,,,,Yes,30 - 81 kHz,,,,,56 - 85 Hz,,Yes Yes,,,,,10 - 80 %,10 - 40 °C,,,,509.76 mm,286.74 mm,,,,,,,2 2 2,,,6 W 6 W 6 W,,,1.0,,,"UL (USA): UL 60950-1CSA (Canada): CSA C22.2 No. 60950-1 TUV (Germany): EN60950-1NEMKO (Norway): EN60950-1 KC (Korea): K60950-1 CCC (China): GB 4943-2001PSB (Singapore): IEC60950-1GOST (Russia): IEC60950-1, EN55022SIQ (Slovenia): IEC60950-1, EN55022PCBC (Poland): IEC60590-1, EN55022NOM (Mexico): NOM-019-SCFI-1993IRAM (Argentina):IEC60950-1SASO (Saudi Arabia): IEC60950-1",,,,,,,,,,,,,,640 x 192 x 418 mm,,,,,,,,,,,,,,,,,,,Yes Yes,
Wortmann AG 1940HA - MediaShopUK,,5:4,,No No,Yes Yes,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA","ISO 9241-307, TCO Displays 6.0","Black, Silver Black, Silver",30000000:1,52 mm,214 mm,LED,250 cd/m²,"482.6 mm (19 "")",48.2 cm,16.77 M,1280 x 1024 pixels,TN+Film,Yes,Unspecified,Yes,,Yes,345 mm,Yes,,50/60 Hz,100 - 240 V,Yes Yes,,0.294 x 0.294 mm,Yes Yes,0.5 W,17 W,,,5 ms,,1280 x 1024 (SXGA),,No,-5 - 15 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,,4.5 kg,415 mm,415 mm,No,Yes Yes,,,,,,,,1.0,,Yes,,,,,Yes Yes,,,,,,,,,24 - 80 kHz,50 - 75 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benq EW2740L - MediaShopUK,,16:9,,No No No,No No No,,,Black Black,20000000:1,191.32 mm,,LED,300 cd/m²,"685.8 mm (27 "")",,16.77 M,1920 x 1080 pixels,LCD,No,,,,Yes,622.58 mm,No,,,90 - 264 V,Yes Yes,,,,,,,,12 ms,,,,No,-5 - 20 °,No No,,1.0,178 °,178 °,No,4.2 kg,,450.57 mm,,,Yes Yes,,,,,,,,,2.0,Yes,Yes Yes,,,,Yes Yes,,,,,Windows 8 Windows 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iiyama ProLite B2780HSU - MediaShopUK,Yes,16:9,Yes,No No No,Yes Yes Yes,"AC, Audio (3.5mm), DVI, USB, VGA AC, Audio (3.5mm), DVI, USB, VGA","CE, TCO, TUV",Black Black,5000000:1,250 mm,,LED,300 cd/m²,"685.8 mm (27 "")",,16.77 M,1920 x 1080 pixels,TN+Film,Yes,,Yes,Full HD,Yes,548 mm,Yes,,50/60 Hz,100 - 240 V,,Yes,0.3113 x 0.3113 mm,Yes Yes,1 W,37 W,,Yes Yes,2 ms,,1920 x 1080 (HD 1080),,No,-4 - 22 °,No No,100 x 100 mm,1.0,170 °,160 °,Yes,8 kg,,642 mm,,No,Kensington Kensington,1000:1,1,,,,. .,,1.0,1.0,,,,,Yes Yes,Yes Yes,,,,Yes Yes,Yes Yes,,,,,,No,,No,24 - 80 kHz,Yes Yes,,,,56 - 75 Hz,,,,,,,10 - 80 %,41 - 95 °F,,5 - 85 %,-20 - 60 °C,597.6 mm,336.2 mm,,,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS",,No No No,3.5 mm,2 2 2,9 9,0 - 90 °,4 W 4 W 4 W,Yes,-170 - 170 °,4.0,,,,Edge-lit LED,,,,,,,,,,,,,,,Digital Digital,,,,,,,,,No No No,No No,,,,,No,,No No,No
ASUS VS238N - MediaShopUK,Yes,16:9,,Yes Yes,No No,"AC, DVI, VGA AC, DVI, VGA","UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, EK, J-MOSS, RoHS, WEEE, Windows Vista and Windows 7 WHQL",Black Black,50000000:1,,200 mm,LED,250 cd/m²,"584.2 mm (23 "")",58.4 cm,16.77 M,1920 x 1080 pixels,,,,Yes,Full HD,Yes,,,400 mm,,,,,0.2655 x 0.2655 mm,,,27 W,,Yes Yes,5 ms,Yes Yes,1920 x 1080 (HD 1080),,No,-5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,,3.4 kg,,552 mm,No,Kensington Kensington,,,,5.8 kg,,. .,,1.0,,,,,,,Yes Yes,130 mm,460 mm,608 mm,Yes Yes,,,0.5 W,0.5 W,30 - 80 kHz,55 - 75 Hz,,,,,Yes Yes,,"4:3, 16:9 4:3, 16:9",,,,,,,,1 pcs 1 pcs,,,Horizontal Horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920 x 1080 pixels 1920 x 1080 pixels,Yes Yes,,,,,,,,,,,,,,,,
Wortmann AG Terra LED/LCD 2310W - MediaShopUK,,16:9,,No No No,Yes Yes Yes,"Audio (3.5mm), DVI Audio (3.5mm), DVI","CE, EN 60950",Black Black,10000000:1,416 mm,,LCD,250 cd/m²,"584.2 mm (23 "")",58.4 cm,,1920 x 1080 pixels,TN+Film,Yes,Unspecified,,Full HD,Yes,182 mm,,,50/60 Hz,100 - 240 V,Yes Yes,,0.265 x 0.265 mm,Yes Yes,0.5 W,23 W,,Yes Yes,5 ms,,1920 x 1080 (HD 1080),"1080i, 1080p, 480i, 480p, 576i, 576p, 720p",No,-15 - 15 °,No No,No,1.0,170 °,160 °,No,3.3 kg,,561 mm,,No,No No,,,,,,,,,,,Yes Yes,,Yes,,,,,,,,,0.5 W,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,2 2 2,,,,,,,1.0,,,Edge-lit LED,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Philips 234CL2SB - MediaShopUK,,16:9,,No No,No No,,"BSMI, CE Mark, FCC, Class B, GOST, UL/cUL",Black Black,20000000:1,12.9 mm,175 mm,,250 cd/m²,"584.2 mm (23 "")",,,1920 x 1080 pixels,,,,Yes,Full HD,No,,,408 mm,,,,,0.265 x 0.265 mm,Yes Yes,0.3 W,24 W,,,5 ms,Yes Yes,,,,-3 - 14 °,,,1.0,170 °,160 °,,,2.89 kg,,547 mm,,,,,,4.78 kg,,. .,,,1.0,,,Yes,,,,,,,,,,,,30 - 83 kHz,56 - 76 Hz,,,,,,,,,,,Yes Yes,,,30000 h 30000 h,,,0 - 40 °C,,,-20 - 60 °C,,,,,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR","100-240 VAC, 50/60 Hz, External",,,,,,,Yes,,,,,,,,Yes,,,,,,,,Yes,,,,SmartImage SmartImage,,,,,,,,,,,,,,,20 - 80 %,,,,
Philips 221TE4LB - MediaShopUK,,16:9,,No No No,Yes Yes Yes,"AC, VGA AC, VGA",,Black Black,20000000:1,38 mm,174 mm,LCD,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,,,,,Full HD,Yes,345 mm,No,384 mm,50/60 Hz,100 - 240 V,Yes Yes,,,Yes Yes,0.3 W,25.6 W,,Yes Yes,5 ms,Yes Yes,1920 x 1080 (HD 1080),"1080i, 1080p, 480i, 480p, 576i, 576p, 720p",No,0 - 15 °,Yes Yes,100 x 100 mm,1.0,170 °,160 °,Yes,3 kg,3.24 kg,529 mm,529 mm,No,,1000:1,1,,4.37 kg 4.37 kg,,. .,,,1.0,,,,,,Yes Yes,116 mm 116 mm,446 mm 446 mm,567 mm 567 mm,Yes Yes,,34 W,0.3 W,,,,,,,,,,"4:3, 14:9, 16:9, Zoom 4:3, 14:9, 16:9, Zoom",,,,,,,,,,5 - 40 °C,,,,,,,,,,,,2 2 2,28 28,,6 W 6 W 6 W,,,1.0,,,,W-LED,,,,,,,,,Yes,,,,,,,,,,,,,"NTSC, PAL, SECAM NTSC, PAL, SECAM",,,,,,,,Yes,1.0,Yes Yes,Yes
Wortmann AG Terra 2412W Greenline Plus - MediaShopUK,Yes,16:9,Yes,No No,Yes Yes,"Audio (3.5mm), DVI Audio (3.5mm), DVI","CE, EN 60950",Black Black,20000000:1,44 mm,230 mm,LCD,250 cd/m²,"609.6 mm (24 "")",61 cm,16.77 M,1920 x 1080 pixels,TN+Film,Yes,Unspecified,Yes,Full HD,Yes,345 mm,No,405 mm,50/60 Hz,100 - 240 V,Yes Yes,No,0.277 x 0.277 mm,Yes Yes,0.5 W,19 W,Yes Yes,Yes Yes,5 ms,Yes Yes,1920 x 1080 (HD 1080),"1080i, 1080p",No,0 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,3.6 kg,3.8 kg,568 mm,568 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanns.G HE195APB - MediaShopUK,Yes,16:9,,No No,Yes Yes,"AC, Audio (3.5mm), VGA AC, Audio (3.5mm), VGA",,Black Black,40000000:1,,185 mm,LED,200 cd/m²,"469.9 mm (18.5 "")",47 cm,16.77 M,1366 x 768 pixels,,No,Unspecified,Yes,HD-ready,No,,No,329.5 mm,50/60 Hz,100 - 240 V,Yes Yes,,0.3 x 0.3 mm,,0.5 W,22 W,,Yes Yes,5 ms,Yes Yes,1366 ? 768,,No,-3 - 17 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,2.8 kg,,444.2 mm,444.2 mm,No,Kensington Kensington,1000:1,,,3.35 kg,,,,,,,,,,,Yes Yes,117 mm,377 mm,492 mm,Yes Yes,,,,,,,,,,30 - 61 kHz,,,,,56 - 75 Hz,,,Yes Yes,,,,20 - 85 %,5 - 35 °C,,,,,,,,"DEU, DUT, ENG, ESP, FRE, ITA, POR, RUS DEU, DUT, ENG, ESP, FRE, ITA, POR, RUS",,,,2 2,12 12,,2 W 2 W,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
ASUS VB178TL - MediaShopUK,,4:3,,No No,Yes Yes,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA","BSMI, CB, CCC, CE, CEL, C-Tick, ErP, FCC, Gost-R, J-MOSS, PSB, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL, NOM",Black Black,50000000:1,,214 mm,LCD,250 cd/m²,"431.8 mm (17 "")",43.2 cm,16.77 M,1280 x 1024 pixels,,,Unspecified,Yes,,Yes,,Yes,377 mm,,,Yes Yes,Yes,0.264 x 0.264 mm,,,25 W,,Yes Yes,5 ms,Yes Yes,1280 x 1024 (SXGA),,No,-5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,,5.4 kg,462 mm,462 mm,No,Kensington Kensington,1000:1,,,7 kg,,. .,,1.0,,Yes,Yes Yes,,,,,210 mm,382 mm,559 mm,Yes Yes,,,1 W,1 W,30 - 83 kHz,55 - 75 Hz,,,,30 - 83 kHz,,,,Yes,55 - 75 Hz,,,Yes Yes,,,,,,,,,,,,,,,,3.5 mm,2 2,,,2 W 2 W,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Wortmann AG 3031166 - MediaShopUK,Yes,16:9,,No No No,Yes Yes Yes,,TCO Displays 5.1,Black Black,10000000:1,218 mm,,LED,250 cd/m²,"546.1 mm (21.5 "")",,16.77 M,1920 x 1080 pixels,,Yes,Unspecified,Yes,Full HD,Yes,393 mm,No,,50/60 Hz,100 - 240 V,,,0.248 x 0.248 mm,Yes Yes,1 W,18 W,,,5 ms,,1920 x 1080 (HD 1080),,No,0 - 20 °,No No,,1.0,170 °,160 °,,3.2 kg,,507 mm,,No,,,1,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,30 - 80 kHz,,,,,50 - 76 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips 231P4UPES - MediaShopUK,,16:9,,No No,Yes Yes,,"TCO edge, RoHS","Black, Silver Black, Silver",20000000:1,60 mm,220 mm,LED,250 cd/m²,"584.2 mm (23 "")",58.4 cm,16.77 M,1920 x 1080 pixels,LCD,,Unspecified,Yes,Full HD,,343 mm,Yes,515 mm,50/60 Hz,100 - 240 V,,Yes,0.265 x 0.265 mm,Yes Yes,0.1 W,24.2 W,,,5 ms,,1920 x 1080 (HD 1080),,No,-5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,3.1 kg,5.3 kg,547 mm,547 mm,No,Kensington Kensington,1000:1,,,7.6 kg,,. .,,,,Yes,,,,Yes Yes,Yes Yes,263 mm,400 mm,600 mm,,Yes Yes,,,15.3 W,,,No,Gold,,30 - 83 kHz,Yes Yes,,,Yes,56 - 75 Hz,No,,Yes Yes,,30000 h 30000 h,,20 - 80 %,0 - 40 °C,,,-20 - 60 °C,509.18 mm,286.41 mm,,,"CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",,,,2 2,,0 - 90 °,3 W 3 W,Yes,-65 - 65 °,1.0,,,,W-LED,"BSMI, CE Mark, FCC Class B, GOST, PSB, SASO, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, UL/cUL, WEEE",Yes,,0 - 12192 m,0 - 3658 m,,2.0,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
