authors,title,venue,year
g luo c ellmann p haas j naughton,a scalable hash ripple join algorithm,sigmod conference,2002.0
h hacigms b iyer c li s mehrotra,executing sql over encrypted data in the databaseserviceprovider model,sigmod conference,2002.0
m christoffel s pulkowski b schmitt p lockemann,electronic market the roadmap for university libraries and members to survive in the information jungle,sigmod record,1998.0
r kaushik p bohannon j naughton h korth,covering indexes for branching path queries,sigmod conference,2002.0
b meltzer r glushko,xml and electronic commerce enabling the network economy,sigmod record,1998.0
c chung j min k shim,apex an adaptive path index for xml data,sigmod conference,2002.0
m bichler a segev j zhao,componentbased ecommerce assesment of current practices and future directions,sigmod record,1998.0
t grust,accelerating xpath location steps,sigmod conference,2002.0
m franklin,editors notes,sigmod record,1998.0
v zadorozhny l raschid m vidal t urhan l bright,efficient evaluation of queries in a mediator for websources,sigmod conference,2002.0
a eisenberg j melton,sqlj part 0 now known as sqlolb objectlanguage bindings,sigmod record,1998.0
d ritter,the middleware muddle,sigmod record,1998.0
c olston j widom,besteffort cache synchronization with source cooperation,sigmod conference,2002.0
,reminiscences on influential papers,,1998.0
s madden m shah j hellerstein v raman,continuously adaptive continuous queries over streams,sigmod conference,2002.0
p kalnis w ng b ooi d papadias k tan,an adaptive peertopeer network for distributed caching of olap results,sigmod conference,2002.0
s boll w klas b battaglin,design and implementation of rmp a virtual electronic market place,sigmod record,1998.0
b reich i benshaul,a componentized architecture for dynamic electronic markets,sigmod record,1998.0
m riedewald d agrawal a abbadi,efficient integration and aggregation of historical information,sigmod conference,2002.0
p buneman s khanna k tajima w tan,archiving scientific data,sigmod conference,2002.0
n jennings t norman p faratin,adept an agentbased approach to business process management,sigmod record,1998.0
,xquery a query language for xml,,2003.0
a dogac i durusoy s arpinar n tatbul p koksal i cingil n dimililer,a workflowbased electronic marketplace on the web,sigmod record,1998.0
,guest editors introduction,,1998.0
j gray h schek m stonebraker j ullman,the lowell report,sigmod conference,2003.0
,chairs message,,1998.0
n koudas d srivastava,panel querying networked databases,sigmod conference,2003.0
f korn s muthukrishnan y zhu,ipsofacto a visual correlation tool for aggregate network traffic data,sigmod conference,2003.0
j domingoferrer j herrerajoancomart,an anonymous electronic commerce scheme with an offline authority and untrusted agents,sigmod record,1998.0
a bchner m mulvenna,discovering internet marketing intelligence through online analytical web usage mining,sigmod record,1998.0
v sengar j haritsa,plastic reducing query optimization overheads through plan recycling,sigmod conference,2003.0
p bohannon x dong s ganguly h korth c li p narayan p shenoy,rolex relational online exchange with xml,sigmod conference,2003.0
a sheth c bertram k shah,videoanywhere a system for searching and managing distributed video assets,sigmod record,1999.0
,reminiscences on influential papers,,1999.0
y zhu d shasha x zhao,query by humming in action with its technology revealed,sigmod conference,2003.0
x zhang k dimitrova l wang m elsayed b murphy b pielech m mulchandani l ding e rundensteiner,rainbow multixquery optimization using materialized xml views,sigmod conference,2003.0
,report on the 13th brazilian symposium on database systems sbbd98,,1999.0
s paparizos s alkhalifa a chapman h jagadish l lakshmanan a nierman j patel d srivastava n wiwatwattana y wu c yu,timber a native system for querying xml,sigmod conference,2003.0
m roantree j murphy w hasselbring,the oasis multidatabase prototype,sigmod record,1999.0
s cho s ameryahia l lakshmanan d srivastava,lockx a system for efficiently querying secure xml,sigmod conference,2003.0
m franklin,editors notes,sigmod record,1998.0
s danish,building databasedriven electronic catalogs,sigmod record,1998.0
a zhou q wang z guo x gong s zheng h wu j xiao k yue w fan,trex dtdconforming xml to xml transformations,sigmod conference,2003.0
,nsf workshop on industrialacademic cooperation in database systems,,1999.0
a deshpande s nath p gibbons s seshan,irisnet internetscale resourceintensive sensor services,sigmod conference,2003.0
a eisenberg j melton,sql 1999 formerly known as sql 3,sigmod record,1999.0
s chandrasekaran o cooper a deshpande m franklin j hellerstein w hong s krishnamurthy s madden f reiss m shah,telegraphcq continuous dataflow processing,sigmod conference,2003.0
d mackay,semantic integration of environmental models for application to global information systems and decisionmaking,sigmod record,1999.0
s ameryahia m fernandez d srivastava y xu,pix exact and approximate phrase matching in xml,sigmod conference,2003.0
a arasu b babcock s babu m datar k ito i nishizawa j rosenstein j widom,stream the stanford stream data manager,sigmod conference,2003.0
e forte f haenni k warkentyne e duval k cardinaels e vervaet k hendrikx m forte f simillion,semantic and pedagogic interoperability mechanisms in the ariadne educational repository,sigmod record,1999.0
e hanson,statement from the treasurer,sigmod record,1999.0
p larson j goldstein j zhou,transparent midtier database caching in sql server,sigmod conference,2003.0
a ouksel a sheth,semantic interoperability in global information systems a brief introduction to the research area and the special section,sigmod record,1999.0
e agichtein l gravano,qxtract a building block for efficient information extraction from plaintext databases,sigmod conference,2003.0
b ooi k tan a zhou c goh y li c liau b ling w ng y shu x wang m zhang,peerdb peering into personal databases,sigmod conference,2003.0
s bergamaschi s castano m vincini,semantic integration of semistructured and structured data sources,sigmod record,1999.0
d liu m franklin d parekh,griddb a database interface to the grid,sigmod conference,2003.0
a gal,semantic interoperability in information services experiencing with coopware,sigmod record,1999.0
k smith l obrst,unpacking the semantics of source and usage to perform semantic reconciliation in largescale information systems,sigmod record,1999.0
c zuzarte h pirahesh w ma q cheng l liu k wong,winmagic subquery elimination using window aggregation,sigmod conference,2003.0
l lakshmanan j pei y zhao,socqet semantic olap with compressed cube and summarization,sigmod conference,2003.0
a hampapur,semantic video indexing approach and issue,sigmod record,1999.0
d shasha p bonnet,database tuning principles experiments and troubleshooting techniques part ii,sigmod conference,2002.0
k sycara m klusch s widoff j lu,dynamic service matchmaking among agents in open information environments,sigmod record,1999.0
d shasha p bonnet,database tuning principles experiments and troubleshooting techniques part i,sigmod conference,2002.0
m papazoglou j hoppenbrouwers,contextualizing the information space in federated digital libraries,sigmod record,1999.0
m souza m sampaio,efficient materialization and use of views in data warehouses,sigmod record,1999.0
s viglas j naughton,ratebased query optimization for streaming information sources,sigmod conference,2002.0
,proceedings of the 2002 acm sigmod international conference on management of data madison wisconsin june 36 2002,,2002.0
j fowler b perry m nodine b bargmeyer,agentbased semantic interoperability in infosleuth,sigmod record,1999.0
j kuan p lewis,a study on data point search for hgtrees,sigmod record,1999.0
a hinneburg d keim m wawryniuk,hdeye visual clustering of high dimensional data,sigmod conference,2002.0
s ceri p fraternali s paraboschi,design principles for dataintensive web sites,sigmod record,1999.0
j phan r ng,gea a toolkit for gene expression analysis,sigmod conference,2002.0
,chairs message,,1999.0
p bonnet,going public opensource databases and database research,sigmod conference,2002.0
w kim,message from editorinchief acm transactions on database systems,,1999.0
j hellerstein j widom,data streams fresh current or stagnant backwater panel,sigmod conference,2002.0
l gruenwald l brown r dirckze s guinepain c snchez b summers s vanichayobon,database research at the university of oklahoma,sigmod record,1999.0
c cranor y gao t johnson v shkapenyuk o spatscheck,gigascope high performance network monitoring with an sql interface,sigmod conference,2002.0
r domenig k dittrich,an overview and classification of mediated query systems,sigmod record,1999.0
s madden j hellerstein,distributing queries over lowpower wireless sensor networks,sigmod conference,2002.0
s agrawal s chaudhuri g das,dbxplorer enabling keyword search over relational databases,sigmod conference,2002.0
,chairs message,,1999.0
,vice chairs message,,1999.0
j han j wang g dong j pei k wang,cubeexplorer online exploration of data cubes,sigmod conference,2002.0
p karbhari m rabinovich z xiao f douglis,acdn a content delivery network for applications,sigmod conference,2002.0
s yau h leong d mcleod a si,on multiresolution document transmission in mobile web,sigmod record,1999.0
m altinel q luo s krishnamurthy c mohan h pirahesh b lindsay h woo l brown,dbcache database caching for web application servers,sigmod conference,2002.0
