author_1,author_2,author_3,author_4,title,venue,year
parke godfrey,jarek gryz,calisto zuzarte,,exploiting constraintlike data characterizations in query optimization,international conference on management of data,2001.0
tirthankar lahiri,amit ganesh,ron weiss,ashok joshi,faststart quick fault recovery in oracle,international conference on management of data,2001.0
reed m meseck,,,,data management lasting impact on wil wil web,international conference on management of data,2001.0
c233sar galindolegaria,milind joshi,,,orthogonal optimization of subqueries and aggregation,international conference on management of data,2001.0
sanjay agrawal,surajit chaudhuri,vivek narasayya,,materialized view and index selection tool for microsoft sql server 2000,international conference on management of data,2001.0
tiziana catarci,giuseppe santucci,,,the prototype of the dare system,international conference on management of data,2001.0
kajal t claypool,elke a rundensteiner,xin zhang,su hong,sangam a solution to support multiple data model their mappings and maintenance,international conference on management of data,2001.0
mauricio a hern225ndez,ren233e j miller,laura m haas,,clio a semiautomatic tool for schema mapping,international conference on management of data,2001.0
david buttler,ling liu,calton pu,henrique paques,ominisearch a method for searching dynamic content on the web,international conference on management of data,2001.0
elisa bertino,silvana castano,elena ferrari,,securing xml documents the authorx project demonstration,international conference on management of data,2001.0
asaf adii,david botzer,opher etzion,tali yatzkarhaham,monitoring business processes through event correlation based on dependency model,international conference on management of data,2001.0
sudarshan s chawathe,thomas baby,jihwang yoo,,vqbd exploring semistructured data,international conference on management of data,2001.0
mahesh v joshi,ramesh c agarwal,vipin kumar,,mining needle in a haystack classifying rare classes via twophase rule induction,international conference on management of data,2001.0
markus m breunig,hanspeter kriegel,peer kr246ger,j246rg sander,data bubbles quality preserving performance boosting for hierarchical clustering,international conference on management of data,2001.0
fran231oise fabret,h arno jacobsen,fran231ois llirbat,jo259o pereira,filtering algorithms and implementation for very fast publishsubscribe systems,international conference on management of data,2001.0
mary fernandez,atsuyuki morishima,dan suciu,,efficient evaluation of xml middleware queries,international conference on management of data,2001.0
denis rinfret,patrick oneil,elizabeth oneil,,bitsliced index arithmetic,international conference on management of data,2001.0
charu c aggarwal,philip s yu,,,outlier detection for high dimensional data,international conference on management of data,2001.0
panagiotis g ipeirotis,luis gravano,mehran sahami,,prob coun and classify categorizing hidden web databases,international conference on management of data,2001.0
michael greenwald,sanjeev khanna,,,spaceefficient online computation of quantile summaries,international conference on management of data,2001.0
clement yu,weiyi meng,wensheng wu,kinglup liu,efficient and effective metasearch for text databases incorporating linkages among documents,international conference on management of data,2001.0
vinayak borkar,kaustubh deshmukh,sunita sarawagi,,automatic segmentation of text into structured records,international conference on management of data,2001.0
nicolas bruno,surajit chaudhuri,luis gravano,,stholes a multidimensional workloadaware histogram,international conference on management of data,2001.0
amol deshpande,minos garofalakis,rajeev rastogi,,independence is good dependencybased histogram synopses for highdimensional data,international conference on management of data,2001.0
kihong kim,sang k cha,keunjoo kwon,,optimizing multidimensional index trees for main memory access,international conference on management of data,2001.0
giedrius slivinskas,christian s jensen,richard thomas snodgrass,,adaptable query optimization and evaluation in temporal middleware,international conference on management of data,2001.0
philip bohannon,peter mcllroy,rajeev rastogi,,mainmemory index structures with fixedsize partial keys,international conference on management of data,2001.0
eamonn keogh,kaushik chakrabarti,michael pazzani,sharad mehrotra,locally adaptive dimensionality reduction for indexing large time series databases,international conference on management of data,2001.0
zhiyuan chen,johannes gehrke,flip korn,,query optimization in compressed database systems,international conference on management of data,2001.0
shivnath babu,minos garofalakis,rajeev rastogi,,spartan a modelbased semantic compression system for massive data tables,international conference on management of data,2001.0
surajit chaudhuri,gautam das,vivek narasayya,,a robus optimizationbased approach for approximate answering of aggregate queries,international conference on management of data,2001.0
hoshi mistry,prasan roy,s sudarshan,krithi ramamritham,materialized view selection and maintenance using multiquery optimization,international conference on management of data,2001.0
h v jagadish,hui jin,beng chin ooi,kianlee tan,global optimization of histograms,international conference on management of data,2001.0
