author_1,author_2,author_3,author_4,title,venue,year
tzicker chiueh,,,,contentbased image indexing,vldb,1994.0
mongli lee,beng chin ooi,anirban mondal,kianlee tan,towards selftuning data placement in parallel database systems,sigmod conference,2000.0
barbara liskov,atul adya,robert gruber,umesh maheshwari,efficient optimistic concurrency control using loosely synchronized clocks,sigmod conference,1995.0
philip a bernstein,erhard rahm,sergey melnik,,rondo a programming platform for generic model management,sigmod conference,2003.0
joseph m hellerstein,,,,optimization techniques for queries with expensive methods,acm trans database syst,1998.0
franois llirbat,franoise fabret,eric simon,,eliminating costly redundant computations from sql trigger executions,sigmod conference,1997.0
lyman do,prabhu ram,pamela drew,,the need for distributed asynchronous transactions,sigmod conference,1999.0
yusuf akca,cemal yilmaz,k seluk candan,wensyan li,cache portal technology for accelerating databasedriven ecommerce web sites,vldb,2001.0
dimitris papadias,yufei tao,,,mv3rtree a spatiotemporal access method for timestamp and interval queries,vldb,2001.0
richard swagerman,nelson mendona mattos,michael j carey,srinivasa narayanan,o whats happening to db2,sigmod conference,1999.0
beverly yang,hector garciamolina,,,comparing hybrid peertopeer systems,vldb,2001.0
vuk ercegovac,allison woodruff,michael stonebraker,mark lin,datasplash,sigmod conference,1998.0
nick roussopoulos,yannis kotidis,,,a case for dynamic view management,acm trans database syst,2001.0
riccardo torlone,paolo atzeni,,,chameleon an extensible and customizable tool for web data translation,vldb,2003.0
ibrahim cingil,nazife dimililer,nesime tatbul,ilker durusoy,a workflowbased electronic marketplace on the web,sigmod record,1998.0
jayant madhavan,robin dhamankar,alon y halevy,pedro domingos,learning to match ontologies on the semantic web,vldb j,2003.0
michael m david,,,,ansi sql hierarchical processing can fully integrate native xml,sigmod record,2003.0
harald schning,,,,the adabas buffer pool manager,vldb,1998.0
yuan gao,theodore johnson,charles d cranor,vladislav shkapenyuk,gigascope high performance network monitoring with an sql interface,sigmod conference,2002.0
salvatore j stolfo,mauricio a hernndez,,,the mergepurge problem for large databases,sigmod conference,1995.0
nikos mamoulis,jun zhang,dimitris papadias,yufei tao,query processing in spatial network databases,vldb,2003.0
b gotsmann,a dholakia,g cherubini,walter hberle,a nanotechnologybased approach to data storage,vldb,2003.0
kianlee tan,cheng hian goh,beng chin ooi,,fast highdimensional data search in incomplete databases,vldb,1998.0
jeffrey xu yu,hongjun lu,ling feng,jiawei han,a template model for multidimensional intertransactional association rules,vldb j,2002.0
weiyin loh,raghu ramakrishnan,venkatesh ganti,johannes gehrke,boatoptimistic decision tree construction,sigmod conference,1999.0
samuel madden,mehul a shah,vijayshankar raman,joseph m hellerstein,continuously adaptive continuous queries over streams,sigmod conference,2002.0
peter thanisch,colin stirling,tim kempster,,diluting acid,sigmod record,1999.0
alberto o mendelzon,dimitra vista,masum z hasan,,applying database visualization to the world wide web,sigmod record,1996.0
michael benedikt,aoying zhou,rajeev rastogi,shihui zheng,dtddirected publishing with attribute translation grammars,vldb,2002.0
surajit chaudhuri,prasanna ganesan,vivek r narasayya,,primitives for workload summarization and implications for sql,vldb,2003.0
betty salzberg,chendong zou,,,safely and efficiently updating references during online reorganization,vldb,1998.0
michele missikoff,anna formica,hans dietmar grger,,an efficient method for checking objectoriented database schema correctness,acm trans database syst,1998.0
michael stonebraker,sunita sarawagi,,,reordering query execution in tertiary memory databases,vldb,1996.0
t k rengarajan,,,,how system 11 sql server became fast,vldb,1996.0
anant jhingran,,,,moving up the food chain supporting ecommerce applications on databases,sigmod record,2000.0
chinwan chung,kyuseok shim,junki min,,apex an adaptive path index for xml data,sigmod conference,2002.0
elisa bertino,,,,index configuration in objectoriented databases,vldb j,1994.0
dimitris papadias,yufei tao,qiongmao shen,,continuous nearest neighbor search,vldb,2002.0
m tamer zsu,,,,chairs message,sigmod record,2002.0
frank manola,,,,towards a richer web object model,sigmod record,1998.0
paolo atzeni,paolo merialdo,marco pecorone,marco magnante,homer a modelbased case tool for dataintensive web sites,sigmod conference,2000.0
hanan samet,erik g hoel,,,performance of dataparallel spatial operations,vldb,1994.0
chris eaton,,,,managing large systems with db2 udb,sigmod conference,1998.0
c mohan,sailesh krishnamurthy,mehmet altinel,christof bornhvd,dbcache middletier database caching for highly scalable ebusiness architectures,sigmod conference,2003.0
yannis papakonstantinou,joachim hammer,jennifer widom,jeffrey d ullman,information translatio mediatio and mosaicbased browsing in the tsimmis system,sigmod conference,1995.0
jun rao,kenneth a ross,johannes gehrke,,reminiscences on influential papers,sigmod record,2003.0
alexander a anisimov,,,,review of the data warehouse toolkit the complete guide to dimensional modeling 2nd edition by ralph kimbal margy ross john wiley son inc 2002,sigmod record,2003.0
boon thau loo,jennifer widom,chris olston,,adaptive precision setting for cached approximate values,sigmod conference,2001.0
serge abiteboul,rajeev motwani,svetlozar nestorov,,extracting schema from semistructured data,sigmod conference,1998.0
josef burger,jeffrey f naughton,stratis viglas,,maximizing the output rate of multiway join queries over streaming information sources,vldb,2003.0
antonio albano,renzo orsini,giorgio ghelli,,fibonacci a programming language for object databases,vldb j,1995.0
mark r tuttle,david b lomet,,,a theory of redo recovery,sigmod conference,2003.0
john g hughes,david a bell,sarabjot s anand,,an empirical performance study of the ingres search accelerator for a large property management database system,vldb,1994.0
z meral zsoyoglu,tolga bozkaya,,,distancebased indexing for highdimensional metric spaces,sigmod conference,1997.0
sena nural arpinar,asuman dogac,,,provision of market services for eco compliant electronic market places,sigmod record,2000.0
philip a bernstein,,,,report on the 2001 sigmod and pods awards,sigmod record,2001.0
swarup acharya,stanley b zdonik,michael j franklin,,disseminating updates on broadcast disks,vldb,1996.0
peter j haas,rakesh agrawal,jerry kiernan,,watermarking relational data framewor algorithms and analysis,vldb j,2003.0
,,,,titl forewor preface to the special issue on spatial database system index vol 3,vldb j,1994.0
jeanluc hainaut,,,,research in database engineering at the university of namur,sigmod record,2003.0
michle cart,claire morpain,jeanfranois pons,jean ferri,maintaining database consistency in presence of value dependencies in multidatabase systems,sigmod conference,1996.0
anat eyal,tova milo,,,integrating and customizing heterogeneous ecommerce applications,vldb j,2001.0
ricky k taira,ion tim ieong,wesley w chu,,a semantic modeling approach for image retrieval by content,vldb j,1994.0
yannis e ioannidis,raghu ramakrishnan,philip a bernstein,,guest editorial,vldb j,2003.0
peter c lockemann,bethina schmitt,michael christoffel,sebastian pulkowski,electronic market the roadmap for university libraries and members to survive in the information jungle,sigmod record,1998.0
jeannie shands,kenneth salem,hector garciamolina,,altruistic locking,acm trans database syst,1994.0
sunita sarawagi,,,,query processing in tertiary memory databases,vldb,1995.0
martin bichler,arie segev,j leon zhao,,componentbased ecommerce assesment of current practices and future directions,sigmod record,1998.0
kaizhong zhang,dennis shasha,jason tsongli wang,,pattern matching and pattern discovery in scientifi progra and document databases,sigmod conference,1995.0
olga peschansky,jos alberto fernndez,julie basu,,building scalable internet applications with oracle8i server,vldb,2000.0
michael ubell,,,,the montage extensible datablade achitecture,sigmod conference,1994.0
kenneth j goldman,nancy a lynch,,,quorum consensus in nested transaction systems,acm trans database syst,1994.0
dean kuo,,,,model and verification of a data manager based on aries,acm trans database syst,1996.0
yufei tao,dimitris papadias,,,spatial queries in dynamic environments,acm trans database syst,2003.0
jeanrobert gruser,vladimir zadorozhny,louiqa raschid,tao zhan,learning response time for websources using query feedback and application in query optimization,vldb j,2000.0
venky harinarayan,ashish gupta,anand rajaraman,,virtual database technology,sigmod record,1997.0
anastassia ailamaki,johannes gehrke,,,time management for new faculty,sigmod record,2003.0
michael g norman,peter thanisch,thomas zurek,,much ado about sharednothing,sigmod record,1996.0
torsten suel,xiaohui long,,,optimized query execution in large search engines with global page ordering,vldb,2003.0
surajit chaudhuri,,,,query optimization at the crossroads panel,sigmod conference,1997.0
alon y levy,mary f fernandez,jaewoo kang,daniela florescu,strudel a website management system,sigmod conference,1997.0
m tamer zsu,,,,chairs message,sigmod record,2003.0
guy m lohman,david j dewitt,qiong luo,jeffrey f naughton,on supporting containment queries in relational database management systems,sigmod conference,2001.0
kemafor anyanwu,amit p sheth,,,the p operator discovering and ranking associations on the semantic web,sigmod record,2002.0
philip a bernstein,,,,repositories and object oriented databases,sigmod record,1998.0
ling liu,,,,editors notes,sigmod record,2002.0
steven d whitehead,himanshu sinha,michael murphy,,gte superpages using ir techniques for searching complex objects,vldb,1997.0
markus schneider,enrico nardelli,luca forlizzi,ralf hartmut gting,a data model and data structures for moving objects databases,sigmod conference,2000.0
asuman dogac,,,,middle east technical university software research and development center,sigmod record,1996.0
padmavathi vallabhaneni,daniel barbar,walid g aref,,the handwritten trie indexing electronic ink,sigmod conference,1995.0
flix saltor,mark roantree,mark w w vermeer,wilhelm hasselbring,research issues in federated database systems report of efdbs 97 workshop,sigmod record,1997.0
piotr indyk,sudipto guha,nitin thaper,nick koudas,dynamic multidimensional histograms,sigmod conference,2002.0
kotagiri ramamohanarao,justin zobel,alistair moffat,,inverted files versus signature files for text indexing,acm trans database syst,1998.0
jaideep srivastava,jianzhong li,doron rotem,,aggregation algorithms for very large compressed data warehouses,vldb,1999.0
nevzat hurkan balkir,gultekin zsoyoglu,,,delivering presentations from multimedia servers,vldb j,1998.0
a r hurson,simin h pakzad,m w bright,,automated resolution of semantic heterogeneity in multidatabases,acm trans database syst,1994.0
m tamer zsu,,,,chairs message,sigmod record,2001.0
karl aberer,,,,book review column,sigmod record,2002.0
david j dewitt,jianjun chen,chun zhang,feng tian,the design and performance evaluation of alternative xml storage strategies,sigmod record,2002.0
