actor_1,actor_2,actor_3,color,content_rating,director,original_language,production_countries,title,vote_average,year
christopher lee,orlando bloom,billy boyd,color,pg13,peter jackson,english,new zealand,the lord of the rings the fellowship of the ring,9.0,2001.0
jim broadbent,steve coogan,ccile de france,color,pg,frank coraci,english,usa,around the world in 80 days,6.0,2004.0
will smith,jada pinkett smith,joe morton,black and white,r,michael mann,english,usa,ali,7.0,2001.0
sean hayes,kelly preston,spencer breslin,color,pg,bo welch,english,usa,the cat in the hat,4.0,2003.0
will smith,bruce greenwood,chi mcbride,color,pg13,alex proyas,english,usa,i robot,7.0,2004.0
liam neeson,orlando bloom,philip glenister,color,r,ridley scott,english,usa,kingdom of heaven,7.0,2005.0
chazz palminteri,nathan lane,jeffrey jones,color,pg,rob minkoff,english,germany,stuart little,6.0,1999.0
oprah winfrey,jenifer lewis,anika noni rose,color,g,ron clements,english,usa,the princess and the frog,7.0,2009.0
matt damon,donald glover,benedict wong,color,pg13,ridley scott,english,usa,the martian,8.0,2015.0
scarlett johansson,steve buscemi,djimon hounsou,color,pg13,michael bay,english,usa,the island,7.0,2005.0
del zamora,warren beatty,garry shandling,color,r,peter chelsom,english,new line,town country,4.0,2001.0
nicolas cage,angelina jolie pitt,robert duvall,color,pg13,dominic sena,english,usa,gone in sixty seconds,6.0,2000.0
djimon hounsou,connie nielsen,oliver reed,color,r,ridley scott,english,usa,gladiator,8.0,2000.0
tom cruise,frank grillo,jessica capshaw,color,pg13,steven spielberg,english,usa,minority report,8.0,2002.0
daniel radcliffe,rupert grint,emma watson,color,pg,chris columbus,english,uk,harry potter and the chamber of secrets,7.0,2002.0
eva green,tobias menzies,ivana milicevic,black and white,pg13,martin campbell,english,uk,casino royale,8.0,2006.0
caryhiroyuki tagawa,estella warren,erick avari,color,pg13,tim burton,english,usa,planet of the apes,6.0,2001.0
joe morton,jenette goldstein,s epatha merkerson,color,r,james cameron,english,usa,terminator 2 judgment day,8.0,1991.0
johnny depp,christian bale,stephen graham,color,r,michael mann,english,usa,public enemies,7.0,2009.0
denzel washington,ruby dee,rza,color,r,ridley scott,english,usa,american gangster,8.0,2007.0
jamie lee curtis,tia carrere,tom arnold,color,r,james cameron,english,usa,true lies,7.0,1994.0
denzel washington,ramon rodriguez,michael rispoli,color,r,tony scott,english,usa,the taking of pelham 1 2 3,6.0,2009.0
robert de niro,blythe danner,teri polo,color,pg13,paul weitz,english,usa,little fockers,6.0,2010.0
dwayne johnson,will ferrell,derek jeter,color,pg13,adam mckay,english,usa,the other guys,7.0,2010.0
vanessa williams,james coburn,roma maffia,color,r,chuck russell,english,usa,eraser,6.0,1996.0
leonardo dicaprio,christoph waltz,ato essandoh,color,r,quentin tarantino,english,usa,django unchained,8.0,2012.0
demi moore,jason alexander,bill fagerbakke,color,g,gary trousdale,english,usa,the hunchback of notre dame,7.0,1996.0
eartha kitt,wendie malick,john fiedler,color,g,mark dindal,english,usa,the emperors new groove,7.0,2000.0
jason statham,sylvester stallone,bruce willis,color,r,simon west,english,usa,the expendables 2,7.0,2012.0
nicolas cage,armando riesco,annie parisse,color,pg,jon turteltaub,english,usa,national treasure,7.0,2004.0
djimon hounsou,ed speleers,gary lewis,black and white,pg,stefen fangmeier,english,usa,eragon,5.0,2006.0
catherine ohara,ryan corr,max records,color,pg,spike jonze,english,germany,where the wild things are,7.0,2009.0
josh hutcherson,emma kenney,troy evans,color,pg,chris wedge,english,usa,epic,7.0,2013.0
johnny depp,angelina jolie pitt,rufus sewell,color,pg13,florian henckel von donnersmarck,english,usa,the tourist,6.0,2010.0
cch pounder,mark margolis,udo kier,color,r,peter hyams,english,usa,end of days,6.0,1999.0
leonardo dicaprio,djimon hounsou,stephen collins,color,r,edward zwick,english,germany,blood diamond,8.0,2006.0
leonardo dicaprio,matthew mcconaughey,jon favreau,color,r,martin scorsese,english,usa,the wolf of wall street,8.0,2013.0
michael gough,rene auberjonois,debi mazar,color,pg13,joel schumacher,english,usa,batman forever,5.0,1995.0
jake busey,patrick muldoon,seth gilliam,color,r,paul verhoeven,english,usa,starship troopers,7.0,1997.0
tom hanks,jim sturgess,jim broadbent,color,r,tom tykwer,english,germany,cloud atlas,8.0,2012.0
abbie cornish,richard roxburgh,anthony lapaglia,color,pg,zack snyder,english,usa,legend of the guardians the owls of gahoole,7.0,2010.0
frances conroy,christopher heyerdahl,alex borstein,color,pg13,pitof,english,usa,catwoman,3.0,2004.0
dwayne johnson,rufus sewell,ingrid bols berdal,color,pg13,brett ratner,english,usa,hercules,6.0,2014.0
joseph gordonlevitt,martin short,michael wincott,color,pg,ron clements,english,usa,treasure planet,7.0,2002.0
will ferrell,anna friel,bobbe j thompson,color,pg13,brad silberling,english,usa,land of the lost,5.0,2009.0
jason statham,sylvester stallone,harrison ford,color,pg13,patrick hughes,english,usa,the expendables 3,6.0,2014.0
ray winstone,edgar ramrez,delroy lindo,color,pg13,ericson core,english,usa,point break,5.0,2015.0
jamie kennedy,traylor howard,ben stein,color,pg,lawrence guterman,english,usa,son of the mask,2.0,2005.0
chris hemsworth,benjamin walker,frank dillane,color,pg13,ron howard,english,usa,in the heart of the sea,7.0,2015.0
rosario dawson,randy quaid,burt young,color,pg13,ron underwood,english,usa,the adventures of pluto nash,4.0,2002.0
matt damon,sean huze,igal naor,color,r,paul greengrass,english,france,green zone,7.0,2010.0
francesca capaldi,venus schultheis,bill melendez,color,g,steve martino,english,usa,the peanuts movie,7.0,2015.0
ben gazzara,felicity huffman,campbell scott,color,pg,david mamet,english,usa,the spanish prisoner,7.0,1997.0
dwayne johnson,brendan fraser,patricia velasquez,color,pg13,stephen sommers,english,usa,the mummy returns,6.0,2001.0
leonardo dicaprio,liam neeson,jim broadbent,color,r,martin scorsese,english,usa,gangs of new york,8.0,2002.0
christian bale,ni ni,shigeo kobayashi,color,r,yimou zhang,mandarin,china,the flowers of war,8.0,2011.0
jeff bridges,zooey deschanel,jon heder,color,pg,ash brannon,english,usa,surfs up,7.0,2007.0
jon lovitz,matthew broderick,roger bart,color,pg13,frank oz,english,usa,the stepford wives,5.0,2004.0
ioan gruffudd,sam shepard,ewen bremner,color,r,ridley scott,english,usa,black hawk down,8.0,2001.0
will ferrell,thomas middleditch,katherine lanasa,color,r,jay roach,english,usa,the campaign,6.0,2012.0
milla jovovich,bruce willis,gary oldman,color,pg13,luc besson,english,france,the fifth element,8.0,1997.0
chris noth,liza minnelli,kristin davis,color,r,michael patrick king,english,usa,sex and the city 2,4.0,2010.0
frank welker,rosie perez,elton john,color,pg,bibo bergeron,english,usa,the road to el dorado,7.0,2000.0
peter dinklage,josh gad,drake,color,pg,steve martino,english,usa,ice age continental drift,7.0,2012.0
hayley atwell,derek jacobi,lily james,color,pg,kenneth branagh,english,usa,cinderella,7.0,2015.0
michael imperioli,aj michalka,tom mccarthy,color,pg13,peter jackson,english,usa,the lovely bones,7.0,2009.0
alexander gould,stephen root,brad garrett,color,g,andrew stanton,english,usa,finding nemo,8.0,2003.0
orlando bloom,billy boyd,bernard hill,color,pg13,peter jackson,english,usa,the lord of the rings the return of the king,9.0,2003.0
christopher lee,orlando bloom,billy boyd,color,pg13,peter jackson,english,usa,the lord of the rings the two towers,9.0,2002.0
jeff bridges,djimon hounsou,olivia williams,color,pg13,sergey bodrov,english,usa,seventh son,6.0,2014.0
angelina jolie pitt,noah taylor,chris barrie,color,pg13,simon west,english,usa,lara croft tomb raider,6.0,2001.0
johnny depp,morgan freeman,clifton collins jr,color,pg13,wally pfister,english,uk,transcendence,6.0,2014.0
michael jeter,trevor morgan,alessandro nivola,color,pg13,joe johnston,english,usa,jurassic park iii,6.0,2001.0
james franco,david oyelowo,tyler labine,color,pg13,rupert wyatt,english,usa,rise of the planet of the apes,8.0,2011.0
martin short,tod fennell,joan plowright,color,pg,mark waters,english,usa,the spiderwick chronicles,7.0,2008.0
bruce willis,cole hauser,megalyn echikunwoke,color,r,john moore,english,usa,a good day to die hard,5.0,2013.0
dennis quaid,marc blucas,jordi moll,color,pg13,john lee hancock,english,usa,the alamo,6.0,2004.0
holly hunter,craig t nelson,lou romano,color,pg,brad bird,english,usa,the incredibles,8.0,2004.0
christopher masterson,frank langella,matthew modine,color,pg13,renny harlin,english,usa,cutthroat island,6.0,1995.0
logan lerman,rosario dawson,steve coogan,color,pg,chris columbus,english,uk,percy jackson the olympians the lightning thief,6.0,2010.0
will smith,rip torn,linda fiorentino,color,pg13,barry sonnenfeld,english,usa,men in black,7.0,1997.0
tom hanks,john ratzenberger,wayne knight,color,g,john lasseter,english,usa,toy story 2,8.0,1999.0
denzel washington,rosario dawson,ethan suplee,color,pg13,tony scott,english,usa,unstoppable,7.0,2010.0
mei melanon,john lone,harris yulin,color,pg13,brett ratner,english,usa,rush hour 2,7.0,2001.0
harrison ford,amber valletta,miranda otto,color,pg13,robert zemeckis,english,usa,what lies beneath,7.0,2000.0
will forte,bobbe j thompson,al roker,color,pg,phil lord,english,usa,cloudy with a chance of meatballs,7.0,2009.0
denis leary,maile flanagan,kelly keaton,color,pg,carlos saldanha,english,usa,ice age dawn of the dinosaurs,7.0,2009.0
adam scott,adrian martinez,joey slotnick,color,pg,ben stiller,english,usa,the secret life of walter mitty,7.0,2013.0
bill murray,ll cool j,kelly lynch,color,pg13,mcg,english,usa,charlies angels,6.0,2000.0
leonardo dicaprio,matt damon,ray winstone,color,r,martin scorsese,english,usa,the departed,8.0,2006.0
mingna wen,harvey fierstein,june foray,color,g,tony bancroft,english,usa,mulan,8.0,1998.0
robert downey jr,steve coogan,brandon t jackson,color,r,ben stiller,english,usa,tropic thunder,7.0,2008.0
robin wright,goran visnjic,joely richardson,color,r,david fincher,english,usa,the girl with the dragon tattoo,8.0,2011.0
bruce willis,aldis hodge,kevin chamberlin,color,r,john mctiernan,english,usa,die hard with a vengeance,8.0,1995.0
robert downey jr,eddie marsan,robert maillet,color,pg13,guy ritchie,english,usa,sherlock holmes,8.0,2009.0
morgan freeman,ayelet zurer,moises arias,color,pg13,timur bekmambetov,english,usa,benhur,6.0,2016.0
leonard nimoy,jim varney,cree summer,color,pg,gary trousdale,english,usa,atlantis the lost empire,7.0,2001.0
bella thorne,joshua mikel,jesse mccartney,color,pg,walt becker,english,usa,alvin and the chipmunks the road chip,5.0,2015.0
tom cruise,tom wilkinson,thomas kretschmann,color,pg13,bryan singer,english,usa,valkyrie,7.0,2008.0
adam sandler,sayed badreya,kevin nealon,color,pg13,dennis dugan,english,usa,you dont mess with the zohan,6.0,2008.0
peter dinklage,adam sandler,josh gad,color,pg13,chris columbus,english,usa,pixels,6.0,2015.0
haley joel osment,william hurt,kevin sussman,color,pg13,steven spielberg,english,usa,ai artificial intelligence,7.0,2001.0
marsha thomason,rachael harris,marc john jefferies,color,pg,rob minkoff,english,usa,the haunted mansion,5.0,2003.0
matthew mcconaughey,tom skerritt,larry king,color,pg,robert zemeckis,english,usa,contact,7.0,1997.0
greg grunberg,kim dickens,joey slotnick,color,r,paul verhoeven,english,usa,hollow man,6.0,2000.0
curtiss cook,george harris,michael wright,color,pg13,sydney pollack,aboriginal,uk,the interpreter,6.0,2005.0
logan lerman,leven rambin,brandon t jackson,color,pg,thor freudenthal,english,usa,percy jackson sea of monsters,6.0,2013.0
gerard butler,angelina jolie pitt,djimon hounsou,color,pg13,jan de bont,english,usa,lara croft tomb raider the cradle of life,6.0,2003.0
daniel radcliffe,morgan freeman,sanaa lathan,color,pg13,jon m chu,english,usa,now you see me 2,7.0,2016.0
alun armstrong,michael byrne,velibor topic,color,pg13,phillip noyce,english,usa,the saint,6.0,1997.0
brad pitt,stephen dillane,catherine mccormack,color,r,tony scott,english,germany,spy game,7.0,2001.0
don cheadle,connie nielsen,kim delaney,color,pg,brian de palma,english,usa,mission to mars,6.0,2000.0
anne hathaway,wanda sykes,william,color,g,carlos saldanha,english,usa,rio,7.0,2011.0
robin williams,oliver platt,john michael higgins,color,pg,chris columbus,english,usa,bicentennial man,7.0,1999.0
don cheadle,anne heche,gaby hoffmann,color,pg13,mick jackson,english,usa,volcano,5.0,1997.0
harrison ford,brad pitt,natascha mcelhone,color,r,alan j pakula,english,usa,the devils own,6.0,1997.0
liam neeson,christian camargo,lex shrapnel,color,pg13,kathryn bigelow,english,uk,k19 the widowmaker,7.0,2002.0
william smith,mako,sandahl bergman,color,r,john milius,english,usa,conan the barbarian,7.0,1982.0
paddy considine,bruce mcgill,rosemarie dewitt,color,pg13,ron howard,english,usa,cinderella man,8.0,2005.0
shirley henderson,nathan lane,richard e grant,color,pg,andrey konchalovskiy,english,uk,the nutcracker in 3d,4.0,2010.0
jeff bridges,michael angarano,michael oneill,black and white,pg13,gary ross,english,usa,seabiscuit,7.0,2003.0
philip seymour hoffman,alan ruck,jami gertz,color,pg13,jan de bont,english,usa,twister,6.0,1996.0
tom hanks,paul sanchez,nick searcy,color,pg13,robert zemeckis,english,usa,cast away,8.0,2000.0
robin williams,hugh jackman,elizabeth daily,color,pg,george miller,english,usa,happy feet,6.0,2006.0
matt damon,joan allen,oksana akinshina,color,pg13,paul greengrass,english,usa,the bourne supremacy,8.0,2004.0
harrison ford,gary oldman,dean stockwell,color,r,wolfgang petersen,english,usa,air force one,6.0,1997.0
brad pitt,bernie mac,elliott gould,color,pg13,steven soderbergh,english,usa,oceans eleven,8.0,2001.0
milla jovovich,logan lerman,orlando bloom,color,pg13,paul ws anderson,english,germany,the three musketeers,6.0,2011.0
steve buscemi,adam sandler,jon lovitz,color,pg,genndy tartakovsky,english,usa,hotel transylvania,7.0,2012.0
jeff bennett,teala dunn,fred tatasciore,color,pg,kevin lima,english,usa,enchanted,7.0,2007.0
denzel washington,ryan reynolds,sam shepard,color,r,daniel espinosa,english,usa,safe house,7.0,2012.0
ioan gruffudd,eric idle,jim carter,color,g,kevin lima,english,usa,102 dalmatians,5.0,2000.0
matthew broderick,gabourey sidibe,judd hirsch,color,pg13,brett ratner,english,usa,tower heist,6.0,2011.0
kate winslet,rufus sewell,sarah parish,color,pg13,nancy meyers,english,usa,the holiday,7.0,2006.0
will smith,jake busey,lisa bonet,color,r,tony scott,english,usa,enemy of the state,7.0,1998.0
meryl streep,hunter parrish,zoe kazan,color,r,nancy meyers,english,usa,its complicated,7.0,2009.0
al pacino,matt damon,brad pitt,color,pg13,steven soderbergh,english,usa,oceans thirteen,7.0,2007.0
jon favreau,debra messing,jane krakowski,color,pg,roger allers,english,usa,open season,6.0,2006.0
kate winslet,theo james,mekhi phifer,color,pg13,neil burger,english,usa,divergent,7.0,2014.0
bob hoskins,gabriel thomson,clemens schick,color,r,jeanjacques annaud,english,usa,enemy at the gates,8.0,2001.0
dwayne johnson,rosario dawson,ewen bremner,color,pg13,peter berg,english,usa,the rundown,7.0,2003.0
f murray abraham,tom noonan,joan plowright,color,pg13,john mctiernan,english,usa,last action hero,6.0,1993.0
li gong,mako,karl yune,color,pg13,rob marshall,english,usa,memoirs of a geisha,7.0,2005.0
amber stevens west,zachery ty bryan,nikki griffin,color,pg13,justin lin,english,usa,the fast and the furious tokyo drift,6.0,2006.0
jim broadbent,imelda staunton,michael palin,color,pg,sarah smith,english,uk,arthur christmas,7.0,2011.0
anthony hopkins,brad pitt,jake weber,color,pg13,martin brest,english,usa,meet joe black,7.0,1998.0
raymond cruz,rick worthy,jsu garcia,color,r,andrew davis,english,usa,collateral damage,6.0,2002.0
roy scheider,ben vereen,max wright,color,r,bob fosse,english,usa,all that jazz,8.0,1979.0
julia roberts,nathan lane,danny woodburn,color,pg,tarsem singh,english,usa,mirror mirror,6.0,2012.0
anna kendrick,kieran culkin,ellen wong,color,pg13,edgar wright,english,usa,scott pilgrim vs the world,8.0,2010.0
glenn morshower,tchky karyo,rekha sharma,color,pg13,jon amiel,english,usa,the core,5.0,2003.0
larry miller,janet jackson,chris elliott,color,pg13,peter segal,english,usa,nutty professor ii the klumps,4.0,2000.0
sarah michelle gellar,linda cardellini,miguel a nez jr,color,pg,raja gosnell,english,usa,scoobydoo,5.0,2002.0
wood harris,jason cope,rakie ayola,color,r,pete travis,english,uk,dredd,7.0,2012.0
adam sandler,cameron monaghan,julie kavner,color,pg13,frank coraci,english,usa,click,6.0,2006.0
ted danson,hal holbrook,adrienne barbeau,color,r,george a romero,english,usa,creepshow,7.0,1982.0
jack mcbrayer,sean hayes,katt williams,color,pg,brad peyton,english,usa,cats dogs the revenge of kitty galore,4.0,2010.0
kristen stewart,hayden christensen,tom hulce,color,pg13,doug liman,english,usa,jumper,6.0,2008.0
seth macfarlane,ivn kamars,brian steele,color,pg13,guillermo del toro,english,usa,hellboy ii the golden army,7.0,2008.0
robert downey jr,jake gyllenhaal,anthony edwards,color,r,david fincher,english,usa,zodiac,8.0,2007.0
