<page title>,camerastorecomau,product name,the bad,the good,camera type,digital camera warehouse,digital camera warehouse nsw vic qld,dimensions,lcd size,optical image stabilization,sensor resolution,sensor resolution mpx,shop,vic,video resolution,weight,zoom,modtech computers,tech4ucomau,warehouse1,camerastorecomau sa,nsw,qld,dimensions mm,weight g,pc meal,nsw vic qld sa,graysonline,itspotcomau,mega buy,nsw vic qld,discount digital photographics,istorecomau,appliances now
Olympus TG-320 - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,"Slow performance, Blurred screen underwater, Noticeable image noise, Short battery life","Waterproof, Dustproof, Shockproof, Freezeproof, Very affordable",Compact,"NSW, VIC, QLD","Olympus Tough TG-320 Digital Camera - 14 Megapixel
The new Olympus Tough TG-320 is the ideal camera for active families and adventurous holiday makers. Waterproof, shock-proof and freeze-proof, this camera is aimed at outdoor lifestyle enthusiasts and everyday camera users looking for a lightweight yet rugged camera. Equipped with a wide-angle non-p...
Genuine Australian Warranties Fast Delivery!
$178.00
See Site
See offer",96 x 63 x 23 mm,"2,7 """,Yes,14 Mpx,,Product Name» Show All Product Descriptions Price Availability,,1280x720 px,155 g,"3,6 x",,,,,"Olympus Tough TG-320 Waterproof Compact Digital Camera (V104080UA000)
TG-320 It keeps up with the family Buying a new compact camera can be like getting a new pair of sunglasses - you spend a lot on something impressive only for it to break the first time you drop it. Which is why Olympus developed TOUGH. Shockproof***, waterproof** and freezeproof, the new OLYMPUS T
Sydney CBD Pick Up or Shipping Aus Wide
$219.00
Available
See offer",,,,,,,,,,,,
Fujifilm X-M1 / 16-50mm & 50-230mm Kit - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,,,,,,,,,,,Product Name» Show All Product Descriptions Price Availability,,,,,,,,"Fuji Fujifilm X-M1 + 16-50mm , 55-230mm and 27mm Triple Lens Kit Brown (4900)
The quality of a digital SLR in a compact body. The large APS-C 16M ""X-Trans CMOS"" & ""EXR PROCESSOR II"" realize impressive color reproduction and high resolution. Easy-to-use One Handed Operation & The 3.0-inch, 920K-dot Tilt LCD screen. Be versatile with interchangeable lenses. Wireless Image Trans...
$999.00
1 more offer
Available
See offer","FujiFilm X-M1 Twin Lens Kit With XC 16-50mm OIS & XC 50-230mm OIS - Silver (75446)
FujiFilm X-M1 Twin Lens Kit With XC 16-50mm OIS & XC 50-230mm OIS Kit Includes: FujiFilm X-M1 Compact System Camera FUJINON XC 16-50mm F3.5-5.6 OIS Lens FUJINON XC 50-230mm F4.5-6.7 OIS Lens
Sydney CBD Pick Up or Shipping Aus Wide
$1,025.00
1 more offer
Available
See offer",,,,,"Fuji X-M1 + 16-50mm + 50-230mm (75446)
The Fuji X-M1 Digital Compact System Camera twin lens kit is the perfect kit for travel photographers. The XM-1 itself is built with the quality of SLR camera but in a smaller, lighter and more compact system body. It features an APS-C sized 16 megapixel CMOS sensor, wireless image transfer with bui...
Helping You Capture Life
$899.95
See Site
See offer",,,,,,,
Fujifilm X-Pro 1 / 18mm Kit - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,,,Hybrid,"NSW, VIC, QLD","Fujifilm X-Pro1 Compact System Camera + Fujinon XF 18mm F/2R Lens
Introducing Fuji's first mirrorless interchangeable lens camera - the Fujifilm X-Pro1. Featuring all-new sensor technology, the X-Pro1 has onboard a 16 Megapixel APS-C-sized X-Trans CMOS sensor with randomized pixel array that eliminates the need for an anti-aliasing filter, promising exceptional re...
Genuine Australian Warranties Fast Delivery!
$1,652.00
See Site
See offer",140 x 82 x 43 mm,"3 """,No,"16,3 Mpx",,Product Name» Show All Product Descriptions Price Availability,,1920x1080 px,450 g,,,,,,,"Fujifilm X-Pro1 Body with Fuji 18mm f/2.0 XF R Lens Kit - Fuji Australia Warranty
The Fujifilm X-Pro1 Body is one of the latest in the extremely high quality and retro Fujifilm X series. Previous to this camera there has been the fantastic X100 and and slightly smaller X10, and now Fujifilm have released a mirrorless, interchangeable lens X series camera, the X-Pro1. With a high...
Better > Photography > Fast
$1,559.00
Available
See offer",,,,,"Fujifilm X-Pro1 Digital Camera with 18mm XF R Lens Kit
Fujifilm X-Pro1 Digital Camera with 18mm XF R Lens Kit For the discerning photographer who lets nothing stand in the way of quality, the Fujifilm X-Pro1 offers superb build quality, fast-aperture interchangeable lenses and the look and feel of a modern classic. Designed especially for the X-Pro1, th...
$1,551.76
See Site
See offer",,,,,,
Fujifilm FinePix S2950 - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,,,,"NSW, VIC, QLD","Fujifilm FinePix S2950 Digital Camera - 14 Megapixel
If you are after an easy-to-use compact digital camera with a huge zoom range then look no further than the Fujifilm FinePix S2950. Incorporating a versatile 18x optical zoom Fujinon lens with 28mm wide-angle you can capture everything from sweeping landscapes, tight interiors and large group shots...
Genuine Australian Warranties Fast Delivery!
$229.00
See Site
See offer",,,,,,Product Name» Show All Product Descriptions Price Availability,"Fujifilm FinePix S2950 14MP, 18x optical zoom, 3.0""LCD, SR Auto, HDMI Compatibl (5-75514)
Cameras::Still Camera
Supplies, Service & Support - Aust Warranty
$330.00
Available
See offer",,,,,,,,,,,,,,,,,,,,
Nikon Coolpix P7700 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,,,,,,,,,,,Product Name» Show All Product Descriptions Price Availability,,,,,,,,"Nikon Coolpix P7700 (3676)
The COOLPIX P7700 combines function with performance. With 12.2 megapixels, a 7.1x optical zoom, backside illumination CMOS sensor and a 3-inch, 921k-dot vari-angle LCD monitor, this COOLPIX will surely deliver excellent image quality even under low light conditions.
$489.00
Available
See offer","Nikon Coolpix P7700 Digital Camera (REFURB) (P7700T2)
REWORKED product, BIG discounts, Nikon WarrantyAccessories for this camera starting at $2.95
Genuine Australian Stock - No Imports!
$298.85
See Site
See offer Nikon COOLPIX P7700 Compact Digital Camera
The Nikon COOLPIX P7700 - Your portable creative companion. Take your creativity to new places with the COOLPIX P7700. The bright 7.1x NIKKOR zoom lens with fast f/2.0-4.0 aperture enables vivid images in low light and beautiful background blur when you want to single out subjects. The large backlit
Sydney CBD Pick Up or Shipping Aus Wide
$559.00
Available
See offer",,,,,,,,,,,,
Pentax K-50 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,,,,"NSW, VIC, QLD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony Cyber-shot DSC-HX200V - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,"Image quality not 100% great, Not ideal for large prints","Super zoom lens, Very high resolution sensor",Bridge,"NSW, VIC, QLD","Sony Cyber-shot DSC-HX200V Digital Camera - 18.2 Megapixel +BONUS bundled genuine Sony Lithium Ion Battery!
Affording the capabilities to cover a vast range of shooting situations, the Sony Cyber shot DSC HX200V offers a Carl Zeiss lens with a huge 30x optical zoom focal range. So whether you're photographing sweeping landscapes or grabbing incredible close-ups the HX200V has got what it takes to capture...
Genuine Australian Warranties Fast Delivery!
$498.00
See Site
See offer",122 x 87 x 93 mm,"3 """,Yes,"18,2 Mpx",,Product Name» Show All Product Descriptions Price Availability,,1920x1080 px,583 g,30 x,,,,"Sony Cyber-Shot DSC-HX200V Black with Bonus Battery (4040)
BONUS BATTERY INCLUDED Cyber-shot HX200V features a new &ldquo;Exmor R""&rdquo; CMOS sensor with 18.2 megapixels, allowing you to shoot clear images even in dimly lit settings. And with its Extra High Sensitivity technology and improved high-speed Auto Focus, you can capture all your memories easily...
$499.00
Available
See offer","Sony Cyber-shot DSC-HX200V Super Zoom Compact Digital Camera (DSCHX200V)
Advanced Cyber-shot with ultra zoom, Full HD, GPS and manual controls 18.2 megapixels Exmor R, 30x optical zoom, Full HD 50p, 3D, 7.5cm LCD, Intelligent Sweep Panorama, GPS Log Recording Get closer with ultra-powerful zoom Blur-free Full HD movies, even when walking Easy DLSR-style manual controls
Sydney CBD Pick Up or Shipping Aus Wide
$490.00
Available
See offer",,,,,,,,,,,,
Sony Cyber-shot DSC-W810 - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,,,,"NSW, VIC, QLD",,,,,,,,,,,,VIC,"NSW, VIC, QLD, SA, WA",,,,,,,,,,"VIC, QLD, SA, WA","NSW, VIC, QLD, SA, WA",,,,
Olympus Tough TG-1 iHS - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,Annoying sound when video recording,"Waterproof, Shockproof, Reliable, Easy to use",Compact,"NSW, VIC, QLD","Olympus Tough TG-1 iHS Digital Camera - 12 Megapixel
The new Olympus Tough TG-1 is a rugged little digital camera that boasts the brightest zoom lens of any tough camera which at f/2.0 delivers stunning photos in low-light conditions. Couple that with a 12 megapixel BSI-CMOS sensor and you have really high-quality images from a camera you can take jus...
Genuine Australian Warranties Fast Delivery!
$394.00
See Site
See offer",100 x 65 x 26 mm,"3 """,Yes,12 Mpx,,Product Name» Show All Product Descriptions Price Availability,,1920x1080 px,221 g,,,,,,"Olympus Tough TG-1 Waterproof Compact Digital Camera
Top of the range Tough with the brightest lens and GPS The TG-1 has the brightest zoom lens of any tough-style camera with an F2.0 aperture for outstanding pictures in low-light conditions. Using new A-GPS technology, satellite acquisition speed is significantly improved&n
Sydney CBD Pick Up or Shipping Aus Wide
$429.00
Available
See offer",,,,,,,,,,,,
Nikon D800 - Price Comparison - Buy Cheap in Australia,SA,» Show All Product Descriptions,Takes longer to shoot continuous photos; Slower response time when using auto focus,Class-leading pixel count & great ISO performance; Offers good customization options; Dual storage,SLR,,,146 x 123 x 82 mm,"3,2 """,No,"36,3 Mpx",,,,1920x1080 px,900 g,,,,,,,,,,,,,,,,,,
Sony Cybershot DSC-W570 - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,,,,"NSW, VIC, QLD","Sony Cyber-shot DSC-W570 Digital Camera - Pink - 16.1 Megapixel
Blending rich features and value all wrapped up in a slim design, the Sony Cyber-shotÂ® W570 digital camera features a powerful 16.1-megapixel CCD image sensor to capture gorgeous images with superb contrast and clarity down to the finest detail. Compose and shoot photos and 720p HD movies on the 2.7...
Genuine Australian Warranties Fast Delivery!
$160.00
See Site
See offer",,,,,,Product Name» Show All Product Descriptions Price Availability,,,,,,,,,,,,,,,,,,,,,
Fujifilm FinePix XP30 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,"Average quality of photos and videos, Poor battery life","Built-in GPS, Trendy look, Durable",Compact,"NSW, VIC, QLD","Fujifilm FinePix XP30 Waterproof/Shockproof Digital Camera - Black - 14 Megapixel
Perfect for people who lead an active lifestyle, love the outdoors, and want to capture all of the action, the Fujifilm FinePix XP30 is a tough digital camera that is 5m waterproof, 1.5m shockproof, -10 degrees Celsius freezeproof, and dustproof. Its tough-yet-stylish, ergonomic body features solid...
Genuine Australian Warranties Fast Delivery!
$219.00
See Site
See offer",99 x 68 x 24 mm,"2,7 """,Yes,"14,2 Mpx","14,2",Product Name» Show All Product Descriptions Price Availability,"Fujifilm FinePix XP30 BLACK 14.0MP, 5x optical zoom, 2.7"" LCD, Waterproof to 5m (5-75527)
Cameras::Still Camera
Supplies, Service & Support - Aust Warranty
$326.00
4 more offers
See Site
See offer",1280x720 px,165 g,5 x,,,,"Fuji Finepix F800 EXR (3223)
20x raw-capable compact superzoom with built-in Wi-Fi. 16MP CMOS sensor -Dynamic range/Noise-optimizing EXR technology. Stabilized lens with 25-500mm equivalent range at apertures of F3.5-5.3. 1080p movies P,A,S and M shooting modes.
$249.00
Available
See offer",,,,,,,,,,,,,
Nikon Coolpix S6500 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,,,,,,,,,,,Product Name» Show All Product Descriptions Price Availability,,,,,,,,"Nikon Coolpix S6500 Red (4600)
The COOLPIX S6500 gives you the versatility to capture stunning scenery as well as dramatic close-ups, thanks to its brilliant 12x optical zoom and 16.0 megapixel performance. Fine-tune your shots with the new Glamour Retouch function or record videos in breathtaking Full HD. Then, instantly share y...
$199.00
Available
See offer","Nikon Coolpix S6500 Digital Camera - Black (REFURB) (S6500BKT2)
REWORKED product, BIG discounts, Nikon WarrantyAccessories for this camera starting at $2.95
Genuine Australian Stock - No Imports!
$118.85
4 more offers
See Site
See offer",,,,,,,,,,,,
Nikon Coolpix S6400 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,,,,,,,,,,,Product Name» Show All Product Descriptions Price Availability,,,,,,,,"Nikon Coolpix S6400 Silver (3686)
The COOLPIX S6400 is ultra slim, yet ultra powerful. Measuring only 26.7mm, it offers 16 megapixels and a 12x optical zoom with a 25-300mm focal length for you to capture more. Its intelligent AF control system includes advanced face-detection and subject-prediction to photograph your subjects in pe...
$189.00
Available
See offer","Nikon Coolpix S6400 Compact Digital Camera - Purple
Digital Cameras::Nikon
Direct to Your Door. Australian Warranties
$251.00
2 more offers
See Site
See offer",,,,,,,,,,,,
Nikon Coolpix L29 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,,,,"NSW, VIC, QLD","Nikon Coolpix L29
The Nikon Coolpix L29 is ideal for capturing those special moments that are all too quickly forgotten amidst the busyness of daily life. Its compact, lightweight design encourages you to take it everywhere, ensuring you are equipped to capture those unforgettable, unexpected moments. Additionally, t...
Genuine Australian Warranties Fast Delivery!
$74.00
See Site
See offer",,,,,,Product Name» Show All Product Descriptions Price Availability,,,,,,,,"Nikon Coolpix L29 Silver (4985)
Taking high quality photos has never been so straightforward and easy! Packed with intelligent features, you are able to shoot with confidence as the 16.1-megapixel L29 does the rest. With a 5x optical zoom and its rapid autofocus, the end result is an outstanding selection of photos. Both photos in...
$74.00
2 more offers
Available
See offer","Nikon Coolpix L29 Digital Camera - 2.7' (6.7cm) Tft Lcd Monitor 16.1mp 5x Optical Zoom Nikkor Lens Ccd Image (L29S)
Nikon Coolpix L29 Digital Camera - Silver. The ultra compact Nikon Coolpix L29 Digital Camera delivers an impressive variety of shooting features contained in a lightweight, silvery sleek design. It comes equipped with 16.1 effective megapixels, a finely crafted NIKKOR lens with wide angle coverage...
Online Bargain Megastore
$79.95
$89.00
-10%
Available
See offer Nikon Coolpix L29 Compact Digital Camera - Black
Digital Cameras::Nikon
Direct to Your Door. Australian Warranties
$82.00
2 more offers
See Site
See offer Nikon Coolpix L29 Digital Camera - Black (L29BK)
NOW with 2 YEARS Australian Nikon WarrantyAccessories for this camera starting at $2.95
Genuine Australian Stock - No Imports!
$72.85
1 more offer
See Site
See offer",,,,,,"Nikon Coolpix L29 Digital Camera - Black (ELL29B)
Nikon Coolpix L29 Digital Camera - Black (New) The ultra compact Nikon Coolpix L29 Digital Camera delivers an impressive variety of shooting features contained in a lightweight, sleek design. It comes equipped with 16.1 effective megapixels, a finely crafted NIKKOR lens with wide angle coverage and...
$79.95
1 more offer
See Site
See offer",,,,,,
Sony Cyber-shot DSC-WX50 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,"Battery life depends upon the temperature, Cheaper than DSLR","Functional, Versatile features, High quality, Compact, Lightweight",Compact,"NSW, VIC, QLD","Sony Cyber-shot DSC-WX50 Digital Camera - 16.2 Megapixel - Silver
The Sony Cyber-shot DSC-WX50 is a compact digital camera with a stylish rounded design that houses a high-resolution Exmor CMOS sensor for outstandingly clear pictures with low-noise, even when the lighting gets low. Get creative with nine Picture Effect modes that turn ordinary photos into somethin...
Genuine Australian Warranties Fast Delivery!
$215.00
See Site
See offer",92 x 52 x 19 mm,"2,7 """,Yes,"16,2 Mpx",,Product Name» Show All Product Descriptions Price Availability,,1920x1080 px,117 g,5 x,,,,"Sony Cyber-Shot DSC-WX50 Silver (4052)
Stylishly designed and compact, Cyber-shot WX50 lets you shoot just like a professional with its 9 Picture Effects modes, which ensure dramatic images. Its Extra High Sensitivity technology and âExmor Râ¢â CMOS sensor also ensure sharp, noise-free pictures and movies.
$214.00
Available
See offer","Sony Cyber-shot DSC-WX50 Compact Digital Camera Black (DSCWX50B)
Advanced Cyber-shot with powerful features, Full HD movie and 3D shooting 16.2 megapixels Exmor R, 5x zoom, AVCHD Full HD, 3D, 6.7 cm LCD, Superior AUTO Very high quality low-light images Shoot amazing 3D images and panoramas Blur-free Full HD movies, even when walking Pro quality in your pocketSt
Sydney CBD Pick Up or Shipping Aus Wide
$269.00
1 more offer
Available
See offer",,,,,,,,,,,,
