<page title>,image stabilizer,light sensitivity,max image resolution,optical sensor,resolution,shutter speed,still image format,3d support,digital zoom,focus adjustment,lens aperture,max focal length,min focal length,optical zoom,colour,internal memory,storage media
Nikon Coolpix S500  New Zealand Prices - PriceMe,With Image Stabilizer,"50 - 2,000 ISO",3072x3204,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",4-1/1500s,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/2.8-4.7,17.1mm,5.7mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Canon PowerShot N100  New Zealand Prices - PriceMe,,"80 - 6,400 ISO",4000x3000,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/1.8-5.7,120mm,24mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Sony Alpha NEX-7 + 18-55/3.5-5.6 OSS  New Zealand Prices - PriceMe,Lens based only,"100 - 16,000 ISO",6000x4000,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Canon EOS 70D + 18-200/3.5-5.6  New Zealand Prices - PriceMe,,"100 - 12,800 ISO",5472x3648,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
Panasonic Lumix DMC-FT4  New Zealand Prices - PriceMe,Optical,100 ISO,4000x3000,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.3-5.9,128mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Sony Alpha SLT-A65 + 18-55/3.5-5.6  New Zealand Prices - PriceMe,,"100 - 16,000 ISO",6000x4000,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Nikon Coolpix L120  New Zealand Prices - PriceMe,With Image Stabilizer,ISO 6400,4320x3240,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",4-1/4000s,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.1-5.8,94.5mm,4.5mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Fujifilm FinePix XF1  New Zealand Prices - PriceMe,Optical,"100 - 3,200 ISO",4000x3000,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/1.8-4.9,100mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Olympus OM-D E-M1  New Zealand Prices - PriceMe,,,4608x3456,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",60-1/8000s,"JPEG, RAW",,,,,,,,,,
Canon EOS 550D + 18-55/3.5-5.6 IS + 55-250/4.0-5.6 IS  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Nikon D5300 + 18-55/3.5-5.6 G VR + 55-200/4-5.6 G   New Zealand Prices - PriceMe,Lens based only,"100 - 12,800 ISO",6000x4000,CMOS,,30-1/4000s,"JPEG, NEF (RAW), RAW",,,,,,,,,,
Fujifilm FinePix HS25 EXR  New Zealand Prices - PriceMe,,100 ISO,,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2.8-5.6,720mm,24mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Pentax K-x + 18-55/3.5-5.6  New Zealand Prices - PriceMe,,"200 - 6,400 ISO",4288x2848,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/6000s,"JPEG, RAW",,,,,,,,,,
Canon PowerShot D10  New Zealand Prices - PriceMe,With Image Stabilizer,"ISO 100, ISO 1600, ISO 200, ISO 400, ISO 80, ISO 800, Auto ISO",4000x3000,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/2.8-4.9,105mm,35mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Canon EOS 60D + 18-135/3.5-5.6 IS  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
Sony Alpha SLT-A77 + 16-50/2.8  New Zealand Prices - PriceMe,,"100 - 16,000 ISO",6000x4000,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
Sony Alpha NEX-7  New Zealand Prices - PriceMe,Lens based only,"100 - 16,000 ISO",6000x4000,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,,,,,,,,,,,
Canon PowerShot G1 X  New Zealand Prices - PriceMe,Optical,"100 - 12,800 ISO",4352x3264,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,
Nikon D5300 + 18-55/3.5-5.6 G VR + 55-300/4.5-5.6 G ED VR  New Zealand Prices - PriceMe,Lens based only,"100 - 12,800 ISO",6000x4000,CMOS,,30-1/4000s,"JPEG, NEF (RAW), RAW",,,,,,,,,,
Panasonic Lumix DMC-G5 + 14-42/3.5-5.6 OIS  New Zealand Prices - PriceMe,,"160 - 12,800 ISO",4608x3456,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",60-1/4000s,"JPEG, RAW",,,,,,,,,,
