3d,<page title>,af illuminator,aperture,battery,body type,brand,category,connector type,continuous shooting speed,depth,digital video format,digital zoom,display form factor,ean,exposure compensation,exposure modes,flash modes,flash range,flash type,focal length,gps,height,image format,image processor,image resolutions,image stabilizer,included accessories,installed memory,light sensitivity iso,max shutter speed,memory type,metering modes,microphone,min shutter speed,optical zoom,product name,product rating,recording functions,red eye reduction,resolution,screen resolution,screen size,screen type,self timer delay,sensor size,sensor type,special effects,touchscreen,user reviews,video resolution,weight,white balance,white balance presets,width,ae bracketing,autofocus,camera type,flash sync speed,focal length multiplier,image ratio,lens mount,lowest recommended price,manual focus,number of focus points,orientation sensor,remote control,sensor format,upc,viewfinder coverage,viewfinder magnification,viewfinder type,focal length equivalent to 35mm,live view,environmentally sealed,wireless,lowest price,isbn,isbn13
,"Nikon D600 body digital camera prices, Shopping comparison for Nikon D 600 body, Buy online in India - ShopMania",Yes,F/1.0 / F/2.8 / F/4.0 / F/3.5-4.5 / F/3.5-5.6,Li-Ion,DSLR,Nikon,Digital Cameras,USB / mini HDMI,5.5,82 mm,MOV / QuickTime / MP4 / MPEG-4 / H.264,,Fixed,"0018208924936, 0846431074681, 0846431075398, 0639767671019, 0689466597615, 0018208924943, 0639767663526, 8033737551639, 0639767672351, 0846431079389, 0845251070842, 0846431074520","-/+ 5 EV range in 1/3, 1/2, 2/3 or 1 EV steps",Aperture Priority / Movie / Program / Shutter Priority,Auto / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,12 m,,14 - 24 mm / 24 - 60 mm / 24 - 70 mm / 24 - 85 mm / 28 - 75 mm / 24 - 120 mm / 28 - 300 mm / 70 - 200 mm,Yes,113 mm,DCF / DPOF / JPEG / NEF / RAW,Expeed 3,2944x1968 / 3008x1688 / 3008x2008 / 3936x2624 / 4512x3008 / 6016x4016,,Body cap / Carrying strap / Charger / Display cover / USB cable,,25 / 50 / 100 / 4000 / 6400 / 25600,1/4000,SD / SDHC / SDXC,Average / Center-weighted / Multi / Spot,Yes,30s (more than 65%),,Nikon D600 body,4 out of 5,"Face Detection
/ HDR",Yes,24.3 MP (more than 98%),921000 (more than 84%),"3.2"" (more than 97%)",LCD,2s / 5s / 10s / 12s,35.9x24.0mm,CMOS,,,Write a review,1280x720,850 g,Automatic / Custom / Kelvin / Manual / Presets,"Artificial
/ Cloudy / Flash / Fluorescent / Incandescent / Shade / Sunlight / Sunny
/ Tungsten",141 mm,,"Center
/ Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Phase Detect
/ Selective Single-point
/ Single
/ Tracking",Body,1/200,1x,3:2,Nikon F,"Rs.102,599 - Shopclues.com Show all prices »",Yes,39.0,Yes,Yes,Full Frame,"018208924936, 846431074681, 846431075398, 639767671019, 689466597615, 018208924943, 639767663526, 639767672351, 846431079389, 845251070842, 846431074520",100%,0.7x,,,Yes,,,,,
,"Nikon D7100 kit 18-105mm digital camera prices, Shopping comparison for Nikon D 7100 kit 18 105mm, Buy online in India - ShopMania",,F/1.4 / F/3.5-5.6,Li-Ion,DSLR,Nikon,Digital Cameras,,6.0,,,,,"0845251050912, 0018208878765, 0689466662214, 8033737551912, 0018208934744, 0689466662368, 0689466662344, 0018208015153, 0018208940844, 0846431090636, 0846431091381, 0639767666336, 0845251050899, 0689466662177, 0639767670180, 0689466662375, 0689466722093, 0639767670197, 0689466662184, 0689466662207, 0689466662382, 0689466722062, 0639767666329, 0689466662399, 0689466662351",,Movie / 3D,,,,,Yes,,JPEG / NEF / RAW,Expeed 3,6000x4000,,,,Auto / 20 / 25 / 50 / 100 / 250 / 1600 / 2000 / 3200 / 4000 / 4800 / 6400 / 8000 / 25600,,SD / SDHC / SDXC,,,1s,,Nikon D7100 kit 18-105mm,0 out of 5,,,24 MP (more than 97%),1229000 (more than 99%),"3.2"" (more than 97%)",,,23.6x15.6mm,CMOS,,,Write a review,1920x1080,765 g,Automatic / Custom / Kelvin / Manual / Presets,,,,,Kit,,1.5x,16:9,Nikon F,"Rs.85,455 - Shopclues.com Show all prices »",Yes,51.0,,,APS-C,"845251050912, 018208878765, 689466662214, 018208934744, 689466662368, 689466662344, 018208015153, 018208940844, 846431090636, 846431091381, 639767666336, 845251050899, 689466662177, 639767670180, 689466662375, 689466722093, 639767670197, 689466662184, 689466662207, 689466662382, 689466722062, 639767666329, 689466662399, 689466662351",,0.94x,,,,,,,,
,"Nikon S800c digital camera prices, Shopping comparison for Nikon S 800c, Buy online in India - ShopMania",,F/3.2-5.8,Li-Ion,Compact,Nikon,Digital Cameras,USB / mini HDMI,8.1,27 mm,MOV / MPEG-4 / H.264,4x,Fixed,"0018208929788, 0018208929849, 0018208263585","-/+ 2 EV range, in 1/3 EV steps",Beach / Museum / Night Portrait / Panorama / Pet / Portrait / Program / Scene / Snow / e-Portrait,,5.60 m,,4.5 - 45 mm,Yes,60 mm,DCF / DPOF / JPEG,Expeed C2,640x480 / 1600x1200 / 1920x1080 / 2272x1704 / 3264x2448 / 4608x2592 / 4608x3456,Optical,Carrying strap / Power adapter / USB cable,1740 MB,Auto / 25 / 250 / 3200,1/4000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,4s,10x (more than 83%),Nikon S800c,3 out of 5,"Face Detection
/ HDR
/ Panorama",Yes,16 MP (more than 78%),819000 (more than 80%),"3.5"" (more than 98%)",,2s / 10s,1/2.3,BSI CMOS,,Yes,Write a review,320x240 / 1280x720,184 g,,"Cloudy / Daylight / Sunny / Flash / Fluorescent / Incandescent / Sunlight / Sunny
/ Tungsten",111 mm,-/+ 2 EV (in 1/3 EV steps),"Center
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Tracking",,,,,,"Rs.14,300 - Shopclues.com Show all prices »",Yes,,,,,"018208929788, 018208929849, 018208263585",,,,25 - 250 mm,Yes,,Yes,,,
Yes,"Fujifilm FinePix SL1000 digital camera prices, Shopping comparison for Fujifilm Fine Pix SL 1000, Buy online in India - ShopMania",,F/2.9-6.5,Li-Ion,Compact,Fujifilm,Digital Cameras,USB / mini HDMI,10.0,123 mm,MJPEG / MOV / H.264,2x,Folding,"4547410233179, 0845251051025, 0074101020205, 0845251051032",,Aperture Priority / Macro / Night / Shutter Priority,Auto / Manual / On / Red Eye Reduction / Slow Speed Sync,8 m,,4.3 - 215 mm,,89 mm,DCF / DPOF / JPEG / MPO / RAW,,1920x1080 / 2304x1728 / 3264x1840 / 3264x2448 / 3456x3456 / 4608x2592 / 4608x3072 / 4608x3456,Optical,Carrying strap / Charger / Lens cap / USB cable,39 MB,Auto / 60 / 64 / 100 / 200 / 300 / 400 / 800 / 1000 / 1200 / 1600 / 3200 / 12800,,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,,50x (more than 99%),Fujifilm FinePix SL1000,0 out of 5,"Blink Detection
/ Face Detection
/ HDR
/ Panorama
/ Sweep Panorama",Yes,16 MP (more than 78%),920000 (more than 80%),"3"" (more than 62%)",LCD,2s / 10s,1/2.3,BSI CMOS,,,Write a review,320x120 / 320x240 / 640x480 / 1280x720 / 1920x1080,659 g,,Cloudy / Daylight / Sunny / Fine / Fluorescent,123 mm,,,,,,,,"Rs.19,999 - Homeshop18.com Show all prices »",,,,,,"845251051025, 074101020205, 845251051032",,,Electronic,24 - 1200 mm,,,,,,
,"Sony SLT-A65 kit 18-55mm digital camera prices, Shopping comparison for Sony SLT A 65 kit 18 55mm, Buy online in India - ShopMania",Yes,F/3.5-5.6,,DSLR,Sony,Digital Cameras,USB / mini HDMI,10.0,81 mm,AVCHD / MP4 / MPEG-4 / H.264,,Rotating,"0610696373441, 0639767670869, 0639767678735, 0639767679077, 0639767680684, 0639767680660, 0639767670845, 0639767670906, 0639767670876, 0689466655520, 0639767680677, 0639767678759, 4905524950670, 0018951651783, 0027242833104, 0689466437157, 0639767670890, 0845251038743, 0639767679060, 0639767670883, 0639767679084, 0639767680653, 0639767678766, 0610696373168, 0610696373458, 0610696373151","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Intelligent Auto / Shutter Priority,Auto / Fill-in / Off / On / Red Eye Reduction / Slow Speed Sync,10 m,,18 - 55 mm,Yes,98 mm,DCF / DPOF / JPEG / MPF / MPO / RAW,Bionz,3008x1688 / 3008x2000 / 4240x2400 / 4240x2832 / 6000x3376 / 6000x4000,,Body cap / Carrying strap / Charger / Power cable / Tungsten / USB cable,,Auto / 100 / 200 / 400 / 800 / 1600 / 3200 / 12800,1/4000,Memory Stick PRO Duo / Memory Stick PRO-HG Duo / SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,30s (more than 65%),,Sony SLT-A65 kit 18-55mm,0 out of 5,"Face Detection
/ HDR
/ Panorama
/ Smile Detection
/ Sweep Panorama",Yes,24.3 MP (more than 98%),921000 (more than 84%),"3"" (more than 62%)",LCD,2s / 10s,23.5x15.6mm,CMOS,,,Write a review,1440x1080,622 g,,"Artificial
/ Cloudy / Daylight / Sunny / Flash / Fluorescent / Shade / Tungsten",132 mm,,"Continuous
/ Face Detection
/ Live View
/ Multi-area
/ Phase Detect
/ Selective Single-point
/ Single",Kit,1/160,1.5x,3:2 / 16:9,Minolta A / Sony A,,Yes,15.0,Yes,,APS-C,"610696373441, 639767670869, 639767678735, 639767679077, 639767680684, 639767680660, 639767670845, 639767670906, 639767670876, 689466655520, 639767680677, 639767678759, 018951651783, 027242833104, 689466437157, 639767670890, 845251038743, 639767679060, 639767670883, 639767679084, 639767680653, 639767678766, 610696373168, 610696373458, 610696373151",100%,1.09x,Electronic,,,,,"Rs.48,390 Show all prices »",,
,"Canon Digital IXUS 130 IS digital camera prices, Shopping comparison for Canon IXUS 130 IS, Buy online in India - ShopMania",Yes,F/2.8-5.9,Li-Ion,Compact,Canon,Digital Cameras Digital Cameras,Composite / USB / mini HDMI,0.8,18 mm,QuickTime / H.264,16x,Fixed,"8714574547527, 4960999658988","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Custom / Intelligent Auto / Manual / Program / Scene / Shutter Priority,Auto / Fill-in / Off / On / Red Eye Reduction / Slow Speed Sync,,Built-in,5 - 20 mm,,56 mm,JPEG,Digic 4,640x480 / 1600x1200 / 1920x1080 / 2592x1944 / 3456x2304 / 3456x2592 / 4000x2248 / 4000x3000 / 4320x2432 / 4320x3240,Optical,,,Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400,1/1500,MultiMediaCard / MultiMediaCard Plus / SD / SDHC / SDXC,,,15s (more than 51%),4x (more than 51%),Canon Digital IXUS 130 IS Canon Digital IXUS 130 IS,4 out of 5 4 out of 5,,Yes,14 MP (more than 67%),230000,"2.7""",,2s / 10s,1/2.3,CCD,"Aquarium
/ Black & White / Color Accent / Color Swap / Contrast / Darker Skin Tone / Fisheye / Foliage
/ Lighter Skin Tone / Neutral / Positive Film / Sepia / Soft / Vivid",,Write a review Write a review,320x240 / 640x480 / 1280x720,133 g,Automatic / Custom / Presets,Cloudy / Daylight / Sunny / Fine / Flash / Fluorescent / Incandescent / Indoor / Tungsten / Underwater,92 mm,,,,,,,,,Yes,,Yes,Yes,,,,,Optical,28 - 112 mm,,,,,,
Yes,"Sony DSC-WX7 digital camera prices, Shopping comparison for Sony DSC WX 7, Buy online in India - ShopMania",Yes,F/2.6-6.3,Li-Ion,Compact,Sony,Digital Cameras,Composite / HDMI / USB,10.0,19 mm,AVCHD / AVI / MPEG / H.264,5x,Fixed,"4905524765168, 4905524765236, 4905524765427, 4905524765359","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Custom / Intelligent Auto / Manual / Program / Scene / Shutter Priority,Auto / Fill-in / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,7.50 m,Built-in,4.5 - 22.5 mm,,52 mm,DCF / DPOF / JPEG,Bionz,640x480 / 1920x1080 / 2048x1536 / 2592x1944 / 3072x2304 / 3264x2448 / 3456x2304 / 3456x2592 / 3648x2056 / 3648x2432 / 3648x2736 / 4000x2248 / 4000x3000 / 4320x2432 / 4320x3240 / 4608x2592 / 4608x3456,Optical,Carrying strap / Charger / Power adapter / USB cable,45 MB,Auto / 100 / 125 / 200 / 400 / 800 / 1600 / 3200,1/1600,Memory Stick Duo / Memory Stick PRO Duo / Memory Stick PRO Duo High Speed / Memory Stick PRO-HG Duo / SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,2s,5x (more than 61%),Sony DSC-WX7,0 out of 5,"Blink Detection
/ Face Detection
/ HDR
/ Panorama
/ Smile Detection
/ Sweep Panorama",Yes,16.2 MP (more than 88%),921000 (more than 84%),"2.8"" (more than 61%)",LCD,2s / 10s,1/2.3,Exmor R CMOS,Contrast / Saturation / Soft,Yes,Write a review,320x240 / 1280x720 / 1440x1080 / 1920x1080,120 g,Automatic / Custom / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Fine / Flash / Fluorescent / Incandescent / Overcast / Underwater",92 2,,,,,,,,,,,,,,,,,,25 - 125 mm,,,,"Rs.10,944 Show all prices »",,
,"Sony DSC-W610 digital camera prices, Shopping comparison for Sony DSC W 610, Buy online in India - ShopMania",Yes,F/2.8-5.9,Li-Ion,Compact,Sony,Digital Cameras,Composite / HDMI / USB,2.8,19 mm,AVCHD / AVI / MJPEG,4x,Fixed,"4905524849394, 4905524849400, 4905524849363, 4905524849387, 4905524849370, 0610696367907, 0610696367945, 0610696365484, 0610696365477, 0610696365422, 0610696367938, 0610696365491, 0610696365439, 0610696365460, 4905524849424, 4905524849455, 4905524849448, 0876544936019, 0876544935999, 0876544935968, 0876544935975, 0876544935982, 0876544935951, 4905524849431","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Beach / High Sensitivity / Intelligent Auto / Program / Scene / Shutter Priority / Snow / Soft Skin,Auto / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,3.50 m,Built-in,4.7 - 18.8 mm,Yes,52 mm,DCF / DPOF / JPEG,Bionz,640x480 / 1920x1080 / 2048x1536 / 2592x1944 / 3072x2304 / 3264x2448 / 3456x2304 / 3456x2592 / 3648x2432 / 3648x2736 / 4000x2248 / 4000x3000 / 4320x2432 / 4320x3240 / 4608x2592 / 4608x3456,Optical,Carrying strap / Charger / Hand strap / USB cable,21 MB,Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200,1/1600,Memory Stick / Memory Stick Duo / Memory Stick PRO Duo / Memory Stick PRO-HG Duo / Memory Stick Pro / SD / SDHC / SDXC / micro SDHC,Center-weighted / Multi / Spot,Yes,1s,4x (more than 51%),Sony DSC-W610,0 out of 5,"Blink Detection
/ Face Detection
/ Panorama
/ Smile Detection
/ Sweep Panorama",Yes,14.1 MP (more than 73%),230400 (more than 63%),"2.7""",LCD,2s / 10s,1/2.3,CCD,Saturation,,Write a review,320x240 / 640x480 / 1280x720 / 1440x1080,113 g,Automatic / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Flash / Fluorescent / Incandescent / Indoor / Sunlight / Underwater",93 mm,,"Center
/ Contrast Detect
/ Multi-area
/ Single",,,,4:3 / 16:9,,,,,,,,"610696367907, 610696367945, 610696365484, 610696365477, 610696365422, 610696367938, 610696365491, 610696365439, 610696365460, 876544936019, 876544935999, 876544935968, 876544935975, 876544935982, 876544935951",,,,26 - 105 mm,Yes,,,"Rs.6,179 Show all prices »",,
,"Nikon D5300 kit 18-140mm digital camera prices, Shopping comparison for Nikon D 5300 kit 18 140mm, Buy online in India - ShopMania",,F/3.5-5.6,Li-Ion,DSLR,Nikon,Digital Cameras,Composite / HDMI / USB,,,MOV / MPEG-4 / H.264,,Rotating,"0018208997206, 0018208133031, 8033737553169, 0018208940875","-/+ 5 EV range, in 1/3 EV steps",Movie / 3D,Auto / Off / On / Red Eye Reduction / Slow Speed Sync,12 m,,,Yes,,DPOF / JPEG / NEF / RAW,Expeed 4,2992x2000 / 4496x3000 / 6000x4000,,AV cable / Body cap / Carrying strap / Charger / USB cable,,Auto / 25 / 100 / 140 / 800 / 12800,1/4000,,Center-weighted / Multi / Spot,Yes,30s (more than 65%),,Nikon D5300 kit 18-140mm,0 out of 5,,,24 MP (more than 97%),1037000 (more than 93%),"3.2"" (more than 97%)",LCD,2s / 5s / 10s / 20s,23.5x15.6mm,CMOS,,,Write a review,640x424,480 g,,Cloudy / Flash / Fluorescent,,"-/+ 2 EV (3 frames in 1/3, 1/2 EV steps)","Center
/ Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Phase Detect
/ Selective Single-point
/ Single
/ Tracking",Kit,,1.5x,3:2,Nikon F,"Rs.57,779 - Shopclues.com Show all prices »",,39.0,Yes,,,"018208997206, 018208133031, 018208940875",95%,0.82x,,,,,Yes,,,
,"Panasonic DMC-SZ1 digital camera prices, Shopping comparison for Panasonic DMC SZ 1, Buy online in India - ShopMania",Yes,F/3.1-5.9,Li-Ion,Compact,Panasonic,Digital Cameras,Composite / USB,10.0,,AVCHD / MP4 / MPEG-4,4x,Fixed,"5025232662623, 5025232669141, 5025232662524, 5025232662517, 0885170070899, 0885170070875, 0885170070905, 5025232662647, 0885170070882, 0876544946940, 0876544946926","-/+ 2 EV range, in 1/3 EV steps",Intelligent Auto / Program / Scene,Auto / Fill-in / Off / On / Red Eye Reduction / Slow Speed Sync,5.60 m,Built-in,4.5 - 45 mm,,,DCF / DPOF / JPEG,,640x480 / 1920x1080 / 2048x1536 / 2560x1920 / 3456x3456 / 3648x2736 / 4608x2592 / 4608x3072 / 4608x3456,Optical,AV cable / Carrying strap / Hand strap / Power adapter / USB cable,70 MB,Auto / 25 / 100 / 200 / 250 / 400 / 800 / 1600 / 6400,1/1600,SD / SDHC / SDXC,Multi,Yes,8s,10x (more than 83%),Panasonic DMC-SZ1,4 out of 5,"Face Detection
/ Panorama
/ Sweep Panorama",Yes,16.1 MP (more than 84%),230000,"3"" (more than 62%)",LCD,2s / 10s,1/2.33,CCD,Black & White / Retro / Saturation / Sepia / Vivid,,Write a review,1280x720,131 g,Automatic,Cloudy / Daylight / Sunny / Flash / Fluorescent / Incandescent / Shade / Tungsten,,,"Center
/ Continuous
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Single
/ Tracking",,,,1:1 / 3:2 / 4:3 / 16:9,,,,23.0,Yes,,,"885170070899, 885170070875, 885170070905, 885170070882, 876544946940, 876544946926",100%,,,25 - 250 mm,Yes,,,"Rs.10,632 Show all prices »",,
,"Canon EOS 1100D body digital camera prices, Shopping comparison for Canon EOS 1100 D body, Buy online in India - ShopMania",Yes,F/1.8 / F/2.8 / F/2.8-4.0 / F/2.8-4.5 / F/3.5-5.6 / F/3.5-6.3 / F/3.8-5.6 / F/4.0-5.6,Li-Ion,DSLR,Canon,Digital Cameras,Composite / HDMI / USB / mini HDMI,2.0,78 mm,MJPEG / MOV / MPEG / QuickTime / H.264,,Fixed,"8714574570051, 8714574571003, 8714574570129, 8714574570198, 0846431043724, 0019568709249, 0876544558297, 0876544558013, 0133357590785, 0689466386196, 0610696377333, 0689466386189, 0610563301171, 0610563300419, 0610696377906, 0610563299980, 0837654976197, 0689466386226, 0837654976203, 0689466386110, 8714574570044, 0689466445688, 0890552597710, 0876544557993, 0689466445701, 0689466440218, 0689466440256, 0689466440249, 0689466386172, 0689466386165, 0689466445718, 0846431043731, 0689466386202, 0837654976852, 0689466445695, 0610563301126, 0610696377937, 0876544558020, 0689466386103, 0837654974957, 0837654976845, 0689466386158, 0689466386127, 0610563301164, 0876544558006, 0689466440263, 0689466386219, 0689466386141, 0689466386097, 0689466440232, 0689466440225, 0876544558266, 0610563301157, 0662425802319, 0662425802326, 0662425802302, 0845251028393, 0662425802296, 0876544558327, 0019568609624, 0689466266580, 4960999784571, 0689466266597, 0813789671879, 0187016688092, 0689466368833, 0149368939727, 0689466142952, 0689466381214, 0813787871226, 0689466266535, 0689466142976, 0689466442571, 0689466267860, 8714574570068, 0721405366996, 0689466351224, 0410000218242, 0410000218310, 0689466433234, 0813789999980","-/+ 5 EV range, in 1/2 or 1/3 EV steps",Aperture Priority / Auto / Custom / Intelligent Auto / Manual / Movie / Portrait / Program / Scene / Shutter Priority / Sport,Auto / Manual / Off / On / Red Eye Reduction,9.20 m,Built-in / External,17 - 50 mm / 17 - 70 mm / 17 - 85 mm / 18 - 50 mm / 18 - 55 mm / 18 - 125 mm / 18 - 135 mm / 18 - 200 mm / 18 - 250 mm / 18 - 270 mm / 55 - 250 mm / 70 - 300 mm / 75 - 300 mm,,100 mm,DCF / DPOF / JPEG / RAW,Digic 4,720x480 / 1920x1280 / 1936x1288 / 2256x1504 / 3088x2056 / 3888x2592 / 4272x2848 / 4912x3264,Optical,Body cap / Charger / Neck strap,,Auto / 25 / 60 / 100 / 200 / 400 / 800 / 1600 / 3200 / 4000 / 6400,1/4000,SD / SDHC / SDXC,Center-weighted / Multi / Partial,Yes,30s (more than 65%),,Canon EOS 1100D body,4 out of 5,Face Detection,Yes,12.2 MP (more than 61%),230000,"2.7""",LCD,2s / 10s / 12s,22.2x14.8mm,CMOS,Monochrome / Neutral / Saturation / Sepia / Vivid,,Write a review,1280x720,495 g,Automatic / Custom / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Flash / Fluorescent / Incandescent / Indoor / Shade / Sunlight / Tungsten",126 mm,"-/+ 2 EV (3 frames in 1/3, 1/2 EV steps)","Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Phase Detect
/ Selective Single-point
/ Single",Body,1/200,1.6x,3:2,Canon EF / Canon EF-S,,Yes,9.0,Yes,Yes,APS-C,"846431043724, 019568709249, 876544558297, 876544558013, 133357590785, 689466386196, 610696377333, 689466386189, 610563301171, 610563300419, 610696377906, 610563299980, 837654976197, 689466386226, 837654976203, 689466386110, 689466445688, 890552597710, 876544557993, 689466445701, 689466440218, 689466440256, 689466440249, 689466386172, 689466386165, 689466445718, 846431043731, 689466386202, 837654976852, 689466445695, 610563301126, 610696377937, 876544558020, 689466386103, 837654974957, 837654976845, 689466386158, 689466386127, 610563301164, 876544558006, 689466440263, 689466386219, 689466386141, 689466386097, 689466440232, 689466440225, 876544558266, 610563301157, 662425802319, 662425802326, 662425802302, 845251028393, 662425802296, 876544558327, 019568609624, 689466266580, 689466266597, 813789671879, 187016688092, 689466368833, 149368939727, 689466142952, 689466381214, 813787871226, 689466266535, 689466142976, 689466442571, 689466267860, 721405366996, 689466351224, 410000218242, 410000218310, 689466433234, 813789999980",95%,0.8x,Optical,,Yes,,,"Rs.24,399 Show all prices »",,
,"Pentax X-5 digital camera prices, Shopping comparison for Pentax X 5, Buy online in India - ShopMania",Yes,F/3.1-5.9,,Compact,Pentax,Digital Cameras,Composite / USB / micro HDMI,10.0,,AVC / MJPEG / MPEG-4 / H.264,7.2x,Folding,"0027075219199, 0027075219182, 1027075206501, 0846431095495, 0846431095471, 0027075219298, 0027075219304, 0027075206472","-/+ 2 EV range, in 1/3 EV steps",Macro / Program / Scene,Auto / Fill-in / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,9.10 m,,,,,DCF / DPOF / JPEG,,640x480 / 1024x768 / 1920x1080 / 2048x1536 / 2592x1464 / 2592x1944 / 3072x1728 / 3072x2304 / 3456x3456 / 4608x2592 / 4608x3456,Digital,Carrying strap / Lens cap / USB cable,75 MB,100 / 200 / 400 / 800 / 1600 / 3200,1/1500,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,4s,26x (more than 97%),Pentax X-5,0 out of 5,"Blink Detection
/ Face Detection
/ HDR
/ Panorama
/ Smile Detection",,16 MP (more than 78%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 10s,1/2.33,BSI CMOS,,,Write a review,1280x720,595 g,,Daylight / Sunny / Fluorescent / Shade / Tungsten,,,"Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Single
/ Tracking",,,,1:1 / 4:3 / 16:9,,"Rs.12,795 - Shopclues.com Show all prices »",Yes,9.0,,,,"027075219199, 027075219182, 846431095495, 846431095471, 027075219298, 027075219304, 027075206472",,,Electronic,22 - 580 mm,Yes,,,,,
,"Canon IXUS 135 digital camera prices, Shopping comparison for Canon IXUS 135, Buy online in India - ShopMania",,F/3.2-6.9,Li-Ion,Compact,Canon,Digital Cameras,Composite / USB / mini USB,0.8,22 mm,MOV / H.264,4x,,"8714574597744, 8714574597775",,Bulb / Intelligent Auto / Snow,Auto / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,3 m,,5 - 40 mm,Yes,52 mm,DCF / DPOF / JPEG,Digic 4,480x480 / 640x360 / 640x424 / 640x480 / 1200x1200 / 1600x1064 / 1600x1200 / 1920x1080 / 2448x2448 / 3264x1832 / 3264x2176 / 3264x2448 / 3456x3456 / 4608x2592 / 4608x3072 / 4608x3456,Optical,AV cable / Carrying strap / Charger / USB cable,,Auto / 100 / 200 / 800 / 1600,1/2000,SDHC / SDXC,Multi / Spot,Yes,1s,8x (more than 81%),Canon IXUS 135,0 out of 5,Face Detection,,16 MP (more than 78%),230000,"2.7""",LCD,2s / 10s,,CCD,,,Write a review,,134 g,,"Artificial
/ Cloudy / Daylight / Sunny / Fluorescent / Tungsten",93 mm,,,,,,,,"Rs.6,923 - Shopclues.com Show all prices »",,,,,,,,,,,,,Yes,,,
