<page title>,camera body only,camera type,depth,effective megapixels,environmental protection,flash,gps enabled,height,image sensor,image stabilization,interface connection,lcd screen size,lens mount,maximum video capture resolution,memory card support,total pixels,url,warranty information,weight,width,wifi,brand name,builtin flash,camera modes,exposure control,maximum diopter adjustment,minimum diopter adjustment,number of batteries support,parent retsku,pictbridge,product model,viewfinder type,digital zoom,focal length,focal length 35mm equivalent,optical zoom,analog video out,autofocus points,battery builtin,battery include,battery model supported,battery rechargeable,gps,hd movie mode,iso sensitivity,language support,longest shutter speed,maximum frame rate,parent product type,product line,self timer,shortest shutter speed,white balance modes,installed memory,max aperture,green compliance,lens construction,normalizeddigital zoom,normalizedheight,normalizedoptical zoom,normalizedweight,product series,wide angle,software included,you are reviewing,product type,maximum image resolution,bulb setting,continuous shooting speed,exposure settings,focus features,frequency band,general features,image format,image sensor quantity,image sensor size,included components,iso equivalencies,max focal length,max horizontal image resolution,max vertical image resolution,max zoom,maximum shutter speed,metering characteristics,min aperture,min focal length,min focus distance,minimum shutter speed,normalizedinstalled memory,normalizednumber of image sensor pixels,number of resolution modes,number of scene modes,power source,video capture format,white balance,exposure compensation range,color,removable flash memory included,focal length conversion factor slr,shutter lag
"Canon PowerShot 115 IS 16 Megapixel Compact Camera - Pink (2.7"" LCD - 8x Optical Zoom - Optical IS - 4608 X 3456 Image - 1280 X 720 Video - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,0.9 in,16 Megapixel,,Auto Flash|Flash OFF|Flash ON|Slow Sync|Red-eye Reduction,,2.1 in,CCD,Optical,,2.7 in,,1280 x 720,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card,16600000,http://www.usa.canon.com,1 Year,4.13 oz,3.7 in,,Canon,Yes,Shooting Modes:AutoPortraitSmart ShutterLow LightFisheye EffectMiniature EffectToy Camera EffectMonochromeSuper VividPoster EffectColor AccentColor SwapSnowFireworksLong ShutterStitch Assist,Program AE,No,No,1.0,,Yes,115 IS,No,4x,5 mm to 40 mm,28 mm to 224 mm 28 mm to 224 mm,8 X,Yes,,No,Yes,NB-11L,Yes,,Yes,ISO 1600,,15 Second,30 fps,Digital Camera,PowerShot,,1/2000 Second,AutoDaylightCloudyTungstenFluorescentFluorescent HCustom,,,WEEE|RoHS|REACH,,4.0,53.34,8.0,4.13,ELPH,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kodak PIXPRO AZ251 Bridge Digital Camera - 16MP 25X Optical Zoom HD720p -Black 16.15 Price Comparison at Buy.net,,,,,,,,,,,,,,,,,,,,,,Kodak,Yes,Shooting Modes: Auto Face Beautifier Panorama Movie CS Landscape Scene Modes: Auto Sport Beach Sunset Fireworks Night Landscape Sketch Snow Children ID Glass Photo Frame Panning Shot Portrait Fish Eye Party Indoor Leaf Museum Night Portrait Pet (Dog) Pet (Cat),Program AE Shutter Priority AE Aperture Priority AE Manual,No,No,4.0,B00CD7UQ8E,Yes,AZ251,No,,,24 mm to 600 mm,,Yes,9.0,No,,,,,Yes,ISO 3200,,30 Second,30 fps,Digital Camera,PIXPRO,,1/2000 Second,Auto Daylight Cloudy Flourescent Flourescent CWF Incandescent Manual Color Temperature Setting (1900K ~ 10000K),,,,12 Elements in 11 Groups,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony Cyber-shot DSC-TX30 18.2 Megapixel Compact Camera - Orange (3.3"" Touchscreen OLED - 5x Optical Zoom - Optical IS - 4896 X 3672 Image - 1920 X 1080 Video - HDMI - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,0.6 in,18.2 Megapixel,Water Proof|Shock Proof|Dust Proof|Freeze Proof,Auto Flash|Flash OFF|Flash ON|Slow Sync|Advanced Flash|Red-eye Reduction,,2.3 in,Exmor R CMOS,Optical,,3.3 in,,1920 x 1080,microSD Card|microSDHC Card|Memory Stick Micro|Memory Stick Micro (M2),18900000,http://www.sony.com,1 Year,4.41 oz,3.8 in,,Sony,Yes,Scene Modes:High SensitivitySoft SnapSoft SkinLandscapeNight PortraitNight SceneHandheld TwilightGourmetBeachSnowFireworksPet ModeAnti-Motion BlurBacklight Correction HDRUnderwaterHigh Speed Shutter,Program AE,No,No,1.0,,,DSC-TX30,No,2x,4.70 mm to 23.50 mm,37 mm to 185 mm 37 mm to 185 mm,5 X,Yes,,No,Yes,NP-BN,Yes,No,Yes,ISO 12800,,4 Second,60 fps,,Cyber-shot,10 Second,1/1600 Second,AutoDaylightCloudyFluorescent 1 (White Fluorescent Lighting)Fluorescent 2 (Natural White Fluorescent Lighting)Fluorescent 3 (Day White Fluorescent Lighting)IncandescentFlashOne PushOne Push Set,,,RoHS,12 Elements in 10 Groups,2.0,58.42,5.0,4.41,,Yes,,Sony Cyber-shot DSC-TX30 18.2 Megapixel Compact Camera - Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuji Blowers FinePix T550 16 Megapixel Compact Camera - Black (3"" LCD - 12x Optical Zoom - Optical IS - 4608 X 3440 Image - 1280 X 720 Video - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,1.0 in,16 Megapixel,,Auto Flash|Flash OFF|Flash ON|Suppressed Flash|Slow Sync|Red-eye Reduction,,2.2 in,CCD,Optical,,3 in,,1280 x 720,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC),,http://www.fujifilm.com,1 Year,4.37 oz,3.9 in,,Fujifilm,Yes,Shooting Modes:SR AUTOAUTONatural Light and with FlashNatural LightPortraitBaby ModeSmile and ShootLandscapeAdvanced FilterMotion PanoramaSportNightNight (Tripod)FireworksSunsetSnowBeachPartyFlowerTextIndividual Shutter 3D,Program AE,No,No,1.0,B00AWN82ZA,Yes,T550,No,2x,4.30 mm to 51.60 mm,24 mm to 288 mm 24 mm to 288 mm,12 X,,,No,Yes,NP-45A / NP-45B,Yes,No,Yes,ISO 6400,,8 Second,30 fps,Digital Camera,FinePix,,1/2000 Second,Automatic Scene RecognitionFineShadeFluorescent Light (Daylight)Fluorescent Light (Warm White)Fluorescent Light (Cool White)Incandescent Light,,,REACH|WEEE,9 Elements in 9 Groups,2.0,55.88,12.0,4.37,T,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VTech Kidizoom 0.3 Megapixel Compact Camera - Light Blue (1.5"" LCD - 640 X 480 Image) Price Comparison at Buy.net",,Compact Camera,,0.3 Megapixel,,Auto Flash|Flash ON|Flash OFF,,,,,,1.5 in,,,,,http://www.vtech.com,,,,,Vtech,Yes,,,No,No,4.0,B004E3NIEY,,,,2x,,,,,,,,,,,,Auto,,,,,Kidizoom,,,,,,,,,,,,,,,,Cameras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony Cyber-shot DSC-H400 20.1 Megapixel Compact Camera - Black (3"" LCD - 63x Optical Zoom - Optical IS - 5152 X 3864 Image - 1280 X 720 Video - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,4.8 in,20.1 Megapixel,,Auto Flash|Flash ON|Flash OFF|Slow Sync|Advanced Flash|Flash Exposure Compensation|Red-eye Reduction,,3.7 in,Super HAD CCD,Optical,,3 in,,1280 x 720,Memory Stick Duo|Memory Stick PRO Duo|Memory Stick PRO High Speed|Memory Stick PRO-HG Duo|Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Memory Stick Micro|Memory Stick Micro (M2)|microSD Card|microSDHC Card|microSD Extended Capacity (microSDXC),20400000,http://www.sony.com,1 Year,6.20 oz,5.1 in,,,,,,,,,,,,,126x,4.40 mm to 277 mm,32.10 mm to 2029 mm,63 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olympus PEN E-P2 12.3 Megapixel Mirrorless Camera Body Only - Black (3"" LCD - 4032 X 3024 Image - 1280 X 720 Video - HDMI - HD Movie Mode) Price Comparison at Buy.net",Body Only,Mirrorless Camera,1.4 in,12.3 Megapixel,,Auto Flash|Flash OFF|Flash ON|Red-eye Reduction,,2.8 in,,Optical,1 x Proprietary|1 x HDMI Digital Audio/Video Out,3 in,,1280 x 720,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card,13100000,http://www.olympusamerica.com,1 Year Limited,11.10 oz,4.7 in,,Olympus,,Scene Modes:PortraitLandscapeMacroSportNight + PortraitChildrenHigh KeyLow KeyDIS ModeNatureDocumentsPanoramaBeach & Snow,,,,1.0,,,E-P2,No,,No,,,,11.0,No,Yes,,Yes,,Yes,ISO 6400,Thai,60 Second,30 fps,,PEN,,1/4000 Second,,,,,Not Applicable,,0.00275,,11.1,,No,Olympus Master,,,4032 x 3024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Disney Digital Blue Disney Pix Click 1.3 Megapixel Compact Camera (1.4"" LCD) Price Comparison at Buy.net",,,,,,,,,,,,,,,,,,,,,,Digital Blue,Yes,,,No,No,3.0,B0048UK1T8,,,No,,,,,,,,,,,,,,,,,,Disney Pix Click,,,,,,,,,,,,,,,,Cameras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon EOS 5D Mark III Black SLR Digital Camera Kit W/ 24-70 Mm Lens (22.3 MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Digital SLR Camera,3 in,22300000 pixels,,Accessory Shoe|Built-in Flash,Yes,4.6 in,CMOS,Sensor Shift,Video - Out (Unspecified)|USB|HDMI,3.2 in,Canon EF,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card,23400000 pixels,http://www.usa.canon.com/cusa/support/professional/professional_cameras/eos_digital_slr_cameras/eos_5d_mark_iii,1 year(s),30.3 oz,6 in,,,,,,,,,,,,,,24 mm to 70 mm,,,,,,,,,,,,,,,,,,,,,4 1/f,,,,,,,,,,Canon EOS 5D Mark III Black SLR Digital Camera Kit w/ 24-70 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coleman Xtreme C5WP 12 Megapixel Compact Camera - Green (2.7"" LCD - 4032 X 3024 Image - 640 X 480 Video) Price Comparison at Buy.net",,,,,,,,,,,,,,,,,,,,,,Coleman,Yes,Scene Modes:AutoSceneryNightPortraitSportsPartyBeachHigh SensitivityUnderwater,Programmed Auto Exposure,No,No,1.0,,,C5WP,No,,,,,,,,,NP-20,,,No,ISO 400,,,30 fps,Digital Camera,Xtreme,,,AutoSunnyCloudyFluorescentIncandescent,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujifilm X-A1 Mirrorless Digital Camera With 16-50mm Lens (Indigo Blue) Price Comparison at Buy.net,,,,,,,,,,,,,,,,,,,,,,Fujifilm,Yes,,Program AE Shutter Priority AE Aperture Priority AE Manual,No,No,1.0,B00F8K8TBY,Yes,X-A1,No,,,24 mm to 76 mm (Lens 1),,,49.0,No,Yes,NP-W126,Yes,No,Yes,ISO 25600,,30 Second,30 fps,,,10 Second,1/4000 Second,Auto Custom Fine Shade Fluorescent Light (Daylight) Fluorescent Light (Warm White) Fluorescent Light (Cool White) Incandescent Light,,,Yes,12 Elements in 10 Groups,,,,,X,,Viewer RAW File Converter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panasonic Lumix DMC-XS1 16.1 Megapixel Compact Camera - Red (2.7"" LCD - 5x Optical Zoom - Optical IS - 4608 X 3456 Image - 1280 X 720 Video - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,0.7 in,16.1 Megapixel,,Red-eye Fix|Red-eye Reduction|Auto Flash|Flash ON|Flash OFF|Slow Sync,,2.1 in,CCD,Optical,,2.7 in,,1280 x 720,microSD Card|microSDHC Card|Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC),16600000,http://www.panasonic.com,1 Year,3.10 oz,3.7 in,,Panasonic,Yes,Scene Modes:PortraitSoft SkinScenerySportsNight PortraitNight SceneryFoodBaby1Baby2PetSunsetHigh SensitivityGlass ThroughPhoto FrameStarry Sky,Program AE,No,No,1.0,,Yes,DMC-XS1,No,4x,4.30 mm to 21.50 mm,24 mm to 120 mm 24 mm to 120 mm,5 X,Yes,9.0,No,Yes,,Yes,No,Yes,ISO 6400,Dutch,60 Second,30 fps,Digital Camera,Lumix,,1/1600 Second,AutoDaylightCloudyShadeIncandescentWhite Set,,,,6 Elements in 5 Groups,4.0,53.34,5.0,3.1,XS,Yes,Photofunstudio 9.0 LEAdobe Reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon J1 Red Digital Camera Kit W/ 10-30mm & 30-110mm Lens (10.1 MP, 3.7x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Mirrorless Camera,1.2 in,10.1 Megapixel,,Slow Sync|Rear Curtain Sync|Red-eye Reduction,,2.4 in,CMOS,Optical,,3 in,Nikon 1-mount,1920 x 1080,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC),,http://www.nikon.com,1 Year Limited,8.25 oz,4.2 in,,,,,,,,,,,,,,10 mm to 30 mm (Lens 1) - 30 mm to 110 mm (Lens 2),,3 X (Lens 1) - 3.7 X (Lens 2),,,,,,,,,,,,,,,,,,,,RoHS|WEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pentax K-50 Lens Kit Black W/DA L18-55 WR Price Comparison at Buy.net,,,,,,,,,,,,,,,,,,,,,,Pentax,Yes,Scene Modes: Portrait Landscape Macro Moving Object Night Scene Portrait Sunset Blue Sky Forest Night Scene Night Scene HDR (JPG) Night Snap Food Pet Kids Surf & Snow Backlight Silhouette Candlelight Stage Lighting Museum,Program AE Shutter Priority AE Aperture Priority AE Manual,1.5,-2.5,1.0,B00DDHWE2O,,K-50,SLR,,,27.50 mm to 84.50 mm (Lens 1),,Yes,11.0,No,Yes,D-LI109,Yes,,Yes,ISO 51200,Russian,30 Second,60 fps,,,12 Second,1/6000 Second,Auto Daylight Shade Cloudy Daylight Color Daylight White Cool White Warm White Tungsten Flash CTE,,,,11 Elements in 8 Groups,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony Alpha 7 A7 Full-Frame Interchangeable Lens Black Digital Camera Price Comparison at Buy.net,Body Only,Mirrorless Camera,1.9 in,24.3 Megapixel,Dust Resistant|Moisture Resistant,Auto Flash|Flash ON|Flash OFF|Red-eye Reduction|High Speed Sync|Slow Sync|Wireless Flash|Rear Flash Sync|Pre-flash|Flash Exposure Compensation,,3.7 in,Exmor APS HD CMOS sensor,No,,3 in,Sony E,1920 x 1080,Memory Stick PRO Duo|Memory Stick PRO-HG Duo|Memory Stick XC-HG Duo|Secure Digital (SD) Card|Secure Digital High Capacity (SDHC UHS-I)|Secure Digital Extended Capacity (SDXC UHS-I),24700000,http://www.sony.com,1 Year,14.70 oz,5 in,,,,,,,,,,,,,4x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujitsu S9200 Black Digital Camera (16.2 MP, 50x Opt, SD/SDHC/SDXC Card Slot, 38 MB) Price Comparison at Buy.net",,Point & Shoot Digital Camera,4.6 in,16200000 pixels,,Built-in Flash|Accessory Shoe,,3.4 in,CMOS,Sensor Shift,USB|HDMI,3 in,Fujifilm X,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card,16790000 pixels,https://www.fujifilmusa.com/products/digital_cameras/s/finepix_s9200/,1 year(s),20.3 oz,4.8 in,,,,,,,,,,,,,2 X,4.3 mm to 215 mm,24 mm to 1200 mm,50 X,,,,,,,,,,,,,,,,,,38 MB,2.9 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot 135 16 Megapixel Compact Camera - Black (2.7"" LCD - 8x Optical Zoom - Electronic IS - 4608 X 3456 Image - 1280 X 720 Video - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,0.9 in,16 Megapixel,,Slow Sync|Auto Flash|Flash ON|Flash OFF|Red-eye Fix,,2.1 in,CCD,Electronic,,2.7 in,,1280 x 720,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card,16600000,http://www.usa.canon.com,1 Year,3.95 oz,3.8 in,,,,,,,,,,,,,4x,5 mm to 40 mm,28 mm to 224 mm,8 X,,,,,,,,,,,,,,,,,,,,WEEE|REACH|RoHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot SX160 IS Red Digital Camera (16 MP, 16x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Compact Camera,1.7 in,16 Megapixel,,Auto Flash|Flash ON|Flash OFF|Red-eye Reduction|Slow Sync,,2.9 in,CCD,Optical,HDMI|USB|Video - Out (Unspecified),3 in,,1280 x 720,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Eye-Fi Card,16600000,http://www.usa.canon.com,1 Year,8.57 oz,4.4 in,,,,,,,,,,,,,4x,5 mm to 80 mm,28 mm to 448 mm,16 X,,,,,,,,,,,,,,,,,,,3.5 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panasonic Lumix DMC-ZS40 Black Digital Camera (18.1 MP, 30x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,1.35 in,"18,100,000 pixels",,Built-in Flash,Yes,2.53 in,CMOS,Optical,USB,3 in,,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card,"18,900,000 pixels",http://shop.panasonic.com/shop/model/DMC-ZS40K,1 year(s),0.47 lbs,4.35 in,Yes,,,,,,,,,,,,4 X,4.3 mm to 129mm,24 mm to 720mm,30 X,,,,,,,,,,,,,,,,,,12 MB,3.3 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olympus SH-50 IHS Silver Digital Camera (16 MP, 24x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body Only,Point & Shoot Digital Camera,1.6 in,16000000 pixels,,Built-in Flash,,2.5 in,CMOS,,USB|HDMI|A/V (RCA Composite),3 in,,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC),,http://www.getolympus.com/us/en/sh-50-ihs.html,1 year(s),9.5 oz,4.4 in,,,,,,,,,,,,,4 X,4.5 mm to 108 mm,25 mm to 600 mm,24 X,,,,,,,,,,,,,,,,,,39.3 MB,3 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon 1 AW1 Mirrorless Digital Camera With 11-27.5mm Lens (White) Price Comparison at Buy.net,,,,,,,,,,,,,,,,,,,,,,Nikon,Yes,Shooting Modes: Advanced Movie Mode Auto Photo Mode Best Moment Capture Mode Creative Mode Motion Snapshot Scene Modes: Auto Portrait Landscape Night Landscape Night Portrait Close-up Underwater,Program AE Shutter Priority AE Aperture Priority AE Manual,,,1.0,B00FACNXHK,Yes,AW1,,,,30 mm to 74 mm (Lens 1),,,135.0,No,Yes,EN-EL20,Yes,Yes,Yes,ISO 6400,Vietnamese,30 Second,1200 fps,Digital Camera,1,10 Second,1/16000 Second,Auto Incandescent Fluorescent Direct Sunlight Flash Cloudy Shade Preset Manual Underwater All Except Preset Manual with Fine Tuning,,,Yes,8 Elements in 6 Groups,,,,,,Yes,ViewNX 2 Short Movie Creator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony Alpha ILCE-5000L 20.1 Megapixel Mirrorless Camera Body With Lens Kit - 16 Mm - 50 Mm - White (3"" LCD - 3.1x Optical Zoom - 5456 X 3632 Image - 1920 X 1080 Video - HDMI - HD Movie Mode) Price Comparison at Buy.net",Body with Lens Kit,Mirrorless Camera,1.4 in,20.1 Megapixel,,Auto Flash|Flash OFF|Fill Flash|Rear Curtain Sync|Slow Sync|Red-eye Reduction,,2.5 in,Exmor APS HD CMOS sensor,No,,3 in,Sony E,1920 x 1080,Memory Stick PRO-HG Duo|Memory Stick XC-HG Duo|Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Memory Stick PRO Duo (Mark 2),20400000,http://www.sony.com,1 Year,7.41 oz,4.3 in,,,,,,,,,,,,,2x,16 mm to 50 mm (Lens 1),24 mm to 75 mm (Lens 1),3.1 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuji Blowers FinePix F40fd 8.3 Megapixel Compact Camera - Silver (2.5"" LCD - 3x Optical Zoom - 3504 X 2336 Image - 640 X 480 Video - PictBridge) Price Comparison at Buy.net",,Compact Camera,0.9 in,8.3 Megapixel,,Auto Flash|Red-eye Reduction,,2.3 in,CCD,Digital,1 x Video Out|1 x USB|1 x DC Power In,2.5 in,Fixed,640 x 480,xD-Picture Card|MultiMediaCard (MMC)|Secure Digital (SD) Card,8300000,http://www.fujifilm.com,1 Year Limited,6.20 oz,3.8 in,,Fujifilm,,"Shooting Modes:Normal:AutoPicture StabilizationScene PositionMacroMovieBurst/ContinuousSpecial:Natural LightNatural Light & with FlashPosition:PortraitLandscapeSportNightFireworksSunsetSnowBeachUnderwaterMuseumPartyFlowerClose-UpTextContinuous:Top-2 ( max.1.3 frames/sec., up to 2 frames)Final-2 ( max.1.3 frames/sec)Long-period ( max.0.6frame/sec. Up to memory card size)Color Modes:Black & WhiteChromeStandard",Program AE,,,,,Yes,F40fd,No,6.9x,8 mm to 24 mm,,3 X,,,No,Yes,,,No,No,,,3 Second,30 frames/s (fps),,FinePix,,1/2000 Second,FineShadeCustomAutomaticIncandescent lightFluorescent light (Daylight)Fluorescent light (Cool White)Fluorescent light (Warm White),25 MB,2.8 1/f,,,6.9,,3.0,6.2,F,,FinePixViewerImageMixer VCD2 LE for FinePix,,,,No,1.3 frames/s (fps),Auto Exposure|Multiple Program Modes,Auto Focus|Face Recognition Auto Focus|Multiple Point Focusing|Spot Focus,Voice Memo: Up to 30 sec. WAV formatSensitivity:AutoISO 100ISO 200ISO 400ISO 800ISO 1600ISO 2000 (on Anti-blur/Natural Light mode),Photo Date/Time Stamping|Self Timer|Voice Memo Recorder,JPEG,1.0,0.625 in,Cables - Audio/Video|Cables - USB|Microphone|Speaker,100|1600|200|400|800,108 mm,3296 pixels,2472 pixels,20.7 X,2000 1/x sec.,Evaluative|Multi-Segment|TTL,8 1/f,36 mm,2.75 in,3 sec.,25.0,8.3,5.0,14.0,Lithium Ion Battery,AVI,Auto|Preset Modes,,,,,
"Canon EOS Rebel T3i Black SLR Digital Camera - Body Only (18MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body Only,Digital SLR Camera,3.1 in,18 Megapixel,,Auto Flash|Flash OFF|Flash Exposure Compensation,,3.9 in,CMOS,,,3 in,Canon EF/EF-S,,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC),18700000,http://www.usa.canon.com,1 Year Limited,1.14 lbs,5.2 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot ELPH 530 HS Black Digital Camera (10.1 MP, 12x Opt) Price Comparison at Buy.net",,Compact Camera,0.8 in,10.1 Megapixel,,Auto Flash|Flash ON|Flash OFF|Slow Sync|Red-eye Reduction,,2.1 in,CMOS,Optical,,3.2 in,,1920 x 1080,microSD Card|microSDHC Card|microSD Extended Capacity (microSDXC),16800000,http://www.usa.canon.com,1 Year Limited,5.00 oz,3.4 in,,,,,,,,,,,,,4x,4 mm to 48 mm,28 mm to 336 mm,12 X,,,,,,,,,,,,,,,,,,,,RoHS|WEEE|REACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony DSC-WX350 White Digital Camera (18.2 MP, 20x Opt, SD/SDHC/MS Duo Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,0.06 in,18200000 pixels,,Built-in Flash,,2.25 in,CMOS,Optical,USB|HDMI,3 in,,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card|Memory Stick Duo,21100000 pixels,http://store.sony.com/point-and-shoot-digital-still-camera-zid27-DSCWX350//cat-27-catid-All-Cyber-shot-Cameras,1 year(s),4.8 oz,3.88 in,Yes,,,,,,,,,,,,,,28.5 mm to 1425 mm,20 X,,,,,,,,,,,,,,,,,,,3.5 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony SLT-A65VL Black SLR Digital Camera Kit W/ 18-55 Mm Lens (24.3 MP, SD/SDHC/SDXC/MS PRO Duo/MS PRO-HG Duo Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Mirrorless Interchangeable Lens Camera,3.25 in,24300000 pixels,,Built-in Flash|Accessory Shoe,Yes,3.88 in,CMOS,,USB|HDMI,3 in,Sony A,1920 x 1080,Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card|Memory Stick PRO-HG Duo|Memory Stick PRO Duo,24700000 pixels,http://store.sony.com/sony-a65-dslr-camera-and-lens-zid27-SLTA65VL/cat-27-catid-All-Alpha-DSLR-Cameras,1 year(s),1.19 lbs,5.25 in,,,,,,,,,,,,,,18 mm to 55 mm,27 mm to 82.5 mm,,,,,,,,,,,,,,,,,,,,3.5 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wildgame Innovations Elite 5 LightsOut L05 Trail Camera Price Comparison at Buy.net,,,,,,,,,,,,,,,,,,,,,,Wildgame,,,,,,,,,L05,,,,,,,,,,,,,,,,,,,Elite 5 LightsOut,,,,,,,,,,,,,,,,,,,,,,5MP Invisible IR Digital Scouting Camera 48 pc Invisible LightsOut LED Infrared Flash Includes FlexTime + Time Lapse Technology Wide Angle 16:9 option Adjustable side to fit any tree Redux Anti-Blur Technology 1 second Rapid trigger speed Flash range is up to 60 ft. Up to 64 GB SDHC Card (not included) External battery port (for use with EBX) Uses 12 AA-Cell batteries (not included) Product Dimensions: 10.32 Length x 5.91 Width x 8.27 Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujifilm XQ1 Black Digital Camera (12 MP, 4x Opt, SD/SDHC/SDXC Card Slot, 66 MB) Price Comparison at Buy.net",,Point & Shoot Digital Camera,1.3 in,12000000 pixels,Water Resistant,Accessory Shoe|Built-in Flash,,2.3 in,CMOS,Optical,USB|HDMI,3 in,,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card,14500000 pixels,http://www.fujifilmusa.com/products/digital_cameras/x/fujifilm_xq1/,1 year(s),6.6 oz,3.9 in,Yes,,,,,,,,,,,,4 X,6.4 mm to 25.6 mm,25 mm to 100 mm,4 X,,,,,,,,,,,,,,,,,,66 MB,1.8 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
