<page title>,aperture range,audio formats,auto focus,camera resolution,digital zoom,focal length,image format,image stablizer,iso rating,lens type,manual focus,maximum shutter speed,minimum shutter speed,optical zoom,other focus features,self timer,video format,white balancing,color filter,conitnous shots,delete function,dust reduction,face detection,hdmi,image ratio wh,macro mode,max resolution,microphone,operating system,pictbridge,processor,sensor size,sensor type,shooting modes,tv out,usb cable,video resolution,built in flash,external flash,flash modes,metering,sync terminal,view finder,red eye reduction,supported languages,wifi,battery type,dimensions,flash range,memory card type,power supply,type,upgradable memory,weight,picture angle,internal memory
"Panasonic Lumix DMC SZ3 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.1 (W) - F/5.9 (T),,,16.1 MP,4x,4.5 - 45 mm (35 mm Equivalent to 25 - 250 mm),JPEG (DCF / EXIF 2.3),,100 - 6400,Leica DC Vario Elmar,,1/1600 sec,8 sec,10x,,"Yes, 2 and 10 sec",QuickTime Motion JPEG,"Auto, Daylight, Cloudy, Shade, Incandescent, White Set","Yes, Primary (RGB) Color Filter","Yes, 1.4 fps (Full-resolution Image), 10 fps (High-speed Burst)",,,,,,,,,,,,,,"Intelligent Auto, Normal Picture, Creative Control, Panorama Shot, Scene",,,1280 x 720 pixels at 24 fps,,,,,,,Yes,24,,,94.8 (W) x 55.8 (H) x 21.9 (D) mm,,,,Point & Shoot,,"111 g (without Battery and SD Memory Card), 126 g (with Battery and SD Memory Card)",,
"Sony HVR HD1000P Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,,,,,,,,,,,,,,,,,,,,,,,,16:9,,2848 x 2136 Pixels,,,,,1/2.9 inch,CMOS ClearVid Sensor,,,,,,,,,,,,,,,,,,,,,,,
"Sony CyberShot DSC WX220 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.3 (W) - F5.9 (T),,"Yes, Multi-Area, Contrast Detect, Center, Tracking, Single, Continuous, Face Detection, Live View",18.9 MP,4x,4.45 - 44.5 mm (35 mm Equivalent to 25 - 250 mm),JPEG,"Yes, Optical SteadyShot Image Stabilization",100 - 3200,Sony G Lens,No,1/1600 sec,4 sec,10x,"Normal Focus Range (5 cm), Live View, Fixed Articulated LCD, Focus Range (W: 5cm to Infinity, T :150cm to Infinity), Focal Length Multiplier (5.6x), Lens Constitution (9 elements in 7 groups(including 4 aspheric elements))","Yes, 2 or 10 sec","MPEG-4, AVCHD","Auto, Daylight, Cloudy, Incandescent, Fluor.: Cool White, Fluor.: Day White, Fluor.: Daylight, Flash, Custom",,,,,"Yes, Max. No of Detectable Faces (8 Faces)",,,,4896 x 3272 Pixels,,,,BIONZ X Image Processing Engine,1/2.3 inch,Exmor R CMOS,"Superior Auto, Intelligent Auto, Program Auto, Movie Mode, Panorama, Scene Selection, Manual Exposure, Picture Effect (Illustration, Partial Colour, Soft Focus, High Contrast Mono., Water Colour, Posterization, Retro Photo, Soft High-key, HDR Painting, Miniature, Toy Camera, Pop Colour, Rich-tone Monochrome), Scene Selection (High Sensitivity, Night Scene, Night Portrait, Portrait, Landscape, Beach, Snow, Fireworks, Advanced Sports Shooting, Gourmet, Pet, Soft Skin, Handheld Twilight, Anti Motion Blur)",,,,,,,"Yes, Multi-Pattern, Center-Weighted, Spot",,,,,,,,,,,,,,,
"Sony SLT A99 (Body Only) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,"Dolby Digital (AC-3) / MPEG-4 AAC-LC, 2ch","Yes, Phase Detect, Multi-Area, Selective Single Point, Tracking, Single, Continuous, Face Detection, Live View",25.0 MP,2x,,JPEG,"Yes, SteadyShot INSIDE in-body Image Stabilization",100 - 25600,Sony / Minolta Alpha,Yes,1/8000 sec,30 sec,,No. Of Focus Points (19),"Yes, 2 or 10 sec","MPEG-4, AVCHD, H.264","White Balance Presets (8), Custom White Balance(3), Auto, Daylight, Shade, Cloudy, Incandescent, Fluorescent (Warm White, Cool White, Day White, Daylight), Flash, Color Temperature (2500 to 9900K) & color filter (G7 to M7, A7 to B7) / Custom (3)","Yes, Primary (RGB) Color filter","Yes, 6 fps",Yes,"Yes, Charge protection coating on low-pass filter and image sensor shift mechanism","Yes, On/On (Regist. Faces)/Off (face registration, face selection). Max. 8 faces detectable.",,,,6000 x 4000 Pixels,,"Image Data Converter SR Software, Windows XP 7 SP3, Windows Vista 8 SP2, Windows 7 SP1, Mac OSX (v10.3-v10.8)",,BIONZ,35.8 x 23.8,Exmor CMOS,"Portrait, Landscape, Macro, Sports action, Sunset, Night portrait, Night View, Handheld Twilight",,,,No,"Yes, Hot-shoe","Auto, On, Off, Red-Eye, Slow Sync, High Speed Sync, Rear Curtain, Fill-in, Wireless","Yes, Multi-segment, center-weighted, spot","Yes, 1/250 sec",,,,,,,,,,,,,,
"Canon EOS 7D (Body Only) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,,"Yes, Contrast Detect, Phase Detect, Multi-Area, Single, Selective Single Point, Continuous, Face Detection, Live View",18 MP,,,"JPEG ( Fine, Normal Quality ), JPEG, RAW, M RAW, S RAW, RAW JPEG, EXIF 2.21, DPOF",No,100 - 12800,Canon EF / EF-S,Yes,1/8000,30 sec,,"Focal Length Multiplier (1.6x), No. of Focus Points (19)","Yes, 2 or 10 sec","H.264, MOV","Custom White Balance, White Balance Presets (Auto, Daylight, Shade, Cloudy, Tungsten Light, White Fluorescent Light, Flash, Custom)","Yes, Primary (RGB) Color filter","Yes, High-speed: 8 Shots at 1 fps, Low-speed: 3 Shots at 1 fps",Yes,"Yes, Auto, Manual, Dust Delete Data Appending",Yes,"Yes, Mini HDMI, Type-C",3:2,,5184 x 3456 Pixels,"Yes, Mono",,"Yes, PictBridge-compatible, Dgital Print Order Format Version 1.1 Compatible",Dual Digic 4,22.3 x 14.9 mm,CMOS,"Picture Style (Standard, Portrait, Landscape, Neutral, Faithful, Monochrome, User Def. 1-3), Live View Shooting, Remote Live View Shooting, Subject/Scene Mode, Manual Exposure Mode, Shutter Priority, Aperture Priority, WB Bracketing, AE Bracketing, Exposure Compensation","Yes, Analog Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels,"Yes, Pop-Up","Yes, Hot-shoe, Wireless plus Sync connector","Auto, On, Off, Red-eye","Yes, Multi-Segment, Center-Weighted, Spot, Partial","Yes, 1/250 sec","Yes, Live View, Optical (Pentaprism) Viewfinder, Magnification (1x), Coverage (100%), Fixed Articulated LCD, Eye Point (22 mm), Built-in Dioptric Adjustment (3.0 - .0m-1), Fixed Focussing Screen, Quick-return half mirror",Yes,25,,,,,,,,,,,
"Canon EOS 5D Mark III (EF 24-105 mm F4L) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/4 - F/22,Linear PCM,"Yes, TTL Phase Detection",22.3 MP,,24 - 105 mm,"JPEG, RAW, RAW JPEG, DCF",,50 - 102400,Canon EF Mount,Yes,1/8000 Sec,1/60 sec,4.3x,"Manual focusing (5x, 10x Magnification), Closest Focusing Distance: 0.45m, Zoom Magnification: 1.5x 10x","Yes, 2 and 10 sec","MOV, MPEG-4 AVC / H.264","Auto, Preset: Daylight, Shade, Cloudy, Tungsten Light, White Fluorescent Light, Flash, Custom, Color Temperature Setting, White Balance Correction, and White Balance Bracketing, Flash Color Temperature Information Transmission Enabled","Yes, Primary (RGB) Color Filter","Yes, 6 fps (High Speed), 3 fps (Low Speed), 3 fps (Silent Mode)",Yes,"Yes, Auto, Manual, Dust Delete Data Appending",Yes,"Yes, Type C HDMI Mini Out",3:2,Yes,5760 x 3840 Pixels,"Yes, Monaural","Windows 7, Windows Vista SP1, Windows XP (SP2, SP3), MAC OS X v10.6, MAC OS X 10.7",Yes,DIGIC 5 Image,36 x 24 mm,CMOS,"Auto, Program AE, Shutter Priority AE, Aperture Priority AE, Manual, Custom (x3), HDR Shooting, Live Mode, Face Detection Live Mode (Contrast Detection), Quick Mode (Phase-difference Detection), Shooting Modes Ratio: 3:2, 4:3, 16:9, 1:1","Yes, Audio / Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels,,,,"Yes, 63-zone TTL Full-aperture Metering, Evaluative Metering, Partial Metering, Spot Metering, Center Weighted Average Metering",,,Yes,25,,,,,,,,,,,
"Samsung WB200F Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.2 (W) - F/5.8 (T),AAC Stereo,"Yes, TTL Auto Focus",14.2 MP,"1x 5x Still Image Mode (Optical Digital: 90x), 2x Intelli-zoom (Optical Intelli: 36x)",4 - 72 mm (35 mm Equivalent to 24 - 432 mm),"JPEG, DCF, EXIF 2.21",,80 - 3200,Samsung Lens,Yes,1/2000 sec,1/8 sec,18x,,"Yes, 2 and 10 sec","MPEG4, AVC / H.264","Auto, Daylight, Cloudy, Fluorescent H, Fluorescent L, Tungsten, Custom, K","Yes, Primary (RGB) Color Filter",,Yes,,Yes,,,"Yes, 5 cm 80 cm (W), 180 cm 350 cm (T)",,,"Windows XP SP2, Windows Vista, Windows 7, Windows 8, Mac G3, Mac OS 10.5 or Higher",,,,,"Auto, Program, Smart, Magic Plus, Best Face, Aperture Priority, Shutter Priority, Manual",,,1280 x 720 pixels at 30 fps,,,,,,,Yes,,,,106.5 (W) x 61.65 (H) x 21.65 (D) mm,,,,Point & Shoot,,184 g (without Battery and Memory Card Media),24 mm Wide-angle,
"Sony NEX VG30 interchangeable (Body Only) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F6.3 (T),"Dolby Digital 5.1ch, Dolby Digital 5.1Creator Dolby Digital 2ch stereo","Yes, Single-Shot, Continuous, Direct Manual Focus",16.1 MP,2x,18 - 200 mm,"JPEG, RAW, JPEG+RAW","Yes, Optical SteadyShot (with Active mode)",,Sony E-Mount Lens,Yes,1/4000 sec,30 sec,11.1x,"Manual Focus Assist ( magnified display, peaking display ), Focus Points (25), Tracking Focus, Focus Sensitivity (0 - 20 EV)","Yes, 10 sec",MPEG4-AVC/H.264 AVCHD,"Auto, Onepush, Outdoor, Indoor, WB Temp","Yes, Primary (RGB) Color filter",,,,Yes,"Yes, HDMI Mini",,,4912 x 3264 Pixels,"Yes, Quad Capsule Spatial Array Microphone for high-quality stereo and 5.1ch sound",,,BIONZ Image Processor,23.5 x 15.6,Exmor APS HD CMOS,"Single Shot, Continuous, Bracket","Yes, Analog Video Output (NTSC)",Yes,,,,,"Yes, Multi-Segment, Touch Spot",,,,,,,,,,,,,,,
"Nikon Coolpix S3400 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.4 (W) - F6.4 (T),,"Yes, Contrast Detect Auto Focus",20.1 MP,Up to 4x (angle of view equivalent to that of 728mm lens in 35mm [135] format),4.7 - 32.9 mm (35 mm Equivalent to 26 - 182 mm),JPEG,"Yes, Electronic VR Image Stabilizer",80 - 3200,NIKKOR Glass Lens,,1/2000 Sec,4 Sec,7x optical Zoom,,"Yes, 10 Sec",,,,Yes,Yes,,Yes,,,"Yes, 5 cm",,,,,,,,"Auto, Scene (Scene auto selector, Portrait, Landscape, Sports, Night portrait, Party/indoor, Beach, Snow, Sunset, Dusk/dawn, Night landscape, Close-up, Food, Museum, Fireworks show, Black and white copy, Backlighting, Panorama assist, Pet portrait), Special effects, Smart portrait",,,,,,,"Yes, Matrix, Center-weighted (digital zoom less than 2x), Spot (digital zoom 2X or more)",,,No,Hindi,,,,,,,,,,26 mm Ultra Wide-angle,
"Nikon D800E (Body Only) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Linear PCM,"Yes, Phase Detect, Multi-Area, Selective Single Point, Tracking, Single, Continuous, Face Detection, Live View",37 MP,,,"NEF (RAW), JPEG, NEF (RAW) JPEG, DCF 2.0, DPOF, EXIF 2.3 ( Fine, Normal & Basic Quality )",No,100 - 25600,Nikon F mount (with AF coupling and AF contacts),Yes,1/8000 sec,30 sec,,"Focal Length Multiplier (1x), No. of Focus Points (51)","Yes, 2 s, 5 s, 10 s, 20 s","MOV, H.264, MPEG-4","Custom White Balance (5), White Balance Presets (12), Auto, Incandescent, Fluorescent, Direct Sunlight, Flash, Cloudy, Shade, Preset Manual can be stored), Color Temperature (2500 K 10000 K), All with Fine-tuning",,"Yes, 1-4 fps (Continuous Low-speed Mode), 4 fps (Continuous high-speed)",,"Yes, Image sensor cleaning, Image Dust Off reference data (requires optional Capture NX 2 software)",Yes,"Yes, Type C Mini HDMI",,Yes,7360 x 4912 Pixels,"Yes, Built-in Monaural",,"Yes, PictBridge 1.0",Expeed 3,Full frame (35.9 x 24 mm),CMOS,,"Yes, Audio Output",Yes,1920 x 1080 pixels at 30 fps,"Yes, Manual pop-up with button release and a Guide Number of 12/39, 12/39 with manual flash (m/ft, ISO 100, 20 C/68 F)","Yes, Hot-shoe, Wireless plus sync connector","Auto, On, Off, Red-eye, Slow sync, Rear curtain, High-speed sync","Yes, Multi-Pattern, Center-Weighted, Average, Spot","Yes, 1/250 sec",,Yes,23,,,,12 m,,,,,,,
"Sony Alpha SLT A58Y (SAL18552 & SAL 55200-2) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),,"Yes, Lock-On, Single-shot, Continuous, Automatic, TTL phase-detection system",20.1 MP,,"SAL 18 - 55 mm, SAL 55 - 200 mm","JPEG (DCF Ver. 2.0, Exif Ver. 2.3, MPF baseline compliant), RAW (Sony ARW 2.3 format), RAW & JPEG","Yes, Image Sensor-Shift mechanism(Images), Electronic (Movies)",100 - 16000,"Sony A-mount lenses, operation with Minolta/Konica Minolta lens",,1/4000 sec,30 sec,,"CCD line sensors, Sensitivity Range (EV -1 to 18), AF Illuminator (built -in, Flash type (Approx. 1m - 5m))",,"AVCHD Ver. 2.0 compliant, MP4","Auto WB, Daylight, Shade, Cloudy, Incandescent, Fluorescent, Flash, C.Tem , C.Filter , Custom","Yes, Primary (RGB) Color filter","Yes, Fine: 7 images, Standard: 8 images, RAW & JPEG: 5 images, RAW: 6 images",Yes,"Yes, Charge protection coating on image sensor and image sensor shift mechanism",,,,,,,,,,,,"Portrait, Landscape, Macro, Sports action, Sunset, Night portrait, Night scene, Hand-held Twilight",,,,"Yes, Built-in, Auto Pop-up",,"Flash off, Autoflash, Fill-flash, Slow Sync, Red-eye reduction (on/off selectable), Rear Sync., Wireless, Hi-speed Sync.","Yes, 1200-zone evaluative metering","Yes, 1/160 sec",,Yes,,,,,,,,,,,,
"Canon Powershot SX160 IS Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.5 (W) - F/5.9 (T),Linear PCM (Stereo),"Yes, TTL",16 MP,4x,5 (W) - 80 (T) mm (35 mm Equivalent to 28 - 448 mm),"JPEG, EXIF 2.3, DCF, DPOF 1.1",,100 - 1600,,Yes,1/3200 sec,15 sec,16x,,"Yes, 2 and 10 sec","MOV, H.264, iFrame","Auto (Including Face Detection WB), Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom","Yes, Primary (RGB) Color Filter","Yes, 8 fps (In P Mode), 2.8 fps (In Low Light Mode)",Yes,,Yes,"Yes, Mini HDMI",,"Yes, 1 50 cm (W)",,"Yes, Stereo","Windows 7 SP1, Windows Vista SP2, Windows XP SP3, MAC OS X 10.6, MAC OS X 10.7",Yes,,,,"Smart Auto (32 Scenes Detected), Program AE, Shutter Priority AE, Aperture Priority AE, Manual, Live View Control, SCN, Creative Filters, Discreet, Movie","Yes, Audio / Video Output (NTSC, PAL)",Yes,1280 x 720 pixels,,,,,,,Yes,30,,,111 (W) x 72.5 (H) x 44.1 (D) mm,,,,Point & Shoot,,"243 g (Body Only), 291 g (with Battery and SD Memory Card)",28 mm Wide-angle,
"Sony Alpha ILCE A5000 (16-50mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),,"Yes, Contrast Detect, Center, Multi-Area, Selective Single Point, Tracking, Single, Continuous, Face Detection, Live View",20.1 MP,2x,16 - 50 mm (35 mm Equivalent to 24 - 77 mm),"JPEG (DCF Ver. 2.0, Exif Ver. 2.3, MPF baseline compliant), RAW (Sony ARW 2.3 format)",No,100 - 16000,Sony E (NEX),Yes,1/4000 sec,30 sec,3x,"No. Of Focus Points (25), Focal Length Multiplier (1.5x), Tilting Articulated LCD, Live View, Filter Diameter (40.5 mm), Optical SteadyShot Lens Image Stabilization, Magnification (0.215x), Lens Construction ( 8 groups, 9 elements (4 aspheric surfaces)), Min. Aperture (f/22 - F32), Aspheric Elements(1 ED element, 3 aspheric elements), 3x Optical & 4x Digital Zoom","Yes, 2 or 10 sec, Custom",AVCHD / MP4 (MPEG-4 AVC (H.264)),"White Balance Presets (9), Custom White Balance","Yes, Primary (RGB) Color filter","Yes, Continuous mode: 2.5 fps, Speed Priority Continuous mode: 3.5 fps",Yes,"Yes, Charge protection coating on Low-Pass Filter and electromagnetic vibration mechanism",Yes,"Yes, Micro HDMI, Type D",,Yes,5456 x 3632 Pixels,"Yes, Built-in Stereo Microphone","PlayMemories Home, Image Data Converter Version 4",Yes,BIONZ X Image Processing Engine,23.2 x 15.4 mm,Exmor APS HD CMOS sensor,"Scene Modes (Portrait, Landscape, Macro, Sports Action, Sunset, Night Portrait, Night View, Hand-held Twilight, Anti Motion Blur), Creative Style (Standard, Vivid, Portrait , Landscape, Sunset, Black & White Contrast, Saturation, Sharpness)",,Yes,,,,,"Yes, Multi-Pattern, Center-Weighted, Spot",,,Yes,,Yes,,,,,,,,,,
"Panasonic Lumix DMC G5W (14-42mm & 45-150mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),AAC,"Yes, Contrast Detect, Single, Continuous, Face Detection, AF Assist Lamp, AF Lock, Quick AF, Touch Shutter, Touch Manual Focus Assist",18.3 MP,2x 4x,45 - 150 mm (35 mm Equivalent to 90 - 300 mm),"JPEG(DCF, Exif 2.3), RAW","Yes, Mega Optical Image Stabilizer",160 - 12800,LUMIX G VARIO,Yes,1/4000 sec,60 sec,,Focal Length Multiplier (2x),"Yes, 2 or 10 sec",AVCHD,"Auto, Daylight, Cloudy, Shade, Incandescent, Flash, White Set 1, 2, Color temperature setting, White Balance Adjustment ( Blue/amber bias, Magenta/green bias )","Yes, Primary (RGB) Color filter",,,"Yes, Supersonic Wave Filter",Yes,"Yes, Mini HDMI, Type-C",,,,"Yes, Built-in Stereo",PHOTOfunSTUDIO 8.2 PE / SILKYPIX Developer Studio 3.1SE / LoiLoScope (trial version) / USB Driver,"Yes, PictBridge 1.0",,,,Clear Portrait / Silky Skin / Backlit Softness / Clear in Backlight / Relaxing Tone / Sweet Child's Face / Distinct Scenery / Bright Blue Sky / Romantic Sunset Glow / Vivid Sunset Glow / Glistening Water / Clear Nightscape / Cool Night Sky / / Warm Glowing Nightscape / Artistic Nightscape / Glittering Illuminations / Clear Night Portrait / Soft Image of a Flower / Appetizing Food / Cute Dessert / Freeze Animal Motion / Clear Sports Shot / Monochrome,"Yes, Analog Video Output (NTSC, PAL)",Yes,,,,,"Yes, Intelligent Multiple, Center-Weighted, Spot","Yes, 1/160 sec",,Yes,3,,,,,,,,,,,
"Olympus VG180 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/2.8 - F/6.5,WAV,"Yes, TTL Auto Focus",16 MP,4x,4.7 - 23.5 mm (35 mm Equivalent to 26 - 130 mm),"JPEG, DCF, EXIF 2.3, DPOF",,100 - 1600,Olympus Lens,,1/2000 sec,1/4 sec,5x,,"Yes, 2 and 12 sec",AVI Motion JPEG,"Auto, Preset (Overcast, Sunlight, Tungsten, Flourescent 1)","Yes, Primary (RGB) Color Filter",,Yes,,Yes,,,"Yes, 5 cm",,,,,,,,"Intelligent Auto, Programme Automatic",,,,,,,,,,Yes,40,,,95.4 (W) x 58.2 (H) x 21.0 (D) mm,,,,Point & Shoot,,122 g (with Battery and SD Meomry Card),26 mm Wide-angle,
"Sony DCR SD1000E Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Dolby Digital (2 ch),,7.1 MP,160x,,,"Yes, Optical SteadyShot Image Stabilization with Active Mode",,Sony G Lens,,,,12x,"Large Lens Ring Controls, Filter Diameter (37mm)",,MPEG2-PS,,,,,,Yes,,04:03,,3072 x 2304 Pixels,,,,BIONZ,1/4.0 inch,Exmor R CMOS Image Sensor,,,,,,,,,,,,,,,,,,,,,,,
"Nikon D5100 (18-55 mm & 35mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),Linear PCM,"Yes, TTL phase detection,11 focus points",16.2 MP,,18 - 55 mm (35 mm Equivalent to 27 - 82.5 mm),"JPEG ( Fine, Normal, Basic Quality )",No,100 - 25600,Nikon F mount,Yes,1/4000 sec,30 sec,,"Focal Length Multiplier (1.5x), No. Of Focus Points(11), Focus Modes ( Auto Focus, Single Serve AF, Continuous Servo AF, Auto AF-S/AF-C selection, Manual Focus","Yes, 2, 5, 10 and 20 sec",MPEG-4,"White Balance Presets (12), Custom White Balance (5), Auto (TTL white-balance with main image sensor and 420-pixel RGB sensor), Incandescent, Fluorescent ( 7 types ), Direct Sunlight, Flash, Cloudy, Shade, preset manual",,"Yes, 4 fps",Yes,,Yes,"Yes, HDMI Mini Type C",,No,4928 x 3264 Pixels,"Yes, Mono",,,Expeed 2,APS-C (23.6 x 15.7 mm),CMOS,"Single frame, Continuous: 4fps, Self-timer, Delayed remote, Quick-response remote, Silent shuttle release, D-Movie.","Yes, Audio / Video Output",Yes,1920 x 1080 pixels,"Yes, Pop Up","Yes, Hot-shoe","Fill-flash, slow sync, auto slow sync, red-eye reduction, auto with red-eye reduction, slow sync with red-eye reduction, auto slow sync with red-eye reduction, rear-curtain sync, rear-curtain with slow sync`","Yes, Multi-Pattern, Center-Weighted, Spot","Yes, 1/200 sec",,Yes,22,,,,,,,,,,,
"Fujifilm Instax mini 25 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,,,,,60 mm,,,,Fujinon Lens,Yes,,,,Focus Range (0.6m - Infinity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon EOS 600D (18-55 mm IS) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),Linear PCM,"Yes, Phase Detect, Contrast Detect, Multi-Area, Selective Single Point, Single, Continuous, Face Detection, Live View.",18.0 MP,3-10x,18 - 55 mm (35 mm Equivalent to 27 - 88 mm),JPEG,No,100 - 12800,Canon EF/EF-S,Yes,1/4000 sec,30 sec,,"Focal Length Multiplier (1.6x), No. Of Focus Points (9), Filter Diameter (67 mm)","Yes, 2 or 10 sec","MPEG-4, H.264, MOV","Auto, Preset (Daylight, Shade, Cloudy, Tungsten light, White fluorescent light, Flash), Custom White balance correction and white balance bracketing features provided",,"Yes, 4 fps",Yes,"Yes, Auto, Manual, Dust Delete Data appending",Yes,"Yes, Mini HDMI, Type-C",,,5184 x 3456 Pixels,"Yes, Built-in monaural microphone",,"Yes, PictBridge-compatible printers, DPOF Version 1.1",DIGIC 4,22.3 x 14.9 mm,CMOS,"Auto, Standard, Portrait, Landscape, Neutral, Faithful, Monochrome, User Def. 1 - 3","Yes, Analog Video Output (NTSC, PAL)",Yes,,"Yes, Retractable, auto pop-up flash","Yes, Hot-shoe, Wireless plus Sync connector","Auto, On, Off, Red-eye","Yes, Multi-Segment, Center-Weighted, Spot, Partial","Yes, 1/200 sec","Yes, Optical Pentamirror Viewfinder, Coverage (95%), Magnification (0.85x), Live View, Fully Articulated LCD, Eye Point (19 mm), Built-in dioptric adjustment, Fixed & Precision Matte Focussing Screen, Quick-return type Mirror",,25,Yes,,,,,,,,,17 mm Ultra Wide-angle,
"Nikon CoolPix A Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/2.8,Linear PCM Stereo,"Yes, Contrast Detect AF",16.2 MP,,35 mm Equivalent to 28 mm,"JPEG, EXIF 2.3, RAW, DCF, DPOF",,100 - 25600,NIKKOR Lens,Yes,1/2000 sec,30 sec,,,"Yes, 2, 5, 10 and 20 sec","MOV, H.264 / MPEG-4 AVC","Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Preset Manual","Yes, Primary (RGB) Color Filter","Yes, 4 fps",Yes,,,,,"Yes, 10 cm",,,"Windows 8, Windows 7, Windows Vista, Windows XP, Mac OS X 10.6, 10.7, or 10.8",,,,,"Auto, Scene (Portrait, Landscape, Child, Sports, Close-up, Night Portrait, Night Landscape, Party / Indoor, Beach / Snow, Sunset, Dusk / Dawn, Pet Portrait, Candlelight, Blossom, Autumn Colors, Food, Silhouette, High Key, Low Key), Program, Small, Manual, User Settings (U1, U2)",,,1920 x 1080 pixels at 30 fps,Yes,Yes,"Auto, Auto with Red-eye Reduction, Fill-in, Slow Sync with Red-eye Reduction, Slow Sync",,,,Yes,21,,,111.0 (W) x 64.3 (H) x 40.3 (D) mm,0.5 - 11.5 m,,,Advance Point and shoot,,299 g (with Battery and Memory Card),18.5 mm Wide-angle,
