<page title>,camera type,color,display size,flash type,megapixels,optical sensor size,optical sensor type,returns policy,shooting modes,warranty labor,warranty parts,35mm equivalent focal length max,35mm equivalent focal length min,optical viewfinder type,contents,portsconnectors,power notes,actual weight,memory notes,physical dimensions,warranty details,audio input type,battery technology,digital video format,display form factor,display technology,flash memory form factor,light sensitivity,red eye reduction,shutter speed,still image format,video input type,battery run time max,digital zoom,optical zoom,focal length max,focal length min,special effects,compatibility notes,lens aperture,storage capacity,weight
"Buy Nikon COOLPIX S800c Android Digital Camera, 16MP, 10x Zoom, Cameras - Digital - Point & Shoot 26358 today at PC Connection",Compact,Black,3.5 in,Built-in flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Snow Pet portrait Night landscape Landscape Fireworks Show Sports Black and white copy Smart portrait Food Beach Back light Party/Indoor Portrait Panorama assist Sunset Close-up Dawn/Dusk Night Portrait,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7 GB,
"Buy Olympus OM-D E-M5 Mirrorless Micro Four Thirds Digital Camera, Cameras - Digital - Point & Shoot V204041BU030 today at PC Connection",Mirrorless system,Black,3 in,Detachable flash,16.1 megapixel(s),"4/3""",Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Children 3D image Wide converter Fireworks Show Night scene Landscape + Portrait Documents Portrait Macro converter Underwater macro Anti-shake Panorama assist Sports Low key Candle Landscape Sunset E-portrait Macro Fisheye converter Nature macro Night Portrait Underwater wide Beach/snow High key,Call for Warranty,Call for Warranty,84.00 mm,28.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Vista Quest Action Cam 2.4"" LCD 1080P Silver Cameras - Digital - Point & Shoot HPAC100SLV today at PC Connection",,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus E-PL2 Digital Camera 14-42mm Kit, 12.3MP, Red Cameras - Digital - SLR 262916 today at PC Connection",Mirrorless system,Red,3 in,Pop-up flash,12.3 megapixel(s),13.0 x 17.3mm,High Speed Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Candle Beach/snow Wide converter Nature macro Macro converter Low key High key Fisheye converter E-portrait Anti-shake Sunset Sports Portrait Panorama assist Night scene Macro Night Portrait Landscape Landscape + Portrait Children Fireworks Show Document,1 Year,1 Year,84.00 mm,28.00 mm,,,,,,,,,Microphone,,,,,,,,,,,,,,,,,,,,
"Buy Nikon J3 Interchangable Lens Digital Camera, 14.2MP, White with Cameras - Digital - SLR 27648 today at PC Connection",Mirrorless system,White,3 in,Pop-up flash,14.2 megapixel(s),13.2 x 8.8mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Portrait Night landscape Night Portrait Close-up Landscape,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Olympus Premium Edition Bundle OM-D E-M5 Mirrorless Digital Cameras - Digital - Point & Shoot V204040BU020 today at PC Connection,Mirrorless system,,3 in,Detachable flash,16.1 megapixel(s),"4/3""",Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Beach/snow Portrait Landscape + Portrait Night Portrait 3D image Fireworks Show Fisheye converter Low key Sunset Underwater macro Anti-shake Documents E-portrait Panorama assist Candle High key Landscape Night scene Sports Underwater wide Nature macro Macro converter Macro Wide converter Children,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Fujifilm X20 Digital Camera, 12MP, 4x Zoom, Black Cameras - Digital - Point & Shoot 16314740 today at PC Connection",Compact,Black,2.8 in,Pop-up flash,12 megapixel(s),"2/3""",X-Trans CMOS II,This product is subject to our return policy. Please see our complete return policy for details.,Snow Underwater Text Pro focus Landscape Beach Sunset Pro low light Party/Indoor Night (tripod) Flower Motion panorama 360 Portrait enhancer Sports Fireworks Show Portrait,1 Year,1 Year,112.00 mm,28.00 mm,Real-image,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Nikon WR-10 Wireless Remote Controller Set Cameras - Digital - Point & Shoot 27106 today at PC Connection,,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus PEN E-PL7 Mirrorless Micro Four Thirds Digital Camera, Cameras - Digital - SLR V205070SU000 today at PC Connection",Mirrorless system,Silver,3 in,Detachable flash,16.1 megapixel(s),13.0 x 17.3mm,Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Sports Portrait 3D image Fisheye converter Panning Night scene Night Portrait Auto-panorama E-portrait Wide converter Nature macro Beach/snow Macro converter Landscape Fireworks Show Candle Macro Children Low key Landscape + Portrait Handheld starlight Documents High key Sunset,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Vista Quest Digital Camera, 14MP, 36x Zoom Cameras - Digital - Point & Shoot HPD3500 today at PC Connection",Compact,Black,3 in,Pop-up flash,14.14 megapixel(s),"1/2.3""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,,1 Year,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Fujifilm FinePix AX660 Camera, 16MP, 5X Zoom, Black Cameras - Digital - Point & Shoot 16278049 today at PC Connection",Compact,Black,2.7 in,Built-in flash,16 megapixel(s),"1/2.3""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Baby Landscape Sunset Natural Light Flower Beach Sports Fireworks Show Snow Party/Indoor Portrait Smile shot Night (tripod) Motion panorama Text,Call for Warranty,Call for Warranty,165.00 mm,33.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus E-P5 PEN Mirrorless Digital Camera, White Cameras - Digital - SLR V204050WU000 today at PC Connection",Mirrorless system,White,3 in,Pop-up flash,16.1 megapixel(s),13.0 x 17.3mm,Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Candle Underwater macro Fireworks Show Landscape + Portrait Fisheye converter 3D image E-portrait Underwater wide Sunset Macro Night scene Documents Macro converter Beach/snow Sports Children Night Portrait Low key Portrait Wide converter High key Panorama assist Nature macro Landscape,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Fujifilm FinePix XP70 Camera, 16MP, 5X Zoom, Yellow Cameras - Digital - Point & Shoot 16409856 today at PC Connection",Compact,Yellow,2.7 in,Built-in flash,16.4 megapixel(s),"1/2.3""",CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Beach Night (tripod) Underwater macro Pro low light Flower Dynamic Range (HDR) Text Underwater Sunset Sports Snow Portrait Party/Indoor Natural Light Landscape,Call for Warranty,Call for Warranty,140.00 mm,28.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon CoolPix S02, Pink Cameras - Digital - Point & Shoot 26433 today at PC Connection",Compact,Pink,2.7 in,Built-in flash,13.2 megapixel(s),"1/3.1""",CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Backlight correction HDR Portrait Landscape Handheld night shot Night Portrait Night landscape Close-up Back light,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3 GB,
"Buy Fujifilm FinePix XP100 Digital Camera, 14MP CMOS, Green Cameras - Digital - Point & Shoot 16229799 today at PC Connection",Compact,Green,2.7 in,Built-in flash,14.4 megapixel(s),"1/2.3""",CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Text Beach Portrait enhancer Snow Flower Party/Indoor Landscape Night Portrait Portrait Sports Sunset Underwater Macro Natural Light Underwater wide Night (tripod) Backlight portrait Dynamic Range (HDR) Underwater macro Pro low light Motion panorama,Call for Warranty,Call for Warranty,140.00 mm,28.00 mm,,,,,,,,,Microphone,,,,,,,,,,,,,,,,,,,,
"Buy Nikon CoolPix S02, Silver Cameras - Digital - Point & Shoot 26431 today at PC Connection",Compact,Silver,2.7 in,Built-in flash,13.2 megapixel(s),"1/3.1""",CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Portrait Night Portrait Landscape Night landscape Close-up Back light Backlight correction HDR Handheld night shot,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3 GB,
"Buy Olympus Mirrorless Micro Four Thirds Digital Camera, Black with Cameras - Digital - Point & Shoot V207021BU000 today at PC Connection",Mirrorless system,Black,3 in,Pop-up flash,16.1 megapixel(s),"4/3""",Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,E-portrait Beach/snow Fireworks Show Macro Portrait Underwater Wide converter Night Portrait Digital IS Sports Macro converter Panorama assist High key Sunset Low key Fisheye converter Night scene Landscape Candle Landscape + Portrait Documents Nature macro 3D image Handheld starlight Children,Call for Warranty,Call for Warranty,84.00 mm,28.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus Stylus TOUGH TG-3 Digital Camera, 16MP, Black Cameras - Digital - Point & Shoot V104140BU000 today at PC Connection",Compact,Black,3 in,Built-in flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Landscape Microscopic macro Indoor E-portrait Handheld starlight Underwater wide1 Sports Panorama assist Beach/snow Sunset Snow Portrait Backlight correction HDR Underwater snapshot Fireworks Show Night Portrait Self Portrait Documents Underwater wide2 Underwater macro Cuisine Night scene,Call for Warranty,Call for Warranty,100.00 mm,25.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Nikon D800E FX-Format Camera Body                                Cameras - Digital - SLR 25498 today at PC Connection,SLR camera,,3.2 in,Pop-up flash,36.3 megapixel(s),24 x 35.9mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,Eye-Level Penta Prism,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus VH-520 iHS Digital Camera, 14MP, 10x Zoom, White Cameras - Digital - Point & Shoot V108060WU000 today at PC Connection",Compact,White,3 in,Built-in flash,14 megapixel(s),"1/2.3""",CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Self Portrait Panorama assist Documents Night scene Backlight correction HDR Indoor Cuisine Sports Handheld starlight Beach/snow,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Samsung WB2100F Digital Camera, 16.2MP, 35x Zoom, Red Cameras - Digital - Point & Shoot EC-WB2100BPRUS today at PC Connection",Point & Shoot / Zoom camera,Red,3 in,Pop-up flash,16.2 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Portrait Backlight portrait Night Portrait Macro text Blue sky Night Natural green Action Back light Macro Macro color Sunset Landscape,1 Year,1 Year,875 mm,25 mm,,"Camera, battery, documentation",(1) USB 2.0,Battery: SLB-10A Lithium-Ion,,,"3.3""h x 4.7""w x 2.2""d",,,Lithium ion,,,LCD,,,,1/8 - 1/2000 8 - 1/2000 1 - 1/2000,,,,,3 X,152.48 mm,4.62 mm,,"Telephoto Zoom, 25mm F2.5 Lens:
What if you could be anywhere you wished to go? Now you can be there when the winning goal hits the back of the net. Or get a front-row view of the school play—from any seat in the house. The Samsung WB2100 Camera’s 35x optical zoom telephoto lens delivers crisp detail and sharp focus every time, putting you in the middle of the action no matter where it’s happening.
3” Tilt LCD Screen:
See life from a whole new angle and add excitement to your images. The Samsung WB2100 Camera’s 3.0""(75mm) Tilt Display offers a full 135-degree range of motion. So now you can easily frame and capture a low-angle image from the best position—or even hold the camera over a crowd and still see exactly what you’re getting.
Low light Shot:
Show your subject in the best possible light—in moonlight, candlelight, or practically no light at all. Low-Light Shot mode takes three continuous shots, and then merges them all into one clear, bright image with minimal blur or noise.
16MP CMS Sensor:
Trust your equipment and shoot with confidence. The super-fast, super-sensitive 16-megapixel BSI (back side–illuminated) CMOS sensor needs less light for proper exposure and quicker focus than conventional sensors. So even if a moment happens in a heartbeat, or is lit only by the reflected glow of the moon, with the Samsung WB2100 Camera, your photos will be sure to match your memories.
Optical Image Stabilization:
The Samsung WB2100 Camera’s Optical Image Stabilization (OIS) gives your images crisp focus, even if you’re not perfectly still. Shoot with confidence in any condition to experience photos that come out sharp and clear—in low-light situations, when zooming in for a shot, or while you’re on the move.
Panorama Shot:
Don’t be limited to landscapes or group portraits when taking panoramic shots with a wide-angle lens. Simply aim the camera with the shutter pressed fully down and then release when you’re ready to take the shot. Once the shots have been taken, Samsung’s proprietary panoramic technology automatically searches for motion borders of the two images and stitches them together as if a professional had taken the shot.
Full HD Recording with Movie Zoom:
The Samsung WB2100 Camera’s 35x optical wide zoom capability delivers smooth Full HD 1080/60i video and amazing low-light performance. And Movie Zoom automatically adjusts and optimizes sound settings—while eliminating motor “whir”—to give you crystalclear audio performance, too. And with an advanced HDMI interface, the WB2100 is one camera that works hard and plays well with others.
Rich Tone:
Capture the blazing light and subtle depth of a sunset over water. With Rich Tone (HDR), the Samsung WB2100 Camera offers a greater range of luminance, so shadows aren’t too dark and highlights aren’t oversaturated. The result: perfect exposure in all areas, and vibrant details that pop.",,,
"Buy Nikon S1 Interchangable Lens Digital Camera, 10.1MP, White with Cameras - Digital - SLR 27618 today at PC Connection",Mirrorless system,White,3 in,Pop-up flash,10.1 megapixel(s),13.2 x 8.8mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Back light Soft Night Portrait Night landscape,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus OM-D E-M10 Mirrorless Micro Four Thirds Digital Camera, Cameras - Digital - Point & Shoot V207020BU000 today at PC Connection",Mirrorless system,Black,3 in,Pop-up flash,16.1 megapixel(s),"4/3""",Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Wide converter Nature macro Children Macro converter Low key High key Handheld starlight E-portrait Digital IS 3D image Beach/snow Documents Underwater Sunset Sports Portrait Panorama assist Night scene Macro Landscape Night Portrait Fireworks Show Candle Fisheye converter Landscape + Portrait,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon J3 Interchangable Lens Digital Camera, 14.2MP, Red with 10 Cameras - Digital - SLR 27639 today at PC Connection",Mirrorless system,Red,3 in,Pop-up flash,14.2 megapixel(s),13.2 x 8.8mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Close-up Landscape Night Portrait Portrait Night landscape,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Olympus E-P5 PEN Mirrorless Digital Camera with 17mm f 1.8 Lens Cameras - Digital - SLR V204053BU000 today at PC Connection,Mirrorless system,Black,3 in,Pop-up flash,16.1 megapixel(s),13.0 x 17.3mm,Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Sunset Macro converter Nature macro High key E-portrait Documents Low key Macro Wide converter Panorama assist Fireworks Show Children Night scene Beach/snow Night Portrait Landscape Landscape + Portrait Underwater macro Candle Portrait Fisheye converter Sports Underwater wide 3D image,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Nikon WR-R10 Wireless Remote Transceiver Cameras - Digital - Point & Shoot 27105 today at PC Connection,,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Olympus PEN E-PL7 Mirrorless Micro Four Thirds Digital Camera Cameras - Digital - SLR V205071SU000 today at PC Connection,Mirrorless system,Silver,3 in,Detachable flash,16.1 megapixel(s),13.0 x 17.3mm,Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Fireworks Show Beach/snow Nature macro 3D image Handheld starlight Landscape + Portrait Panning Night scene Children Low key Sunset Macro E-portrait Sports High key Fisheye converter Macro converter Night Portrait Portrait Documents Candle Auto-panorama Wide converter Landscape,Call for Warranty,Call for Warranty,84.00 mm,28.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus E-P5 PEN Mirrorless Digital Camera, Black Cameras - Digital - SLR V204050BU000 today at PC Connection",Mirrorless system,Black,3 in,Pop-up flash,16.1 megapixel(s),13.0 x 17.3mm,Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Underwater wide Nature macro Macro converter Sunset Children Underwater macro Documents Low key Fisheye converter High key E-portrait Sports Landscape + Portrait 3D image Wide converter Fireworks Show Macro Portrait Night scene Panorama assist Night Portrait Beach/snow Candle Landscape,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Fujifilm XF1 Digital Camera, 12MP, 4x Zoom, Black Cameras - Digital - Point & Shoot 16270877 today at PC Connection",Compact,Black,3 in,Pop-up flash,12 megapixel(s),"2/3""",EXR-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Portrait enhancer Party/Indoor Beach Text Fireworks Show Night (tripod) Landscape Natural Light Portrait Flower Snow Sports Underwater Sunset,Call for Warranty,Call for Warranty,100.00 mm,25.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.200 oz
Buy Olympus PEN E-PL7 Mirrorless Micro Four Thirds Digital Camera Cameras - Digital - SLR V205071BU000 today at PC Connection,Mirrorless system,Black,3 in,Detachable flash,16.1 megapixel(s),13.0 x 17.3mm,Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Panning Macro Wide converter Landscape Nature macro Low key Handheld starlight Night scene Fisheye converter E-portrait Sports Landscape + Portrait Portrait Fireworks Show Documents Children Auto-panorama Night Portrait Macro converter Sunset Candle 3D image Beach/snow High key,Call for Warranty,Call for Warranty,84.00 mm,28.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Canon EOS 6D Digital SLR Camera, 20.2MP (Body Only) Cameras - Digital - SLR 8035B002 today at PC Connection",SLR camera,,3 in,,20.2 megapixel(s),23.9 x 35.8mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Close-up Landscape Backlight correction HDR Night Portrait Portrait Sports Handheld night shot,1 Year,1 Year,,,Eye-Level Penta Prism,"Camera Body, Body Caps, Eyecup Eb, Battery Pack, Battery Charger, Stereo A/V Cable, Neck Strap, USB Interface Cable, Software, Documentation","AV stereo OUT terminal: NTSC/PAL selectable
Mini-HDMI OUT terminal (Type C)
USB 2.0 Hi-Speed",One Battery Pack LP-E6,26.70 oz,,"4.4""h x 5.7""w x 2.8""d",THIS WARRANTY DOES NOT COVER ANY ACCESSORIES.,,,,,,,,,,,,,,,,,,,,,
"Buy Fujifilm FinePix S9200W Camera, 16MP, 50X Zoom, Black Cameras - Digital - Point & Shoot 16408254 today at PC Connection",Compact,Black,3 in,Pop-up flash,16.2 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Natural Light Landscape Sunset Smile shot Sports Zoom bracketing Baby Portrait Party/Indoor Fireworks Show Panorama assist Text Night (tripod) Snow Flower Beach,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus SP-100 Digital Camera, 16MP, 50x Zoom, Black Cameras - Digital - Point & Shoot V103070BU000 today at PC Connection",Compact,Black,3 in,Pop-up flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Night Portrait Beach/snow Fireworks Show Documents Cuisine E-portrait Handheld starlight Backlight correction HDR Sunset Super Macro Self Portrait Sports Panorama assist Portrait Landscape Night scene Indoor,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Pentax WG-M1 Waterproof Shockproof Digital Camera, 14MP, Orange Cameras - Digital - Point & Shoot 08288 today at PC Connection",,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Canon PowerShot ELPH 135 Camera, 16MP, Red Cameras - Digital - Point & Shoot 9156B001 today at PC Connection",Compact,Red,2.7 in,Built-in flash,16 megapixel(s),"1/2.3""",CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Auto mode Low light Snow Poster effect Super vivid Toy camera effect Fisheye effect Digital IS Miniature effect Portrait,1 Year,1 Year,224 mm,28 mm,,"camera, battery pack, battery charger, wrist strap, documentation",,Battery: NB-11L Rechargeable Lithium-Ion,4.50 oz,,"2.1""h x 3.7""w x 0.9""d",,,Lithium ion,,Built-in,LCD,SDXC Card SDHC Card SD Card,,,1 - 1/2000,,,,4 X,8 X,40 mm,5 mm,,"8x Optical Zoom helps ensure outstanding optical performance and versatility.
16.0 Megapixel sensor combined with the DIGIC 4+ Image Processor for outstanding performance.
Shoot 720p HD video with a dedicated movie button.
Smart AUTO intelligently selects the proper camera settings based on 32 predefined shooting situations.
Digital IS helps reduce the effect of camera shake and subject movement.
Scene Modes such as Fisheye Effect, Toy Camera Effect and Monochrome provide creative freedom to capture your photos.
ECO Mode helps reduce power consumption for longer battery life.
Help Button provides simple explanations and easy control of your settings.",,,
"Buy Fujifilm FinePix XP55 Digital Camera, 5x Zoom, Blue Cameras - Digital - Point & Shoot 16234031 today at PC Connection",,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus PEN E-PL7 Mirrorless Micro Four Thirds Digital Camera, Cameras - Digital - SLR V205070BU000 today at PC Connection",Mirrorless system,Black,3 in,Detachable flash,16.1 megapixel(s),13.0 x 17.3mm,Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Auto-panorama Candle Wide converter Nature macro Macro converter Low key High key Handheld starlight Fisheye converter 3D image E-portrait Children Documents Sunset Sports Portrait Beach/snow Panning Night scene Night Portrait Macro Landscape + Portrait Landscape Fireworks Show,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Canon Powershot G16 Camera, 12.1MP, Black Cameras - Digital - Point & Shoot 8406B001 today at PC Connection",Point & Shoot camera,Black,3 in,Pop-up flash,12.1 megapixel(s),"1/1.7""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Poster effect Portrait Toy camera effect Snow Underwater Smart shutter High dynamic Miniature effect Soft focus Handheld night shot Smooth skin Fisheye effect,1 Year,1 Year,140 mm,28 mm,Real-image zoom,"camera, battery, battery charger, neck strap, documentation","(1) USB 2.0
(1) HDMI Mini",Battery: NB-10L Lithium-Ion,11.10 oz,,"3""h x 4.3""w x 1.6""d",,,Lithium ion,,,LCD,SDHC Card SDXC Card SD Card,,,15 - 1/4000 1 - 1/4000,,,,4 X,5 X,30.5 mm,6.1 mm,,"New to the G-Series, built-in Wi-Fi allows you to wirelessly transfer your images with ease to social networking sites through CANON iMAGE GATEWAY, to a PC, or upload virtually anywhere on your iOS or Android device with the free download of the Canon CameraWindow app.
12.1 Megapixel High-Sensitivity CMOS sensor combined with Canon's powerful DIGIC 6 Image Processor creates the Canon HS SYSTEM for outstanding low-light performance up to ISO 12800, enhanced image quality, and ultra-fast operation.
Capture stunning 1080p/60p Full HD video for lifelike images and convenient playback on an HDTV via the HDMI output. Record at 60 frames per second for even more detailed, superb results in MP4 format.
5x Optical Zoom (28mm-140mm) and a bright f/1.8 (W) - f/2.8 (T) lens enables you to capture more in your frame, and is ideal for low-light conditions or using shallow depth-of-field for dramatic, soft backgrounds.
High Speed AF greatly improves focus speed. Paired with continuous shooting speeds of up to 9.3 fps and the removal of buffer time, you can get your best shot in full resolution.
Intelligent IS automatically chooses from six different modes to optimize image stabilization for shake-free images in a wide variety of conditions.
Multi aspect RAW enables you to shoot uncompressed RAW images in various frame ratios to suit the intended use of the image.
Compatible with Canon Speedlite flashes and a variety of EOS System accessories for additional creative options.
HDR scene mode combines multiple shots into one picture, capturing a greater dynamic range between the lightest and darkest areas of an image to provide greater detail. New artistic sub-modes such as Art Bold and Art Vivid unlock new opportunities for creativity.
Shoot breathtaking images and video of the stars with new star shooting modes designed to better capture the brilliance and wonder of the night sky.",,,
"Buy Fujifilm FinePix S9200 Camera, 16MP, 50X Zoom, Black Cameras - Digital - Point & Shoot 16407743 today at PC Connection",Compact,Black,3 in,Pop-up flash,16.2 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Text Landscape Smile shot Sunset Sports Portrait Panorama assist Flower Beach Zoom bracketing Party/Indoor Fireworks Show Night (tripod) Natural Light Baby Snow,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Nikon WR-T10 Wireless Remote Controller Cameras - Digital - Point & Shoot 27104 today at PC Connection,,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Fujifilm XF1 Digital Camera, 12MP, 4x Zoom, Red Cameras - Digital - Point & Shoot 16270889 today at PC Connection",Compact,Red,3 in,Pop-up flash,12 megapixel(s),"2/3""",EXR-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Party/Indoor Landscape Flower Fireworks Show Beach Underwater Text Sunset Sports Snow Portrait enhancer Natural Light Night (tripod) Portrait,Call for Warranty,Call for Warranty,100.00 mm,25.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.200 oz
Buy Canon EOS 5D Mark III DSLR Camera with EF 24-70mm Lens Cameras - Digital - SLR 5260B054 today at PC Connection,SLR camera,Black,3.2 in,,22.3 megapixel(s),24 x 36mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,,1 Year,1 Year,,,Eye-Level Penta Prism,"camera, 24-70mm f/4L USM lens, lens cap, rear lens cap, lens hood, soft lens case, battery pack, stereo AV cable, Eyecup Eg, camera cover, USB cable, neck strap, documentation","(1) Mini HDMI
(1) USB 2.0
(2) 3.5mm audio
(1) AV out",Battery: LP-E6 Lithium Ion,30.30 oz,,"4.6""h x 6""w x 3""d",,,Lithium ion,,,LCD,CompactFlash Card SDXC Card SD Card SDHC Card,,,30 - 1/8000,,,,,,70 mm,24 mm,,"Newly designed 22.3 Megapixel full-frame CMOS sensor, 14-bit A/D conversion, wide range ISO setting 100-25600 (L:50, H1: 51200, H2: 102400) for shooting from bright to dim light and next generation DIGIC 5+ Image Processor for enhanced noise reduction and exceptional processing speed.
New 61-Point High Density Reticular AF including up to 41 cross-type AF points with f/4.0 lens support and 5 dual diagonal AF points (sensitive to f/2.8) and cross-type AF support at f/8 (center point).
iFCL Metering with 63 zone dual-layer metering sensor that utilizes AF and color information for optimizing exposure and image quality.
EOS HD Video with manual exposure control and multiple frame rates (1080: 30p (29.97) / 24p (23.976) / 25p, 720: 60p (59.94) / 50p, 480: 30p (29.97) / 25p with 4 GB automatic file partitioning (continuous recording time 29 minutes 59 seconds), selectable ""All i-frame"" or IPB compressions, embedded timecode, manual audio level control while recording, headphone terminal and uncompressed HDMI output.
Outstanding shooting performance: up to 6.0 fps continuous shooting using a UDMA CF card.
Magnesium-alloy body with shutter durability tested up to 150, 000 cycles, enhanced dust-and-weather resistance, and updated EOS Integrated Cleaning system for improved vibration-based dust removal.
Intelligent Viewfinder with superimposed LCD display with approximately 100% field of view, wide viewing angle of 34.1°, and 0.71x magnification.
3.2-inch Clear View II LCD monitor, 170° viewing angle, 1, 040, 000-dot VGA, reflection resistance with multi coating and high-transparency materials for bright and clear viewing.
High Dynamic Range (HDR) and Multiple Exposure modes expand creative possibilities.
Improved handling with the addition of new customizable controls, enhanced recording options with Dual Card Slots for CF and SD cards, Dual Axis Electronic Level, and compatibility with optional Canon Wireless File Transmitter and GPS Receiver.",F/4.0,,
