<page title>,ac power adapter,additional zoom,approx resolution,aspect ratio,battery,builtin flash,builtin memory,burst rate,camera type,canon pixma pro1 pro10 or pro100 printer,colour,connectivity,digital point and shoot camera,digital zoom,display screen type,effective pixels,exposure modes,external flash connection,file formats,flash modes,focus range,image stabilization,iso sensitivity,lens,memory card type,metering method,operatingstorage temperature,optical zoom,remote control,screen size,self timer,sensor typesize,shutter,viewfinder type,warranty,white balance modes,1 star,2 star,3 star,4 star,5 star,dustproof,shockproof,waterproofing,aperture,dimensions,exposure compensation,exposure control,flash,lcd monitor,shooting modes,shutter speed,weight,dimensions wxhxd,angle of view,aperture max min,audio recording,autofocus,camera mount type,diaphragm blades,dimensions dxl,file size,filter thread,focal length,format compatibility,groupselements,maximum closeup magnification,minimum focus distance,tripod collar,video recording,video resolution,maximum aperture
SONY DSC-QX10 WHITE 18MP SMARTPHONE CAMERA DSCQX10W,DC 5.0V,N/A,18.9MP,"4:3, 16:9",NP-BN,N/A,N/A,N/A,Small & Easy,.,White,"Multi/Micro USB, Hi-Speed USB 2.0",.,N/A,N/A,18MP,"Superior Auto, Intelligent Auto, Program Auto, Movie Mode; Compensation: +/- 2.0 EV, 1/3 EV steps",N/A,"Still Image: JPEG, Movie: MP4",N/A,5cm (0.16') to Infinity,Yes,100-12800,Sony G,"Memory Stick Micro, microSD Memory Card, microSDHC Memory Card",Multi Pattern,0-40C / 32-104 F,10x (Movie),N/A,N/A,"2 sec., 10 sec.","1/2.3"" CMOS",4 - 1/1600 sec.,N/A,,"Auto, Daylight, Shade, Cloudy, Fluorescent, Incandescent",,,,,,No,No,No,,,,,,,,,165g (5.8oz),62.4 x 61.8 x 30.0mm (2 1/2 x 2 1/2 x 1 3/16 in.),,,,,,,,,,,,,,,,,,
"NIKON COOLPIX P520 BLACK 18.1MP 42X WIDE ANGLE 3.2"" 32013",EH-69P (Optional),None,18MP,"1:1, 3:2, 4:3, 16:9",EN-EL5,Yes,15MB,Up to 7 fps at 18 MP for up to 7 frames,Super Zoom,.,Black,"AV Output, HDMI C, USB 2.0",.,2x,LCD Swivel Screen,18.1MP,"Modes: Aperture Priority, Manual, Programmed Auto, Shutter Priority
Compensation: -2 EV to +2 EV (in 1/3 EV steps)",N/A,"JPEG, MPO","Auto/Red-eye Reduction
Fill-in
Second-curtain Sync
Slow Sync
TTL Auto","Wide: 1.64' (50 cm) - Infinity
Telephoto: 6.7' (2.04 m) - Infinity
Macro: 0.39"" (1 cm) - Infinity",Yes,80-12800,"NIKKOR, 14 elements in 10 groups
EFL: 4.3-180 mm (35 mm equivalent: 24-1000 mm)
Aperture: f/3 (W) - 5.9 (T)",SD/SDHC/SDXC,"Center-weighted, Matrix, Spot","0 to 40C (32 to 104F)
Humidity: 0-85%",42x,N/A,"3.2""","2 Sec, 10 Sec","1/2.3"" CMOS","Type: Electronic & Mechanical
Speed: 8 - 1/4000 sec",LCD Display,2 year warranty,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Preset Manual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CANON POWERSHOT SX520HS 16MP 42X 3"" CMOS CAMERA 9544B001",CA-DC10 included with AC Adapter Kit ACK-DC40 (Sold Separately),None,16MP,"16:9, 3:2, 4:3, 1:1",NB-6LH,Yes,No,1.6 shots/sec.; 10 shots/sec.,Super Zoom,,Black,Mini-HDMI connector,,4x,TFT Colour,16.0MP,"Manual Exposure, Program Shift, Safety Shift, AE Lock",None,JPEG,"Auto, Flash On, Slow Synchro, Flash Off","Normal: 5cm (2.0 in.) - infinity (W), 1.3m (4.3 ft.) - infinity (T); Auto/Manual: 0cm (0.0 in.) - infinity (W), 1.3m (4.3 ft. ) - infinity (T); Macro AF: 0-50cm (0-1.6 ft. ) (W)",Yes,100-3200,4.3 (W) - 180.6 (T) mm (35mm film equivalent: 24-1008mm),SD/SDHC/SDXC,"Evaluative, Center-weighted average, Spot",0-40C (32-104F),42x,None,"3.0""","2 Sec., 10 Sec., Custom","1/2.3"" CMOS",15-1/2000 sec.,LCD Display,,"Auto, Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom",,,,,,No,No,No,,,,,,,,,417g (14.7 oz.) (camera body only),120.0 x 81.7 x 91.9mm (4.72 x 3.22 x 3.62in.),,,,,,,,,,,,,,,,,,
"NIKON COOLPIX A BLACK 16.2MP F2.8 3"" 1080P 32009",EH-5b (Optional),N/A,16MP,3:2,EN-EL20,Yes,N/A,Up to 4 fps at 16 MP for up to 26 frames,Advanced,.,Black,"HDMI C, USB 2.0",.,N/A,LCD Widescreen,16.2MP,"Modes: AE Bracketing, AE Lock, Aperture Priority, Auto, Manual, Programmed Auto, Shutter Priority
Compensation: -5 EV to +5 EV (in 1/3 EV steps)",Hot Shoe,"JPEG, RAW",TTL Auto,"Auto: 19.69"" (50 cm) - Infinity
Macro: 3.94"" (10 cm) - Infinity",N/A,100-25600,"NIKKOR, 7 elements in 5 groups
EFL: 18.5 mm (35 mm equivalent: 28 mm)
Aperture: f/2.8 (W) - 22 (T)",SD/SDHC/SDXC,"Center-weighted, Matrix, Spot","0 to 40C (32 to 104F)
Humidity: 0-85%",,ML-L3 (Optional),"3.0""","5 sec, 10 sec, 20 sec","23.6 x 15.6"" CMOS","Type: Electronic & Mechanical
Speed: 30 - 1/2000 sec",LCD Display,2 year warranty,Auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NIKON COOLPIX L620 BLACK 18MP 14X 3""LCD 32418",EH-65A (optional),None,18MP,"1:1, 4:3, 16:9","Two LR6/L40 (AA-size) alkaline batteries (supplied), Two FR6/L91 (AA-size) lithium batteries (optional), Two EN-MH2 rechargeable Ni-MH batteries (optional), MH-72/MH-73 Battery Charger (optional)",Yes,83MB,Not stated by Manufacturer,Small & Easy,.,Black,Hi-Speed USB,.,2x,TFT Screen LCD Display,18.1MP,Programmed Auto,None,"Still pictures: JPEGMovies: MOV (Video: MPEG-4 AVC/H.264, Audio: LPCM stereo)",Not stated by Manufacturer,"[W]: Approx. 50 cm (1 ft 8 in.) to infinity, Macro mode: Approx. 1 cm (0.4 in.) to infinity",Yes,125-3200,NIKKOR lens; 4.5-63.0 mm (35mm [135] format equivalent: 25-350 mm); f/3.3-5.9,SD/SDHC/SDXC,"Matrix, Center-weighted, Spot",0 to 40C (32F to 104F),14x,N/A,"3.0""",10 Sec,"1/2.3"" CMOS",1/1600-1 sec. (when ISO sensitivity set to Auto)1/4000 sec. (maximum speed during high-speed continuous shooting)4 sec. (when scene mode is set to Fireworks show),LCD Display,2 year warranty,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Preset Manual",,,,,,N/A,Not stated by Manufacturer,Not stated by Manufacturer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NIKON COOLPIX P7800 12.2MP 7.1X WIDE ANGLE 3"" VR 32015",AC Adapter EH-5b (used in combination with the Power Connector EP-5A),None,12MP,N/A,EN-EL14,Yes,86MB,Up to 6 shots at approx. 8 frames per second,Advanced,.,Black,Audio/video (A/V) output; Digital I/O (USB); External microphone connector (Stereo mini-pin jack (3.5 mm diameter); HDMI mini connector C; Accessory terminal,.,Still: 4x; Movies: 2x,Vari-angle TFT LCD,12.2MP,"Programmed auto exposure with flexible programs: aperture-priority auto, exposure bracketing (Tv, Av, Sv) , manual, shutter priority auto; Exposure compensation (-3.0 to +3.0 EV in steps of 1/3 EV)",Yes,"Still: JPEG, RAW; Sound: WAV; Movies: MOV","TTL auto flash with monitor preflashes, Manual flash control available",W: 50cm to infinity; T: 80 cm to infinity; Macro: 2 cm to infinity,N/A,80-6400,"NIKKOR ED glass lens, 13 elements in 10 groups (2 ED lens elements), 6.0-42.8mm (35mm format equivalent: 28-200mm),
f/2-4",SD/SDHC/SDXC,"Matrix, Centre-weighted, Spot, Focus-coupled metering","0 to 40C (32 to 104F), Humidity: 0-85%",7.1x,N/A,"3.0""","1 Sec, 2 Sec, 10 Sec","1/1.7"" CMOS",Mechanical and CMOS electronic shutter: 60 - 1/4000 sec,Electronic,,"Color Temp., Cloudy, Daylight, Flash, Fluorescent (FL1 to FL3), Incandescent, Preset Manual, Auto 1, Auto 2",,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HASSELBLAD STELLAR ORANGE W/WENGE GRIP H-3012709,"3.6 V AC Adaptor AC-UD10/UD11, 5V",N/A,20MP,16:9; 4:3,NP-BX1,Yes,No,N/A,Advanced,.,Orange w/ Wenge Wood Grip,"HDMI micro jack, Micro USB (USB2.0)",.,N/A,TFT LCD,20.2MP,"Automatic exposure, Aperture priority, Shutter priority, Manual exposure, Scene Selection (13 modes)",No,"Still: RAW, JPEG; Video: AVCHD, MPEG-4 AVC/H.264",N/A,N/A,Yes,N/A,Carl Zeiss Vario-Sonnar T*,"Memory Stick Duo media, Memory Stick Micro media, SD cards, microSD memory cards",N/A,Operating: 0 C to 40 C (32 F to 104 F); Storage: -20 C to 60 C (-4 F to 140 F),3.6x,N/A,"3.0""",N/A,13.2 x 8.8 mm CMOS Sensor,N/A,N/A,Canadian Warranty: Two Years Parts & Labour,"Automatic, Daylight, Shade, Cloudy,Incandescent, Fluorescent (Warm White/ Cool White/Day White/Daylight), Flash, Color temperature/Color filter, Custom",,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OLYMPUS TG-3 RED 16MP CMOS 4X 3"" 1080P V104140RU000",F-2AC,2x,16MP,3:2,LI-92B,Yes,36MB,5 fps; 15 fps; 60 fps,Waterproof,.,Red,"USB Connector, DC Jack, AV Output, HDMI Type D",.,4x,LCD Rear Screen,16.0MP,"Intelligent Auto (iAUTO), Program Auto (P), Aperture Priority (A), Microscope, Scene Modes (22), Art Filters (11), Photo Story, Custom (C)",No,"Still: JPEG; Video: MOV/H.264, AVI/Motion JPEG","Auto, Red Eye Reduction, Fill-in, Off, LED","Wide/Tele: 10cm/3.9in to infinity; Super Macro Mode: 1 cm/0.4 in to infinity, focal length 30-100mm(equiv)",Yes,100-6400,4.5 - 18.0mm (35mm equivalent: 25 - 100mm),"SD, SDHC, SDXC",NA,NA,4x,via Wi-Fi from mobile device,"3.0""","2 sec, 12 sec, Custom","1/2.3"" BSI CMOS",4-1/2000 sec,LCD Display,,"Auto, One-touch, Cloudy, Sunny, Incandescent, Fluorescent, Underwater",(0),(0),(0),(0),(1),Yes,2.1 m (7 ft .),15 m (50 ft.),,,,,,,,,247g (8.7 oz.),111.5 x 65.9 x 31.2mm (4.4 x 2.6 x 1.2 in.),,,,,,,,,,,,,,,,,,
SAMSUNG WB50F BLACK SMART CAMERA EC-WB50FZBPBCA,NA,NA,16MP,NA,BP70A,Yes,30MB,NA,Wi-Fi,.,Black,"AV Output, USB 2.0",.,2x,LCD Rear Screen,16.2MP,"Program, Auto",No,"JPEG, GIF, MP4","Auto, Auto & Red-eye reduction, Fill-in flash, Slow sync, Flash Off, Red-eye fix","Normal: 80cm-Infinity (Wide), 250cm-Infinity (Tele) Macro: 5cm-80cm (Wide), 130cm-250cm (Tele) Auto Macro: 5cm-Infinity (Wide), 130cm-Infinity (Tele)",Yes,80-3200,4.3-51.6mm (35mm film equivalent: 24-288 mm),"microSD, microSDHC, microSDXC","Multi, Spot, Center-weighted, Face Detection AE","0 to 40C (32 to 104F)
Humidity: 5-85%",12x,via Smartphone,"3.0""","2 sec., 10 sec.","1/2.3"" CCD","8 to 1/2000 sec,",LCD Display,,"Auto WB, Daylight, Cloudy, Fluorescent_H, Fluorescent_L, Tungsten, Custom, K",,,,,,No,No,No,,,,,,,,,0.37 lb.,"3.98� x 2.68� x 1.07""/0.81�",,,,,,,,,,,,,,,,,,
"CANON POWERSHOT D30 12.1MP 5X 3"" WATERPROOF 9337B001",ACK-40,None,12MP,"1:1, 3:2, 4:3, 16:9",NB-6L/NB-6LH,Yes,No,1.9 shots/sec.,Waterproof,.,Blue,"AV Output, Audio Out, HDMI mini connector",.,4x,TFT Colour LCD,12.1MP,"Manual Exposure, Program Shift, Safety Shift, AE Lock",No,JPEG,"Auto, Flash On, Slow Synchro, Flash Off","Auto: 0.4 in. (1 cm) - infinity (W); 3.3 ft. (1 m) - infinity (T); Macro/Underwater Macro: 0.4 in. - 1.6 ft. (1-50 cm) (W); Normal: 2.0 in. (5 cm) - infinity (W), 3.3 ft. (1 m) - infinity (T); Quick: 9.8 ft. (3 m) (W,T)",Yes,100-3200,5.0 (W) - 25.0 (T) mm (35mm film equivalent: 28-140mm),SD/SDHC/SDXC,"Evaluative, Center-weighted average, Spot",10-40C (14-104F),5x,NA,"3.0""","2 Sec, 10 Sec, Custom","1/2.3"" CMOS",15 sec-1/1600 sec,LCD Display,,"Auto, Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Underwater, Custom",(0),(0),(0),(0),(1),No,No,No,,,,,,,,,194g (6.84 oz.),109.4 x 68.0 x 27.5mm (4.31 x 2.68 x 1.08 in.),,,,,,,,,,,,,,,,,,
"SONY DSCHX60VB BLACK 20.4MP 30X 3"" DSCHX60VB",AC-UB10,None,20MP,16:9,NP-BX1,Yes,No,10 fps,Wi-Fi,.,Black,"Wi-Fi, Multi/Micro USB Terminal, Hi-Speed USB (USB2.0), Micro HDMI",.,2x,LCD Rear Screen,20.4MP,"Program Auto, Aperture Priority, Shutter Speed Priority, Manual Exposure, MR(Memory Recall), Movie Mode(Intelligent Auto, Scene Selection), Panorama, Scene Selection, Intelligent Auto, Superior Auto",Yes,NA,"Flash Off , Autoflash , Fill-flash , Slow Sync. , Advanced Flash ,Rear Sync. , Wireless (with optional flash)",W: 5cm (0.16 ft.) to Infinity; T: Approx. 200cm (6.56 ft.) to Infinity)�,Yes,80-12800,4.3 - 129mm,"Memory Stick Duo, Memory Stick Pro Duo, Memory Stick PRO HG-Duo, Memory Stick XC-HG Duo, Memory Stick Micro, Memory Stick Micro (Mark2), SD/SDHC/SDXC, microSD/SDHC/SDXC","Centre-weighted, Multi Pattern, Spot",NA,30x,No,"3.0""","Off, 2 Sec, 10 Sec, portrait1, portrait2","1/2.3"" CMOS",30-1/1600 sec,LCD Display,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Flash, C.Temp./Filter, Custom",(0),(0),(0),(0),(1),No,No,No,,,,,,,,,246g (8.6oz.),108.1 x 63.6 x 38.3mm (4 3/8 x 2 5/8 x 1 9/16 in.),,,,,,,,,,,,,,,,,,
"CANON POWERSHOT ELPH 150IS RED 20MP 10X 2.7"" 9362B001",ACK-90,None,20MP,4:3,NB-11LH/NB-11L,Yes,No,0.8 shots/sec.; 2.2 shots/sec.,Zoom,.,Red,"AV Output, Audio Out",.,4x,TFT Colour LCD,20.0MP,"Manual Exposure, Program Shift, Safety Shift, AE Lock",None,JPEG,"Auto, Flash On, Slow Synchro, Flash Off","Auto: 0.4 in. (1 cm) - infinity (W, 3.3 ft. (1 m) - infinity (T); Normal: 2.0 in. (5 cm) - infinity (W), 3.3 ft. (1 m) - infinity (T); Macro: 0.4 in. - 1.6 ft. (1-50 cm) (W)",Yes,100-1600,4.3 (W) - 43.0 (T) mm (35mm film equivalent: 24-240mm),SD/SDHC/SDXC,"Evaluative, Center-weighted average, Spot",0 to 40C (32 to 104F),10x,No,"2.7""","2 Sec, 10 Sec, Custom","1/2.3"" CCD",15 sec - 1/2000 sec,LCD Display,,"Auto, Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom",,,,,,No,No,No,,,,,,,,,125g (4.41 oz.),95.3 x 56.8 x 23.7mm (3.75 x 2.24 x 0.93 in.),,,,,,,,,,,,,,,,,,
"CANON POWERSHOT ELPH 135 RED 16MP 8X 2.7"" 9156B001",ACK-90,None,16MP,4:3,NB-11L/NB-11LH,Yes,No,0.8 shots/sec.; 3.3 shots/sec.,Zoom,.,Red,"AV Output, Audio Out",.,4x,TFT Colour LCD,16.0MP,"Manual Exposure, Program Shift, Safety Shift, AE Lock",No,JPEG,"Auto, Flash On, Slow Synchro, Flash Off","Auto: 0.4 in. (1 cm) - infinity (W, 4.3 ft. (1.3 m) - infinity (T); Normal: 2.0 in. (5 cm) - infinity (W), 4.3 ft. (1.3 m) - infinity (T); Macro: 0.4 in. - 1.6 ft. (1-50 cm) (W)",No,100-1600,,SD/SDHC/SDXC,"Evaluative, Center-weighted average, Spot",0 to 40C (32 to 104F),8x,No,"2.7""","2 Sec, 10 Sec, Custom","1/2.3"" CCD",15 sec - 1/2000 sec,LCD Display,,"Auto, Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom",,,,,,No,No,No,,,,,,,,,112g (3.95 oz.),95.2 x 54.3 x 22.1mm (3.75 x 2.14 x 0.87 in.),,,,,,,,,,,,,,,,,,
"CANON POWERSHOT SX400IS 16MP CCD 30X 3"" CAMERA 9545B001",AC Adapter Kit ACK-DC90 (Sold Separately),None,16MP,"16:9, 3:2, 4:3, 1:1",NB-11LH,Yes,No,0.8 shots/sec.; 3.2shots/sec.,Super Zoom,.,Black,Video Out Connector,.,4x,TFT Colour,16.0MP,AE Lock,None,JPEG,"Auto, Flash On, Slow Synchro, Flash Off","Normal: 5cm (2.0 in.) - infinity (W), 1.4m (4.6 ft.) - infinity (T); Auto/Manual: 0cm (0.0in.) - infinity (W), 1.4cm (4.6 ft.) - infinity (T); Macro AF: 0-50cm (0.0 in. - 1.6 ft.) (W)",Yes,100-1600,4.3 (W) - 129.0 (T) mm (35mm film equivalent: 24-720mm),SD/SDHC/SDXC,"Evaluative, Center-weighted average, Spot",0-40C (32-104F),30x,None,"3.0""","2 Sec., 10 Sec., Custom","1/2.3"" CCD",15-1/1600 sec,LCD Display,,"Auto, Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom",,,,,,No,No,No,,,,,,,,,297g (10.5 oz.) (camera body only),104.4 x 69.1 x 80.1mm (4.11 x 2.72 x 3.15 in.),,,,,,,,,,,,,,,,,,
"PENTAX XG-1 BLACK 16MP 52X CMOS 3""LCD 07988",NA,NA,16MP,"3:2, 4:3, 16:9",Rechargeable Lithium-ion LB-060,Yes,15.4MB,4.7 to 10 fps,Super Zoom,.,Black,"USB 2.0 hi-speed, PC/AV Out, HDMI (Micro Type-D), DC Input Terminal",.,4x,LCD Rear Screen,16MP,"Auto Mode, Program AE, Shutter priority, Aperture priority, Manual Mode",No,"DCF, MOV","Flash Off, Flash Auto, Flash ON, Slow Sync., Slow Sync.+ Red-Eye, Red-Eye Reduction","Normal: 0.6m to infinity(wide), 3.0m to infinity (tele); Macro: 0.3m (wide to mid zoom); 1cm Macro: 0.01m (at mid zoom, set automatically)",Yes,100-3200,smc PENTAX zoom lens - 15 elements in 13 groups (6 aspherical elements),SD/SDHC; Eye-Fi Compatible,"TTL metering. Choice of Face, Centre-weighted, Spot",0 to 40C (32 to 104F),52x,optional PENTAX remote Controller,"3.0""",NA,1/2.3 inch Backlit CMOS,30 - 1/2000 sec.,Electronic,,"Auto, Daylight, Cloudy, Fluorescent, Fluorescent CWF, Incandescent, Manual WB, Colour Temp",,,,,,No,No,No,,,,,,,,,539g,119 x 89 x 97.5 mm,,,,,,,,,,,,,,,,,,
"CANON POWERSHOT N2 BLACK 16.1MP 8X 2.8"" TILT CMOS 9547B001",NA,None,16 MP,"1:1, 3:2, 4:3, 16:9",NB-9L,Yes,No,2.7 shots / sec.,Wi-Fi,.,Black,"Hi-Speed USB, mini-B",.,4x,Tilt Touch LCD,16.1 MP,Auto Mode; Compensation: +-2 stops in 1/3-stop increments (photos only),None,"JPEG, MP4",NA,"0.4 in. (1 cm) - infinity (W), 3.3 ft. (1 m) - infinity (T)",Yes,100-3200,5.0 (W) - 40.0 (T) mm (35mm film equivalent: 28 (W) - 224 (T) mm),microSD/microSDHC/microSDXC,"Evaluative, Center-weighted average, Spot",0 to 40C (32 to 104F),8x,NA,"2.8""","2 Sec, 10 Sec","1/2.3"" CMOS",1-1/2000 sec.,LCD Display,,"Auto, Day Light, Cloudy, Tungsten, Fluorescent, Fluorescent H",,,,,,No,No,No,,,,,,,,,180 g (6.35 oz.),80.9 x 62.0 x 32.3 mm (3.19 x 2.44 x 1.27 in.),,,,,,,,,,,,,,,,,,
CELESTRON DIGITAL PENTAVIEW MICROSCOPE W/CAM 44348,"100-240 VAC, 50/60 Hz",N/A,,N/A,4 AA Batteries,N/A,N/A,N/A,Microscope,.,Black,N/A,.,N/A,LCD Screen,5MP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SD,N/A,N/A,60x,N/A,"4.3""",N/A,"1/2.5""CMOS",N/A,LCD Display,2 year limited warranty,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELESTRON DIGITAL MICROSCOPE W/CAMERA BLUE 44325,N/A,N/A,,N/A,USB 2.0 power via computer,N/A,N/A,N/A,Microscope,.,Blue,N/A,.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,200x,N/A,,N/A,N/A,N/A,N/A,2 year limited warranty,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NIKON COOLPIX S9600 BLACK 16MP 22X 3"" 32180",,,,,,,,,,.,,,.,,,,,,,,,,,,,,,,,,,,,,,,(0),(0),(0),(1),(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEICA X VARIO 16MP APS-C DIGITAL CAMERA 18430,N/A,None,16MP,(3:2),BP-DC8,Yes,110MB,Not stated by Manufacturer,Advanced,.,Black,"Mini USB 2.0 socket, HDMI socket, special socket exclusively for external Leica EVF 2 electronic viewfinder",.,None,LCD Widescreen,16.2MP,"Automatic program, aperture priority, shutter speed priority and manual setting.",None,"DNG, JPEG, MP4","Auto, auto/Red-Eye, forced on, forced on/Red eye, Slow Sync, Slow Sync/Red eye, Studio.","Auto: 11.81"" (30 cm) - Infinity",N/A,100-12500,"9 elements in 8 groups
2 Aspheric
EFL: 18-46 mm (35 mm equivalent: 28-70 mm) Aperture: f/3.5 to 16 (at 28 mm), 6.4 to 16 (at 70 mm) in 1/3 EV increments.",SD/SDHC/SDXC,"Center-weighted, Multi-field, Spot",Not stated by Manufacturer,2.5x,N/A,"3.0""","2 Sec, 12 Sec","CMOS sensor, size APS-C (23.6 x 15.7 mm)",30-1/2000 sec,LCD Display,2 year warranty,"Auto, Daylight, Cloud, Halogen lighting, Shade, Electronic flash, Manual colour temperature setting, Fine adjustment option for all settings",,,,,,N/A,Not stated by Manufacturer,Not stated by Manufacturer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OLYMPUS SZ-16 IHS WHITE 16MP 24X 3"" 1080P V102100WU000",F-2AC,None,16MP,N/A,LI-50B,Yes,43MB,"Up to 1.5 fps at 16 MP for up to 200 frames
Up to 3 fps at 16 MP for up to 3 frames
Up to 10 fps at 3 MP for up to 28 frames
Up to 30 fps at 3 MP for up to 28 frames",Super Zoom,.,White,"AV Output, DC Input, HDMI D, USB 2.0",.,4x,LCD Rear Screen,16.0MP,Modes: Programmed Auto,N/A,JPEG,"Auto
Fill-in
Off
Red-eye Reduction","Wide: 3.94"" (10 cm) - Infinity
Telephoto: 15.75"" (40 cm) - Infinity
Super-Macro: 1.18"" (3 cm) - Infinity",Yes,100-6400,"EFL: 4.5-108 mm (35 mm equivalent: 25-600 mm)
Aperture: f/3.0 (W) - 6.9 (T)",SD/SDHC/SDXC,N/A,"0 to 40C (32 to 104F)
Humidity: 0-85%",24x,N/A,"3.0""","2 sec, 12 sec","1/2.3"" CMOS",4-1/2000 sec,LCD Display,1 year warranty,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SONY DSCH400 BLACK 20.1MP 63X 3"" DSCH400B",AC-UB10C,NA,20MP,"4:3, 16:9",NP-BX1,Yes,No,0.71 fps,Super Zoom,,Black,"AV Output, USB 2.0",,NA,LCD Rear Screen,20.1MP,"iAuto, Program Auto, Manual",No,"JPEG, MP4","Auto, Flash On, Slow Synchro, Flash Off, Advanced Flash","W: 1cm (0.03 ft.) to Infinity, T: 350cm (11.48 ft.) to Infinity",Yes,80-3200,Sony,"Memory Stick Pro Duo, Memory Stick PRO HG-Duo, SD/SDHC/SDXC","Multi Pattern, Center Weighted, Spot",NA,63x,NA,"3.0""","Off, 2 Sec, 10 Sec, portrait1, portrait2","1/2.3"" Super HAD CCD",30 - 1/2000 sec.,"0.2"" EVF",,"Auto, Daylight, Cloudy, Fluorescent, Incandescent, Flash, One Push, One Push Set",(0),(0),(0),(1),(0),No,No,No,,,,,,,,,"628g (1 lb., 6.2 oz.)",129.6 x 95.0 x 122.3mm (5 1/8 x 3 3/4 x 4 7/8 in),,,,,,,,,,,,,,,,,,
"RICOH GR LIMITED ED.(W/HOOD,STRAP,CASE) 175823",AC-U1,None,16MP,"1:1, 3:2, 4:3",DB-65,Yes,54MB,Up to 4 fps at 16 MP,Advanced,.,Green,"AV Output, HDMI D, USB 2.0",.,None,LCD Rear Screen,16.2MP,"Modes: Aperture Priority, Auto, Bulb, Manual, Movie, My Settings, Programmed Auto, Shutter Priority, Shutter/Aperture Priority, Time
Metering Range: EV 1.8 - EV 17.7
Compensation: -4 EV to +4 EV (in 1/3 EV steps)",Hot Shoe,"JPEG, RAW; Movie","Auto
Auto/Red-eye Reduction
Flash On
Flash On w/ Red-eye Reduction
Manual
Slow Sync
Slow Sync./Red-eye Reduction","Normal: 11.76"" (29.87 cm) - Infinity;
Macro: 3.9"" (9.91 cm) - Infinity",None,100-25600,"7 elements in 5 groups
2 Aspheric
EFL: 18.3 mm (35 mm equivalent: 28 mm)
Aperture: f/2.8 to f/16",SD/SDHC/SDXC,"Center-weighted, Multi, Spot",0 to 40C (32 to 104F),None,N/A,"3.0""",N/A,APS-C CMOS,"Type: Electronic & Mechanical
Speed: 30 - 1/4000 sec",LCD Display,1 year warranty,"Auto, Cloudy, Daylight, Incandescent, Manual, Shade",,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG WB350F BROWN 16MP 21X 3"" SMART CAMERA EC-WB350FBPNCA",NA,NA,16MP,NA,1030 mAh,Yes,9.5MB,NA,Wi-Fi,.,Brown,"AV Output, USB 2.0",.,5x,LCD Rear Screen,16.3MP,"Program AE, Aperture Priority AE, Shutter Priority AE, Manual Exposure",NA,Still: NA; Video: MP4,"Auto, Auto & Red-eye reduction, Fill-in flash, Slow sync, Flash Off, Red-eye fix","Normal : 80 cm -Infinity (Wide), 350 cm -Infinity (Tele), Macro : 10 cm - 80 cm (Wide), 150 cm - 350 cm (Tele), Auto Macro : 10 cm - Infinity (Wide), 150 cm - Infinity (Tele), Manual : 10 cm -Infinity (Wide), 150 cm - Infinity (Tele)",Yes,NA,4.1-86.1 mm (23-483 mm 35mm Equivalent),"MicroSD, MicroSDHC, MicroSDXC","Metering : Multi, Spot, Center-weighted, Face Detection AE, Metering Range : EV 1-17 (Wide, ISO Auto), EV 3-17 (Tele, ISO Auto)","0 to 40C (32 to 104F)
Humidity: 5-85%",21x,NA,"3.0""","2 sec., 10 sec.","1/2.3"" CMOS",16-1/2000 sec,LCD Display,,"Auto WB, Daylight, Cloudy, Fluorescent_H, Fluorescent_L, Tungsten, Custom, K",,,,,,No,No,No,,,,,,,,,216g,113.6 x 65.1 x 25.0mm,,,,,,,,,,,,,,,,,,
