<page title>,additional features,brand,connectivity system req,dimension,display,flash,general features,images video,lens,media software,optical sensor resolution in megapixel,other features,other sellers,pixels,power source,see full specifications,sensor,sensor type,shopping experience,shutter speed,site usability,zoom,aperture range,audio video interface ntscpal,bangalore,bluetooth,color,continuous shots,digital zoom,external memory,face detection,gps,hdmi,image format,image stabilizer,iso rating,metering,optical sensor resolution in megapixel,optical zoom,red eye reduction,screen size,self timer,shooting modes,usb,video display resolution,video format,auto focus,built in flash,display type,flash modes,flash range,focal length,image display resolution,lens type,maximum shutter speed,memory card type,microphone,minimum shutter speed,sensor size,sensor type,white balancing,color filter,gadgetsguru,macro mode exposure mode,supplied battery,sync terminal,announced,brand,dimensions,status,viewfinder,weight,ac adaptor,dust reduction,other resolution,other zoom type,amazon,manual focus,audio formats,delete function,exposure compensation,inbuilt memory,supported aspect ratio,supported languages,upgradeable memory,usb charge,additional display features,flipkart,external flash,infibeam,pictbridge,picture angle,kaunsa,ebay,snapdeal,indiatimes,shopclues,wifi,maniacstore,seventymm,bitfang,naaptol
"Nikon Coolpix L610 Point & Shoot Digital Camera Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Black",Nikon,"USB
USB Hi-Speed
HDMI
Yes; HDMI Mini Connector
GPS
No
Bluetooth
No","Dimensions
4.25 x 2.69 x 1.34 Inches
Weight
240 gms","Display Type
TFT LCD Touchscreen
Screen Size
3 Inches
Image Display Resolution
460000 dots
Video Display Resolution
1920 x 1080 pixels (Full HD) @ 30 fps
Supported Aspect Ratio
16:9, 4:3
Additional Display Features
Anti-reflection Coating","Flash Modes
Auto Flash
Flash Range
Wide : 0.5 - 6.0m, Telephoto : 1.5 - 3.2m
Built in Flash
Yes","Brand
Nikon
Status
Available","Image Format
JPEG (EXIF 2.3, DCF, DPOF, MPF)
Audio Formats
AAC, WAV
Video Format
AVC, H.264, MOV, MPEG-4","Lens Type
Nikkor Lens
Auto Focus
Contrast Detection AF
Focal Length
4.5 - 63 mm (35 mm Equivalent to 25 - 350 mm)","Upgradeable Memory
Yes
Memory Card Type
SD, SDHC, SDXC",16 MP,"ISO Rating
ISO 125-1600 / ISO 3200 (Auto Mode)
Self Timer
10 sec
Face Detection
Yes
Shooting Modes
Easy Auto, Scene (Portrait, Landscape, Sports, Night Portrait, Party/Indoor, Beach, Snow, Sunset, Dusk/Dawn, Night Landscape, Close-Up, Food, Museum, Fireworks Show, Black and White Copy, Back Lighting, Easy Panorama, Pet Portrait, 3D Photography), Special Effects, Smart Portrait, Auto
Delete Function
Yes
Metering
256-Segment Matrix, Center-Weighted, Spot
Macro Mode (Exposure Mode)
1 cm (W)
Picture Angle
25 mm Wide Angle
Continuous Shots
Up to 1.9 fps
White Balancing
Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Manual
Supported Languages
Arabic, Bengali, Chinese, Czech, Danish, Dutch, English, Finnish, French, German, Greek, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (European and Brazilian), Romanian, Russian, Spanish
Aperture Range
f/3.3 - f/6.6 (W)
Microphone
Stereo Microphone
PictBridge
Yes
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)
Additional Features
16.0 Million Effective Pixels Superior Low-light Performance, 30 fps, 30 fps, 30 fps, 30 fps, Approx: 1.0 m (T) to Infinity, BSS (Best Shot Selector), Continuous (About 4 Images 1.9 fps (4608 x 3456), Continuous Shooting: Single (Default Setting), Digital Zoom Magnification Upto 2x (Angle of View Equivalent Approx: 700 mm Lens in 35 mm (135) Format), Face Detection, Focus Range (Approx: 50 cm (W) to Infinity, Focus-area Selection (Center, Frame Coverage (Playback Mode): Approx: 96% Horizontal and 96% Vertical (Compared to Actual Image), Frame Coverage (Shooting Mode): Approx: 96% Horizontal and 96% Vertical (Compared to Actual Image), HD 1080p: 1920 x 1080, HD 720p: 1280 x 720, HS 240 fps: 320 x 240, Lens Construction: 11 Elements in 10 Groups (2 ED Lens Element), Macro Mode: Approx 10 cm to Infinity, Monitor (5 Level Brightness Adjustment), Motion Blur Reduction (Motion Detection), Movie (HD 1080p (Fine) Default Setting: 1920 x 1080, Multi-shot 16, Target Finding AF), VGA: 640 x 480",(8 ),"Optical Sensor Resolution (in MegaPixel)
16 MP","Supplied Battery
AA Battery
AC Adaptor
AC Adaptor EH-65A",»,"Sensor Type
CMOS Sensor
Sensor Size
1/2.3 Inches",CMOS Sensor,(3.2 ) (2 ) (3.2 ) (0 ) (5 ) (4.6 ) (0 ) (5 ),"Maximum Shutter Speed
1/1600 sec
Minimum Shutter Speed
1 sec",(3.2 ) (3 ) (3.4 ) (0 ) (5 ) (4.6 ) (0 ) (5 ),"Optical Zoom
14x
Digital Zoom
2x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon EOS 700D Body Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Red",Canon,"USB
USB Hi-Speed
HDMI
Yes; HDMI Micro Connector (Type D)","Weight
205 gms","Screen Size
3 Inches
Video Display Resolution
1920 x 1080 pixels (Full HD) @ 30 fps","Built in Flash
Yes","Brand
Canon",,,,18 MP,"Metering
Center-Weighted, Matrix, Spot",(4 ),"Optical Sensor Resolution (in MegaPixel)
18 MP",,»,"Sensor Type
CMOS Sensor",CMOS Sensor,(4.2 ) (4.6 ) (2.2 ) (3.2 ),,(3.4 ) (4.8 ) (4.6 ) (3 ),"Optical Zoom
22x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon D7100 DSLR VR kit 18-105mm Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Black
External Memory
Yes",Nikon,"USB
USB Hi-Speed
HDMI
Yes; HDMI Mini Connector (Type C)","Weight
136 gms","Screen Size
3.2 Inches
ViewFinder
Eye-level Pentaprism Single-Lens Reflex View Finder","Flash Modes
Auto Pop-up Flash
Built in Flash
Yes","Brand
Nikon",,,,24.1 MP,"Shooting Modes
Auto, Child, Close Up, Color Sketch, Night Portrait, Party/Indoor, Pet Portrait, Portrait
Metering
TTL Exposure
White Balancing
Auto, Cloudy, Direct Sunlight, Flash, Fluorescent, Incandescent, Manual, Shade
Supported Languages
23 Languages (Arabic, Bengali, Chinese, Czech, Danish, Dutch, English, Finnish, French, German, Greek, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Norwegian, Persian, Polish, Portuguese (European and Brazilian), Romanian, Russian)",(4 ),"Optical Sensor Resolution (in MegaPixel)
24.1 MP","Supplied Battery
Rechargeable Li-ion Battery (EN-EL15)",»,,,(3.2 ) (4.6 ) (3.2 ) (2.2 ),,(3.2 ) (4.2 ) (3.4 ) (3 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujifilm FinePix SL300 Point & Shoot Digital Camera Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Black",Fujifilm,"USB
USB 2.0 Hi-Speed
HDMI
Yes; HDMI Mini Connector
Bluetooth
No
GPS
No","Dimensions
4.8 x 3.94 x 3.66 Inches
Weight
510 gms","Display Type
TFT LCD
Screen Size
3 Inches
Image Display Resolution
460000 dots
Video Display Resolution
1280 x 720 pixels (HD) @ 30 fps
Supported Aspect Ratio
16:9, 3:2, 4:3
ViewFinder
Electronic View Finder","Flash Modes
Auto, Forced, Slow Sync, Suppressed Flash
Flash Range
Wide : 0.4 - 8.0m, Telephoto : 2.1 - 4.1m
Built in Flash
Yes","Brand
Fujifilm
Status
Available","Image Format
JPEG (EXIF 2.3, DCF, DPOF)
Video Format
AVI Motion JPEG","Lens Type
Fujinon Lens
Auto Focus
Contrast Detection AF
Focal Length
4.3 - 129 mm (35 mm Equivalent to 24 - 720 mm)
Color Filter
Primary (RGB) Color Filter","Upgradeable Memory
Yes
Memory Card Type
SD, SDHC, SDXC",14 MP,"ISO Rating
Auto / ISO 64 / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400
Self Timer
2 sec, 10 sec
Face Detection
Yes
Shooting Modes
Dis, Mode : Smart, Movie, Program, Scene
Delete Function
Yes
Metering
Average, Multi, Spot, TTL 256 Zones
Exposure Compensation
2.0 EV in increments of 1/3 EV
Macro Mode (Exposure Mode)
30 - 300 cm (W), 200 - 300 cm (T)
Red Eye Reduction
Yes
Picture Angle
24 mm Wide Angle
Continuous Shots
Up to 6 max 1.2 fps
White Balancing
Automatic Scene Recognition, Custom, Fine, Fluorescent (D: Daylight Color, Incandescent, N: Daylight White, Shade, W: Cool White)
Supported Languages
35 Languages
Aperture Range
f/3.1 - f/5.9
PictBridge
Yes
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)
Additional Features
1.2 fps (Last 6), 1.2 fps (Long Period), 2/3 EV, 3.3 fps (TOP 20), 8 fps (TOP 40), AE Bracketing: (1/3 EV, AF Assist Illuminator Type Focus, AF Frame Selection: Center, Aperture Priority AE, Area, Auto Red-eye Removal, Auto Red-eye Removal, Baby, Beach, Blink Detection, Date Stamp, Exposure Compensation: 2.0 EV 1/3 EV Step, Exposure Mode: Programmed AE, Face Detection, Face recognition, Fireworks, Flower, Focus Mode: Single AF / Continuous AF (SR Auto, Frame no. Memory, Framing Guideline, Histogram Display, Instant Zoom, Landscape, Lens Construction: 15 Elements in 11 Groups, Manual exposure, Max Continuous Shooting: 1.2 fps (TOP 6), Min Focus Distance: 40 cm (W) -2.8 m (T), Motion Panorama, Movie), Multi, Night, Night (Tripod), Party, Photography Functions: SR AUTO, Playback Functions: Face Detection, Scene Mode: Portrait, Shutter Priority AE, Shutter Speed: 8 sec to 1/2000 sec with Mechanical Shutter, Smile, Snow, Sport, Sunset, Super Macro: 2 cm - 1.0 m (W), Text, Tracking",(8 ),"Optical Sensor Resolution (in MegaPixel)
14 MP","Supplied Battery
Li-ion Battery (NP-85)",»,"Sensor Type
CCD Sensor
Sensor Size
1/2.3 Inches",CCD Sensor,(3.2 ) (2 ) (3 ) (3.2 ) (5 ) (4.6 ) (2.2 ) (0 ),"Maximum Shutter Speed
1/2000 sec
Minimum Shutter Speed
25 sec",(0 ) (3.4 ) (3 ) (3 ) (3.2 ) (5 ) (4.6 ) (3 ),"Optical Zoom
30x
Digital Zoom
6.7x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony DSC-H100 Point & Shoot Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","16.4 MP Gross Pixels, 42x Precision Digital Zoom, 8 Detectable Faces, Aperture (2 Steps with ND Filter), Auto Macro, BIONZ Imaging Processor, Beach, Center Weighted AF, Exposure Compensation (+/- 2.0 EV in increments of 1/3 EV), Fireworks, Flexible Spot AF, Flexible Spot AF (Face Tracking Focus), Flexible Spot AF (Tracking Focus), Focal Length Movie 4:3 (35 mm Equivalent to 29 - 618 mm), Focal Length Still Image 16:9 (35 mm Equivalent to 27 - 567 mm), Focus Mode (Multi Point AF, Focus Range (Program Auto): 2 cm (W) - 200 cm (T), Focus Range (iAuto) (W): 2 cm - 200 cm, Gourmet, High Sensitivity, Landscape, Movie (35 mm Equivalent to 31 - 667 mm), Night Portrait, Night Scene, Partial Color), Pet, Picture Effect (Toy Camera, Pop Color, Portrait, Scene Modes (Manual Exposure, Snow, Soft Skin, Soft Snap, Standard Dynamic Range Optimizer, Steady Shot), Still Image Recording: Sweep Panorama 360 (11520 x 1080), Sweep Panorama Standard (4, Sweep Panorama Wide (7152 x 1080 / 4912 x 1920)",,,,,,,,,,,,,,,,,,,,,,,V Output,Hyderabad Chennai Mumbai Delhi Pune,No,NA,,,Yes,Yes,NA,NA,,,Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200,"Center-Weighted, Multi Pattern, Spot",,,Yes,3 Inches,"2 sec, 10 sec","Easy Shooting, Intelligent Auto, Manual Exposure, Movie, Panorama, Picture Effect, Program Auto, Scene Election",USB Hi-Speed,1280 x 720 pixels (HD) @ 30 fps,,Illuminator,Yes,TFT LCD,"Auto, Slow Sync Flash","(ISO Auto) : Wide : 0.5 - 6.8m, Telephoto : 0.5 - 3.7m, (ISO 3200) : Wide : 13.7m, Telephoto : 7.3m",4.5 - 94.5 mm (35 mm Equivalent to 25 - 525 mm),460000 dots,Sony Lens,1/1500 sec,"Memory Stick Duo, Memory Stick PRO Duo, Memory Stick PRO Duo (High Speed), Memory Stick PRO HG Duo, Memory Stick micro, Memory Stick micro (Mark2), SD, SDHC, SDXC, microSD, microSDHC",Built-In Microphone,15 sec,1/2.3 Inches,Super HAD CCD Sensor,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, One Push, One Push Set",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic Lumix DMC-FH2 Point & Shoot Digital Camera Black Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,,A/V Output (NTSC or PAL),Hyderabad Chennai Mumbai Delhi Pune,No,Black,,4x,Yes,Yes,NA,NA,,"Mega O.I.S, Lens-shift Type","Auto / 100/ 200/ 400/ 800/ 1600, High Sensitivity Mode : Auto (1600-6400)",,,4x,Yes,2.7 Inches,"2 sec, 10 sec",,Yes,848 x 480 pixels @ 30 fps,,Yes,Yes,,"Auto, Forced, Slow Sync Flash",0.4 - 3.3m,5 - 20 mm (35 mm Equivalent to 28 - 112 mm),230000 dots,Leica DC Vario-Elmar,1/1600 sec,,,8 sec,1/2.33 Inches,CCD Sensor,"Auto, Cloudy, Daylight, Incandescent, Shade, White Set",Primary Color,Kaunsa Indiatimes Naaptol Discountsvu Snapdeal,Yes,ID-Security Li-ion Battery Pack,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony Cyber-Shot DSC-HX400V Point & Shoot Camera Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Black",Sony,"USB
USB Hi-Speed
HDMI
Yes","Dimensions
5.1 x 4.06 x 3.67 Inches
Weight
660 gms","Screen Size
3 Inches",,"Brand
Sony
Announced
2014, February
Status
Available",,,,21.1 MP,"Face Detection
Yes
Metering
Center-Weighted, Light, Multi, Spot",,"Optical Sensor Resolution (in MegaPixel)
21.1 MP",,»,"Sensor Type
CMOS Sensor
Sensor Size
1/2.3 Inches",CMOS Sensor,(5 ) (2 ) (4.6 ),"Maximum Shutter Speed
1/4000 sec
Minimum Shutter Speed
30 sec",(4.8 ) (4.6 ) (3 ),"Optical Zoom
50x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung WB35F Digital Camera White Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad Chennai Mumbai Delhi Pune,,White,,,NA,NA,NA,NA,,,,"Center, Multi, Spot",,,Yes,2.7 Inches,"2 sec, 10 sec",,USB 2.0,NA,,"Center AF, Face Detection, Multi AF",,LCD,,,4.3 - 51.6 mm (35 mm Equivalent to 24 - 288 mm),,,1/2000 sec,"SD, SDHC, SDXC",Built-In Monaural Microphone,2 sec,1/2.3 Inches,CCD Sensor,Auto,,,5 - 80 cm (W),,,"2014, March",Samsung,100.9 x 61.2 x 27.5 mm,Available,Yes,144 gms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon Coolpix L30 Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",,,,,,,,,,,,,,,,,,,,,,,,,,NA,Black,,4x,NA,NA,NA,NA,JPEG,,ISO 80-1600,NA,20.1 MP,5x,,3 Inches,10 sec,,USB Hi-Speed,1280 x 720 pixels (HD),AVI,Yes,,TFT LCD,,,"4.6 - 23 mm, Equivalent to 26 - 130 mm on a 35 mm",230000 Dots,Nikkor Lens,1/2000 sec,"SD, SDHC, SDXC",,4 sec,1/2.3 Inches,CCD Sensor,,,,,NA,,"2014, February",Nikon,95.4 x 60.3 x 29 mm,Available,,164 gms,AC Adaptor EH-65A,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot SX120 IS Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",,,,,,,,,,,,,,,,,,,,,,,,Yes,Hyderabad Chennai Mumbai Delhi Pune,No,Black,,40x,NA,Yes,NA,NA,,Yes,,"Center-Weighted, Multi, Spot",10 MP,10x,Yes,3 Inches,Yes,,Yes,NA,,Yes,,,,,,,,,,,,,,,Primary (RGB) Color Filter,Kaunsa Infibeam Bitfang Naaptol,Yes,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon Coolpix S02 White Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,f/3.0 (W) - f/5.9 (T),,Hyderabad Chennai Mumbai Delhi Pune,,White,,4x,NA,NA,NA,Yes,,,ISO 125 - 1600,"Matrix, Spot, Center-Weighted",,3x,,2.7 Inches,10 sec,"Scene, Scene Auto Selector, Smart Portrait, Special Effects, Subject Tracking",USB Hi-Speed,1920 x 1080 pixels (Full HD) @ 30 fps,,Contrast Detection AF,Yes,TFT LCD with Anti-Reflection Coating,,"Wide : 0.3 - 1.4 m ,Telephoto: 0.5 - 0.8 m",4.1 - 12.3 mm (35 mm Equivalent to 30 - 90 mm),230000 Dots,Nikkor Lens,1/2000 sec,,,1 sec,1/3 Inches,CMOS Sensor,,,,5 cm (W) - 50 cm (T),NA,,"2013, September",Nikon,77.1 x 51.3 x 17.5 mm,Available,,100 gms,AC Adaptor EH-70P,,,,Ebay Snapdeal Homeshop18,Yes,,,,,,,,,,,,,,,,,,,,,,,,
"Sony Cyber-shot DSC-W730 Point & Shoot Digital Camera Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Focus Mode (Multi-Point AF, 16.4 MP Gross Pixels, 34 - 381 mm (SteadyShot Active), 8 Face Detection, Auto Focus Illuminator (Auto / Off), Auto Macro, BIONZ Imaging Processor, Beach, Center Weighted AF, Dynamic Range Optimiser (Standard / Off / Plus), Exposure Compensation: +/-2.0 EV in increments of 1/3 EV, Fireworks), Flash Range: ISO 3200: 5.3 m (W) / 3.3 m (T), Flexible Spot AF (Face Tracking Focus), Flexible Spot AF (Tracking Focus), Gourmet, Landscape, Movie 16:9 35 mm Equivalent Focal Length 28 - 224 mm (SteadyShot Standard), Movie 4:3 35 mm Equivalent Focal Length 34 - 272 mm (SteadyShot Standard), Night Portrait, Night Scene, Partial Colour, Pet, Picture Effect (Toy Camera, Pop Colour, Scene Selection (High Sensitivity, Snow, Sof, Soft Skin, Soft Snap, Still Image 16:9 35 mm Equivalent Focal Length 28 - 224 mm, Still Image 4:3 35 mm Equivalent Focal Length 25 - 200 mm",,,,,,,,,,,,,,,,,,,,,,f/3.3 - f/8.0 (W),A/V Output (NTSC or PAL),,,Black,Up to 100 Shots at 1 fps,"Still Image: 32x / 10 M, 10x / 5 M, 14x / VGA, 57x / 2M",Yes,Yes,No,No,"JPEG (DCF, DPOF)",Optical,Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200,"Center-Weighted, Multi, Spot",,8x,Yes,2.7 Inches,"2 sec, 10 sec","Easy Shooting, Intelligent Auto, Movie, Panorama, Picture Effect, Program Auto, Scene Election",USB Hi-Speed,1920 x 1080 pixels (Full HD),H.264,Center Weighted AF,Yes,Clear Photo TFT LCD,"Advanced, Auto, Slow Sync Flash","Wide : 0.3 - 2.8m, Telephoto : 1.5 - 2m",4.5 - 36 mm (35 mm Equivalent to 28 - 224 mm),230400 dots,Carl Zeiss Vario-Tessar,1/1600 sec,"SD, SDHC, Stick Duo (Still Image, Movies), Stick PRO Duo (Still Image, Movies), Stick PRO Duo (High Speed), Memory Stick PRO HG Duo, Stick Micro, Stick Micro (Mark2), Micro SD, Micro SDHC",Monaural Microphone,2 sec,1/2.3 Inches,CCD Sensor,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, One Push, One Push Set",Primary (RGB) Color Filter,,5 cm (W) - 150 cm (T),"DC Output 5v, 70 mAh Battery",,"2013, March",Sony,93.1 x 52.5 x 22.5 mm,Available,,122 gms,"AC Adaptor (Input : 100 - 240v AC), 50-60Hz",,,,,,MP3,Yes,2.0 EV in increments of 1/3 EV,27 MB,"16:9, 4:3",19 Languages,Yes,Yes,,,,,,,,,,,,,,,,
"Nikon S1200pj Point & Shoot Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Frame Coverage, In-Camera Image Editing, Operating Temperature: 0Deg - 40Deg C, Projector, Voice Memo Function",,,,,,,,,,,,,,,,,,,,,,f/3.9 - f/5.8,A/V Output (NTSC or PAL),Hyderabad Chennai Mumbai Delhi Pune,No,Black,Up to 4 Shots at 1.2 fps,4x,Yes,Yes,NA,NA,JPEG (EXIF),,"Auto (Auto Gain ISO 80-1600), Fixed range Auto (ISO 80-400 / ISO 80-800), Manual Selection (ISO 80 / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400)","256-Segment Matrix, Center-Weighted, Face-Priority AE, Spot",14.1 MP,5x,Yes,3 Inches,"2 sec, 10 sec","Auto, Easy Auto, Movie, Scene, Smart Portrait",USB 2.0 Hi-Speed,1280 x 720 pixels (HD) @ 30 fps,"AVC, H.264, MPEG-4",Contrast Detection AF,Yes,TFT LCD,"Auto, Fill-in, Slow Sync Flash","Wide : 0.3 to 4.5m, Telephoto : 0.5 to 3.5m",5 - 25 mm (35 mm Equivalent to 28 - 140 mm),460000 dots,Nikkor Lens,1/1500 sec,"SD, SDHC, SDXC",,4 sec,1/2.3 Inches,CCD Sensor,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Manual",,,3 cm,Li-ion Battery,,,,,,,,AC Adaptor EH-62F,NA,NA,NA,,,"AAC, WAV",,,,,29 Languages,,,Anti-reflection Coating,Kaunsa Indiatimes Naaptol,,,,,,,,,,,,,,
"Sony Alpha SLT-A58K DSLR 18-55 mm Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",-,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad Chennai Mumbai Delhi Pune,NA,NA,,,NA,"Yes; On, OFF, Face Registration, Face Selection",NA,"Yes; HDMI Micro Connector (Type D), BRAVIA Sync (Link Menu), PhotoTV HD","JPEG (DCF 2.0, EXIF 2.3, MPF Baseline Compliant, RAW (Sony ARW 2.3))",,ISO 100-16000 selectable in 1 EV steps / Auto (100-3200)Movies: ISO 100-3200 selectable in 1 EV steps / Auto (200-3200),1200 Zone Evaluative,,,Yes,3 Inches,"2 sec, 10 sec",-,USB 2.0 Hi-Speed,-,-,Yes,Yes,,"Auto, Fill-in, Hi-speed Sync, Rear Sync, Slow Sync Flash",,18 mm,-,,-,"Memory Stick Pro Duo, Memory Stick Pro HG-Duo, SD, SDHC, SDXC",,-,-,CMOS Sensor,Yes,,,,Rechargeable Battery (NP-FM500H),-,,,,,"0.39 Inches Xtra Fine, Electronic View Finder Color",,-,Anti-Dust Charge Protection Coating,,,,-,,,,,,,-,,,,-,Amazon Snapdeal Flipkart Homeshop18 Indiatimes,-,-,,,,,,,,,,
"Sony Cybershot DSC H70 Point & Shoot Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad Chennai Mumbai Delhi Pune,No,Black,Up to 1 fps,20x,NA,Yes,NA,NA,JPEG,Optical,Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200,"Center-Weighted, Multi, Spot",,10x,Yes,3 Inches,"2 sec, 10 sec, Potrait 1, Potrait 2",,Yes,NA,MPEG-4,iAuto : Approx. 5 cm to Infinity (W) / Approx. 100 cm to Infinity (T),Yes,,"Auto, Slow Sync Flash","(ISO Auto) : Wide : 0.25 - 3.6m, Telephoto : 1.0 - 2.3m, (ISO 3200) : Wide : 7.1m, Telephoto : 4.5m",4.25 - 42.5 mm (25 - 250 mm),230000 dots,Sony G Lens,,,,"iAuto : 2 - 1/1600 sec, Program Auto : 1 - 1/1600 sec, Manual : 30 - 1/1600 sec",1/2.3 Inches,Super HAD CCD Sensor,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, One Push, One Push Set",,Kaunsa Naaptol,5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 mm Wide Angle,,,,,,,,,,
Panasonic Lumix DMC FX 80 Price in India with Offers & Full Specifications | PriceDekho.com,"23pt, 3 Frames, 3D Photo, 5 M), 7.8x (4:3, 8 M), 9.8x (Under 3 M), AF Assist Lamp, AF Macro, AF Metering Face/AF Tracking, AF Tracking, Auto Bracketing: B11 EV in increments of 1/3 -1 EV, Baby1, Baby2, Continuous AF (Motion Picture), Cosmetic, Creative Control, Creative Control Mode Expressive, Dynamic Monochrome, Exposure Auto (Program AE), Exposure Compensation: B12 EV in increments of 1/3 EV, Extra Optical Zoom (EZ) 6.1x (4:3, Focus Normal, Food, Glass Through, Hand Held Night Shot, High Dynamic, High Key, High Sensitivity, Intelligent Auto, Intelligent Zoom 10x, Lens 6 Elements in 5 Groups, Low Key, MP4 (Continuous Recordable Time (Motion Pictures) 60 min (FHD), Miniature, Mode Button, Mode Dial, Night Portrait, Night Scenery, Normal Picture, Panorama, Pet, Photo Frame, Quick AF ON/OFF (On in Intelligent Auto), Retro, SCN, Scenery, Sepia, Soft Focus, Sports, Spot, Still Image Scene Mode Portrait, Sunset, Touch AF/AE, Touch Area, Toy Effect, Zoom Macro",,,,,,,,,,,,,,,,,,,,,,f/2.5 - f/6.4,A/V Output (NTSC or PAL),Hyderabad Chennai Mumbai Delhi Pune,No,NA,Up to 3.7 fps,4x,Yes,NA,NA,Yes; HDMI Mini Connector,"JPEG (DCF, EXIF 2.3, MPO)",,"Auto / 100 / 200 / 400 / 800 / 1600, High Sensitivity Mode (ISO 1600-6400)",NA,,5x,Yes,3 Inches,"2 sec, 10 sec",,USB 2.0 Hi-Speed,1920 x 1080 pixels (Full HD),"AVCHD, MP4",,Yes,TFT LCD Touchscreen,"Auto, Forced, Slow Sync Flash","(ISO Auto) : Wide : 0.6 - 4.1m, Telephoto : 1.0 - 1.6m",4.3 - 21.5 mm (35 mm Equivalent to 24 - 120 mm),230000 dots,Leica DC Vario-Summarit,1/1600 sec,"SD, SDHC, SDXC",Stereo Microphone,8 sec,1/2.3 Inches,CCD Sensor,"Auto, Cloudy, Daylight, Incandescent, Shade, White Balance Adjustment, White Set",Primary (RGB) Color Filter,,,"3.6v, 680 mAh Battery",,,,,,,,AC Adaptor (Input : 110 - 240v AC),,,,,,,,,,,6 Languages,,,,,,,,24 mm Ultra Wide Angle,Discountsvu Bitfang Naaptol,,,,,,,,,
